	TCGA.D8.A1JA.01A.11R.A13Q.07	TCGA.E2.A1B1.01A.21R.A12P.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.E2.A158.01A.11R.A12D.07	TCGA.BH.A1F2.01A.31R.A13Q.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.A7.A13G.01A.11R.A13Q.07.1	TCGA.A7.A0DB.01A.11R.A277.07	TCGA.A2.A0EU.01A.22R.A056.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.7261.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.22.1016.01A.01R.0692.07	GTEX.ZQUD.2126.SM.51MSY	GTEX.WOFM.2126.SM.4OOSR	GTEX.ZQG8.2126.SM.4YCF1	GTEX.13QJC.2326.SM.5Q5CD	GTEX.111FC.2926.SM.5GZY7	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	GTEX.13CF2.2426.SM.5LZYL
PHLDB3	76.71	249.73	262.2	301.33	82.87	74.58	120.94	329.84	314.17	346.29	3081.75	3060.45	473.41	1191.69	2119.22	6337.83	1447.15	0.0	332.14	540.19	595.34	1628.26	860.08	1167.14	5366.37	1832.01	3039.3	2835.7	3146.52	559.28
PKP3	490.14	483.38	813.63	540.19	293.07	209.84	271.48	514.56	457.25	974.5	48307.85	57847.82	5791.62	9945.68	69753.56	772940.66	6652.97	0.0	1583.71	1519.15	3874.05	9945.68	3103.19	3540.14	30785.28	10512.82	13123.73	14163.58	18560.17	2485.67
PRICKLE4	25.54	102.25	201.25	136.19	42.71	33.78	44.89	163.28	87.03	114.36	500.46	669.92	387.02	656.11	713.11	473.41	339.14	0.0	325.29	134.3	363.56	204.07	258.57	171.45	417.77	567.1	281.09	785.88	406.31	137.14
RAPGEFL1	35.25	679.29	480.04	351.14	137.14	256.78	70.51	21.01	26.47	131.51	47974.16	12676.65	3794.3	6699.25	14163.58	23330.64	4038.61	0.0	163.28	921.88	2502.97	6935.54	1044.52	1151.06	15824.9	7911.95	12764.83	10014.87	12943.04	1697.45
RARG	241.19	540.19	684.02	511.0	389.72	346.29	384.34	389.72	361.04	872.1	10368.08	9740.98	2193.99	9606.86	14765.09	16496.96	3768.09	0.0	559.28	961.07	1709.26	3820.7	1628.26	1225.22	7382.04	3982.99	6207.38	4836.35	5791.62	2178.83
SLC39A2	8.13	25.54	15.34	11.04	1.6	3.44	8.78	1.25	5.54	26.86	13586.57	1909.85	457.25	1529.73	1883.54	5594.3	384.34	0.0	29.91	68.55	244.57	2895.31	31.9	299.25	5954.47	1674.06	2997.45	2434.5	5594.3	57.49
TGM1	7.88	45.53	25.72	156.59	3.89	7.82	6.46	4.82	19.39	39.79	1255646.43	231394.29	26614.89	84109.6	205673.01	262143.0	24832.5	0.0	54.33	1225.22	5183.54	141455.6	2915.45	7642.41	282912.21	82378.63	182810.84	242898.5	175363.84	11584.24
TOLLIP	303.44	599.49	830.75	470.14	358.54	182.55	327.56	281.09	414.87	896.64	8658.09	3564.78	1498.22	2075.59	4575.41	3901.01	2319.15	0.0	759.08	1183.45	1191.69	2645.74	1096.5	1540.37	5076.84	2720.15	5751.61	4358.66	4836.35	1447.15
TRIOBP	341.51	395.18	974.5	571.05	301.33	271.48	180.02	759.08	525.39	583.07	2485.67	1936.53	1397.83	1242.34	1896.65	2816.11	1397.83	1191.69	941.27	341.51	974.5	1322.37	995.0	872.1	1529.73	1769.57	1277.29	2004.85	1457.23	988.12
TSPO	684.02	967.76	3794.3	1447.15	1477.58	591.22	825.0	1662.49	2400.97	2502.97	53601.03	34396.12	14065.74	12764.83	29943.43	46019.85	12853.63	0.0	2627.46	8718.32	11189.6	22850.48	9344.14	11504.21	29327.18	17804.06	23820.89	24321.43	28923.41	8479.89
