	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.BJ.A2N9.01A.11R.A18C.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.13OVJ.0626.SM.5J2O2	GTEX.OHPM.2626.SM.33HC5	GTEX.Y5V6.0526.SM.4VBRV	GTEX.13O61.0226.SM.5KM52	GTEX.ZYFG.0626.SM.5GZYA	GTEX.XLM4.0726.SM.4AT64	GTEX.RVPV.1226.SM.2TF73	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.R55C.0626.SM.2TF4Q	GTEX.V955.0426.SM.3GAEL	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.WYBS.1926.SM.3NM8N
GIN1	35.0	0.0	0.0	67.59	134.3	165.57	134.3	81.14	167.9	153.34	148.09	111.21	117.6	149.12	159.9	135.24	162.14	199.85	126.12	143.01	97.36	175.07	112.77
GNPAT	384.34	0.0	0.54	476.71	444.72	638.15	514.56	529.06	884.29	753.83	599.49	587.13	775.05	693.58	884.29	633.73	674.59	830.75	738.29	656.11	660.68	612.11	674.59
GOLGA8I	8.51	0.0	0.43	31.0	92.05	297.17	209.84	82.29	146.03	529.06	521.76	368.65	226.54	466.88	713.11	389.72	896.64	503.95	679.29	775.05	426.57	483.38	373.81
GOLGA8S	1.41	0.0	0.32	7.57	15.56	65.26	59.55	19.11	33.78	144.01	76.17	105.15	44.57	78.34	136.19	81.14	223.41	237.86	82.87	137.14	100.13	139.07	80.57
GOPC	96.01	490.14	87.65	167.9	187.71	540.19	392.44	253.23	583.07	551.56	351.14	457.25	289.02	395.18	802.41	371.22	620.67	503.95	373.81	536.45	356.05	414.87	339.14
GPALPP1	100.13	0.0	0.4	221.86	172.65	379.04	269.6	256.78	409.15	332.14	307.69	341.51	325.29	379.04	476.71	228.13	518.15	406.31	281.09	271.48	271.48	373.81	346.29
GPBP1L1	1001.93	1388.16	1447.15	1369.04	1066.48	1540.37	1583.71	1477.58	2240.11	1794.29	1369.04	1508.65	1378.57	1407.55	2032.85	1508.65	1832.01	1923.14	1561.89	1674.06	1066.48	1487.87	1733.13
GPR89B	197.09	0.0	0.43	136.19	190.34	229.72	237.86	128.79	307.69	246.28	183.82	260.38	275.28	226.54	373.81	191.67	293.07	373.81	215.77	214.27	191.67	197.09	215.77
GUF1	148.09	0.0	0.22	133.36	202.66	332.14	223.41	211.31	334.46	332.14	229.72	255.0	181.28	423.61	551.56	251.48	426.57	444.72	249.73	303.44	253.23	281.09	248.0
HERC4	120.1	429.54	139.07	166.73	143.01	384.34	301.33	256.78	507.46	334.46	316.37	400.71	397.93	366.09	642.59	293.07	514.56	551.56	314.17	343.89	251.48	358.54	368.65
IMPG1	0.0	0.0	0.3	1.41	0.0	2.29	2.41	2.71	8.13	2.12	5.5	6.36	2.97	1.57	4.78	2.58	10.96	9.56	0.74	5.19	3.44	5.68	5.02
IPP	94.01	0.0	0.0	165.57	155.5	273.37	194.36	189.02	275.28	242.88	206.94	226.54	158.79	279.14	211.31	206.94	387.02	389.72	224.97	209.84	209.84	209.84	273.37
KIAA2026	77.25	0.0	0.53	115.16	89.51	299.25	218.79	124.37	429.54	273.37	181.28	223.41	181.28	226.54	376.41	183.82	363.56	361.04	166.73	229.72	140.04	262.2	139.07
KIF3A	55.49	0.0	0.2	62.12	53.57	163.28	102.25	75.64	124.37	115.16	125.24	99.43	89.51	108.9	161.02	96.68	215.77	217.27	112.77	120.94	48.52	127.89	107.38
LATS1	57.08	94.67	53.19	80.01	62.56	242.88	153.34	106.63	269.6	218.79	122.64	141.02	102.97	155.5	283.05	141.02	289.02	234.57	151.22	176.29	108.14	151.22	117.6
LNX2	52.45	0.0	0.0	54.72	57.89	167.9	173.85	77.79	199.85	234.57	117.6	180.02	98.73	118.43	154.42	120.94	195.72	256.78	167.9	145.02	209.84	166.73	117.6
MDM1	87.03	0.0	0.21	65.72	221.86	346.29	178.77	137.14	473.41	318.57	234.57	379.04	229.72	303.44	555.41	182.55	379.04	316.37	187.71	318.57	158.79	269.6	205.5
MKRN2	262.2	0.0	0.55	237.86	293.07	629.35	693.58	307.69	674.59	638.15	373.81	514.56	356.05	579.04	656.11	447.82	708.18	775.05	511.0	559.28	500.46	503.95	486.75
MPP5	81.14	0.0	0.39	135.24	226.54	836.53	567.1	303.44	909.17	785.88	351.14	543.96	525.39	733.19	1242.34	397.93	660.68	665.29	547.75	493.56	547.75	500.46	500.46
MTIF2	220.32	0.0	0.0	293.07	414.87	486.75	368.65	361.04	493.56	480.04	435.55	376.41	373.81	414.87	583.07	403.5	547.75	567.1	379.04	529.06	351.14	438.59	348.71
NFXL1	55.89	0.0	0.42	55.1	122.64	202.66	164.42	149.12	368.65	249.73	256.78	318.57	150.17	144.01	279.14	249.73	260.38	256.78	209.84	187.71	199.85	177.53	163.28
NUDT13	24.11	0.0	0.17	36.53	46.5	48.52	29.48	31.22	67.12	62.56	56.28	66.18	24.63	51.71	74.06	79.45	100.83	94.01	68.07	48.18	46.84	57.08	39.79
OSBPL1A	246.28	0.0	0.51	155.5	309.83	1151.06	693.58	301.33	1111.82	830.75	412.0	629.35	457.25	723.08	1059.11	563.18	974.5	1015.93	406.31	543.96	447.82	713.11	571.05
OSGEPL1	61.68	0.0	0.0	100.13	151.22	148.09	115.97	77.79	242.88	164.42	115.97	159.9	127.0	146.03	199.85	136.19	199.85	211.31	157.68	182.55	105.89	172.65	130.6
PDE5A	31.45	0.0	0.26	633.73	73.54	432.53	320.8	97.36	256.78	339.14	287.01	591.22	226.54	231.32	420.68	223.41	525.39	718.08	320.8	358.54	231.32	343.89	264.03
PDPK1	149.12	0.0	0.47	167.9	255.0	567.1	441.64	275.28	775.05	587.13	429.54	507.46	297.17	334.46	759.08	341.51	693.58	860.08	297.17	460.44	251.48	397.93	316.37
PLEKHF2	301.33	0.0	0.38	59.13	113.56	264.03	199.85	127.0	314.17	229.72	143.01	182.55	176.29	137.14	234.57	178.77	214.27	314.17	223.41	163.28	220.32	199.85	138.1
PLS1	40.36	0.0	0.0	41.52	22.26	208.38	83.45	66.65	387.02	277.2	140.04	158.79	68.55	124.37	186.4	108.14	182.55	271.48	162.14	154.42	212.78	211.31	159.9
PPID	450.94	0.0	0.07	381.68	796.86	713.11	571.05	543.96	1066.48	866.07	633.73	688.78	575.03	665.29	921.88	718.08	928.3	981.29	860.08	785.88	571.05	723.08	579.04
PPP1R21	291.04	0.0	0.39	629.35	323.03	2047.0	1015.93	438.59	1508.65	1498.22	624.99	1066.48	575.03	796.86	1857.6	1295.13	1175.27	2004.85	1662.49	1397.83	1498.22	1044.52	988.12
PRKAB2	65.26	0.0	0.61	41.22	39.79	141.02	100.13	124.37	215.77	145.02	82.87	145.02	125.24	111.21	163.28	76.17	201.25	256.78	82.29	96.68	70.51	134.3	140.04
PRKCI	128.79	283.05	84.04	316.37	256.78	764.36	511.0	591.22	1183.45	738.29	414.87	563.18	674.59	733.19	2193.99	417.77	947.83	1199.98	884.29	438.59	620.67	454.09	638.15
PRKD1	34.75	0.0	0.46	39.22	76.71	205.5	158.79	106.63	303.44	183.82	152.28	138.1	136.19	115.97	185.11	134.3	208.38	281.09	173.85	122.64	158.79	146.03	120.94
PRMT10	54.72	0.0	0.08	94.67	162.14	361.04	265.87	283.05	473.41	381.68	264.03	341.51	323.03	309.83	444.72	363.56	406.31	559.28	420.68	325.29	384.34	420.68	361.04
PTK2	529.06	0.0	0.73	974.5	759.08	1407.55	1037.29	1167.14	1427.22	1191.69	902.89	896.64	1051.79	1104.13	1417.35	1015.93	1159.07	1551.09	941.27	902.89	896.64	1037.29	1119.56
RAB18	836.53	0.0	0.79	1594.73	808.0	2537.92	2193.99	1369.04	3589.58	2777.33	1977.24	1857.6	1331.57	1991.0	2956.17	1733.13	2335.28	2796.65	2664.15	2351.53	2400.97	2485.67	2004.85
RNF8	271.48	0.0	0.6	220.32	241.19	309.83	253.23	165.57	368.65	273.37	265.87	281.09	271.48	226.54	283.05	205.5	244.57	395.18	202.66	264.03	218.79	258.57	275.28
RPS6KA6	7.22	0.0	0.17	5.77	16.88	299.25	116.78	45.53	802.41	231.32	82.87	162.14	128.79	129.69	426.57	92.7	228.13	318.57	132.44	150.17	92.7	180.02	151.22
RWDD3	287.01	0.0	0.0	279.14	291.04	480.04	441.64	480.04	769.69	536.45	389.72	486.75	480.04	525.39	728.11	490.14	583.07	624.99	500.46	532.74	466.88	559.28	547.75
SACS	27.25	0.0	0.47	10.47	21.63	54.33	26.86	43.94	80.01	44.89	35.5	43.02	43.94	48.52	75.11	33.78	93.35	71.5	34.75	58.3	31.22	38.67	43.32
SCAI	21.47	21.32	29.48	32.13	24.81	56.68	36.01	22.59	63.0	45.85	23.93	40.64	36.53	60.82	63.45	33.54	79.45	58.71	37.59	36.01	32.36	31.45	35.76
SKIV2L2	336.79	518.15	105.15	493.56	551.56	660.68	669.92	529.06	872.1	808.0	651.58	748.61	551.56	575.03	995.0	684.02	825.0	896.64	579.04	703.28	595.34	759.08	500.46
SLC25A30	60.82	0.0	0.27	63.45	129.69	260.38	98.04	81.14	265.87	226.54	113.56	208.38	152.28	193.01	163.28	130.6	239.52	361.04	189.02	169.07	81.14	172.65	104.42
SLC40A1	503.95	0.0	0.35	1191.69	791.35	1561.89	854.13	1397.83	2178.83	1151.06	651.58	743.43	836.53	1277.29	1721.16	836.53	1350.18	1883.54	988.12	1295.13	674.59	1427.22	967.76
SNX16	56.68	0.0	0.39	105.89	67.12	172.65	214.27	176.29	493.56	318.57	144.01	180.02	108.9	147.06	248.0	177.53	309.83	540.19	229.72	287.01	256.78	336.79	194.36
SP3	256.78	0.0	0.57	309.83	384.34	1508.65	819.3	493.56	1508.65	947.83	607.87	915.51	698.41	780.44	1721.16	718.08	1135.2	1159.07	802.41	928.3	753.83	830.75	633.73
SPAST	63.45	0.0	0.24	61.25	71.0	161.02	96.68	72.01	228.13	163.28	96.68	126.12	74.06	120.94	220.32	100.83	185.11	173.85	108.9	124.37	125.24	134.3	113.56
SPATA7	68.07	0.0	0.29	165.57	226.54	414.87	265.87	267.73	480.04	466.88	358.54	351.14	392.44	379.04	571.05	332.14	457.25	587.13	432.53	334.46	351.14	441.64	363.56
SPIN2B	189.02	0.0	0.41	197.09	295.11	332.14	232.94	267.73	236.21	215.77	195.72	318.57	320.8	303.44	299.25	236.21	351.14	334.46	241.19	273.37	258.57	269.6	287.01
STX2	67.12	0.0	0.62	88.88	120.1	291.04	265.87	173.85	293.07	325.29	214.27	279.14	264.03	256.78	371.22	226.54	366.09	426.57	273.37	177.53	140.04	241.19	314.17
TAB3	54.33	0.0	0.55	79.45	69.03	234.57	208.38	126.12	293.07	231.32	131.51	226.54	181.28	185.11	397.93	169.07	269.6	273.37	197.09	206.94	175.07	228.13	149.12
TADA1	106.63	0.0	0.52	102.25	109.66	234.57	154.42	139.07	279.14	197.09	153.34	182.55	175.07	148.09	239.52	120.94	218.79	265.87	193.01	193.01	187.71	185.11	159.9
TCAIM	125.24	0.0	0.45	135.24	173.85	287.01	191.67	205.5	395.18	339.14	191.67	267.73	262.2	295.11	309.83	229.72	275.28	371.22	293.07	297.17	258.57	275.28	275.28
TDP2	283.05	733.19	223.41	417.77	387.02	684.02	555.41	470.14	796.86	633.73	470.14	567.1	540.19	567.1	791.35	473.41	669.92	753.83	575.03	603.67	473.41	660.68	599.49
TEFM	100.13	0.0	0.0	98.73	128.79	271.48	211.31	161.02	334.46	260.38	201.25	232.94	198.47	241.19	387.02	178.77	395.18	417.77	229.72	275.28	173.85	218.79	204.07
TG	43.94	0.0	0.64	52497.92	663619.99	2068278.89	2247670.86	839981.65	1204496.53	1634025.56	1997825.68	1997825.68	2986448.72	2425749.94	992012.34	1943195.01	875652.15	1100706.72	2636147.11	2263304.65	3178687.03	3886391.01	2672946.37
TMTC3	55.49	92.05	55.49	42.11	39.22	161.02	96.68	63.45	191.67	133.36	80.01	97.36	49.56	92.05	211.31	82.87	135.24	124.37	99.43	96.68	98.04	119.26	69.03
TRAPPC11	185.11	309.83	177.53	218.79	249.73	373.81	339.14	301.33	426.57	366.09	309.83	395.18	262.2	301.33	525.39	320.8	563.18	466.88	329.84	327.56	329.84	339.14	346.29
TRIM2	28.45	309.83	595.34	146.03	738.29	1059.11	1015.93	575.03	2591.27	1322.37	693.58	591.22	884.29	1378.57	1617.0	1175.27	1674.06	1359.57	733.19	1540.37	688.78	1832.01	1111.82
TTC23	197.09	0.0	0.61	217.27	232.94	281.09	307.69	373.81	470.14	371.22	312.0	356.05	384.34	389.72	490.14	303.44	392.44	483.38	215.77	363.56	269.6	353.59	412.0
TWSG1	97.36	0.0	0.39	239.52	228.13	1111.82	563.18	366.09	1030.12	633.73	395.18	470.14	400.71	620.67	1159.07	373.81	738.29	764.36	480.04	595.34	432.53	529.06	409.15
UBE3D	34.02	0.0	0.0	45.85	87.65	103.69	46.18	51.71	115.16	87.65	60.82	92.05	100.13	97.36	143.01	92.7	149.12	87.65	80.57	71.0	64.8	65.26	73.03
WRB	616.37	0.0	0.4	409.15	529.06	921.88	587.13	493.56	1143.1	738.29	563.18	656.11	679.29	693.58	1066.48	511.0	591.22	884.29	651.58	753.83	587.13	567.1	703.28
XPO1	579.04	1268.46	162.14	343.89	447.82	1225.22	928.3	718.08	1844.76	1467.37	890.44	1159.07	974.5	1159.07	1757.34	1081.39	1487.87	1594.73	1051.79	1199.98	733.19	1001.93	954.43
ZBTB26	29.27	0.0	0.45	35.25	62.12	187.71	120.1	94.01	234.57	161.02	96.68	133.36	123.5	149.12	271.48	87.65	201.25	249.73	125.24	138.1	102.25	152.28	133.36
ZBTB41	22.26	117.6	44.89	34.51	43.02	154.42	76.17	52.45	269.6	154.42	76.71	106.63	66.18	100.13	191.67	63.89	145.02	124.37	81.14	118.43	74.58	118.43	89.51
ZDHHC21	26.28	0.0	0.58	32.36	38.12	135.24	107.38	77.25	164.42	142.01	102.97	113.56	109.66	116.78	281.09	94.67	151.22	139.07	94.01	125.24	76.17	119.26	102.25
ZNF260	42.11	53.95	73.54	56.28	68.55	215.77	130.6	105.89	239.52	154.42	117.6	136.19	86.43	115.97	199.85	100.83	212.78	189.02	155.5	143.01	110.43	173.85	133.36
ZNF443	27.64	0.0	0.09	36.01	41.52	73.54	55.49	21.63	83.45	56.68	48.52	56.28	54.72	47.17	90.14	48.18	93.35	84.63	50.98	61.25	37.85	63.89	54.72
ZNF684	31.45	0.0	0.17	21.16	49.56	102.25	90.14	73.03	84.04	101.54	105.15	92.7	64.34	99.43	166.73	105.15	152.28	149.12	84.04	109.66	75.11	74.06	63.0
ZNF799	45.53	0.0	0.28	30.78	40.07	47.17	47.84	35.5	96.68	55.89	40.64	44.89	41.52	38.12	67.12	58.71	92.05	83.45	52.08	64.8	57.08	52.08	47.5
ZNF823	62.56	0.0	0.22	44.25	40.36	96.68	71.0	54.72	128.79	93.35	65.26	72.01	70.01	73.54	83.45	78.89	115.16	137.14	96.01	90.14	81.14	98.04	68.07
