	GTEX.P4PP.0526.SM.2HMKE	GTEX.13D11.0326.SM.5LZXX	GTEX.O5YW.0526.SM.2YUMX	GTEX.ZZPU.0526.SM.5E44U	GTEX.QXCU.0626.SM.2TC69	GTEX.145LT.0326.SM.5LUAD	GTEX.13OVH.1026.SM.5J2NP	GTEX.P4QT.0526.SM.2I3EX	GTEX.ZT9X.0326.SM.51MTE	GTEX.SNOS.0426.SM.32PMH	GTEX.R55C.0526.SM.3GIKA	GTEX.S33H.0626.SM.2XCBJ	GTEX.14E7W.1326.SM.5RQIV	GTEX.R55G.0826.SM.2TC5U	GTEX.11EMC.0126.SM.5EGKV	GTEX.T6MO.0426.SM.32QOI	GTEX.1339X.0626.SM.5IJER	GTEX.13N1W.0726.SM.5MR57	GTEX.13VXU.2726.SM.5LU4N	GTEX.132QS.0726.SM.5IJE9	GTEX.UJHI.0726.SM.3DB92	GTEX.11TT1.1626.SM.5EQL7	GTEX.PLZ6.0426.SM.5IFK2	GTEX.S7SF.0426.SM.3K2B7	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.ZYWO.0826.SM.5E45W	GTEX.UPK5.1126.SM.3GAEJ	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.1211K.0826.SM.5FQUP	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.QEG5.1126.SM.33HC2	GTEX.WYVS.0526.SM.3NM9W
CALM1	6935.54	18178.19	5633.22	13215.02	2537.92	7032.37	4607.24	7331.05	15392.14	8421.31	13776.25	13872.08	19754.96	12329.98	5672.41	7911.95	4095.0	4298.64	11992.79	7180.15	5112.16	13215.02	12329.98	12676.65	7180.15	9740.98	13306.94	23986.58	6294.04	7331.05	8598.28	9540.5	8305.36	11745.96
CDKN2AIPNL	384.34	796.86	450.94	579.04	293.07	366.09	173.85	432.53	395.18	486.75	651.58	511.0	189.02	624.99	224.97	435.55	363.56	325.29	126.12	409.15	423.61	470.14	1059.11	638.15	532.74	638.15	591.22	825.0	420.68	486.75	525.39	463.65	318.57	470.14
CETN3	373.81	995.0	435.55	866.07	158.79	490.14	181.28	463.65	988.12	583.07	981.29	854.13	156.59	723.08	316.37	703.28	483.38	265.87	172.65	595.34	480.04	775.05	1286.18	1030.12	607.87	954.43	928.3	1096.5	547.75	599.49	703.28	708.18	718.08	1051.79
COMMD6	3372.43	4095.0	2271.4	5479.15	2384.37	3901.01	3060.45	2976.74	5292.48	2915.45	4543.8	6840.04	3395.89	3955.48	4239.45	3955.48	3235.01	2609.3	2664.15	2319.15	4268.94	3018.3	7857.29	5672.41	5831.91	4639.29	3982.99	5633.22	3124.78	3540.14	3060.45	4152.18	3768.09	5672.41
COMMD8	301.33	708.18	297.17	647.07	140.04	470.14	100.13	289.02	941.27	409.15	733.19	769.69	163.28	543.96	134.3	536.45	275.28	148.09	121.79	332.14	281.09	559.28	718.08	708.18	267.73	599.49	638.15	688.78	447.82	575.03	339.14	587.13	363.56	679.29
COX16	708.18	1561.89	642.59	1313.23	591.22	723.08	669.92	669.92	1662.49	660.68	1977.24	2193.99	665.29	1059.11	764.36	1721.16	890.44	764.36	559.28	813.63	743.43	1037.29	1844.76	2255.7	961.07	1457.23	1397.83	2935.74	1015.93	785.88	688.78	1167.14	1073.91	1685.71
CWC27	253.23	454.09	264.03	414.87	164.42	297.17	170.25	229.72	547.75	289.02	423.61	540.19	214.27	376.41	220.32	450.94	204.07	206.94	148.09	244.57	273.37	457.25	389.72	559.28	343.89	406.31	555.41	660.68	223.41	265.87	287.01	343.89	329.84	480.04
DENR	500.46	743.43	406.31	688.78	260.38	480.04	287.01	414.87	808.0	599.49	836.53	902.89	260.38	616.37	258.57	764.36	447.82	325.29	264.03	473.41	480.04	651.58	713.11	878.17	397.93	688.78	723.08	872.1	629.35	571.05	497.0	536.45	500.46	890.44
DNAJC15	620.67	1096.5	212.78	262.2	132.44	802.41	89.51	239.52	872.1	299.25	1378.57	981.29	150.17	825.0	348.71	733.19	224.97	387.02	131.51	575.03	220.32	473.41	1709.26	1583.71	460.44	1066.48	1313.23	638.15	620.67	387.02	312.0	703.28	249.73	819.3
DNAJC8	1991.0	2758.13	1427.22	3168.41	1605.83	1896.65	1467.37	1721.16	4543.8	2271.4	3212.66	3589.58	1417.35	2061.24	1508.65	2133.97	1674.06	1844.76	1350.18	2701.35	1199.98	2417.67	3039.3	3768.09	1639.59	3018.3	3515.68	4575.41	1540.37	2148.82	1540.37	2240.11	1605.83	2758.13
DPY30	1304.15	2351.53	1427.22	2384.37	341.51	1529.73	684.02	1313.23	1857.6	1066.48	1685.71	1857.6	514.56	2148.82	1001.93	1286.18	1119.56	753.83	476.71	1519.15	934.76	1407.55	2835.7	2148.82	1277.29	1832.01	2178.83	2468.49	1242.34	1583.71	1519.15	1467.37	1529.73	2645.74
ELAC1	186.4	231.32	206.94	255.0	134.3	175.07	68.07	167.9	177.53	239.52	244.57	258.57	84.63	195.72	95.34	194.36	122.64	137.14	52.45	132.44	195.72	223.41	303.44	231.32	205.5	246.28	242.88	186.4	185.11	190.34	289.02	226.54	144.01	186.4
ELMOD2	208.38	320.8	142.01	283.05	133.36	163.28	106.63	136.19	389.72	148.09	409.15	368.65	100.83	314.17	142.01	281.09	229.72	223.41	186.4	140.04	199.85	167.9	363.56	435.55	122.64	305.55	265.87	314.17	265.87	241.19	251.48	316.37	312.0	420.68
FAM104B	269.6	563.18	423.61	603.67	170.25	361.04	180.02	339.14	470.14	392.44	591.22	780.44	144.01	457.25	293.07	429.54	301.33	153.34	193.01	327.56	318.57	368.65	647.07	698.41	444.72	486.75	620.67	902.89	389.72	387.02	351.14	346.29	457.25	591.22
FAM173B	159.9	348.71	170.25	275.28	40.93	153.34	65.72	163.28	305.55	287.01	316.37	368.65	76.71	241.19	119.26	361.04	167.9	58.3	53.57	120.1	204.07	260.38	295.11	285.03	206.94	316.37	295.11	503.95	307.69	187.71	283.05	231.32	201.25	400.71
FGFR1OP	101.54	171.45	69.03	150.17	35.25	154.42	57.89	61.68	209.84	176.29	255.0	217.27	59.55	189.02	59.13	149.12	120.94	50.63	44.89	109.66	159.9	142.01	178.77	150.17	104.42	121.79	220.32	262.2	117.6	107.38	140.04	111.99	208.38	305.55
FKBP14	90.77	293.07	84.63	171.45	211.31	96.01	84.63	105.15	167.9	187.71	297.17	607.87	108.9	158.79	94.67	239.52	57.49	249.73	72.52	145.02	84.04	117.6	125.24	209.84	73.54	169.07	139.07	339.14	205.5	144.01	116.78	163.28	172.65	269.6
GATC	327.56	307.69	297.17	277.2	209.84	175.07	193.01	279.14	438.59	283.05	323.03	423.61	112.77	368.65	146.03	409.15	147.06	224.97	130.6	215.77	172.65	353.59	169.07	277.2	145.02	312.0	301.33	293.07	264.03	297.17	314.17	264.03	170.25	267.73
GSKIP	674.59	579.04	332.14	563.18	224.97	309.83	159.9	291.04	988.12	460.44	775.05	429.54	170.25	728.11	209.84	503.95	212.78	204.07	107.38	285.03	153.34	384.34	633.73	486.75	148.09	624.99	420.68	470.14	366.09	332.14	403.5	457.25	279.14	728.11
GTF2A2	2004.85	4512.4	896.64	3820.7	2400.97	2609.3	1437.15	1605.83	5555.65	1498.22	3168.41	4937.99	1388.16	2816.11	1769.57	2502.97	1250.98	1322.37	830.75	2240.11	1023.0	2384.37	4575.41	3491.39	1498.22	2997.45	3419.52	5479.15	2591.27	2645.74	1457.23	3212.66	1295.13	3564.78
GTF2H5	106.63	150.17	68.55	150.17	56.28	110.43	36.53	95.34	125.24	90.77	122.64	126.12	40.93	129.69	51.35	120.1	80.01	44.25	36.27	109.66	89.51	112.77	175.07	134.3	78.89	126.12	140.04	103.69	89.51	126.12	101.54	114.36	63.45	115.16
GTF3C6	1322.37	2193.99	802.41	2075.59	780.44	1322.37	866.07	1119.56	2468.49	1529.73	2075.59	2075.59	599.49	1540.37	638.15	1950.0	1044.52	878.17	466.88	1216.75	915.51	1685.71	2032.85	2835.7	854.13	1572.76	1769.57	2537.92	1819.35	1498.22	896.64	1697.45	1044.52	2224.63
HEATR3	202.66	307.69	172.65	283.05	108.9	212.78	165.57	137.14	366.09	248.0	379.04	258.57	111.99	239.52	55.49	334.46	177.53	104.42	82.87	177.53	140.04	214.27	191.67	316.37	125.24	232.94	283.05	368.65	281.09	177.53	214.27	241.19	190.34	435.55
HNRNPA2B1	7130.55	13586.57	6426.31	13123.73	4869.99	5403.7	6037.61	7485.11	19482.97	6207.38	15934.98	13586.57	11992.79	11664.82	8963.45	14065.74	5479.15	8840.04	9808.75	5329.3	5292.48	11424.74	13681.08	11584.24	6983.79	10512.82	15824.9	29327.18	10084.54	8598.28	8963.45	7695.57	5329.3	22850.48
HPS3	201.25	309.83	186.4	239.52	145.02	214.27	258.57	228.13	381.68	181.28	343.89	336.79	144.01	279.14	236.21	205.5	312.0	262.2	161.02	187.71	154.42	211.31	356.05	327.56	229.72	289.02	242.88	379.04	176.29	194.36	197.09	267.73	336.79	514.56
HSPA1L	45.85	46.18	58.71	52.82	13.83	22.92	14.56	38.67	37.85	24.46	43.32	60.82	17.51	31.0	15.45	38.4	26.67	14.45	9.7	24.28	32.59	30.34	46.18	31.67	27.64	43.63	38.4	57.08	29.48	31.45	52.82	31.45	15.0	44.57
IPO11	366.09	329.84	241.19	438.59	166.73	312.0	124.37	269.6	435.55	334.46	480.04	642.59	105.15	480.04	154.42	529.06	248.0	140.04	143.01	191.67	291.04	293.07	351.14	406.31	309.83	371.22	503.95	813.63	420.68	314.17	309.83	299.25	262.2	651.58
LOXL3	77.25	191.67	117.6	189.02	17.51	77.25	63.89	115.16	295.11	62.12	115.97	197.09	47.17	117.6	55.89	169.07	87.03	34.75	61.68	53.95	199.85	63.0	255.0	187.71	48.87	177.53	122.64	110.43	111.99	44.25	191.67	125.24	39.5	239.52
LRR1	164.42	329.84	51.35	264.03	218.79	172.65	176.29	89.51	595.34	232.94	297.17	316.37	88.88	287.01	137.14	241.19	134.3	150.17	176.29	166.73	104.42	193.01	224.97	454.09	77.79	164.42	209.84	423.61	246.28	150.17	81.14	205.5	141.02	423.61
MCTS1	555.41	1313.23	384.34	1008.9	180.02	902.89	483.38	457.25	1487.87	769.69	1498.22	1397.83	358.54	902.89	490.14	1088.92	723.08	381.68	381.68	583.07	647.07	921.88	1350.18	1844.76	575.03	1059.11	1208.34	1963.57	1199.98	836.53	547.75	1081.39	961.07	1757.34
MEMO1	316.37	890.44	309.83	571.05	283.05	450.94	275.28	289.02	1159.07	669.92	620.67	928.3	283.05	738.29	376.41	559.28	409.15	267.73	258.57	575.03	281.09	642.59	587.13	1175.27	291.04	607.87	708.18	902.89	514.56	480.04	255.0	633.73	435.55	878.17
MPZL1	1427.22	2104.58	1304.15	1794.29	1594.73	1583.71	1870.53	1199.98	2075.59	1857.6	2816.11	3955.48	1498.22	2255.7	1378.57	2047.0	1051.79	1781.89	1369.04	1551.09	1427.22	1896.65	1794.29	2061.24	915.51	1617.0	2303.12	2133.97	2240.11	1857.6	1662.49	1896.65	1674.06	1991.0
MRPL19	480.04	902.89	379.04	583.07	376.41	551.56	297.17	463.65	941.27	476.71	769.69	967.76	220.32	808.0	323.03	660.68	341.51	351.14	248.0	483.38	267.73	642.59	825.0	1059.11	339.14	647.07	808.0	624.99	642.59	551.56	532.74	836.53	318.57	819.3
MRPS28	1304.15	2400.97	1208.34	2351.53	647.07	1023.0	595.34	1286.18	2555.58	921.88	2061.24	1733.13	878.17	2255.7	1023.0	1977.24	595.34	785.88	325.29	848.22	575.03	1508.65	2796.65	3467.27	1508.65	2384.37	1936.53	2609.3	1388.16	1277.29	1088.92	1794.29	1081.39	2061.24
NDC1	189.02	211.31	165.57	190.34	187.71	99.43	55.1	120.1	224.97	190.34	232.94	217.27	49.21	316.37	77.25	202.66	82.29	108.14	33.54	111.99	89.51	218.79	172.65	215.77	90.14	163.28	193.01	289.02	194.36	149.12	204.07	187.71	131.51	309.83
NDUFC1	2573.36	3768.09	1950.0	4937.99	1594.73	3168.41	1819.35	1963.57	2758.13	2351.53	2573.36	3982.99	2816.11	2573.36	3325.99	2935.74	2915.45	2032.85	1617.0	2468.49	2739.08	2627.46	5672.41	4419.52	3589.58	4239.45	3372.43	7911.95	2032.85	2758.13	1857.6	3820.7	3349.13	4481.23
NSL1	339.14	791.35	500.46	872.1	150.17	341.51	206.94	414.87	854.13	457.25	802.41	890.44	262.2	688.78	255.0	616.37	438.59	153.34	244.57	389.72	325.29	514.56	796.86	684.02	351.14	878.17	688.78	842.36	426.57	406.31	507.46	454.09	295.11	660.68
NUF2	14.56	27.64	3.92	22.26	8.71	8.25	12.0	10.55	107.38	4.78	145.02	50.63	8.38	162.14	10.79	22.1	11.38	8.25	29.27	23.42	12.36	25.17	90.14	30.12	4.94	15.91	9.06	136.19	14.35	3.66	10.16	14.45	13.32	175.07
NUP37	320.8	559.28	323.03	457.25	182.55	368.65	211.31	358.54	620.67	409.15	607.87	536.45	150.17	521.76	223.41	454.09	312.0	198.47	122.64	346.29	312.0	476.71	567.1	665.29	262.2	525.39	521.76	753.83	521.76	366.09	379.04	444.72	483.38	775.05
NUS1	718.08	866.07	384.34	684.02	769.69	579.04	748.61	392.44	769.69	587.13	941.27	947.83	414.87	651.58	454.09	830.75	343.89	441.64	579.04	629.35	373.81	759.08	438.59	753.83	412.0	633.73	836.53	647.07	698.41	660.68	403.5	743.43	493.56	698.41
PCMT1	1697.45	2367.9	1250.98	1781.89	928.3	1397.83	543.96	1407.55	2193.99	1508.65	2287.2	2178.83	563.18	1977.24	848.22	1991.0	995.0	961.07	429.54	1697.45	775.05	1697.45	1721.16	2367.9	1225.22	1594.73	2104.58	2485.67	1733.13	1477.58	1340.84	1617.0	1378.57	1857.6
PCNA	961.07	2645.74	928.3	1721.16	387.02	1250.98	346.29	1233.75	5006.93	1709.26	2178.83	2032.85	483.38	3372.43	688.78	1651.0	854.13	769.69	395.18	1268.46	872.1	1407.55	2451.44	3395.89	830.75	1794.29	1617.0	4512.4	1883.54	1268.46	1199.98	1651.0	967.76	5479.15
PDCD6	1697.45	2664.15	1529.73	3467.27	1519.15	1457.23	1259.69	2209.26	2796.65	2209.26	2468.49	2047.0	884.29	2075.59	1551.09	2335.28	1769.57	2384.37	713.11	1991.0	2163.77	2520.38	3665.02	2816.11	1757.34	3395.89	3303.0	3060.45	2119.22	2287.2	2351.53	2855.44	1104.13	2627.46
PFDN4	387.02	1250.98	397.93	1159.07	387.02	669.92	265.87	387.02	896.64	497.0	813.63	1208.34	301.33	559.28	397.93	718.08	466.88	414.87	323.03	473.41	514.56	796.86	1397.83	1304.15	559.28	941.27	1183.45	775.05	567.1	728.11	384.34	825.0	780.44	1191.69
PRDX1	8305.36	30785.28	7130.55	21172.91	2240.11	9945.68	5219.6	9344.14	34876.28	10733.74	26614.89	21617.82	8134.41	13399.51	5555.65	22850.48	6840.04	12244.81	5791.62	15607.02	6037.61	13306.94	20593.91	41763.8	9279.58	14663.09	21468.49	43236.64	26248.46	11189.6	6561.36	21919.61	8078.22	34635.37
PRDX3	1757.34	4268.94	1594.73	3665.02	878.17	2997.45	1059.11	1697.45	5147.73	2664.15	4736.79	5255.91	1250.98	4575.41	1819.35	3614.55	1268.46	1662.49	842.36	2520.38	1427.22	2976.74	4298.64	3639.7	1540.37	3515.68	3589.58	4704.07	2895.31	2573.36	1870.53	3955.48	3060.45	4736.79
PRIM2	84.04	127.89	56.68	70.01	31.67	70.51	8.85	74.58	165.57	59.55	142.01	144.01	27.64	142.01	34.02	66.18	36.53	55.1	14.89	61.68	66.18	73.03	156.59	90.14	84.63	111.21	93.35	122.64	95.34	69.03	66.65	72.01	56.68	205.5
RABL3	323.03	387.02	289.02	348.71	327.56	297.17	148.09	220.32	525.39	229.72	555.41	429.54	162.14	429.54	186.4	366.09	155.5	295.11	102.97	255.0	204.07	450.94	305.55	463.65	194.36	368.65	356.05	429.54	309.83	336.79	318.57	414.87	285.03	381.68
RAD51C	260.38	595.34	329.84	518.15	228.13	490.14	177.53	279.14	703.28	356.05	540.19	457.25	202.66	500.46	141.02	444.72	255.0	152.28	149.12	318.57	336.79	341.51	511.0	441.64	366.09	426.57	373.81	753.83	307.69	395.18	373.81	327.56	258.57	656.11
RFC5	102.97	267.73	141.02	217.27	99.43	119.26	54.72	215.77	387.02	193.01	267.73	301.33	67.59	376.41	68.55	193.01	164.42	71.0	57.49	130.6	218.79	170.25	267.73	271.48	125.24	275.28	211.31	441.64	194.36	158.79	218.79	189.02	157.68	470.14
RMI1	50.63	123.5	44.57	103.69	16.63	68.07	27.84	47.84	147.06	85.22	134.3	146.03	26.28	162.14	37.05	120.1	44.89	34.02	31.22	49.56	61.25	81.71	96.68	81.71	34.02	118.43	93.35	214.27	88.26	77.25	82.29	61.25	69.52	131.51
RRAGA	2682.69	2555.58	2193.99	2417.67	902.89	2255.7	988.12	2193.99	2133.97	1991.0	2367.9	2148.82	1001.93	2417.67	1733.13	2520.38	1135.2	1519.15	688.78	1896.65	1605.83	1583.71	2758.13	2591.27	1594.73	2417.67	2434.5	3564.78	1896.65	2133.97	2148.82	2271.4	1572.76	2796.65
RTP4	114.36	105.89	84.04	241.19	3.56	39.5	64.8	301.33	647.07	94.01	193.01	206.94	136.19	134.3	49.21	105.89	52.82	120.1	187.71	44.25	46.84	96.68	241.19	305.55	46.5	205.5	209.84	253.23	42.71	76.17	150.17	178.77	44.57	224.97
SCLT1	57.08	96.68	48.87	84.63	30.78	66.18	63.45	38.12	171.45	78.34	131.51	151.22	78.34	111.99	40.64	98.04	73.03	42.41	72.52	52.45	47.5	82.29	87.65	61.68	60.39	74.58	78.89	155.5	61.25	67.12	82.87	66.18	81.14	157.68
SFR1	185.11	262.2	132.44	260.38	77.79	205.5	76.71	97.36	368.65	190.34	289.02	239.52	82.87	241.19	70.51	205.5	111.99	81.14	99.43	177.53	89.51	262.2	323.03	332.14	144.01	269.6	202.66	283.05	170.25	231.32	201.25	189.02	258.57	264.03
SFTPB	3383299.76	1556634.79	3290783.22	985160.01	2965819.8	1383603.33	573724.06	2617937.91	271387.49	1890058.21	945028.61	2061.24	23330.64	2767207.65	3007221.12	2408994.05	1503610.06	2986448.72	373.81	1877002.62	1825675.85	2845004.48	2025714.3	381149.17	3156730.23	5057523.59	762299.34	53973.86	2493947.08	2068278.89	2599854.48	3245478.02	2546350.23	397335.0
SGOL2	32.59	44.57	35.76	36.79	9.41	15.56	4.5	29.27	119.26	33.54	70.51	50.27	7.11	137.14	7.63	41.22	14.14	7.06	4.94	27.84	20.56	42.41	63.45	42.11	19.53	43.63	34.26	111.99	24.46	27.25	55.1	39.5	16.39	131.51
SLC25A20	389.72	896.64	525.39	1135.2	173.85	379.04	156.59	796.86	1127.35	334.46	1143.1	921.88	115.97	703.28	241.19	656.11	381.68	194.36	176.29	656.11	921.88	289.02	698.41	1304.15	503.95	808.0	884.29	808.0	450.94	435.55	591.22	480.04	170.25	872.1
SMC2	112.77	172.65	99.43	147.06	30.12	66.18	24.11	84.04	346.29	92.05	223.41	170.25	38.95	343.89	38.95	123.5	51.71	45.85	21.63	120.94	122.64	96.01	159.9	140.04	57.49	131.51	110.43	265.87	98.73	78.89	128.79	151.22	87.03	346.29
SNX6	791.35	1781.89	693.58	1769.57	607.87	1369.04	392.44	961.07	2351.53	1044.52	1991.0	2627.46	579.04	1508.65	555.41	1733.13	616.37	414.87	579.04	988.12	791.35	1119.56	2061.24	1340.84	651.58	1857.6	1369.04	2997.45	947.83	1073.91	921.88	1369.04	866.07	2935.74
SOD1	3928.15	5995.9	2997.45	7589.61	1883.54	2485.67	2758.13	3515.68	9279.58	2335.28	4210.15	4038.61	3103.19	4328.55	4607.24	4210.15	1639.59	3928.15	1950.0	4010.71	2758.13	4210.15	8963.45	7180.15	6164.49	5255.91	5255.91	7803.01	3280.18	3540.14	4010.71	3874.05	2163.77	5441.3
SRI	3303.0	6250.56	3103.19	4010.71	1883.54	2701.35	3847.29	2468.49	4802.93	2555.58	3928.15	3212.66	1697.45	3467.27	4736.79	2287.2	1457.23	3039.3	1051.79	3060.45	2255.7	3901.01	5711.87	4239.45	3665.02	4481.23	7180.15	8022.41	2400.97	2855.44	2956.17	2018.8	3303.0	5711.87
SSB	1583.71	2855.44	872.1	2384.37	1359.57	1151.06	902.89	981.29	4450.27	1378.57	3081.75	2976.74	1051.79	1572.76	915.51	1159.07	1001.93	872.1	878.17	1286.18	1313.23	1832.01	1883.54	2895.31	928.3	2163.77	3190.46	4268.94	1685.71	1819.35	1030.12	1697.45	1322.37	3212.66
STIL	19.97	17.9	10.79	23.76	18.56	10.79	3.96	8.45	55.49	11.55	53.95	27.44	6.73	62.12	16.63	21.94	8.32	12.64	14.89	7.82	21.63	18.03	22.92	29.27	8.65	11.82	15.56	109.66	21.47	7.82	17.38	23.93	10.79	91.41
TFB1M	129.69	336.79	157.68	255.0	52.08	134.3	127.89	156.59	444.72	183.82	325.29	234.57	72.01	198.47	134.3	351.14	255.0	170.25	65.26	204.07	169.07	264.03	320.8	486.75	228.13	307.69	329.84	316.37	273.37	231.32	209.84	318.57	275.28	387.02
TICAM2	70.01	134.3	32.59	111.99	26.86	21.78	38.12	82.87	231.32	71.0	78.89	169.07	39.22	69.52	24.46	91.41	38.4	38.67	68.55	51.35	70.01	84.63	150.17	172.65	37.85	75.11	141.02	60.39	100.13	59.97	94.01	98.73	41.22	127.89
TIMM21	249.73	532.74	228.13	480.04	289.02	309.83	152.28	260.38	642.59	432.53	518.15	647.07	118.43	490.14	140.04	460.44	379.04	205.5	108.9	358.54	339.14	447.82	486.75	624.99	231.32	435.55	595.34	571.05	486.75	429.54	346.29	376.41	228.13	490.14
TIMM23	1250.98	1594.73	759.08	1457.23	1183.45	1119.56	1037.29	884.29	2004.85	1143.1	1674.06	1407.55	791.35	1487.87	974.5	1388.16	830.75	878.17	647.07	1286.18	813.63	1233.75	1467.37	2104.58	854.13	1277.29	1477.58	2255.7	1508.65	1119.56	836.53	1331.57	1183.45	1819.35
TMCO1	2178.83	3491.39	1794.29	3018.3	1427.22	1936.53	909.17	1519.15	3124.78	2104.58	3190.46	2997.45	1199.98	2976.74	1313.23	2287.2	1250.98	1794.29	723.08	2319.15	1313.23	2537.92	2915.45	3419.52	1857.6	3039.3	2816.11	4123.49	2835.7	2351.53	2271.4	2895.31	1721.16	3146.52
TMED5	1832.01	2047.0	1111.82	1359.57	1662.49	1199.98	669.92	967.76	2004.85	1088.92	1857.6	2193.99	551.56	1844.76	1051.79	1870.53	473.41	616.37	738.29	1304.15	928.3	1447.15	1073.91	1605.83	1008.9	1175.27	1583.71	1119.56	1167.14	1417.35	802.41	1896.65	808.0	1216.75
TMEM218	463.65	1059.11	571.05	808.0	76.71	575.03	248.0	460.44	872.1	723.08	866.07	909.17	325.29	842.36	249.73	974.5	599.49	226.54	228.13	470.14	612.11	748.61	1059.11	1008.9	693.58	785.88	1015.93	1001.93	808.0	575.03	688.78	679.29	679.29	961.07
TPMT	318.57	518.15	149.12	395.18	214.27	283.05	181.28	173.85	813.63	255.0	620.67	438.59	201.25	507.46	124.37	409.15	147.06	173.85	132.44	187.71	150.17	480.04	567.1	575.03	186.4	536.45	395.18	500.46	457.25	301.33	275.28	547.75	358.54	612.11
