	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.VS.A9U7.01A.11R.A42T.07	TCGA.C5.A1M5.01A.11R.A13Y.07	TCGA.C5.A1BL.01A.11R.A13Y.07	TCGA.ZJ.AAX4.01A.11R.A42T.07	TCGA.FU.A3WB.01A.11R.A22U.07	TCGA.VS.A957.01A.11R.A42T.07	TCGA.MY.A5BD.01A.11R.A26T.07	TCGA.C5.A1BI.01B.11R.A13Y.07	TCGA.EA.A1QT.01A.11R.A14Y.07	TCGA.VS.A8QM.01A.11R.A37O.07	TCGA.VS.A9UV.01A.11R.A42T.07	TCGA.VS.A8EG.01A.11R.A36F.07	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.JY.A6FA.01A.11R.A336.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZLV1.0526.SM.4WWD4	GTEX.ZTSS.0626.SM.59867	GTEX.XBEW.1326.SM.4AT63	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.7411.01A.11R.2081.07	GTEX.13O3O.1826.SM.5IFGW	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
FANCM	104.42	78.89	156.59	147.06	111.99	151.22	157.68	152.28	157.68	121.79	132.44	114.36	140.04	118.43	82.87	111.99	43.94	40.36	20.41	65.72	69.52	76.71	48.87	67.12	67.59	31.67	69.03	40.36	53.19	44.25	28.45	12.74	78.34	77.25	47.84	35.25	75.11
FBXO43	22.59	4.78	42.71	22.92	9.7	13.72	36.79	9.85	44.89	8.25	41.52	9.63	17.9	12.45	23.93	21.32	1.57	2.84	1.91	7.69	2.25	2.81	2.61	5.19	22.43	2.14	0.74	0.8	2.03	0.56	0.0	0.0	5.82	7.63	2.78	6.84	4.03
FEN1	532.74	249.73	1519.15	1498.22	1151.06	791.35	1639.59	1378.57	1447.15	1322.37	1427.22	934.76	1467.37	1467.37	470.14	860.08	281.09	547.75	84.63	438.59	269.6	444.72	224.97	429.54	819.3	198.47	122.64	171.45	217.27	151.22	248.0	146.03	647.07	500.46	579.04	543.96	403.5
FMR1	403.5	275.28	785.88	1073.91	896.64	890.44	693.58	638.15	954.43	941.27	521.76	764.36	457.25	642.59	638.15	808.0	503.95	400.71	346.29	563.18	629.35	723.08	529.06	536.45	647.07	447.82	373.81	521.76	289.02	346.29	249.73	109.66	400.71	384.34	295.11	265.87	267.73
FN3KRP	532.74	995.0	1015.93	1467.37	974.5	954.43	1073.91	1417.35	1340.84	1001.93	866.07	1216.75	1605.83	1427.22	514.56	748.61	633.73	603.67	575.03	429.54	624.99	559.28	426.57	470.14	591.22	536.45	397.93	384.34	426.57	358.54	500.46	470.14	525.39	295.11	381.68	277.2	232.94
GMNN	884.29	603.67	2319.15	1628.26	1081.39	988.12	2047.0	1175.27	2777.33	1304.15	1909.85	954.43	1685.71	1313.23	409.15	791.35	190.34	444.72	226.54	361.04	318.57	258.57	215.77	255.0	376.41	139.07	314.17	253.23	334.46	176.29	379.04	28.04	412.0	332.14	336.79	318.57	791.35
GTF3C5	583.07	775.05	4836.35	2004.85	1721.16	1857.6	1977.24	1769.57	5479.15	1477.58	1757.34	1340.84	1662.49	1457.23	1467.37	1605.83	1427.22	1378.57	1437.15	1417.35	1127.35	1594.73	1277.29	1594.73	1437.15	1104.13	1081.39	974.5	1135.2	791.35	624.99	486.75	1529.73	1183.45	1073.91	1268.46	1127.35
H2AFZ	7857.29	3742.05	20881.4	18178.19	14065.74	17078.76	26067.14	15392.14	18304.63	14262.1	17804.06	9088.59	18689.27	14765.09	9088.59	10585.95	5366.37	10808.41	3742.05	8598.28	4210.15	6337.83	5403.7	7280.4	9876.98	5147.73	1896.65	2303.12	2956.17	2178.83	5006.93	988.12	7032.37	6294.04	5995.9	7280.4	8538.88
HAUS1	521.76	316.37	1250.98	1259.69	612.11	974.5	1457.23	941.27	1233.75	884.29	620.67	764.36	981.29	753.83	521.76	890.44	414.87	532.74	305.55	466.88	318.57	514.56	397.93	417.77	540.19	309.83	180.02	232.94	177.53	236.21	318.57	46.84	624.99	417.77	361.04	518.15	511.0
HAUS4	764.36	802.41	1388.16	1529.73	1331.57	1143.1	1030.12	1662.49	2434.5	1417.35	2645.74	1498.22	1340.84	1023.0	802.41	974.5	708.18	529.06	366.09	780.44	607.87	808.0	660.68	698.41	872.1	713.11	616.37	514.56	825.0	228.13	400.71	67.59	660.68	738.29	559.28	503.95	497.0
HAUS8	325.29	122.64	551.56	490.14	312.0	473.41	599.49	483.38	651.58	473.41	819.3	525.39	591.22	466.88	232.94	312.0	121.79	217.27	106.63	123.5	145.02	156.59	96.68	251.48	351.14	88.26	80.57	75.64	88.88	66.18	90.77	95.34	77.25	85.22	105.89	60.82	98.04
HMGB1	4869.99	9474.59	10154.69	15285.81	6561.36	15934.98	23330.64	9876.98	14561.8	11664.82	8305.36	9409.14	12943.04	14163.58	9025.81	9474.59	7081.29	7911.95	4543.8	6121.9	5555.65	10084.54	5403.7	7081.29	7081.29	4358.66	3257.52	4671.57	4358.66	2720.15	4123.49	1819.35	10959.3	6887.62	6037.61	5517.27	8658.09
HMGB2	4152.18	2520.38	11035.54	17681.08	9876.98	12244.81	21320.18	5441.3	23169.48	10959.3	16157.44	4937.99	12244.81	5441.3	7130.55	2816.11	2915.45	2682.69	1135.2	2351.53	1870.53	5555.65	2645.74	3982.99	4095.0	1685.71	1151.06	947.83	1295.13	848.22	1073.91	202.66	3303.0	3901.01	1628.26	1378.57	2758.13
HMGN2	10659.59	11035.54	26248.46	31432.17	20881.4	19754.96	44761.41	26800.01	26614.89	22072.07	32315.87	21172.91	30361.44	36106.23	14361.31	10512.82	8963.45	7911.95	4481.23	10368.08	5791.62	10440.2	8598.28	10512.82	11827.67	5711.87	4388.98	4836.35	4802.93	3847.29	5255.91	3103.19	15180.22	7589.61	6381.92	5995.9	8598.28
KIF22	1457.23	1286.18	3982.99	2367.9	1313.23	3190.46	3372.43	2287.2	3146.52	1733.13	3124.78	1519.15	2319.15	2104.58	1781.89	1259.69	974.5	1044.52	389.72	1268.46	753.83	1259.69	633.73	836.53	1745.2	759.08	583.07	503.95	753.83	389.72	384.34	185.11	1183.45	723.08	825.0	743.43	1015.93
KIF2C	406.31	139.07	1331.57	802.41	603.67	896.64	1268.46	974.5	1001.93	884.29	1242.34	647.07	995.0	1242.34	463.65	728.11	94.01	299.25	18.56	429.54	24.99	353.59	45.85	275.28	289.02	285.03	87.03	72.52	96.68	55.49	108.9	3.2	426.57	327.56	320.8	199.85	384.34
LIN52	73.54	112.77	178.77	220.32	226.54	218.79	264.03	205.5	201.25	204.07	316.37	194.36	221.86	205.5	151.22	165.57	74.58	81.14	37.05	85.82	55.49	122.64	67.12	93.35	90.77	70.01	63.45	74.58	67.59	56.68	54.33	25.54	122.64	100.13	94.01	49.56	75.11
LRR1	206.94	126.12	775.05	511.0	842.36	536.45	587.13	486.75	624.99	743.43	665.29	426.57	967.76	503.95	277.2	384.34	193.01	305.55	127.0	406.31	146.03	241.19	153.34	289.02	371.22	191.67	87.65	94.67	117.6	94.01	170.25	59.55	231.32	285.03	226.54	228.13	332.14
MAD2L2	363.56	412.0	1617.0	764.36	764.36	915.51	928.3	1030.12	3103.19	1088.92	1388.16	934.76	1427.22	1340.84	743.43	1111.82	511.0	878.17	1051.79	1191.69	547.75	1369.04	406.31	693.58	638.15	412.0	180.02	180.02	264.03	406.31	521.76	435.55	299.25	423.61	318.57	285.03	384.34
MAGOH	1242.34	1277.29	3168.41	3060.45	3146.52	2520.38	3847.29	2816.11	2609.3	2178.83	5913.33	2573.36	2915.45	3716.2	2664.15	1923.14	1225.22	1923.14	1508.65	2018.8	1242.34	1721.16	1225.22	1794.29	2319.15	1059.11	813.63	836.53	915.51	698.41	791.35	1135.2	1844.76	1259.69	878.17	1233.75	2133.97
MCM2	1697.45	271.48	2555.58	4066.71	1870.53	1950.0	2855.44	2701.35	2163.77	1844.76	2855.44	1572.76	3103.19	3212.66	511.0	947.83	232.94	384.34	61.25	438.59	122.64	493.56	164.42	267.73	624.99	180.02	81.14	120.94	176.29	107.38	229.72	19.82	1447.15	429.54	555.41	693.58	312.0
MCM3	2119.22	575.03	2935.74	5112.16	1745.2	2451.44	4419.52	2875.3	4066.71	1963.57	3419.52	2047.0	2627.46	2701.35	1870.53	1639.59	1159.07	1127.35	616.37	1572.76	842.36	1199.98	981.29	1447.15	1313.23	679.29	301.33	417.77	463.65	194.36	536.45	368.65	2004.85	1059.11	738.29	1066.48	660.68
MCM5	1378.57	376.41	3540.14	5366.37	1991.0	2384.37	5076.84	3467.27	4123.49	2367.9	4010.71	2178.83	3303.0	3742.05	1175.27	1519.15	1151.06	1304.15	454.09	1709.26	540.19	1322.37	819.3	1295.13	1781.89	642.59	185.11	336.79	429.54	275.28	532.74	95.34	1781.89	808.0	693.58	995.0	616.37
MCM6	947.83	186.4	1508.65	1685.71	947.83	775.05	1709.26	1561.89	1769.57	629.35	1508.65	808.0	1322.37	1259.69	470.14	336.79	329.84	447.82	137.14	363.56	358.54	435.55	269.6	325.29	483.38	177.53	69.52	106.63	194.36	102.25	190.34	80.57	603.67	271.48	295.11	291.04	206.94
MRPL47	947.83	954.43	3794.3	2240.11	2485.67	1508.65	2434.5	2384.37	4181.07	2148.82	2163.77	1313.23	2875.3	1769.57	1529.73	2090.03	981.29	1233.75	1030.12	1322.37	1225.22	1183.45	902.89	1250.98	2224.63	651.58	457.25	543.96	813.63	748.61	723.08	713.11	1388.16	1259.69	1008.9	1757.34	1794.29
MTCP1	115.16	97.36	928.3	713.11	1037.29	656.11	518.15	429.54	713.11	884.29	796.86	638.15	435.55	728.11	563.18	698.41	339.14	356.05	264.03	529.06	289.02	503.95	314.17	244.57	529.06	438.59	204.07	291.04	343.89	89.51	195.72	348.71	248.0	181.28	231.32	255.0	387.02
MTHFD1	1745.2	616.37	2319.15	2193.99	2287.2	2075.59	2193.99	1639.59	1819.35	1651.0	1806.78	1572.76	2255.7	1697.45	1529.73	1369.04	961.07	1081.39	836.53	1066.48	775.05	1191.69	819.3	947.83	909.17	748.61	567.1	785.88	813.63	307.69	660.68	3716.2	1832.01	1151.06	981.29	1561.89	1407.55
NASP	1950.0	1313.23	4769.75	6164.49	3349.13	5711.87	6607.01	5147.73	5479.15	3081.75	6037.61	4358.66	3874.05	5076.84	3146.52	3039.3	1896.65	2645.74	1322.37	2384.37	1674.06	2956.17	1674.06	2133.97	3039.3	1350.18	921.88	909.17	1088.92	1001.93	974.5	507.46	1883.54	1304.15	1104.13	825.0	1529.73
NEDD1	241.19	78.89	287.01	373.81	559.28	229.72	543.96	336.79	395.18	435.55	283.05	237.86	320.8	406.31	248.0	325.29	218.79	241.19	170.25	178.77	172.65	320.8	180.02	170.25	249.73	163.28	82.87	86.43	82.87	120.94	215.77	28.65	198.47	189.02	112.77	147.06	145.02
NUCKS1	1745.2	665.29	2335.28	3325.99	4152.18	2645.74	4769.75	1883.54	3794.3	4066.71	3419.52	1857.6	2720.15	3768.09	2075.59	1685.71	1529.73	1277.29	1437.15	1594.73	1594.73	2555.58	1199.98	1286.18	3303.0	890.44	1167.14	1437.15	995.0	420.68	954.43	447.82	1697.45	1639.59	1467.37	988.12	1844.76
ORC6	224.97	59.55	409.15	529.06	361.04	444.72	836.53	583.07	547.75	476.71	397.93	376.41	708.18	447.82	217.27	457.25	36.79	114.36	17.13	100.83	89.51	133.36	25.17	54.72	195.72	69.03	48.87	73.03	109.66	98.04	58.71	11.47	229.72	148.09	171.45	108.14	150.17
PARK7	3303.0	5219.6	6983.79	6983.79	3665.02	6840.04	8658.09	7695.57	8078.22	5711.87	8363.13	6935.54	5479.15	7032.37	7180.15	4802.93	3039.3	6516.03	3443.31	5076.84	2555.58	5041.77	2645.74	3395.89	4607.24	3081.75	2591.27	2720.15	3303.0	2004.85	4736.79	4450.27	3874.05	4769.75	4239.45	4802.93	3540.14
PCNA	6337.83	1844.76	9025.81	17197.56	8191.0	6792.79	11909.94	7966.99	8305.36	6887.62	10154.69	7230.1	9474.59	7032.37	5183.54	2384.37	1936.53	2520.38	884.29	4607.24	2075.59	2591.27	1745.2	2047.0	3235.01	1857.6	808.0	1111.82	1304.15	941.27	1233.75	305.55	5441.3	2758.13	2119.22	3235.01	2627.46
PIGX	457.25	351.14	3124.78	1340.84	1378.57	463.65	555.41	651.58	1216.75	954.43	2133.97	612.11	836.53	688.78	802.41	1044.52	332.14	536.45	343.89	397.93	450.94	403.5	327.56	371.22	633.73	255.0	105.15	155.5	129.69	215.77	287.01	74.06	348.71	221.86	403.5	217.27	381.68
PKN3	88.88	150.17	412.0	297.17	244.57	275.28	493.56	283.05	211.31	291.04	275.28	224.97	287.01	303.44	79.45	241.19	143.01	111.21	81.14	159.9	101.54	220.32	86.43	177.53	89.51	87.65	96.68	74.58	114.36	54.72	47.17	10.24	27.25	89.51	21.63	60.39	34.26
POLD3	208.38	88.26	497.0	607.87	483.38	395.18	329.84	674.59	480.04	480.04	260.38	368.65	525.39	567.1	368.65	339.14	260.38	267.73	150.17	246.28	228.13	318.57	214.27	327.56	226.54	153.34	115.16	122.64	94.67	78.89	110.43	41.52	221.86	167.9	107.38	142.01	94.01
POLE2	395.18	89.51	603.67	571.05	624.99	497.0	571.05	559.28	463.65	587.13	665.29	356.05	642.59	409.15	348.71	193.01	70.01	182.55	50.63	162.14	121.79	212.78	98.04	150.17	255.0	109.66	82.29	78.89	118.43	77.25	72.01	39.5	248.0	94.67	173.85	88.88	159.9
POLR3K	211.31	206.94	651.58	397.93	532.74	376.41	559.28	450.94	660.68	507.46	753.83	403.5	599.49	476.71	387.02	371.22	198.47	341.51	226.54	325.29	190.34	285.03	197.09	267.73	368.65	187.71	146.03	159.9	129.69	84.04	145.02	109.66	246.28	218.79	148.09	256.78	220.32
PPP1R8	624.99	909.17	660.68	1008.9	961.07	1051.79	1233.75	1081.39	743.43	934.76	1088.92	928.3	954.43	1250.98	866.07	866.07	718.08	728.11	473.41	599.49	511.0	830.75	624.99	842.36	743.43	612.11	486.75	555.41	466.88	295.11	414.87	277.2	941.27	769.69	802.41	693.58	743.43
PRIM1	559.28	169.07	575.03	620.67	441.64	412.0	674.59	551.56	738.29	514.56	567.1	373.81	312.0	511.0	262.2	325.29	119.26	147.06	45.53	115.97	102.25	277.2	96.68	141.02	187.71	70.01	66.65	105.15	75.11	69.52	85.82	7.4	253.23	124.37	111.21	221.86	157.68
PSMB2	1286.18	1066.48	2367.9	1617.0	1857.6	1794.29	1923.14	1977.24	1685.71	1963.57	2148.82	1540.37	2004.85	2664.15	2104.58	1397.83	1295.13	1794.29	1572.76	1733.13	1167.14	1674.06	1199.98	1963.57	1781.89	884.29	669.92	796.86	796.86	1277.29	1277.29	769.69	1519.15	1467.37	1304.15	1378.57	1685.71
RAD51C	543.96	195.72	954.43	848.22	860.08	884.29	878.17	748.61	1023.0	575.03	848.22	500.46	775.05	579.04	988.12	842.36	381.68	366.09	205.5	358.54	248.0	480.04	353.59	463.65	412.0	220.32	173.85	153.34	256.78	119.26	232.94	75.64	312.0	320.8	173.85	289.02	265.87
RCC1	967.76	791.35	723.08	988.12	1159.07	1104.13	1175.27	1295.13	1417.35	928.3	1508.65	1225.22	1388.16	1733.13	988.12	2573.36	532.74	1674.06	915.51	599.49	255.0	733.19	414.87	1529.73	796.86	1023.0	612.11	435.55	529.06	234.57	384.34	265.87	693.58	1037.29	743.43	866.07	616.37
RFC2	1477.58	490.14	1639.59	1870.53	1498.22	1388.16	2148.82	1104.13	1991.0	1277.29	2148.82	1059.11	2520.38	1529.73	612.11	775.05	511.0	612.11	397.93	518.15	279.14	813.63	423.61	825.0	575.03	441.64	291.04	314.17	395.18	384.34	503.95	872.1	1268.46	693.58	819.3	941.27	665.29
