	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.VS.A8QM.01A.11R.A37O.07	TCGA.LN.A7HY.01A.12R.A354.31	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.Y111.1826.SM.4SOIR	GTEX.11OF3.2326.SM.5GU73	GTEX.12KS4.0926.SM.5BC5S	GTEX.X585.1226.SM.46MW7	GTEX.PSDG.1326.SM.48TD2	GTEX.ZAB4.1126.SM.5HL86	GTEX.N7MT.0326.SM.48TDP	GTEX.PLZ5.0926.SM.3TW8L	GTEX.ZYY3.1526.SM.5SIA9	GTEX.Y111.1726.SM.4SOIQ	GTEX.RNOR.1326.SM.48FDE	GTEX.YECK.1726.SM.5IFI3	TCGA.CV.7183.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6K0.01B.21R.A31N.07	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	GTEX.V1D1.0926.SM.4JBHQ
CCDC116	0.0	3.99	11.55	5.28	4.78	10.24	8.25	10.71	6.01	34.51	42.71	8.25	13.32	5.68	8.99	5.28	7.51	5.19	36.01	21.47	29.06	0.74	1.25	5.68	2.71	2.2	0.68	2.05	1.97	0.0	0.45	0.64	2.61	1.58	0.93	0.92	0.8	0.45	17.25
CCDC24	181.28	154.42	679.29	239.52	224.97	195.72	119.26	289.02	87.65	329.84	435.55	187.71	316.37	493.56	217.27	166.73	223.41	271.48	343.89	444.72	454.09	92.05	145.02	165.57	77.25	71.0	58.71	90.77	146.03	0.0	0.16	16.39	52.08	71.5	77.25	29.06	53.57	37.85	1378.57
CCNL2	688.78	3018.3	4836.35	4038.61	3820.7	4769.75	3716.2	3564.78	3395.89	8658.09	6164.49	3768.09	6607.01	4481.23	5329.3	4869.99	3768.09	4152.18	9945.68	8421.31	8778.97	514.56	525.39	2148.82	1350.18	753.83	620.67	1059.11	842.36	0.0	1.89	73.54	420.68	403.5	555.41	334.46	323.03	229.72	4836.35
CENPT	503.95	1037.29	2148.82	1457.23	1037.29	1081.39	981.29	1175.27	967.76	2855.44	2855.44	1199.98	2520.38	1388.16	1467.37	1427.22	1015.93	1225.22	3235.01	2645.74	2645.74	733.19	693.58	819.3	603.67	348.71	346.29	395.18	450.94	0.0	1.17	114.36	379.04	775.05	368.65	260.38	187.71	287.01	1487.87
CEP164	182.55	277.2	1001.93	460.44	463.65	529.06	432.53	521.76	348.71	698.41	583.07	376.41	543.96	521.76	480.04	525.39	409.15	507.46	733.19	638.15	748.61	229.72	205.5	371.22	187.71	191.67	67.12	242.88	209.84	183.82	684.02	70.51	204.07	218.79	177.53	80.01	135.24	78.34	708.18
CHKB	775.05	1313.23	2384.37	1733.13	1508.65	1551.09	1457.23	1529.73	1417.35	3303.0	3928.15	2255.7	3794.3	2520.38	2739.08	2468.49	1540.37	1721.16	3901.01	3212.66	3081.75	269.6	323.03	1457.23	802.41	543.96	921.88	842.36	738.29	0.0	1.22	223.41	429.54	435.55	620.67	571.05	420.68	341.51	3589.58
CLK2	796.86	1111.82	2104.58	1051.79	1397.83	1397.83	1151.06	1167.14	1015.93	1605.83	1529.73	1340.84	2451.44	1721.16	1883.54	1709.26	1540.37	1745.2	1794.29	1697.45	1844.76	314.17	392.44	921.88	616.37	551.56	275.28	518.15	567.1	0.0	0.82	141.02	318.57	318.57	466.88	406.31	241.19	190.34	2351.53
CSRNP2	105.89	220.32	358.54	281.09	202.66	234.57	159.9	228.13	211.31	435.55	414.87	182.55	295.11	236.21	182.55	208.38	244.57	214.27	444.72	414.87	417.77	150.17	204.07	229.72	190.34	234.57	81.71	176.29	133.36	0.0	0.57	140.04	97.36	122.64	136.19	115.97	121.79	98.73	325.29
CTC-241N9.1	10.47	16.51	90.14	18.7	14.14	50.63	15.11	13.42	15.0	88.88	67.59	25.35	35.25	13.32	44.57	27.25	26.28	25.72	88.26	76.71	60.82	7.4	6.36	28.24	11.55	3.5	8.65	8.45	8.06	0.0	0.0	5.92	11.38	3.59	18.97	6.73	10.96	11.82	90.14
CTPS2	89.51	248.0	305.55	126.12	126.12	142.01	120.94	136.19	117.6	420.68	361.04	251.48	211.31	180.02	212.78	191.67	214.27	218.79	346.29	368.65	358.54	52.45	52.82	132.44	134.3	97.36	87.65	144.01	90.77	0.0	0.43	41.81	50.63	32.13	102.25	47.5	81.14	51.71	255.0
CTSF	262.2	825.0	1457.23	638.15	409.15	242.88	142.01	147.06	226.54	2224.63	3349.13	476.71	1519.15	785.88	941.27	1104.13	612.11	669.92	1991.0	2555.58	2502.97	175.07	57.08	438.59	316.37	220.32	152.28	281.09	165.57	0.0	0.04	101.54	45.85	165.57	301.33	156.59	194.36	98.73	1909.85
DPH7	323.03	656.11	1340.84	518.15	547.75	808.0	406.31	698.41	438.59	1594.73	1685.71	738.29	1551.09	921.88	808.0	796.86	612.11	830.75	1844.76	1697.45	1551.09	130.6	173.85	457.25	297.17	199.85	197.09	269.6	312.0	0.0	0.93	67.12	111.21	201.25	171.45	139.07	127.89	82.29	1081.39
DPP7	3103.19	2895.31	4450.27	2645.74	2434.5	2047.0	2018.8	2303.12	2537.92	5219.6	6079.61	2537.92	6471.02	3039.3	3665.02	3349.13	1844.76	2777.33	6471.02	5006.93	4736.79	733.19	1407.55	2367.9	1991.0	1508.65	1242.34	1617.0	2163.77	0.0	1.13	1143.1	759.08	1437.15	1417.35	1119.56	1242.34	1104.13	8718.32
DYNC2LI1	229.72	314.17	563.18	358.54	316.37	316.37	267.73	339.14	221.86	688.78	796.86	486.75	497.0	356.05	423.61	490.14	295.11	438.59	674.59	708.18	698.41	234.57	205.5	199.85	376.41	198.47	262.2	258.57	305.55	291.04	2104.58	223.41	138.1	142.01	262.2	117.6	150.17	171.45	1030.12
EFCAB10	13.22	8.25	59.13	4.43	6.21	17.51	14.35	7.11	7.06	26.86	46.5	17.25	56.68	52.08	22.26	24.63	5.28	18.16	9.78	22.59	23.08	1.71	4.13	4.31	9.27	8.25	4.31	9.34	38.12	0.0	0.0	0.95	2.89	8.65	1.22	11.47	1.89	0.0	32.59
ELP2	595.34	819.3	1208.34	759.08	642.59	928.3	493.56	503.95	579.04	1477.58	1832.01	1066.48	1159.07	947.83	836.53	934.76	775.05	896.64	1572.76	1467.37	1135.2	679.29	444.72	947.83	796.86	575.03	703.28	575.03	595.34	0.0	0.8	583.07	285.03	463.65	417.77	316.37	361.04	420.68	1378.57
EP400NL	70.01	88.88	409.15	167.9	153.34	172.65	111.21	117.6	128.79	226.54	251.48	285.03	155.5	258.57	239.52	176.29	166.73	190.34	199.85	351.14	204.07	37.32	53.95	138.1	57.89	92.05	43.02	68.55	46.84	0.0	0.82	29.06	78.34	67.59	35.0	35.0	38.95	44.89	307.69
FBXL12	303.44	412.0	651.58	708.18	438.59	320.8	334.46	397.93	438.59	656.11	633.73	376.41	532.74	470.14	329.84	476.71	420.68	387.02	753.83	656.11	708.18	187.71	148.09	343.89	301.33	275.28	177.53	221.86	255.0	0.0	0.72	181.28	262.2	457.25	249.73	258.57	258.57	154.42	703.28
GBA2	264.03	995.0	2287.2	1088.92	1127.35	981.29	860.08	1397.83	1037.29	4268.94	3665.02	1583.71	2061.24	1697.45	1697.45	1583.71	1427.22	1295.13	5147.73	4512.4	5255.91	265.87	346.29	802.41	599.49	389.72	256.78	583.07	563.18	0.0	1.27	85.82	251.48	303.44	435.55	281.09	309.83	221.86	2303.12
GOLGA8B	62.12	426.57	1857.6	571.05	348.71	1096.5	379.04	463.65	409.15	3103.19	1870.53	1340.84	1233.75	902.89	1844.76	860.08	624.99	1199.98	3325.99	3146.52	2573.36	5.87	31.9	457.25	176.29	63.0	18.7	134.3	76.17	0.0	1.41	2.58	21.47	27.25	59.55	5.19	9.27	13.22	7331.05
GTF2IRD2	92.7	470.14	764.36	532.74	303.44	660.68	297.17	307.69	412.0	1030.12	1023.0	579.04	674.59	403.5	381.68	660.68	400.71	414.87	1199.98	802.41	878.17	258.57	214.27	112.77	255.0	172.65	162.14	151.22	361.04	0.0	0.39	77.79	143.01	42.41	84.04	224.97	80.01	87.65	1081.39
HINFP	303.44	371.22	743.43	460.44	490.14	441.64	423.61	417.77	423.61	1008.9	954.43	693.58	764.36	599.49	713.11	819.3	543.96	559.28	1008.9	921.88	808.0	206.94	166.73	334.46	234.57	260.38	281.09	218.79	212.78	0.0	0.56	103.69	122.64	140.04	205.5	169.07	190.34	115.16	961.07
HSF4	329.84	616.37	2895.31	780.44	638.15	1331.57	392.44	403.5	791.35	4802.93	2758.13	1208.34	2796.65	1216.75	1191.69	1477.58	1233.75	1304.15	5594.3	4268.94	5479.15	32.36	73.03	412.0	366.09	100.13	21.94	155.5	152.28	0.0	1.46	21.94	49.21	135.24	87.03	39.5	44.25	37.85	2335.28
INO80B	780.44	830.75	1427.22	775.05	1066.48	1030.12	842.36	1104.13	981.29	785.88	961.07	896.64	802.41	1023.0	1277.29	995.0	928.3	1175.27	796.86	902.89	1225.22	872.1	559.28	967.76	551.56	642.59	412.0	642.59	703.28	0.0	0.79	348.71	575.03	665.29	651.58	536.45	579.04	713.11	1605.83
INPP5E	96.68	211.31	483.38	244.57	303.44	242.88	228.13	279.14	275.28	529.06	567.1	241.19	381.68	309.83	273.37	334.46	239.52	279.14	612.11	555.41	493.56	72.52	77.25	173.85	114.36	92.7	42.11	108.9	126.12	0.0	0.66	37.32	115.16	153.34	123.5	80.01	64.34	56.28	332.14
INTS8	283.05	579.04	1508.65	733.19	642.59	1088.92	698.41	785.88	638.15	854.13	866.07	796.86	1119.56	802.41	780.44	616.37	854.13	995.0	780.44	878.17	872.1	376.41	343.89	698.41	493.56	403.5	307.69	397.93	320.8	0.0	0.4	283.05	201.25	249.73	237.86	173.85	234.57	236.21	1023.0
KAT2A	432.53	688.78	3955.48	1151.06	1457.23	1685.71	1044.52	1199.98	1233.75	2875.3	3564.78	1127.35	2645.74	1407.55	1651.0	1605.83	1304.15	1551.09	3372.43	2720.15	2434.5	320.8	303.44	780.44	540.19	341.51	197.09	353.59	476.71	0.0	1.07	198.47	403.5	638.15	426.57	249.73	277.2	291.04	1427.22
KIAA0895L	202.66	363.56	1208.34	507.46	486.75	521.76	642.59	547.75	450.94	1359.57	921.88	612.11	902.89	713.11	603.67	607.87	638.15	638.15	1540.37	1304.15	1407.55	63.0	81.14	215.77	202.66	111.99	66.65	114.36	122.64	0.0	1.23	30.34	142.01	130.6	124.37	68.55	66.65	74.06	967.76
KLHDC9	53.95	67.12	142.01	61.68	51.35	80.01	94.01	173.85	82.29	599.49	409.15	82.87	181.28	86.43	137.14	99.43	85.22	103.69	665.29	587.13	406.31	7.51	1.33	17.9	30.34	24.63	57.08	42.71	66.18	0.0	0.22	5.32	4.31	9.48	63.45	36.79	36.79	12.45	878.17
KRT4	3.697379928E7	55107.99	30785.28	295.11	1.810644424E7	6140819.49	2.276004283E7	3359929.59	3.109113511E7	14.14	12.09	237899.7	122293.5	46019.85	44452.21	167058.21	172949.54	96616.71	96.68	182.55	26.28	18431.96	42346.82	60723.88	411347.03	677564.08	951601.81	649962.87	475800.4	0.0	0.0	1.236706555E7	2.900905474E7	6357375.06	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7	2.23
LENG8	753.83	2682.69	4802.93	3768.09	3716.2	3235.01	2758.13	3190.46	3039.3	8778.97	11504.21	3874.05	5954.47	4419.52	4937.99	4836.35	3742.05	4123.49	10659.59	10368.08	10883.59	329.84	525.39	2351.53	1322.37	529.06	314.17	836.53	703.28	0.0	1.77	77.25	466.88	559.28	507.46	320.8	255.0	191.67	8247.98
LRP5L	76.17	79.45	153.34	143.01	85.82	96.68	39.22	81.71	71.0	387.02	129.69	190.34	211.31	181.28	175.07	70.01	82.87	133.36	518.15	277.2	293.07	5.54	12.64	70.51	59.97	27.05	3.53	32.59	34.02	0.0	0.77	2.53	11.91	48.52	14.78	9.2	9.2	19.39	638.15
LRRC24	5.96	19.25	53.57	25.91	65.72	56.28	86.43	31.45	34.26	162.14	121.79	82.87	115.97	48.52	22.75	115.16	43.32	35.0	182.55	92.7	129.69	2.68	6.01	5.87	31.67	39.5	23.76	46.84	11.13	0.0	0.51	3.69	3.96	12.36	8.25	4.74	2.58	18.7	116.78
LUC7L	444.72	1225.22	1268.46	1242.34	775.05	1304.15	967.76	1175.27	759.08	3515.68	5219.6	1733.13	2956.17	1651.0	1508.65	1662.49	1159.07	1674.06	4181.07	3124.78	2816.11	356.05	373.81	1001.93	684.02	591.22	423.61	540.19	688.78	0.0	1.11	176.29	312.0	536.45	466.88	215.77	279.14	423.61	4239.45
METTL17	738.29	1487.87	2855.44	1388.16	1583.71	2434.5	1407.55	1909.85	1259.69	2384.37	2163.77	1781.89	2502.97	2178.83	2287.2	1685.71	1870.53	1977.24	2895.31	2434.5	2434.5	384.34	341.51	1331.57	878.17	733.19	775.05	620.67	1015.93	0.0	1.16	224.97	521.76	435.55	703.28	660.68	454.09	497.0	2032.85
MSANTD2	77.25	147.06	236.21	138.1	124.37	145.02	116.78	114.36	112.77	414.87	493.56	236.21	395.18	258.57	218.79	265.87	189.02	299.25	490.14	351.14	387.02	32.13	25.17	139.07	88.88	73.03	43.32	80.01	56.68	0.0	0.61	15.91	29.06	39.22	42.41	31.0	27.05	34.02	738.29
MTA1	616.37	1135.2	1950.0	1757.34	1757.34	1806.78	1388.16	2018.8	1583.71	2997.45	3146.52	1487.87	2573.36	2104.58	1991.0	2104.58	1340.84	1605.83	3060.45	2895.31	2682.69	429.54	363.56	1111.82	679.29	476.71	314.17	490.14	693.58	0.0	1.33	182.55	376.41	444.72	470.14	289.02	371.22	287.01	2915.45
NECAB3	136.19	325.29	607.87	295.11	314.17	169.07	193.01	371.22	334.46	842.36	890.44	571.05	638.15	480.04	483.38	480.04	387.02	387.02	981.29	961.07	1008.9	149.12	198.47	236.21	181.28	105.89	144.01	153.34	215.77	0.0	0.31	115.97	118.43	157.68	214.27	165.57	199.85	109.66	921.88
NEK3	23.59	165.57	264.03	258.57	325.29	265.87	114.36	236.21	138.1	543.96	400.71	153.34	361.04	162.14	172.65	172.65	106.63	157.68	591.22	381.68	476.71	36.01	43.63	141.02	56.68	46.5	53.57	99.43	93.35	0.0	0.48	75.64	47.5	58.3	91.41	50.27	35.0	40.36	356.05
NOL3	961.07	1143.1	2018.8	1639.59	1628.26	1350.18	1447.15	1104.13	1991.0	2956.17	2075.59	1757.34	2018.8	1008.9	1277.29	1857.6	1331.57	1639.59	3303.0	2555.58	2287.2	1277.29	1259.69	819.3	954.43	988.12	1191.69	808.0	981.29	0.0	0.67	429.54	514.56	536.45	679.29	423.61	708.18	583.07	1127.35
NPDC1	130.6	1096.5	2018.8	1709.26	1030.12	642.59	708.18	1127.35	743.43	6337.83	5076.84	1044.52	5479.15	1639.59	1437.15	2090.03	1088.92	1487.87	7331.05	5995.9	5147.73	150.17	242.88	567.1	796.86	271.48	153.34	236.21	265.87	0.0	1.07	108.14	178.77	392.44	412.0	170.25	208.38	249.73	1709.26
NPIPA1	417.77	1529.73	5329.3	2645.74	1909.85	2287.2	1896.65	1313.23	1378.57	5954.47	4972.34	3303.0	4010.71	2701.35	2303.12	3168.41	2384.37	2591.27	7382.04	5954.47	4769.75	61.25	153.34	896.64	802.41	368.65	127.0	511.0	529.06	0.0	1.33	76.17	392.44	341.51	414.87	212.78	182.55	305.55	2720.15
NRN1L	5.11	19.82	37.05	15.11	30.56	21.32	10.24	3.17	9.63	120.94	45.85	22.59	49.56	17.9	21.94	30.78	11.82	27.84	99.43	93.35	54.72	3.26	3.72	3.99	13.42	5.63	0.0	0.0	7.51	0.0	0.16	2.16	3.89	6.78	5.36	0.41	0.89	6.84	90.77
ORAI3	441.64	412.0	1023.0	454.09	426.57	395.18	392.44	214.27	373.81	866.07	674.59	353.59	616.37	438.59	409.15	493.56	466.88	438.59	743.43	785.88	713.11	108.14	249.73	305.55	171.45	140.04	190.34	185.11	208.38	607.87	305.55	214.27	80.57	146.03	348.71	251.48	121.79	182.55	500.46
PABPC1L	113.56	414.87	1963.57	420.68	587.13	656.11	454.09	392.44	329.84	536.45	620.67	656.11	1397.83	1015.93	1066.48	642.59	684.02	1216.75	486.75	575.03	447.82	14.14	16.27	351.14	149.12	64.34	32.36	111.21	100.13	819.3	480.04	3.56	15.34	74.06	109.66	26.67	25.17	15.34	2682.69
PFN4	11.73	14.78	58.71	8.78	9.56	16.03	17.25	7.46	13.32	26.28	10.88	16.03	29.7	4.17	16.39	22.1	6.26	19.53	44.57	32.36	36.79	8.19	12.74	9.2	2.97	2.01	11.82	14.89	8.65	0.0	0.21	6.94	6.57	2.58	4.35	3.89	7.34	0.0	43.94
PPP2R3B	169.07	289.02	684.02	136.19	244.57	226.54	224.97	329.84	194.36	314.17	379.04	363.56	432.53	463.65	435.55	327.56	258.57	371.22	417.77	224.97	267.73	62.56	42.11	249.73	172.65	133.36	40.07	73.03	117.6	0.0	0.6	103.69	132.44	309.83	162.14	154.42	205.5	167.9	205.5
PRRC2A	2319.15	2573.36	4152.18	3372.43	3372.43	3257.52	3039.3	3690.52	3018.3	3716.2	6121.9	3018.3	3589.58	3443.31	2777.33	2796.65	2400.97	2777.33	4298.64	3690.52	3982.99	1781.89	2303.12	2319.15	2400.97	1950.0	583.07	1806.78	2018.8	2485.67	629.35	1044.52	2384.37	3212.66	1950.0	2351.53	1651.0	2271.4	3303.0
RABL2B	161.02	470.14	825.0	525.39	500.46	587.13	463.65	463.65	384.34	954.43	647.07	392.44	1143.1	708.18	595.34	703.28	587.13	738.29	896.64	1119.56	928.3	217.27	199.85	450.94	325.29	269.6	194.36	277.2	417.77	0.0	0.18	133.36	161.02	244.57	293.07	149.12	204.07	108.14	1721.16
RHPN1	135.24	102.97	575.03	120.1	164.42	167.9	122.64	205.5	98.73	289.02	205.5	128.79	854.13	295.11	271.48	232.94	120.94	244.57	293.07	206.94	153.34	6.11	20.11	43.02	37.85	26.47	8.25	30.34	48.18	0.0	1.0	2.2	8.99	43.94	19.68	4.24	6.84	3.86	1529.73
RP11-574K11.31	14.35	24.46	63.89	32.59	68.07	66.18	40.07	61.25	43.32	90.77	50.27	34.75	49.56	44.89	52.45	39.79	41.52	42.11	64.34	126.12	111.99	14.03	9.41	12.55	22.1	11.3	12.55	14.45	12.55	0.0	0.58	4.1	4.21	7.28	6.57	5.23	3.79	2.86	31.0
SARM1	4.62	96.68	236.21	105.15	121.79	76.71	66.65	75.11	93.35	323.03	265.87	98.73	123.5	105.89	130.6	157.68	85.22	124.37	320.8	387.02	521.76	11.3	10.24	83.45	119.26	82.87	38.95	40.64	66.18	0.0	0.46	18.7	16.03	10.96	45.21	19.68	33.06	11.13	287.01
SERHL2	53.19	39.5	186.4	39.22	48.87	40.07	46.5	50.98	52.08	201.25	246.28	56.28	109.66	111.99	84.04	99.43	62.56	53.57	241.19	229.72	251.48	10.31	5.73	35.5	36.79	31.67	126.12	69.52	48.52	0.0	0.28	15.8	26.86	28.86	59.97	31.67	49.21	9.85	89.51
SHC2	47.84	283.05	518.15	297.17	185.11	78.34	116.78	99.43	68.07	808.0	3124.78	187.71	1369.04	334.46	206.94	435.55	218.79	226.54	909.17	1721.16	1225.22	38.4	16.27	170.25	84.63	20.11	12.64	58.3	41.22	0.0	1.04	29.06	15.34	14.03	114.36	59.13	41.22	35.5	1733.13
SLC2A11	82.29	195.72	540.19	197.09	136.19	70.01	87.65	76.71	103.69	563.18	532.74	116.78	279.14	148.09	202.66	199.85	163.28	178.77	660.68	743.43	679.29	17.13	20.86	97.36	56.68	40.07	55.89	41.81	49.56	358.54	473.41	16.51	15.11	48.87	64.8	45.21	51.35	9.2	728.11
SLC37A3	156.59	373.81	995.0	412.0	295.11	346.29	189.02	309.83	177.53	728.11	607.87	406.31	395.18	414.87	441.64	476.71	412.0	379.04	713.11	854.13	967.76	346.29	251.48	497.0	389.72	283.05	152.28	279.14	251.48	0.0	0.67	189.02	182.55	271.48	229.72	211.31	211.31	183.82	607.87
SNX25	87.65	134.3	279.14	156.59	131.51	158.79	134.3	100.13	130.6	164.42	139.07	170.25	197.09	164.42	177.53	159.9	140.04	104.42	155.5	167.9	206.94	98.73	78.89	151.22	133.36	111.21	68.55	81.14	108.9	0.0	0.0	82.87	34.75	111.21	98.73	65.72	96.01	63.89	241.19
SPATA20	132.44	432.53	1857.6	547.75	414.87	507.46	267.73	221.86	208.38	2224.63	2664.15	796.86	1286.18	808.0	1104.13	825.0	332.14	432.53	2434.5	2018.8	2555.58	420.68	381.68	591.22	283.05	314.17	241.19	281.09	283.05	0.0	0.61	151.22	299.25	217.27	441.64	239.52	291.04	93.35	4481.23
