	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZVZP.1626.SM.5GIDJ	GTEX.1497J.2126.SM.5NQB8	GTEX.XQ8I.1826.SM.4BOOJ	GTEX.ZQUD.0426.SM.57WFR	GTEX.R55C.0826.SM.48FCL	GTEX.111CU.0726.SM.5GZYD	GTEX.YF7O.0926.SM.5IFIF	GTEX.UPIC.1026.SM.4IHLT	GTEX.U4B1.0826.SM.4DXTW	GTEX.13YAN.2026.SM.5Q5EY	GTEX.11ZUS.0926.SM.5FQSY	GTEX.YECK.1726.SM.5IFI3	GTEX.WZTO.1526.SM.4PQYQ	TCGA.CV.7183.11A.01R.2016.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
CASKIN2	172.65	295.11	241.19	249.73	660.68	713.11	698.41	283.05	444.72	275.28	248.0	301.33	271.48	612.11	713.11	830.75	909.17	58.3	75.11	258.57	172.65	202.66	171.45
CCDC13	15.11	18.56	24.46	10.39	83.45	77.79	128.79	18.16	41.52	40.07	11.21	45.85	11.55	107.38	54.72	43.63	34.51	4.58	14.03	1.19	4.7	3.5	15.68
CDC42BPA	12.36	116.78	60.39	80.01	603.67	511.0	483.38	236.21	232.94	265.87	199.85	244.57	151.22	599.49	723.08	629.35	660.68	21.78	57.49	50.98	21.47	39.22	25.17
CDK11A	403.5	902.89	698.41	748.61	1745.2	1769.57	1175.27	753.83	1295.13	1059.11	1030.12	1721.16	108.9	3146.52	1991.0	2434.5	2609.3	56.68	127.0	387.02	81.71	226.54	221.86
CDK11B	575.03	1096.5	738.29	934.76	1477.58	1268.46	1508.65	1001.93	1159.07	1073.91	941.27	1331.57	808.0	1651.0	1508.65	2178.83	1295.13	426.57	551.56	780.44	612.11	753.83	583.07
CDR2	120.94	231.32	44.89	108.14	620.67	423.61	450.94	273.37	267.73	163.28	204.07	189.02	125.24	518.15	647.07	547.75	555.41	90.14	142.01	63.0	72.01	89.51	95.34
CELF4	0.0	0.01	0.04	1.51	32.59	41.81	15.11	7.06	5.15	3.44	2.81	12.93	0.91	74.58	32.59	94.67	31.67	1.95	0.0	7.46	0.42	2.86	3.06
COL18A1	660.68	2271.4	1487.87	961.07	1407.55	1561.89	1378.57	769.69	921.88	1388.16	878.17	860.08	723.08	3955.48	4450.27	3901.01	5329.3	143.01	466.88	1896.65	830.75	559.28	1059.11
COL5A3	25.91	688.78	543.96	483.38	567.1	679.29	769.69	111.21	199.85	186.4	173.85	122.64	77.25	514.56	1277.29	842.36	1225.22	35.5	164.42	236.21	33.54	87.65	68.07
CYTH3	146.03	454.09	314.17	412.0	507.46	665.29	420.68	356.05	417.77	346.29	279.14	409.15	267.73	543.96	1081.39	878.17	915.51	103.69	309.83	318.57	180.02	143.01	177.53
DBNDD2	417.77	2178.83	961.07	1467.37	3081.75	2384.37	4066.71	988.12	1437.15	1259.69	967.76	961.07	947.83	2502.97	3820.7	3146.52	2895.31	1167.14	1769.57	1015.93	571.05	1628.26	819.3
DKFZP761J1410	115.97	529.06	423.61	547.75	1088.92	872.1	1508.65	341.51	470.14	460.44	253.23	483.38	241.19	1427.22	1259.69	1674.06	1322.37	84.63	76.71	95.34	98.04	90.77	101.54
DMWD	148.09	769.69	514.56	559.28	1529.73	1015.93	1639.59	450.94	624.99	497.0	463.65	555.41	540.19	878.17	1023.0	1191.69	988.12	131.51	173.85	348.71	314.17	295.11	146.03
EGFL7	156.59	1286.18	866.07	493.56	1733.13	2739.08	2468.49	389.72	656.11	575.03	395.18	830.75	366.09	2367.9	1883.54	2915.45	1950.0	236.21	120.94	521.76	376.41	186.4	253.23
EP400NL	70.01	153.34	111.21	128.79	152.28	251.48	232.94	120.94	154.42	172.65	109.66	166.73	142.01	271.48	229.72	204.07	241.19	43.02	29.06	78.34	35.0	38.95	44.89
ERAS	0.0	0.0	0.0	0.0	2.97	3.38	8.51	0.54	1.77	0.0	0.0	2.51	1.0	24.46	13.52	8.19	11.21	0.53	0.0	0.0	1.07	0.0	0.0
FADS3	7.69	665.29	191.67	450.94	1832.01	2004.85	1417.35	289.02	373.81	423.61	269.6	327.56	126.12	1936.53	1286.18	1388.16	1286.18	36.01	108.9	55.1	43.63	43.32	66.18
FAM109B	70.01	248.0	162.14	166.73	376.41	373.81	381.68	253.23	218.79	204.07	251.48	287.01	239.52	381.68	341.51	329.84	361.04	197.09	205.5	90.77	159.9	166.73	108.9
FGFR1	2.53	872.1	163.28	555.41	3742.05	3168.41	3901.01	743.43	738.29	1073.91	563.18	954.43	336.79	3168.41	4268.94	4152.18	4010.71	47.17	120.94	209.84	73.03	80.57	55.1
FLT4	21.47	132.44	49.21	76.17	132.44	232.94	193.01	80.01	149.12	138.1	80.01	147.06	76.71	620.67	368.65	543.96	255.0	15.22	6.06	139.07	23.59	29.48	37.05
FOXF2	13.32	329.84	72.01	156.59	1104.13	466.88	1322.37	226.54	186.4	318.57	197.09	289.02	94.01	679.29	2075.59	2075.59	1857.6	13.12	72.52	70.51	14.78	33.78	34.26
FSTL3	88.26	759.08	173.85	201.25	1685.71	3716.2	1487.87	305.55	353.59	583.07	305.55	291.04	135.24	2758.13	2193.99	2148.82	1447.15	38.4	262.2	74.58	25.72	62.56	121.79
FXYD7	12.64	7.34	13.72	11.91	36.79	64.34	47.5	47.5	22.1	15.45	9.2	36.01	0.88	205.5	115.16	133.36	67.12	7.51	3.69	7.22	1.31	0.78	0.0
GIT1	854.13	1286.18	1015.93	854.13	884.29	1216.75	1313.23	693.58	1023.0	723.08	718.08	723.08	713.11	1286.18	1044.52	1073.91	1015.93	289.02	463.65	1151.06	796.86	540.19	825.0
HABP4	13.52	169.07	39.79	52.45	620.67	521.76	669.92	142.01	162.14	194.36	111.99	146.03	67.12	473.41	703.28	599.49	483.38	20.56	134.3	69.52	59.13	63.0	66.65
HOXD3	8.19	29.7	23.08	14.03	51.35	78.89	27.44	19.82	32.82	29.48	20.56	24.46	23.08	47.5	21.47	55.1	31.9	6.62	0.96	16.88	4.62	4.82	12.09
HSD17B3	2.29	27.05	12.27	15.8	85.82	90.14	106.63	11.3	11.38	15.56	17.13	6.21	6.16	260.38	105.15	105.15	84.04	0.0	0.0	3.35	0.0	0.0	2.23
HSPG2	698.41	2555.58	1037.29	1191.69	7803.01	6079.61	5711.87	1806.78	2627.46	2664.15	1628.26	2451.44	1183.45	6745.86	9808.75	9088.59	10440.2	92.05	158.79	947.83	361.04	283.05	334.46
JAM3	2.63	358.54	79.45	130.6	1104.13	928.3	1066.48	265.87	253.23	291.04	163.28	244.57	127.0	825.0	1378.57	1331.57	1199.98	23.59	58.71	45.85	30.56	27.44	33.06
KIAA1755	0.0	110.43	31.45	69.52	320.8	579.04	500.46	70.01	134.3	154.42	44.57	149.12	34.02	633.73	591.22	423.61	638.15	1.27	22.43	11.82	19.25	2.61	4.24
KIF5C	8.92	6.52	1.46	3.79	36.27	115.16	111.21	24.11	9.56	18.7	12.74	7.34	9.56	68.55	82.87	86.43	65.26	1.07	5.06	5.19	1.07	3.06	4.74
KLHL26	83.45	116.78	87.65	76.17	271.48	403.5	255.0	150.17	92.05	187.71	129.69	122.64	100.13	256.78	260.38	217.27	232.94	19.82	32.59	35.0	32.59	43.94	43.32
KRT4	3.697379928E7	1.810644424E7	2.276004283E7	3.109113511E7	35.0	70.01	92.7	489177.0	466008.55	249727.34	112532.89	241220.67	254974.66	5.06	283.05	26.28	14.45	951601.81	1.236706555E7	2.900905474E7	2.213766823E7	1.887534821E7	2.10891839E7
LPHN1	148.09	260.38	143.01	214.27	587.13	339.14	607.87	275.28	392.44	384.34	224.97	277.2	232.94	466.88	638.15	813.63	651.58	23.42	17.9	42.41	163.28	150.17	79.45
MACF1	1519.15	1662.49	1359.57	1225.22	4328.55	2895.31	3168.41	1936.53	1832.01	1697.45	1674.06	1313.23	1242.34	4095.0	5633.22	4328.55	5112.16	395.18	507.46	728.11	595.34	921.88	638.15
MAST2	125.24	607.87	255.0	400.71	1417.35	733.19	2434.5	325.29	587.13	387.02	329.84	409.15	285.03	1183.45	1304.15	1037.29	1322.37	49.91	186.4	265.87	120.94	197.09	108.9
ME3	1.73	56.28	39.79	65.72	603.67	529.06	638.15	167.9	135.24	115.97	124.37	116.78	51.71	796.86	571.05	842.36	802.41	21.16	32.13	23.93	20.56	31.0	8.99
MICAL1	130.6	432.53	429.54	563.18	1073.91	1651.0	1143.1	647.07	1030.12	547.75	703.28	397.93	341.51	1191.69	1051.79	1295.13	723.08	81.71	180.02	176.29	134.3	134.3	103.69
NCKAP5L	43.94	279.14	131.51	135.24	291.04	483.38	511.0	129.69	211.31	144.01	117.6	147.06	148.09	555.41	540.19	607.87	860.08	41.81	53.57	109.66	97.36	64.34	62.12
NKD1	0.0	64.8	29.27	89.51	212.78	164.42	312.0	43.32	90.77	81.14	53.19	65.26	37.85	51.71	94.67	141.02	91.41	8.06	8.0	6.89	11.3	6.36	4.13
NOSTRIN	35.25	89.51	55.89	81.71	753.83	1551.09	669.92	591.22	379.04	212.78	88.26	303.44	80.01	3235.01	872.1	878.17	2367.9	77.79	29.7	33.78	22.75	51.35	32.82
NPIPA3	93.35	228.13	134.3	114.36	299.25	199.85	387.02	190.34	255.0	127.89	113.56	43.63	19.39	51.71	674.59	490.14	921.88	0.0	30.34	25.54	8.06	13.93	22.26
NT5DC3	10.63	172.65	21.32	26.47	825.0	514.56	363.56	148.09	387.02	224.97	140.04	88.26	181.28	497.0	293.07	521.76	236.21	12.18	19.68	17.64	19.68	47.17	10.47
OSBPL5	77.25	579.04	229.72	262.2	698.41	830.75	1081.39	327.56	346.29	392.44	336.79	447.82	327.56	1051.79	902.89	1111.82	813.63	111.21	88.26	191.67	145.02	152.28	77.79
OTOGL	1.11	16.39	3.26	3.82	7.06	11.47	5.19	1.81	8.45	9.13	4.78	12.36	3.08	103.69	90.14	98.73	84.04	0.56	0.0	0.04	0.35	1.53	0.67
PDE2A	46.5	293.07	111.21	262.2	1167.14	2287.2	1674.06	295.11	361.04	409.15	221.86	575.03	224.97	1159.07	860.08	1519.15	1322.37	41.81	46.18	165.57	18.97	73.54	111.99
PEAR1	9.34	132.44	61.68	60.39	309.83	703.28	346.29	127.0	119.26	109.66	78.34	127.0	71.5	473.41	476.71	476.71	529.06	8.58	6.62	44.57	14.78	16.51	17.64
PHLPP2	7.06	29.91	8.58	14.03	140.04	102.25	131.51	37.05	45.53	46.18	29.06	41.22	22.92	111.21	136.19	149.12	133.36	3.86	10.39	6.78	5.59	10.47	8.51
POU6F1	21.47	172.65	75.64	97.36	583.07	629.35	802.41	220.32	155.5	136.19	153.34	214.27	115.97	1175.27	764.36	796.86	693.58	23.08	6.57	34.51	12.74	20.26	19.68
PPP1R12C	728.11	3039.3	1832.01	1447.15	8538.88	4512.4	9673.69	1977.24	2400.97	2119.22	1857.6	2287.2	1697.45	9215.48	11504.21	11267.44	9088.59	420.68	395.18	848.22	525.39	567.1	521.76
PRDM8	1.38	90.77	24.99	45.21	417.77	334.46	909.17	75.64	92.7	57.89	37.05	56.28	33.78	309.83	373.81	346.29	295.11	2.63	15.22	19.97	2.92	2.97	3.89
PTPRR	0.39	2.97	0.41	0.0	16.51	27.44	2.61	3.38	0.0	2.53	0.75	0.0	0.0	15.68	19.82	78.34	19.97	0.46	5.63	4.24	2.2	0.15	1.1
RAB11FIP3	39.22	327.56	145.02	191.67	1242.34	1037.29	1540.37	366.09	457.25	460.44	334.46	353.59	228.13	1277.29	1313.23	1417.35	1350.18	40.07	100.83	120.94	88.88	166.73	85.22
RASSF4	22.1	368.65	167.9	162.14	1674.06	2502.97	1081.39	336.79	267.73	242.88	224.97	193.01	131.51	1769.57	902.89	974.5	1225.22	36.27	241.19	28.86	48.87	149.12	71.0
RGCC	384.34	483.38	293.07	738.29	995.0	2193.99	1794.29	612.11	780.44	412.0	323.03	450.94	327.56	2119.22	1857.6	988.12	1369.04	651.58	497.0	181.28	251.48	387.02	167.9
RGR	0.0	16.03	0.0	0.0	64.34	185.11	95.34	10.63	19.82	15.91	12.55	11.21	4.21	18.97	7.82	10.24	12.27	0.0	0.72	0.0	1.25	1.25	0.0
RP11-195F19.5	36.27	128.79	42.41	40.93	191.67	183.82	277.2	77.25	46.5	68.07	50.27	32.13	37.05	133.36	209.84	285.03	205.5	54.72	173.85	5.19	31.9	74.58	43.02
RP11-279O9.4	2.94	8.51	0.0	7.57	36.01	49.56	43.63	22.26	11.73	8.32	3.2	14.35	6.16	11.64	58.3	78.34	46.84	11.04	7.63	11.55	2.16	22.59	1.04
RP4-734P14.4	14.78	9.34	11.73	31.9	44.25	55.89	25.35	17.13	8.65	30.34	12.64	21.47	12.09	52.08	17.13	22.43	20.11	31.9	4.74	2.86	6.57	0.0	7.22
RYR3	0.14	27.84	25.91	20.56	144.01	140.04	150.17	50.63	98.04	45.53	23.42	13.72	12.74	87.03	153.34	269.6	368.65	1.51	0.0	59.13	11.64	10.96	10.96
SAMD4A	10.47	96.68	24.99	34.26	473.41	363.56	303.44	98.73	88.26	112.77	72.01	96.68	57.89	368.65	981.29	503.95	688.78	8.65	68.55	48.87	43.63	57.08	13.52
SCARF2	2.46	191.67	41.52	53.57	638.15	514.56	493.56	70.01	63.89	96.68	64.34	93.35	45.21	412.0	412.0	511.0	376.41	4.74	45.85	16.88	20.56	9.48	65.72
SCN4A	0.01	0.96	0.08	0.16	26.28	44.57	9.85	8.85	8.51	1.85	2.2	2.66	0.47	43.02	8.19	18.84	14.67	0.0	11.55	10.0	2.43	11.47	1.55
SH3BGR	44.57	151.22	96.01	199.85	603.67	679.29	698.41	232.94	258.57	287.01	121.79	155.5	88.26	728.11	748.61	656.11	1151.06	84.63	423.61	45.21	146.03	128.79	54.72
SH3BP5	123.5	493.56	429.54	633.73	1044.52	1529.73	563.18	599.49	258.57	571.05	412.0	674.59	303.44	896.64	1286.18	543.96	836.53	198.47	320.8	171.45	279.14	221.86	172.65
SH3RF3	52.82	167.9	61.25	95.34	260.38	264.03	264.03	102.25	118.43	143.01	100.13	140.04	52.45	202.66	236.21	209.84	251.48	13.03	127.89	113.56	37.05	76.71	116.78
SHANK3	62.56	325.29	236.21	183.82	603.67	995.0	624.99	189.02	239.52	260.38	176.29	244.57	177.53	708.18	587.13	651.58	759.08	14.78	15.68	109.66	47.5	53.19	55.49
SIK3	128.79	314.17	275.28	251.48	665.29	470.14	599.49	409.15	358.54	358.54	420.68	336.79	299.25	624.99	981.29	638.15	684.02	91.41	158.79	185.11	267.73	255.0	190.34
SLC24A5	0.01	2.51	1.77	0.0	45.85	21.47	69.52	10.24	12.27	1.51	2.16	1.83	0.0	55.49	27.05	25.91	25.35	0.0	3.66	0.36	0.0	0.77	7.63
SLC26A10	0.0	66.18	113.56	74.06	638.15	287.01	1199.98	67.59	140.04	82.87	67.59	90.14	33.3	1088.92	660.68	988.12	921.88	0.0	0.0	2.51	0.0	0.0	0.46
SLC39A13	176.29	575.03	205.5	178.77	1685.71	1674.06	2209.26	579.04	651.58	791.35	642.59	624.99	429.54	1977.24	2591.27	2384.37	2573.36	105.89	194.36	102.97	126.12	154.42	72.01
SLC41A1	90.77	108.14	66.65	84.04	547.75	511.0	514.56	221.86	323.03	323.03	214.27	260.38	273.37	518.15	460.44	543.96	476.71	34.75	205.5	221.86	234.57	229.72	185.11
SLC6A16	5.59	23.76	14.45	28.45	128.79	147.06	178.77	63.45	31.9	46.5	24.28	36.53	7.82	387.02	164.42	293.07	146.03	4.13	0.4	4.28	17.38	1.5	2.18
SPOP	571.05	738.29	733.19	444.72	1709.26	1143.1	1457.23	759.08	934.76	708.18	733.19	759.08	703.28	1477.58	1870.53	2627.46	1896.65	656.11	620.67	503.95	420.68	473.41	387.02
STARD9	5.96	116.78	59.13	84.04	775.05	384.34	460.44	90.77	137.14	93.35	77.79	107.38	57.49	764.36	579.04	872.1	775.05	3.79	3.99	56.68	11.04	11.13	13.03
STAT5B	133.36	603.67	341.51	435.55	1015.93	1081.39	1096.5	629.35	669.92	616.37	599.49	547.75	441.64	1340.84	1044.52	1081.39	1135.2	118.43	105.15	231.32	167.9	178.77	108.9
TAL1	9.63	37.85	49.56	17.64	159.9	193.01	142.01	53.19	36.27	40.36	25.35	33.3	34.51	156.59	121.79	182.55	220.32	6.62	5.41	33.3	6.57	11.38	15.68
TBX2	29.06	299.25	115.97	127.0	599.49	934.76	587.13	242.88	363.56	363.56	206.94	287.01	114.36	718.08	583.07	703.28	769.69	0.75	18.03	74.06	35.25	15.45	27.25
TCEAL6	0.0	1.46	0.0	0.0	135.24	58.71	98.73	10.79	3.2	3.79	0.0	0.0	0.0	5.63	7.46	30.12	4.86	0.0	0.84	0.02	2.1	0.54	0.78
TES	759.08	825.0	368.65	387.02	1757.34	1304.15	1819.35	1378.57	1674.06	1059.11	1159.07	902.89	896.64	1037.29	878.17	1175.27	1225.22	780.44	1159.07	830.75	660.68	866.07	591.22
TINAGL1	414.87	1143.1	432.53	490.14	3540.14	4328.55	3820.7	796.86	1001.93	1733.13	563.18	1936.53	1008.9	1781.89	5006.93	6079.61	4972.34	116.78	74.58	48.18	71.0	249.73	26.67
TLDC2	27.05	204.07	75.64	72.01	271.48	575.03	571.05	102.97	90.14	42.41	53.95	65.72	43.32	743.43	212.78	312.0	173.85	22.26	3.38	43.94	10.96	10.79	10.16
TMEM170B	1.93	14.56	5.36	7.06	52.45	50.98	51.71	16.39	15.68	23.42	17.51	17.64	10.96	75.64	73.03	49.21	81.71	3.89	12.36	2.48	1.1	2.63	1.04
TMEM67	60.82	111.21	75.11	65.72	127.89	150.17	138.1	80.57	154.42	83.45	64.34	95.34	67.59	329.84	246.28	221.86	172.65	30.34	17.9	29.27	38.4	41.22	32.82
TPCN2	53.95	265.87	190.34	212.78	941.27	555.41	1127.35	187.71	232.94	269.6	248.0	205.5	165.57	616.37	872.1	878.17	555.41	39.5	50.63	125.24	63.0	65.72	66.18
TRIO	84.04	571.05	384.34	291.04	1617.0	1023.0	1350.18	555.41	647.07	551.56	444.72	387.02	303.44	1191.69	1191.69	1583.71	1277.29	50.27	176.29	285.03	193.01	186.4	107.38
TRPC6	13.12	33.54	23.08	91.41	107.38	61.25	165.57	37.32	71.0	31.9	20.71	39.79	25.54	325.29	211.31	309.83	316.37	6.57	9.48	27.05	2.73	8.32	10.31
UBXN11	181.28	441.64	423.61	368.65	665.29	633.73	753.83	283.05	255.0	325.29	318.57	397.93	199.85	1066.48	603.67	753.83	748.61	108.14	114.36	109.66	78.34	79.45	73.03
USP44	0.0	6.41	4.98	5.32	37.32	75.64	58.3	17.9	21.01	17.0	7.28	23.25	8.78	99.43	30.56	48.18	17.13	2.1	1.66	0.16	0.0	0.0	0.19
VAV2	37.85	269.6	143.01	111.21	289.02	255.0	371.22	139.07	178.77	224.97	127.0	135.24	144.01	312.0	336.79	503.95	389.72	25.72	86.43	63.89	43.94	61.25	27.84
WIPF3	13.62	8.25	3.72	4.66	100.83	102.25	96.01	55.49	14.45	24.81	44.89	90.14	17.77	94.67	134.3	139.07	139.07	8.45	8.25	3.72	12.0	16.51	2.1
WSB1	532.74	2032.85	1583.71	1662.49	5006.93	4802.93	3257.52	2777.33	3124.78	2796.65	2104.58	2915.45	2303.12	6381.92	4210.15	4419.52	3794.3	532.74	221.86	381.68	624.99	403.5	232.94
WTIP	22.75	151.22	103.69	89.51	490.14	406.31	559.28	84.63	147.06	162.14	115.97	186.4	78.34	158.79	336.79	607.87	358.54	30.56	94.67	92.7	73.03	41.52	15.91
