	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.BP.4760.01A.02R.1420.07	TCGA.BP.4795.01A.02R.1420.07	TCGA.B4.5378.01A.01R.1503.07	TCGA.DV.5567.01A.01R.1541.07	TCGA.BP.4784.01A.01R.1305.07	TCGA.DV.5576.01A.01R.1541.07	TCGA.B2.5636.01A.02R.1541.07	TCGA.BP.4769.01A.01R.1289.07	TCGA.BP.4177.01A.02R.1420.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.IA.A83T.01A.11R.A355.07	GTEX.PX3G.0826.SM.48TZS	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.14E1K.0326.SM.5S2PE	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.132AR.1126.SM.5P9GA	GTEX.11TT1.1126.SM.5P9GV
GIMAP8	67.12	221.86	463.65	642.59	660.68	514.56	713.11	583.07	1119.56	493.56	387.02	53.19	507.46	14.03	92.05	142.01	23.76	269.6	201.25	99.43	253.23	351.14	63.45	126.12	0.0	229.72	138.1	239.52	159.9	325.29	187.71	351.14	236.21
GJA4	265.87	759.08	2047.0	2090.03	4512.4	1143.1	3190.46	1781.89	2417.67	3982.99	1350.18	127.0	3081.75	34.26	123.5	124.37	99.43	169.07	291.04	215.77	255.0	299.25	256.78	163.28	0.0	1733.13	2004.85	5366.37	2816.11	813.63	400.71	303.44	1331.57
GPR116	212.78	182.55	1950.0	2720.15	2835.7	1721.16	1769.57	1651.0	2915.45	1769.57	1417.35	82.87	1225.22	45.85	58.3	80.57	44.25	121.79	96.68	105.89	132.44	236.21	68.55	94.01	0.0	1143.1	571.05	656.11	738.29	490.14	684.02	642.59	656.11
GPR4	100.83	70.51	819.3	1437.15	928.3	1277.29	915.51	2319.15	1015.93	2004.85	780.44	37.59	1519.15	7.46	36.27	35.25	11.64	55.49	46.5	47.84	37.32	92.7	45.53	30.12	0.0	473.41	830.75	460.44	314.17	141.02	78.34	195.72	384.34
GPR64	4.43	447.82	684.02	1175.27	1685.71	19.11	2627.46	1583.71	1008.9	2351.53	65.26	248.0	1286.18	0.65	1.03	0.13	11.21	0.0	6.11	0.0	4.9	23.76	1.16	14.03	0.0	42.11	115.16	142.01	109.66	38.67	13.93	21.32	24.63
GRIK3	5.73	17.38	208.38	262.2	612.11	339.14	154.42	299.25	423.61	293.07	74.06	0.4	234.57	0.0	0.0	0.0	0.16	0.22	0.67	0.0	0.21	0.72	0.0	0.13	0.0	3.5	2.25	3.14	19.82	3.08	0.48	2.73	4.94
GRK5	95.34	688.78	297.17	693.58	457.25	457.25	587.13	400.71	591.22	599.49	255.0	86.43	457.25	15.22	65.72	123.5	123.5	162.14	175.07	80.01	161.02	204.07	167.9	166.73	0.0	258.57	224.97	167.9	351.14	420.68	599.49	563.18	447.82
GRPEL2	193.01	131.51	175.07	118.43	193.01	152.28	262.2	253.23	193.01	212.78	195.72	108.14	140.04	85.82	37.85	50.63	55.49	53.19	53.57	69.03	52.08	53.95	50.98	75.64	0.0	129.69	121.79	120.94	95.34	130.6	127.0	120.94	125.24
HEYL	236.21	115.16	2915.45	2047.0	1883.54	825.0	1662.49	2209.26	638.15	4152.18	759.08	49.56	2047.0	13.52	46.18	26.47	35.76	26.86	60.82	8.65	84.63	32.36	37.32	10.47	0.0	232.94	536.45	473.41	647.07	249.73	57.08	57.08	325.29
HSPG2	954.43	1519.15	4575.41	8022.41	7911.95	6037.61	6516.03	8718.32	15075.35	4836.35	5076.84	1143.1	6294.04	392.44	698.41	460.44	275.28	688.78	441.64	361.04	579.04	1427.22	473.41	470.14	0.0	2119.22	2816.11	3081.75	2835.7	2335.28	1233.75	1427.22	1745.2
HTR1F	3.59	2.94	16.51	19.11	10.88	26.1	51.71	8.38	29.27	37.59	11.64	0.72	27.05	0.0	1.0	1.53	0.0	0.0	1.75	0.0	0.0	0.0	0.0	0.0	0.0	8.71	12.64	9.41	7.63	2.18	2.53	1.36	0.95
IBSP	244.57	1088.92	67.59	1.85	1.08	8.85	36.79	9.48	2.84	334.46	2.51	50.27	18.84	0.0	1.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.66	1.03	9.93	1.04	0.0	0.0	0.0	2.18
ICAM2	279.14	665.29	1340.84	2319.15	1313.23	1167.14	2627.46	1519.15	2303.12	1331.57	2384.37	145.02	1457.23	629.35	1769.57	435.55	178.77	607.87	381.68	211.31	493.56	698.41	395.18	291.04	0.0	759.08	688.78	819.3	642.59	493.56	642.59	728.11	1340.84
IL3RA	55.1	101.54	180.02	293.07	260.38	253.23	387.02	202.66	438.59	186.4	209.84	22.75	457.25	9.63	27.44	7.82	8.71	14.78	13.93	10.39	21.63	22.75	29.48	10.08	0.0	116.78	159.9	143.01	103.69	67.12	52.45	156.59	105.89
IPO11	559.28	285.03	612.11	753.83	1096.5	693.58	961.07	708.18	896.64	571.05	603.67	197.09	612.11	147.06	151.22	135.24	134.3	182.55	226.54	178.77	187.71	154.42	109.66	223.41	0.0	329.84	332.14	271.48	327.56	273.37	316.37	376.41	307.69
JAG2	400.71	785.88	358.54	890.44	620.67	825.0	1467.37	780.44	1340.84	612.11	638.15	135.24	1233.75	281.09	81.14	33.06	19.39	13.62	33.78	13.03	18.43	46.5	48.52	15.68	0.0	248.0	409.15	521.76	381.68	242.88	176.29	130.6	146.03
JAM3	147.06	316.37	591.22	1159.07	896.64	748.61	909.17	708.18	1183.45	842.36	559.28	50.98	713.11	45.85	114.36	31.9	30.34	37.32	49.21	22.26	37.05	52.82	72.01	30.78	0.0	281.09	275.28	293.07	307.69	293.07	193.01	343.89	285.03
KCNK9	36.79	0.0	5.73	35.25	13.22	16.27	74.06	5.54	22.1	47.5	24.11	1.46	27.05	2.84	0.0	0.0	0.0	0.0	0.0	75.11	0.73	0.0	0.0	0.44	0.0	0.0	1.73	0.45	1.75	2.73	2.92	1.14	0.74
LRRC32	371.22	1674.06	4903.87	6121.9	1313.23	1388.16	2537.92	3874.05	2645.74	5292.48	2855.44	256.78	4038.61	444.72	432.53	267.73	130.6	341.51	312.0	123.5	202.66	607.87	312.0	231.32	0.0	624.99	1051.79	796.86	830.75	693.58	305.55	441.64	1313.23
MAP3K7CL	68.55	111.99	961.07	1583.71	287.01	417.77	2004.85	819.3	743.43	1498.22	514.56	253.23	1250.98	228.13	182.55	31.45	105.89	115.16	119.26	72.01	136.19	24.99	73.54	56.68	0.0	72.01	132.44	114.36	142.01	84.04	71.0	182.55	93.35
MCAM	1250.98	543.96	6207.38	10883.59	6607.01	5711.87	10733.74	7857.29	5751.61	11345.82	4903.87	6699.25	6935.54	1135.2	295.11	173.85	52.82	123.5	305.55	50.63	136.19	289.02	258.57	91.41	947.83	2018.8	1870.53	2209.26	1259.69	1331.57	366.09	629.35	1794.29
MMRN2	279.14	571.05	819.3	1806.78	1397.83	1359.57	1870.53	1378.57	2573.36	1159.07	967.76	90.77	1268.46	84.63	144.01	120.94	50.98	229.72	169.07	102.97	246.28	295.11	127.89	131.51	0.0	480.04	559.28	616.37	417.77	305.55	371.22	500.46	463.65
MYCT1	98.04	229.72	429.54	890.44	633.73	454.09	748.61	454.09	981.29	429.54	432.53	19.53	438.59	6.01	13.42	87.65	59.55	165.57	108.9	88.26	189.02	314.17	152.28	106.63	45.21	221.86	248.0	217.27	139.07	146.03	209.84	98.73	156.59
NOTCH1	94.01	246.28	262.2	521.76	395.18	363.56	348.71	287.01	748.61	532.74	198.47	98.73	486.75	91.41	114.36	123.5	23.25	125.24	123.5	57.89	136.19	157.68	134.3	133.36	0.0	157.68	187.71	183.82	140.04	201.25	144.01	521.76	206.94
NOTCH3	567.1	387.02	3280.18	4671.57	2816.11	3168.41	3235.01	2855.44	3491.39	4607.24	2351.53	381.68	2835.7	76.17	76.71	35.0	10.88	35.76	109.66	15.34	67.12	73.03	25.72	39.22	0.0	591.22	1340.84	1233.75	1030.12	473.41	303.44	503.95	769.69
NOTCH4	161.02	318.57	718.08	1159.07	1857.6	1369.04	1313.23	1295.13	1745.2	1030.12	819.3	130.6	1008.9	73.54	92.05	234.57	99.43	195.72	148.09	153.34	182.55	264.03	209.84	133.36	82.29	684.02	591.22	616.37	518.15	202.66	318.57	251.48	460.44
NRARP	204.07	108.9	397.93	693.58	332.14	353.59	638.15	441.64	356.05	1081.39	211.31	35.5	909.17	12.45	32.59	22.92	36.27	11.55	31.9	35.25	7.11	40.64	151.22	11.04	0.0	228.13	265.87	122.64	49.21	47.17	28.24	65.72	119.26
NRIP2	21.47	80.01	890.44	1135.2	567.1	612.11	669.92	836.53	460.44	1340.84	493.56	35.0	733.19	35.5	47.84	17.13	13.83	11.73	37.85	10.39	20.41	16.03	16.88	10.16	0.0	63.0	81.71	105.89	99.43	76.17	139.07	148.09	88.26
PDGFB	896.64	193.01	791.35	1167.14	1015.93	500.46	836.53	1378.57	1605.83	738.29	723.08	171.45	848.22	69.03	246.28	35.0	46.84	62.12	40.07	27.05	43.63	277.2	46.84	33.06	0.0	403.5	409.15	403.5	480.04	229.72	120.94	145.02	490.14
PEAK1	81.71	205.5	397.93	713.11	493.56	432.53	389.72	293.07	738.29	426.57	318.57	87.65	312.0	69.03	87.03	23.76	19.82	44.25	30.56	30.12	31.0	47.17	59.13	37.05	74.58	120.1	209.84	166.73	228.13	135.24	167.9	157.68	140.04
PELO	297.17	271.48	521.76	854.13	470.14	555.41	708.18	525.39	743.43	551.56	571.05	353.59	432.53	175.07	212.78	171.45	212.78	141.02	242.88	75.11	163.28	183.82	426.57	262.2	0.0	293.07	201.25	180.02	234.57	444.72	262.2	301.33	348.71
PGF	165.57	460.44	1447.15	2758.13	902.89	2004.85	2400.97	2520.38	1883.54	3690.52	518.15	64.8	2075.59	13.72	366.09	77.25	19.25	50.27	68.07	27.25	112.77	67.59	62.12	12.74	0.0	1250.98	379.04	371.22	547.75	1551.09	1757.34	651.58	2104.58
PGM2	381.68	108.9	551.56	571.05	457.25	376.41	571.05	412.0	674.59	438.59	318.57	318.57	511.0	112.77	155.5	142.01	269.6	356.05	239.52	107.38	339.14	348.71	121.79	423.61	0.0	190.34	281.09	220.32	301.33	341.51	371.22	423.61	435.55
PLVAP	1977.24	1685.71	7032.37	16157.44	27553.49	20170.07	18178.19	23330.64	28525.2	10659.59	13306.94	830.75	19482.97	170.25	591.22	127.0	76.71	132.44	231.32	82.87	158.79	309.83	267.73	129.69	0.0	7695.57	4937.99	8598.28	4972.34	9945.68	9808.75	4358.66	8305.36
PLXDC1	336.79	221.86	684.02	1268.46	1059.11	1023.0	1594.73	718.08	743.43	1583.71	780.44	104.42	1167.14	63.89	39.79	23.93	17.13	8.51	15.34	6.26	29.27	15.22	17.0	3.76	0.0	575.03	376.41	423.61	514.56	133.36	79.45	126.12	46.5
PODXL	493.56	1628.26	2537.92	5403.7	3874.05	3081.75	2537.92	4704.07	10154.69	2224.63	2796.65	332.14	2816.11	38.67	83.45	36.01	14.03	21.47	105.89	50.98	52.08	91.41	73.54	35.0	0.0	500.46	1199.98	954.43	1191.69	567.1	514.56	633.73	660.68
PPP1R36	4.17	536.45	100.13	75.64	67.59	180.02	100.13	151.22	102.97	201.25	175.07	8.85	214.27	5.23	14.45	1.46	6.94	0.0	13.22	0.0	3.11	6.84	3.56	3.06	0.0	8.13	8.32	5.96	6.62	21.78	13.52	14.35	11.73
PRELID2	215.77	64.34	285.03	186.4	262.2	329.84	307.69	277.2	212.78	336.79	312.0	96.68	226.54	88.88	48.87	17.77	35.5	40.36	13.42	10.08	27.25	18.7	70.51	36.53	0.0	43.02	72.01	77.25	64.8	69.52	139.07	61.25	94.67
PTGIR	24.11	27.25	267.73	395.18	95.34	68.55	273.37	165.57	116.78	325.29	173.85	35.5	236.21	29.48	84.04	51.35	74.58	87.03	100.13	25.17	65.26	74.58	70.51	34.75	0.0	104.42	49.91	80.57	193.01	162.14	85.22	206.94	208.38
PTGS1	62.12	83.45	171.45	848.22	143.01	473.41	3874.05	1295.13	1639.59	2777.33	228.13	242.88	2739.08	60.82	376.41	49.21	29.06	87.03	46.5	25.54	111.99	89.51	70.01	38.4	0.0	55.49	48.18	47.17	126.12	55.89	92.05	79.45	77.25
