	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.FU.A3WB.01A.11R.A22U.07	TCGA.C5.A1BI.01B.11R.A13Y.07	TCGA.G4.6321.01A.11R.1723.07	TCGA.XP.A8T8.01A.11R.A36D.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.R55G.1026.SM.48FDI	GTEX.ZF29.1326.SM.4WWB6	GTEX.XGQ4.1526.SM.4AT6H	GTEX.RU72.0726.SM.46MUW	GTEX.ZLV1.0526.SM.4WWD4	GTEX.T6MO.0526.SM.4DM6R	GTEX.R55C.0826.SM.48FCL	GTEX.11P7K.1326.SM.5BC5G	GTEX.14H4A.1626.SM.5SI69	GTEX.REY6.1326.SM.48FDO	GTEX.11LCK.1726.SM.5S2OQ	GTEX.1399R.0826.SM.5IJEL	GTEX.S4Q7.0626.SM.4AD5M	GTEX.13OVI.2626.SM.5KM4T	GTEX.WFG8.1226.SM.4V6EI	GTEX.TML8.1526.SM.4DXUX	GTEX.ZG7Y.1126.SM.4WWEZ	GTEX.139YR.1726.SM.5IFFK	GTEX.QV44.1126.SM.4R1KO	GTEX.XMK1.1326.SM.4B65Q	GTEX.PWCY.0726.SM.48TCS	GTEX.VUSG.1226.SM.4KKZF	GTEX.OXRN.1726.SM.3NM9B	GTEX.Y8E4.1726.SM.5LU9G	GTEX.OIZG.1026.SM.3LK5X	GTEX.X4XY.1726.SM.46MVO	GTEX.14AS3.0626.SM.5QGQD	GTEX.133LE.0626.SM.5IFFJ	GTEX.132AR.2226.SM.5J2NT	GTEX.13OVG.0626.SM.5IFEP	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	GTEX.11O72.1326.SM.5BC5A	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
BUB1	262.2	665.29	256.78	4.5	575.03	426.57	43.63	1.93	138.1	29.27	70.51	444.72	14.03	72.52	26.67	334.46	148.09	118.43	77.79	379.04	438.59	37.32	113.56	61.68	66.18	63.45	77.25	239.52	106.63	33.06	71.5	201.25	60.39	105.15	97.36	158.79	239.52	73.54	131.51	55.1	271.48	74.06	31.22	130.6	493.56	38.95	186.4	137.14	125.24	137.14	176.29	209.84	13.72	255.0	224.97	110.43	212.78	190.34	84.63	202.66
BUB1B	206.94	723.08	490.14	2.41	299.25	147.06	26.47	1.89	170.25	57.08	128.79	551.56	32.13	56.28	40.07	529.06	249.73	119.26	101.54	293.07	423.61	66.65	108.9	67.12	73.54	71.0	86.43	305.55	104.42	37.59	113.56	264.03	81.71	141.02	137.14	159.9	262.2	85.82	132.44	59.13	277.2	94.01	58.3	142.01	483.38	42.41	232.94	156.59	108.14	79.45	146.03	205.5	7.28	205.5	289.02	107.38	145.02	171.45	96.01	242.88
C16orf59	193.01	457.25	183.82	10.55	551.56	43.02	21.16	15.11	27.84	211.31	72.01	293.07	28.24	136.19	18.16	229.72	53.57	59.13	31.22	209.84	291.04	19.11	88.88	39.22	40.07	22.92	66.65	159.9	59.55	19.68	48.52	120.1	38.12	76.17	87.03	77.25	173.85	45.85	101.54	54.33	171.45	46.5	37.32	66.65	201.25	27.84	85.22	46.18	44.25	36.27	57.08	92.05	10.39	43.63	70.01	45.53	56.68	78.89	120.1	36.01
CASC5	59.97	387.02	320.8	12.93	120.1	96.68	14.89	0.0	169.07	13.83	71.0	96.01	15.34	28.45	24.28	197.09	31.67	70.51	41.81	118.43	211.31	23.08	81.14	35.0	34.75	32.59	68.55	110.43	31.67	16.15	25.54	94.01	20.26	43.63	39.22	64.34	108.9	45.85	69.52	39.22	148.09	39.5	20.71	61.25	205.5	16.88	73.54	63.0	61.68	35.76	82.87	87.65	4.9	84.63	133.36	82.87	99.43	95.34	54.72	120.1
CCDC77	143.01	348.71	277.2	107.38	329.84	189.02	177.53	110.43	199.85	173.85	172.65	341.51	171.45	220.32	98.73	341.51	152.28	100.13	108.14	246.28	217.27	141.02	101.54	105.89	161.02	139.07	80.01	206.94	143.01	117.6	54.33	190.34	140.04	147.06	112.77	165.57	208.38	71.0	111.21	104.42	224.97	105.89	90.77	136.19	248.0	108.9	204.07	131.51	156.59	98.73	166.73	144.01	67.59	145.02	299.25	73.03	134.3	112.77	53.57	120.1
CCNA2	162.14	1769.57	1427.22	39.22	2434.5	633.73	297.17	51.35	381.68	297.17	514.56	1119.56	224.97	486.75	149.12	1709.26	395.18	226.54	150.17	575.03	808.0	81.71	208.38	105.15	122.64	123.5	167.9	454.09	162.14	39.79	118.43	358.54	111.21	251.48	212.78	309.83	417.77	129.69	206.94	126.12	536.45	143.01	102.97	228.13	1088.92	116.78	301.33	279.14	253.23	406.31	356.05	493.56	41.81	684.02	612.11	329.84	444.72	366.09	189.02	532.74
CCNB1	2193.99	3847.29	3716.2	69.52	5041.77	1733.13	351.14	88.88	351.14	540.19	463.65	2816.11	249.73	500.46	242.88	6079.61	1447.15	684.02	540.19	2384.37	2796.65	318.57	813.63	567.1	301.33	480.04	633.73	1583.71	555.41	177.53	316.37	1183.45	371.22	780.44	713.11	842.36	2240.11	529.06	884.29	341.51	1857.6	429.54	348.71	974.5	3039.3	457.25	1088.92	954.43	819.3	1250.98	1199.98	1794.29	64.34	2664.15	2133.97	1135.2	1709.26	2104.58	981.29	2451.44
CCNB2	500.46	2485.67	1651.0	15.34	1096.5	503.95	81.71	23.25	412.0	309.83	253.23	1529.73	63.0	178.77	150.17	638.15	902.89	314.17	248.0	713.11	1066.48	150.17	334.46	190.34	178.77	189.02	166.73	603.67	275.28	64.34	262.2	551.56	176.29	329.84	260.38	384.34	796.86	212.78	320.8	142.01	872.1	221.86	180.02	426.57	1216.75	126.12	470.14	373.81	318.57	483.38	473.41	616.37	11.55	785.88	808.0	271.48	579.04	684.02	414.87	743.43
CCNF	432.53	507.46	486.75	23.93	518.15	147.06	90.14	16.63	85.82	183.82	122.64	521.76	80.57	158.79	33.54	346.29	150.17	119.26	59.55	255.0	323.03	72.52	115.16	61.25	75.11	47.84	86.43	180.02	94.01	38.12	81.14	175.07	75.11	94.01	102.97	125.24	209.84	78.34	134.3	76.17	191.67	102.97	65.72	114.36	339.14	62.56	156.59	78.89	96.01	58.3	120.94	211.31	18.16	162.14	146.03	79.45	157.68	258.57	97.36	157.68
CDC20	1397.83	3060.45	1769.57	24.28	1781.89	669.92	172.65	62.56	283.05	1572.76	316.37	1183.45	66.65	1268.46	121.79	4704.07	1651.0	559.28	406.31	1883.54	1757.34	249.73	563.18	429.54	191.67	267.73	447.82	1167.14	409.15	114.36	314.17	921.88	289.02	567.1	334.46	587.13	1447.15	406.31	603.67	241.19	1111.82	346.29	299.25	595.34	2032.85	154.42	802.41	728.11	525.39	698.41	819.3	1417.35	24.99	1794.29	1757.34	728.11	1519.15	1304.15	684.02	1674.06
CDC25A	159.9	246.28	100.13	10.0	161.02	64.34	43.02	8.71	75.64	80.01	24.81	150.17	11.47	60.39	22.1	82.29	44.25	63.0	40.36	153.34	136.19	25.91	61.25	47.84	26.86	41.81	28.86	126.12	40.07	30.12	21.78	82.29	28.24	51.35	65.72	64.34	102.25	50.63	61.68	54.72	102.25	40.64	19.82	32.82	189.02	28.86	76.17	82.87	74.06	35.0	57.89	100.83	1.75	71.5	166.73	98.04	63.45	71.5	72.52	58.71
CDC25C	94.01	420.68	206.94	1.36	299.25	74.06	12.36	2.39	41.52	32.13	18.56	72.01	6.26	24.99	10.31	123.5	32.59	56.28	24.11	59.55	98.04	14.24	48.52	15.91	30.56	23.25	13.12	51.35	20.56	13.52	19.25	73.03	19.11	22.59	38.12	32.82	88.26	21.32	44.89	17.64	90.14	33.54	15.22	39.22	128.79	16.15	60.39	35.0	44.25	52.08	55.89	61.68	3.03	82.29	88.88	31.9	86.43	71.5	44.57	78.89
CDC45	244.57	1104.13	647.07	6.57	1199.98	226.54	113.56	15.45	115.16	172.65	124.37	384.34	54.33	275.28	35.76	358.54	151.22	88.26	113.56	470.14	381.68	29.06	122.64	114.36	85.82	68.07	48.87	348.71	113.56	29.27	69.03	251.48	52.82	187.71	120.94	164.42	397.93	96.01	158.79	106.63	329.84	89.51	59.13	88.26	454.09	55.49	226.54	135.24	165.57	167.9	162.14	242.88	21.01	237.86	417.77	251.48	177.53	229.72	246.28	223.41
CDC6	265.87	1088.92	669.92	14.45	693.58	144.01	176.29	9.2	211.31	157.68	223.41	242.88	36.01	127.0	75.64	444.72	44.89	88.26	96.68	351.14	314.17	26.47	107.38	63.89	51.35	59.13	40.64	303.44	83.45	25.91	96.01	205.5	41.81	157.68	129.69	134.3	214.27	71.0	108.9	55.89	251.48	84.04	33.54	81.14	493.56	55.49	163.28	206.94	159.9	105.89	151.22	231.32	16.39	320.8	406.31	248.0	161.02	154.42	130.6	185.11
CDCA2	132.44	195.72	351.14	4.74	279.14	100.13	11.3	3.63	93.35	49.56	83.45	108.9	11.04	34.75	17.38	141.02	40.64	46.18	30.56	132.44	161.02	26.67	58.71	29.27	49.91	32.59	35.5	111.99	38.67	12.93	35.0	101.54	33.78	51.71	44.89	64.34	109.66	29.7	48.87	14.35	120.94	45.21	26.1	58.71	241.19	24.63	80.57	72.52	57.89	60.39	69.03	134.3	2.46	185.11	146.03	95.34	146.03	140.04	60.82	221.86
CDCA3	318.57	1844.76	1167.14	77.25	3564.78	1119.56	348.71	106.63	547.75	1304.15	295.11	2956.17	159.9	651.58	229.72	2351.53	447.82	262.2	176.29	674.59	967.76	109.66	309.83	193.01	108.9	123.5	199.85	476.71	191.67	75.64	185.11	444.72	149.12	251.48	201.25	242.88	629.35	202.66	348.71	182.55	532.74	157.68	171.45	267.73	988.12	90.14	373.81	248.0	175.07	239.52	262.2	435.55	27.84	248.0	703.28	221.86	575.03	279.14	187.71	387.02
CDCA4	1963.57	1088.92	753.83	87.65	1594.73	387.02	450.94	1369.04	483.38	775.05	769.69	909.17	420.68	651.58	363.56	1044.52	466.88	356.05	283.05	559.28	698.41	206.94	351.14	283.05	275.28	249.73	295.11	466.88	239.52	195.72	289.02	599.49	309.83	363.56	277.2	305.55	575.03	271.48	295.11	297.17	497.0	323.03	209.84	229.72	769.69	175.07	412.0	406.31	397.93	490.14	384.34	529.06	39.5	708.18	791.35	825.0	490.14	493.56	571.05	954.43
CDCA5	595.34	988.12	860.08	12.55	1769.57	169.07	108.9	10.39	165.57	172.65	201.25	1030.12	34.26	209.84	63.0	629.35	239.52	136.19	102.97	432.53	438.59	50.98	173.85	127.0	96.01	87.65	98.73	336.79	136.19	44.57	87.65	299.25	91.41	169.07	163.28	224.97	341.51	113.56	215.77	152.28	417.77	122.64	84.04	141.02	599.49	105.89	228.13	145.02	158.79	136.19	267.73	301.33	8.85	346.29	403.5	309.83	248.0	267.73	226.54	366.09
CDCA8	417.77	1208.34	934.76	37.32	967.76	312.0	63.0	12.09	177.53	98.04	114.36	334.46	36.53	316.37	77.25	264.03	258.57	145.02	119.26	441.64	536.45	93.35	195.72	106.63	116.78	120.1	148.09	312.0	163.28	47.84	106.63	297.17	112.77	182.55	155.5	182.55	376.41	137.14	202.66	139.07	417.77	152.28	140.04	215.77	587.13	103.69	309.83	165.57	161.02	155.5	256.78	358.54	14.78	450.94	412.0	180.02	329.84	356.05	232.94	397.93
CDK1	1369.04	2956.17	2351.53	12.36	802.41	703.28	72.52	9.06	343.89	181.28	256.78	988.12	73.54	167.9	65.72	890.44	332.14	444.72	265.87	915.51	1340.84	140.04	392.44	269.6	220.32	241.19	269.6	928.3	287.01	84.63	260.38	599.49	209.84	409.15	444.72	555.41	764.36	295.11	376.41	232.94	1051.79	236.21	130.6	406.31	1721.16	133.36	579.04	507.46	490.14	802.41	486.75	656.11	56.28	1008.9	941.27	612.11	723.08	684.02	460.44	941.27
CDKN3	575.03	2047.0	1268.46	58.3	954.43	796.86	121.79	80.57	417.77	656.11	423.61	262.2	68.07	141.02	106.63	1233.75	289.02	198.47	177.53	543.96	866.07	88.26	226.54	142.01	108.9	178.77	144.01	307.69	163.28	48.87	127.89	314.17	127.0	197.09	135.24	255.0	575.03	147.06	195.72	105.15	500.46	141.02	157.68	279.14	941.27	126.12	307.69	320.8	248.0	463.65	318.57	500.46	22.1	693.58	486.75	432.53	543.96	412.0	283.05	555.41
CDT1	1030.12	660.68	525.39	14.24	2537.92	52.45	101.54	12.0	43.02	438.59	71.5	256.78	77.79	98.04	32.36	1340.84	547.75	136.19	90.77	348.71	595.34	80.01	246.28	86.43	84.63	83.45	84.63	395.18	109.66	60.39	82.87	392.44	96.68	144.01	141.02	176.29	397.93	103.69	224.97	105.15	329.84	142.01	80.57	137.14	575.03	75.11	281.09	126.12	139.07	105.15	109.66	255.0	7.94	244.57	387.02	212.78	215.77	279.14	237.86	239.52
CENPA	141.02	890.44	718.08	0.92	688.78	275.28	31.45	6.11	124.37	159.9	75.11	285.03	16.15	112.77	14.89	457.25	197.09	68.07	59.97	214.27	379.04	39.5	152.28	48.87	48.87	49.21	85.82	119.26	82.87	29.91	62.56	172.65	46.18	65.72	128.79	137.14	223.41	96.01	119.26	45.53	231.32	68.07	58.3	118.43	351.14	33.06	189.02	97.36	76.71	155.5	123.5	258.57	3.79	221.86	277.2	128.79	191.67	215.77	119.26	246.28
CENPE	82.29	269.6	237.86	8.13	167.9	90.14	9.41	7.17	90.77	14.56	156.59	122.64	10.24	26.86	28.86	307.69	19.82	70.01	32.36	130.6	229.72	21.16	38.4	34.26	27.64	25.17	28.65	82.29	33.78	9.78	45.53	88.26	26.28	42.71	37.85	51.35	93.35	29.27	41.22	29.06	92.7	29.06	22.59	52.45	246.28	12.83	77.79	72.01	48.18	27.25	96.68	71.0	4.62	96.01	93.35	40.93	61.68	75.64	28.65	70.51
CENPF	435.55	1709.26	1583.71	2.58	1561.89	954.43	27.44	3.0	466.88	47.84	258.57	1963.57	31.22	34.02	43.94	343.89	154.42	307.69	161.02	463.65	1111.82	152.28	248.0	231.32	162.14	151.22	157.68	429.54	212.78	61.68	195.72	435.55	158.79	275.28	221.86	381.68	536.45	147.06	341.51	121.79	642.59	147.06	116.78	358.54	1111.82	69.03	483.38	320.8	229.72	94.67	403.5	503.95	12.93	525.39	642.59	327.56	444.72	483.38	318.57	656.11
CENPH	698.41	1304.15	830.75	51.35	1313.23	229.72	129.69	48.87	127.89	111.21	241.19	629.35	140.04	104.42	105.15	543.96	115.16	126.12	117.6	320.8	490.14	44.89	172.65	100.83	113.56	126.12	126.12	341.51	115.16	67.12	190.34	271.48	90.77	126.12	129.69	171.45	327.56	115.16	122.64	132.44	303.44	86.43	93.35	112.77	438.59	37.32	224.97	204.07	249.73	256.78	236.21	346.29	35.5	563.18	500.46	246.28	186.4	262.2	255.0	381.68
CENPI	102.97	193.01	158.79	10.39	289.02	82.87	29.91	14.67	114.36	24.63	50.98	95.34	28.04	44.89	30.78	285.03	29.48	30.78	24.46	85.82	104.42	13.52	19.25	23.08	20.56	22.1	24.28	68.07	20.41	9.41	18.97	63.0	15.22	27.25	32.13	34.51	57.08	22.1	26.67	18.16	89.51	32.59	10.71	28.04	143.01	12.64	50.27	43.32	39.22	35.76	52.45	50.27	6.01	89.51	72.01	49.91	47.5	50.63	24.28	43.94
CENPN	728.11	1295.13	1295.13	55.89	1081.39	277.2	133.36	39.5	363.56	454.09	251.48	312.0	104.42	244.57	123.5	1199.98	204.07	271.48	269.6	460.44	616.37	109.66	156.59	205.5	108.14	180.02	130.6	447.82	149.12	73.03	133.36	358.54	79.45	161.02	253.23	320.8	476.71	153.34	161.02	121.79	470.14	205.5	82.29	139.07	587.13	97.36	246.28	358.54	368.65	587.13	327.56	392.44	94.01	642.59	808.0	921.88	379.04	486.75	305.55	438.59
CENPO	119.26	543.96	297.17	85.22	381.68	156.59	150.17	68.55	185.11	155.5	140.04	297.17	80.01	214.27	88.88	381.68	96.68	84.04	145.02	287.01	299.25	75.64	96.01	102.97	90.77	106.63	85.22	208.38	88.88	78.89	114.36	206.94	96.01	102.25	105.89	129.69	165.57	118.43	139.07	93.35	169.07	120.1	88.26	97.36	242.88	92.7	153.34	67.59	87.65	53.57	128.79	153.34	27.84	395.18	205.5	98.73	128.79	140.04	135.24	102.25
CEP55	307.69	1008.9	1259.69	7.34	921.88	289.02	21.01	5.87	212.78	59.97	142.01	193.01	12.45	38.67	42.41	1594.73	155.5	159.9	111.99	470.14	540.19	53.19	145.02	100.83	79.45	85.82	98.04	287.01	96.68	31.45	83.45	237.86	58.71	163.28	140.04	189.02	312.0	117.6	159.9	66.18	332.14	120.94	89.51	177.53	656.11	47.84	199.85	165.57	156.59	155.5	293.07	366.09	7.34	457.25	351.14	271.48	293.07	264.03	190.34	327.56
CHAF1A	813.63	1159.07	693.58	106.63	813.63	251.48	206.94	72.01	392.44	221.86	217.27	395.18	164.42	301.33	176.29	551.56	137.14	255.0	224.97	463.65	460.44	162.14	237.86	165.57	199.85	215.77	123.5	303.44	244.57	173.85	358.54	412.0	224.97	228.13	239.52	265.87	332.14	212.78	204.07	189.02	387.02	246.28	178.77	269.6	480.04	289.02	305.55	327.56	191.67	100.83	248.0	327.56	37.05	358.54	842.36	186.4	295.11	409.15	262.2	190.34
CHAF1B	72.52	429.54	256.78	24.63	206.94	81.14	67.12	27.44	69.52	114.36	96.01	146.03	55.49	119.26	38.4	201.25	36.53	53.95	80.01	170.25	152.28	27.84	51.35	53.95	32.82	64.34	46.5	109.66	48.52	41.52	56.68	124.37	43.32	70.01	53.19	74.58	131.51	58.3	49.21	31.9	132.44	50.27	24.46	41.22	214.27	18.7	105.89	104.42	72.52	48.87	62.56	111.99	15.45	72.01	77.79	25.91	81.71	63.0	87.65	34.02
CHEK1	785.88	406.31	738.29	75.64	454.09	190.34	99.43	102.97	368.65	194.36	226.54	420.68	111.99	229.72	141.02	400.71	120.94	132.44	111.21	283.05	363.56	58.71	150.17	88.88	85.82	106.63	97.36	295.11	111.21	42.41	93.35	244.57	77.79	149.12	148.09	173.85	295.11	78.89	132.44	82.29	299.25	85.82	70.51	109.66	473.41	102.97	197.09	212.78	177.53	133.36	228.13	232.94	21.63	395.18	301.33	125.24	193.01	209.84	170.25	232.94
CKAP2L	129.69	325.29	208.38	1.71	339.14	96.68	23.76	0.97	93.35	57.08	111.99	226.54	14.14	27.84	34.02	420.68	66.18	92.05	44.57	152.28	221.86	29.7	51.71	43.63	34.26	38.95	53.95	139.07	65.72	8.99	34.26	122.64	34.51	60.82	74.06	89.51	104.42	40.64	55.89	17.9	123.5	47.84	21.32	74.06	303.44	17.51	105.15	111.21	76.71	85.22	127.0	113.56	1.97	187.71	241.19	187.71	173.85	151.22	88.88	193.01
CLSPN	130.6	312.0	237.86	2.66	186.4	23.42	10.24	1.07	77.79	22.59	61.68	118.43	3.99	48.52	15.68	120.94	6.62	29.91	25.72	147.06	120.94	9.06	29.27	28.04	28.45	21.01	19.68	123.5	28.45	18.97	24.46	93.35	12.64	52.45	60.82	45.53	68.07	31.9	46.18	24.81	94.67	42.11	8.99	28.65	180.02	17.9	59.55	57.49	38.95	23.76	58.3	65.72	5.28	78.34	108.14	54.33	52.08	56.68	49.21	55.89
