	TCGA.C8.A8HR.01A.11R.A36F.07	TCGA.BH.A1F0.01A.11R.A137.07	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.A2.A25F.01A.11R.A169.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.GM.A2DI.01A.31R.A18M.07	TCGA.E9.A1ND.01A.11R.A144.07	TCGA.BH.A0BL.01A.11R.A115.07	TCGA.AQ.A7U7.01A.22R.A352.07	TCGA.BH.A1FB.01A.11R.A13Q.07	TCGA.A2.A0T6.01A.11R.A084.07	TCGA.BH.A0BW.11A.12R.A115.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.IG.A5B8.01A.11R.A28J.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CR.7391.01A.11R.2016.07	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
CMTM7	759.08	1709.26	559.28	1208.34	559.28	1467.37	884.29	1340.84	1037.29	764.36	1437.15	420.68	1594.73	4.35	166.73	100.13	120.94	167.9	75.11	289.02	194.36	339.14	420.68	87.65	197.09	80.57	356.05	934.76	126.12	389.72	81.14	271.48	89.51	65.26	63.89	63.89
CPE	2119.22	1008.9	2119.22	1304.15	2119.22	1594.73	1685.71	348.71	1350.18	2468.49	2997.45	1721.16	1572.76	384.34	642.59	780.44	403.5	769.69	55.89	98.04	295.11	341.51	703.28	444.72	703.28	406.31	432.53	361.04	507.46	1950.0	191.67	151.22	316.37	62.56	234.57	112.77
CTD-2370N5.3	10.39	115.16	65.26	228.13	65.26	98.04	132.44	16.75	37.85	102.25	53.95	83.45	65.26	0.0	0.0	5.19	0.0	7.46	1.2	0.0	0.0	3.96	13.32	3.26	1.43	1.62	0.0	4.46	18.56	35.0	6.78	0.0	0.0	5.19	0.0	0.0
CTSO	629.35	647.07	738.29	836.53	738.29	713.11	723.08	830.75	909.17	836.53	995.0	1175.27	915.51	101.54	432.53	132.44	128.79	189.02	105.15	29.48	100.13	234.57	111.99	91.41	197.09	103.69	73.03	265.87	92.05	341.51	70.51	37.32	165.57	76.17	125.24	56.28
CXCL12	5183.54	6164.49	3716.2	4704.07	3716.2	5831.91	4152.18	575.03	3018.3	2319.15	5147.73	4937.99	6887.62	813.63	4450.27	176.29	9.06	884.29	33.54	34.26	38.12	511.0	521.76	237.86	325.29	191.67	239.52	100.13	420.68	2520.38	1081.39	1313.23	616.37	460.44	332.14	144.01
CYTH4	283.05	525.39	301.33	718.08	301.33	785.88	307.69	591.22	248.0	728.11	309.83	320.8	559.28	44.89	75.11	94.67	56.28	106.63	59.55	29.48	40.93	166.73	171.45	71.5	96.01	59.97	131.51	127.0	117.6	366.09	17.0	69.03	59.97	114.36	29.27	20.26
DGKD	224.97	177.53	214.27	140.04	214.27	265.87	409.15	94.01	215.77	497.0	441.64	571.05	547.75	10.55	40.07	42.11	31.67	68.55	38.95	35.25	13.83	109.66	50.27	18.7	38.4	20.26	96.68	59.55	69.03	94.67	35.25	94.01	66.65	44.89	47.84	25.72
DLEU7	9.78	37.05	20.41	41.22	20.41	30.12	10.71	26.47	18.56	26.28	15.68	18.56	18.03	0.0	1.99	6.62	6.62	5.92	4.66	1.87	13.83	10.16	0.0	14.03	8.06	1.41	4.1	13.22	1.19	7.22	2.25	0.0	3.76	2.81	1.99	0.87
DNAJC6	30.12	172.65	14.78	150.17	14.78	19.97	72.01	78.89	37.59	31.0	61.25	58.3	39.22	0.05	0.93	1.66	0.91	3.32	1.58	0.06	1.97	13.83	10.88	3.35	9.78	0.61	1.01	4.62	3.76	25.72	7.51	3.17	10.24	1.69	9.06	0.27
EFHD1	4066.71	4268.94	8901.53	2255.7	8901.53	4802.93	6699.25	343.89	1991.0	2224.63	5831.91	4268.94	1991.0	8.25	236.21	92.05	44.89	260.38	59.97	47.17	32.82	119.26	255.0	49.21	76.17	93.35	127.0	189.02	65.72	98.73	63.89	61.25	332.14	45.21	37.85	47.17
EVI2B	397.93	1551.09	718.08	2573.36	718.08	1378.57	1295.13	583.07	579.04	1081.39	848.22	620.67	1662.49	41.52	178.77	110.43	46.5	134.3	53.95	39.79	37.59	226.54	105.15	70.51	124.37	76.17	92.7	146.03	133.36	616.37	14.24	55.1	149.12	91.41	41.22	31.67
F2RL3	44.57	57.49	42.41	52.45	42.41	35.5	82.87	48.52	50.27	91.41	22.1	44.25	19.25	9.93	59.97	2.81	1.48	32.59	10.16	6.26	2.2	30.78	11.73	0.35	7.51	1.22	18.16	27.64	2.41	24.81	11.55	11.82	5.77	1.55	6.26	8.78
FAM198B	961.07	854.13	1268.46	1167.14	1268.46	1572.76	1088.92	307.69	988.12	1685.71	1936.53	1936.53	1030.12	29.06	47.5	90.77	92.7	186.4	76.17	63.45	64.34	291.04	95.34	72.01	201.25	62.56	178.77	156.59	50.98	525.39	35.25	57.49	80.01	23.59	14.35	19.53
FBXO10	104.42	228.13	165.57	148.09	165.57	102.97	123.5	175.07	122.64	163.28	104.42	84.04	130.6	70.01	52.82	55.89	27.25	120.1	37.59	51.71	44.57	112.77	90.77	64.8	102.97	132.44	120.1	63.45	133.36	120.1	49.91	79.45	134.3	144.01	90.14	30.56
FCGR1A	624.99	1977.24	836.53	2935.74	836.53	1977.24	684.02	3716.2	1304.15	884.29	483.38	796.86	314.17	97.36	76.71	91.41	59.13	14.14	32.59	10.55	60.82	215.77	262.2	45.85	34.26	40.36	45.21	56.28	8.51	186.4	16.15	62.12	125.24	84.04	48.18	45.21
FCGR1B	297.17	463.65	206.94	490.14	206.94	297.17	172.65	684.02	256.78	332.14	100.13	223.41	140.04	8.51	9.7	17.25	6.57	11.13	1.41	0.83	3.76	35.0	25.35	10.31	9.27	5.15	5.02	10.96	6.01	43.32	19.53	24.11	21.47	28.45	5.15	7.75
FERMT3	854.13	1066.48	825.0	1857.6	825.0	3190.46	1066.48	1487.87	733.19	1628.26	532.74	603.67	1388.16	65.72	312.0	157.68	106.63	228.13	96.68	48.87	83.45	231.32	281.09	135.24	166.73	130.6	262.2	251.48	215.77	921.88	77.25	127.0	265.87	275.28	75.64	62.56
FEZ2	748.61	1111.82	796.86	1111.82	796.86	1030.12	713.11	1059.11	860.08	728.11	947.83	1233.75	1008.9	403.5	733.19	343.89	384.34	466.88	511.0	414.87	629.35	493.56	480.04	638.15	669.92	348.71	457.25	703.28	307.69	555.41	563.18	540.19	563.18	476.71	497.0	483.38
FOXP3	101.54	127.89	140.04	334.46	140.04	133.36	232.94	301.33	180.02	373.81	155.5	115.97	224.97	55.89	67.12	40.93	19.11	53.19	8.13	3.86	6.46	68.55	97.36	4.1	41.81	32.13	43.02	56.68	59.13	251.48	87.03	91.41	26.47	80.01	13.93	11.3
FUT8	688.78	490.14	967.76	651.58	967.76	447.82	802.41	854.13	921.88	432.53	866.07	1350.18	616.37	86.43	348.71	78.89	63.45	102.97	56.68	50.27	56.28	144.01	84.04	70.51	95.34	55.1	113.56	155.5	66.65	320.8	76.71	112.77	75.11	65.26	98.04	73.03
FZD4	314.17	429.54	220.32	366.09	220.32	525.39	318.57	64.8	297.17	329.84	291.04	305.55	470.14	12.27	46.18	45.21	10.31	104.42	42.11	14.35	58.71	150.17	75.11	15.0	59.97	39.79	73.54	51.71	40.64	86.43	18.97	28.65	53.95	19.97	33.06	22.75
GMPR	624.99	629.35	796.86	166.73	796.86	389.72	102.97	432.53	185.11	616.37	236.21	159.9	368.65	3.96	30.12	70.01	3.72	29.27	1.11	4.78	0.42	43.94	112.77	13.62	19.97	13.32	29.27	70.01	7.75	190.34	12.93	120.1	92.7	22.1	98.73	22.26
GNS	1119.56	2090.03	1662.49	3349.13	1662.49	2796.65	2133.97	1216.75	1540.37	1572.76	2032.85	2287.2	1639.59	297.17	525.39	406.31	281.09	532.74	447.82	136.19	242.88	764.36	348.71	2193.99	567.1	307.69	441.64	674.59	281.09	1151.06	246.28	285.03	599.49	327.56	603.67	248.0
GPBAR1	40.36	47.17	52.45	45.85	52.45	26.1	13.03	48.18	20.41	18.97	7.88	12.55	19.97	7.82	13.93	5.28	9.48	38.67	4.17	0.0	3.66	10.88	24.46	6.01	2.76	3.47	10.55	7.22	4.46	24.46	6.36	6.73	8.51	14.35	9.63	10.08
GPR31	3.79	11.64	9.2	11.64	9.2	3.08	8.65	11.82	6.78	22.26	4.74	3.38	5.92	0.0	0.0	0.21	0.0	0.08	0.0	0.0	0.06	0.43	0.0	0.0	0.07	0.0	0.57	0.68	0.88	5.92	0.0	0.0	0.0	0.0	0.0	0.0
GPR65	108.14	414.87	220.32	551.56	220.32	260.38	201.25	258.57	185.11	269.6	201.25	187.71	182.55	5.19	30.12	38.67	8.13	31.22	18.16	12.83	10.96	71.5	41.81	20.26	38.12	21.32	29.91	40.93	38.4	76.71	11.38	75.64	19.82	16.03	8.45	18.7
GPSM3	780.44	1250.98	941.27	1977.24	941.27	1583.71	1561.89	1030.12	638.15	1487.87	842.36	638.15	1662.49	193.01	379.04	212.78	145.02	244.57	141.02	115.97	100.83	301.33	329.84	137.14	173.85	154.42	236.21	305.55	287.01	890.44	105.89	156.59	251.48	236.21	112.77	117.6
HESX1	129.69	275.28	138.1	48.18	138.1	76.17	34.26	115.16	44.57	96.01	44.89	21.94	47.5	78.34	17.64	27.25	11.3	6.84	4.98	1.77	16.39	23.93	18.03	10.96	12.18	11.38	7.46	20.56	13.42	15.0	12.18	5.92	18.84	18.56	12.09	8.71
HPN	105.89	253.23	961.07	67.59	961.07	299.25	928.3	723.08	320.8	743.43	480.04	878.17	92.7	46.84	44.25	0.0	0.0	7.06	0.0	0.15	0.0	0.11	0.71	0.0	1.36	0.0	0.37	1.33	1.79	8.13	0.0	1.57	3.53	0.56	11.55	4.24
IL1R1	854.13	1286.18	1111.82	1936.53	1111.82	1628.26	1066.48	981.29	1037.29	713.11	1259.69	1540.37	1295.13	547.75	2148.82	389.72	154.42	497.0	343.89	327.56	343.89	660.68	329.84	438.59	426.57	301.33	361.04	647.07	435.55	825.0	199.85	305.55	497.0	173.85	264.03	555.41
IL21	1.31	14.24	0.0	65.26	0.0	2.12	12.36	12.45	5.23	7.75	6.16	0.71	27.25	0.0	0.0	0.0	0.0	0.0	0.0	1.3	1.08	1.25	0.0	0.0	0.0	0.0	0.0	0.0	2.18	5.63	0.0	0.0	0.0	0.0	0.0	0.0
KAL1	351.14	90.14	165.57	157.68	165.57	92.05	139.07	262.2	163.28	194.36	186.4	130.6	113.56	73.54	58.71	30.56	24.81	24.99	39.79	31.67	14.89	48.87	49.91	9.27	51.35	34.26	16.39	21.01	18.03	94.01	11.13	6.01	65.72	18.03	28.24	5.41
KLHL6	52.82	217.27	88.26	403.5	88.26	299.25	234.57	74.58	120.1	236.21	122.64	85.82	497.0	12.55	29.91	18.03	6.89	26.67	9.2	7.57	5.77	55.89	25.72	10.0	16.63	9.85	19.53	29.06	34.02	96.68	0.44	7.88	14.89	13.62	6.16	1.51
LEPROT	915.51	1529.73	1216.75	1508.65	1216.75	1191.69	1359.57	1628.26	1369.04	1104.13	1844.76	1870.53	1594.73	660.68	796.86	567.1	397.93	603.67	559.28	511.0	825.0	703.28	607.87	748.61	796.86	743.43	583.07	748.61	587.13	1151.06	785.88	463.65	988.12	629.35	825.0	571.05
LGALS9	4450.27	8305.36	7642.41	6337.83	7642.41	7433.4	4769.75	8840.04	2720.15	6745.86	2720.15	1745.2	4010.71	8022.41	1487.87	470.14	220.32	802.41	146.03	181.28	142.01	796.86	674.59	381.68	470.14	669.92	1304.15	1295.13	397.93	2047.0	684.02	928.3	2287.2	1175.27	769.69	1127.35
LILRA1	22.92	55.89	22.75	32.59	22.75	58.3	30.34	37.59	18.7	46.5	28.04	32.59	25.17	3.96	2.89	12.0	2.12	17.64	4.62	1.08	3.23	12.09	10.88	3.5	7.94	4.62	10.96	8.99	6.57	37.85	3.08	5.73	9.63	10.39	3.56	2.53
LILRB4	579.04	1437.15	915.51	3820.7	915.51	4543.8	753.83	1359.57	679.29	1096.5	518.15	444.72	674.59	14.14	3.63	94.01	90.14	154.42	76.17	31.0	21.63	325.29	205.5	90.14	38.67	60.82	223.41	183.82	42.71	995.0	8.51	69.52	156.59	58.3	38.4	18.43
MAGED1	1909.85	3742.05	2451.44	3060.45	2451.44	3443.31	2739.08	4903.87	6337.83	4358.66	2451.44	3349.13	2485.67	1175.27	1111.82	1066.48	414.87	934.76	423.61	536.45	603.67	1059.11	947.83	529.06	733.19	848.22	738.29	896.64	796.86	1397.83	417.77	629.35	679.29	718.08	808.0	420.68
MMACHC	84.04	137.14	117.6	65.72	117.6	71.5	76.71	143.01	87.03	85.82	123.5	85.22	102.97	77.79	72.52	87.03	26.28	35.76	49.21	19.53	43.02	34.51	38.12	25.72	61.68	33.54	55.89	23.25	23.59	94.67	16.15	62.56	76.71	28.04	60.82	18.97
MNDA	334.46	928.3	500.46	1350.18	500.46	961.07	412.0	647.07	503.95	651.58	473.41	476.71	392.44	74.58	30.12	114.36	61.25	66.18	55.49	29.91	18.03	163.28	106.63	89.51	76.17	51.35	104.42	140.04	42.71	432.53	65.26	77.79	115.16	123.5	42.41	63.0
MS4A6A	2537.92	4869.99	3303.0	6337.83	3303.0	4358.66	4450.27	3690.52	2875.3	3018.3	2855.44	2434.5	2777.33	234.57	684.02	647.07	211.31	1059.11	258.57	165.57	182.55	1896.65	1208.34	299.25	559.28	432.53	466.88	708.18	348.71	1757.34	293.07	414.87	860.08	325.29	287.01	473.41
NAGA	656.11	791.35	764.36	967.76	764.36	988.12	764.36	802.41	651.58	638.15	688.78	607.87	603.67	334.46	429.54	395.18	314.17	483.38	226.54	224.97	195.72	392.44	457.25	336.79	417.77	371.22	444.72	525.39	400.71	543.96	389.72	264.03	497.0	318.57	395.18	239.52
NFATC2	111.99	211.31	141.02	466.88	141.02	121.79	540.19	127.0	178.77	312.0	249.73	128.79	497.0	49.21	35.25	13.03	5.02	29.91	5.15	5.23	4.66	38.4	14.89	22.26	25.72	10.39	22.26	57.08	26.86	106.63	52.82	65.26	33.78	36.79	14.45	16.88
NTN4	1369.04	559.28	1369.04	285.03	1369.04	791.35	1242.34	884.29	571.05	2758.13	3443.31	4239.45	2956.17	229.72	224.97	102.97	84.63	120.94	47.5	10.96	117.6	141.02	118.43	77.79	144.01	65.26	140.04	293.07	107.38	289.02	76.17	87.03	684.02	102.25	191.67	63.89
ORAI2	305.55	376.41	400.71	497.0	400.71	397.93	567.1	486.75	457.25	808.0	470.14	514.56	543.96	38.67	44.57	57.08	28.65	95.34	53.57	31.22	14.89	112.77	124.37	65.72	199.85	35.5	82.29	191.67	68.07	244.57	14.14	84.04	77.25	59.13	50.98	6.46
OSGIN2	262.2	713.11	457.25	563.18	457.25	327.56	392.44	514.56	384.34	271.48	599.49	371.22	373.81	120.1	121.79	80.01	75.64	90.14	123.5	122.64	50.27	269.6	60.39	129.69	248.0	44.57	98.04	183.82	71.0	172.65	59.13	91.41	113.56	75.11	100.13	74.58
PARD3B	87.65	172.65	112.77	92.05	112.77	80.01	131.51	20.41	111.99	93.35	127.0	158.79	135.24	12.55	10.24	44.57	12.0	40.36	4.86	11.73	5.06	45.21	24.81	12.74	34.26	19.25	25.91	64.8	31.67	46.5	58.3	19.39	64.8	18.03	22.75	31.45
PDE7A	796.86	559.28	753.83	785.88	753.83	571.05	624.99	902.89	1407.55	567.1	642.59	511.0	1081.39	172.65	251.48	151.22	187.71	113.56	187.71	161.02	151.22	187.71	150.17	147.06	228.13	126.12	125.24	129.69	134.3	241.19	41.52	104.42	163.28	66.18	84.63	25.54
PDK3	265.87	277.2	260.38	316.37	260.38	466.88	429.54	638.15	848.22	195.72	351.14	361.04	414.87	251.48	82.29	153.34	102.97	114.36	46.18	70.01	127.0	157.68	143.01	37.05	122.64	108.9	75.64	103.69	194.36	198.47	69.03	121.79	87.03	275.28	201.25	111.99
PHACTR1	58.71	122.64	56.68	172.65	56.68	127.0	147.06	59.55	91.41	127.89	118.43	104.42	275.28	20.86	59.97	16.63	7.46	32.82	7.17	8.65	9.85	27.25	20.26	18.84	30.56	42.41	16.15	19.53	48.18	44.57	85.22	22.43	24.63	35.25	19.25	56.68
PREX1	785.88	540.19	713.11	878.17	713.11	842.36	2075.59	348.71	305.55	1508.65	1397.83	603.67	656.11	60.82	180.02	78.34	26.67	127.0	54.33	34.51	26.1	157.68	98.04	36.27	82.87	58.71	111.99	95.34	112.77	371.22	52.08	139.07	183.82	59.13	54.33	49.56
PTPRJ	68.55	373.81	147.06	543.96	147.06	205.5	470.14	146.03	119.26	301.33	264.03	403.5	228.13	22.1	20.86	15.91	8.65	31.0	10.24	3.59	6.67	58.3	23.93	6.11	18.43	10.63	30.56	72.01	10.96	120.94	4.39	10.31	40.07	11.82	25.54	3.38
RAB39A	8.45	37.85	13.42	54.33	13.42	23.08	20.56	19.82	13.93	24.28	20.26	11.38	19.97	1.27	0.77	3.76	0.27	1.85	9.41	0.0	8.0	4.82	4.62	0.56	8.13	0.96	1.28	1.45	1.79	9.7	0.0	1.35	0.8	0.78	0.09	0.0
RASSF4	934.76	921.88	521.76	2224.63	521.76	1359.57	693.58	1407.55	988.12	974.5	473.41	327.56	1313.23	22.1	144.01	293.07	161.02	368.65	107.38	111.21	185.11	723.08	647.07	140.04	198.47	167.9	295.11	275.28	162.14	529.06	28.86	55.1	303.44	48.87	149.12	71.0
RBBP9	325.29	323.03	718.08	325.29	718.08	285.03	429.54	703.28	532.74	356.05	540.19	511.0	376.41	273.37	173.85	269.6	122.64	182.55	147.06	122.64	102.25	212.78	127.89	215.77	224.97	175.07	147.06	142.01	145.02	281.09	336.79	158.79	325.29	297.17	229.72	343.89
RERG	796.86	285.03	473.41	130.6	473.41	267.73	417.77	368.65	563.18	708.18	1191.69	339.14	1135.2	6.78	40.64	320.8	107.38	127.0	25.17	19.97	25.72	87.65	105.15	40.64	76.71	57.89	62.56	85.82	119.26	94.67	53.19	34.75	87.65	22.75	23.42	28.65
RGL1	358.54	529.06	271.48	620.67	271.48	490.14	371.22	429.54	389.72	363.56	376.41	316.37	563.18	36.27	111.99	212.78	49.91	195.72	69.52	21.78	96.01	246.28	111.21	108.9	156.59	110.43	144.01	102.97	120.1	239.52	80.01	72.01	116.78	108.14	115.16	61.68
