	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.11LCK.2026.SM.5A5MA	GTEX.1211K.1726.SM.5FQUJ	GTEX.139T6.1326.SM.5IFFO	GTEX.WH7G.1326.SM.4LVMS	GTEX.XBEW.1926.SM.4SOJO	GTEX.YEC3.2426.SM.5IFJR	GTEX.13O21.2426.SM.5MR4A	GTEX.13QBU.1826.SM.5IJG3	GTEX.ZPIC.2226.SM.57WDX	GTEX.14DAR.1526.SM.5RQIX	GTEX.Y3IK.1826.SM.4WWDS	GTEX.11VI4.1526.SM.5EQKC	GTEX.ZT9W.1826.SM.51MQX	TCGA.KN.8422.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.5121.01A.02R.1420.07	TCGA.A3.3374.01A.02R.1325.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.BR.8682.01A.11R.2402.13	TCGA.CD.8534.01A.11R.2343.13	TCGA.BR.8483.01A.31R.2402.13	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.WFON.1126.SM.4LVMA	GTEX.Y5V6.1326.SM.4VDTF	TCGA.DJ.A1QG.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A3O9.01A.11R.A220.07
CORO2A	1331.57	836.53	723.08	848.22	854.13	563.18	571.05	414.87	848.22	836.53	1030.12	878.17	813.63	890.44	1023.0	36.01	8.58	3.29	3.17	8.32	9.34	47.5	18.97	7.57	13.72	866.07	341.51	187.71	8.78	194.36	94.01	89.51	146.03	16.15
CRB3	3540.14	2400.97	1950.0	2119.22	2303.12	1936.53	1781.89	1322.37	2739.08	2384.37	2627.46	2935.74	3081.75	2133.97	3039.3	2645.74	1594.73	1605.83	511.0	1208.34	595.34	1191.69	1242.34	1388.16	395.18	830.75	934.76	1268.46	1.5	1216.75	995.0	500.46	403.5	1407.55
DGAT1	5183.54	5517.27	6207.38	6079.61	4903.87	4704.07	5791.62	3515.68	6164.49	5183.54	4671.57	6207.38	5672.41	4095.0	6652.97	1950.0	1259.69	1059.11	1143.1	1167.14	961.07	954.43	1183.45	854.13	1685.71	2520.38	1119.56	2739.08	759.08	4066.71	1819.35	902.89	1143.1	802.41
DNM2	5479.15	8305.36	6840.04	8901.53	8421.31	6652.97	6250.56	3982.99	8134.41	9025.81	6426.31	8247.98	5517.27	6294.04	7382.04	1477.58	1896.65	1896.65	2255.7	2133.97	2502.97	1674.06	2240.11	3018.3	2417.67	3820.7	3901.01	2555.58	1259.69	4181.07	2319.15	1594.73	1233.75	1950.0
DQX1	1340.84	1340.84	1508.65	1697.45	1277.29	1044.52	1447.15	532.74	1870.53	2047.0	1304.15	1322.37	1127.35	1096.5	947.83	0.0	0.0	2.89	4.35	0.0	0.49	0.0	1.81	0.0	0.0	316.37	163.28	22.92	0.0	273.37	80.57	2.61	0.92	0.96
DTX4	1359.57	1135.2	1088.92	1295.13	961.07	769.69	872.1	612.11	988.12	1001.93	1378.57	1594.73	1508.65	1044.52	819.3	11.82	14.56	33.78	212.78	35.5	186.4	77.79	53.57	136.19	121.79	1359.57	642.59	563.18	93.35	258.57	129.69	316.37	1359.57	35.76
ELOVL1	4358.66	3491.39	3742.05	3690.52	3372.43	3124.78	3395.89	2875.3	3257.52	3820.7	3639.7	3443.31	4575.41	3168.41	4972.34	2163.77	1216.75	1104.13	1259.69	1322.37	1697.45	1639.59	1467.37	2976.74	1561.89	2004.85	2271.4	1883.54	909.17	2997.45	2367.9	1781.89	1977.24	1594.73
ENTPD8	3235.01	2537.92	3491.39	2835.7	3280.18	2032.85	2664.15	1167.14	4010.71	3280.18	2915.45	3639.7	3235.01	2591.27	3901.01	24.99	53.95	60.82	0.46	17.0	14.89	3.38	9.78	105.15	32.59	138.1	147.06	145.02	1.25	140.04	62.56	8.99	63.0	28.86
EPCAM	77396.54	57448.23	38164.99	53973.86	70727.3	44761.41	37901.36	30999.42	64632.75	68318.04	69753.56	73730.83	57847.82	52863.07	79022.82	10512.82	4210.15	9088.59	1936.53	4836.35	902.89	2335.28	3325.99	3491.39	7.94	16727.26	14765.09	15499.21	5.23	2682.69	2271.4	5995.9	4869.99	2018.8
FAM109A	551.56	595.34	555.41	708.18	688.78	540.19	543.96	406.31	769.69	559.28	612.11	703.28	521.76	532.74	518.15	142.01	96.01	149.12	47.17	115.97	162.14	137.14	114.36	764.36	198.47	447.82	246.28	376.41	74.06	532.74	305.55	194.36	156.59	147.06
FAM83E	4937.99	4869.99	6079.61	5517.27	5076.84	4239.45	4769.75	2351.53	6079.61	4575.41	4038.61	4937.99	4152.18	4903.87	5219.6	0.48	0.0	0.82	8.99	2.41	0.0	0.0	5.73	0.0	0.0	1199.98	1508.65	1208.34	0.0	753.83	173.85	0.0	0.83	0.0
FAM83F	547.75	426.57	547.75	454.09	480.04	406.31	373.81	236.21	532.74	543.96	521.76	518.15	583.07	423.61	620.67	316.37	289.02	392.44	23.76	212.78	49.91	341.51	305.55	6.36	0.0	153.34	92.7	115.16	0.0	226.54	189.02	75.64	51.35	267.73
FAM83G	503.95	409.15	540.19	470.14	497.0	389.72	450.94	279.14	567.1	567.1	514.56	536.45	490.14	420.68	547.75	231.32	56.28	153.34	239.52	53.57	80.01	108.9	75.64	277.2	500.46	221.86	297.17	161.02	47.84	327.56	220.32	190.34	92.05	145.02
FOXH1	107.38	105.89	91.41	94.67	65.26	61.25	89.51	31.9	81.71	90.14	109.66	53.95	70.51	82.29	57.08	12.18	1.95	2.51	0.0	0.53	4.78	2.16	3.17	2.05	0.0	39.5	37.32	24.99	3.14	10.08	3.0	2.58	2.68	0.0
FUT2	2209.26	1572.76	1651.0	2271.4	2032.85	1498.22	1498.22	1088.92	2417.67	1551.09	2555.58	1709.26	2645.74	1572.76	3103.19	193.01	17.25	10.39	17.25	35.25	3.69	16.51	20.86	3.92	114.36	567.1	2271.4	438.59	1.58	599.49	483.38	26.47	140.04	22.59
FUT3	8778.97	6471.02	8078.22	7911.95	6471.02	5711.87	7749.1	4038.61	8191.0	8538.88	8078.22	7130.55	8022.41	5441.3	10808.41	0.0	1.45	0.42	2.61	0.0	30.56	2.12	28.04	426.57	6.31	708.18	884.29	1259.69	0.0	514.56	57.08	26.1	89.51	0.0
GMDS	5594.3	5219.6	6337.83	3589.58	4450.27	2895.31	4869.99	3395.89	6207.38	5041.77	6561.36	4152.18	5751.61	4869.99	6294.04	343.89	587.13	748.61	500.46	432.53	341.51	429.54	406.31	1359.57	2537.92	1015.93	3794.3	1427.22	68.55	2351.53	1529.73	316.37	583.07	599.49
GMIP	547.75	567.1	514.56	521.76	642.59	426.57	559.28	409.15	447.82	450.94	521.76	497.0	432.53	429.54	571.05	80.01	101.54	95.34	34.51	55.1	152.28	334.46	68.55	93.35	81.71	412.0	432.53	463.65	44.25	314.17	212.78	205.5	186.4	167.9
GPA33	24660.96	18178.19	14065.74	18178.19	19482.97	13968.57	9945.68	8305.36	25179.16	17437.64	18950.18	23492.92	21172.91	15075.35	20451.65	5.32	1.41	0.82	0.0	0.48	7.51	6.67	1.77	27.05	0.53	358.54	204.07	42.11	0.0	48.87	20.26	2.61	16.03	1.45
GPBP1L1	2895.31	2520.38	2384.37	2417.67	2682.69	2061.24	2090.03	2119.22	2796.65	2591.27	2875.3	3018.3	2319.15	2573.36	2451.44	1023.0	934.76	1651.0	1651.0	872.1	1175.27	941.27	928.3	1295.13	1001.93	2271.4	2645.74	1233.75	1487.87	1794.29	1151.06	2319.15	1417.35	1044.52
GPR39	555.41	438.59	395.18	486.75	503.95	283.05	334.46	231.32	514.56	420.68	500.46	559.28	547.75	414.87	656.11	7.63	79.45	178.77	29.06	21.94	47.17	13.62	15.34	176.29	137.14	59.55	104.42	191.67	1.19	139.07	114.36	5.06	34.75	2.58
GPRIN2	647.07	674.59	507.46	656.11	620.67	361.04	444.72	262.2	486.75	406.31	543.96	575.03	490.14	595.34	518.15	2.92	5.23	4.5	7.94	0.0	29.27	1.71	14.14	234.57	0.0	356.05	208.38	197.09	2.68	152.28	70.51	119.26	32.13	56.28
GSKIP	3614.55	2178.83	1806.78	2255.7	2417.67	1551.09	1397.83	1199.98	2047.0	1857.6	2591.27	2255.7	2178.83	1991.0	3742.05	353.59	295.11	497.0	432.53	361.04	206.94	339.14	339.14	312.0	511.0	791.35	444.72	392.44	361.04	718.08	463.65	246.28	244.57	249.73
HNF4A	5147.73	4358.66	4671.57	5366.37	5006.93	3372.43	3280.18	2255.7	5791.62	4903.87	5329.3	5954.47	4268.94	4450.27	6079.61	6.36	9.56	1.68	2.46	3.96	371.22	0.87	85.82	884.29	1721.16	3540.14	1417.35	1277.29	0.33	267.73	156.59	0.0	0.0	10.08
IHH	3491.39	3372.43	2976.74	2915.45	2915.45	2104.58	2609.3	2163.77	3614.55	4010.71	3467.27	4210.15	4358.66	2384.37	3419.52	20.56	12.27	165.57	10.08	2.92	20.86	0.85	7.51	165.57	156.59	1001.93	591.22	656.11	1.28	373.81	169.07	0.0	0.0	1.22
IL17RE	1199.98	1519.15	1628.26	1832.01	1674.06	1322.37	1331.57	718.08	2032.85	1794.29	1769.57	2119.22	1477.58	1583.71	1378.57	108.14	20.26	218.79	31.45	84.63	61.25	3.38	40.93	27.25	30.12	988.12	780.44	713.11	41.81	1111.82	450.94	241.19	185.11	115.16
ITPKA	1870.53	1529.73	1277.29	1457.23	1216.75	830.75	1044.52	429.54	1437.15	1857.6	1733.13	1857.6	1794.29	1175.27	1216.75	281.09	51.71	36.01	4.9	108.9	22.43	21.32	4.06	12.74	100.83	234.57	121.79	92.05	13.03	373.81	205.5	21.01	15.91	30.56
KCNK10	76.17	41.52	76.71	42.11	73.03	37.85	68.55	39.5	62.12	63.45	41.22	63.0	76.71	107.38	77.79	0.0	0.45	3.2	2.53	0.0	3.2	0.4	2.61	7.82	0.0	3.32	18.7	4.58	0.49	82.29	3.92	2.73	0.41	0.42
KCTD5	1477.58	1096.5	995.0	884.29	961.07	723.08	884.29	780.44	1001.93	1151.06	1268.46	1001.93	1119.56	921.88	1487.87	842.36	283.05	450.94	289.02	314.17	253.23	346.29	395.18	381.68	336.79	470.14	642.59	490.14	215.77	444.72	414.87	226.54	314.17	559.28
KIAA1211	551.56	267.73	246.28	291.04	384.34	181.28	143.01	116.78	343.89	277.2	314.17	366.09	277.2	371.22	271.48	0.0	0.48	9.63	22.92	1.46	0.47	4.54	39.5	0.0	1.85	281.09	54.33	24.63	14.78	52.45	24.11	6.21	23.93	2.01
KIAA1522	3280.18	3168.41	2701.35	3303.0	2976.74	2367.9	2451.44	1551.09	2997.45	2997.45	2997.45	3395.89	2178.83	2573.36	3303.0	1561.89	753.83	825.0	441.64	872.1	346.29	825.0	1259.69	1135.2	199.85	2255.7	2303.12	785.88	348.71	2193.99	1359.57	934.76	738.29	988.12
LAD1	6250.56	5831.91	5633.22	5183.54	5255.91	4239.45	4450.27	3325.99	5913.33	6079.61	6250.56	6426.31	6121.9	4543.8	7130.55	21.32	14.78	1119.56	153.34	21.01	3.82	15.56	104.42	132.44	87.03	1651.0	2193.99	4543.8	0.0	1519.15	941.27	483.38	819.3	125.24
LENG9	283.05	307.69	314.17	327.56	314.17	241.19	264.03	211.31	507.46	366.09	457.25	327.56	368.65	312.0	314.17	46.18	93.35	12.0	49.21	70.01	59.13	39.22	40.64	72.52	187.71	223.41	412.0	177.53	61.68	186.4	135.24	14.35	85.22	53.57
LGALS9	13968.57	17558.94	17197.56	19348.38	19214.73	13968.57	13872.08	10512.82	21468.49	19892.37	18178.19	18689.27	16157.44	16727.26	17078.76	381.68	1088.92	454.09	149.12	476.71	2119.22	5555.65	555.41	2255.7	305.55	7331.05	8305.36	6079.61	204.07	5594.3	2485.67	896.64	1498.22	1088.92
LPAR5	808.0	624.99	656.11	651.58	674.59	444.72	555.41	466.88	872.1	703.28	733.19	764.36	866.07	651.58	616.37	124.37	106.63	43.63	4.58	20.41	57.49	35.5	85.82	61.25	8.06	323.03	253.23	137.14	10.71	447.82	363.56	246.28	480.04	88.26
LPCAT4	3443.31	5292.48	5711.87	5672.41	5594.3	4268.94	4607.24	3081.75	4937.99	5517.27	4903.87	5112.16	3820.7	4210.15	4481.23	490.14	463.65	320.8	187.71	507.46	450.94	291.04	318.57	813.63	189.02	1870.53	1794.29	915.51	486.75	2018.8	836.53	941.27	1605.83	356.05
LRRC1	1733.13	780.44	753.83	934.76	974.5	703.28	579.04	603.67	1008.9	848.22	974.5	915.51	753.83	860.08	1378.57	228.13	157.68	348.71	69.52	293.07	123.5	123.5	183.82	262.2	177.53	397.93	483.38	483.38	172.65	480.04	241.19	249.73	356.05	224.97
LSR	6607.01	8078.22	6337.83	8247.98	9474.59	6121.9	4358.66	4066.71	9606.86	7331.05	8778.97	9876.98	7803.01	6792.79	9151.82	2451.44	2682.69	848.22	896.64	1250.98	1044.52	1697.45	1250.98	1487.87	1331.57	2061.24	7911.95	4268.94	23.42	3564.78	2537.92	1259.69	1977.24	1073.91
MAPK13	4066.71	3124.78	3639.7	3212.66	3847.29	2720.15	2627.46	2178.83	3768.09	3257.52	3955.48	3564.78	3589.58	3395.89	3564.78	902.89	1388.16	392.44	215.77	607.87	115.16	1467.37	1073.91	473.41	39.5	1519.15	1350.18	1407.55	21.63	1059.11	633.73	1277.29	723.08	400.71
MAPK3	9279.58	8191.0	7331.05	6935.54	7433.4	5831.91	5751.61	3768.09	7485.11	7485.11	8191.0	8363.13	7857.29	7032.37	10659.59	2075.59	1295.13	1127.35	769.69	1605.83	3018.3	1651.0	1477.58	2537.92	934.76	2935.74	3372.43	2400.97	1896.65	4802.93	2319.15	2303.12	1963.57	1685.71
MARVELD3	2895.31	2224.63	1359.57	1896.65	2119.22	1417.35	1561.89	775.05	2193.99	2104.58	2335.28	2319.15	1883.54	1594.73	2400.97	314.17	497.0	356.05	64.8	152.28	221.86	65.72	144.01	525.39	41.81	629.35	211.31	555.41	3.79	185.11	112.77	241.19	82.29	384.34
MFSD9	674.59	688.78	466.88	559.28	612.11	435.55	450.94	366.09	575.03	559.28	587.13	551.56	497.0	543.96	674.59	157.68	129.69	262.2	123.5	113.56	114.36	77.79	100.83	150.17	376.41	281.09	242.88	353.59	111.21	201.25	289.02	102.25	59.55	58.3
MISP	16727.26	11584.24	9088.59	12764.83	11504.21	9279.58	6745.86	4450.27	11267.44	10440.2	13306.94	13399.51	11267.44	9151.82	17317.18	23.59	4.78	0.85	6.78	36.27	25.17	9.63	30.34	327.56	0.52	6516.03	2451.44	1781.89	0.31	325.29	109.66	12.09	101.54	6.67
MT-ATP8	2599854.48	3832885.91	3454390.1	3601083.44	2825352.59	2053992.24	4987895.16	2392353.91	2986448.72	3406832.48	3028138.0	3502611.6	2884719.27	3223059.86	2672946.37	5308966.95	5057523.59	4252853.3	3178687.03	4079609.54	3313672.43	3134925.09	4919225.32	4342214.81	3454390.1	3995652.37	3832885.91	4653870.67	2845004.48	3601083.44	3502611.6	3406832.48	5128124.01	3728075.41
MYD88	1870.53	1242.34	1183.45	1369.04	1233.75	947.83	1175.27	1059.11	1127.35	1250.98	1304.15	1143.1	1268.46	1191.69	1709.26	104.42	198.47	231.32	414.87	122.64	518.15	698.41	170.25	802.41	674.59	830.75	1096.5	785.88	307.69	836.53	647.07	406.31	791.35	264.03
MYH14	8191.0	6840.04	5329.3	7695.57	6294.04	4869.99	4095.0	2502.97	7537.18	7280.4	7749.1	7032.37	5366.37	5292.48	9540.5	1447.15	1151.06	361.04	139.07	842.36	197.09	1023.0	543.96	353.59	603.67	3325.99	2061.24	2777.33	63.89	1407.55	896.64	1572.76	2018.8	988.12
MYO1A	7382.04	6561.36	7081.29	7180.15	7180.15	6164.49	6607.01	3491.39	8901.53	6652.97	6426.31	7642.41	6840.04	6471.02	6887.62	0.49	5.23	0.42	4.66	0.99	1.41	2.1	0.45	0.41	61.25	2835.7	688.78	104.42	11.55	909.17	69.03	31.0	5.36	0.75
MYO5B	3515.68	2335.28	1697.45	2163.77	2573.36	1685.71	1417.35	1350.18	3060.45	2163.77	2915.45	2758.13	2367.9	2148.82	3060.45	1697.45	1242.34	813.63	220.32	1651.0	236.21	743.43	518.15	1023.0	323.03	967.76	460.44	208.38	5.15	595.34	532.74	1015.93	967.76	651.58
NADK	2104.58	2119.22	2468.49	2148.82	2090.03	1757.34	2485.67	1745.2	2075.59	2319.15	1870.53	2075.59	2075.59	2047.0	2255.7	688.78	507.46	642.59	1001.93	660.68	555.41	909.17	738.29	567.1	1378.57	1757.34	974.5	1397.83	780.44	1447.15	921.88	1081.39	836.53	1175.27
NAPRT1	4388.98	4298.64	5292.48	4937.99	4419.52	4210.15	6426.31	2502.97	4358.66	5913.33	4239.45	4736.79	3901.01	3820.7	4736.79	1051.79	525.39	813.63	307.69	915.51	2627.46	463.65	153.34	941.27	1407.55	2434.5	2193.99	4869.99	529.06	4512.4	1991.0	1151.06	967.76	703.28
