	TCGA.A8.A08B.01A.11R.A00Z.07	TCGA.B6.A0RO.01A.22R.A084.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.E2.A10E.01A.21R.A10J.07	TCGA.A8.A06Q.01A.11R.A034.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.BH.A0DV.01A.21R.A12P.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.A8.A06N.01A.11R.A00Z.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.E9.A1NG.01A.21R.A14M.07	TCGA.A2.A0ET.01A.31R.A034.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.OK.A5Q2.01A.11R.A27Q.07	TCGA.E2.A1IJ.01A.11R.A144.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AC.A3HN.01A.11R.A213.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AC.A2B8.01A.11R.A17B.07	TCGA.A8.A094.01A.11R.A00Z.07	TCGA.AR.A0TR.01A.11R.A084.07	TCGA.BH.A0DH.01A.11R.A084.07	TCGA.AN.A0FN.01A.11R.A034.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	GTEX.1313W.0826.SM.5EQ4T	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
CALHM2	595.34	318.57	1498.22	616.37	775.05	1066.48	432.53	1175.27	289.02	466.88	1073.91	633.73	423.61	603.67	480.04	98.73	397.93	1467.37	669.92	954.43	1369.04	460.44	381.68	389.72	172.65	607.87	921.88	281.09	150.17	595.34	1295.13	1066.48	1191.69	1397.83	743.43	503.95	1295.13	638.15	764.36	1119.56	325.29	214.27	775.05	1313.23	511.0	1023.0	1059.11	0.0	0.62
CD248	145.02	206.94	1781.89	265.87	275.28	2855.44	131.51	1991.0	287.01	651.58	1950.0	358.54	295.11	1096.5	389.72	64.8	974.5	2271.4	1467.37	579.04	2502.97	836.53	414.87	212.78	67.59	170.25	688.78	172.65	59.13	638.15	5041.77	954.43	1044.52	1127.35	138.1	884.29	1662.49	226.54	414.87	518.15	215.77	55.49	217.27	2119.22	441.64	718.08	1857.6	0.0	0.24
CHSY3	27.44	14.35	217.27	40.36	57.49	237.86	8.85	124.37	55.49	22.92	289.02	67.59	63.0	55.49	57.08	4.31	66.65	195.72	201.25	33.3	165.57	45.85	36.27	10.16	6.11	26.47	152.28	13.42	10.79	55.49	289.02	43.32	100.83	74.58	17.38	83.45	85.22	20.71	53.57	90.14	45.21	1.95	22.75	223.41	27.84	87.03	58.71	0.0	0.21
CLIP2	42.11	47.84	232.94	131.51	107.38	226.54	49.56	316.37	64.8	91.41	194.36	105.89	80.01	156.59	87.65	27.05	87.03	316.37	239.52	124.37	262.2	94.67	70.51	22.43	16.63	61.25	242.88	32.36	17.64	118.43	961.07	128.79	208.38	197.09	26.47	212.78	211.31	72.01	314.17	139.07	75.11	18.03	115.97	211.31	87.03	162.14	228.13	0.0	0.61
CNIH3	98.04	82.29	220.32	199.85	80.57	305.55	54.72	273.37	102.97	29.06	130.6	145.02	63.0	146.03	171.45	78.34	120.1	312.0	262.2	97.36	181.28	165.57	163.28	128.79	42.41	155.5	234.57	55.49	73.54	59.55	603.67	108.9	239.52	171.45	63.45	49.21	212.78	51.35	39.5	258.57	195.72	57.49	128.79	217.27	66.18	165.57	166.73	0.0	0.33
CNRIP1	56.28	93.35	387.02	187.71	116.78	536.45	31.9	414.87	111.99	92.05	591.22	164.42	181.28	346.29	115.16	36.79	102.25	457.25	420.68	172.65	647.07	262.2	96.01	43.32	35.25	96.01	444.72	61.25	65.26	157.68	525.39	237.86	414.87	175.07	71.5	177.53	389.72	195.72	154.42	301.33	135.24	38.4	90.77	642.59	104.42	201.25	1208.34	0.0	0.62
COL16A1	312.0	301.33	2209.26	540.19	563.18	3303.0	77.79	2855.44	348.71	198.47	2796.65	426.57	693.58	2224.63	389.72	124.37	497.0	3168.41	4066.71	723.08	2758.13	669.92	1651.0	149.12	189.02	397.93	921.88	146.03	93.35	961.07	5751.61	1697.45	2758.13	791.35	224.97	629.35	2682.69	1059.11	3081.75	1191.69	251.48	260.38	525.39	2468.49	265.87	1233.75	878.17	0.0	1.13
COL18A1	1304.15	571.05	4095.0	1183.45	2400.97	2664.15	791.35	3124.78	967.76	728.11	2956.17	1023.0	854.13	2417.67	1313.23	371.22	1963.57	7642.41	3443.31	2555.58	3639.7	3146.52	1628.26	314.17	193.01	825.0	2895.31	251.48	493.56	2047.0	8363.13	2816.11	3716.2	3349.13	197.09	2319.15	4298.64	511.0	2075.59	1304.15	813.63	169.07	1023.0	3060.45	1023.0	2303.12	3443.31	0.0	1.07
COL4A1	543.96	507.46	3928.15	3039.3	3820.7	1697.45	518.15	4152.18	2956.17	1991.0	7032.37	2777.33	2178.83	1936.53	2485.67	447.82	3820.7	6426.31	2047.0	2061.24	7280.4	5594.3	4268.94	909.17	796.86	1487.87	8479.89	988.12	414.87	3690.52	11992.79	1639.59	2777.33	7180.15	1322.37	3874.05	3928.15	1457.23	1651.0	2555.58	2287.2	368.65	1519.15	8191.0	2434.5	3190.46	3325.99	0.0	0.6
COL4A2	529.06	497.0	3794.3	2591.27	3124.78	1936.53	684.02	4607.24	2451.44	1844.76	5219.6	2004.85	1407.55	2287.2	1870.53	381.68	3325.99	7642.41	2193.99	2255.7	7382.04	4239.45	3589.58	995.0	723.08	1135.2	7485.11	825.0	376.41	1819.35	12853.63	2485.67	2720.15	6164.49	915.51	3212.66	4769.75	1551.09	2193.99	2287.2	1806.78	358.54	1561.89	6121.9	2255.7	2739.08	2997.45	1135.2	301.33
DACT3	14.56	40.07	135.24	62.56	49.56	234.57	13.22	187.71	45.53	27.25	309.83	87.03	68.55	139.07	56.68	7.17	58.71	293.07	191.67	34.75	231.32	135.24	56.28	14.56	3.72	37.59	191.67	13.22	13.12	28.04	314.17	232.94	209.84	53.19	17.9	76.71	154.42	23.59	71.0	90.77	31.67	10.08	57.08	256.78	37.59	128.79	121.79	0.0	0.32
EMILIN1	346.29	273.37	1529.73	669.92	423.61	2303.12	116.78	2758.13	441.64	253.23	1477.58	265.87	239.52	1721.16	503.95	37.85	616.37	4802.93	2935.74	909.17	1781.89	483.38	356.05	42.71	20.71	201.25	1977.24	47.5	68.55	612.11	4388.98	1733.13	1662.49	1529.73	59.55	780.44	2163.77	295.11	674.59	941.27	693.58	82.87	536.45	1151.06	275.28	1322.37	463.65	0.0	1.04
ENTPD1	123.5	320.8	1781.89	595.34	320.8	796.86	123.5	540.19	500.46	262.2	1561.89	665.29	563.18	629.35	329.84	135.24	400.71	1066.48	656.11	255.0	1498.22	624.99	267.73	119.26	87.03	343.89	703.28	223.41	183.82	395.18	733.19	351.14	890.44	660.68	204.07	624.99	703.28	279.14	743.43	603.67	366.09	104.42	271.48	1191.69	281.09	460.44	567.1	241.19	82.87
F2R	153.34	301.33	1819.35	928.3	371.22	1769.57	72.01	1340.84	429.54	403.5	2209.26	571.05	1286.18	854.13	947.83	223.41	341.51	1437.15	860.08	665.29	1662.49	1167.14	738.29	232.94	373.81	612.11	1322.37	197.09	249.73	587.13	2956.17	1023.0	947.83	941.27	214.27	642.59	1359.57	507.46	603.67	1111.82	507.46	76.17	490.14	2609.3	444.72	376.41	373.81	0.0	0.26
F2RL2	82.29	172.65	1304.15	417.77	47.84	1721.16	6.57	743.43	87.03	127.89	1378.57	94.01	802.41	669.92	314.17	5.23	64.8	476.71	536.45	262.2	921.88	521.76	69.03	8.78	2.71	271.48	27.84	44.25	59.13	493.56	1721.16	348.71	470.14	69.03	21.16	162.14	1023.0	117.6	218.79	291.04	83.45	0.97	198.47	1286.18	158.79	98.04	32.36	0.0	0.3
FAM43B	0.62	6.52	29.06	4.78	4.7	17.64	1.77	26.67	1.77	3.38	22.75	9.48	14.56	16.51	2.29	1.35	7.0	28.24	9.2	11.91	67.59	48.87	10.0	4.1	1.14	12.74	13.52	2.36	2.16	29.06	67.12	20.11	15.0	48.52	4.5	4.66	19.53	5.19	8.0	16.39	2.25	1.48	12.93	32.13	3.92	6.26	24.63	0.0	0.01
FBLN2	299.25	346.29	4671.57	540.19	348.71	2758.13	25.17	2224.63	429.54	665.29	3768.09	1233.75	909.17	2351.53	559.28	190.34	679.29	2855.44	5255.91	961.07	4010.71	848.22	490.14	162.14	15.0	379.04	1628.26	96.68	190.34	684.02	6935.54	2148.82	3540.14	743.43	61.25	1359.57	2502.97	813.63	1286.18	1540.37	607.87	194.36	463.65	4152.18	603.67	2075.59	3564.78	229.72	108.9
FBN1	438.59	387.02	7642.41	1295.13	1322.37	4152.18	52.82	4639.29	1096.5	457.25	10084.54	2417.67	1857.6	1757.34	1540.37	150.17	1508.65	4903.87	8078.22	743.43	6037.61	1909.85	1143.1	47.5	52.08	1111.82	4869.99	194.36	149.12	995.0	5219.6	1359.57	5831.91	1662.49	291.04	2739.08	3235.01	412.0	1639.59	3235.01	1498.22	122.64	775.05	7331.05	429.54	3325.99	2400.97	0.0	0.89
FEZ1	52.45	47.84	258.57	103.69	78.34	223.41	9.93	236.21	57.89	49.21	406.31	108.14	64.34	153.34	59.97	28.04	73.03	376.41	255.0	67.59	387.02	123.5	90.14	30.56	14.67	65.72	403.5	15.11	25.35	78.34	2777.33	206.94	277.2	124.37	41.52	113.56	178.77	51.71	77.25	156.59	76.17	38.67	65.72	429.54	35.25	172.65	791.35	0.0	0.69
FHL3	130.6	156.59	1030.12	379.04	323.03	656.11	149.12	954.43	229.72	420.68	1407.55	409.15	299.25	540.19	277.2	67.12	460.44	1216.75	830.75	295.11	961.07	470.14	251.48	236.21	73.54	307.69	813.63	94.01	224.97	336.79	1340.84	633.73	753.83	583.07	126.12	480.04	571.05	190.34	493.56	423.61	246.28	108.9	299.25	1151.06	193.01	603.67	603.67	0.0	0.45
FIBIN	63.45	69.03	1369.04	170.25	151.22	341.51	6.01	947.83	156.59	75.64	1119.56	301.33	181.28	348.71	178.77	8.58	150.17	1216.75	1477.58	81.71	1127.35	241.19	121.79	10.96	0.0	127.0	1322.37	21.63	34.02	144.01	1008.9	318.57	1119.56	218.79	50.63	432.53	476.71	103.69	529.06	703.28	246.28	13.03	130.6	1467.37	50.63	759.08	105.15	0.0	0.07
FMNL3	92.05	150.17	660.68	454.09	258.57	521.76	90.14	583.07	246.28	281.09	775.05	629.35	473.41	587.13	258.57	92.7	229.72	591.22	500.46	242.88	656.11	547.75	293.07	84.04	111.21	271.48	563.18	204.07	156.59	237.86	802.41	409.15	629.35	454.09	159.9	384.34	718.08	387.02	500.46	563.18	232.94	109.66	285.03	872.1	202.66	379.04	490.14	195.72	307.69
FNDC5	0.0	55.49	68.07	7.22	6.16	100.13	44.25	51.35	9.7	9.63	58.3	16.63	15.56	42.71	26.67	25.35	28.24	63.45	138.1	16.75	123.5	25.17	36.79	5.36	7.82	10.71	9.48	12.36	11.82	22.59	21.94	28.65	101.54	38.67	90.14	19.68	74.58	18.16	10.47	39.22	11.64	15.22	5.96	126.12	19.82	201.25	163.28	0.0	0.08
FSTL1	536.45	728.11	10959.3	2417.67	1896.65	11267.44	97.36	5183.54	1883.54	825.0	16157.44	3540.14	3589.58	4358.66	1950.0	470.14	1857.6	8191.0	10659.59	2047.0	10225.32	2645.74	1781.89	214.27	182.55	1651.0	7032.37	368.65	529.06	2119.22	10084.54	2018.8	6337.83	3190.46	571.05	3303.0	5403.7	848.22	3515.68	5751.61	2047.0	476.71	743.43	9344.14	1350.18	3419.52	6607.01	2319.15	88.88
FUT4	55.1	26.86	44.25	40.64	39.5	68.07	23.25	59.97	38.95	36.53	103.69	27.44	32.82	67.12	20.11	11.64	20.71	61.68	47.84	34.26	56.68	15.0	28.45	2.89	5.32	18.56	52.82	7.63	27.84	27.25	77.25	31.9	55.1	46.84	36.53	45.85	46.18	25.72	178.77	54.72	50.98	30.56	13.32	74.58	14.03	41.22	22.75	0.0	0.3
GAL3ST4	118.43	90.77	483.38	293.07	193.01	500.46	58.71	414.87	295.11	198.47	555.41	470.14	148.09	339.14	153.34	149.12	180.02	414.87	493.56	199.85	432.53	102.97	127.89	45.85	87.03	178.77	480.04	137.14	134.3	88.26	902.89	166.73	392.44	289.02	103.69	389.72	438.59	248.0	387.02	361.04	178.77	61.68	139.07	547.75	142.01	295.11	190.34	0.0	0.07
GGT5	366.09	297.17	2119.22	587.13	493.56	1651.0	96.01	1498.22	543.96	607.87	2417.67	587.13	595.34	1417.35	947.83	155.5	743.43	1963.57	1359.57	3190.46	2739.08	921.88	389.72	532.74	123.5	571.05	1044.52	82.87	182.55	718.08	6381.92	1769.57	1135.2	947.83	587.13	1242.34	1721.16	748.61	2148.82	995.0	620.67	273.37	395.18	1883.54	493.56	759.08	693.58	0.0	0.35
GLT8D2	157.68	138.1	1977.24	334.46	198.47	1286.18	14.24	1023.0	248.0	158.79	2255.7	624.99	450.94	483.38	251.48	21.47	307.69	1159.07	1883.54	209.84	1167.14	303.44	187.71	25.54	9.2	197.09	1674.06	28.65	44.89	289.02	1628.26	348.71	1457.23	217.27	73.03	575.03	748.61	106.63	1088.92	551.56	379.04	25.91	183.82	1745.2	80.57	890.44	1259.69	0.0	0.28
HAND2	8.25	4.98	62.56	20.71	31.67	91.41	5.92	98.73	21.78	18.43	150.17	27.44	18.97	37.32	11.13	1.6	19.39	62.12	74.58	27.64	70.01	27.44	11.04	1.64	0.75	23.25	90.14	6.57	4.54	15.68	145.02	48.52	62.12	15.56	5.06	33.3	73.54	11.82	32.82	30.34	18.84	1.75	6.36	69.03	8.0	61.25	23.42	0.0	0.27
HEYL	13.32	69.52	764.36	128.79	201.25	275.28	98.73	403.5	104.42	98.73	599.49	155.5	251.48	177.53	146.03	25.72	241.19	532.74	229.72	132.44	819.3	674.59	287.01	63.89	29.06	158.79	329.84	52.08	43.02	273.37	825.0	273.37	256.78	353.59	70.51	232.94	412.0	75.64	117.6	221.86	59.55	29.7	113.56	698.41	218.79	153.34	476.71	0.0	0.46
HIC1	36.53	46.84	395.18	103.69	45.53	373.81	27.64	316.37	50.27	35.0	356.05	60.82	74.58	303.44	93.35	4.62	94.67	688.78	253.23	194.36	327.56	112.77	77.79	8.0	6.46	42.41	221.86	21.47	38.95	81.14	603.67	182.55	275.28	212.78	21.94	96.01	500.46	63.0	185.11	191.67	64.34	19.82	60.82	237.86	55.89	98.73	500.46	0.0	0.39
HOXC8	33.54	31.0	88.88	48.18	37.59	77.25	16.88	71.5	43.94	24.46	202.66	33.3	35.25	59.55	28.65	30.78	46.5	111.99	132.44	21.32	97.36	31.9	17.9	4.39	0.68	23.76	120.1	3.2	35.76	26.28	133.36	53.95	98.73	21.78	7.88	62.12	69.52	32.82	25.91	61.25	35.0	18.29	13.93	137.14	7.94	51.71	73.03	0.0	0.21
HSPG2	579.04	514.56	4298.64	1268.46	1191.69	2627.46	444.72	4543.8	947.83	1250.98	4298.64	1407.55	1407.55	4123.49	1191.69	314.17	1208.34	6840.04	3639.7	1407.55	6792.79	2956.17	1340.84	381.68	303.44	1199.98	3847.29	607.87	624.99	1508.65	3491.39	2573.36	3901.01	2148.82	356.05	1757.34	4388.98	1583.71	1662.49	3103.19	802.41	373.81	1191.69	6607.01	1167.14	1819.35	4450.27	0.0	0.99
HTRA3	361.04	279.14	7695.57	665.29	866.07	813.63	125.24	2645.74	1030.12	902.89	4543.8	2133.97	961.07	1081.39	1437.15	102.97	1030.12	4038.61	3443.31	551.56	6164.49	995.0	1819.35	63.45	16.63	1037.29	4010.71	212.78	157.68	723.08	5006.93	1417.35	4181.07	753.83	228.13	2319.15	2956.17	318.57	967.76	1909.85	1250.98	42.41	500.46	8022.41	397.93	5913.33	2240.11	0.0	0.52
ID3	860.08	447.82	1628.26	808.0	1127.35	1991.0	463.65	1388.16	961.07	733.19	3103.19	674.59	738.29	848.22	769.69	123.5	1119.56	3124.78	1304.15	1008.9	2367.9	2047.0	457.25	579.04	199.85	603.67	2537.92	223.41	454.09	988.12	2935.74	1447.15	1832.01	1322.37	303.44	1159.07	1769.57	825.0	764.36	1183.45	500.46	176.29	551.56	2796.65	497.0	1088.92	2209.26	0.0	0.39
IGFBP4	5872.48	15824.9	19754.96	8479.89	4543.8	22535.88	8134.41	22850.48	10368.08	4038.61	17927.91	11909.94	16960.78	18560.17	7382.04	1583.71	16611.71	30785.28	27553.49	13399.51	23492.92	15499.21	7130.55	6294.04	7081.29	13492.72	20170.07	7966.99	4210.15	16727.26	30999.42	14867.79	25708.25	13872.08	6294.04	4769.75	16611.71	14867.79	7589.61	13399.51	2682.69	8078.22	20030.74	23169.48	8191.0	8901.53	14971.21	3515.68	547.75
ILK	3564.78	2075.59	3467.27	3146.52	1781.89	2335.28	2451.44	3124.78	1832.01	3146.52	5292.48	2119.22	2178.83	2468.49	2777.33	1674.06	2303.12	3742.05	3372.43	3060.45	3443.31	2645.74	2018.8	2573.36	1651.0	2451.44	4298.64	1191.69	2555.58	2104.58	4239.45	3146.52	3124.78	2591.27	1427.22	2193.99	2976.74	1936.53	2451.44	3168.41	2018.8	1427.22	3190.46	3395.89	2303.12	2591.27	3349.13	0.0	0.77
INSRR	0.0	0.0	11.64	0.0	1.06	5.28	0.0	2.2	0.41	0.37	8.45	1.45	0.74	3.63	0.39	0.0	0.73	10.63	15.45	2.63	6.46	0.77	1.06	0.33	0.0	0.0	3.92	0.36	0.0	2.16	8.38	2.71	9.93	3.92	0.44	3.41	4.17	1.64	2.51	8.51	0.39	0.0	1.07	4.17	0.39	4.98	8.0	0.0	0.12
JAM3	93.35	150.17	848.22	305.55	189.02	896.64	36.53	543.96	185.11	120.1	1225.22	295.11	334.46	356.05	164.42	54.33	256.78	559.28	583.07	223.41	813.63	368.65	165.57	64.8	45.21	190.34	656.11	58.3	98.04	224.97	947.83	320.8	514.56	256.78	104.42	281.09	429.54	145.02	156.59	348.71	119.26	49.56	137.14	890.44	187.71	267.73	995.0	0.0	0.62
KANK2	518.15	384.34	2224.63	764.36	954.43	2816.11	525.39	1844.76	764.36	629.35	3303.0	890.44	854.13	1572.76	974.5	559.28	708.18	2004.85	2303.12	1135.2	2816.11	1397.83	813.63	579.04	376.41	775.05	1991.0	791.35	265.87	854.13	1909.85	1407.55	1757.34	967.76	624.99	1151.06	1529.73	884.29	1059.11	1437.15	599.49	438.59	775.05	2224.63	660.68	1037.29	1733.13	854.13	153.34
LAMA2	61.25	74.58	470.14	148.09	87.03	934.76	13.62	366.09	97.36	27.05	579.04	141.02	373.81	587.13	83.45	17.51	55.1	316.37	470.14	256.78	785.88	185.11	106.63	5.63	1.11	103.69	208.38	20.86	27.44	117.6	381.68	251.48	339.14	107.38	25.17	77.79	500.46	130.6	127.0	336.79	57.49	27.44	52.82	336.79	79.45	81.14	111.99	0.0	0.71
LRP1	429.54	379.04	5633.22	1088.92	1044.52	4268.94	256.78	5112.16	928.3	660.68	6652.97	1617.0	1066.48	3589.58	1437.15	249.73	1167.14	5147.73	5329.3	1685.71	5633.22	1242.34	1023.0	166.73	312.0	1233.75	4066.71	389.72	1008.9	848.22	5403.7	2451.44	4239.45	1832.01	612.11	1950.0	4066.71	2400.97	1651.0	3515.68	878.17	332.14	1242.34	5112.16	1073.91	2520.38	2777.33	775.05	105.15
LTBP1	299.25	131.51	423.61	255.0	358.54	780.44	105.89	769.69	575.03	204.07	1936.53	223.41	167.9	353.59	532.74	339.14	241.19	813.63	511.0	1111.82	825.0	361.04	218.79	23.93	92.7	205.5	1216.75	53.19	1651.0	244.57	1359.57	559.28	379.04	460.44	47.17	642.59	251.48	80.01	665.29	995.0	738.29	33.06	412.0	753.83	83.45	532.74	791.35	0.0	0.69
LZTS1	24.11	24.81	279.14	90.77	69.52	417.77	17.64	293.07	60.39	71.5	231.32	75.11	68.55	110.43	55.89	9.63	121.79	305.55	171.45	92.7	277.2	163.28	78.89	15.11	10.0	55.49	190.34	26.86	14.89	135.24	220.32	87.65	151.22	149.12	29.7	166.73	177.53	21.63	85.82	99.43	49.56	6.11	41.52	285.03	87.65	119.26	220.32	0.0	0.51
