	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.BH.A18R.11A.42R.A12D.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.BH.A1FM.11B.23R.A13Q.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11P81.1926.SM.5BC53	GTEX.11ZTT.2326.SM.5EQLG	GTEX.132AR.0826.SM.5EGK6	GTEX.TMMY.0726.SM.33HBE	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.13OVG.1426.SM.5K7VP	GTEX.13W3W.2126.SM.5K7UX	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.13OVI.1026.SM.5L3EM
BOD1L1	698.41	633.73	532.74	194.36	679.29	476.71	361.04	860.08	708.18	693.58	483.38	551.56	738.29	414.87	536.45	764.36	555.41	414.87	947.83	507.46	518.15	314.17	748.61	293.07	343.89	764.36	341.51	275.28	371.22	423.61	525.39	423.61	363.56	48.18	66.18	31.9	100.83	860.08
BRD2	4607.24	4010.71	3820.7	1806.78	4802.93	3349.13	2367.9	4736.79	5594.3	4388.98	2739.08	4010.71	5366.37	2485.67	3103.19	4419.52	3443.31	2609.3	5403.7	2591.27	2895.31	2468.49	4181.07	2193.99	3325.99	4328.55	2664.15	1832.01	2935.74	5441.3	4038.61	2875.3	2400.97	1369.04	1794.29	988.12	974.5	4239.45
BRPF3	713.11	624.99	463.65	158.79	674.59	441.64	201.25	679.29	909.17	616.37	356.05	480.04	660.68	307.69	432.53	651.58	368.65	397.93	775.05	341.51	567.1	392.44	450.94	397.93	387.02	915.51	336.79	361.04	260.38	514.56	368.65	358.54	420.68	212.78	175.07	208.38	234.57	669.92
BRWD3	151.22	134.3	60.82	15.45	96.68	76.71	25.54	131.51	165.57	133.36	55.1	76.71	157.68	54.33	58.71	87.03	52.45	27.25	111.99	50.98	49.21	30.56	90.77	26.86	23.08	126.12	37.85	18.7	41.81	45.53	108.14	85.82	56.68	5.59	30.34	9.27	28.24	256.78
BTAF1	890.44	620.67	400.71	87.65	759.08	483.38	177.53	713.11	1059.11	703.28	353.59	447.82	819.3	323.03	420.68	579.04	441.64	194.36	521.76	356.05	226.54	176.29	532.74	185.11	186.4	543.96	297.17	137.14	232.94	532.74	447.82	255.0	212.78	34.51	61.25	53.19	87.03	947.83
C10orf137	525.39	392.44	334.46	153.34	417.77	314.17	237.86	470.14	669.92	438.59	256.78	281.09	521.76	231.32	329.84	400.71	293.07	281.09	665.29	384.34	246.28	277.2	507.46	198.47	277.2	599.49	191.67	195.72	182.55	186.4	271.48	186.4	234.57	46.18	74.58	31.0	70.51	543.96
C1orf174	532.74	426.57	400.71	351.14	420.68	348.71	299.25	435.55	420.68	500.46	314.17	332.14	420.68	309.83	358.54	414.87	307.69	320.8	543.96	447.82	389.72	267.73	497.0	195.72	395.18	532.74	316.37	267.73	218.79	423.61	366.09	444.72	329.84	193.01	258.57	177.53	305.55	547.75
C3orf17	1073.91	836.53	688.78	381.68	693.58	642.59	490.14	748.61	1015.93	796.86	612.11	665.29	775.05	486.75	674.59	759.08	679.29	607.87	854.13	733.19	497.0	591.22	713.11	473.41	395.18	1183.45	642.59	454.09	583.07	718.08	1001.93	447.82	432.53	223.41	153.34	133.36	229.72	884.29
C7orf55-LUC7L2	1870.53	1617.0	1331.57	571.05	1628.26	974.5	684.02	1769.57	1896.65	1781.89	981.29	1104.13	1936.53	708.18	1059.11	1870.53	1001.93	785.88	1936.53	1143.1	836.53	854.13	1313.23	753.83	642.59	1697.45	665.29	819.3	872.1	1119.56	1259.69	1066.48	909.17	329.84	473.41	358.54	438.59	2075.59
CAPRIN2	262.2	237.86	214.27	126.12	275.28	269.6	191.67	291.04	291.04	275.28	273.37	283.05	275.28	246.28	285.03	237.86	339.14	181.28	368.65	217.27	256.78	139.07	237.86	129.69	139.07	361.04	72.52	96.01	237.86	189.02	171.45	175.07	140.04	59.97	76.17	65.72	94.01	353.59
CC2D2B	6.62	9.06	4.7	0.78	4.03	8.58	2.07	11.3	14.35	9.78	2.71	4.62	7.51	2.94	2.32	10.55	7.51	2.12	12.64	5.02	0.89	5.59	13.32	1.58	0.92	8.32	0.87	3.03	2.53	2.12	9.06	12.0	2.73	0.0	2.71	0.0	0.0	12.36
CCDC41	232.94	172.65	130.6	34.26	186.4	115.16	96.01	220.32	297.17	195.72	75.64	102.25	239.52	87.65	127.89	241.19	91.41	102.25	297.17	108.14	75.11	61.25	173.85	93.35	95.34	142.01	114.36	63.45	103.69	237.86	199.85	87.65	125.24	16.03	52.45	13.03	51.71	183.82
CENPJ	162.14	164.42	108.9	37.05	182.55	123.5	66.18	194.36	285.03	157.68	85.82	112.77	215.77	87.65	121.79	209.84	93.35	61.25	228.13	137.14	137.14	77.79	178.77	97.36	220.32	201.25	63.89	40.64	59.55	140.04	131.51	105.89	85.22	8.25	22.26	13.62	13.22	97.36
CEP95	825.0	866.07	624.99	159.9	836.53	460.44	358.54	928.3	1447.15	819.3	387.02	583.07	1216.75	283.05	624.99	967.76	587.13	476.71	1331.57	444.72	371.22	339.14	854.13	346.29	305.55	1175.27	217.27	197.09	262.2	450.94	551.56	476.71	316.37	32.36	195.72	42.11	156.59	954.43
CNOT10	616.37	591.22	460.44	295.11	466.88	417.77	256.78	547.75	785.88	500.46	483.38	432.53	633.73	305.55	476.71	518.15	387.02	329.84	718.08	447.82	591.22	358.54	579.04	318.57	356.05	575.03	303.44	287.01	373.81	493.56	490.14	429.54	376.41	143.01	244.57	139.07	244.57	563.18
CPSF6	1037.29	961.07	759.08	438.59	813.63	620.67	507.46	884.29	1096.5	884.29	599.49	620.67	902.89	616.37	518.15	791.35	559.28	466.88	1030.12	703.28	688.78	518.15	830.75	525.39	698.41	981.29	457.25	483.38	547.75	896.64	688.78	633.73	753.83	351.14	376.41	232.94	265.87	848.22
CREBZF	1151.06	693.58	603.67	214.27	813.63	476.71	305.55	1037.29	1340.84	934.76	497.0	532.74	1066.48	305.55	555.41	813.63	532.74	406.31	995.0	483.38	387.02	307.69	733.19	221.86	231.32	1096.5	202.66	205.5	368.65	529.06	624.99	591.22	529.06	150.17	156.59	148.09	170.25	1457.23
DCP2	403.5	353.59	275.28	140.04	316.37	220.32	154.42	384.34	444.72	343.89	206.94	224.97	373.81	171.45	228.13	307.69	180.02	159.9	587.13	228.13	182.55	149.12	381.68	140.04	155.5	435.55	149.12	97.36	141.02	239.52	239.52	228.13	130.6	74.06	64.34	46.18	74.06	316.37
DDX26B	348.71	211.31	166.73	42.11	283.05	96.68	56.68	246.28	400.71	299.25	96.01	181.28	366.09	52.45	99.43	285.03	77.79	52.82	429.54	111.99	117.6	34.75	214.27	41.22	50.98	277.2	22.43	15.8	65.26	135.24	165.57	113.56	70.01	20.86	14.24	1.77	11.38	212.78
DDX50	1008.9	1037.29	854.13	713.11	961.07	791.35	738.29	934.76	1216.75	860.08	825.0	866.07	954.43	728.11	884.29	1059.11	733.19	902.89	1081.39	902.89	733.19	825.0	954.43	638.15	616.37	1378.57	759.08	587.13	688.78	872.1	1015.93	583.07	563.18	148.09	262.2	107.38	237.86	1199.98
DDX59	529.06	642.59	525.39	325.29	521.76	346.29	409.15	563.18	708.18	579.04	366.09	507.46	575.03	303.44	497.0	595.34	420.68	381.68	785.88	412.0	285.03	339.14	551.56	265.87	262.2	563.18	228.13	194.36	202.66	371.22	363.56	555.41	320.8	73.54	212.78	94.01	150.17	674.59
DGKE	94.01	81.14	64.34	31.9	90.77	74.58	40.64	129.69	123.5	92.7	58.3	86.43	98.73	30.12	102.97	85.82	82.87	59.97	77.25	31.22	105.89	57.89	78.34	26.28	43.32	211.31	16.88	60.82	50.27	89.51	42.11	91.41	38.12	8.92	39.22	11.21	41.22	148.09
DHX36	1023.0	1127.35	941.27	395.18	896.64	1044.52	612.11	961.07	1369.04	974.5	764.36	693.58	1119.56	764.36	848.22	967.76	872.1	748.61	1242.34	802.41	511.0	620.67	928.3	693.58	454.09	1540.37	718.08	490.14	642.59	638.15	872.1	547.75	595.34	121.79	293.07	158.79	307.69	1268.46
DYNC1LI2	2018.8	1806.78	1572.76	1242.34	1628.26	2271.4	2148.82	2255.7	1662.49	2018.8	1963.57	1857.6	1991.0	2537.92	1572.76	1806.78	1909.85	1143.1	1923.14	1369.04	2075.59	1073.91	1781.89	1295.13	1119.56	3257.52	1447.15	1225.22	1216.75	1896.65	1651.0	1378.57	967.76	339.14	180.02	187.71	299.25	3190.46
DZIP1L	158.79	73.03	77.25	90.14	98.73	111.99	117.6	152.28	64.8	91.41	64.8	97.36	171.45	149.12	56.28	126.12	44.25	37.85	133.36	55.49	69.52	33.78	182.55	31.67	48.52	96.01	29.91	24.11	73.03	92.7	251.48	54.72	39.5	41.22	2.89	6.57	13.32	358.54
EDEM1	624.99	591.22	444.72	151.22	525.39	343.89	217.27	525.39	583.07	503.95	341.51	420.68	514.56	307.69	447.82	591.22	368.65	260.38	713.11	426.57	229.72	201.25	521.76	220.32	212.78	928.3	348.71	181.28	303.44	532.74	406.31	334.46	287.01	232.94	438.59	429.54	583.07	679.29
ENOX2	202.66	231.32	212.78	105.15	217.27	224.97	136.19	194.36	211.31	212.78	161.02	159.9	181.28	190.34	163.28	199.85	140.04	166.73	136.19	232.94	211.31	166.73	176.29	146.03	120.94	275.28	166.73	127.89	185.11	232.94	187.71	118.43	127.89	34.51	116.78	21.63	72.01	205.5
EXOSC8	825.0	878.17	764.36	463.65	808.0	575.03	500.46	785.88	1066.48	733.19	547.75	567.1	836.53	476.71	616.37	915.51	563.18	624.99	974.5	466.88	309.83	356.05	660.68	248.0	392.44	967.76	353.59	228.13	486.75	612.11	603.67	753.83	819.3	114.36	389.72	148.09	358.54	909.17
FABP4	37639.55	44452.21	217400.14	365622.68	92680.9	386469.83	394590.4	104996.83	28923.41	107203.06	348306.01	279017.26	24660.96	358098.26	370726.6	81244.48	489177.0	273275.14	2502.97	447025.24	716197.51	602247.76	198667.0	184082.4	569761.05	29531.18	558035.51	906531.99	1078054.48	1838374.44	394590.4	636586.81	292889.12	68.55	363.56	58.71	98.04	114103.8
FAM178A	441.64	343.89	234.57	105.15	329.84	287.01	176.29	373.81	381.68	400.71	256.78	264.03	373.81	226.54	271.48	289.02	283.05	167.9	397.93	320.8	256.78	135.24	358.54	175.07	273.37	285.03	131.51	166.73	212.78	249.73	202.66	126.12	165.57	60.82	69.03	36.27	59.97	438.59
FAM193A	384.34	289.02	307.69	187.71	460.44	214.27	236.21	529.06	368.65	339.14	279.14	329.84	571.05	301.33	273.37	511.0	265.87	293.07	599.49	275.28	447.82	301.33	463.65	242.88	234.57	642.59	312.0	198.47	249.73	373.81	555.41	366.09	275.28	183.82	114.36	106.63	116.78	638.15
FBXW8	255.0	202.66	152.28	81.71	255.0	115.97	105.89	218.79	209.84	189.02	127.89	154.42	251.48	108.14	137.14	217.27	127.0	104.42	224.97	119.26	116.78	92.7	180.02	65.72	133.36	149.12	98.04	96.68	153.34	176.29	186.4	81.14	115.97	111.99	38.4	52.82	42.41	175.07
FEM1B	941.27	947.83	684.02	258.57	878.17	559.28	348.71	934.76	1350.18	896.64	503.95	651.58	967.76	423.61	616.37	928.3	463.65	368.65	1008.9	591.22	540.19	392.44	791.35	267.73	305.55	1059.11	287.01	346.29	346.29	587.13	713.11	429.54	291.04	82.29	125.24	101.54	183.82	743.43
FNBP4	1651.0	1369.04	988.12	226.54	1388.16	981.29	490.14	2047.0	2502.97	1498.22	698.41	890.44	2090.03	651.58	878.17	1519.15	947.83	629.35	1674.06	718.08	684.02	603.67	1242.34	463.65	423.61	2520.38	679.29	381.68	587.13	988.12	1191.69	703.28	521.76	78.34	205.5	65.72	147.06	1572.76
FNDC3A	934.76	896.64	583.07	202.66	764.36	587.13	327.56	802.41	1037.29	909.17	567.1	633.73	785.88	420.68	684.02	748.61	532.74	343.89	1208.34	555.41	490.14	289.02	995.0	161.02	329.84	928.3	172.65	269.6	384.34	490.14	616.37	403.5	265.87	51.35	226.54	146.03	480.04	1037.29
GLT8D1	1639.59	1781.89	1529.73	1104.13	1651.0	1437.15	1111.82	1617.0	1685.71	1498.22	1477.58	1167.14	1605.83	1331.57	1313.23	1477.58	1096.5	1059.11	1923.14	1540.37	988.12	1216.75	1561.89	848.22	1340.84	1745.2	665.29	674.59	1199.98	1286.18	1540.37	1208.34	1143.1	934.76	1561.89	941.27	1023.0	1923.14
GORAB	346.29	299.25	204.07	84.04	224.97	157.68	84.63	271.48	314.17	287.01	161.02	161.02	279.14	132.44	102.25	218.79	137.14	116.78	242.88	161.02	136.19	172.65	185.11	60.39	198.47	318.57	108.14	63.45	251.48	318.57	169.07	248.0	211.31	8.19	164.42	25.35	67.59	336.79
GTF2IRD2	638.15	500.46	511.0	529.06	624.99	460.44	307.69	679.29	679.29	563.18	381.68	457.25	848.22	470.14	480.04	660.68	480.04	476.71	723.08	409.15	205.5	191.67	642.59	325.29	191.67	878.17	199.85	154.42	150.17	348.71	543.96	214.27	183.82	112.77	273.37	209.84	171.45	764.36
GTF3C2	921.88	934.76	854.13	392.44	890.44	629.35	450.94	872.1	1183.45	866.07	470.14	693.58	974.5	559.28	656.11	842.36	638.15	575.03	1088.92	579.04	536.45	507.46	808.0	480.04	454.09	1119.56	616.37	497.0	529.06	713.11	796.86	599.49	703.28	713.11	379.04	346.29	279.14	890.44
GVQW1	33.3	29.7	19.11	19.68	13.72	19.39	21.63	33.78	28.86	28.86	18.97	22.1	28.86	17.77	22.43	31.22	24.11	8.78	21.94	22.1	18.84	24.11	36.01	26.47	32.36	47.17	21.47	18.84	26.47	19.97	14.03	28.86	17.9	7.34	10.0	5.19	11.21	34.26
HECTD2	297.17	273.37	158.79	50.27	211.31	142.01	74.58	249.73	339.14	244.57	117.6	151.22	273.37	91.41	166.73	251.48	134.3	97.36	346.29	139.07	116.78	65.26	262.2	47.17	73.03	381.68	40.64	40.64	63.45	109.66	226.54	135.24	75.11	10.0	19.11	6.52	16.27	269.6
HNRNPA1L2	218.79	197.09	181.28	115.97	229.72	81.14	100.83	264.03	206.94	239.52	161.02	172.65	314.17	109.66	136.19	323.03	115.16	169.07	297.17	163.28	101.54	109.66	303.44	85.22	123.5	275.28	88.26	73.54	123.5	264.03	212.78	147.06	99.43	70.51	32.13	17.0	40.93	409.15
IFT88	307.69	373.81	231.32	109.66	271.48	162.14	153.34	295.11	341.51	237.86	180.02	231.32	332.14	143.01	237.86	356.05	190.34	176.29	529.06	221.86	141.02	164.42	299.25	181.28	88.26	256.78	124.37	89.51	217.27	80.01	312.0	190.34	217.27	38.95	185.11	79.45	180.02	529.06
IST1	4298.64	3540.14	3874.05	2701.35	3665.02	3768.09	2875.3	3928.15	4419.52	3955.48	3039.3	3280.18	3639.7	3081.75	3820.7	3928.15	4010.71	3235.01	4769.75	2627.46	3039.3	2573.36	3419.52	2335.28	2032.85	4704.07	2178.83	3190.46	2119.22	3491.39	3716.2	3325.99	2520.38	2835.7	1199.98	961.07	928.3	3901.01
JAKMIP3	18.03	18.97	15.45	2.32	21.63	6.21	8.19	26.1	16.88	21.63	6.31	14.45	26.28	10.39	5.54	31.0	4.94	3.03	40.93	3.76	9.2	0.28	18.16	1.25	0.0	27.84	0.73	1.22	5.73	6.62	23.93	2.76	5.63	4.46	0.8	0.85	0.93	45.85
KIAA1210	4.58	2.51	4.58	0.32	9.34	0.73	0.0	5.41	17.0	4.06	3.23	0.37	7.75	0.0	1.23	4.1	0.0	0.0	13.93	2.16	2.05	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.0	3.96	3.08	0.0	0.0	0.37	0.0	0.0	0.0	6.21
KMT2C	872.1	728.11	595.34	277.2	684.02	563.18	432.53	738.29	842.36	825.0	476.71	603.67	665.29	447.82	583.07	624.99	483.38	447.82	961.07	470.14	769.69	336.79	647.07	332.14	387.02	954.43	318.57	234.57	473.41	547.75	500.46	323.03	218.79	72.01	111.21	88.26	145.02	808.0
LARP7	1286.18	1519.15	1268.46	543.96	1331.57	1143.1	1427.22	1519.15	1540.37	1259.69	981.29	1295.13	1277.29	1191.69	1159.07	1617.0	1051.79	842.36	1583.71	1313.23	1313.23	1023.0	1529.73	1081.39	1208.34	1923.14	764.36	1066.48	860.08	1015.93	1286.18	974.5	780.44	60.82	373.81	94.67	423.61	1199.98
LDHAL6A	3.72	2.63	0.74	0.0	1.91	1.95	0.78	3.92	4.46	2.73	0.42	0.79	2.86	1.19	0.43	3.23	1.25	0.39	0.0	1.69	1.25	0.96	1.3	2.03	0.91	1.87	0.88	2.14	0.85	1.95	0.0	0.0	1.46	0.0	0.0	0.0	0.64	1.57
LEMD1	35.25	49.56	11.21	3.59	3.53	0.0	0.0	16.39	4.54	26.28	1.35	13.12	19.11	0.0	2.68	45.85	0.0	0.0	37.85	21.01	2.25	0.0	1.66	0.0	1.27	60.82	0.0	0.0	0.0	5.36	7.88	4.28	0.0	3.72	0.0	0.0	0.0	132.44
LRP6	514.56	447.82	239.52	137.14	450.94	325.29	158.79	493.56	555.41	450.94	320.8	295.11	473.41	253.23	320.8	353.59	258.57	131.51	693.58	256.78	323.03	121.79	397.93	73.54	126.12	651.58	105.89	76.71	173.85	262.2	358.54	180.02	102.25	56.28	171.45	101.54	293.07	642.59
LRRFIP2	764.36	1030.12	674.59	559.28	718.08	633.73	656.11	860.08	753.83	753.83	656.11	703.28	915.51	665.29	651.58	796.86	511.0	599.49	934.76	476.71	595.34	555.41	665.29	543.96	400.71	1135.2	470.14	466.88	493.56	981.29	802.41	1015.93	713.11	305.55	497.0	497.0	620.67	884.29
LUC7L3	3039.3	2133.97	1832.01	769.69	2645.74	1662.49	1331.57	2935.74	3491.39	2555.58	1857.6	2047.0	2816.11	1519.15	1572.76	2664.15	1870.53	1199.98	3491.39	1757.34	1572.76	1199.98	2895.31	1143.1	1417.35	2875.3	571.05	1059.11	1175.27	1950.0	2287.2	1427.22	1143.1	117.6	693.58	111.99	521.76	3060.45
MAATS1	194.36	234.57	96.68	13.62	129.69	29.91	21.16	139.07	128.79	88.88	23.08	52.08	183.82	24.99	35.76	114.36	24.11	10.16	309.83	36.53	67.12	4.03	90.14	5.96	9.56	94.67	5.63	2.14	16.39	49.56	111.21	30.34	11.47	13.12	7.94	7.75	11.21	255.0
MAP3K4	441.64	463.65	356.05	234.57	447.82	309.83	258.57	555.41	591.22	444.72	332.14	363.56	547.75	277.2	356.05	497.0	339.14	314.17	733.19	325.29	356.05	228.13	647.07	169.07	303.44	830.75	154.42	136.19	332.14	361.04	543.96	264.03	170.25	98.04	119.26	96.68	137.14	785.88
MBOAT2	514.56	435.55	305.55	57.49	476.71	142.01	65.26	483.38	473.41	325.29	161.02	239.52	447.82	127.0	157.68	371.22	166.73	55.1	629.35	181.28	177.53	90.77	299.25	39.79	99.43	543.96	31.22	60.82	152.28	239.52	253.23	212.78	114.36	45.85	9.2	18.29	15.45	647.07
MDC1	665.29	325.29	336.79	237.86	463.65	251.48	208.38	438.59	363.56	356.05	241.19	291.04	525.39	206.94	244.57	486.75	285.03	249.73	371.22	260.38	277.2	167.9	327.56	123.5	195.72	802.41	271.48	202.66	232.94	563.18	616.37	381.68	275.28	239.52	223.41	153.34	162.14	595.34
MDM1	341.51	373.81	291.04	75.11	366.09	208.38	147.06	389.72	447.82	438.59	229.72	275.28	384.34	185.11	244.57	381.68	244.57	175.07	463.65	220.32	231.32	195.72	381.68	118.43	171.45	607.87	95.34	127.0	111.21	127.0	237.86	111.99	115.16	51.35	26.47	26.1	49.56	470.14
MED23	713.11	540.19	409.15	167.9	480.04	381.68	182.55	591.22	775.05	591.22	316.37	403.5	563.18	256.78	366.09	435.55	323.03	211.31	669.92	334.46	314.17	190.34	595.34	169.07	332.14	753.83	166.73	146.03	249.73	361.04	435.55	249.73	218.79	92.05	78.34	74.06	98.73	438.59
MFSD8	358.54	312.0	211.31	87.03	232.94	231.32	137.14	303.44	403.5	325.29	166.73	217.27	323.03	164.42	224.97	246.28	195.72	175.07	305.55	223.41	122.64	177.53	258.57	155.5	105.89	363.56	101.54	144.01	138.1	195.72	234.57	165.57	138.1	55.49	98.04	76.17	151.22	329.84
MIS18A	202.66	301.33	167.9	134.3	214.27	102.97	108.9	228.13	285.03	205.5	134.3	167.9	234.57	105.89	169.07	239.52	116.78	175.07	255.0	215.77	105.15	97.36	253.23	176.29	148.09	244.57	158.79	91.41	105.89	180.02	115.97	141.02	156.59	87.03	64.34	67.12	75.64	426.57
MYSM1	507.46	363.56	217.27	57.49	403.5	175.07	73.54	490.14	599.49	438.59	177.53	234.57	543.96	139.07	202.66	323.03	208.38	118.43	599.49	166.73	141.02	121.79	376.41	103.69	82.29	426.57	102.25	82.87	81.71	221.86	264.03	202.66	133.36	7.94	50.27	35.76	37.85	420.68
NAA16	327.56	285.03	215.77	65.26	265.87	191.67	165.57	432.53	651.58	267.73	137.14	201.25	403.5	126.12	215.77	277.2	172.65	139.07	460.44	181.28	202.66	112.77	283.05	90.14	151.22	575.03	75.64	83.45	221.86	190.34	277.2	163.28	116.78	14.89	72.52	21.94	49.91	339.14
NBPF9	591.22	633.73	486.75	198.47	665.29	579.04	490.14	575.03	713.11	603.67	368.65	511.0	620.67	423.61	665.29	551.56	559.28	429.54	718.08	351.14	435.55	226.54	583.07	264.03	551.56	872.1	295.11	134.3	420.68	500.46	376.41	334.46	267.73	297.17	260.38	220.32	251.48	638.15
