	TCGA.ET.A3DS.01A.11R.A19O.07	TCGA.EL.A3H2.01A.11R.A20F.07	TCGA.FY.A3NM.01A.11R.A21D.07	GTEX.Y111.1926.SM.4SOIS	GTEX.RM2N.0526.SM.2TF4N	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.13OW8.0126.SM.5IJE5	GTEX.131XH.0526.SM.5DUX7	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.1313W.0726.SM.5EGK1	GTEX.T5JW.1226.SM.3GACY	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.11TTK.0826.SM.5N9EG	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.144GO.0126.SM.5LUAO	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.QXCU.0326.SM.2TC63	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2
RPL30	29124.6	31650.8	21026.65	62865.33	33455.53	70238.75	45072.75	33224.42	75803.72	68318.04	23820.89	72715.74	47313.67	61999.83	63742.91	35609.13	36610.26	44452.21	51775.15	37901.36	41763.8	45701.96	61146.25	85283.74	60723.88	48643.87	69753.56	56657.31	90146.51	33224.42	79022.82	64186.29	52135.28	87681.42	42641.37	38164.99	62431.08	53601.03	48307.85	41475.31	42937.97	47974.16	61999.83	35118.87	43537.38	36864.92	42346.82	73730.83	67377.47	64186.29	57847.82
RPL34	32315.87	28525.2	33224.42	64632.75	31432.17	72213.45	38966.94	32540.65	80683.28	47974.16	20881.4	73221.53	51417.5	73730.83	68793.23	39510.91	36864.92	41475.31	43840.21	35856.82	43537.38	49322.93	51417.5	84694.64	51417.5	42641.37	68318.04	51775.15	88291.3	33455.53	77934.88	60723.88	52497.92	91404.92	45701.96	40904.3	57847.82	54727.32	55107.99	38697.77	50709.61	51775.15	62431.08	34158.52	48982.22	35363.15	49666.0	78476.96	73221.53	70238.75	56265.94
RPL35	25530.66	29943.43	16727.26	63742.91	20030.74	38164.99	32092.64	26614.89	61571.56	43840.21	17558.94	42641.37	35118.87	61146.25	64632.75	23656.34	30785.28	34396.12	32315.87	32767.0	33455.53	32315.87	50359.33	81809.59	42937.97	28132.47	48982.22	40062.48	87075.75	38430.46	59887.86	54349.29	32315.87	73221.53	41188.81	32540.65	39237.98	33224.42	33224.42	30572.63	49322.93	33224.42	47313.67	22692.63	33455.53	26248.46	32315.87	58655.36	61571.56	50359.33	40062.48
RPL35A	20593.91	21320.18	14561.8	43236.64	22225.61	48307.85	29124.6	22692.63	53973.86	41763.8	17558.94	47974.16	34396.12	46662.28	44761.41	22225.61	26248.46	29736.59	30572.63	26431.04	31650.8	31215.04	43236.64	58250.19	38164.99	30999.42	46339.95	34158.52	62865.33	22692.63	52135.28	44761.41	35609.13	63302.6	32092.64	24832.5	38966.94	36106.23	32767.0	23656.34	32540.65	33455.53	43537.38	25354.3	31870.96	26248.46	30361.44	50709.61	48982.22	42346.82	39510.91
RPL36	11424.74	7230.1	8901.53	22072.07	6983.79	16727.26	14262.1	10808.41	26067.14	19892.37	7911.95	18819.27	15607.02	23009.42	23986.58	10883.59	13968.57	16727.26	15824.9	14163.58	16045.82	14361.31	23656.34	33922.56	18689.27	15075.35	20593.91	18819.27	37379.55	16960.78	25530.66	23820.89	15285.81	31870.96	19082.0	13492.72	22072.07	16611.71	15715.58	11584.24	20030.74	14561.8	19618.49	10808.41	13681.08	11035.54	14065.74	25005.23	25530.66	19892.37	16269.83
RPL36A	14971.21	19618.49	11664.82	32767.0	14971.21	31215.04	21320.18	14663.09	42641.37	32767.0	10959.3	29124.6	25354.3	35856.82	31650.8	18178.19	20881.4	21320.18	28723.62	23492.92	20737.16	25179.16	30151.71	41763.8	25887.07	21468.49	28923.41	30999.42	47642.77	20881.4	34635.37	32994.92	28132.47	53973.86	21768.19	23330.64	30572.63	26986.43	24660.96	22535.88	23656.34	25179.16	32767.0	15075.35	22850.48	18819.27	23986.58	38697.77	38966.94	34876.28	28328.16
RPL37	23820.89	22380.2	24832.5	38966.94	20170.07	47642.77	36610.26	25354.3	59474.18	52863.07	21026.65	46662.28	41188.81	46339.95	48307.85	21320.18	31432.17	33922.56	40621.74	34635.37	40062.48	36610.26	52135.28	71714.63	45701.96	40904.3	61571.56	48307.85	69753.56	34396.12	53230.77	42641.37	42641.37	58250.19	37121.34	40341.14	51775.15	44761.41	44145.15	30785.28	37901.36	46662.28	37901.36	30572.63	32767.0	31215.04	32994.92	60304.42	46339.95	51417.5	37901.36
RPL38	27938.14	23820.89	18178.19	35856.82	19082.0	36864.92	27745.15	21768.19	51062.33	43236.64	19348.38	37379.55	33688.23	45072.75	45386.27	21172.91	27745.15	30999.42	32767.0	27938.14	30572.63	29736.59	40062.48	58250.19	37639.55	33224.42	42937.97	37901.36	61146.25	28923.41	45701.96	43236.64	33224.42	54349.29	29736.59	29327.18	37901.36	35118.87	34635.37	26431.04	33922.56	33922.56	36610.26	24832.5	27745.15	22850.48	30785.28	50011.46	47642.77	42937.97	36106.23
RPL4	25708.25	27745.15	23492.92	72213.45	39785.74	70238.75	46986.85	35363.15	76330.98	69271.73	30361.44	66449.85	57051.4	70238.75	71714.63	34635.37	36106.23	47313.67	51775.15	38697.77	52863.07	45386.27	81809.59	74760.09	62865.33	53230.77	75280.1	52497.92	91404.92	39237.98	77934.88	73221.53	55877.28	108699.57	32767.0	37379.55	63742.91	58250.19	54349.29	43537.38	40621.74	49666.0	59063.35	43236.64	45386.27	39510.91	39237.98	76330.98	77396.54	67377.47	64186.29
RPL5	15392.14	20030.74	25708.25	47313.67	28328.16	48982.22	32767.0	24321.43	52135.28	44761.41	17078.76	51062.33	39237.98	46986.85	46986.85	26067.14	23656.34	30572.63	35363.15	22535.88	33922.56	29531.18	46019.85	56657.31	40904.3	32540.65	50709.61	34396.12	59063.35	21172.91	52497.92	44761.41	38966.94	65535.0	27174.14	24832.5	42346.82	43537.38	39510.91	31215.04	27363.16	37639.55	43537.38	25887.07	31432.17	25530.66	28723.62	51417.5	48643.87	45386.27	41188.81
RPL6	28723.62	21768.19	25887.07	48307.85	28132.47	40621.74	29531.18	24660.96	43236.64	36357.37	18431.96	43537.38	31432.17	37901.36	46662.28	27938.14	24490.61	30785.28	32092.64	27745.15	32994.92	29943.43	43840.21	55107.99	35118.87	33688.23	44452.21	33922.56	65990.84	25530.66	45701.96	46662.28	34396.12	61999.83	31215.04	26614.89	34396.12	35609.13	30572.63	32994.92	34876.28	33224.42	41188.81	24832.5	30572.63	25708.25	24490.61	58250.19	54349.29	41763.8	37379.55
RPL7A	27174.14	27363.16	23169.48	59063.35	29531.18	56265.94	40341.14	29124.6	69753.56	58655.36	21026.65	50709.61	46339.95	56265.94	53973.86	27745.15	34158.52	40341.14	49666.0	39237.98	39237.98	42054.3	61146.25	72213.45	54727.32	41763.8	59474.18	47974.16	92040.7	35363.15	67846.12	55877.28	48307.85	82951.62	36106.23	35856.82	58250.19	52497.92	41763.8	36864.92	42641.37	46339.95	63742.91	27938.14	39510.91	36106.23	34158.52	71219.26	66912.05	52497.92	48643.87
RPLP0	28132.47	25530.66	19754.96	50011.46	28132.47	45701.96	32994.92	26248.46	53973.86	46986.85	15499.21	46662.28	39237.98	48982.22	36357.37	28923.41	31650.8	37121.34	44452.21	36106.23	33922.56	32540.65	50359.33	69753.56	38164.99	29124.6	53230.77	37639.55	90146.51	28328.16	64632.75	52863.07	36610.26	76330.98	34635.37	30572.63	48307.85	39510.91	31650.8	34876.28	46662.28	33688.23	53973.86	23330.64	32767.0	29943.43	23656.34	60723.88	47974.16	39785.74	38966.94
RPS10	18689.27	22225.61	13681.08	39510.91	21320.18	34158.52	27553.49	24832.5	42054.3	40621.74	14867.79	34876.28	29531.18	44145.15	37121.34	21320.18	26800.01	32767.0	33455.53	32540.65	30151.71	31432.17	33455.53	53973.86	36357.37	28525.2	39237.98	40904.3	58250.19	24321.43	51775.15	35856.82	34635.37	56657.31	37121.34	25005.23	37379.55	35856.82	29736.59	26800.01	38164.99	27745.15	42937.97	17804.06	30151.71	23820.89	26431.04	41475.31	39237.98	32315.87	29531.18
RPS12	25354.3	14561.8	19348.38	63302.6	24490.61	63302.6	35856.82	27363.16	61571.56	54349.29	16496.96	64186.29	42641.37	63742.91	61999.83	29943.43	35118.87	38697.77	44761.41	37379.55	38430.46	43840.21	59063.35	81244.48	52863.07	34876.28	58250.19	50709.61	88905.42	26800.01	69271.73	60723.88	50011.46	90146.51	37901.36	35856.82	59474.18	48307.85	41763.8	34158.52	55107.99	37901.36	61571.56	23330.64	41763.8	36864.92	36610.26	60304.42	55877.28	50359.33	50011.46
RPS13	13492.72	14163.58	10225.32	23656.34	15715.58	26986.43	19348.38	17197.56	30361.44	23492.92	11267.44	29943.43	18431.96	26800.01	25005.23	16157.44	16611.71	19482.97	23820.89	19618.49	18431.96	18689.27	22380.2	36106.23	23009.42	23492.92	28132.47	26431.04	35609.13	15934.98	36106.23	26614.89	21172.91	34158.52	19482.97	17681.08	22535.88	21919.61	24832.5	18560.17	20737.16	20170.07	28923.41	15075.35	18819.27	15285.81	16843.62	29736.59	28723.62	22072.07	21026.65
RPS14	22225.61	19482.97	22380.2	36357.37	20593.91	38430.46	28132.47	21617.82	59063.35	43236.64	12853.63	42346.82	38430.46	39237.98	45701.96	22535.88	21919.61	33455.53	35118.87	32092.64	39510.91	38164.99	39510.91	65535.0	38966.94	38164.99	47313.67	42937.97	59887.86	28328.16	58250.19	34876.28	43236.64	52497.92	32540.65	23009.42	45072.75	36864.92	32315.87	31215.04	40621.74	36864.92	49322.93	27745.15	30572.63	23986.58	31215.04	47974.16	43537.38	44145.15	33922.56
RPS15	14361.31	11745.96	14065.74	42937.97	12329.98	24490.61	20737.16	16611.71	39785.74	32767.0	10733.74	28328.16	23492.92	40621.74	40904.3	13776.25	21026.65	25354.3	21919.61	20030.74	22380.2	21919.61	35363.15	50359.33	32767.0	23330.64	30999.42	28723.62	57051.4	23330.64	42937.97	39785.74	22380.2	55107.99	27745.15	18304.63	25887.07	21919.61	21026.65	18178.19	36106.23	20170.07	30572.63	16269.83	20737.16	15934.98	21320.18	36106.23	41475.31	35363.15	27553.49
RPS15A	32540.65	23169.48	19618.49	48307.85	26614.89	50359.33	32994.92	25005.23	58655.36	44761.41	18304.63	52863.07	36610.26	50011.46	51775.15	25708.25	29124.6	37121.34	37379.55	30151.71	35118.87	36357.37	46662.28	71714.63	45386.27	33455.53	58655.36	41475.31	72715.74	27363.16	57051.4	48982.22	40062.48	70727.3	38430.46	28525.2	43236.64	41475.31	35118.87	30999.42	42937.97	35609.13	48643.87	22850.48	36864.92	30361.44	32767.0	59063.35	57847.82	44145.15	40062.48
