	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.L5.A43J.01A.12R.A24K.31	TCGA.IC.A6RE.01A.11R.A336.31	TCGA.VR.A8EZ.01A.11R.A36D.31	TCGA.LN.A49O.01A.11R.A24K.31	TCGA.LN.A5U7.01A.11R.A31P.31	TCGA.LN.A4A1.01A.21R.A260.31	TCGA.LN.A5U7.01A.11R.A31P.31.1	TCGA.VR.AA7D.01A.11R.A406.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.IG.A6QS.01A.12R.A336.31	GTEX.13O61.1226.SM.5KM21	TCGA.38.4625.01A.01R.1206.07	TCGA.60.2698.01A.01R.0851.07	TCGA.F5.6702.01A.11R.1830.07	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.HF.7132.01A.11R.2055.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.6563.01A.13R.2055.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
C3orf52	27.64	26.86	84.04	48.52	7.69	71.5	44.25	55.89	44.25	43.32	20.41	16.63	59.97	0.0	185.11	154.42	521.76	140.04	371.22	514.56	88.88	521.76	115.16	334.46	105.15	665.29	536.45	642.59	866.07	780.44	329.84	199.85	409.15	473.41	255.0
C9orf152	0.0	0.0	0.0	43.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	147.06	0.0	28.65	46.84	1073.91	693.58	2645.74	1605.83	275.28	638.15	497.0	1417.35	1685.71	1697.45	2047.0	1167.14	1286.18	2720.15	1127.35	1583.71	1733.13	2018.8	1572.76
CA9	25.17	63.0	15.68	9.78	4.17	41.81	14.56	48.87	14.56	7.82	7.06	78.89	1781.89	0.0	665.29	161.02	7280.4	2319.15	1030.12	25708.25	660.68	4972.34	5076.84	3303.0	1977.24	21026.65	4869.99	7537.18	6516.03	21320.18	6121.9	9409.14	11827.67	18431.96	9474.59
CABP4	1.28	1.27	1.68	6.67	1.66	9.78	2.63	4.1	2.63	3.11	0.0	3.69	21.47	0.0	12.93	11.47	24.46	61.25	25.17	43.32	19.68	28.65	72.01	55.49	75.11	82.87	46.18	47.17	62.12	50.27	37.59	35.5	57.49	23.25	35.5
CACFD1	92.7	94.01	100.83	285.03	102.97	80.57	75.11	103.69	75.11	73.03	107.38	115.16	507.46	0.0	299.25	366.09	551.56	579.04	878.17	1721.16	490.14	656.11	373.81	536.45	802.41	1059.11	1651.0	1151.06	2047.0	1883.54	1151.06	579.04	1295.13	1059.11	551.56
CAPN5	20.11	20.86	86.43	490.14	45.21	26.1	29.7	43.02	29.7	29.06	49.56	18.43	198.47	0.0	201.25	647.07	1199.98	1639.59	2255.7	2895.31	890.44	514.56	525.39	624.99	1167.14	1015.93	2875.3	2555.58	2796.65	1991.0	2224.63	651.58	1639.59	1806.78	595.34
CDC14B	11.3	15.56	127.0	152.28	47.17	122.64	149.12	57.08	149.12	100.13	119.26	67.59	293.07	144.01	127.89	171.45	435.55	208.38	450.94	297.17	244.57	218.79	400.71	423.61	190.34	273.37	327.56	258.57	329.84	507.46	277.2	314.17	285.03	341.51	218.79
CHKA	68.55	54.72	251.48	432.53	190.34	108.9	177.53	229.72	177.53	118.43	148.09	106.63	1259.69	0.0	279.14	708.18	1143.1	642.59	759.08	915.51	638.15	642.59	1044.52	733.19	679.29	738.29	890.44	733.19	723.08	909.17	708.18	802.41	688.78	1081.39	616.37
CHP1	693.58	486.75	629.35	748.61	264.03	543.96	303.44	406.31	303.44	571.05	348.71	379.04	921.88	902.89	1417.35	995.0	2163.77	1208.34	2303.12	2434.5	1225.22	1806.78	1447.15	2591.27	1745.2	3257.52	2555.58	2573.36	2573.36	3039.3	2573.36	1191.69	2303.12	3060.45	1467.37
CLCC1	228.13	423.61	249.73	289.02	232.94	141.02	145.02	186.4	145.02	166.73	176.29	185.11	583.07	0.0	281.09	307.69	733.19	397.93	525.39	629.35	412.0	642.59	511.0	444.72	368.65	426.57	483.38	325.29	525.39	679.29	514.56	426.57	466.88	441.64	368.65
CMTM4	72.52	77.25	102.25	127.89	99.43	71.5	66.18	77.25	66.18	62.12	44.25	62.56	293.07	0.0	271.48	503.95	1066.48	902.89	2240.11	2384.37	412.0	1059.11	412.0	733.19	1286.18	2224.63	500.46	1605.83	2271.4	2032.85	1529.73	567.1	1605.83	1628.26	361.04
CPT2	255.0	161.02	119.26	271.48	182.55	185.11	130.6	195.72	130.6	137.14	123.5	148.09	251.48	0.0	251.48	152.28	426.57	438.59	679.29	713.11	332.14	441.64	373.81	209.84	406.31	518.15	555.41	660.68	587.13	780.44	915.51	463.65	503.95	551.56	392.44
CSRP2BP	131.51	132.44	123.5	220.32	223.41	88.26	190.34	138.1	190.34	164.42	185.11	100.83	215.77	0.0	205.5	191.67	281.09	348.71	441.64	353.59	289.02	146.03	325.29	258.57	379.04	718.08	470.14	224.97	420.68	595.34	332.14	301.33	406.31	332.14	241.19
CYP4X1	67.12	5.11	40.64	86.43	7.63	6.01	32.13	114.36	32.13	6.57	4.74	12.83	83.45	0.0	96.01	36.01	334.46	148.09	860.08	281.09	102.97	140.04	83.45	98.04	36.27	129.69	193.01	141.02	157.68	540.19	154.42	307.69	148.09	371.22	283.05
DAP	854.13	500.46	896.64	1242.34	860.08	825.0	928.3	447.82	928.3	733.19	703.28	693.58	1277.29	2133.97	2018.8	3372.43	3349.13	4152.18	4869.99	4575.41	4298.64	4869.99	3349.13	3395.89	4450.27	5711.87	4937.99	4123.49	4152.18	5633.22	4769.75	4152.18	4268.94	3564.78	3168.41
DGKD	38.95	35.25	105.89	129.69	40.36	58.71	62.12	63.0	62.12	51.35	53.19	68.07	1001.93	0.0	209.84	381.68	2209.26	503.95	1508.65	2502.97	525.39	665.29	1331.57	1286.18	967.76	2682.69	1651.0	2032.85	2591.27	3982.99	1030.12	1447.15	2720.15	2163.77	1216.75
DNM2	1662.49	1313.23	1605.83	2075.59	1277.29	1963.57	1844.76	1757.34	1844.76	1709.26	1397.83	1572.76	2209.26	2451.44	1745.2	1923.14	3443.31	3081.75	6561.36	5831.91	2240.11	2075.59	2351.53	2645.74	3325.99	3955.48	7180.15	5441.3	7695.57	5403.7	4298.64	2835.7	4450.27	4268.94	2417.67
DPCR1	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	995.0	0.0	8.78	1.08	7081.29	98.73	4298.64	33688.23	108.9	435.55	2018.8	3039.3	1508.65	8598.28	11745.96	6207.38	18560.17	11112.3	3280.18	1023.0	2148.82	6037.61	1015.93
EDNRB	26.47	27.64	43.63	106.63	23.76	45.53	25.17	9.13	25.17	46.84	37.59	15.56	260.38	0.0	92.05	105.89	336.79	170.25	164.42	226.54	223.41	97.36	376.41	170.25	194.36	191.67	191.67	183.82	205.5	336.79	409.15	236.21	348.71	177.53	256.78
EFCAB14	417.77	473.41	612.11	540.19	339.14	551.56	503.95	583.07	503.95	633.73	303.44	403.5	941.27	0.0	813.63	842.36	1909.85	1407.55	2032.85	1508.65	1191.69	1467.37	1628.26	1870.53	947.83	1963.57	2178.83	1340.84	2502.97	2997.45	1605.83	1340.84	1781.89	1936.53	1242.34
EFCAB4A	17.0	37.59	77.25	264.03	23.08	25.91	16.15	40.07	16.15	34.26	31.45	58.3	1111.82	0.0	176.29	860.08	1529.73	1617.0	2209.26	3467.27	684.02	2627.46	718.08	1923.14	3235.01	3955.48	4903.87	4210.15	5147.73	3665.02	2935.74	3395.89	5594.3	3124.78	2537.92
EIF2AK3	94.01	75.64	115.16	248.0	67.12	108.14	145.02	147.06	145.02	111.21	119.26	78.34	248.0	0.0	381.68	275.28	1037.29	435.55	642.59	1119.56	289.02	679.29	441.64	587.13	470.14	1051.79	1073.91	514.56	1044.52	1199.98	813.63	633.73	825.0	902.89	559.28
EPB41L4A	10.88	10.0	52.08	43.02	19.53	16.39	11.13	43.94	11.13	18.84	72.01	6.31	112.77	0.0	68.55	41.81	166.73	126.12	73.03	116.78	140.04	32.59	130.6	195.72	44.57	74.06	143.01	96.68	170.25	244.57	113.56	99.43	140.04	165.57	87.65
ERN1	107.38	58.71	69.03	124.37	44.57	65.26	71.5	79.45	71.5	74.58	52.45	92.7	162.14	0.0	145.02	187.71	775.05	279.14	341.51	603.67	229.72	470.14	224.97	312.0	358.54	239.52	181.28	316.37	493.56	555.41	616.37	314.17	297.17	403.5	295.11
ERN2	0.0	0.0	0.0	24.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1304.15	0.0	66.18	176.29	2417.67	728.11	4268.94	3349.13	1745.2	2645.74	629.35	1304.15	5441.3	3690.52	4038.61	3395.89	4358.66	3716.2	1844.76	1697.45	2520.38	1769.57	1662.49
FA2H	21.16	11.3	4.74	57.49	11.55	1.04	0.67	0.15	0.67	2.1	3.26	2.53	145.02	0.0	77.79	71.0	1870.53	1250.98	1709.26	11345.82	420.68	1594.73	258.57	1104.13	551.56	1477.58	7180.15	3690.52	7857.29	5517.27	2075.59	1259.69	4210.15	5872.48	1250.98
FAAH	150.17	41.81	180.02	371.22	169.07	154.42	105.15	208.38	105.15	172.65	143.01	279.14	341.51	0.0	215.77	215.77	363.56	242.88	769.69	529.06	595.34	30.56	435.55	242.88	825.0	915.51	718.08	454.09	878.17	591.22	743.43	476.71	693.58	532.74	316.37
FAM101A	1.13	0.19	4.78	35.0	9.7	1.6	0.56	4.9	0.56	2.03	2.63	1.04	656.11	0.0	125.24	74.06	2104.58	4181.07	1781.89	6935.54	414.87	6607.01	2271.4	698.41	6164.49	5479.15	7433.4	6337.83	8305.36	7803.01	4095.0	2061.24	6607.01	7485.11	1457.23
FAM102A	229.72	417.77	273.37	642.59	373.81	454.09	490.14	511.0	490.14	438.59	743.43	693.58	878.17	0.0	563.18	947.83	2520.38	1119.56	2502.97	3124.78	1175.27	1250.98	791.35	1519.15	540.19	1268.46	2271.4	3443.31	4239.45	2835.7	2520.38	1733.13	1950.0	2573.36	1088.92
FAM107B	118.43	90.14	147.06	221.86	55.49	119.26	63.89	108.9	63.89	148.09	88.88	98.04	356.05	0.0	854.13	540.19	4575.41	2485.67	3124.78	4066.71	1733.13	2915.45	5147.73	2075.59	4937.99	8078.22	2915.45	2148.82	2816.11	6607.01	2627.46	3212.66	3955.48	3060.45	4152.18
FAM177B	0.0	0.0	0.0	1.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	177.53	0.0	1.43	22.43	444.72	67.59	559.28	1617.0	149.12	275.28	121.79	607.87	395.18	961.07	1457.23	518.15	1208.34	1936.53	633.73	571.05	967.76	1081.39	339.14
FAM20A	72.01	55.1	40.93	77.79	63.89	44.57	19.11	75.64	19.11	81.14	19.68	28.04	182.55	0.0	808.0	271.48	493.56	303.44	255.0	738.29	237.86	75.11	181.28	339.14	135.24	92.7	483.38	540.19	244.57	764.36	285.03	493.56	536.45	368.65	314.17
FAM46A	40.93	49.56	90.14	82.87	37.05	77.79	39.79	128.79	39.79	90.77	32.82	62.56	202.66	303.44	217.27	201.25	583.07	123.5	693.58	603.67	348.71	199.85	738.29	718.08	149.12	825.0	1023.0	318.57	1769.57	2193.99	616.37	525.39	674.59	808.0	435.55
FAM83E	4.62	12.0	5.77	182.55	0.27	0.13	2.58	0.0	2.58	0.0	10.24	0.0	134.3	0.0	146.03	103.69	915.51	1286.18	1870.53	3395.89	483.38	624.99	177.53	175.07	928.3	2351.53	5219.6	4268.94	6250.56	4671.57	2591.27	660.68	2997.45	2209.26	583.07
FER1L6	0.0	0.0	0.0	0.64	0.27	0.0	0.21	0.0	0.21	0.13	0.0	0.0	92.05	0.0	4.62	3.59	429.54	26.67	563.18	995.0	12.64	312.0	83.45	665.29	105.89	1331.57	1159.07	423.61	1225.22	1051.79	409.15	88.26	624.99	476.71	134.3
FMO5	1.41	1.69	6.41	23.59	1.38	3.14	8.92	6.16	8.92	1.99	4.13	2.84	775.05	0.0	110.43	58.3	1127.35	995.0	1991.0	660.68	595.34	2119.22	444.72	583.07	1963.57	242.88	1819.35	1594.73	1183.45	2875.3	2895.31	525.39	1023.0	674.59	525.39
FOXA3	0.0	0.0	0.0	7.88	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	575.03	0.0	53.57	100.83	1159.07	629.35	1259.69	3349.13	473.41	674.59	974.5	961.07	2627.46	3103.19	5183.54	3303.0	4066.71	5403.7	2193.99	1794.29	4328.55	4736.79	1977.24
FOXQ1	45.53	26.67	54.33	163.28	46.5	27.44	54.33	72.01	54.33	49.56	166.73	55.89	301.33	0.0	255.0	1015.93	2434.5	624.99	1909.85	4095.0	583.07	2816.11	703.28	753.83	2133.97	1819.35	7130.55	3212.66	7966.99	8191.0	1991.0	1313.23	4802.93	4972.34	1721.16
FSCN2	0.8	14.35	3.92	12.36	11.38	2.48	2.97	13.83	2.97	1.57	1.64	6.46	7.22	0.0	17.25	8.58	43.32	18.97	39.22	34.02	10.55	16.03	14.14	16.63	38.4	24.63	19.68	28.65	31.22	53.19	10.16	26.47	38.12	11.38	21.47
GALNT6	153.34	45.85	29.91	114.36	5.68	217.27	56.68	115.97	56.68	183.82	8.19	111.21	120.94	341.51	476.71	163.28	1119.56	269.6	1950.0	2209.26	703.28	2209.26	1397.83	947.83	1819.35	5555.65	4298.64	1769.57	4802.93	3955.48	2520.38	503.95	1757.34	1519.15	684.02
GAREM	151.22	116.78	132.44	64.8	49.56	79.45	202.66	51.71	202.66	45.85	145.02	43.02	96.01	0.0	86.43	71.0	157.68	144.01	229.72	329.84	80.01	105.15	145.02	228.13	149.12	351.14	299.25	244.57	397.93	373.81	221.86	84.04	193.01	193.01	90.14
GATA6	6.57	1.97	13.22	94.01	3.92	11.13	1.17	2.94	1.17	12.83	6.89	11.82	473.41	0.0	80.01	120.94	2047.0	1286.18	1369.04	2875.3	759.08	1697.45	244.57	1277.29	6164.49	1467.37	3742.05	3039.3	2739.08	3491.39	1709.26	1583.71	3103.19	3491.39	1259.69
GIPR	1.13	90.77	12.0	7.69	1.81	2.97	12.18	1.99	12.18	0.0	1.99	0.0	72.01	0.0	43.02	3.44	323.03	12.83	116.78	153.34	24.63	59.13	97.36	202.66	6.41	224.97	215.77	204.07	169.07	130.6	33.54	135.24	167.9	92.05	81.71
GPRC5B	29.7	35.5	126.12	177.53	94.67	59.13	32.59	57.49	32.59	76.71	124.37	63.89	599.49	66.18	111.21	368.65	1519.15	1896.65	728.11	2682.69	476.71	1104.13	1870.53	1572.76	2875.3	2609.3	2303.12	1733.13	2520.38	2485.67	1023.0	1044.52	2384.37	1407.55	1051.79
GPRC5C	41.52	36.01	148.09	226.54	115.97	132.44	98.04	182.55	98.04	106.63	42.71	145.02	2319.15	0.0	1417.35	679.29	3847.29	5219.6	3303.0	6164.49	1757.34	6294.04	1617.0	2434.5	7966.99	11909.94	7331.05	5255.91	6983.79	15285.81	6164.49	8963.45	10014.87	15607.02	6887.62
GPT2	61.68	71.5	42.41	110.43	191.67	7.82	59.13	16.75	59.13	490.14	64.8	37.85	291.04	0.0	110.43	551.56	785.88	693.58	674.59	961.07	151.22	2287.2	314.17	1322.37	928.3	1605.83	854.13	1051.79	1175.27	2384.37	860.08	1175.27	1561.89	1769.57	995.0
GRAMD4	356.05	441.64	202.66	366.09	239.52	208.38	269.6	253.23	269.6	198.47	231.32	426.57	262.2	314.17	353.59	303.44	698.41	764.36	1286.18	540.19	540.19	450.94	417.77	249.73	376.41	878.17	684.02	743.43	1127.35	775.05	624.99	503.95	718.08	438.59	309.83
GRK5	123.5	36.01	490.14	435.55	190.34	361.04	164.42	161.02	164.42	118.43	175.07	215.77	713.11	0.0	231.32	348.71	660.68	432.53	703.28	866.07	684.02	141.02	1059.11	665.29	532.74	1233.75	921.88	988.12	854.13	878.17	947.83	769.69	723.08	759.08	521.76
HDLBP	5183.54	3564.78	4358.66	4481.23	3540.14	3794.3	4481.23	3639.7	4481.23	3146.52	4152.18	3395.89	4937.99	0.0	6699.25	7485.11	10733.74	9088.59	7857.29	12943.04	10014.87	10014.87	9215.48	7485.11	15180.22	13215.02	10014.87	9088.59	11035.54	13033.07	11504.21	8901.53	11992.79	9945.68	6337.83
HID1	94.67	73.54	59.55	301.33	47.17	35.0	29.7	30.78	29.7	27.84	70.51	27.05	583.07	0.0	221.86	595.34	2835.7	2148.82	4181.07	6207.38	1081.39	5183.54	2777.33	3491.39	6983.79	7081.29	3847.29	3235.01	3665.02	5006.93	2895.31	2451.44	3467.27	3124.78	1745.2
HIPK2	141.02	105.89	84.04	85.82	57.08	66.18	105.89	70.51	105.89	53.19	54.33	35.76	198.47	57.89	120.1	113.56	595.34	902.89	441.64	785.88	193.01	460.44	438.59	251.48	563.18	830.75	297.17	703.28	1030.12	909.17	718.08	260.38	595.34	620.67	169.07
IQGAP2	34.51	11.91	25.54	147.06	23.93	43.94	14.45	22.92	14.45	35.25	12.36	129.69	403.5	0.0	167.9	94.67	2367.9	1104.13	1304.15	1963.57	934.76	1583.71	1551.09	1388.16	638.15	1143.1	1437.15	1757.34	1340.84	2287.2	1923.14	1605.83	1674.06	1963.57	1286.18
ITPKA	12.45	9.27	5.87	50.27	21.47	4.94	5.92	9.93	5.92	7.28	8.45	7.28	85.22	0.0	41.52	32.82	336.79	199.85	656.11	1015.93	178.77	53.19	146.03	312.0	753.83	241.19	1806.78	1111.82	1909.85	1322.37	1159.07	291.04	1857.6	1175.27	206.94
KAZALD1	3.26	11.64	8.78	120.94	33.78	14.35	11.73	17.9	11.73	10.08	15.34	15.68	158.79	0.0	125.24	104.42	529.06	164.42	476.71	1073.91	339.14	463.65	450.94	120.1	559.28	366.09	1313.23	1216.75	1225.22	1304.15	974.5	466.88	1242.34	1119.56	638.15
KCNS2	0.29	0.27	0.05	1.57	0.0	0.27	0.26	0.36	0.26	0.01	0.03	0.0	1.04	0.0	2.46	2.84	5.02	10.47	5.45	12.64	15.22	1.07	13.42	7.06	2.68	7.06	6.31	26.47	4.9	15.56	17.38	4.24	7.06	16.88	5.77
KDELR2	1819.35	1617.0	2133.97	2956.17	1950.0	2555.58	2193.99	3257.52	2193.99	1883.54	2240.11	1936.53	1233.75	3665.02	5076.84	3820.7	3901.01	6516.03	4639.29	6121.9	3820.7	5594.3	6792.79	6561.36	8134.41	8363.13	6037.61	4358.66	5366.37	6426.31	6381.92	4038.61	5995.9	5329.3	4298.64
KIAA0319L	309.83	368.65	291.04	591.22	251.48	332.14	285.03	476.71	285.03	297.17	279.14	397.93	514.56	450.94	414.87	463.65	1242.34	848.22	1111.82	830.75	738.29	567.1	941.27	872.1	1883.54	1359.57	884.29	854.13	947.83	1721.16	1208.34	836.53	836.53	909.17	579.04
KIAA0513	60.82	46.5	94.67	82.87	33.54	49.91	70.01	56.28	70.01	92.05	27.05	78.89	299.25	53.95	115.97	116.78	271.48	353.59	358.54	483.38	264.03	301.33	218.79	180.02	356.05	332.14	336.79	473.41	743.43	616.37	339.14	215.77	420.68	301.33	189.02
KIAA1958	9.56	13.52	9.93	19.11	7.51	17.64	19.11	6.89	19.11	18.7	16.75	12.0	31.9	0.0	17.25	31.22	85.22	96.01	149.12	112.77	36.79	18.16	164.42	170.25	157.68	187.71	59.97	68.07	80.01	271.48	139.07	48.87	65.26	128.79	68.07
KIF13B	159.9	105.89	94.01	148.09	40.93	62.56	78.89	90.14	78.89	48.52	55.1	40.93	466.88	0.0	96.01	190.34	583.07	457.25	872.1	620.67	363.56	450.94	500.46	529.06	624.99	540.19	490.14	738.29	785.88	836.53	718.08	273.37	665.29	728.11	206.94
KLHDC7A	0.0	0.0	0.0	7.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.45	0.0	10.96	2.14	96.01	48.18	19.68	80.01	36.79	54.72	30.34	74.58	55.1	20.26	180.02	138.1	239.52	262.2	127.89	77.25	256.78	86.43	49.21
LGALS9C	2.73	40.64	94.67	8.32	2.68	1225.22	106.63	241.19	106.63	25.54	0.54	84.63	99.43	0.0	132.44	11.91	954.43	9.13	3081.75	4450.27	273.37	43.02	3.35	3325.99	220.32	371.22	2609.3	2591.27	7803.01	4358.66	1447.15	1088.92	3146.52	5594.3	1111.82
LRRC56	3.89	23.08	7.22	39.22	17.0	15.91	7.06	24.11	7.06	13.03	16.51	27.84	20.26	0.0	30.12	14.24	59.55	41.52	60.39	36.01	23.42	78.89	23.59	45.85	70.01	127.0	60.82	50.27	57.49	81.14	42.41	90.14	76.17	34.02	61.68
MAGI3	44.89	58.3	86.43	98.73	43.02	106.63	114.36	85.82	114.36	99.43	47.5	78.89	115.16	0.0	126.12	122.64	303.44	102.97	208.38	223.41	126.12	198.47	157.68	248.0	88.88	151.22	336.79	131.51	295.11	457.25	239.52	126.12	251.48	249.73	131.51
MARC2	13.22	11.55	163.28	226.54	70.01	67.59	47.17	29.27	47.17	37.59	96.68	58.71	708.18	0.0	231.32	180.02	575.03	476.71	403.5	525.39	819.3	713.11	529.06	532.74	1191.69	281.09	575.03	764.36	521.76	830.75	1104.13	703.28	698.41	718.08	540.19
MFSD6L	0.49	0.0	0.0	9.48	1.6	1.64	0.0	0.16	0.0	0.0	0.0	0.0	9.63	0.0	46.84	12.55	51.71	53.57	76.17	100.13	48.18	23.93	47.5	43.63	96.01	199.85	134.3	134.3	155.5	164.42	98.04	63.45	102.97	92.7	78.89
