	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.MR.A520.01A.11R.A266.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.RD.A8N9.01A.12R.A39E.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.6802.01A.11R.1884.13	TCGA.CG.4476.01A.01R.1157.13	TCGA.BR.4369.01A.01R.1157.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.CG.4462.01A.01R.1157.13	TCGA.BR.8683.01A.11R.2402.13	TCGA.BR.6458.01A.11R.1802.13	TCGA.D7.8572.01A.11R.2343.13	TCGA.CG.4449.01A.01R.1157.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
GXYLT1	49.91	105.15	78.89	80.57	36.53	84.63	77.79	81.71	100.13	0.0	0.45	104.42	131.51	94.67	74.58	104.42	135.24	277.2	109.66	148.09	143.01	155.5	140.04	172.65	158.79	81.71	64.34	60.82	58.3	66.18	43.94
LSG1	202.66	279.14	285.03	283.05	175.07	309.83	271.48	246.28	229.72	514.56	599.49	866.07	808.0	928.3	587.13	647.07	947.83	780.44	836.53	743.43	583.07	1037.29	830.75	902.89	830.75	412.0	341.51	470.14	293.07	209.84	366.09
MATN3	3.06	1.75	0.75	1.69	0.0	0.0	1.1	0.56	1.1	0.0	0.16	131.51	143.01	329.84	44.89	22.92	69.52	400.71	140.04	212.78	33.3	267.73	148.09	142.01	470.14	33.3	18.29	22.75	24.28	29.48	24.28
MED1	89.51	162.14	149.12	118.43	81.14	102.25	102.25	128.79	125.24	0.0	0.36	412.0	417.77	309.83	265.87	334.46	503.95	1225.22	351.14	497.0	463.65	579.04	368.65	387.02	591.22	299.25	287.01	239.52	212.78	244.57	218.79
MFN1	113.56	220.32	197.09	89.51	81.71	116.78	110.43	158.79	143.01	348.71	348.71	698.41	684.02	420.68	423.61	500.46	921.88	723.08	603.67	928.3	551.56	896.64	633.73	540.19	928.3	409.15	312.0	409.15	307.69	246.28	334.46
MGA	28.24	38.12	21.01	33.78	16.63	28.65	35.0	42.71	36.53	73.03	66.65	214.27	256.78	146.03	116.78	111.99	255.0	353.59	133.36	221.86	217.27	351.14	265.87	353.59	265.87	142.01	94.01	98.73	101.54	84.63	85.82
MGC4294	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	9.78	4.46	11.38	2.68	4.7	14.24	11.13	14.56	7.4	7.0	14.89	20.86	6.57	11.04	1.25	0.0	1.1	0.0	0.0	0.0
NAA25	53.95	72.52	58.71	54.33	29.06	63.89	44.57	46.18	42.71	0.0	0.38	265.87	295.11	167.9	161.02	217.27	351.14	376.41	231.32	309.83	211.31	470.14	277.2	265.87	470.14	132.44	112.77	139.07	84.63	75.64	110.43
NBPF8	1.31	0.0	0.0	0.0	0.0	2.46	0.0	0.0	0.0	0.0	0.03	4.86	1.5	9.27	0.0	5.36	1.55	8.45	0.35	2.07	5.5	7.0	6.46	5.5	2.58	3.66	0.0	0.0	0.0	0.0	3.0
NUDT3	77.25	121.79	144.01	102.25	70.01	80.01	99.43	87.03	115.97	149.12	180.02	267.73	171.45	131.51	117.6	111.21	363.56	212.78	167.9	211.31	293.07	409.15	204.07	154.42	258.57	139.07	122.64	114.36	111.99	118.43	110.43
OLR1	2.73	1.01	0.56	1.16	4.5	2.97	6.16	0.0	8.58	0.0	0.01	103.69	204.07	679.29	26.28	105.89	314.17	126.12	368.65	1175.27	277.2	104.42	281.09	291.04	371.22	18.56	36.27	42.41	26.67	46.18	34.51
OR1L8	0.0	0.0	0.0	0.0	1.11	0.0	0.0	0.0	0.0	0.0	0.0	1.04	1.16	2.48	1.04	0.0	3.17	1.3	0.99	4.28	2.68	4.78	2.78	0.84	2.89	5.87	0.0	1.1	0.0	0.0	1.06
PDPK1	223.41	260.38	185.11	127.0	105.89	144.01	90.77	146.03	241.19	0.0	0.47	435.55	567.1	521.76	555.41	353.59	1378.57	642.59	447.82	796.86	1111.82	921.88	497.0	769.69	684.02	514.56	587.13	361.04	412.0	532.74	267.73
PGA4	1.11	0.0	28.86	0.0	12.83	9.41	7.17	13.03	1.03	0.0	0.0	718.08	2263304.65	5235876.81	4987895.16	1535204.12	2111737.85	2796.65	6581567.44	9569418.63	177.53	19.68	149.12	65.26	209.84	1.835920079E7	5128124.01	3028138.0	6446120.72	1.138002091E7	9179599.9
PPP6R3	299.25	429.54	384.34	387.02	187.71	403.5	361.04	381.68	361.04	435.55	185.11	1295.13	1340.84	607.87	836.53	995.0	2645.74	2502.97	909.17	1447.15	1340.84	1508.65	1127.35	1167.14	1806.78	988.12	753.83	753.83	629.35	728.11	688.78
PSORS1C1	7.22	6.73	0.0	4.39	13.83	0.0	4.13	0.72	7.4	0.0	0.21	285.03	104.42	260.38	181.28	20.71	277.2	193.01	63.89	320.8	371.22	480.04	116.78	55.49	493.56	275.28	110.43	141.02	379.04	208.38	110.43
RIF1	38.95	49.21	53.19	52.82	14.03	49.91	45.53	49.21	50.63	0.0	0.62	265.87	312.0	191.67	146.03	191.67	262.2	420.68	185.11	312.0	256.78	497.0	199.85	301.33	417.77	127.0	78.89	130.6	92.7	120.1	102.97
RNMT	206.94	223.41	215.77	199.85	136.19	249.73	195.72	205.5	218.79	0.0	0.69	819.3	669.92	514.56	334.46	406.31	656.11	563.18	406.31	603.67	587.13	738.29	518.15	723.08	395.18	339.14	251.48	497.0	395.18	432.53	381.68
SLC6A6	21.78	24.63	17.25	29.27	24.11	11.47	19.25	17.13	30.12	0.0	0.61	896.64	830.75	688.78	460.44	450.94	651.58	866.07	633.73	688.78	961.07	928.3	775.05	1199.98	1268.46	532.74	343.89	281.09	368.65	389.72	237.86
SOCS5	60.39	80.01	62.12	75.11	38.67	56.28	54.33	57.49	74.58	0.0	0.31	417.77	253.23	190.34	111.21	120.1	363.56	269.6	176.29	264.03	303.44	373.81	256.78	249.73	353.59	144.01	116.78	157.68	107.38	107.38	142.01
SPRY3	2.61	3.14	2.07	2.32	1.41	1.5	2.84	1.5	1.58	0.0	0.25	10.47	8.25	3.72	2.94	3.17	19.53	4.1	5.45	7.28	8.85	10.31	9.63	5.45	6.84	5.19	4.9	4.1	3.56	1.85	2.97
TGFB2	22.75	5.45	9.34	9.56	10.88	12.93	7.63	9.41	6.21	0.0	0.21	180.02	133.36	140.04	39.22	53.95	146.03	224.97	69.03	211.31	183.82	209.84	78.89	125.24	155.5	35.5	28.45	21.78	29.06	10.79	18.29
TM4SF19	6.89	9.78	0.0	5.87	0.0	0.0	1.07	0.0	10.31	0.0	0.16	17.25	0.36	8.71	30.78	20.56	40.64	27.25	8.92	26.67	25.17	46.18	12.64	43.94	56.68	0.0	3.69	2.66	1.0	1.53	1.39
TM9SF2	1991.0	2271.4	2104.58	1551.09	1832.01	1651.0	2018.8	2240.11	2303.12	0.0	0.54	3794.3	2573.36	2451.44	2520.38	2090.03	5112.16	3928.15	4481.23	2875.3	3768.09	3039.3	2400.97	2193.99	3874.05	3349.13	2739.08	1991.0	1977.24	1909.85	1733.13
TMEM189	669.92	473.41	397.93	336.79	397.93	559.28	441.64	339.14	231.32	642.59	638.15	836.53	543.96	836.53	934.76	660.68	1175.27	1119.56	775.05	1685.71	728.11	836.53	1397.83	1104.13	825.0	629.35	638.15	536.45	688.78	536.45	525.39
TMEM26	2.76	1.69	9.7	11.04	5.23	2.84	8.92	18.03	9.93	0.0	0.06	33.3	26.47	36.01	14.14	10.39	18.97	37.32	10.31	33.54	35.25	39.79	29.91	33.78	38.95	5.96	7.82	14.56	5.11	20.26	15.68
TMEM52B	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.46	1.91	0.0	0.06	9.93	24.11	50.63	1.81	9.56	22.1	13.12	26.28	43.63	10.88	10.71	27.44	21.94	24.11	6.62	5.87	3.2	1.35	10.24	11.91
VPS8	91.41	208.38	140.04	78.34	102.25	112.77	102.97	108.9	87.65	0.0	0.79	703.28	493.56	309.83	248.0	332.14	647.07	454.09	493.56	603.67	480.04	547.75	323.03	444.72	1340.84	346.29	264.03	361.04	251.48	191.67	260.38
YEATS2	65.26	52.08	66.18	30.12	29.48	38.4	46.84	34.75	38.67	0.0	0.96	412.0	220.32	229.72	180.02	329.84	336.79	460.44	320.8	521.76	341.51	490.14	343.89	450.94	343.89	167.9	141.02	156.59	143.01	118.43	178.77
ZNF146	297.17	403.5	417.77	366.09	224.97	373.81	351.14	441.64	387.02	0.0	0.79	1350.18	1242.34	1151.06	651.58	796.86	1175.27	2875.3	1127.35	1697.45	1143.1	1583.71	1417.35	1397.83	1844.76	890.44	500.46	775.05	571.05	426.57	674.59
ZNF200	49.91	72.52	91.41	51.35	38.67	47.5	43.63	47.5	41.22	0.0	0.0	157.68	148.09	138.1	80.01	85.82	161.02	171.45	101.54	206.94	140.04	236.21	271.48	301.33	104.42	85.82	73.03	126.12	75.11	73.03	129.69
ZNF436	36.53	57.08	36.53	38.95	23.93	32.36	32.36	29.27	22.43	0.0	0.0	376.41	228.13	163.28	97.36	85.22	303.44	258.57	146.03	209.84	543.96	211.31	176.29	166.73	426.57	125.24	108.9	109.66	120.1	78.89	89.51
ZNF84	99.43	134.3	106.63	111.99	44.25	81.71	101.54	82.29	88.88	0.0	0.64	356.05	395.18	116.78	169.07	151.22	503.95	547.75	202.66	454.09	400.71	397.93	251.48	129.69	444.72	128.79	112.77	111.99	151.22	147.06	221.86
