	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.A7.A426.01A.22R.A24H.07	TCGA.AZ.4323.01A.21R.1839.07	TCGA.L5.A8NN.01A.11R.A37I.31	TCGA.QK.A6IF.01A.11R.A31N.07	TCGA.ZP.A9CZ.01A.11R.A38B.07	TCGA.RC.A7S9.01A.11R.A33R.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AAVQ.01A.11R.A41C.07	TCGA.UB.A7ME.01A.11R.A33J.07	TCGA.UB.A7MF.01A.11R.A33J.07	TCGA.CC.5263.01A.01R.A131.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.GJ.A9DB.01A.11R.A37K.07	TCGA.G3.A7M6.01A.11R.A33R.07	TCGA.FV.A3I0.11A.11R.A22L.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.U3ZN.0226.SM.3DB8D	GTEX.11NV4.1326.SM.5HL6V	GTEX.X4EO.1126.SM.4QARQ	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZPU1.0826.SM.57WG2	GTEX.14AS3.0126.SM.5Q5F4	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.1399R.1226.SM.5P9GF	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.R53T.0326.SM.48FEC	TCGA.49.AAR4.01A.12R.A41B.07	TCGA.49.AAR0.01A.21R.A39D.07	TCGA.V1.A8WV.01A.11R.A37L.07	TCGA.V1.A9OY.01A.11R.A41O.07	TCGA.AX.A2IN.01A.12R.A180.07	TCGA.5S.A9Q8.01A.11R.A40A.07	TCGA.D1.A3DG.01A.11R.A19W.07
C19orf54	476.71	346.29	307.69	309.83	409.15	301.33	490.14	170.25	163.28	156.59	327.56	139.07	169.07	384.34	629.35	85.22	102.25	126.12	111.99	351.14	127.89	137.14	62.56	143.01	84.63	53.19	152.28	102.25	95.34	111.21	114.36	199.85	140.04	148.09	277.2	83.45	159.9	89.51	185.11	96.68	133.36	150.17	98.73	124.37	75.11	138.1	120.1	159.9	90.77	54.72	129.69	102.25	142.01	244.57	371.22	297.17	334.46	379.04	493.56	363.56
C1orf35	642.59	1037.29	633.73	785.88	563.18	490.14	688.78	454.09	1104.13	647.07	521.76	363.56	693.58	373.81	651.58	221.86	163.28	204.07	228.13	339.14	76.17	291.04	147.06	351.14	198.47	85.82	140.04	246.28	281.09	171.45	156.59	316.37	232.94	273.37	307.69	186.4	343.89	232.94	361.04	136.19	249.73	409.15	153.34	204.07	265.87	246.28	150.17	267.73	114.36	214.27	329.84	223.41	141.02	878.17	825.0	902.89	514.56	1467.37	915.51	1151.06
CABLES2	95.34	116.78	224.97	186.4	138.1	201.25	123.5	81.14	173.85	133.36	271.48	195.72	112.77	81.14	145.02	27.25	23.59	13.42	37.59	86.43	32.59	88.88	23.93	36.79	35.5	56.28	26.86	43.02	42.41	25.54	31.22	45.85	58.71	37.05	29.27	42.71	38.12	51.71	47.5	21.01	52.08	47.17	38.4	14.78	56.28	33.06	68.55	43.02	44.25	66.18	79.45	68.55	93.35	147.06	173.85	129.69	105.89	289.02	98.73	246.28
CAPN10	460.44	738.29	890.44	551.56	603.67	420.68	470.14	406.31	457.25	397.93	426.57	343.89	426.57	351.14	599.49	91.41	187.71	131.51	143.01	217.27	36.53	175.07	157.68	236.21	83.45	81.14	95.34	105.15	231.32	145.02	92.7	255.0	170.25	209.84	175.07	136.19	127.0	163.28	258.57	100.83	133.36	312.0	127.89	121.79	169.07	86.43	139.07	193.01	79.45	99.43	211.31	108.14	89.51	1081.39	1250.98	723.08	620.67	934.76	1081.39	981.29
CASC3	2004.85	941.27	1617.0	1674.06	1191.69	866.07	368.65	866.07	825.0	579.04	567.1	1268.46	660.68	679.29	1397.83	334.46	291.04	480.04	587.13	417.77	483.38	358.54	363.56	651.58	273.37	289.02	426.57	371.22	507.46	246.28	346.29	521.76	511.0	536.45	493.56	318.57	384.34	490.14	536.45	285.03	567.1	476.71	366.09	264.03	420.68	450.94	460.44	507.46	187.71	358.54	483.38	323.03	224.97	915.51	890.44	1295.13	1417.35	1175.27	1151.06	1225.22
CCHCR1	511.0	688.78	435.55	819.3	563.18	1073.91	854.13	595.34	791.35	583.07	830.75	1059.11	521.76	547.75	802.41	119.26	144.01	191.67	197.09	165.57	71.5	264.03	63.45	291.04	173.85	63.0	341.51	142.01	363.56	193.01	155.5	163.28	151.22	234.57	206.94	271.48	480.04	214.27	211.31	132.44	236.21	361.04	197.09	348.71	165.57	186.4	237.86	295.11	124.37	183.82	197.09	156.59	285.03	603.67	872.1	1277.29	567.1	842.36	759.08	1561.89
CHTF18	703.28	1175.27	612.11	493.56	1745.2	366.09	500.46	353.59	571.05	371.22	329.84	480.04	295.11	409.15	1015.93	47.5	60.82	72.01	96.68	107.38	21.63	166.73	96.01	163.28	63.0	15.0	59.13	90.14	137.14	172.65	37.32	94.01	55.89	114.36	135.24	118.43	66.18	151.22	189.02	48.87	175.07	260.38	105.89	154.42	88.26	68.07	111.21	156.59	30.56	60.82	145.02	64.8	28.86	860.08	1242.34	1407.55	305.55	785.88	961.07	684.02
CLK2	1350.18	1685.71	2271.4	1963.57	1651.0	1529.73	1216.75	796.86	1561.89	1259.69	1313.23	1369.04	1388.16	1159.07	3303.0	234.57	305.55	273.37	595.34	941.27	232.94	753.83	316.37	896.64	438.59	258.57	466.88	253.23	780.44	346.29	277.2	450.94	358.54	480.04	595.34	341.51	595.34	438.59	591.22	275.28	718.08	830.75	457.25	229.72	441.64	389.72	656.11	819.3	87.65	208.38	514.56	376.41	242.88	1883.54	1259.69	1498.22	1208.34	1651.0	2451.44	896.64
CLN6	1369.04	775.05	769.69	1135.2	1250.98	1225.22	753.83	540.19	571.05	395.18	981.29	1259.69	878.17	866.07	638.15	293.07	353.59	356.05	497.0	764.36	249.73	507.46	346.29	460.44	373.81	289.02	201.25	371.22	423.61	460.44	329.84	713.11	1044.52	620.67	493.56	363.56	769.69	409.15	583.07	279.14	511.0	571.05	368.65	444.72	417.77	432.53	341.51	518.15	332.14	204.07	400.71	466.88	223.41	579.04	775.05	1605.83	713.11	1369.04	647.07	1617.0
CNOT3	1127.35	1044.52	1437.15	1697.45	1233.75	583.07	679.29	669.92	748.61	583.07	620.67	1044.52	624.99	575.03	2075.59	244.57	228.13	295.11	339.14	595.34	226.54	457.25	199.85	480.04	241.19	226.54	285.03	356.05	463.65	205.5	228.13	397.93	301.33	387.02	579.04	265.87	285.03	341.51	543.96	258.57	387.02	476.71	253.23	255.0	339.14	358.54	332.14	363.56	120.94	273.37	384.34	289.02	397.93	1208.34	825.0	1457.23	1111.82	1037.29	934.76	1225.22
COG2	371.22	638.15	441.64	417.77	409.15	480.04	470.14	269.6	414.87	373.81	669.92	271.48	356.05	381.68	579.04	105.89	53.95	120.94	197.09	195.72	193.01	423.61	185.11	182.55	149.12	193.01	171.45	93.35	205.5	110.43	123.5	229.72	125.24	201.25	152.28	144.01	242.88	167.9	182.55	96.68	258.57	211.31	132.44	88.88	146.03	226.54	171.45	320.8	37.59	104.42	185.11	231.32	124.37	507.46	384.34	229.72	444.72	406.31	363.56	480.04
CPSF4	743.43	733.19	854.13	1015.93	825.0	753.83	620.67	595.34	830.75	571.05	420.68	669.92	575.03	854.13	629.35	231.32	191.67	212.78	283.05	387.02	172.65	220.32	356.05	366.09	397.93	246.28	305.55	242.88	379.04	281.09	218.79	323.03	457.25	392.44	387.02	327.56	299.25	275.28	297.17	167.9	356.05	432.53	273.37	215.77	353.59	327.56	351.14	277.2	209.84	205.5	435.55	341.51	202.66	995.0	1369.04	708.18	651.58	974.5	543.96	1427.22
CTDNEP1	2591.27	3018.3	3060.45	3039.3	3190.46	1923.14	1561.89	1477.58	1628.26	1127.35	2032.85	1498.22	1572.76	1605.83	1721.16	954.43	1066.48	1096.5	1008.9	1721.16	1304.15	825.0	995.0	1277.29	1037.29	587.13	753.83	819.3	1199.98	928.3	825.0	1437.15	1104.13	733.19	1447.15	995.0	842.36	791.35	1104.13	733.19	1295.13	2133.97	836.53	1135.2	647.07	954.43	921.88	1322.37	733.19	974.5	947.83	583.07	607.87	2645.74	2720.15	2319.15	3190.46	3614.55	2855.44	3589.58
CUL9	1540.37	1059.11	934.76	753.83	1605.83	665.29	684.02	791.35	1151.06	825.0	866.07	842.36	633.73	902.89	802.41	212.78	201.25	301.33	329.84	688.78	129.69	587.13	325.29	529.06	432.53	264.03	376.41	224.97	406.31	295.11	234.57	334.46	244.57	376.41	358.54	406.31	379.04	343.89	444.72	297.17	514.56	521.76	305.55	237.86	307.69	258.57	323.03	486.75	99.43	189.02	329.84	279.14	341.51	1191.69	1175.27	802.41	866.07	638.15	1417.35	1572.76
CXXC1	2645.74	2032.85	1991.0	2047.0	2591.27	743.43	1407.55	1369.04	1313.23	1023.0	1242.34	1870.53	647.07	1369.04	2104.58	387.02	395.18	500.46	647.07	1119.56	303.44	848.22	587.13	1199.98	540.19	297.17	603.67	511.0	890.44	348.71	361.04	612.11	521.76	947.83	909.17	429.54	753.83	620.67	902.89	426.57	813.63	1175.27	563.18	309.83	525.39	503.95	579.04	854.13	156.59	432.53	718.08	450.94	460.44	1674.06	1427.22	1757.34	1508.65	1977.24	3124.78	3742.05
DAZAP1	4038.61	2956.17	2682.69	3303.0	2555.58	2816.11	2796.65	1819.35	3168.41	2777.33	2997.45	2240.11	2018.8	1950.0	2303.12	1183.45	1191.69	1340.84	1119.56	1561.89	808.0	1088.92	1233.75	1498.22	974.5	995.0	785.88	915.51	1369.04	1159.07	674.59	1417.35	1457.23	1437.15	1350.18	1331.57	1135.2	941.27	1175.27	796.86	1467.37	1605.83	909.17	1175.27	1088.92	1313.23	1044.52	1350.18	713.11	1397.83	1199.98	1277.29	995.0	2976.74	2609.3	3955.48	2255.7	3280.18	2367.9	2468.49
DBF4B	559.28	132.44	336.79	400.71	395.18	146.03	67.12	108.9	92.7	104.42	90.77	262.2	59.55	88.26	107.38	21.47	21.16	34.51	55.89	62.12	9.56	27.44	18.7	23.25	57.89	24.11	18.43	21.94	6.78	45.21	29.27	24.81	27.44	12.09	59.55	17.25	49.91	34.51	45.21	18.29	56.28	70.01	31.9	31.67	40.64	39.79	37.05	61.25	10.16	9.2	33.3	28.04	8.58	246.28	172.65	177.53	108.9	241.19	186.4	303.44
DCAF15	1857.6	921.88	1044.52	693.58	1059.11	332.14	497.0	718.08	819.3	529.06	703.28	579.04	473.41	511.0	616.37	177.53	273.37	251.48	224.97	307.69	93.35	441.64	323.03	493.56	224.97	218.79	287.01	223.41	381.68	155.5	212.78	351.14	143.01	358.54	371.22	273.37	289.02	256.78	316.37	178.77	466.88	624.99	269.6	246.28	249.73	316.37	376.41	351.14	115.16	226.54	426.57	191.67	155.5	1498.22	961.07	743.43	529.06	995.0	967.76	1225.22
DDX49	2287.2	1008.9	1286.18	1135.2	1096.5	1216.75	1583.71	1397.83	1111.82	1066.48	1350.18	1733.13	860.08	1216.75	1081.39	660.68	521.76	543.96	532.74	878.17	379.04	688.78	738.29	599.49	454.09	551.56	351.14	728.11	490.14	417.77	426.57	934.76	708.18	842.36	723.08	423.61	511.0	454.09	688.78	447.82	518.15	624.99	426.57	878.17	579.04	571.05	432.53	384.34	329.84	669.92	624.99	521.76	447.82	728.11	1242.34	1857.6	1378.57	1259.69	1628.26	3018.3
DGCR8	674.59	543.96	575.03	438.59	866.07	336.79	403.5	291.04	341.51	312.0	454.09	366.09	356.05	387.02	684.02	136.19	171.45	159.9	229.72	392.44	147.06	198.47	231.32	429.54	209.84	153.34	251.48	100.83	289.02	158.79	178.77	246.28	493.56	197.09	297.17	140.04	229.72	215.77	163.28	144.01	275.28	559.28	332.14	100.13	205.5	173.85	217.27	271.48	111.99	336.79	228.13	181.28	143.01	764.36	559.28	470.14	406.31	638.15	587.13	633.73
DGKZ	2148.82	1487.87	1697.45	1378.57	2224.63	633.73	769.69	1066.48	988.12	947.83	1295.13	708.18	612.11	460.44	738.29	173.85	166.73	314.17	224.97	384.34	199.85	318.57	307.69	341.51	269.6	392.44	255.0	229.72	293.07	195.72	307.69	366.09	201.25	287.01	295.11	211.31	234.57	473.41	316.37	239.52	392.44	420.68	376.41	242.88	293.07	246.28	329.84	303.44	111.99	244.57	258.57	202.66	265.87	1991.0	1540.37	1467.37	830.75	1242.34	1023.0	1030.12
DHX16	1199.98	808.0	1081.39	909.17	713.11	629.35	656.11	733.19	738.29	848.22	866.07	988.12	1001.93	780.44	902.89	435.55	444.72	713.11	507.46	723.08	366.09	511.0	327.56	854.13	642.59	295.11	353.59	366.09	559.28	432.53	426.57	400.71	336.79	571.05	728.11	414.87	591.22	466.88	693.58	414.87	791.35	796.86	438.59	473.41	514.56	490.14	551.56	759.08	234.57	376.41	559.28	403.5	403.5	896.64	791.35	921.88	703.28	555.41	1008.9	995.0
DPH7	1605.83	1216.75	1143.1	813.63	1096.5	327.56	551.56	500.46	603.67	381.68	476.71	684.02	536.45	262.2	842.36	150.17	169.07	169.07	287.01	353.59	111.99	279.14	223.41	361.04	218.79	101.54	199.85	226.54	287.01	237.86	116.78	183.82	239.52	201.25	307.69	195.72	197.09	237.86	423.61	112.77	295.11	518.15	187.71	221.86	281.09	260.38	256.78	346.29	103.69	131.51	348.71	206.94	119.26	1088.92	842.36	1721.16	848.22	1001.93	1378.57	1487.87
DROSHA	896.64	890.44	1870.53	1127.35	1529.73	890.44	796.86	647.07	830.75	1350.18	1104.13	902.89	703.28	738.29	1127.35	279.14	406.31	470.14	532.74	293.07	368.65	836.53	293.07	698.41	361.04	195.72	432.53	486.75	412.0	309.83	447.82	480.04	400.71	262.2	902.89	271.48	353.59	785.88	429.54	256.78	651.58	327.56	358.54	269.6	258.57	473.41	329.84	693.58	381.68	291.04	563.18	291.04	128.79	2090.03	1295.13	1044.52	1023.0	1427.22	2032.85	1883.54
ENTHD2	1605.83	878.17	866.07	1208.34	872.1	521.76	336.79	624.99	665.29	532.74	366.09	503.95	343.89	591.22	1015.93	158.79	234.57	178.77	204.07	283.05	83.45	248.0	241.19	429.54	158.79	129.69	208.38	148.09	332.14	162.14	190.34	255.0	186.4	244.57	295.11	234.57	205.5	258.57	293.07	172.65	316.37	412.0	273.37	151.22	221.86	267.73	295.11	389.72	103.69	175.07	273.37	208.38	215.77	1199.98	753.83	500.46	466.88	503.95	813.63	825.0
EXOC7	4038.61	1628.26	1242.34	1447.15	1331.57	1477.58	1151.06	860.08	1477.58	1313.23	1127.35	1697.45	1001.93	974.5	3060.45	447.82	638.15	555.41	633.73	536.45	575.03	775.05	444.72	1015.93	830.75	583.07	825.0	409.15	785.88	514.56	656.11	532.74	514.56	579.04	660.68	688.78	825.0	796.86	884.29	769.69	878.17	954.43	941.27	540.19	532.74	514.56	896.64	748.61	373.81	656.11	603.67	423.61	802.41	2485.67	1369.04	2384.37	2351.53	1572.76	2555.58	1896.65
FAM219B	1605.83	785.88	878.17	642.59	679.29	414.87	262.2	258.57	249.73	339.14	387.02	363.56	466.88	356.05	638.15	134.3	267.73	155.5	223.41	447.82	111.99	140.04	283.05	269.6	170.25	82.29	260.38	181.28	234.57	277.2	163.28	264.03	351.14	305.55	251.48	116.78	239.52	114.36	253.23	151.22	198.47	273.37	183.82	175.07	139.07	134.3	231.32	229.72	132.44	81.71	244.57	221.86	231.32	848.22	769.69	1051.79	1388.16	1044.52	934.76	775.05
FASTK	3820.7	2417.67	1662.49	2434.5	1757.34	2148.82	2451.44	2485.67	3372.43	2591.27	2004.85	2895.31	1977.24	2555.58	2178.83	1044.52	1259.69	1225.22	1143.1	2739.08	759.08	1447.15	1447.15	1844.76	1259.69	759.08	1167.14	1151.06	1397.83	1697.45	872.1	1457.23	1572.76	1709.26	1769.57	1233.75	1286.18	909.17	1857.6	854.13	1540.37	1639.59	785.88	1487.87	1151.06	1119.56	1127.35	1183.45	825.0	1001.93	1540.37	1268.46	1135.2	3794.3	5555.65	4010.71	2351.53	2935.74	3564.78	3168.41
FBRS	2351.53	1540.37	1605.83	1233.75	1529.73	703.28	647.07	813.63	1051.79	1059.11	612.11	872.1	819.3	679.29	1242.34	336.79	500.46	323.03	361.04	669.92	206.94	514.56	397.93	616.37	373.81	273.37	363.56	318.57	563.18	267.73	343.89	525.39	454.09	438.59	536.45	500.46	417.77	417.77	490.14	264.03	514.56	708.18	395.18	379.04	392.44	435.55	395.18	543.96	187.71	395.18	444.72	346.29	339.14	1806.78	1331.57	1733.13	1199.98	967.76	1583.71	532.74
FUS	2133.97	12415.75	11584.24	8247.98	10959.3	5517.27	6840.04	5633.22	5995.9	6792.79	5954.47	4937.99	5672.41	4210.15	5791.62	1467.37	1037.29	2701.35	2485.67	2163.77	2627.46	3690.52	2133.97	3419.52	2133.97	2032.85	1350.18	1819.35	3146.52	1551.09	1242.34	2434.5	1909.85	2271.4	2835.7	1896.65	2645.74	3491.39	2796.65	1111.82	2875.3	2956.17	2502.97	1295.13	2367.9	2664.15	2855.44	3124.78	616.37	3124.78	2520.38	1794.29	529.06	7911.95	8778.97	8134.41	5329.3	8901.53	13681.08	8191.0
GPBP1	866.07	1519.15	1259.69	974.5	1794.29	1340.84	796.86	974.5	1044.52	884.29	1397.83	713.11	1427.22	1304.15	1322.37	551.56	587.13	733.19	633.73	563.18	693.58	693.58	389.72	830.75	595.34	540.19	713.11	674.59	607.87	563.18	532.74	607.87	532.74	603.67	902.89	708.18	473.41	896.64	819.3	511.0	769.69	656.11	497.0	830.75	616.37	633.73	693.58	684.02	728.11	759.08	753.83	629.35	511.0	954.43	1135.2	1127.35	1286.18	1111.82	1015.93	1662.49
GPR137	1628.26	1359.57	1037.29	1427.22	1685.71	1709.26	974.5	1191.69	1127.35	620.67	1167.14	1359.57	928.3	2720.15	1233.75	426.57	503.95	392.44	432.53	947.83	161.02	791.35	463.65	674.59	532.74	525.39	759.08	450.94	521.76	571.05	607.87	595.34	718.08	796.86	647.07	684.02	486.75	595.34	656.11	620.67	738.29	555.41	473.41	1044.52	525.39	555.41	587.13	483.38	400.71	457.25	819.3	703.28	679.29	1167.14	1143.1	1175.27	1159.07	1508.65	1096.5	1277.29
HAUS5	555.41	314.17	607.87	656.11	1208.34	403.5	406.31	267.73	332.14	429.54	476.71	214.27	226.54	249.73	656.11	75.11	154.42	103.69	161.02	138.1	45.85	126.12	94.67	218.79	123.5	39.5	146.03	80.57	197.09	125.24	78.89	88.88	75.11	163.28	162.14	118.43	121.79	105.89	117.6	78.89	212.78	171.45	102.25	129.69	141.02	98.04	136.19	161.02	45.53	102.97	120.1	114.36	106.63	490.14	529.06	305.55	204.07	525.39	713.11	785.88
