	GTEX.TMMY.1526.SM.4DXST	TCGA.CU.A5W6.01A.11R.A28M.07	TCGA.BT.A20X.01A.11R.A16R.07	TCGA.BT.A0YX.01A.11R.A10U.07	TCGA.XF.A9T8.01A.11R.A39I.07	TCGA.CU.A72E.01A.12R.A33J.07	TCGA.BT.A20U.11A.11R.A14Y.07	TCGA.BT.A2LB.11A.11R.A18C.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.UC.A7PF.01A.11R.A352.07	TCGA.EK.A2RC.01A.11R.A18M.07	TCGA.C5.A1BM.01A.11R.A13Y.07	TCGA.C5.A1MK.01A.11R.A14Y.07	TCGA.Q1.A6DW.01A.11R.A32P.07	TCGA.JW.A5VL.01A.11R.A28H.07	TCGA.DS.A5RQ.01A.11R.A28H.07	TCGA.VS.A9UI.01A.11R.A42T.07	TCGA.EK.A2RO.01A.11R.A18M.07	TCGA.EA.A3HU.01A.11R.A213.07	TCGA.DS.A1OB.01A.11R.A14Y.07	TCGA.C5.A1BQ.01C.11R.A213.07	TCGA.C5.A1BE.01B.11R.A13Y.07	TCGA.C5.A2LZ.01A.11R.A213.07	TCGA.XP.A8T8.01A.11R.A36D.31	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.IG.A8O2.01A.11R.A36D.31	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.IG.A5B8.01A.11R.A28J.31	TCGA.Z6.A8JD.01A.11R.A36D.31	TCGA.JY.A6FA.01A.11R.A336.31	TCGA.VR.A8ER.01A.11R.A36D.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.LN.A8I0.01A.11R.A36D.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.JY.A6FD.01A.11R.A336.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.LN.A7HV.01A.21R.A354.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.VR.A8EZ.01A.11R.A36D.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.IG.A97H.01A.11R.A38D.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.XP.A8T6.01A.11R.A36D.31	TCGA.IG.A4P3.01A.11R.A260.31	TCGA.Z6.AAPN.01A.11R.A406.31	TCGA.LN.A5U6.01A.11R.A28J.31	TCGA.LN.A4A1.01A.21R.A260.31	TCGA.LN.A49R.01A.11R.A24K.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.V5.AASV.01A.11R.A38D.31	TCGA.LN.A8I1.01A.11R.A36D.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.L5.A88Z.01A.11R.A36D.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.VR.A8EW.01A.11R.A36D.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.IG.A6QS.01A.12R.A336.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.L5.A43H.01A.11R.A24K.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZTTD.1226.SM.51MS2	GTEX.PVOW.1626.SM.48TC9	GTEX.145LV.1326.SM.5S2QI	GTEX.ZVE2.1326.SM.5NQ94	GTEX.144FL.2726.SM.5O98Z	GTEX.13U4I.1126.SM.5LU3S	GTEX.11ONC.1526.SM.5GU6S	GTEX.12WSA.1426.SM.5EGJU	GTEX.R45C.1226.SM.48FEE	GTEX.13O3Q.0826.SM.5IFGF	GTEX.QVUS.0626.SM.447CC	GTEX.T5JC.1726.SM.4DM6U	GTEX.XK95.1026.SM.4GIDV	GTEX.13NZB.1226.SM.5J2MW	GTEX.145LS.1826.SM.5LUAZ	GTEX.X4LF.0626.SM.4QASB	GTEX.11DYG.1326.SM.5N9DO	GTEX.YFC4.1226.SM.5LU9R	GTEX.WVLH.1426.SM.4MVNX	GTEX.11ZU8.1526.SM.5EGHX	GTEX.139TU.1226.SM.5J2NL	GTEX.X585.1226.SM.46MW7	GTEX.ZTPG.1626.SM.5DUX2	GTEX.PLZ4.1626.SM.3P618	GTEX.11NUK.1326.SM.5P9GN	GTEX.RNOR.1226.SM.48FDQ	GTEX.UPK5.1226.SM.4IHL8	GTEX.ZAB4.1126.SM.5HL86	GTEX.ZF3C.1626.SM.4WWB4	GTEX.XQ3S.1126.SM.4BOPK	GTEX.14BIN.2726.SM.5RQIE	GTEX.P78B.1026.SM.3NMC4	GTEX.XQ8I.1526.SM.4BOOH	GTEX.11ZTS.2626.SM.5EGIC	GTEX.132AR.2226.SM.5J2NT	GTEX.S33H.0826.SM.4AD5Y	GTEX.132AR.2326.SM.5IJDY	TCGA.QK.A6VC.01A.23R.A34R.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CN.6021.01A.11R.1686.07	TCGA.UF.A71D.01A.12R.A34R.07	TCGA.CV.6955.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.6935.01A.11R.1915.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.CV.7421.01A.11R.2081.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.6961.11A.01R.1915.07	GTEX.YFC4.1126.SM.5RQJN	GTEX.ZUA1.1026.SM.4YCEA	TCGA.85.A4JC.01A.11R.A24Z.07	TCGA.21.5784.01A.01R.1635.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.7806.11A.01R.2055.13	GTEX.YJ8A.1526.SM.5P9FT	GTEX.WWYW.2826.SM.4MVOQ	GTEX.PWN1.2026.SM.48TD9	GTEX.R55G.1626.SM.48FF4
AKAP17A	155.5	307.69	116.78	124.37	198.47	111.99	183.82	244.57	187.71	376.41	237.86	234.57	521.76	454.09	281.09	273.37	450.94	289.02	325.29	303.44	454.09	412.0	341.51	193.01	414.87	231.32	318.57	361.04	420.68	223.41	273.37	373.81	624.99	423.61	343.89	269.6	366.09	366.09	234.57	366.09	269.6	392.44	273.37	191.67	307.69	316.37	193.01	320.8	220.32	540.19	450.94	332.14	299.25	420.68	260.38	177.53	353.59	289.02	323.03	265.87	199.85	551.56	400.71	343.89	438.59	529.06	567.1	769.69	521.76	493.56	490.14	713.11	575.03	603.67	651.58	629.35	616.37	529.06	547.75	529.06	909.17	400.71	511.0	511.0	775.05	934.76	435.55	511.0	551.56	579.04	591.22	854.13	665.29	457.25	583.07	629.35	470.14	624.99	194.36	444.72	273.37	366.09	133.36	150.17	190.34	153.34	98.73	135.24	151.22	249.73	132.44	116.78	100.83	120.94	267.73	507.46	289.02	164.42	49.56	127.89	128.79	140.04	115.97	88.26	76.17	305.55	336.79	122.64	187.71	244.57
AKAP8L	775.05	1135.2	1008.9	941.27	1111.82	988.12	674.59	808.0	813.63	1350.18	1208.34	1008.9	1059.11	995.0	1286.18	674.59	967.76	1037.29	1199.98	1369.04	1175.27	1037.29	1208.34	1066.48	1519.15	2915.45	1242.34	1407.55	1697.45	1857.6	2193.99	1437.15	1519.15	1733.13	1397.83	693.58	1498.22	1757.34	1697.45	2209.26	1242.34	775.05	3589.58	2468.49	2224.63	1617.0	1322.37	1331.57	2240.11	2119.22	4836.35	3491.39	1216.75	1551.09	1286.18	1519.15	1781.89	1437.15	1551.09	1628.26	981.29	2367.9	2796.65	1529.73	2645.74	1870.53	2271.4	2018.8	2178.83	1498.22	1674.06	2209.26	2664.15	2240.11	1769.57	1806.78	1628.26	1572.76	2119.22	1977.24	2224.63	1277.29	1594.73	1119.56	2720.15	3146.52	1199.98	1977.24	1685.71	2119.22	2451.44	2303.12	2224.63	1857.6	2148.82	1857.6	1286.18	2271.4	1225.22	1794.29	2047.0	1096.5	571.05	764.36	1001.93	575.03	629.35	830.75	748.61	830.75	616.37	616.37	279.14	497.0	591.22	753.83	1199.98	713.11	177.53	490.14	547.75	559.28	490.14	429.54	473.41	1242.34	890.44	1143.1	629.35	656.11
AMT	316.37	111.21	25.54	54.33	117.6	137.14	120.94	115.97	65.72	199.85	156.59	76.71	140.04	74.58	209.84	86.43	490.14	109.66	47.84	119.26	100.83	159.9	199.85	271.48	368.65	395.18	155.5	62.12	228.13	150.17	74.06	226.54	214.27	323.03	76.71	287.01	130.6	236.21	120.94	199.85	236.21	212.78	234.57	151.22	231.32	40.36	85.22	146.03	395.18	624.99	237.86	234.57	176.29	166.73	161.02	87.65	202.66	79.45	363.56	166.73	56.68	189.02	289.02	231.32	764.36	450.94	860.08	785.88	575.03	764.36	500.46	748.61	796.86	825.0	872.1	791.35	447.82	414.87	753.83	497.0	995.0	195.72	559.28	373.81	796.86	1407.55	260.38	563.18	540.19	928.3	769.69	1044.52	1104.13	312.0	511.0	825.0	624.99	463.65	138.1	507.46	295.11	309.83	15.0	5.59	224.97	7.46	15.45	23.25	22.59	92.7	48.18	14.67	13.52	10.79	316.37	848.22	173.85	80.01	3.72	36.27	48.52	43.02	31.45	26.28	15.91	95.34	90.14	536.45	329.84	135.24
AMY2B	78.34	148.09	23.25	21.32	137.14	17.77	36.01	58.3	29.91	301.33	371.22	180.02	70.01	65.72	54.72	40.93	41.22	92.05	53.95	135.24	48.52	157.68	198.47	115.16	156.59	78.89	187.71	22.1	85.82	41.81	83.45	199.85	105.15	84.63	74.58	83.45	73.03	146.03	202.66	135.24	224.97	61.68	256.78	135.24	336.79	77.79	55.1	52.45	191.67	220.32	234.57	108.14	201.25	139.07	211.31	52.45	220.32	48.52	293.07	149.12	65.26	134.3	127.89	201.25	791.35	287.01	571.05	497.0	309.83	356.05	275.28	693.58	395.18	381.68	447.82	217.27	201.25	209.84	547.75	293.07	718.08	165.57	343.89	438.59	429.54	759.08	97.36	228.13	305.55	470.14	171.45	406.31	368.65	197.09	256.78	412.0	291.04	251.48	54.33	180.02	291.04	125.24	6.36	6.84	24.28	5.59	10.63	9.06	14.56	42.41	18.84	4.78	11.38	8.45	332.14	241.19	125.24	31.9	3.69	16.15	43.32	35.76	8.25	26.86	15.22	76.71	18.03	511.0	110.43	76.17
ANAPC2	417.77	500.46	358.54	420.68	457.25	327.56	483.38	500.46	381.68	651.58	660.68	466.88	503.95	432.53	1008.9	493.56	629.35	332.14	450.94	412.0	503.95	571.05	575.03	988.12	624.99	802.41	587.13	500.46	674.59	825.0	1104.13	915.51	1104.13	723.08	693.58	679.29	848.22	1037.29	981.29	466.88	684.02	684.02	878.17	743.43	579.04	1001.93	703.28	624.99	1583.71	1359.57	830.75	607.87	854.13	967.76	896.64	583.07	753.83	540.19	813.63	1427.22	669.92	808.0	400.71	866.07	921.88	995.0	1001.93	1015.93	988.12	1008.9	884.29	1183.45	1250.98	915.51	1295.13	866.07	974.5	1044.52	1030.12	974.5	1583.71	802.41	1081.39	1159.07	1322.37	1477.58	733.19	1242.34	1111.82	1191.69	1001.93	1143.1	1008.9	808.0	1119.56	1151.06	974.5	1001.93	743.43	995.0	753.83	603.67	417.77	423.61	518.15	447.82	507.46	447.82	314.17	551.56	417.77	363.56	211.31	432.53	493.56	463.65	587.13	423.61	147.06	376.41	277.2	414.87	307.69	361.04	301.33	718.08	297.17	1143.1	503.95	447.82
ANAPC4	363.56	155.5	281.09	273.37	285.03	271.48	329.84	249.73	262.2	435.55	457.25	303.44	199.85	486.75	403.5	190.34	348.71	281.09	384.34	454.09	400.71	220.32	316.37	363.56	543.96	397.93	356.05	412.0	406.31	277.2	318.57	454.09	281.09	334.46	406.31	293.07	547.75	336.79	457.25	327.56	571.05	612.11	529.06	607.87	493.56	571.05	269.6	444.72	536.45	651.58	575.03	341.51	373.81	409.15	447.82	450.94	432.53	256.78	529.06	334.46	363.56	454.09	447.82	303.44	571.05	363.56	813.63	830.75	723.08	738.29	540.19	769.69	764.36	587.13	503.95	392.44	463.65	392.44	629.35	432.53	921.88	417.77	403.5	432.53	575.03	748.61	269.6	543.96	473.41	713.11	563.18	620.67	624.99	334.46	543.96	830.75	454.09	384.34	277.2	503.95	480.04	305.55	109.66	137.14	320.8	182.55	236.21	137.14	234.57	264.03	248.0	171.45	265.87	231.32	454.09	438.59	444.72	260.38	157.68	182.55	187.71	221.86	209.84	162.14	149.12	249.73	134.3	1359.57	486.75	358.54
ANKMY1	87.03	80.01	80.57	108.14	106.63	175.07	159.9	74.06	146.03	143.01	185.11	109.66	154.42	166.73	54.72	134.3	167.9	126.12	88.26	148.09	162.14	102.97	120.94	228.13	166.73	283.05	100.13	109.66	136.19	206.94	140.04	190.34	118.43	241.19	78.34	128.79	99.43	116.78	137.14	147.06	164.42	84.63	214.27	156.59	182.55	92.05	189.02	177.53	271.48	231.32	193.01	215.77	103.69	175.07	223.41	166.73	150.17	105.89	177.53	142.01	92.7	175.07	187.71	165.57	279.14	228.13	329.84	387.02	299.25	264.03	339.14	457.25	435.55	185.11	381.68	173.85	287.01	287.01	318.57	201.25	343.89	187.71	361.04	234.57	346.29	463.65	255.0	299.25	346.29	389.72	346.29	376.41	463.65	309.83	356.05	392.44	285.03	260.38	182.55	341.51	102.97	116.78	49.56	56.28	87.03	96.01	78.34	135.24	99.43	147.06	120.1	73.54	56.68	74.06	151.22	616.37	277.2	186.4	55.49	182.55	99.43	95.34	130.6	79.45	111.99	164.42	92.05	167.9	83.45	60.82
APBB3	141.02	191.67	191.67	119.26	217.27	190.34	256.78	208.38	189.02	341.51	171.45	251.48	320.8	309.83	303.44	183.82	426.57	189.02	224.97	363.56	264.03	197.09	555.41	563.18	567.1	339.14	571.05	587.13	688.78	224.97	242.88	432.53	271.48	713.11	381.68	314.17	348.71	332.14	432.53	497.0	444.72	271.48	941.27	483.38	316.37	368.65	253.23	796.86	633.73	1233.75	384.34	647.07	395.18	483.38	595.34	158.79	336.79	161.02	693.58	563.18	332.14	305.55	366.09	325.29	620.67	379.04	915.51	775.05	656.11	587.13	447.82	532.74	1001.93	373.81	616.37	842.36	441.64	412.0	693.58	651.58	915.51	343.89	518.15	435.55	791.35	1709.26	289.02	703.28	490.14	759.08	974.5	759.08	603.67	420.68	633.73	836.53	591.22	368.65	555.41	435.55	981.29	260.38	81.14	53.19	140.04	102.25	144.01	65.26	87.65	339.14	148.09	146.03	82.29	75.11	1199.98	1250.98	384.34	124.37	29.7	58.3	86.43	159.9	71.0	99.43	31.67	183.82	115.16	571.05	191.67	267.73
ARHGAP33	204.07	30.78	118.43	49.56	146.03	135.24	130.6	67.12	100.83	435.55	241.19	142.01	346.29	305.55	231.32	246.28	281.09	307.69	267.73	171.45	170.25	256.78	327.56	406.31	283.05	312.0	231.32	348.71	2032.85	185.11	559.28	264.03	320.8	231.32	289.02	191.67	178.77	307.69	267.73	201.25	397.93	728.11	336.79	909.17	463.65	176.29	532.74	325.29	389.72	595.34	587.13	612.11	320.8	223.41	159.9	409.15	255.0	309.83	371.22	262.2	289.02	571.05	490.14	136.19	190.34	142.01	432.53	271.48	387.02	470.14	281.09	486.75	603.67	277.2	728.11	368.65	173.85	249.73	480.04	285.03	285.03	185.11	514.56	275.28	599.49	236.21	122.64	356.05	457.25	775.05	595.34	368.65	651.58	115.97	470.14	486.75	341.51	271.48	51.35	409.15	157.68	141.02	27.84	31.67	22.26	30.12	36.27	148.09	16.88	64.34	48.87	38.67	11.91	13.72	77.25	163.28	130.6	24.46	6.41	53.19	40.64	49.21	23.76	17.64	10.96	90.14	27.44	348.71	49.21	44.25
ASIC1	32.59	24.81	50.63	56.28	13.83	17.13	34.26	24.81	28.04	63.0	20.26	12.0	11.3	43.63	17.64	131.51	19.97	22.59	11.64	18.56	23.42	113.56	66.65	26.1	66.65	71.0	36.53	26.47	83.45	92.05	167.9	60.39	83.45	12.27	65.72	88.88	49.21	74.06	36.27	18.43	64.8	36.27	34.51	66.18	45.53	63.89	64.8	22.59	31.9	92.05	98.04	111.99	24.28	53.95	59.97	103.69	38.4	76.17	76.71	48.52	40.07	46.84	144.01	24.99	35.76	84.04	111.99	128.79	110.43	81.14	50.63	220.32	100.13	79.45	95.34	94.01	131.51	82.87	104.42	31.45	171.45	20.71	46.18	99.43	83.45	96.01	69.52	139.07	61.68	129.69	85.82	94.01	98.04	155.5	69.52	127.89	161.02	70.01	26.28	45.53	31.0	20.11	38.95	57.89	25.17	1.73	4.74	45.21	11.3	16.75	105.89	8.71	15.8	10.0	14.03	156.59	75.64	58.71	8.0	5.5	27.44	12.55	8.06	14.14	6.41	37.32	15.56	10.31	36.53	96.68
C10orf137	135.24	114.36	137.14	177.53	149.12	175.07	148.09	136.19	136.19	312.0	327.56	122.64	327.56	395.18	291.04	186.4	248.0	241.19	185.11	177.53	178.77	295.11	483.38	199.85	287.01	339.14	285.03	214.27	275.28	234.57	339.14	251.48	256.78	199.85	215.77	218.79	175.07	325.29	514.56	198.47	303.44	283.05	264.03	228.13	346.29	327.56	229.72	397.93	275.28	392.44	327.56	239.52	269.6	305.55	271.48	295.11	206.94	264.03	341.51	305.55	217.27	232.94	409.15	211.31	555.41	267.73	476.71	559.28	406.31	551.56	226.54	521.76	476.71	209.84	463.65	170.25	376.41	316.37	450.94	379.04	616.37	269.6	198.47	348.71	348.71	432.53	234.57	336.79	336.79	432.53	409.15	397.93	325.29	275.28	361.04	563.18	293.07	226.54	341.51	373.81	490.14	163.28	69.03	71.0	195.72	115.97	88.88	124.37	82.29	167.9	100.83	75.11	82.29	115.16	137.14	170.25	224.97	157.68	66.65	88.88	66.65	120.1	124.37	92.7	84.63	186.4	142.01	395.18	209.84	150.17
C16orf58	607.87	1001.93	703.28	713.11	703.28	1037.29	866.07	748.61	503.95	954.43	1066.48	647.07	915.51	669.92	559.28	638.15	1127.35	780.44	620.67	718.08	775.05	718.08	915.51	1359.57	1350.18	1359.57	1378.57	928.3	1427.22	947.83	884.29	1066.48	954.43	842.36	703.28	954.43	947.83	1066.48	1143.1	808.0	878.17	836.53	915.51	1015.93	896.64	1066.48	974.5	1277.29	842.36	896.64	1427.22	1242.34	860.08	954.43	1081.39	860.08	1001.93	1127.35	1023.0	866.07	921.88	866.07	878.17	915.51	1350.18	981.29	1369.04	1437.15	1745.2	1594.73	1216.75	1617.0	1617.0	872.1	1977.24	1191.69	1119.56	1015.93	1427.22	1119.56	1733.13	934.76	1081.39	1259.69	1540.37	1561.89	1216.75	1350.18	1508.65	1628.26	1583.71	1697.45	1819.35	1066.48	1191.69	1883.54	1529.73	1322.37	1088.92	1295.13	1350.18	769.69	708.18	802.41	703.28	698.41	775.05	1225.22	854.13	941.27	1051.79	808.0	703.28	728.11	480.04	409.15	1037.29	1119.56	532.74	620.67	547.75	813.63	532.74	638.15	423.61	1051.79	1015.93	2271.4	1127.35	1369.04
C6ORF50	11.82	16.39	0.75	2.94	6.31	16.15	9.2	2.12	6.46	9.48	12.64	10.63	10.31	8.85	13.03	4.74	19.53	2.66	7.34	15.8	6.41	14.78	23.08	59.13	70.51	40.36	20.41	46.84	12.36	17.77	9.13	20.71	19.39	4.24	12.27	15.45	40.07	25.35	24.11	15.91	23.25	59.13	70.01	5.54	44.89	28.04	15.0	39.22	67.59	99.43	30.78	114.36	27.84	13.83	27.64	22.59	24.63	11.91	39.22	22.75	22.75	31.67	34.51	24.99	135.24	29.48	37.59	67.12	89.51	58.71	57.08	86.43	94.01	65.72	73.54	18.7	54.33	40.64	87.65	21.63	53.19	24.63	31.45	15.34	104.42	39.22	19.82	43.94	43.63	91.41	51.35	68.07	93.35	26.1	35.5	52.82	30.56	53.19	26.67	53.19	36.79	11.73	0.0	0.83	3.63	0.95	1.53	1.91	0.0	1.83	2.94	0.0	0.88	0.0	5.19	7.06	12.18	1.17	0.0	0.39	0.0	2.2	0.56	0.91	2.05	15.22	4.06	40.36	4.5	9.48
CAPN10	140.04	293.07	112.77	194.36	201.25	473.41	248.0	175.07	205.5	262.2	289.02	237.86	320.8	409.15	202.66	289.02	490.14	346.29	251.48	277.2	348.71	258.57	269.6	470.14	389.72	764.36	368.65	307.69	412.0	435.55	348.71	555.41	389.72	540.19	281.09	486.75	258.57	480.04	466.88	368.65	414.87	287.01	599.49	532.74	493.56	327.56	423.61	395.18	497.0	624.99	346.29	679.29	483.38	620.67	423.61	346.29	432.53	429.54	466.88	575.03	376.41	435.55	473.41	518.15	624.99	669.92	607.87	854.13	854.13	559.28	595.34	759.08	1008.9	791.35	974.5	981.29	854.13	665.29	698.41	454.09	947.83	540.19	848.22	591.22	1073.91	1151.06	423.61	909.17	791.35	708.18	872.1	836.53	988.12	733.19	1030.12	836.53	571.05	703.28	262.2	693.58	343.89	260.38	82.29	80.01	164.42	173.85	144.01	180.02	127.89	237.86	195.72	156.59	154.42	201.25	97.36	115.16	470.14	228.13	85.22	305.55	312.0	224.97	155.5	140.04	113.56	305.55	332.14	514.56	205.5	199.85
CCDC146	267.73	88.26	36.79	47.5	105.89	77.79	104.42	56.68	679.29	293.07	206.94	85.22	103.69	334.46	94.01	228.13	379.04	154.42	139.07	221.86	90.14	312.0	223.41	111.99	400.71	248.0	212.78	112.77	72.52	142.01	43.94	144.01	209.84	75.11	86.43	71.0	287.01	145.02	170.25	69.03	226.54	162.14	163.28	119.26	547.75	71.0	106.63	291.04	204.07	307.69	480.04	295.11	223.41	138.1	112.77	279.14	163.28	209.84	361.04	144.01	134.3	291.04	253.23	191.67	339.14	220.32	559.28	612.11	486.75	775.05	409.15	769.69	392.44	802.41	540.19	198.47	309.83	379.04	753.83	211.31	470.14	187.71	237.86	212.78	591.22	341.51	46.5	226.54	373.81	802.41	373.81	497.0	808.0	273.37	255.0	674.59	212.78	318.57	34.26	273.37	228.13	363.56	8.85	15.45	77.25	54.33	26.1	28.24	18.29	145.02	112.77	13.83	35.25	32.82	214.27	902.89	166.73	146.03	7.57	146.03	19.53	47.84	152.28	48.87	148.09	84.04	88.26	1135.2	71.5	60.82
CCDC61	116.78	275.28	118.43	154.42	180.02	327.56	183.82	197.09	136.19	255.0	242.88	110.43	392.44	146.03	301.33	255.0	429.54	171.45	241.19	303.44	339.14	220.32	316.37	158.79	144.01	239.52	208.38	162.14	198.47	191.67	178.77	221.86	234.57	258.57	129.69	258.57	260.38	264.03	129.69	185.11	277.2	237.86	198.47	201.25	163.28	162.14	314.17	175.07	165.57	205.5	400.71	218.79	212.78	226.54	198.47	178.77	237.86	190.34	303.44	152.28	194.36	164.42	366.09	218.79	271.48	173.85	191.67	251.48	323.03	297.17	212.78	287.01	384.34	177.53	371.22	185.11	264.03	239.52	356.05	198.47	251.48	289.02	208.38	271.48	248.0	325.29	246.28	248.0	279.14	334.46	400.71	269.6	279.14	289.02	327.56	334.46	287.01	281.09	218.79	285.03	265.87	166.73	128.79	31.0	85.82	149.12	105.15	167.9	142.01	201.25	275.28	138.1	117.6	134.3	262.2	279.14	162.14	170.25	85.22	116.78	155.5	170.25	143.01	143.01	101.54	249.73	127.89	808.0	127.89	241.19
CCDC84	271.48	371.22	173.85	151.22	204.07	287.01	260.38	228.13	356.05	371.22	540.19	181.28	201.25	161.02	511.0	177.53	198.47	281.09	241.19	356.05	483.38	246.28	579.04	454.09	563.18	703.28	551.56	473.41	483.38	497.0	346.29	595.34	563.18	389.72	363.56	490.14	896.64	532.74	454.09	470.14	780.44	575.03	1088.92	480.04	466.88	830.75	161.02	490.14	616.37	1286.18	733.19	486.75	583.07	551.56	723.08	361.04	429.54	312.0	708.18	409.15	341.51	764.36	521.76	507.46	1350.18	866.07	1487.87	961.07	934.76	759.08	718.08	1051.79	1313.23	941.27	1044.52	688.78	785.88	934.76	1331.57	928.3	1529.73	872.1	884.29	1467.37	1030.12	909.17	309.83	780.44	947.83	934.76	693.58	660.68	684.02	878.17	1304.15	884.29	540.19	848.22	389.72	612.11	638.15	536.45	58.3	178.77	551.56	105.15	195.72	79.45	64.8	234.57	234.57	76.17	135.24	70.51	934.76	480.04	486.75	195.72	31.45	145.02	82.29	149.12	232.94	139.07	234.57	287.01	307.69	638.15	339.14	187.71
CDK10	450.94	718.08	518.15	547.75	571.05	928.3	791.35	633.73	684.02	1508.65	1388.16	775.05	988.12	1199.98	1477.58	1001.93	1457.23	1175.27	651.58	808.0	1651.0	967.76	1417.35	1467.37	2104.58	2090.03	1030.12	1781.89	1477.58	921.88	1369.04	1268.46	1561.89	860.08	1127.35	1378.57	708.18	1685.71	1359.57	836.53	1477.58	1757.34	1467.37	854.13	1427.22	981.29	1008.9	2303.12	1745.2	3467.27	2367.9	2061.24	1159.07	1259.69	1519.15	591.22	1250.98	1191.69	1340.84	995.0	848.22	1561.89	1594.73	1088.92	1991.0	1950.0	2573.36	2664.15	2591.27	2209.26	1909.85	2417.67	2956.17	2090.03	2935.74	1757.34	2591.27	1963.57	1870.53	1467.37	2502.97	1844.76	1883.54	1322.37	2627.46	3168.41	1159.07	2434.5	2224.63	2400.97	2485.67	1757.34	2609.3	1427.22	2209.26	2645.74	1870.53	2061.24	2090.03	2573.36	2133.97	1096.5	255.0	178.77	567.1	376.41	429.54	540.19	521.76	890.44	967.76	206.94	438.59	629.35	1216.75	1233.75	1733.13	713.11	195.72	612.11	684.02	607.87	389.72	403.5	251.48	884.29	674.59	2935.74	366.09	808.0
CDK3	48.18	226.54	55.49	53.19	130.6	142.01	82.29	90.14	100.83	341.51	258.57	76.17	133.36	211.31	220.32	169.07	162.14	209.84	98.73	77.79	151.22	117.6	363.56	129.69	162.14	273.37	155.5	96.68	117.6	101.54	139.07	127.0	246.28	81.71	79.45	122.64	134.3	134.3	232.94	176.29	156.59	107.38	162.14	134.3	356.05	142.01	176.29	153.34	348.71	190.34	409.15	348.71	118.43	194.36	198.47	116.78	149.12	110.43	148.09	81.14	104.42	267.73	178.77	135.24	148.09	206.94	332.14	269.6	281.09	214.27	297.17	356.05	470.14	363.56	555.41	248.0	348.71	327.56	395.18	190.34	447.82	253.23	301.33	318.57	334.46	423.61	172.65	316.37	279.14	320.8	309.83	320.8	429.54	170.25	295.11	473.41	224.97	291.04	212.78	343.89	108.14	204.07	16.51	33.78	70.01	23.93	20.26	61.68	14.78	67.12	128.79	25.72	41.52	19.68	239.52	226.54	353.59	91.41	5.36	37.85	22.92	83.45	25.91	24.46	21.78	110.43	53.95	525.39	74.58	105.89
CEP192	98.73	211.31	141.02	169.07	122.64	95.34	133.36	149.12	175.07	438.59	387.02	202.66	397.93	241.19	260.38	255.0	234.57	395.18	371.22	260.38	303.44	454.09	395.18	287.01	329.84	309.83	208.38	139.07	256.78	163.28	224.97	178.77	187.71	165.57	246.28	241.19	267.73	189.02	447.82	223.41	220.32	172.65	447.82	283.05	329.84	273.37	283.05	211.31	353.59	420.68	327.56	186.4	191.67	224.97	205.5	314.17	316.37	231.32	336.79	289.02	178.77	199.85	312.0	171.45	366.09	176.29	417.77	457.25	633.73	389.72	305.55	409.15	389.72	371.22	289.02	325.29	371.22	289.02	543.96	273.37	353.59	262.2	363.56	301.33	346.29	435.55	165.57	327.56	239.52	392.44	356.05	366.09	368.65	209.84	283.05	555.41	191.67	258.57	234.57	339.14	262.2	204.07	82.87	212.78	218.79	112.77	126.12	206.94	102.97	182.55	135.24	65.72	80.01	78.89	229.72	170.25	147.06	140.04	78.34	65.26	63.0	167.9	114.36	121.79	110.43	147.06	73.03	241.19	182.55	202.66
