	GTEX.ZYFG.1926.SM.5GID5	GTEX.WFON.1426.SM.4LVMT	GTEX.U3ZH.1326.SM.4DXSF	GTEX.13G51.2126.SM.5IJD9	GTEX.YJ8O.1426.SM.5PNV9	GTEX.139TS.2226.SM.5J2N1	GTEX.139TS.1926.SM.5IJFO	GTEX.131YS.2926.SM.5EGKI	GTEX.ZPU1.1726.SM.4WWFV	GTEX.11ZTS.1526.SM.5N9G7	GTEX.111YS.1626.SM.5GZZ9	GTEX.ZYFG.1826.SM.5GZWX	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Y8LW.1226.SM.4WWDP	GTEX.R55G.1226.SM.48FDC	GTEX.14E6E.1526.SM.5RQIG	GTEX.11DXY.2026.SM.5N9CZ	GTEX.1212Z.1826.SM.5FQSH	GTEX.14E6E.1726.SM.5S2R6	GTEX.11DXX.1826.SM.5H126	GTEX.11ZTT.1626.SM.5EQKR	GTEX.117XS.2226.SM.5GIE1	GTEX.ZP4G.1526.SM.57WE5	GTEX.13CF2.1826.SM.5N9GK	GTEX.OXRL.1426.SM.3NM9E	GTEX.ZYFC.2626.SM.5NQ6S	GTEX.WHWD.1526.SM.4OORV	GTEX.1399S.1926.SM.5J2M5	GTEX.11TTK.2426.SM.5PNYO	GTEX.13D11.0826.SM.5KLZJ	GTEX.11P81.1426.SM.5P9JN	GTEX.11PRG.2026.SM.5GU5F	GTEX.WHPG.1626.SM.4M1ZL	GTEX.X15G.1526.SM.4PQZM	GTEX.13OW8.2726.SM.5L3FZ	GTEX.YECK.2826.SM.5IFHF	GTEX.13VXT.2026.SM.5L3EW	GTEX.12WSD.2626.SM.5EGJE	GTEX.UJMC.1326.SM.4IHLS	GTEX.P4PP.1426.SM.3NM9L	GTEX.13111.1926.SM.5GCOL	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.ZPIC.2626.SM.57WE2	GTEX.ZVT2.1926.SM.5GU5T	GTEX.ZYY3.2226.SM.5E45A	GTEX.147JS.2626.SM.5S2UX	GTEX.1122O.1526.SM.5N9CL	GTEX.11P7K.1826.SM.5HL5A	GTEX.1399R.2126.SM.5K7WZ	GTEX.T6MO.0826.SM.4DM51	GTEX.OHPM.1426.SM.3TW8Y	GTEX.XPVG.1826.SM.4B64X	GTEX.11DXZ.1726.SM.5H12M	GTEX.V955.1726.SM.4JBHF	GTEX.11EMC.1426.SM.5N9E4	GTEX.11P81.1126.SM.5GU5G	GTEX.TKQ2.1326.SM.4DXT9	GTEX.11ZVC.2126.SM.5EGJ1	GTEX.11ONC.1926.SM.5GU75	GTEX.11GS4.1826.SM.5HL4T	GTEX.13OW6.2226.SM.5N9FL	GTEX.139UW.2326.SM.5KM1Y	GTEX.14DAR.1526.SM.5RQIX	GTEX.131XE.1026.SM.5EGKE	GTEX.13QBU.2026.SM.5KLZB	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZT9W.1726.SM.51MS3	GTEX.13FH7.1626.SM.5J2O9	GTEX.11GSP.1626.SM.5986N	GTEX.12ZZX.2726.SM.5N9FT	GTEX.YF7O.1626.SM.5IFII	GTEX.XV7Q.2226.SM.4BRVY	GTEX.14A5I.2426.SM.5Q5CP	GTEX.132NY.2726.SM.5PNY2	GTEX.QEL4.1926.SM.4R1JI	GTEX.11EI6.2626.SM.5PNVT	GTEX.O5YW.1426.SM.3MJHF	GTEX.12C56.0626.SM.5EGGC	GTEX.13OW5.2626.SM.5MR3M	GTEX.YJ8O.0326.SM.5RQJW	GTEX.11NUK.1726.SM.5A5L2	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.13113.1026.SM.5LZWM	TCGA.KM.8438.01A.11R.2315.07	TCGA.KL.8324.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KO.8408.01A.11R.2315.07	TCGA.KO.8414.01A.11R.2315.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.SX.A7SL.01A.11R.A355.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.M7.A720.01A.12R.A32O.07	TCGA.M7.A724.01A.12R.A32O.07	GTEX.12BJ1.1226.SM.5LUAE	GTEX.V1D1.1926.SM.4JBGX	GTEX.YB5E.1826.SM.5IFI4	GTEX.ZUA1.2826.SM.59HLE	GTEX.Y9LG.1826.SM.4VBQC	GTEX.11TUW.2126.SM.5GU7B	TCGA.AG.3732.11A.01R.1660.07	GTEX.13CF2.2426.SM.5LZYL	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.PX3G.1526.SM.48U11	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.QXCU.1926.SM.48FE4	GTEX.Y5V6.1326.SM.4VDTF	GTEX.QLQW.0726.SM.447AA
NCK1	563.18	420.68	684.02	825.0	612.11	476.71	567.1	693.58	591.22	438.59	848.22	633.73	514.56	1008.9	688.78	450.94	579.04	583.07	775.05	389.72	896.64	579.04	559.28	579.04	575.03	728.11	909.17	629.35	860.08	733.19	660.68	713.11	616.37	563.18	559.28	547.75	693.58	688.78	423.61	718.08	674.59	483.38	521.76	759.08	860.08	633.73	503.95	647.07	638.15	808.0	514.56	674.59	343.89	647.07	656.11	480.04	693.58	684.02	571.05	571.05	575.03	480.04	660.68	463.65	669.92	532.74	444.72	629.35	616.37	480.04	647.07	567.1	660.68	595.34	616.37	733.19	543.96	780.44	450.94	688.78	392.44	371.22	293.07	466.88	429.54	281.09	148.09	152.28	251.48	246.28	334.46	193.01	281.09	305.55	262.2	180.02	281.09	447.82	241.19	1008.9	277.2	395.18	289.02	551.56	559.28	723.08	532.74	743.43	642.59	339.14	283.05	218.79	323.03	426.57	403.5
NEDD1	221.86	85.22	241.19	228.13	190.34	135.24	118.43	162.14	175.07	158.79	244.57	204.07	111.21	206.94	105.89	58.71	157.68	182.55	255.0	82.87	226.54	177.53	170.25	167.9	189.02	220.32	193.01	96.01	221.86	102.25	177.53	164.42	253.23	159.9	182.55	164.42	249.73	198.47	106.63	144.01	269.6	120.1	116.78	244.57	79.45	147.06	166.73	87.03	256.78	256.78	178.77	124.37	95.34	111.21	165.57	151.22	269.6	125.24	202.66	208.38	234.57	148.09	190.34	123.5	208.38	194.36	115.97	223.41	215.77	144.01	185.11	241.19	201.25	146.03	171.45	162.14	135.24	205.5	115.97	130.6	144.01	138.1	108.14	135.24	147.06	104.42	84.04	55.1	102.25	74.06	96.68	140.04	102.97	30.78	78.89	17.9	45.53	158.79	63.89	420.68	135.24	187.71	159.9	201.25	135.24	320.8	299.25	339.14	275.28	95.34	109.66	59.97	133.36	90.77	127.89
NEK7	785.88	327.56	808.0	1135.2	785.88	759.08	379.04	866.07	733.19	743.43	941.27	759.08	463.65	1001.93	417.77	368.65	753.83	723.08	1175.27	356.05	961.07	1037.29	974.5	1030.12	708.18	961.07	878.17	379.04	884.29	438.59	629.35	825.0	928.3	559.28	884.29	780.44	981.29	819.3	381.68	638.15	995.0	414.87	521.76	995.0	480.04	620.67	698.41	532.74	1030.12	1030.12	836.53	493.56	309.83	420.68	656.11	866.07	872.1	441.64	915.51	872.1	974.5	713.11	988.12	403.5	764.36	848.22	429.54	934.76	825.0	791.35	988.12	866.07	830.75	612.11	748.61	490.14	796.86	718.08	346.29	660.68	638.15	915.51	567.1	825.0	665.29	305.55	312.0	248.0	305.55	297.17	312.0	363.56	251.48	109.66	281.09	91.41	83.45	303.44	93.35	1208.34	299.25	555.41	356.05	660.68	397.93	1883.54	583.07	1331.57	1397.83	473.41	540.19	312.0	486.75	587.13	414.87
PBRM1	511.0	166.73	503.95	305.55	312.0	198.47	206.94	312.0	476.71	244.57	599.49	450.94	194.36	480.04	234.57	129.69	244.57	332.14	703.28	172.65	497.0	339.14	476.71	277.2	376.41	381.68	540.19	190.34	332.14	181.28	417.77	312.0	543.96	267.73	305.55	312.0	620.67	307.69	220.32	373.81	612.11	198.47	275.28	651.58	206.94	301.33	323.03	217.27	679.29	460.44	583.07	256.78	205.5	234.57	287.01	267.73	660.68	314.17	327.56	309.83	432.53	301.33	297.17	212.78	447.82	409.15	226.54	363.56	457.25	303.44	236.21	463.65	387.02	224.97	285.03	320.8	265.87	460.44	194.36	279.14	251.48	264.03	191.67	248.0	229.72	134.3	101.54	100.83	175.07	140.04	153.34	84.63	88.26	48.87	92.7	59.55	151.22	277.2	120.94	1096.5	293.07	490.14	320.8	532.74	301.33	647.07	246.28	813.63	1001.93	271.48	267.73	150.17	429.54	215.77	307.69
PCMTD1	1066.48	356.05	1457.23	941.27	921.88	532.74	420.68	708.18	941.27	796.86	1277.29	974.5	400.71	1304.15	486.75	334.46	579.04	896.64	1369.04	237.86	1001.93	860.08	791.35	848.22	848.22	1001.93	1183.45	358.54	836.53	426.57	693.58	896.64	1127.35	575.03	769.69	728.11	1233.75	748.61	432.53	688.78	1111.82	470.14	563.18	1369.04	480.04	890.44	738.29	392.44	1159.07	1250.98	1208.34	603.67	312.0	450.94	921.88	738.29	1286.18	616.37	688.78	830.75	896.64	733.19	775.05	379.04	1127.35	1051.79	486.75	854.13	934.76	753.83	728.11	785.88	1096.5	718.08	633.73	674.59	624.99	1104.13	406.31	679.29	872.1	934.76	555.41	780.44	928.3	444.72	409.15	241.19	228.13	480.04	429.54	256.78	314.17	82.87	251.48	105.15	239.52	759.08	234.57	2018.8	624.99	995.0	802.41	1487.87	616.37	1561.89	447.82	1639.59	1745.2	647.07	583.07	397.93	718.08	679.29	454.09
PCNP	2224.63	1119.56	2163.77	2555.58	2400.97	2047.0	1487.87	2178.83	1896.65	2004.85	2434.5	2319.15	1304.15	3168.41	1359.57	1175.27	2417.67	2591.27	2555.58	1199.98	2573.36	2502.97	2287.2	2451.44	2627.46	2451.44	2224.63	995.0	2935.74	1208.34	2047.0	2502.97	2701.35	2061.24	2682.69	2224.63	2627.46	2271.4	1388.16	1832.01	2895.31	1313.23	1697.45	2835.7	1051.79	2240.11	2287.2	1119.56	2976.74	2303.12	2573.36	1572.76	1111.82	1175.27	1857.6	2384.37	2537.92	1295.13	2178.83	2434.5	2682.69	2502.97	2777.33	1369.04	2209.26	2555.58	1628.26	2537.92	2520.38	2018.8	2796.65	1977.24	2119.22	2520.38	2287.2	1769.57	2303.12	2133.97	1359.57	2434.5	1733.13	2319.15	1806.78	2400.97	2434.5	1950.0	759.08	620.67	1066.48	1757.34	1572.76	928.3	1322.37	409.15	1417.35	514.56	1277.29	1950.0	1111.82	3820.7	2271.4	2047.0	2004.85	2855.44	2224.63	4575.41	1721.16	3901.01	3665.02	1208.34	1242.34	1250.98	1639.59	1870.53	1628.26
PDS5B	441.64	177.53	414.87	373.81	312.0	172.65	167.9	299.25	336.79	170.25	595.34	518.15	206.94	420.68	251.48	103.69	206.94	305.55	473.41	164.42	447.82	384.34	384.34	237.86	334.46	361.04	356.05	183.82	299.25	189.02	376.41	363.56	339.14	236.21	332.14	334.46	409.15	293.07	149.12	295.11	457.25	153.34	267.73	426.57	251.48	271.48	299.25	185.11	454.09	447.82	356.05	232.94	167.9	229.72	269.6	189.02	490.14	223.41	323.03	244.57	376.41	205.5	343.89	164.42	563.18	358.54	183.82	363.56	323.03	287.01	242.88	341.51	373.81	246.28	299.25	297.17	273.37	334.46	202.66	341.51	307.69	242.88	146.03	234.57	287.01	99.43	78.34	98.04	114.36	82.29	115.16	120.94	154.42	34.75	121.79	38.12	167.9	332.14	177.53	813.63	277.2	463.65	195.72	599.49	567.1	551.56	171.45	651.58	595.34	178.77	277.2	165.57	332.14	258.57	180.02
PDZRN4	493.56	11.04	409.15	358.54	299.25	241.19	88.88	329.84	373.81	343.89	638.15	414.87	7.75	547.75	40.64	5.92	143.01	269.6	521.76	10.16	713.11	327.56	387.02	339.14	435.55	373.81	389.72	5.59	293.07	14.03	444.72	283.05	409.15	289.02	412.0	303.44	532.74	351.14	106.63	146.03	493.56	3.96	171.45	599.49	8.13	199.85	314.17	8.99	603.67	656.11	426.57	175.07	7.75	8.78	164.42	301.33	500.46	105.15	381.68	287.01	438.59	229.72	412.0	8.65	435.55	507.46	120.94	529.06	684.02	371.22	305.55	507.46	373.81	231.32	264.03	104.42	293.07	316.37	7.51	258.57	175.07	165.57	187.71	256.78	395.18	0.0	27.05	4.13	189.02	144.01	223.41	0.0	0.31	1.79	0.0	3.2	5.28	239.52	0.29	1225.22	19.53	197.09	23.93	397.93	145.02	2240.11	16.15	1322.37	1457.23	10.88	25.72	8.65	346.29	99.43	21.63
PJA2	1769.57	540.19	1769.57	1769.57	1498.22	934.76	684.02	1159.07	1467.37	1447.15	2163.77	1896.65	647.07	2255.7	890.44	785.88	1135.2	1407.55	2485.67	587.13	2319.15	1427.22	1529.73	1378.57	2061.24	1594.73	1832.01	567.1	1519.15	674.59	1467.37	1407.55	2400.97	1208.34	1487.87	1175.27	2193.99	1617.0	642.59	1388.16	2434.5	563.18	954.43	2573.36	703.28	1286.18	1295.13	624.99	2682.69	1936.53	1832.01	928.3	417.77	764.36	988.12	1111.82	2018.8	884.29	1697.45	1447.15	1819.35	1250.98	1819.35	669.92	1745.2	1883.54	854.13	1605.83	2061.24	1340.84	1250.98	2104.58	1685.71	1059.11	1259.69	909.17	1199.98	1519.15	547.75	1233.75	988.12	1295.13	954.43	1304.15	1135.2	514.56	423.61	389.72	376.41	555.41	708.18	785.88	414.87	366.09	356.05	476.71	470.14	988.12	395.18	4123.49	947.83	1268.46	1081.39	2163.77	954.43	2976.74	703.28	3146.52	2997.45	679.29	514.56	361.04	1015.93	884.29	693.58
PPM1D	234.57	170.25	258.57	150.17	165.57	157.68	130.6	178.77	173.85	91.41	264.03	209.84	153.34	212.78	153.34	156.59	122.64	124.37	217.27	126.12	246.28	164.42	193.01	121.79	182.55	186.4	283.05	146.03	258.57	177.53	255.0	193.01	172.65	124.37	228.13	148.09	231.32	125.24	137.14	186.4	209.84	164.42	187.71	201.25	185.11	151.22	183.82	190.34	159.9	218.79	165.57	215.77	105.89	158.79	204.07	157.68	267.73	149.12	121.79	157.68	147.06	133.36	162.14	180.02	220.32	195.72	171.45	231.32	165.57	162.14	152.28	215.77	273.37	175.07	154.42	205.5	175.07	255.0	156.59	205.5	104.42	98.04	129.69	95.34	120.1	63.0	60.39	36.27	37.85	56.68	46.84	46.5	127.0	118.43	265.87	65.26	48.52	144.01	44.89	190.34	84.63	117.6	83.45	158.79	93.35	198.47	131.51	234.57	158.79	126.12	170.25	108.14	109.66	187.71	120.94
PRKD3	571.05	99.43	412.0	297.17	348.71	293.07	158.79	332.14	314.17	336.79	497.0	633.73	158.79	412.0	156.59	72.52	281.09	281.09	567.1	127.0	435.55	371.22	395.18	283.05	423.61	389.72	381.68	121.79	341.51	150.17	318.57	473.41	438.59	299.25	463.65	291.04	518.15	312.0	159.9	218.79	483.38	130.6	206.94	559.28	139.07	301.33	281.09	109.66	473.41	358.54	429.54	199.85	132.44	143.01	392.44	305.55	435.55	197.09	297.17	303.44	332.14	267.73	373.81	127.0	323.03	507.46	211.31	414.87	444.72	395.18	309.83	476.71	351.14	287.01	293.07	232.94	348.71	341.51	172.65	371.22	262.2	248.0	159.9	248.0	234.57	68.55	88.26	51.71	62.56	45.53	87.03	68.55	137.14	57.08	100.83	39.5	58.71	186.4	23.93	612.11	109.66	220.32	92.05	260.38	212.78	728.11	137.14	373.81	438.59	172.65	182.55	139.07	232.94	175.07	165.57
PSIP1	1127.35	444.72	1378.57	1119.56	1313.23	769.69	603.67	1037.29	1151.06	713.11	1143.1	1199.98	536.45	1044.52	409.15	239.52	902.89	1037.29	1183.45	381.68	1111.82	1151.06	954.43	902.89	1037.29	1183.45	1286.18	381.68	1242.34	476.71	1104.13	1191.69	1295.13	848.22	1037.29	967.76	1159.07	1183.45	463.65	743.43	1467.37	493.56	591.22	1208.34	379.04	896.64	1023.0	417.77	1135.2	1259.69	1088.92	620.67	426.57	466.88	802.41	703.28	1295.13	583.07	995.0	1066.48	1233.75	836.53	759.08	463.65	1216.75	995.0	679.29	1225.22	860.08	1008.9	934.76	1015.93	1225.22	902.89	1044.52	854.13	1008.9	934.76	583.07	1037.29	1030.12	1225.22	728.11	961.07	1268.46	759.08	211.31	248.0	226.54	733.19	753.83	575.03	389.72	39.79	583.07	109.66	420.68	543.96	155.5	1769.57	400.71	703.28	389.72	836.53	669.92	1936.53	780.44	1909.85	2018.8	733.19	638.15	660.68	612.11	753.83	674.59
RAB23	1059.11	55.49	854.13	802.41	703.28	571.05	285.03	830.75	854.13	872.1	1191.69	890.44	65.26	1304.15	195.72	45.53	575.03	723.08	1397.83	62.12	974.5	854.13	733.19	713.11	890.44	703.28	915.51	69.52	759.08	101.54	802.41	748.61	1066.48	665.29	713.11	679.29	961.07	759.08	251.48	511.0	1225.22	51.71	376.41	1199.98	49.56	684.02	791.35	55.49	1359.57	947.83	1183.45	348.71	45.85	73.03	551.56	616.37	967.76	339.14	819.3	1001.93	995.0	460.44	967.76	53.95	836.53	974.5	348.71	842.36	1268.46	743.43	674.59	915.51	759.08	563.18	764.36	253.23	785.88	780.44	74.06	616.37	297.17	361.04	466.88	473.41	438.59	27.05	33.78	19.53	33.3	24.11	84.04	29.91	72.01	12.74	40.36	11.47	50.98	583.07	105.15	1909.85	343.89	500.46	371.22	679.29	325.29	6561.36	169.07	2193.99	2255.7	140.04	87.65	73.03	307.69	183.82	97.36
RAB3GAP1	738.29	414.87	796.86	674.59	571.05	470.14	420.68	536.45	785.88	511.0	902.89	785.88	447.82	718.08	490.14	368.65	473.41	521.76	909.17	368.65	759.08	555.41	698.41	518.15	748.61	620.67	759.08	409.15	595.34	417.77	743.43	518.15	743.43	595.34	567.1	511.0	759.08	575.03	470.14	595.34	802.41	441.64	555.41	890.44	473.41	518.15	493.56	444.72	981.29	796.86	748.61	567.1	341.51	514.56	587.13	470.14	878.17	616.37	647.07	587.13	665.29	575.03	603.67	460.44	698.41	656.11	463.65	579.04	896.64	511.0	486.75	733.19	723.08	466.88	543.96	511.0	536.45	703.28	435.55	511.0	532.74	587.13	379.04	457.25	599.49	287.01	202.66	264.03	242.88	199.85	264.03	318.57	363.56	316.37	438.59	189.02	211.31	607.87	327.56	1268.46	457.25	595.34	490.14	723.08	507.46	961.07	490.14	884.29	878.17	490.14	429.54	429.54	529.06	438.59	698.41
RABGAP1	1268.46	412.0	1001.93	872.1	934.76	423.61	366.09	665.29	1191.69	483.38	1467.37	1268.46	480.04	1369.04	500.46	277.2	457.25	620.67	1508.65	379.04	1259.69	753.83	967.76	733.19	872.1	808.0	1037.29	507.46	764.36	470.14	1023.0	540.19	1073.91	651.58	753.83	748.61	1044.52	651.58	540.19	708.18	1277.29	518.15	642.59	1551.09	529.06	629.35	651.58	583.07	1268.46	1081.39	1051.79	679.29	429.54	417.77	638.15	473.41	1135.2	470.14	647.07	536.45	974.5	616.37	909.17	595.34	974.5	1096.5	583.07	941.27	1437.15	651.58	591.22	878.17	921.88	486.75	521.76	543.96	591.22	961.07	579.04	620.67	713.11	780.44	587.13	647.07	1151.06	417.77	205.5	183.82	262.2	417.77	248.0	332.14	221.86	151.22	256.78	98.73	397.93	884.29	314.17	1628.26	629.35	954.43	607.87	872.1	753.83	1651.0	309.83	1745.2	1819.35	314.17	389.72	277.2	591.22	414.87	329.84
RB1CC1	490.14	215.77	381.68	323.03	305.55	223.41	148.09	262.2	332.14	241.19	500.46	389.72	194.36	441.64	234.57	249.73	234.57	264.03	518.15	169.07	373.81	301.33	323.03	239.52	379.04	307.69	384.34	178.77	329.84	228.13	334.46	314.17	414.87	205.5	305.55	267.73	507.46	253.23	178.77	323.03	511.0	221.86	318.57	466.88	293.07	246.28	232.94	229.72	409.15	325.29	384.34	287.01	139.07	195.72	232.94	231.32	493.56	244.57	232.94	312.0	248.0	248.0	346.29	178.77	303.44	454.09	208.38	583.07	490.14	223.41	293.07	327.56	309.83	285.03	201.25	295.11	239.52	358.54	202.66	316.37	234.57	339.14	171.45	226.54	414.87	283.05	206.94	110.43	223.41	366.09	332.14	169.07	131.51	18.84	180.02	22.1	134.3	356.05	115.97	748.61	305.55	341.51	366.09	620.67	281.09	480.04	249.73	432.53	616.37	209.84	387.02	297.17	723.08	389.72	309.83
REEP3	529.06	193.01	441.64	575.03	438.59	373.81	214.27	412.0	368.65	435.55	599.49	525.39	236.21	575.03	400.71	466.88	429.54	450.94	753.83	256.78	587.13	511.0	551.56	514.56	518.15	543.96	490.14	221.86	665.29	279.14	389.72	400.71	647.07	325.29	435.55	454.09	703.28	559.28	214.27	454.09	624.99	232.94	265.87	616.37	297.17	438.59	389.72	363.56	713.11	571.05	460.44	334.46	157.68	297.17	414.87	406.31	555.41	232.94	429.54	490.14	595.34	454.09	536.45	269.6	412.0	583.07	226.54	500.46	483.38	432.53	486.75	480.04	454.09	353.59	406.31	295.11	441.64	493.56	181.28	420.68	339.14	507.46	334.46	403.5	358.54	620.67	303.44	191.67	190.34	842.36	178.77	197.09	147.06	113.56	145.02	141.02	208.38	305.55	226.54	1081.39	287.01	567.1	297.17	547.75	493.56	785.88	185.11	981.29	1023.0	283.05	279.14	244.57	307.69	463.65	307.69
RERE	1806.78	954.43	1457.23	1350.18	1313.23	1313.23	890.44	1199.98	2485.67	1081.39	2090.03	1950.0	974.5	1313.23	808.0	563.18	1008.9	1143.1	1870.53	796.86	1685.71	1268.46	1594.73	1088.92	1350.18	1529.73	2004.85	961.07	1350.18	854.13	1594.73	1286.18	1639.59	1159.07	2119.22	1304.15	1991.0	1369.04	1191.69	1127.35	1923.14	941.27	1322.37	1697.45	1295.13	934.76	1135.2	988.12	1572.76	1551.09	1733.13	1781.89	738.29	967.76	1561.89	1023.0	1662.49	1304.15	1059.11	1437.15	1143.1	1175.27	1651.0	974.5	1628.26	2075.59	1191.69	1519.15	2090.03	1529.73	1457.23	1651.0	1674.06	1199.98	1268.46	1143.1	1143.1	1651.0	974.5	1529.73	1617.0	1950.0	1870.53	1639.59	1781.89	579.04	775.05	738.29	780.44	575.03	595.34	620.67	599.49	1417.35	785.88	232.94	3325.99	2061.24	2520.38	2875.3	1447.15	1819.35	1936.53	2004.85	1340.84	1794.29	579.04	2609.3	3212.66	1233.75	896.64	769.69	3060.45	1135.2	1477.58
RNF38	511.0	237.86	616.37	500.46	503.95	376.41	244.57	435.55	559.28	341.51	607.87	514.56	258.57	651.58	226.54	163.28	329.84	429.54	638.15	215.77	483.38	476.71	511.0	438.59	529.06	480.04	642.59	201.25	616.37	228.13	591.22	400.71	796.86	353.59	444.72	356.05	698.41	476.71	297.17	403.5	723.08	244.57	387.02	638.15	229.72	341.51	414.87	253.23	638.15	684.02	616.37	346.29	204.07	264.03	409.15	341.51	665.29	295.11	397.93	503.95	493.56	366.09	420.68	255.0	599.49	460.44	325.29	603.67	642.59	351.14	476.71	460.44	612.11	392.44	447.82	371.22	460.44	480.04	253.23	420.68	426.57	497.0	323.03	490.14	368.65	356.05	178.77	120.94	165.57	314.17	289.02	267.73	182.55	176.29	176.29	100.83	96.01	301.33	105.15	830.75	244.57	316.37	249.73	457.25	260.38	981.29	162.14	1350.18	1857.6	381.68	353.59	209.84	480.04	379.04	361.04
RSBN1L	305.55	167.9	325.29	323.03	314.17	204.07	187.71	264.03	289.02	236.21	406.31	325.29	162.14	368.65	194.36	193.01	271.48	273.37	341.51	142.01	351.14	255.0	295.11	246.28	323.03	368.65	273.37	169.07	226.54	182.55	236.21	275.28	295.11	224.97	297.17	206.94	339.14	255.0	172.65	269.6	376.41	187.71	199.85	412.0	178.77	291.04	239.52	157.68	400.71	291.04	303.44	180.02	198.47	211.31	277.2	217.27	301.33	223.41	246.28	275.28	271.48	283.05	271.48	187.71	285.03	483.38	194.36	303.44	397.93	258.57	273.37	406.31	273.37	231.32	217.27	255.0	217.27	297.17	183.82	223.41	187.71	226.54	164.42	228.13	229.72	98.73	115.97	85.82	123.5	132.44	89.51	144.01	98.04	18.03	141.02	32.59	84.63	169.07	84.04	432.53	131.51	195.72	120.1	281.09	143.01	412.0	104.42	497.0	473.41	135.24	209.84	126.12	169.07	141.02	148.09
SEC24B	457.25	246.28	521.76	381.68	356.05	264.03	248.0	318.57	432.53	291.04	579.04	438.59	256.78	420.68	318.57	256.78	271.48	341.51	624.99	242.88	400.71	351.14	384.34	309.83	366.09	435.55	525.39	244.57	493.56	289.02	511.0	397.93	414.87	265.87	409.15	336.79	567.1	327.56	285.03	381.68	473.41	251.48	329.84	511.0	293.07	297.17	363.56	295.11	376.41	450.94	525.39	387.02	232.94	316.37	297.17	281.09	518.15	299.25	305.55	327.56	348.71	381.68	409.15	301.33	423.61	476.71	275.28	441.64	563.18	323.03	283.05	432.53	450.94	285.03	320.8	379.04	346.29	507.46	269.6	341.51	269.6	336.79	239.52	348.71	299.25	373.81	366.09	400.71	348.71	387.02	314.17	371.22	157.68	88.26	176.29	198.47	202.66	339.14	197.09	759.08	239.52	371.22	217.27	463.65	358.54	490.14	234.57	624.99	693.58	314.17	336.79	217.27	571.05	318.57	400.71
SENP2	426.57	220.32	463.65	406.31	371.22	277.2	224.97	316.37	432.53	373.81	536.45	457.25	283.05	529.06	246.28	148.09	215.77	341.51	507.46	180.02	463.65	351.14	373.81	297.17	493.56	387.02	387.02	224.97	412.0	256.78	400.71	323.03	441.64	323.03	358.54	287.01	507.46	379.04	312.0	348.71	563.18	221.86	303.44	529.06	279.14	366.09	353.59	256.78	579.04	423.61	483.38	275.28	244.57	246.28	314.17	327.56	493.56	265.87	358.54	341.51	395.18	301.33	318.57	224.97	420.68	454.09	246.28	406.31	540.19	262.2	224.97	463.65	373.81	358.54	309.83	293.07	387.02	400.71	323.03	277.2	260.38	334.46	194.36	224.97	457.25	218.79	141.02	150.17	287.01	262.2	371.22	178.77	106.63	105.89	100.83	180.02	146.03	351.14	151.22	547.75	258.57	497.0	249.73	540.19	260.38	490.14	136.19	384.34	497.0	287.01	255.0	256.78	435.55	356.05	392.44
SEPT10	1359.57	713.11	1191.69	1508.65	1304.15	1015.93	603.67	1268.46	1044.52	1001.93	1437.15	1407.55	583.07	1572.76	665.29	866.07	1059.11	1104.13	1617.0	583.07	1135.2	1268.46	1175.27	1259.69	1340.84	1331.57	1340.84	713.11	1721.16	825.0	1487.87	1199.98	1529.73	1073.91	1259.69	1127.35	1594.73	1304.15	723.08	1183.45	1697.45	769.69	842.36	1572.76	775.05	1111.82	1096.5	728.11	1561.89	1331.57	1437.15	866.07	511.0	698.41	954.43	1159.07	1487.87	819.3	896.64	1467.37	1388.16	1008.9	1561.89	785.88	961.07	1277.29	854.13	1498.22	1709.26	1104.13	1191.69	1388.16	1242.34	934.76	1175.27	802.41	1081.39	1304.15	571.05	1051.79	825.0	884.29	884.29	1096.5	941.27	555.41	358.54	429.54	237.86	555.41	450.94	571.05	379.04	88.26	529.06	224.97	161.02	698.41	150.17	2004.85	669.92	764.36	500.46	1044.52	540.19	2664.15	1175.27	1977.24	2090.03	607.87	775.05	470.14	764.36	748.61	693.58
