	GTEX.SE5C.1026.SM.4BRUG	TCGA.AZ.6605.11A.01R.1839.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13CF2.2426.SM.5LZYL	GTEX.WZTO.2126.SM.4PQYW	GTEX.T5JC.1926.SM.4DM6Q	GTEX.13X6H.1626.SM.5Q5CT	GTEX.13O3Q.2126.SM.5KM4C	GTEX.U8T8.1226.SM.4E3IH	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.1399U.1626.SM.5P9J3	GTEX.11EQ9.1226.SM.5987E	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UPIC.1826.SM.4IHKC	GTEX.13N1W.2026.SM.5K7YU	GTEX.R55D.1526.SM.48FEJ	GTEX.TKQ1.0526.SM.4DXTG	GTEX.XPVG.1526.SM.4B66C	TCGA.AX.A2HC.11A.11R.A32Y.07	TCGA.FL.A1YF.11A.12R.A16F.07	TCGA.FL.A1YI.11A.11R.A16F.07	GTEX.13N11.1126.SM.5KM41	GTEX.TMMY.2226.SM.4DXTN	GTEX.POMQ.1226.SM.3P61F	GTEX.S341.1026.SM.4AD71	GTEX.RU1J.1026.SM.46MUR	GTEX.XUZC.0926.SM.4BOQF	GTEX.WEY5.0726.SM.4LMID	GTEX.S7SF.0826.SM.4AD4W	GTEX.P78B.2526.SM.3P5ZY
SMAD6	43.32	133.36	0.0	0.06	142.01	248.0	63.0	54.33	137.14	61.25	66.65	48.52	65.72	72.52	71.5	149.12	118.43	47.84	60.39	94.67	130.6	265.87	395.18	363.56	190.34	426.57	309.83	249.73	267.73	145.02	181.28	2400.97	262.2
SMAD7	343.89	312.0	169.07	872.1	587.13	387.02	183.82	122.64	295.11	151.22	285.03	102.97	171.45	269.6	287.01	1081.39	269.6	329.84	123.5	115.97	164.42	384.34	728.11	684.02	620.67	490.14	1023.0	441.64	921.88	703.28	884.29	1111.82	500.46
SMARCB1	967.76	1073.91	0.0	0.54	1233.75	872.1	1073.91	1096.5	1143.1	753.83	1030.12	1216.75	954.43	1191.69	1242.34	921.88	954.43	543.96	981.29	1001.93	1051.79	1350.18	3564.78	3639.7	1923.14	1977.24	2555.58	1628.26	1733.13	3168.41	2018.8	2303.12	2133.97
SMYD2	249.73	543.96	0.0	0.25	316.37	336.79	223.41	244.57	287.01	212.78	309.83	172.65	186.4	156.59	182.55	323.03	205.5	157.68	287.01	155.5	161.02	450.94	555.41	497.0	684.02	591.22	708.18	1561.89	603.67	595.34	412.0	633.73	447.82
SSTR2	2.41	8.85	0.0	0.23	6.06	26.1	7.34	13.93	2.01	8.25	26.28	7.94	18.84	31.0	14.89	2.84	4.9	14.03	6.52	14.45	5.54	24.28	18.29	21.63	55.89	78.89	97.36	44.57	45.21	208.38	86.43	86.43	11.47
ST3GAL6	34.51	114.36	0.0	0.22	208.38	71.0	81.14	48.52	110.43	143.01	55.49	37.59	40.36	44.57	32.59	35.76	69.03	75.11	54.72	32.36	33.78	59.13	209.84	155.5	281.09	95.34	156.59	142.01	117.6	177.53	116.78	95.34	92.7
SUMF1	265.87	267.73	0.0	0.42	269.6	460.44	400.71	373.81	444.72	348.71	293.07	291.04	228.13	226.54	281.09	412.0	279.14	241.19	285.03	325.29	265.87	587.13	567.1	480.04	1259.69	555.41	579.04	1427.22	872.1	1806.78	480.04	1051.79	733.19
SUSD1	58.3	34.51	0.0	0.34	29.06	46.18	41.81	55.1	46.5	82.29	43.63	36.79	45.53	37.85	31.0	38.95	33.54	53.19	68.07	33.78	32.82	92.7	98.04	90.14	112.77	75.64	277.2	283.05	146.03	148.09	115.16	96.01	89.51
SYT11	547.75	693.58	0.0	0.47	138.1	253.23	341.51	438.59	669.92	167.9	476.71	287.01	341.51	348.71	547.75	497.0	397.93	291.04	361.04	356.05	316.37	429.54	476.71	612.11	3103.19	1331.57	1250.98	884.29	785.88	656.11	571.05	1191.69	836.53
TBX2	159.9	120.94	0.0	0.83	180.02	343.89	76.71	74.58	98.04	123.5	105.89	70.01	139.07	75.11	56.28	206.94	110.43	56.28	40.36	84.63	57.49	423.61	1250.98	444.72	1208.34	583.07	860.08	896.64	872.1	1369.04	603.67	3039.3	921.88
TMED9	2417.67	2209.26	0.0	0.6	2303.12	3768.09	1662.49	2163.77	1605.83	2047.0	1697.45	1119.56	1216.75	1561.89	1709.26	2224.63	1397.83	1350.18	1605.83	1477.58	1359.57	4704.07	4937.99	4268.94	7032.37	3901.01	7230.1	4152.18	3847.29	5751.61	3742.05	4095.0	3847.29
TMEM18	361.04	733.19	0.0	0.51	669.92	563.18	432.53	1208.34	733.19	281.09	381.68	575.03	775.05	1151.06	825.0	579.04	559.28	314.17	327.56	503.95	595.34	961.07	941.27	1023.0	1617.0	1617.0	2502.97	1151.06	1498.22	819.3	1104.13	1498.22	2090.03
TMEM60	231.32	255.0	0.0	0.02	291.04	361.04	305.55	356.05	271.48	180.02	167.9	165.57	228.13	154.42	186.4	291.04	234.57	73.54	212.78	86.43	204.07	536.45	603.67	651.58	718.08	651.58	575.03	447.82	400.71	708.18	551.56	633.73	660.68
TMEM98	231.32	1037.29	0.0	0.74	693.58	1487.87	1088.92	656.11	1037.29	866.07	379.04	111.99	981.29	450.94	743.43	830.75	607.87	299.25	403.5	555.41	309.83	3372.43	3419.52	3874.05	4704.07	2956.17	6607.01	1819.35	5006.93	6037.61	7130.55	12676.65	15715.58
TNFAIP8L3	1936.53	139.07	0.0	0.53	303.44	248.0	253.23	575.03	417.77	376.41	187.71	120.94	376.41	176.29	400.71	1427.22	141.02	142.01	115.16	334.46	153.34	2417.67	842.36	836.53	5403.7	5366.37	4419.52	3349.13	1977.24	3235.01	10659.59	5872.48	1896.65
TNS3	417.77	420.68	0.0	0.68	291.04	543.96	234.57	242.88	346.29	277.2	281.09	130.6	180.02	212.78	167.9	429.54	186.4	144.01	180.02	124.37	119.26	547.75	995.0	656.11	1417.35	1037.29	1781.89	642.59	1313.23	1605.83	928.3	1936.53	1909.85
TTC9	9.41	18.56	0.0	0.38	197.09	60.39	29.48	18.03	20.41	22.59	31.45	11.04	24.81	19.82	16.88	18.03	12.18	9.48	15.0	19.53	13.62	11.3	71.5	90.14	193.01	33.78	265.87	218.79	63.45	67.12	53.95	136.19	36.79
TUFM	3901.01	2915.45	0.0	0.67	6164.49	2075.59	1674.06	1896.65	1551.09	1883.54	1963.57	2104.58	2240.11	2573.36	1977.24	1674.06	2178.83	1159.07	2271.4	1697.45	2271.4	4095.0	5255.91	4639.29	4543.8	4095.0	3419.52	4210.15	3928.15	5006.93	3665.02	3614.55	5183.54
UBAC2	1008.9	974.5	0.0	0.92	1844.76	988.12	1081.39	1088.92	1023.0	974.5	941.27	961.07	1119.56	743.43	954.43	825.0	902.89	967.76	902.89	981.29	915.51	1551.09	1709.26	1529.73	1467.37	1963.57	1769.57	1427.22	1697.45	1662.49	1594.73	1909.85	1508.65
UBTD1	204.07	371.22	0.0	0.49	591.22	384.34	339.14	368.65	346.29	316.37	301.33	214.27	283.05	143.01	281.09	237.86	248.0	397.93	246.28	497.0	267.73	633.73	603.67	575.03	656.11	854.13	759.08	507.46	379.04	884.29	665.29	376.41	400.71
UQCC2	2148.82	1628.26	0.0	0.52	5329.3	1561.89	738.29	819.3	1044.52	432.53	825.0	1143.1	791.35	551.56	669.92	1286.18	599.49	669.92	1081.39	616.37	769.69	2758.13	2573.36	2271.4	3039.3	3124.78	3303.0	3794.3	1721.16	3168.41	2417.67	1572.76	2004.85
VOPP1	521.76	435.55	0.0	0.78	536.45	785.88	529.06	866.07	638.15	616.37	559.28	303.44	409.15	507.46	417.77	718.08	403.5	277.2	521.76	246.28	281.09	1369.04	2018.8	1594.73	4010.71	1769.57	2047.0	1806.78	1487.87	1923.14	1508.65	2351.53	1340.84
WDR13	2004.85	2573.36	0.0	0.95	1583.71	2434.5	1457.23	1697.45	2367.9	1096.5	1639.59	1378.57	2047.0	1709.26	1883.54	1806.78	1322.37	1127.35	1806.78	1378.57	1250.98	2855.44	3325.99	3716.2	2682.69	3303.0	2351.53	2303.12	2796.65	2255.7	2468.49	2627.46	5555.65
ZFHX2	33.78	64.34	0.0	0.0	11.64	54.72	68.55	35.25	66.65	10.96	47.17	59.55	36.79	25.35	31.9	13.52	66.18	20.11	62.12	31.45	48.18	56.68	56.68	47.84	896.64	209.84	444.72	473.41	70.01	78.89	47.84	96.01	199.85
ZNF469	53.95	6.57	0.0	0.06	2.2	9.93	5.36	3.2	4.98	5.36	5.63	1.53	4.9	16.03	3.03	24.63	3.69	0.13	6.73	4.58	3.56	35.0	55.49	46.5	46.84	65.26	53.95	45.85	98.73	62.12	31.45	15.56	40.64
