	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.BH.A204.01A.11R.A157.07	GTEX.Y5LM.0426.SM.4VBRO	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.Y5LM.0726.SM.4VBRP	GTEX.TMMY.0926.SM.4TT1Z	GTEX.11NSD.0326.SM.5A5LS	GTEX.U3ZM.0426.SM.3DB73	GTEX.13O61.0726.SM.5J2MD	GTEX.TML8.0326.SM.4GICN	GTEX.12WSJ.0226.SM.5GCP7	GTEX.139YR.0926.SM.5LZYB	GTEX.117YX.1326.SM.5H125	GTEX.R55G.0826.SM.2TC5U	GTEX.13VXT.1426.SM.5LU4B	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.13FTX.0326.SM.5J2NG	GTEX.Y9LG.0526.SM.4VBRY	GTEX.T8EM.0326.SM.3DB7F	GTEX.OXRL.0526.SM.2I3EZ	GTEX.PW2O.0526.SM.2I3DX	GTEX.OHPM.0526.SM.2YUMJ
BTBD19	33.3	55.89	40.36	77.79	54.33	301.33	718.08	50.63	43.02	381.68	105.89	93.35	100.13	185.11	81.71	58.71	152.28	65.72	66.18	1044.52	156.59	271.48	93.35	60.82	190.34	599.49	68.07
C22orf24	1.28	3.29	0.99	0.84	0.0	0.12	8.92	5.32	1.13	5.59	1.97	2.29	5.06	4.03	2.56	1.91	3.96	1.6	3.92	8.0	5.92	4.78	2.29	0.79	6.89	4.13	2.41
C9orf172	1.48	1.66	3.59	0.46	0.0	0.39	3.86	2.76	0.89	4.62	5.28	0.12	4.17	7.69	1.99	2.2	3.06	1.73	10.79	10.96	8.71	7.94	0.48	0.57	9.41	4.21	3.76
C9orf50	0.96	0.0	0.99	0.0	0.0	0.01	1.97	1.43	1.55	2.18	0.54	0.74	0.49	3.03	0.78	1.95	1.58	0.0	0.52	4.28	3.26	1.91	0.0	0.53	2.23	0.55	1.31
CACNA1F	0.0	1.17	1.07	1.46	0.0	0.3	20.56	11.3	7.34	40.07	16.63	6.84	13.32	12.0	7.22	5.06	17.38	0.99	26.67	38.95	41.22	10.63	4.86	9.41	31.22	39.5	5.59
CBX7	34.02	135.24	104.42	102.25	0.0	0.36	1081.39	1340.84	688.78	1639.59	1216.75	854.13	1015.93	1322.37	486.75	155.5	1313.23	447.82	1407.55	1977.24	2004.85	1378.57	118.43	376.41	1745.2	961.07	1051.79
CDKL2	30.78	0.33	0.0	0.0	0.0	0.0	547.75	351.14	262.2	420.68	536.45	441.64	251.48	454.09	232.94	158.79	532.74	327.56	353.59	447.82	579.04	336.79	201.25	356.05	316.37	624.99	183.82
CRTAC1	3.41	7.22	6.01	0.59	0.0	0.0	9540.5	5517.27	3690.52	4575.41	7331.05	8363.13	4836.35	10883.59	5672.41	2032.85	7537.18	6652.97	10959.3	10154.69	14065.74	6294.04	2997.45	4671.57	9344.14	6121.9	5147.73
CTC-260F20.3	2.78	6.84	2.86	12.0	0.0	0.4	27.44	9.85	12.36	13.52	15.22	12.27	11.3	21.63	12.45	9.13	12.0	7.82	26.67	54.33	17.9	26.1	6.62	3.06	11.13	31.0	8.45
CTC-360G5.1	1.79	0.51	0.82	0.65	0.0	0.34	12.74	7.34	7.82	18.16	15.34	7.51	5.28	15.45	5.45	0.54	1.79	7.0	15.68	29.7	10.63	6.94	5.77	2.2	10.08	4.46	1.45
CYTH2	555.41	698.41	547.75	384.34	0.0	0.64	1457.23	1350.18	1104.13	2609.3	1819.35	1233.75	1378.57	1388.16	713.11	915.51	1594.73	1250.98	1832.01	2255.7	2133.97	1757.34	934.76	743.43	1551.09	2240.11	974.5
DNAJC4	395.18	1583.71	555.41	395.18	0.0	0.77	1369.04	1794.29	1015.93	1407.55	1088.92	769.69	1216.75	981.29	934.76	603.67	1037.29	1081.39	1250.98	1857.6	1709.26	1628.26	872.1	854.13	1508.65	1477.58	551.56
DYRK3	35.5	55.1	84.04	54.33	0.0	0.13	1135.2	63.0	87.65	808.0	237.86	366.09	193.01	255.0	181.28	305.55	159.9	138.1	208.38	1015.93	802.41	334.46	170.25	264.03	190.34	325.29	215.77
EDC4	473.41	723.08	363.56	403.5	563.18	208.38	2133.97	521.76	486.75	1457.23	802.41	890.44	866.07	836.53	665.29	651.58	764.36	529.06	947.83	2303.12	1551.09	2004.85	674.59	660.68	1417.35	1191.69	780.44
FAU	3018.3	9279.58	9088.59	17804.06	22850.48	21919.61	28525.2	30572.63	23330.64	35363.15	23492.92	17804.06	25708.25	24490.61	24832.5	18950.18	23330.64	20737.16	26614.89	43236.64	44761.41	28132.47	28723.62	12502.12	24321.43	21172.91	19618.49
FKBP8	830.75	2627.46	748.61	3146.52	5872.48	3564.78	5831.91	6652.97	4450.27	5954.47	5183.54	4010.71	5711.87	5183.54	3168.41	4607.24	4388.98	4836.35	4972.34	7589.61	7081.29	6426.31	3874.05	2915.45	6207.38	6887.62	5255.91
FOXP4	591.22	389.72	412.0	376.41	0.0	0.68	1037.29	733.19	406.31	1519.15	915.51	669.92	587.13	1883.54	223.41	412.0	1322.37	884.29	813.63	1757.34	1572.76	842.36	493.56	457.25	981.29	1806.78	842.36
GLTSCR2	1498.22	4268.94	2555.58	2451.44	0.0	0.64	12589.08	11745.96	6037.61	17197.56	7911.95	10225.32	8901.53	8901.53	6652.97	5594.3	9673.69	8538.88	10883.59	18689.27	18689.27	10659.59	6121.9	6037.61	8840.04	10659.59	4358.66
GPRASP1	15.91	14.67	13.83	2.12	0.0	0.31	82.87	70.01	26.47	146.03	55.49	48.52	47.5	88.26	27.84	15.34	44.57	18.43	79.45	99.43	148.09	82.87	23.25	61.25	76.17	83.45	46.18
GRM2	2.07	4.94	2.14	0.25	0.0	0.23	6.41	3.56	1.75	8.19	3.26	3.99	1.99	7.34	6.52	0.24	1.66	0.33	4.78	8.92	6.46	4.13	3.89	4.9	16.51	1.13	2.51
H2AFB2	0.0	1.11	0.0	0.39	0.0	0.17	0.64	1.73	1.71	4.78	3.72	0.0	1.28	2.71	2.71	0.0	0.16	2.48	2.14	4.66	2.97	1.64	0.71	0.38	3.82	4.82	4.54
H2AFB3	0.0	1.1	0.0	0.48	0.0	0.0	0.51	1.53	1.51	4.39	3.41	0.0	1.11	2.43	2.43	0.0	0.06	2.23	1.91	4.28	2.68	1.45	0.57	0.27	3.47	4.43	4.17
HSD17B6	172.65	260.38	150.17	20030.74	0.0	0.0	5329.3	5006.93	2485.67	11345.82	12329.98	3955.48	3901.01	6164.49	2976.74	1295.13	7032.37	3146.52	6607.01	7230.1	10585.95	6699.25	351.14	4671.57	4095.0	11267.44	4152.18
ICAM4	0.0	9.27	0.0	0.0	0.0	0.0	2555.58	708.18	283.05	7280.4	1259.69	253.23	532.74	1104.13	138.1	43.32	371.22	384.34	1322.37	2664.15	2451.44	3280.18	10.08	120.1	934.76	3614.55	518.15
IKZF4	63.45	85.82	80.01	7.17	0.0	0.42	303.44	109.66	76.71	334.46	147.06	113.56	214.27	131.51	98.73	32.36	106.63	108.14	232.94	447.82	231.32	215.77	53.57	155.5	202.66	152.28	147.06
IL16	84.63	202.66	62.56	56.68	0.0	0.71	409.15	698.41	258.57	1259.69	878.17	497.0	540.19	785.88	325.29	181.28	723.08	287.01	723.08	1295.13	1208.34	934.76	400.71	351.14	1447.15	884.29	148.09
IL20RA	603.67	1233.75	429.54	3.26	0.0	0.0	2104.58	583.07	571.05	1322.37	665.29	642.59	651.58	708.18	595.34	74.06	1417.35	633.73	1378.57	3103.19	1950.0	1175.27	305.55	353.59	1216.75	395.18	748.61
IL23A	14.14	3.53	5.45	5.11	0.0	0.35	22.75	19.68	8.06	28.04	24.46	6.46	9.2	14.67	10.63	10.71	3.63	14.35	22.1	30.78	30.34	11.91	19.97	6.84	8.38	11.21	3.59
INO80B	214.27	414.87	339.14	336.79	0.0	0.79	540.19	884.29	532.74	1259.69	836.53	392.44	633.73	529.06	547.75	429.54	426.57	551.56	633.73	1127.35	1015.93	698.41	432.53	346.29	723.08	698.41	473.41
IZUMO4	22.59	3.72	6.67	18.56	0.0	0.79	62.56	61.68	36.53	202.66	90.14	111.21	126.12	116.78	48.87	13.72	77.79	27.64	195.72	387.02	368.65	135.24	10.96	33.06	204.07	76.71	42.41
KCNAB3	8.32	4.39	9.63	7.28	0.0	0.8	67.59	18.7	27.05	96.01	19.97	44.57	40.36	50.27	30.12	3.29	25.72	8.13	69.03	127.0	37.32	103.69	31.0	25.72	35.0	56.68	6.36
KDM2A	612.11	988.12	656.11	255.0	518.15	262.2	1359.57	497.0	603.67	1359.57	842.36	802.41	842.36	860.08	660.68	669.92	836.53	525.39	954.43	1733.13	1259.69	1111.82	435.55	785.88	1037.29	1015.93	860.08
KIAA1683	5.87	13.03	1.43	27.64	0.0	0.0	429.54	271.48	83.45	2061.24	138.1	249.73	206.94	423.61	96.68	12.55	91.41	75.11	896.64	1936.53	591.22	454.09	36.53	81.71	1023.0	409.15	85.22
KIAA1984	6.94	14.24	19.25	10.31	0.0	0.53	59.55	125.24	11.82	191.67	46.18	19.82	66.65	52.82	24.11	9.27	38.12	11.21	178.77	149.12	202.66	149.12	5.19	22.26	138.1	69.03	11.64
LINGO4	6.67	0.71	0.65	4.24	0.0	0.0	10.31	0.0	0.92	20.11	0.96	4.98	9.93	18.84	3.66	0.88	3.69	0.0	18.03	38.4	7.4	6.36	2.16	8.78	27.44	3.11	0.92
LMNA	1304.15	1781.89	743.43	3955.48	5441.3	135.24	25708.25	5183.54	6337.83	31870.96	7749.1	7485.11	9088.59	13681.08	5403.7	7589.61	5441.3	7180.15	11035.54	36106.23	11035.54	11992.79	7695.57	10808.41	9344.14	17197.56	11664.82
LTB4R2	10.0	1.99	18.43	12.0	0.0	0.61	30.78	29.27	17.77	35.25	30.34	1.93	42.41	47.5	24.28	4.9	8.99	27.64	34.26	153.34	48.87	34.02	43.63	9.63	63.45	12.27	2.27
MAP1LC3A	872.1	98.04	312.0	395.18	0.0	0.65	1286.18	1757.34	1295.13	2287.2	1662.49	660.68	1167.14	743.43	1088.92	293.07	1369.04	532.74	1286.18	2701.35	2645.74	2573.36	454.09	486.75	1340.84	872.1	819.3
MAP3K15	4.17	1.68	1.53	0.58	0.0	0.0	27.84	81.71	16.51	91.41	56.68	16.75	56.68	46.5	16.63	10.08	28.24	16.75	22.1	85.22	77.79	17.51	5.87	7.0	39.5	59.55	18.29
MID1IP1	457.25	341.51	23.93	1059.11	0.0	0.09	3982.99	3847.29	2537.92	6983.79	3639.7	3690.52	2502.97	2835.7	3395.89	2240.11	3690.52	2468.49	4358.66	6935.54	6516.03	3395.89	1685.71	1870.53	3303.0	2591.27	1936.53
MS4A10	0.0	0.0	0.0	0.0	0.0	0.01	0.47	0.26	0.62	2.81	0.45	0.42	0.79	0.0	0.0	0.0	0.0	0.0	0.24	2.01	1.39	0.66	0.42	0.45	0.87	0.0	0.0
MTHFR	43.63	217.27	51.35	59.13	70.51	62.12	1066.48	575.03	185.11	974.5	397.93	703.28	599.49	595.34	384.34	256.78	379.04	312.0	642.59	1159.07	633.73	575.03	312.0	379.04	769.69	733.19	409.15
NRN1L	1.79	3.47	0.8	6.16	0.0	0.16	82.29	44.25	19.39	166.73	75.64	77.79	50.27	163.28	21.01	19.82	62.12	28.86	105.15	267.73	166.73	96.01	43.32	22.43	153.34	92.05	12.0
ODF3L1	4.58	1.95	0.58	0.0	0.0	0.0	483.38	21.01	38.12	507.46	71.5	147.06	84.63	371.22	25.54	11.73	228.13	84.63	27.25	866.07	142.01	150.17	48.87	76.71	236.21	123.5	15.11
PLA2G5	15.56	85.82	18.7	80.57	0.0	0.28	90.77	123.5	34.26	151.22	194.36	92.7	95.34	194.36	158.79	66.18	42.11	156.59	182.55	395.18	248.0	209.84	62.56	77.25	236.21	97.36	88.88
PLEKHB1	3564.78	9.63	114.36	12.36	0.0	0.27	2796.65	4388.98	1467.37	2367.9	2485.67	808.0	2400.97	476.71	1216.75	251.48	2555.58	1159.07	2287.2	4239.45	2835.7	2816.11	54.72	1242.34	1594.73	2956.17	1832.01
PNPLA2	420.68	1088.92	466.88	1733.13	0.0	0.97	2047.0	3124.78	2627.46	3928.15	3190.46	1721.16	3060.45	1685.71	1594.73	890.44	2303.12	1268.46	2609.3	5255.91	5006.93	4010.71	1794.29	1304.15	3639.7	2240.11	1437.15
PSD	7.75	15.68	63.89	8.71	0.0	0.39	88.88	95.34	57.89	71.0	76.17	29.91	69.52	99.43	63.89	30.34	32.82	70.01	100.83	178.77	103.69	113.56	57.89	19.82	169.07	62.12	15.91
PTPN13	285.03	34.26	281.09	4.86	0.0	0.2	1498.22	1662.49	532.74	1605.83	1721.16	842.36	988.12	872.1	571.05	420.68	2104.58	1191.69	1977.24	1883.54	2537.92	1051.79	529.06	1487.87	2004.85	2163.77	718.08
RAB11B	591.22	954.43	567.1	1322.37	2148.82	536.45	2855.44	2645.74	2739.08	2835.7	2591.27	2090.03	3060.45	2701.35	1709.26	1628.26	2956.17	1991.0	3349.13	3982.99	4010.71	3515.68	2119.22	1487.87	2682.69	3443.31	2537.92
RFX1	56.68	84.04	64.8	33.3	0.0	0.39	454.09	155.5	111.99	423.61	297.17	177.53	267.73	318.57	133.36	281.09	297.17	198.47	400.71	579.04	318.57	454.09	120.94	100.13	358.54	314.17	194.36
RFX2	40.93	76.17	65.72	18.7	0.0	0.09	1561.89	100.83	198.47	1183.45	480.04	525.39	476.71	896.64	189.02	169.07	353.59	231.32	791.35	1487.87	633.73	1023.0	262.2	289.02	551.56	171.45	412.0
RPL36AL	2875.3	6037.61	3982.99	12589.08	0.0	1.01	13776.25	6381.92	10808.41	21320.18	11189.6	8778.97	7180.15	8134.41	10659.59	6607.01	8778.97	9025.81	12329.98	15285.81	17804.06	13872.08	10225.32	9088.59	7081.29	6607.01	7966.99
RRAD	1.58	9.13	3.79	26.1	0.0	0.48	2739.08	1769.57	301.33	4038.61	1583.71	693.58	647.07	791.35	178.77	138.1	1639.59	223.41	1322.37	2627.46	7032.37	2796.65	258.57	301.33	450.94	289.02	303.44
SEC14L6	1.17	4.7	0.91	8.06	0.0	0.0	1233.75	1519.15	224.97	2209.26	748.61	392.44	633.73	733.19	693.58	120.94	1059.11	262.2	1225.22	995.0	842.36	684.02	67.59	483.38	909.17	1991.0	406.31
SFTPA1	0.0	1.16	2.07	3.26	0.0	0.0	5809569.18	4987895.16	1703415.74	2326934.84	4252853.3	3245478.02	2039804.27	3576208.94	2097151.0	610654.84	4252853.3	2599854.48	2581895.97	3832885.91	3968052.37	1535204.12	1578364.61	2710259.32	1567462.05	4558095.38	3028138.0
SLC37A1	395.18	275.28	426.57	122.64	0.0	0.54	1331.57	583.07	371.22	1127.35	1331.57	500.46	500.46	1119.56	228.13	256.78	890.44	384.34	860.08	1447.15	934.76	1030.12	329.84	303.44	988.12	836.53	303.44
SOBP	9.48	17.9	14.56	7.11	0.0	0.3	111.99	57.08	33.3	126.12	149.12	36.79	43.32	166.73	52.08	14.03	133.36	31.67	82.87	149.12	202.66	94.01	38.67	85.22	143.01	99.43	46.5
SOX15	7.51	3.76	8.06	3.92	0.0	0.69	47.17	5.45	0.88	277.2	24.28	17.25	21.01	45.53	11.3	1.89	20.86	1.95	48.18	180.02	151.22	204.07	8.25	4.7	10.08	52.45	3.14
SRSF5	2351.53	3742.05	2720.15	3060.45	3491.39	2555.58	8421.31	7433.4	5711.87	11664.82	7331.05	4903.87	7642.41	6607.01	5633.22	2796.65	7695.57	4639.29	9025.81	8078.22	13968.57	7911.95	5041.77	4639.29	7433.4	8538.88	6699.25
STXBP1	63.45	84.04	890.44	26.67	251.48	113.56	1674.06	1143.1	796.86	2915.45	1651.0	1081.39	1340.84	1397.83	420.68	656.11	1583.71	607.87	713.11	2720.15	2573.36	693.58	684.02	941.27	813.63	1286.18	1159.07
TAPT1	353.59	267.73	915.51	470.14	0.0	0.48	967.76	1199.98	703.28	2468.49	1191.69	909.17	759.08	813.63	507.46	529.06	1757.34	854.13	1225.22	1909.85	2664.15	1233.75	503.95	1199.98	1583.71	1540.37	368.65
TMEM91	53.57	265.87	41.52	35.5	0.0	0.62	884.29	1096.5	543.96	1844.76	995.0	612.11	669.92	457.25	785.88	186.4	591.22	260.38	1037.29	1199.98	848.22	1111.82	128.79	325.29	921.88	947.83	293.07
TPPP	17.0	21.78	26.47	8.58	0.0	0.2	660.68	460.44	59.13	753.83	848.22	514.56	571.05	1477.58	74.58	53.57	1259.69	226.54	872.1	1594.73	1427.22	389.72	67.12	267.73	1745.2	587.13	182.55
TRMT44	77.25	130.6	94.67	91.41	0.0	0.45	215.77	170.25	156.59	167.9	251.48	229.72	206.94	260.38	193.01	166.73	234.57	165.57	412.0	273.37	325.29	299.25	194.36	154.42	228.13	264.03	164.42
USP11	389.72	599.49	532.74	173.85	0.0	0.75	1572.76	1104.13	612.11	1378.57	1008.9	651.58	830.75	1277.29	571.05	406.31	825.0	575.03	1001.93	1923.14	1066.48	1073.91	825.0	555.41	1304.15	1936.53	1001.93
ZNF275	291.04	68.55	111.99	125.24	71.0	61.68	305.55	137.14	118.43	217.27	138.1	234.57	126.12	218.79	152.28	85.82	209.84	115.97	178.77	348.71	239.52	217.27	181.28	167.9	234.57	119.26	122.64
ZSCAN18	525.39	373.81	241.19	43.32	0.0	0.92	1233.75	521.76	521.76	1119.56	866.07	703.28	928.3	1991.0	1225.22	155.5	493.56	275.28	1088.92	4181.07	1037.29	1369.04	703.28	490.14	1594.73	1015.93	583.07
