	TCGA.L5.A88T.01A.11R.A354.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.RU72.0726.SM.46MUW	GTEX.PVOW.1626.SM.48TC9	GTEX.R3RS.1326.SM.48FE7	GTEX.T5JC.1726.SM.4DM6U	GTEX.X585.1226.SM.46MW7	GTEX.PLZ4.1626.SM.3P618	GTEX.UPK5.1226.SM.4IHL8	GTEX.ZF3C.1626.SM.4WWB4	GTEX.N7MT.0326.SM.48TDP	GTEX.S33H.0826.SM.4AD5Y	TCGA.BA.5557.01A.01R.1514.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
APBA3	406.31	332.14	414.87	450.94	334.46	493.56	503.95	941.27	656.11	713.11	791.35	536.45	587.13	249.73	376.41	0.0	0.59	144.01	142.01	341.51	156.59	166.73	172.65
APOPT1	974.5	775.05	988.12	890.44	583.07	1286.18	1059.11	1127.35	1225.22	1073.91	1268.46	1199.98	1359.57	775.05	830.75	0.0	0.51	1697.45	595.34	723.08	1369.04	1088.92	1111.82
ARSA	1066.48	1066.48	1159.07	1015.93	934.76	860.08	1191.69	1639.59	1757.34	1909.85	1605.83	1467.37	1159.07	1437.15	1242.34	0.0	1.01	271.48	267.73	575.03	684.02	633.73	353.59
ATG16L2	802.41	954.43	1073.91	1583.71	974.5	1143.1	2485.67	2855.44	3190.46	2224.63	2178.83	2303.12	1572.76	113.56	507.46	0.0	1.16	182.55	591.22	660.68	211.31	182.55	186.4
BGLAP	20.56	25.35	18.56	46.5	18.29	64.8	32.82	142.01	76.17	81.71	65.26	102.25	109.66	46.5	42.11	0.0	0.39	0.75	0.35	0.0	3.99	0.06	3.29
BX088651.1	35.0	28.24	65.26	48.52	2.41	31.22	38.67	10.63	62.12	66.65	53.95	12.27	32.59	9.2	3.38	0.0	0.15	4.66	12.27	11.04	0.0	14.35	6.73
CCDC159	775.05	693.58	543.96	825.0	934.76	1331.57	764.36	2627.46	1369.04	1397.83	1081.39	1119.56	967.76	295.11	267.73	0.0	0.88	194.36	336.79	211.31	283.05	295.11	198.47
CDAN1	221.86	190.34	202.66	312.0	242.88	262.2	226.54	341.51	297.17	373.81	289.02	246.28	301.33	91.41	124.37	0.0	0.59	39.79	92.05	87.65	100.83	67.59	67.12
CDK5RAP3	2367.9	2367.9	2148.82	3820.7	3018.3	4704.07	3039.3	10585.95	5112.16	5112.16	4481.23	5041.77	3874.05	860.08	1417.35	0.0	1.27	579.04	890.44	1015.93	1119.56	1081.39	796.86
CHKB	1508.65	1457.23	1417.35	2018.8	1199.98	2209.26	1870.53	3794.3	2537.92	2591.27	2739.08	2468.49	2573.36	429.54	866.07	0.0	1.22	223.41	429.54	435.55	571.05	420.68	341.51
CLASRP	1477.58	1191.69	1397.83	2004.85	2271.4	2976.74	2075.59	4388.98	2739.08	3039.3	2796.65	2645.74	2384.37	232.94	651.58	0.0	1.5	84.63	376.41	339.14	305.55	253.23	271.48
CLDN9	4.31	1.99	2.97	1.66	2.89	10.39	4.17	10.71	10.96	10.71	8.13	5.87	5.28	0.65	0.6	0.0	0.39	1.39	0.04	1.62	0.0	0.0	0.0
CLK2	1397.83	1151.06	1015.93	1519.15	412.0	1733.13	1417.35	2451.44	1963.57	1950.0	1697.45	1709.26	1295.13	279.14	620.67	0.0	0.82	141.02	318.57	318.57	406.31	241.19	190.34
CNNM3	217.27	165.57	209.84	293.07	209.84	283.05	211.31	379.04	269.6	316.37	312.0	271.48	267.73	87.03	110.43	154.42	110.43	95.34	69.52	82.29	128.79	185.11	50.27
CNOT3	1037.29	941.27	866.07	1127.35	723.08	1259.69	848.22	1199.98	1208.34	1268.46	1183.45	890.44	1340.84	679.29	825.0	389.72	454.09	241.19	620.67	473.41	567.1	497.0	323.03
COG1	514.56	486.75	486.75	493.56	483.38	612.11	529.06	769.69	633.73	674.59	612.11	698.41	595.34	289.02	395.18	0.0	0.82	187.71	283.05	320.8	395.18	318.57	285.03
COPS7B	808.0	651.58	547.75	1001.93	679.29	941.27	830.75	1268.46	921.88	1199.98	1151.06	995.0	1044.52	273.37	497.0	0.0	0.57	175.07	314.17	348.71	287.01	305.55	264.03
CRELD1	376.41	307.69	395.18	703.28	629.35	743.43	674.59	1639.59	1250.98	813.63	1127.35	1104.13	813.63	305.55	312.0	0.0	0.47	161.02	187.71	480.04	165.57	228.13	108.14
CRNN	2171106.91	2805836.45	4107985.47	26431.04	35856.82	32540.65	53973.86	50709.61	73221.53	53601.03	12676.65	43236.64	38697.77	3190.46	8134.41	0.0	0.0	3336720.86	4851500.88	894051.48	6183532.28	4558095.38	5534416.31
CRYGS	68.55	124.37	277.2	80.01	52.82	75.64	55.49	205.5	101.54	111.99	110.43	108.14	122.64	6.94	19.39	0.0	0.84	1.08	3.08	4.98	2.07	10.96	5.11
CUL9	791.35	921.88	808.0	1119.56	1008.9	1119.56	1216.75	2075.59	1447.15	1437.15	1313.23	1259.69	1277.29	120.1	470.14	0.0	0.96	100.83	981.29	231.32	587.13	466.88	395.18
CXXC1	1397.83	1369.04	1388.16	1857.6	2255.7	2178.83	1540.37	3614.55	2240.11	2682.69	2047.0	1896.65	1733.13	1073.91	1111.82	0.0	1.1	223.41	703.28	981.29	423.61	483.38	435.55
DMAP1	591.22	547.75	579.04	728.11	529.06	896.64	684.02	1081.39	915.51	1059.11	718.08	656.11	878.17	239.52	420.68	547.75	100.83	249.73	392.44	291.04	406.31	463.65	341.51
DNASE1L2	10.55	7.51	11.64	20.11	14.56	35.76	15.0	122.64	45.53	63.45	22.75	33.78	77.25	6.78	15.8	0.0	0.39	1.77	3.44	23.42	2.58	5.28	1.51
DPAGT1	967.76	723.08	813.63	1208.34	854.13	988.12	947.83	1487.87	1073.91	1104.13	995.0	808.0	1216.75	660.68	642.59	0.0	0.55	400.71	400.71	743.43	392.44	497.0	371.22
DYRK1B	348.71	368.65	332.14	316.37	99.43	255.0	403.5	389.72	603.67	543.96	503.95	432.53	536.45	120.1	47.84	0.0	0.1	251.48	314.17	164.42	379.04	329.84	232.94
ELMOD3	346.29	316.37	341.51	466.88	301.33	521.76	460.44	656.11	543.96	579.04	579.04	525.39	529.06	79.45	201.25	0.0	0.65	136.19	126.12	132.44	106.63	117.6	92.7
EXOC7	1832.01	1883.54	1857.6	1477.58	1331.57	2004.85	1551.09	2018.8	2351.53	2209.26	1757.34	2119.22	1457.23	733.19	1008.9	0.0	0.8	567.1	860.08	718.08	1073.91	981.29	733.19
FAAH	180.02	164.42	164.42	698.41	325.29	733.19	713.11	961.07	1397.83	1127.35	1001.93	620.67	890.44	27.25	185.11	0.0	0.72	65.26	104.42	127.0	128.79	120.1	100.83
FBF1	314.17	366.09	414.87	559.28	159.9	532.74	435.55	409.15	647.07	775.05	529.06	483.38	476.71	24.81	99.43	0.0	0.6	63.0	102.97	115.16	166.73	107.38	71.0
FGF17	6.11	3.53	0.0	3.56	4.78	10.16	6.52	33.06	21.63	19.25	16.63	11.64	8.45	0.0	1.69	0.0	0.62	0.0	0.0	1.62	0.52	0.0	0.0
FUK	309.83	283.05	295.11	289.02	226.54	260.38	293.07	444.72	361.04	447.82	358.54	316.37	334.46	110.43	95.34	0.0	0.64	55.49	133.36	118.43	136.19	120.1	65.26
GLTSCR1	281.09	283.05	265.87	241.19	256.78	376.41	264.03	339.14	293.07	417.77	312.0	301.33	297.17	110.43	176.29	0.0	0.75	40.64	143.01	190.34	142.01	144.01	100.83
GNPAT	540.19	525.39	476.71	642.59	392.44	571.05	713.11	909.17	674.59	656.11	819.3	785.88	603.67	389.72	389.72	0.0	0.54	543.96	435.55	429.54	384.34	480.04	490.14
GPR146	90.14	64.34	76.17	148.09	92.05	98.73	166.73	514.56	241.19	285.03	177.53	297.17	143.01	125.24	45.53	0.0	0.05	26.1	57.49	48.18	38.95	40.07	28.45
HDAC10	866.07	660.68	708.18	988.12	836.53	1008.9	1081.39	2104.58	1407.55	1551.09	1447.15	1250.98	1135.2	255.0	460.44	0.0	0.96	78.34	255.0	248.0	217.27	178.77	177.53
HEMK1	260.38	279.14	297.17	435.55	361.04	511.0	460.44	547.75	612.11	575.03	638.15	540.19	463.65	97.36	316.37	0.0	0.25	269.6	201.25	389.72	241.19	260.38	153.34
HEXDC	540.19	466.88	409.15	928.3	387.02	1051.79	674.59	3589.58	1447.15	1819.35	1950.0	1208.34	1662.49	118.43	346.29	0.0	0.64	145.02	153.34	373.81	185.11	262.2	164.42
HSF4	638.15	392.44	791.35	909.17	1199.98	890.44	1268.46	2796.65	1963.57	1819.35	1923.14	1477.58	1135.2	37.59	387.02	0.0	1.46	21.94	49.21	135.24	39.5	44.25	37.85
INTS3	1096.5	1096.5	896.64	1073.91	775.05	1159.07	954.43	1844.76	1350.18	1331.57	1313.23	1350.18	1191.69	220.32	595.34	532.74	1073.91	267.73	447.82	595.34	329.84	414.87	267.73
IRF3	1594.73	1208.34	1208.34	2090.03	1745.2	1977.24	1721.16	3395.89	2434.5	2645.74	2609.3	2520.38	2178.83	941.27	1651.0	1685.71	507.46	381.68	830.75	1498.22	723.08	665.29	665.29
KAT2A	1457.23	1044.52	1233.75	1467.37	1427.22	1639.59	1540.37	2645.74	1883.54	2032.85	2090.03	1605.83	1304.15	260.38	612.11	0.0	1.07	198.47	403.5	638.15	249.73	277.2	291.04
KCNT1	5.59	5.82	4.24	12.27	11.13	26.67	11.73	70.01	21.78	32.82	15.45	36.27	12.64	0.0	0.48	0.0	0.54	1.75	10.71	15.22	3.56	1.91	1.87
KIAA0556	384.34	361.04	318.57	271.48	242.88	361.04	450.94	500.46	684.02	607.87	583.07	363.56	460.44	122.64	128.79	0.0	0.51	108.14	193.01	156.59	256.78	175.07	205.5
KIAA1683	37.32	27.44	53.57	22.92	10.08	73.03	46.5	133.36	100.13	93.35	63.89	64.34	54.33	3.17	2.86	0.0	0.0	1.33	44.25	2.43	8.71	21.47	4.7
KLC4	329.84	264.03	241.19	521.76	285.03	312.0	612.11	1304.15	988.12	1051.79	967.76	698.41	718.08	95.34	249.73	0.0	0.42	82.29	85.82	109.66	164.42	151.22	106.63
KLF8	860.08	1008.9	1268.46	713.11	258.57	1073.91	1119.56	1001.93	1844.76	1498.22	1721.16	1540.37	1388.16	220.32	9.85	0.0	0.66	1191.69	3955.48	514.56	1295.13	1191.69	1135.2
KSR1	1540.37	1709.26	1721.16	1159.07	896.64	1617.0	1331.57	1561.89	1487.87	1487.87	1628.26	1662.49	2351.53	246.28	435.55	0.0	0.96	563.18	1331.57	1832.01	967.76	825.0	738.29
L3MBTL1	253.23	198.47	176.29	299.25	100.13	361.04	718.08	361.04	780.44	555.41	733.19	400.71	312.0	14.14	17.38	0.0	0.92	1.07	17.0	47.5	18.29	16.03	11.47
LMAN2L	281.09	262.2	248.0	312.0	190.34	297.17	289.02	368.65	346.29	397.93	363.56	336.79	334.46	248.0	197.09	0.0	0.28	211.31	113.56	229.72	118.43	218.79	113.56
LRRC37B	260.38	348.71	256.78	260.38	172.65	279.14	371.22	551.56	356.05	400.71	567.1	346.29	309.83	59.97	119.26	0.0	0.55	54.72	106.63	43.94	71.5	73.03	82.29
LYG1	16.03	23.08	14.78	17.0	14.78	31.45	21.63	93.35	45.53	46.84	43.94	41.22	57.08	1.35	6.21	0.0	0.72	1.0	0.0	4.35	0.79	0.96	3.63
LZTR1	1304.15	872.1	988.12	1051.79	961.07	1437.15	1119.56	1583.71	1295.13	1359.57	1001.93	1191.69	1127.35	412.0	518.15	0.0	0.99	151.22	277.2	358.54	146.03	228.13	155.5
MAST1	11.73	28.24	9.48	18.03	18.7	3.56	23.59	17.51	40.07	28.04	31.0	21.32	17.38	10.79	12.55	0.0	0.39	0.0	8.99	1.14	40.07	1.25	0.82
MEN1	743.43	713.11	728.11	1015.93	665.29	728.11	928.3	1216.75	967.76	1111.82	934.76	796.86	808.0	323.03	551.56	0.0	0.83	232.94	332.14	603.67	356.05	366.09	343.89
MITD1	688.78	802.41	493.56	1030.12	503.95	764.36	872.1	1001.93	764.36	988.12	995.0	738.29	813.63	289.02	780.44	0.0	0.54	555.41	503.95	297.17	457.25	271.48	607.87
MOV10L1	5.23	5.36	3.86	18.03	23.93	11.73	13.52	69.52	14.78	35.76	37.85	23.76	15.56	7.82	5.41	0.0	0.36	2.97	5.82	1.45	2.68	6.36	1.28
MROH1	551.56	470.14	536.45	532.74	371.22	595.34	753.83	854.13	954.43	1030.12	848.22	928.3	647.07	409.15	291.04	0.0	0.8	119.26	295.11	285.03	165.57	220.32	107.38
MSANTD2	124.37	116.78	112.77	193.01	125.24	264.03	181.28	395.18	264.03	305.55	305.55	265.87	246.28	28.86	69.52	0.0	0.61	15.91	29.06	39.22	31.0	27.05	34.02
MSS51	27.64	25.17	19.39	40.36	16.03	44.57	33.3	85.82	50.63	65.72	70.01	58.3	47.84	3.63	9.2	0.0	0.66	2.03	3.47	10.39	6.89	3.89	5.82
NEIL1	460.44	414.87	571.05	511.0	358.54	529.06	1508.65	2209.26	1819.35	1369.04	1697.45	1709.26	748.61	13.83	204.07	0.0	1.1	6.52	22.26	49.21	64.8	53.19	29.7
NEK9	660.68	547.75	571.05	703.28	575.03	656.11	616.37	941.27	854.13	842.36	981.29	836.53	723.08	371.22	457.25	0.0	0.79	381.68	299.25	486.75	358.54	332.14	366.09
NEURL4	503.95	447.82	412.0	599.49	400.71	620.67	389.72	769.69	651.58	802.41	426.57	629.35	503.95	76.17	273.37	0.0	0.87	57.89	145.02	114.36	151.22	162.14	96.01
NISCH	1437.15	1781.89	1487.87	1674.06	1259.69	1617.0	1870.53	2956.17	1806.78	2609.3	2047.0	2163.77	1519.15	239.52	629.35	0.0	0.92	176.29	444.72	603.67	343.89	381.68	275.28
NMT1	1794.29	1498.22	1208.34	2303.12	1685.71	2816.11	1561.89	2148.82	2434.5	2485.67	2417.67	2209.26	2178.83	1350.18	1143.1	2400.97	703.28	825.0	1233.75	1250.98	796.86	1388.16	1143.1
NPIPA7	1008.9	1662.49	591.22	2573.36	1250.98	2835.7	1977.24	1628.26	1733.13	2502.97	1617.0	1216.75	2061.24	150.17	728.11	242.88	665.29	131.51	579.04	454.09	356.05	130.6	796.86
PABPC1L	587.13	454.09	329.84	1081.39	400.71	1259.69	974.5	1397.83	872.1	1119.56	1199.98	642.59	1015.93	16.39	186.4	819.3	480.04	3.56	15.34	74.06	26.67	25.17	15.34
PAN2	808.0	743.43	836.53	1417.35	612.11	1331.57	1304.15	2816.11	1651.0	1457.23	1674.06	1277.29	1044.52	104.42	307.69	0.0	1.06	67.59	182.55	172.65	98.73	144.01	64.8
PARP10	1135.2	1104.13	647.07	1225.22	595.34	808.0	884.29	1008.9	961.07	1437.15	1697.45	909.17	1135.2	287.01	669.92	0.0	0.89	154.42	503.95	358.54	486.75	435.55	253.23
PCED1A	525.39	403.5	444.72	703.28	595.34	796.86	669.92	1857.6	1037.29	1127.35	1119.56	1037.29	921.88	332.14	497.0	0.0	1.0	172.65	204.07	249.73	177.53	198.47	171.45
PDDC1	1167.14	947.83	915.51	1216.75	713.11	1208.34	860.08	1051.79	1127.35	1467.37	1498.22	1216.75	1143.1	339.14	791.35	703.28	104.42	232.94	616.37	466.88	563.18	591.22	271.48
PHYKPL	728.11	624.99	638.15	642.59	616.37	1151.06	872.1	2209.26	2018.8	1175.27	2004.85	1662.49	1295.13	255.0	435.55	0.0	1.03	135.24	279.14	253.23	201.25	215.77	197.09
PLA2G6	559.28	543.96	674.59	669.92	314.17	836.53	848.22	1769.57	1191.69	1477.58	1233.75	1119.56	866.07	71.0	117.6	0.0	0.91	37.32	94.67	114.36	82.29	63.89	63.89
PLCH2	1733.13	1519.15	2997.45	1350.18	909.17	954.43	1313.23	1427.22	1119.56	1923.14	1883.54	961.07	1277.29	163.28	181.28	0.0	0.8	246.28	1059.11	1277.29	521.76	392.44	507.46
POGZ	813.63	819.3	656.11	981.29	591.22	954.43	1073.91	1583.71	1143.1	1277.29	1233.75	1066.48	1044.52	199.85	223.41	366.09	226.54	80.01	209.84	164.42	191.67	214.27	85.82
POLG2	218.79	201.25	176.29	332.14	193.01	297.17	277.2	392.44	412.0	432.53	420.68	323.03	289.02	35.5	79.45	0.0	0.85	34.51	62.56	105.15	72.01	41.52	40.93
POLL	387.02	366.09	412.0	607.87	381.68	733.19	603.67	1088.92	780.44	842.36	748.61	808.0	642.59	275.28	312.0	0.0	0.14	283.05	198.47	182.55	291.04	299.25	202.66
POLN	18.03	19.11	28.86	24.81	10.71	24.11	24.28	64.34	27.25	36.27	28.04	28.04	15.34	1.17	10.63	0.0	0.49	0.25	6.01	6.89	7.11	6.94	2.94
PRICKLE4	669.92	713.11	473.41	559.28	236.21	555.41	909.17	1304.15	1529.73	1359.57	1437.15	1331.57	1295.13	50.98	295.11	0.0	0.73	204.07	417.77	493.56	281.09	785.88	406.31
PRR14	1167.14	1059.11	1096.5	1088.92	860.08	1111.82	1066.48	1651.0	1233.75	1259.69	1208.34	954.43	1167.14	426.57	698.41	0.0	0.88	426.57	480.04	684.02	414.87	633.73	647.07
PTDSS2	480.04	356.05	454.09	463.65	447.82	441.64	463.65	921.88	525.39	583.07	591.22	507.46	500.46	348.71	543.96	0.0	0.73	176.29	149.12	368.65	161.02	191.67	239.52
RAB11B	2351.53	2287.2	2400.97	2537.92	2319.15	2537.92	2133.97	2664.15	2434.5	2997.45	2701.35	2240.11	2664.15	1674.06	1709.26	2148.82	536.45	1135.2	1388.16	1066.48	1359.57	1685.71	1498.22
RFNG	1001.93	1037.29	1096.5	1183.45	1037.29	1407.55	1457.23	2163.77	1651.0	1487.87	1583.71	1639.59	1487.87	450.94	743.43	0.0	0.83	409.15	403.5	480.04	473.41	500.46	291.04
RGL2	2148.82	2555.58	2739.08	2224.63	1030.12	3190.46	2303.12	5112.16	4512.4	4704.07	3515.68	3146.52	3168.41	698.41	848.22	0.0	0.99	587.13	842.36	1242.34	836.53	819.3	642.59
RIPK3	301.33	229.72	260.38	785.88	181.28	629.35	607.87	728.11	743.43	587.13	915.51	733.19	688.78	79.45	186.4	0.0	0.62	112.77	325.29	249.73	77.79	267.73	167.9
RP11-192H23.4	50.63	52.45	30.12	116.78	123.5	153.34	95.34	161.02	134.3	150.17	121.79	134.3	149.12	16.51	32.59	0.0	0.89	1.68	17.25	22.1	7.51	6.06	8.85
RP11-5A19.5	86.43	65.72	66.65	175.07	101.54	237.86	232.94	435.55	293.07	381.68	379.04	285.03	215.77	0.0	26.1	0.0	1.19	1.25	4.06	11.47	2.61	3.0	1.77
RRNAD1	591.22	497.0	713.11	947.83	587.13	974.5	954.43	1844.76	1561.89	1359.57	1250.98	1059.11	1030.12	217.27	463.65	0.0	0.67	267.73	423.61	307.69	368.65	435.55	343.89
SAFB	1572.76	1127.35	1427.22	1832.01	1733.13	1857.6	1378.57	1685.71	1662.49	2004.85	1870.53	1605.83	1674.06	802.41	1277.29	1250.98	182.55	432.53	1088.92	1119.56	974.5	753.83	947.83
SH3BP5L	718.08	759.08	642.59	536.45	262.2	447.82	559.28	575.03	743.43	791.35	651.58	679.29	629.35	275.28	423.61	0.0	0.36	414.87	368.65	305.55	473.41	591.22	688.78
SHARPIN	1561.89	1359.57	1331.57	1143.1	1023.0	1583.71	1225.22	1794.29	1909.85	1651.0	1583.71	1359.57	1561.89	1304.15	1304.15	3665.02	285.03	748.61	872.1	753.83	1286.18	1073.91	759.08
SKIV2L	1151.06	1015.93	981.29	902.89	748.61	1037.29	884.29	2240.11	1477.58	1304.15	854.13	947.83	1023.0	579.04	848.22	0.0	0.96	275.28	587.13	620.67	624.99	414.87	460.44
SLC35E2B	521.76	409.15	490.14	890.44	438.59	620.67	620.67	1594.73	1259.69	1066.48	1540.37	759.08	921.88	82.29	264.03	0.0	0.68	133.36	123.5	142.01	104.42	201.25	138.1
SPIDR	595.34	595.34	591.22	909.17	511.0	825.0	860.08	1572.76	1233.75	878.17	1044.52	934.76	854.13	371.22	503.95	728.11	1216.75	299.25	283.05	753.83	255.0	361.04	183.82
SRRM2	13399.51	13033.07	12943.04	15824.9	13492.72	18819.27	18431.96	22692.63	21320.18	26067.14	25887.07	25708.25	19482.97	2855.44	7280.4	5555.65	20737.16	1651.0	4512.4	5147.73	4328.55	4268.94	3540.14
SRRM5	11.91	16.03	14.45	33.78	12.0	40.93	28.24	34.26	48.18	32.36	39.22	31.9	65.26	0.73	5.82	0.0	0.37	0.82	4.5	3.11	3.17	2.97	1.45
STAG3	81.14	65.72	95.34	62.12	37.59	61.25	65.26	246.28	94.67	87.03	76.71	90.14	82.87	17.13	17.25	0.0	0.61	2.73	8.06	26.28	7.22	14.45	1.28
STARD3	1572.76	1167.14	1088.92	1216.75	1225.22	1617.0	1617.0	3372.43	2104.58	1950.0	2271.4	2090.03	1745.2	1104.13	896.64	0.0	0.73	343.89	748.61	854.13	780.44	571.05	420.68
STK11IP	575.03	503.95	493.56	547.75	435.55	813.63	447.82	1104.13	674.59	791.35	660.68	698.41	647.07	221.86	312.0	215.77	228.13	105.15	384.34	273.37	198.47	208.38	177.53
STK36	525.39	669.92	579.04	669.92	432.53	684.02	830.75	2287.2	890.44	1008.9	836.53	872.1	708.18	33.78	169.07	0.0	0.83	39.79	66.65	146.03	74.06	94.01	60.82
STK38	1135.2	1304.15	1008.9	796.86	656.11	915.51	902.89	1119.56	1167.14	884.29	1096.5	961.07	1378.57	414.87	703.28	447.82	124.37	547.75	583.07	480.04	647.07	728.11	563.18
STRADB	423.61	802.41	967.76	392.44	147.06	325.29	379.04	579.04	718.08	660.68	511.0	480.04	612.11	117.6	214.27	0.0	0.43	353.59	94.01	92.7	236.21	205.5	156.59
SULT1A3	234.57	341.51	181.28	616.37	412.0	514.56	718.08	2537.92	1135.2	743.43	848.22	629.35	1008.9	36.27	163.28	728.11	2209.26	13.93	65.26	48.52	105.89	59.97	173.85
SYNJ2BP	141.02	111.99	99.43	234.57	143.01	201.25	260.38	281.09	332.14	336.79	387.02	334.46	301.33	142.01	201.25	0.0	0.27	228.13	185.11	154.42	158.79	173.85	73.03
SYTL1	3665.02	3419.52	6887.62	4972.34	3515.68	5329.3	6164.49	6381.92	6079.61	8305.36	7130.55	4239.45	5954.47	466.88	2816.11	0.0	0.77	1936.53	3419.52	1991.0	3515.68	2609.3	2976.74
TBC1D17	1191.69	1044.52	1037.29	796.86	607.87	928.3	860.08	1551.09	1250.98	1359.57	1340.84	1208.34	1051.79	447.82	571.05	0.0	0.52	417.77	514.56	381.68	476.71	591.22	575.03
TBC1D3H	183.82	131.51	69.03	142.01	71.5	301.33	170.25	775.05	309.83	356.05	316.37	733.19	656.11	1.5	37.32	0.0	0.99	0.46	9.7	7.63	8.06	19.53	1.35
TBC1D9B	1819.35	1529.73	1781.89	2004.85	1583.71	2271.4	2303.12	3124.78	2835.7	2303.12	3146.52	2796.65	2573.36	1104.13	1037.29	620.67	555.41	738.29	1697.45	896.64	1073.91	1044.52	733.19
TBCK	264.03	368.65	318.57	389.72	135.24	329.84	264.03	988.12	483.38	532.74	547.75	395.18	417.77	85.22	297.17	0.0	0.13	297.17	152.28	232.94	111.99	144.01	189.02
TCHP	500.46	507.46	381.68	603.67	389.72	603.67	563.18	738.29	684.02	656.11	769.69	703.28	723.08	223.41	486.75	289.02	158.79	277.2	769.69	211.31	563.18	493.56	791.35
TIAL1	2004.85	2319.15	1806.78	2061.24	1427.22	1794.29	2319.15	3467.27	2664.15	2351.53	2468.49	2018.8	1936.53	1159.07	1417.35	0.0	0.96	830.75	1151.06	1081.39	1119.56	974.5	1242.34
TLR9	6.84	3.44	21.16	5.02	2.23	9.13	9.85	28.24	22.92	18.97	8.32	15.11	3.0	2.86	0.0	0.0	0.36	0.0	1.35	3.96	0.21	0.55	0.93
TMCO4	343.89	384.34	260.38	466.88	409.15	629.35	514.56	743.43	656.11	764.36	525.39	470.14	860.08	86.43	163.28	0.0	0.42	202.66	113.56	150.17	232.94	327.56	173.85
TOP3B	525.39	500.46	371.22	583.07	497.0	764.36	718.08	974.5	967.76	872.1	808.0	651.58	718.08	262.2	273.37	0.0	0.77	67.59	133.36	175.07	166.73	134.3	116.78
TRMT2A	1331.57	1151.06	909.17	1216.75	872.1	1111.82	860.08	1639.59	1286.18	1417.35	1044.52	981.29	1096.5	599.49	988.12	0.0	0.87	303.44	237.86	417.77	351.14	473.41	241.19
