	TCGA.UY.A8OD.01A.11R.A36F.07	TCGA.E2.A14Y.01A.21R.A12D.07	TCGA.B6.A1KN.01A.11R.A13Q.07	TCGA.A8.A08X.01A.21R.A00Z.07	TCGA.OL.A5RZ.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A2.A1G1.01A.21R.A13Q.07	TCGA.A7.A2KD.01A.31R.A21T.07	TCGA.D8.A1XJ.01A.11R.A14M.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.BH.A0HY.01A.11R.A056.07	TCGA.E2.A1B0.01A.11R.A12P.07	GTEX.14AS3.1626.SM.5S2OY	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.AAEH.01A.11R.A41C.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DI.A2QT.01A.12R.A19W.07
ASPM	90.77	417.77	161.02	218.79	106.63	248.0	392.44	212.78	205.5	180.02	232.94	363.56	3.41	28.65	21.94	7.57	105.15	106.63	1.04	73.54
BCL9L	186.4	733.19	595.34	848.22	194.36	808.0	1096.5	769.69	753.83	780.44	599.49	759.08	373.81	38.67	104.42	102.25	70.01	27.84	100.83	98.04
BCLAF1	476.71	1127.35	1540.37	2303.12	967.76	2209.26	2758.13	1639.59	2018.8	1487.87	1167.14	2178.83	693.58	241.19	218.79	309.83	236.21	228.13	140.04	967.76
BRCA2	31.9	66.65	94.67	397.93	30.78	106.63	314.17	190.34	183.82	118.43	119.26	146.03	4.5	0.84	2.51	2.18	5.15	7.17	0.54	23.93
BRCC3	206.94	473.41	457.25	457.25	275.28	603.67	921.88	688.78	1037.29	518.15	351.14	1001.93	182.55	206.94	123.5	126.12	279.14	137.14	52.82	507.46
BZW1	2816.11	3589.58	3982.99	2148.82	3982.99	3716.2	4802.93	6121.9	6079.61	2720.15	3589.58	4802.93	3419.52	1242.34	1806.78	2502.97	1857.6	1268.46	1540.37	1407.55
CAPZA1	1378.57	1674.06	1651.0	1794.29	1030.12	2417.67	3794.3	2061.24	2451.44	2915.45	1883.54	2434.5	743.43	343.89	543.96	612.11	947.83	769.69	384.34	825.0
CBX5	218.79	483.38	447.82	341.51	217.27	361.04	836.53	688.78	1059.11	450.94	293.07	460.44	228.13	82.87	91.41	167.9	85.22	119.26	85.22	395.18
CCAR1	1498.22	1487.87	1119.56	1359.57	1268.46	1183.45	1605.83	1583.71	1304.15	1096.5	1369.04	1457.23	329.84	314.17	343.89	406.31	703.28	642.59	52.45	1340.84
CCDC93	115.16	167.9	309.83	289.02	132.44	189.02	432.53	325.29	157.68	293.07	312.0	255.0	144.01	88.88	96.01	101.54	105.89	138.1	38.67	124.37
CCNJ	62.56	107.38	92.7	90.77	208.38	108.9	190.34	96.01	109.66	73.03	84.04	132.44	34.75	12.55	9.27	8.71	9.56	1.55	8.0	111.21
CDC27	483.38	423.61	669.92	616.37	172.65	796.86	1096.5	698.41	579.04	620.67	780.44	819.3	277.2	187.71	146.03	289.02	275.28	323.03	167.9	341.51
CENPI	42.41	101.54	136.19	115.16	37.85	81.14	215.77	156.59	144.01	84.04	64.8	242.88	7.46	4.54	3.06	4.9	5.28	7.94	0.55	63.45
CIT	51.71	161.02	136.19	132.44	69.52	130.6	170.25	229.72	80.01	91.41	150.17	108.9	9.41	48.87	8.32	12.0	7.88	56.68	3.06	89.51
CSDE1	3742.05	3794.3	4419.52	5633.22	4481.23	6745.86	10733.74	4358.66	7382.04	8658.09	4066.71	6294.04	4836.35	1697.45	2004.85	1844.76	2075.59	1806.78	1551.09	1977.24
CUL5	108.14	175.07	312.0	208.38	86.43	228.13	463.65	291.04	269.6	269.6	162.14	497.0	171.45	136.19	140.04	114.36	124.37	95.34	77.79	49.21
CYB5R4	100.83	318.57	255.0	249.73	92.7	417.77	551.56	379.04	387.02	423.61	297.17	368.65	198.47	96.01	70.01	96.68	52.45	50.63	72.01	66.65
DARS	1457.23	1467.37	1359.57	1388.16	1059.11	1617.0	2351.53	1733.13	1819.35	1605.83	1216.75	1883.54	1457.23	397.93	447.82	759.08	738.29	759.08	463.65	1369.04
DBT	69.52	66.65	136.19	127.0	34.26	122.64	303.44	139.07	228.13	204.07	165.57	258.57	76.17	56.68	87.65	63.0	126.12	52.45	90.77	71.5
DDX3X	1001.93	2047.0	2018.8	2119.22	1685.71	2555.58	3564.78	2367.9	3018.3	1857.6	1519.15	2720.15	2061.24	660.68	698.41	884.29	743.43	571.05	647.07	1023.0
DIS3	134.3	423.61	420.68	457.25	85.82	476.71	698.41	353.59	665.29	441.64	325.29	525.39	166.73	53.57	120.94	144.01	123.5	121.79	89.51	201.25
DPP3	775.05	872.1	638.15	872.1	1745.2	1167.14	1378.57	954.43	1757.34	1151.06	1081.39	1651.0	441.64	536.45	785.88	470.14	432.53	688.78	563.18	1088.92
DR1	429.54	532.74	620.67	575.03	2915.45	785.88	1008.9	954.43	974.5	688.78	698.41	791.35	651.58	170.25	198.47	246.28	262.2	299.25	209.84	258.57
ERCC6L	26.28	62.56	54.33	104.42	42.11	61.25	136.19	123.5	96.68	65.72	47.17	126.12	8.13	2.53	1.25	1.77	7.63	4.94	0.68	32.82
EXOC5	346.29	555.41	529.06	334.46	269.6	466.88	890.44	563.18	1030.12	490.14	521.76	764.36	353.59	105.15	95.34	157.68	129.69	108.14	51.35	138.1
FAM114A1	376.41	764.36	638.15	616.37	460.44	1081.39	1572.76	769.69	1167.14	981.29	679.29	1073.91	351.14	165.57	389.72	438.59	332.14	260.38	371.22	128.79
FAM73A	52.45	59.13	162.14	43.63	41.81	163.28	366.09	218.79	297.17	65.26	128.79	202.66	89.51	16.39	19.25	28.65	32.82	26.47	27.64	39.5
FOXO3	273.37	507.46	500.46	571.05	348.71	563.18	764.36	915.51	1037.29	476.71	409.15	738.29	269.6	85.22	87.65	236.21	97.36	156.59	153.34	253.23
FYTTD1	511.0	915.51	928.3	1709.26	669.92	934.76	1651.0	1059.11	1051.79	1674.06	890.44	1340.84	896.64	159.9	262.2	295.11	277.2	183.82	223.41	204.07
GDAP2	175.07	105.89	158.79	183.82	81.14	193.01	307.69	172.65	269.6	215.77	157.68	231.32	171.45	108.14	115.16	70.51	81.14	79.45	94.67	165.57
GNAI3	1008.9	866.07	1088.92	995.0	656.11	1167.14	2209.26	1225.22	1781.89	1199.98	1119.56	1628.26	1167.14	334.46	403.5	493.56	420.68	409.15	384.34	414.87
GPBP1L1	890.44	1313.23	1167.14	1651.0	2075.59	1769.57	2240.11	1628.26	1617.0	1977.24	1242.34	1417.35	884.29	559.28	708.18	934.76	1437.15	674.59	860.08	1037.29
HIVEP2	58.71	139.07	183.82	206.94	113.56	202.66	414.87	181.28	275.28	239.52	87.03	267.73	98.73	14.24	33.54	37.32	23.59	31.9	18.29	67.59
HK1	1487.87	2133.97	1662.49	1277.29	1977.24	2956.17	2664.15	2047.0	2537.92	1745.2	2075.59	2935.74	1008.9	713.11	161.02	195.72	144.01	49.21	103.69	909.17
IGF2R	228.13	718.08	371.22	836.53	397.93	1008.9	1594.73	842.36	1674.06	974.5	532.74	878.17	204.07	454.09	223.41	406.31	220.32	651.58	529.06	341.51
INADL	151.22	356.05	291.04	297.17	713.11	660.68	638.15	703.28	476.71	392.44	441.64	514.56	265.87	92.05	68.07	101.54	128.79	149.12	72.52	314.17
INTS6	191.67	536.45	417.77	466.88	143.01	555.41	819.3	426.57	503.95	543.96	518.15	497.0	271.48	162.14	162.14	334.46	287.01	187.71	98.04	172.65
IQGAP1	2451.44	4268.94	3212.66	3982.99	1977.24	4481.23	5594.3	3146.52	4358.66	7485.11	2720.15	5672.41	2061.24	115.16	172.65	379.04	373.81	146.03	152.28	1191.69
KDM1B	120.94	269.6	255.0	248.0	412.0	279.14	616.37	343.89	336.79	341.51	325.29	521.76	214.27	46.5	40.36	76.17	159.9	98.73	51.71	72.01
KIAA1199	105.89	56.28	34.75	567.1	21.47	68.07	202.66	134.3	314.17	287.01	107.38	175.07	5.68	0.0	10.96	33.54	6.11	71.0	1.03	13.72
KIF14	26.86	149.12	75.64	96.68	30.56	84.63	183.82	83.45	60.39	127.89	75.11	172.65	1.2	1.97	2.46	1.64	9.93	13.83	1.1	22.26
KIF4A	150.17	356.05	172.65	251.48	176.29	258.57	466.88	403.5	423.61	209.84	170.25	551.56	5.5	10.39	11.91	6.46	28.86	40.36	2.23	157.68
KIF5B	860.08	928.3	1540.37	1519.15	802.41	1119.56	2976.74	1191.69	1331.57	1350.18	1369.04	1844.76	915.51	141.02	198.47	307.69	255.0	269.6	98.04	376.41
KPNB1	3168.41	2976.74	5006.93	3039.3	1639.59	3955.48	6337.83	3467.27	3303.0	2935.74	3491.39	4450.27	728.11	1081.39	688.78	1081.39	1561.89	1721.16	423.61	2520.38
LIMS1	928.3	595.34	674.59	616.37	432.53	684.02	1844.76	934.76	1015.93	1159.07	665.29	1030.12	497.0	101.54	186.4	226.54	132.44	125.24	82.87	242.88
LRRC40	109.66	172.65	166.73	124.37	73.54	209.84	309.83	301.33	251.48	217.27	102.25	291.04	202.66	68.07	68.55	86.43	110.43	82.87	60.82	116.78
LTN1	43.63	140.04	228.13	147.06	65.72	170.25	309.83	260.38	209.84	299.25	133.36	387.02	75.11	35.5	41.22	41.52	38.4	45.21	33.54	72.01
MAGT1	563.18	748.61	616.37	775.05	483.38	796.86	2104.58	1378.57	1397.83	1950.0	1104.13	1909.85	909.17	518.15	748.61	713.11	728.11	532.74	718.08	1023.0
MAP3K2	143.01	175.07	301.33	177.53	131.51	185.11	591.22	368.65	265.87	260.38	189.02	409.15	80.01	99.43	103.69	114.36	129.69	55.89	43.94	85.22
MAP3K7	217.27	309.83	358.54	346.29	231.32	384.34	743.43	620.67	379.04	476.71	262.2	511.0	244.57	111.99	112.77	183.82	105.89	164.42	64.34	255.0
MAPK1	454.09	921.88	1407.55	825.0	226.54	1167.14	2976.74	1175.27	2075.59	1685.71	1242.34	1977.24	536.45	96.68	187.71	323.03	202.66	277.2	307.69	220.32
MAST2	323.03	432.53	366.09	429.54	500.46	563.18	669.92	543.96	514.56	759.08	563.18	624.99	217.27	163.28	137.14	159.9	228.13	265.87	85.82	267.73
MCM9	83.45	182.55	189.02	124.37	356.05	195.72	303.44	285.03	343.89	180.02	132.44	279.14	201.25	25.72	20.86	56.28	44.57	51.71	36.79	88.26
MED23	161.02	150.17	339.14	379.04	221.86	409.15	514.56	500.46	435.55	376.41	341.51	414.87	178.77	64.8	62.56	102.25	90.77	98.73	74.06	189.02
METTL8	232.94	503.95	206.94	275.28	95.34	297.17	518.15	334.46	301.33	186.4	281.09	397.93	153.34	65.26	78.34	44.89	71.5	109.66	33.06	214.27
MIS18BP1	327.56	218.79	224.97	373.81	193.01	334.46	457.25	325.29	329.84	307.69	246.28	381.68	86.43	39.79	58.3	32.59	53.57	51.35	16.27	239.52
MSL3	412.0	363.56	507.46	981.29	353.59	540.19	1159.07	429.54	1104.13	497.0	303.44	669.92	191.67	176.29	201.25	269.6	208.38	253.23	114.36	316.37
MTF1	44.57	77.25	117.6	101.54	22.1	169.07	281.09	163.28	204.07	115.16	84.63	171.45	78.89	28.45	35.76	39.22	36.79	32.36	13.62	75.64
NDC1	193.01	660.68	289.02	454.09	78.89	525.39	884.29	463.65	591.22	381.68	497.0	679.29	158.79	77.79	62.56	87.65	115.97	162.14	85.82	264.03
NONO	6935.54	7803.01	4328.55	10154.69	6294.04	7433.4	9945.68	7749.1	7433.4	6079.61	4736.79	8901.53	3081.75	3103.19	2255.7	3589.58	3614.55	3928.15	2434.5	6250.56
NOTCH2	249.73	332.14	587.13	616.37	206.94	753.83	1709.26	708.18	624.99	1015.93	1008.9	1008.9	379.04	81.14	107.38	145.02	104.42	74.06	147.06	139.07
NRAS	279.14	348.71	438.59	244.57	283.05	529.06	1519.15	591.22	802.41	638.15	480.04	339.14	224.97	201.25	165.57	279.14	277.2	242.88	181.28	211.31
NSD1	125.24	289.02	447.82	351.14	211.31	325.29	785.88	470.14	616.37	336.79	287.01	928.3	142.01	80.01	59.13	87.03	119.26	96.01	57.08	194.36
NT5DC1	273.37	525.39	500.46	591.22	384.34	612.11	967.76	708.18	1073.91	463.65	297.17	1175.27	638.15	454.09	220.32	283.05	241.19	551.56	500.46	334.46
NUP50	279.14	748.61	417.77	555.41	232.94	575.03	860.08	878.17	819.3	684.02	669.92	753.83	201.25	154.42	154.42	251.48	327.56	195.72	108.9	234.57
NUPL1	316.37	336.79	397.93	466.88	152.28	412.0	866.07	529.06	743.43	454.09	285.03	507.46	131.51	61.25	96.68	170.25	106.63	139.07	87.65	206.94
PANX1	172.65	406.31	339.14	285.03	86.43	457.25	571.05	332.14	429.54	379.04	297.17	403.5	138.1	186.4	275.28	144.01	194.36	237.86	142.01	50.27
PIK3R3	100.83	612.11	1250.98	753.83	511.0	2915.45	2701.35	1617.0	2555.58	981.29	2119.22	1331.57	406.31	66.65	96.01	73.03	72.52	57.08	25.17	126.12
PRR11	94.01	693.58	197.09	358.54	181.28	299.25	830.75	387.02	147.06	155.5	325.29	476.71	11.64	4.28	6.73	27.25	18.29	26.47	3.99	88.88
QKI	271.48	511.0	473.41	1096.5	171.45	713.11	1617.0	1051.79	575.03	967.76	269.6	1322.37	373.81	69.52	118.43	295.11	154.42	176.29	180.02	214.27
R3HDM1	262.2	507.46	435.55	460.44	323.03	412.0	723.08	466.88	447.82	486.75	273.37	684.02	153.34	96.68	107.38	119.26	152.28	121.79	50.63	217.27
RANBP2	211.31	460.44	486.75	368.65	262.2	450.94	1001.93	603.67	753.83	698.41	480.04	660.68	339.14	104.42	128.79	118.43	147.06	96.01	84.63	256.78
RBM26	241.19	587.13	457.25	698.41	232.94	521.76	941.27	536.45	638.15	612.11	409.15	493.56	295.11	82.29	135.24	190.34	194.36	182.55	31.9	305.55
RIF1	120.1	202.66	262.2	163.28	103.69	177.53	323.03	309.83	258.57	193.01	118.43	320.8	83.45	39.79	37.85	45.21	44.25	40.64	14.03	76.71
RLF	133.36	167.9	140.04	178.77	142.01	226.54	432.53	253.23	327.56	141.02	114.36	273.37	107.38	54.33	47.17	50.27	64.8	26.1	20.56	99.43
RLIM	182.55	223.41	201.25	264.03	125.24	255.0	591.22	327.56	457.25	373.81	198.47	460.44	119.26	59.55	67.59	84.04	76.71	53.57	51.35	202.66
RP11-463D19.2	0.0	0.0	0.0	90.77	0.0	28.86	94.01	25.35	37.05	15.34	29.7	19.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPE	567.1	624.99	753.83	511.0	336.79	872.1	981.29	1044.52	947.83	698.41	525.39	974.5	511.0	244.57	242.88	277.2	260.38	307.69	258.57	599.49
RPL19	1578364.61	619179.28	542775.98	716197.51	2343119.96	411347.03	32994.92	422911.59	839981.65	2845004.48	482442.34	345900.08	531605.79	47313.67	48982.22	51062.33	51417.5	87075.75	29943.43	1318073.06
RTCA	329.84	376.41	435.55	438.59	389.72	579.04	1199.98	575.03	909.17	559.28	463.65	769.69	361.04	343.89	269.6	316.37	348.71	486.75	208.38	305.55
SASS6	61.25	70.51	94.01	76.71	50.27	75.64	164.42	110.43	119.26	76.71	84.04	124.37	34.26	10.31	7.88	13.42	27.44	11.55	4.98	47.5
SCAF8	180.02	316.37	392.44	343.89	571.05	466.88	629.35	633.73	674.59	417.77	346.29	521.76	305.55	75.11	67.59	147.06	133.36	90.77	101.54	295.11
SF3A3	693.58	1088.92	1111.82	1639.59	555.41	1745.2	2555.58	1259.69	2451.44	1183.45	1208.34	1561.89	1088.92	486.75	543.96	728.11	555.41	651.58	470.14	1030.12
SHPRH	21.63	66.18	88.26	78.34	73.03	81.71	159.9	117.6	63.89	98.04	44.25	108.14	49.21	9.7	4.46	10.88	8.99	16.63	5.23	25.17
SLC30A7	100.83	105.89	223.41	183.82	74.06	336.79	441.64	281.09	470.14	371.22	232.94	450.94	53.95	64.8	77.79	82.29	90.14	94.67	55.89	74.58
SLC33A1	262.2	309.83	397.93	679.29	150.17	551.56	753.83	400.71	819.3	848.22	748.61	872.1	223.41	140.04	295.11	202.66	249.73	269.6	251.48	283.05
SYNCRIP	647.07	1639.59	1769.57	1923.14	1143.1	2384.37	5555.65	2573.36	4038.61	2434.5	1208.34	3235.01	656.11	289.02	351.14	693.58	343.89	559.28	438.59	961.07
TCF12	363.56	660.68	872.1	638.15	450.94	759.08	1359.57	866.07	536.45	1008.9	595.34	1104.13	329.84	101.54	115.16	181.28	145.02	107.38	87.03	246.28
TCF3	2319.15	1208.34	738.29	2400.97	5594.3	1721.16	1870.53	1745.2	1277.29	1806.78	1674.06	1350.18	759.08	368.65	400.71	555.41	412.0	802.41	191.67	1119.56
TFCP2	473.41	518.15	128.79	366.09	483.38	532.74	759.08	490.14	591.22	476.71	493.56	476.71	429.54	177.53	117.6	155.5	246.28	137.14	120.94	417.77
TNFSF4	85.22	22.92	47.84	70.01	18.7	35.25	129.69	141.02	85.22	193.01	41.81	66.65	11.55	21.63	19.39	11.73	28.24	34.26	5.63	6.26
TRIM33	180.02	152.28	309.83	435.55	221.86	323.03	587.13	258.57	381.68	497.0	185.11	435.55	96.68	66.65	84.63	141.02	96.68	78.89	55.49	124.37
TTF2	197.09	183.82	232.94	384.34	234.57	244.57	559.28	341.51	379.04	314.17	303.44	497.0	151.22	19.39	20.41	29.06	47.17	47.5	29.48	204.07
TTLL5	688.78	423.61	291.04	511.0	166.73	435.55	563.18	363.56	551.56	447.82	438.59	503.95	206.94	158.79	199.85	129.69	101.54	145.02	90.77	336.79
UBA6	130.6	348.71	575.03	392.44	251.48	493.56	896.64	414.87	587.13	361.04	211.31	587.13	214.27	34.51	52.82	61.25	82.87	56.68	63.0	145.02
UBXN4	981.29	1250.98	1674.06	1127.35	915.51	1617.0	2178.83	2133.97	2075.59	2090.03	1277.29	1806.78	909.17	559.28	620.67	555.41	921.88	466.88	334.46	723.08
UBXN7	109.66	144.01	140.04	199.85	131.51	185.11	305.55	193.01	255.0	249.73	148.09	223.41	50.27	22.26	29.7	48.18	53.57	34.26	39.22	94.67
USP24	146.03	281.09	336.79	256.78	98.04	325.29	536.45	381.68	379.04	277.2	212.78	356.05	85.22	127.89	106.63	134.3	186.4	105.89	88.26	228.13
USP33	579.04	346.29	638.15	285.03	273.37	583.07	842.36	854.13	947.83	624.99	497.0	633.73	381.68	172.65	232.94	212.78	323.03	198.47	134.3	423.61
USP46	202.66	221.86	343.89	241.19	166.73	351.14	466.88	226.54	224.97	183.82	193.01	361.04	107.38	27.64	40.93	58.71	35.76	45.53	21.32	147.06
WDR3	88.26	275.28	454.09	406.31	201.25	624.99	775.05	450.94	490.14	503.95	224.97	728.11	348.71	39.5	84.63	67.12	87.03	113.56	158.79	94.67
ZDHHC20	164.42	381.68	392.44	571.05	42.11	438.59	1437.15	638.15	836.53	1216.75	343.89	1023.0	260.38	2.32	17.38	18.16	33.78	13.93	30.56	75.11
ZMYM1	59.13	141.02	120.1	94.67	39.5	157.68	228.13	248.0	173.85	131.51	129.69	206.94	86.43	17.0	23.59	22.1	47.84	27.44	7.28	27.84
ZMYM6	91.41	113.56	134.3	132.44	55.89	204.07	271.48	271.48	140.04	178.77	199.85	195.72	73.54	50.27	82.87	63.45	88.88	68.55	30.56	93.35
ZNF354C	15.11	8.38	47.5	33.78	9.2	42.71	63.45	48.18	86.43	35.5	14.35	27.25	20.71	4.06	5.54	2.43	3.86	1.19	1.64	10.63
ZNF695	144.01	165.57	58.3	153.34	88.26	94.01	248.0	106.63	90.14	59.55	117.6	169.07	1.3	2.05	0.57	1.0	1.39	0.8	0.0	195.72
ZNF724P	6.57	17.51	18.16	42.71	25.91	23.42	87.03	39.5	37.05	38.4	34.02	43.94	0.0	2.97	0.56	1.03	1.89	1.48	0.59	5.28
ZSCAN20	8.13	12.45	16.39	16.88	5.28	48.87	43.32	38.95	30.78	20.71	33.06	15.8	18.29	1.73	1.79	8.58	4.28	6.31	1.43	9.85
