	TCGA.D6.6824.01A.11R.1915.07	TCGA.22.5472.11A.11R.1635.07	TCGA.VN.A88P.01A.11R.A352.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.KC.A7FA.01A.21R.A33R.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7330.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7315.11A.01R.2118.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.11TT1.2026.SM.5EQM8	GTEX.139T6.1526.SM.5P9G6	GTEX.YJ8A.1126.SM.5IFJU	GTEX.11NSD.0826.SM.5986S	GTEX.WZTO.0926.SM.4PQZ3	GTEX.XMK1.1026.SM.4B65H	GTEX.13O61.1726.SM.5KM46	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.SJXC.2026.SM.4DM6N	GTEX.14E6E.1126.SM.5S2R4	GTEX.QLQ7.1326.SM.4R1JY	GTEX.WFG8.1826.SM.4LVM4
SDC4	4736.79	5633.22	674.59	1001.93	1819.35	575.03	1151.06	1322.37	1119.56	988.12	483.38	1674.06	303.44	1350.18	1183.45	703.28	1119.56	483.38	884.29	1605.83	1617.0	1757.34	1883.54	1286.18	1143.1	1135.2	796.86	1477.58	961.07	743.43	1199.98	3103.19	2485.67	2502.97	1572.76	2816.11	1909.85	1991.0	1540.37	1870.53	2193.99	1709.26	1857.6	2193.99	2915.45	1519.15	1733.13	3589.58	2193.99	7857.29	1487.87	921.88	1508.65	2502.97	1437.15	902.89	1594.73	967.76	6079.61	2148.82	3190.46
SHC1	2997.45	2303.12	1259.69	775.05	1794.29	769.69	1340.84	1572.76	1594.73	1651.0	1001.93	1674.06	1023.0	1963.57	1467.37	1030.12	1662.49	1216.75	1127.35	1508.65	1963.57	1369.04	1081.39	1073.91	1540.37	1508.65	1199.98	1991.0	1030.12	1369.04	1233.75	2451.44	2485.67	1857.6	1551.09	2133.97	825.0	1870.53	1498.22	1313.23	2367.9	1498.22	1991.0	2384.37	2090.03	1561.89	1709.26	3515.68	2047.0	3639.7	1794.29	1350.18	1991.0	2502.97	1794.29	1529.73	1594.73	1437.15	3018.3	2224.63	2163.77
SIRPA	1208.34	1950.0	129.69	131.51	314.17	77.25	177.53	260.38	265.87	195.72	77.25	295.11	108.14	339.14	195.72	43.63	291.04	169.07	149.12	180.02	320.8	264.03	198.47	202.66	205.5	140.04	145.02	336.79	94.67	228.13	122.64	543.96	356.05	414.87	271.48	476.71	127.89	435.55	244.57	267.73	529.06	229.72	251.48	571.05	363.56	209.84	215.77	395.18	543.96	780.44	297.17	172.65	267.73	656.11	137.14	167.9	239.52	178.77	457.25	379.04	579.04
SLC10A3	674.59	738.29	575.03	624.99	559.28	371.22	616.37	595.34	493.56	507.46	497.0	642.59	493.56	733.19	620.67	361.04	620.67	463.65	507.46	409.15	559.28	651.58	450.94	587.13	595.34	647.07	500.46	521.76	463.65	599.49	514.56	713.11	660.68	571.05	583.07	748.61	460.44	656.11	651.58	563.18	769.69	493.56	656.11	738.29	780.44	591.22	514.56	603.67	743.43	915.51	651.58	547.75	624.99	708.18	607.87	518.15	703.28	579.04	842.36	698.41	961.07
SLC20A2	902.89	872.1	297.17	251.48	595.34	244.57	339.14	559.28	567.1	493.56	281.09	497.0	170.25	384.34	444.72	131.51	466.88	167.9	318.57	518.15	518.15	473.41	303.44	417.77	409.15	438.59	244.57	698.41	295.11	403.5	307.69	842.36	802.41	780.44	607.87	860.08	343.89	759.08	503.95	536.45	698.41	595.34	612.11	819.3	796.86	591.22	693.58	1111.82	713.11	1477.58	493.56	371.22	571.05	884.29	571.05	358.54	346.29	392.44	1397.83	688.78	825.0
SLC22A15	31.67	96.68	27.84	4.58	24.99	14.78	15.34	43.32	62.12	32.59	7.69	22.92	24.63	40.64	19.97	27.84	26.67	29.91	12.55	16.27	15.91	32.36	25.72	17.51	21.47	18.03	10.24	29.7	5.11	22.92	32.82	47.5	53.19	44.89	24.99	46.18	26.28	44.57	14.35	47.84	29.06	21.78	33.06	37.05	80.57	25.54	18.84	53.95	71.0	68.07	24.99	15.56	30.56	70.51	25.54	14.67	18.16	11.47	24.28	48.52	87.65
SLC2A9	348.71	299.25	27.05	20.11	141.02	6.31	85.22	127.0	153.34	94.67	15.68	148.09	7.69	130.6	119.26	13.93	114.36	20.41	56.68	88.26	145.02	110.43	63.45	96.01	90.14	108.14	24.63	180.02	15.0	61.68	37.32	358.54	190.34	237.86	231.32	212.78	155.5	202.66	169.07	145.02	189.02	127.89	193.01	217.27	256.78	97.36	275.28	406.31	316.37	320.8	80.57	171.45	301.33	368.65	260.38	212.78	82.87	65.26	463.65	228.13	473.41
SLC31A2	961.07	981.29	101.54	62.56	137.14	150.17	129.69	111.99	128.79	89.51	122.64	131.51	22.43	116.78	107.38	41.81	108.14	84.63	81.71	102.97	158.79	150.17	122.64	74.06	91.41	92.05	152.28	144.01	97.36	74.06	112.77	255.0	214.27	151.22	190.34	145.02	206.94	167.9	118.43	178.77	164.42	99.43	166.73	236.21	202.66	111.99	297.17	289.02	277.2	155.5	136.19	124.37	170.25	480.04	180.02	157.68	165.57	130.6	423.61	454.09	202.66
SLC35C1	1369.04	514.56	356.05	126.12	341.51	190.34	356.05	358.54	273.37	236.21	223.41	289.02	126.12	258.57	293.07	94.67	277.2	307.69	211.31	277.2	320.8	384.34	199.85	237.86	332.14	334.46	305.55	281.09	229.72	236.21	314.17	536.45	320.8	412.0	289.02	376.41	211.31	412.0	299.25	297.17	358.54	262.2	438.59	397.93	603.67	246.28	214.27	575.03	387.02	473.41	363.56	301.33	320.8	327.56	237.86	325.29	309.83	249.73	387.02	417.77	497.0
SLFN5	1088.92	728.11	65.26	50.98	224.97	44.25	81.14	153.34	100.13	76.17	63.45	122.64	44.57	124.37	84.04	68.07	152.28	102.97	106.63	189.02	320.8	182.55	74.58	75.64	111.21	81.71	62.12	170.25	132.44	76.17	71.0	583.07	295.11	366.09	189.02	173.85	112.77	381.68	88.88	201.25	325.29	142.01	197.09	688.78	307.69	115.16	226.54	397.93	249.73	329.84	295.11	146.03	246.28	336.79	113.56	102.97	128.79	77.25	303.44	299.25	341.51
SSH1	363.56	373.81	121.79	49.91	212.78	65.26	114.36	197.09	147.06	128.79	74.06	152.28	60.82	176.29	140.04	91.41	172.65	92.7	105.15	194.36	211.31	125.24	120.94	100.13	139.07	120.94	80.01	221.86	100.83	120.94	92.7	368.65	320.8	275.28	177.53	248.0	68.55	255.0	147.06	158.79	264.03	198.47	208.38	353.59	264.03	151.22	166.73	371.22	199.85	703.28	197.09	140.04	162.14	279.14	125.24	108.9	111.21	161.02	273.37	285.03	232.94
