	TCGA.D6.6824.01A.11R.1915.07	TCGA.22.5472.11A.11R.1635.07	TCGA.VN.A88P.01A.11R.A352.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.KC.A7FA.01A.21R.A33R.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7330.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7315.11A.01R.2118.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.11TT1.2026.SM.5EQM8	GTEX.139T6.1526.SM.5P9G6	GTEX.YJ8A.1126.SM.5IFJU	GTEX.11NSD.0826.SM.5986S	GTEX.WZTO.0926.SM.4PQZ3	GTEX.XMK1.1026.SM.4B65H	GTEX.13O61.1726.SM.5KM46	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.SJXC.2026.SM.4DM6N	GTEX.14E6E.1126.SM.5S2R4	GTEX.QLQ7.1326.SM.4R1JY	GTEX.WFG8.1826.SM.4LVM4
ATP6V1B2	1794.29	2816.11	624.99	599.49	988.12	423.61	836.53	1059.11	974.5	1059.11	842.36	896.64	1233.75	872.1	785.88	599.49	928.3	525.39	759.08	1051.79	1191.69	928.3	638.15	961.07	902.89	854.13	1008.9	921.88	718.08	660.68	791.35	1127.35	1183.45	1242.34	890.44	802.41	1015.93	1044.52	791.35	1242.34	1037.29	1127.35	1044.52	1242.34	961.07	902.89	842.36	1216.75	1119.56	890.44	961.07	583.07	1208.34	1359.57	909.17	791.35	878.17	656.11	1781.89	1322.37	1216.75
ATP9A	587.13	447.82	316.37	309.83	718.08	376.41	486.75	660.68	543.96	540.19	277.2	444.72	204.07	500.46	503.95	253.23	438.59	305.55	281.09	813.63	595.34	529.06	312.0	343.89	423.61	397.93	256.78	480.04	318.57	351.14	412.0	961.07	854.13	738.29	620.67	497.0	229.72	629.35	429.54	409.15	603.67	728.11	738.29	802.41	642.59	409.15	688.78	825.0	612.11	860.08	595.34	480.04	629.35	1001.93	995.0	400.71	376.41	336.79	1322.37	748.61	532.74
AXL	470.14	1350.18	190.34	66.18	441.64	29.91	209.84	341.51	256.78	231.32	105.89	341.51	34.51	395.18	314.17	42.41	329.84	155.5	186.4	283.05	363.56	295.11	231.32	211.31	291.04	224.97	167.9	361.04	178.77	217.27	107.38	713.11	651.58	406.31	507.46	480.04	232.94	476.71	406.31	301.33	629.35	285.03	312.0	633.73	511.0	358.54	392.44	518.15	607.87	1388.16	583.07	163.28	242.88	444.72	249.73	208.38	165.57	301.33	1104.13	563.18	638.15
B4GALT5	2032.85	819.3	314.17	127.89	450.94	120.94	329.84	371.22	318.57	312.0	185.11	392.44	117.6	490.14	358.54	275.28	384.34	242.88	287.01	438.59	486.75	305.55	329.84	231.32	387.02	297.17	223.41	429.54	239.52	249.73	256.78	718.08	723.08	583.07	384.34	486.75	299.25	493.56	392.44	420.68	660.68	397.93	438.59	629.35	563.18	395.18	511.0	698.41	460.44	1066.48	483.38	327.56	466.88	748.61	334.46	329.84	293.07	320.8	703.28	555.41	429.54
BATF	323.03	182.55	62.12	77.25	63.0	18.56	85.82	66.65	143.01	33.54	29.7	68.07	12.74	57.49	29.48	18.84	27.25	35.25	44.57	17.77	45.53	118.43	232.94	77.79	31.0	42.71	37.85	111.99	44.57	66.18	20.86	260.38	68.55	186.4	53.19	221.86	109.66	198.47	64.34	211.31	151.22	37.32	152.28	172.65	327.56	23.08	103.69	373.81	303.44	497.0	113.56	29.27	47.5	171.45	36.53	27.05	40.64	38.12	145.02	307.69	518.15
BCL7A	209.84	163.28	138.1	97.36	185.11	102.97	113.56	237.86	147.06	159.9	86.43	161.02	87.65	151.22	137.14	138.1	106.63	71.5	114.36	109.66	114.36	181.28	90.77	117.6	124.37	140.04	102.25	142.01	90.14	82.29	86.43	299.25	190.34	258.57	193.01	205.5	106.63	231.32	127.89	148.09	229.72	158.79	201.25	239.52	251.48	118.43	163.28	246.28	264.03	236.21	197.09	157.68	180.02	262.2	171.45	91.41	165.57	96.68	325.29	376.41	400.71
BCL9L	775.05	890.44	234.57	92.05	567.1	139.07	166.73	414.87	323.03	397.93	193.01	318.57	166.73	426.57	312.0	194.36	595.34	165.57	183.82	521.76	426.57	277.2	212.78	191.67	285.03	305.55	142.01	457.25	193.01	232.94	136.19	954.43	836.53	698.41	521.76	665.29	156.59	595.34	226.54	353.59	753.83	563.18	665.29	1001.93	679.29	318.57	591.22	1388.16	400.71	571.05	1135.2	305.55	490.14	808.0	397.93	287.01	353.59	255.0	775.05	775.05	1015.93
CAMK1D	237.86	389.72	40.93	14.24	121.79	3.69	40.07	76.71	71.5	50.27	15.34	59.13	4.62	97.36	77.25	6.21	72.01	21.47	37.85	64.8	66.65	55.89	44.57	38.4	62.12	53.57	29.48	72.01	27.25	44.89	46.18	217.27	201.25	133.36	75.11	155.5	47.84	120.94	63.89	82.87	183.82	63.45	109.66	244.57	129.69	95.34	66.65	143.01	109.66	177.53	82.29	70.01	71.5	170.25	55.89	40.93	74.58	81.71	163.28	234.57	116.78
CASP2	476.71	381.68	180.02	88.26	236.21	102.97	215.77	198.47	242.88	195.72	134.3	248.0	175.07	187.71	180.02	106.63	204.07	221.86	159.9	201.25	189.02	214.27	187.71	175.07	178.77	181.28	91.41	193.01	173.85	136.19	150.17	293.07	202.66	249.73	206.94	208.38	105.15	232.94	234.57	142.01	214.27	202.66	198.47	343.89	249.73	155.5	195.72	307.69	307.69	234.57	262.2	150.17	166.73	480.04	316.37	164.42	167.9	64.8	158.79	287.01	490.14
CD55	5751.61	6887.62	249.73	138.1	379.04	51.35	239.52	281.09	438.59	172.65	111.99	547.75	368.65	507.46	244.57	50.27	260.38	555.41	417.77	223.41	423.61	265.87	403.5	551.56	303.44	329.84	127.89	334.46	532.74	283.05	224.97	1832.01	638.15	571.05	587.13	1340.84	483.38	665.29	269.6	1883.54	624.99	603.67	802.41	595.34	1594.73	325.29	802.41	1167.14	1008.9	1001.93	529.06	339.14	575.03	890.44	490.14	209.84	279.14	1467.37	1467.37	988.12	607.87
