	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.KM.8639.01A.11R.2403.07	GTEX.QLQW.1626.SM.4R1K1	TCGA.B0.5707.01A.11R.1541.07	TCGA.A3.3363.01A.01R.0864.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.CW.5591.01A.01R.1541.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.CZ.5987.11A.01R.1672.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.IA.A83W.01A.11R.A355.07	TCGA.IZ.8196.01A.11R.2404.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.UZ.A9PP.01A.11R.A42S.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.5P.A9KA.01A.11R.A42S.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.2Z.A9JL.01A.11R.A42S.07	TCGA.DW.7842.01A.11R.A32Z.07	TCGA.B3.3925.01A.02R.1351.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.A4.7734.01A.11R.A32Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.G7.6792.01A.21R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.MH.A561.01A.11R.A26U.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.BQ.5883.01A.11R.1592.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.5P.A9K4.01A.11R.A42S.07	TCGA.EV.5903.01A.11R.1592.07	TCGA.SX.A71S.01A.11R.A33Z.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.2Z.A9J3.01A.12R.A38C.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.O9.A75Z.01A.11R.A33Z.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A3I0.01A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YB5E.0326.SM.5IFHU
BIVM-ERCC5	0.68	59.13	267.73	16.15	36.27	156.59	156.59	175.07	152.28	43.32	0.0	217.27	134.3	110.43	56.68	162.14	42.41	19.68	37.85	10.71	29.48	77.25	85.22	163.28	135.24	51.71	29.06	221.86	182.55	137.14	118.43	194.36	0.0	90.14	24.46	102.25	6.16	7.88	129.69	45.85	177.53	158.79	115.97	18.16	37.85	82.87	0.0	0.0	90.77	84.63	0.0	94.67	0.0	39.22	0.0	5.19	10.47	27.84
C17orf80	96.68	215.77	332.14	249.73	429.54	289.02	237.86	392.44	269.6	241.19	171.45	483.38	237.86	323.03	199.85	260.38	267.73	199.85	171.45	180.02	248.0	248.0	205.5	368.65	529.06	392.44	368.65	463.65	414.87	470.14	229.72	285.03	305.55	287.01	285.03	277.2	46.84	234.57	379.04	267.73	316.37	426.57	314.17	255.0	249.73	295.11	127.0	150.17	275.28	214.27	139.07	173.85	129.69	267.73	110.43	137.14	44.57	73.54
C2orf44	66.18	66.18	100.83	71.0	92.7	93.35	85.22	100.83	91.41	87.03	87.65	114.36	72.01	71.0	89.51	92.7	55.49	33.06	69.03	61.68	37.05	61.25	51.35	77.25	108.9	85.82	77.79	115.16	115.97	113.56	25.72	55.89	69.03	73.03	64.34	72.01	36.79	71.0	120.94	58.3	59.55	102.97	59.55	57.49	47.5	103.69	53.19	43.94	92.7	49.21	84.04	66.65	37.32	44.57	60.82	47.5	22.75	28.65
C6orf120	226.54	764.36	579.04	371.22	389.72	363.56	371.22	808.0	392.44	148.09	223.41	289.02	327.56	293.07	463.65	392.44	194.36	186.4	285.03	255.0	237.86	277.2	258.57	297.17	389.72	348.71	409.15	397.93	325.29	813.63	239.52	353.59	232.94	264.03	183.82	525.39	147.06	281.09	473.41	279.14	438.59	409.15	267.73	258.57	231.32	435.55	211.31	258.57	332.14	293.07	162.14	297.17	262.2	346.29	152.28	185.11	187.71	476.71
C6orf89	500.46	1388.16	1175.27	651.58	703.28	1119.56	1143.1	1088.92	1191.69	698.41	785.88	1151.06	656.11	743.43	647.07	1143.1	642.59	438.59	733.19	559.28	738.29	791.35	651.58	1073.91	1051.79	915.51	624.99	878.17	1242.34	785.88	1008.9	902.89	616.37	633.73	514.56	1250.98	785.88	532.74	1175.27	629.35	909.17	921.88	748.61	595.34	780.44	684.02	642.59	642.59	884.29	961.07	587.13	1015.93	497.0	444.72	902.89	890.44	346.29	764.36
CCDC121	20.71	191.67	130.6	45.53	79.45	82.87	119.26	137.14	105.15	51.71	47.17	96.01	51.35	38.67	67.59	40.64	51.35	34.51	40.07	23.42	53.95	77.79	70.51	59.13	81.71	62.56	61.68	85.82	76.71	67.12	74.06	32.82	50.63	72.52	35.25	194.36	12.64	57.49	64.8	25.35	43.63	78.89	62.56	37.05	191.67	47.5	30.12	33.3	50.63	100.83	35.0	39.5	31.9	32.59	32.59	31.45	15.56	13.72
CCNYL1	92.7	88.26	466.88	163.28	279.14	417.77	285.03	620.67	325.29	341.51	163.28	400.71	307.69	253.23	108.14	255.0	141.02	150.17	209.84	140.04	187.71	86.43	291.04	299.25	256.78	305.55	234.57	463.65	244.57	260.38	177.53	218.79	126.12	158.79	368.65	176.29	121.79	118.43	201.25	99.43	255.0	299.25	226.54	126.12	157.68	224.97	93.35	214.27	201.25	139.07	178.77	173.85	70.51	165.57	99.43	90.14	76.71	166.73
CDC14B	206.94	215.77	253.23	145.02	251.48	403.5	397.93	514.56	305.55	384.34	155.5	356.05	197.09	255.0	221.86	316.37	178.77	134.3	334.46	146.03	206.94	237.86	214.27	426.57	473.41	234.57	237.86	299.25	293.07	379.04	206.94	599.49	183.82	264.03	201.25	303.44	80.01	223.41	244.57	171.45	253.23	381.68	309.83	175.07	299.25	236.21	105.89	186.4	215.77	246.28	105.89	162.14	138.1	189.02	154.42	120.1	312.0	182.55
CEP68	92.05	204.07	303.44	167.9	112.77	136.19	237.86	348.71	309.83	175.07	109.66	232.94	163.28	121.79	127.0	202.66	128.79	54.33	154.42	150.17	118.43	185.11	100.13	180.02	226.54	165.57	147.06	277.2	249.73	248.0	64.34	423.61	123.5	145.02	108.9	154.42	212.78	108.14	289.02	81.71	201.25	249.73	191.67	54.72	95.34	111.21	170.25	109.66	177.53	87.03	126.12	198.47	118.43	80.57	84.63	116.78	52.82	65.72
CSNK1A1	1051.79	1628.26	2739.08	1721.16	1477.58	1844.76	2384.37	3874.05	2796.65	1467.37	1259.69	2303.12	1397.83	1733.13	1378.57	2090.03	1268.46	713.11	1467.37	775.05	1583.71	995.0	1175.27	2287.2	1923.14	1844.76	1806.78	1857.6	2351.53	1806.78	2032.85	2209.26	1096.5	1417.35	567.1	2555.58	400.71	718.08	2384.37	842.36	1923.14	1697.45	1508.65	1096.5	1397.83	2384.37	703.28	825.0	1572.76	1781.89	540.19	2434.5	718.08	967.76	463.65	1407.55	420.68	1923.14
CYB5RL	14.35	117.6	96.68	87.03	44.57	34.51	65.26	48.87	54.72	57.89	45.21	75.11	73.54	44.89	45.85	43.32	42.11	28.45	30.78	48.52	25.72	54.33	33.54	59.97	100.13	87.03	51.71	92.7	63.89	75.64	43.94	93.35	36.53	38.67	24.11	137.14	62.12	46.18	76.71	39.79	43.32	58.71	41.81	43.63	99.43	46.5	35.76	26.1	54.33	126.12	39.22	64.34	31.9	30.12	68.55	57.08	33.3	40.93
DCLRE1A	33.3	157.68	181.28	83.45	112.77	158.79	115.97	206.94	107.38	80.01	80.01	111.21	97.36	74.58	66.65	95.34	78.89	41.22	120.1	60.82	55.49	72.52	98.04	85.82	169.07	97.36	98.73	164.42	120.94	164.42	87.03	144.01	63.45	82.87	76.71	157.68	28.45	88.26	98.73	89.51	87.65	102.25	65.26	94.67	119.26	102.25	51.71	75.64	75.64	127.89	47.84	90.14	55.1	75.11	43.02	51.71	41.22	124.37
DDX18	351.14	403.5	1359.57	587.13	866.07	728.11	764.36	1407.55	1044.52	651.58	400.71	1044.52	656.11	674.59	500.46	753.83	490.14	316.37	616.37	389.72	547.75	503.95	575.03	934.76	842.36	743.43	718.08	1081.39	1001.93	902.89	733.19	743.43	532.74	703.28	389.72	723.08	139.07	406.31	836.53	454.09	860.08	759.08	620.67	454.09	521.76	1015.93	392.44	392.44	660.68	536.45	291.04	764.36	438.59	480.04	297.17	587.13	214.27	587.13
DDX52	281.09	234.57	733.19	323.03	529.06	381.68	381.68	703.28	450.94	258.57	356.05	612.11	264.03	387.02	323.03	343.89	353.59	182.55	264.03	204.07	379.04	217.27	334.46	540.19	642.59	543.96	493.56	559.28	507.46	547.75	325.29	395.18	423.61	381.68	224.97	309.83	46.84	320.8	493.56	334.46	432.53	532.74	403.5	358.54	204.07	409.15	180.02	204.07	414.87	277.2	147.06	400.71	155.5	251.48	164.42	206.94	60.39	291.04
DDX6	141.02	348.71	1135.2	387.02	470.14	633.73	1242.34	1896.65	1388.16	483.38	414.87	738.29	314.17	341.51	299.25	954.43	283.05	137.14	277.2	176.29	450.94	325.29	412.0	713.11	981.29	414.87	403.5	616.37	921.88	733.19	540.19	1081.39	228.13	346.29	127.0	842.36	132.44	185.11	915.51	244.57	656.11	638.15	466.88	177.53	316.37	620.67	164.42	148.09	480.04	567.1	186.4	842.36	88.88	173.85	63.45	299.25	116.78	239.52
DHX40	297.17	607.87	1073.91	921.88	1963.57	728.11	1104.13	1417.35	995.0	638.15	567.1	1662.49	819.3	1268.46	974.5	921.88	1242.34	559.28	665.29	723.08	802.41	595.34	759.08	1757.34	2018.8	1437.15	1191.69	1674.06	1674.06	1259.69	872.1	1183.45	1225.22	1388.16	819.3	688.78	199.85	890.44	1259.69	848.22	1286.18	1277.29	1378.57	872.1	679.29	1088.92	642.59	521.76	1242.34	603.67	633.73	854.13	414.87	743.43	194.36	348.71	100.13	234.57
DIXDC1	8.65	63.89	483.38	147.06	412.0	514.56	376.41	642.59	503.95	172.65	323.03	463.65	212.78	420.68	289.02	373.81	389.72	182.55	176.29	214.27	285.03	246.28	260.38	563.18	583.07	392.44	209.84	651.58	780.44	329.84	633.73	255.0	209.84	228.13	169.07	343.89	54.72	441.64	387.02	138.1	444.72	406.31	490.14	193.01	186.4	316.37	150.17	255.0	511.0	195.72	130.6	403.5	241.19	246.28	78.89	164.42	63.45	78.89
DNAJB14	127.0	251.48	325.29	167.9	358.54	293.07	423.61	967.76	500.46	224.97	191.67	403.5	206.94	246.28	182.55	279.14	205.5	126.12	226.54	102.97	197.09	154.42	220.32	277.2	397.93	255.0	217.27	307.69	348.71	309.83	260.38	339.14	158.79	260.38	167.9	409.15	27.84	141.02	316.37	180.02	295.11	271.48	231.32	186.4	234.57	438.59	111.99	155.5	215.77	314.17	65.72	314.17	119.26	149.12	58.3	111.99	26.47	75.11
DNAJC24	43.02	172.65	169.07	109.66	198.47	194.36	182.55	316.37	198.47	149.12	72.52	193.01	139.07	99.43	104.42	144.01	118.43	46.5	132.44	42.41	140.04	103.69	161.02	161.02	231.32	143.01	163.28	175.07	156.59	162.14	126.12	127.89	88.88	132.44	127.89	172.65	20.11	75.11	143.01	93.35	129.69	140.04	148.09	93.35	153.34	194.36	77.25	68.07	120.1	155.5	18.7	204.07	75.64	76.17	51.71	105.89	22.26	76.71
DNAL1	144.01	114.36	271.48	234.57	384.34	162.14	279.14	591.22	262.2	205.5	223.41	567.1	368.65	241.19	205.5	373.81	249.73	130.6	244.57	186.4	237.86	154.42	224.97	420.68	460.44	283.05	334.46	607.87	450.94	320.8	460.44	332.14	228.13	242.88	172.65	327.56	78.89	158.79	332.14	178.77	420.68	323.03	277.2	214.27	228.13	265.87	173.85	206.94	241.19	231.32	145.02	309.83	83.45	190.34	57.89	81.71	37.32	73.54
DOCK4	8.06	152.28	172.65	134.3	267.73	193.01	253.23	271.48	246.28	140.04	206.94	358.54	169.07	143.01	178.77	186.4	253.23	65.72	83.45	90.14	148.09	139.07	140.04	264.03	279.14	273.37	264.03	299.25	241.19	104.42	273.37	232.94	69.03	262.2	97.36	120.94	80.01	63.89	234.57	111.99	299.25	141.02	242.88	283.05	63.0	267.73	127.89	73.54	185.11	100.83	122.64	221.86	58.3	127.0	72.01	68.07	77.79	111.99
EFR3B	0.65	6.06	28.86	0.66	1.23	17.77	13.72	38.4	20.86	4.28	2.68	37.32	5.92	1.6	0.0	2.66	1.87	1.97	5.45	1.03	1.38	2.48	0.64	5.45	6.11	2.1	3.79	11.13	5.02	4.21	2.66	33.3	1.73	2.81	1.23	23.59	7.17	0.78	5.54	0.62	2.66	6.89	2.86	0.97	9.78	7.63	1.33	2.25	1.64	17.9	0.66	3.89	4.03	2.36	0.0	2.94	1.1	1.45
EPB41L5	114.36	536.45	476.71	277.2	555.41	336.79	921.88	884.29	738.29	381.68	334.46	848.22	387.02	371.22	258.57	651.58	406.31	249.73	295.11	215.77	514.56	384.34	429.54	607.87	688.78	486.75	392.44	890.44	620.67	679.29	514.56	872.1	332.14	500.46	470.14	583.07	77.25	287.01	551.56	260.38	529.06	679.29	521.76	293.07	521.76	371.22	212.78	473.41	400.71	339.14	262.2	287.01	82.87	353.59	417.77	392.44	379.04	624.99
ERCC6L2	72.01	158.79	450.94	154.42	182.55	320.8	466.88	651.58	567.1	218.79	154.42	620.67	163.28	150.17	163.28	373.81	134.3	85.82	176.29	65.26	231.32	133.36	176.29	368.65	363.56	258.57	285.03	325.29	536.45	323.03	265.87	332.14	134.3	167.9	88.88	373.81	12.18	97.36	540.19	147.06	371.22	314.17	255.0	137.14	151.22	305.55	60.82	80.01	232.94	253.23	35.76	403.5	69.52	61.25	28.04	77.79	25.91	135.24
ERCC8	63.0	148.09	152.28	82.87	162.14	124.37	169.07	224.97	199.85	127.0	80.01	170.25	142.01	150.17	59.97	109.66	113.56	75.11	139.07	102.25	95.34	97.36	151.22	161.02	170.25	128.79	140.04	202.66	167.9	143.01	108.14	127.89	120.94	129.69	115.16	215.77	78.34	108.14	119.26	92.05	177.53	123.5	120.1	113.56	148.09	167.9	94.67	92.05	132.44	173.85	88.26	115.16	80.01	72.01	74.06	111.21	45.85	103.69
EXOC5	140.04	426.57	483.38	209.84	242.88	490.14	718.08	1417.35	860.08	202.66	232.94	490.14	260.38	236.21	253.23	395.18	215.77	178.77	305.55	152.28	244.57	234.57	220.32	397.93	543.96	293.07	281.09	551.56	463.65	387.02	336.79	460.44	180.02	260.38	182.55	547.75	48.52	190.34	426.57	171.45	356.05	351.14	277.2	180.02	253.23	189.02	154.42	208.38	283.05	423.61	85.82	392.44	169.07	236.21	105.15	201.25	51.35	295.11
EXOC6	63.0	162.14	264.03	172.65	267.73	303.44	358.54	525.39	291.04	104.42	136.19	314.17	177.53	122.64	232.94	320.8	166.73	86.43	348.71	161.02	149.12	220.32	170.25	189.02	199.85	503.95	220.32	279.14	251.48	318.57	395.18	221.86	136.19	135.24	75.11	348.71	92.05	183.82	293.07	127.0	490.14	205.5	149.12	120.94	327.56	177.53	100.13	165.57	126.12	414.87	84.04	273.37	92.05	175.07	125.24	253.23	80.01	224.97
EXOC6B	251.48	251.48	307.69	151.22	130.6	242.88	279.14	435.55	283.05	63.0	115.97	239.52	165.57	128.79	108.9	197.09	158.79	73.54	152.28	100.13	129.69	142.01	113.56	248.0	253.23	177.53	189.02	258.57	262.2	241.19	109.66	287.01	148.09	183.82	100.13	301.33	90.14	121.79	269.6	112.77	206.94	171.45	206.94	82.87	175.07	237.86	121.79	100.13	147.06	204.07	100.83	220.32	88.26	94.01	36.79	115.97	31.22	63.45
FAM13B	146.03	183.82	314.17	176.29	220.32	206.94	417.77	486.75	423.61	193.01	194.36	379.04	220.32	312.0	77.25	217.27	98.04	26.67	115.16	68.07	159.9	151.22	248.0	220.32	429.54	211.31	239.52	336.79	283.05	139.07	94.01	412.0	126.12	171.45	173.85	285.03	37.32	94.67	346.29	76.17	178.77	309.83	195.72	122.64	151.22	279.14	84.04	55.89	193.01	166.73	91.41	164.42	27.84	94.67	40.64	102.25	21.01	64.34
FAM151B	17.25	33.06	16.75	26.86	37.85	34.75	39.5	77.25	28.86	22.59	20.41	38.12	32.59	27.84	7.34	31.9	18.29	28.24	25.54	11.82	25.72	30.12	35.0	38.12	44.57	37.05	30.56	57.89	27.84	28.04	28.24	35.5	31.45	25.91	25.35	106.63	16.75	22.59	17.9	15.91	36.53	31.22	24.81	22.26	41.52	31.45	19.39	19.39	16.88	44.89	10.08	31.67	15.56	24.81	21.94	9.06	8.78	12.55
FAM168B	348.71	1498.22	1135.2	688.78	454.09	921.88	1388.16	1143.1	1167.14	796.86	728.11	1286.18	1008.9	896.64	813.63	1151.06	571.05	503.95	543.96	392.44	934.76	780.44	902.89	872.1	1304.15	1059.11	961.07	1225.22	1104.13	842.36	1066.48	1127.35	830.75	896.64	483.38	1277.29	651.58	579.04	1457.23	438.59	764.36	1127.35	974.5	470.14	896.64	775.05	525.39	638.15	775.05	1073.91	563.18	1096.5	460.44	583.07	228.13	693.58	327.56	466.88
FAM98A	397.93	825.0	1605.83	728.11	1477.58	961.07	1331.57	1073.91	1388.16	890.44	567.1	1936.53	1199.98	703.28	500.46	808.0	457.25	301.33	624.99	802.41	642.59	583.07	500.46	642.59	1015.93	1583.71	934.76	1832.01	854.13	1159.07	753.83	497.0	547.75	890.44	825.0	728.11	429.54	674.59	928.3	583.07	1242.34	830.75	693.58	543.96	403.5	961.07	633.73	603.67	708.18	563.18	743.43	785.88	441.64	854.13	273.37	234.57	329.84	674.59
FBXO28	161.02	228.13	318.57	232.94	325.29	507.46	447.82	638.15	493.56	249.73	202.66	387.02	211.31	197.09	281.09	457.25	164.42	105.89	231.32	149.12	264.03	183.82	267.73	336.79	409.15	314.17	267.73	336.79	379.04	336.79	400.71	361.04	152.28	177.53	246.28	329.84	86.43	140.04	400.71	237.86	305.55	343.89	277.2	248.0	166.73	368.65	150.17	157.68	253.23	246.28	152.28	299.25	88.88	215.77	136.19	156.59	144.01	232.94
FCF1	307.69	483.38	1447.15	547.75	723.08	490.14	872.1	1340.84	947.83	612.11	450.94	785.88	748.61	660.68	507.46	708.18	567.1	190.34	616.37	403.5	532.74	638.15	409.15	693.58	915.51	638.15	684.02	890.44	796.86	785.88	599.49	947.83	603.67	679.29	226.54	738.29	285.03	376.41	723.08	429.54	591.22	660.68	638.15	441.64	536.45	409.15	417.77	466.88	460.44	684.02	346.29	718.08	511.0	384.34	229.72	255.0	271.48	435.55
G3BP1	591.22	1088.92	3928.15	1135.2	890.44	1037.29	1883.54	2816.11	2224.63	981.29	629.35	1417.35	791.35	1208.34	866.07	1143.1	718.08	384.34	921.88	638.15	698.41	656.11	679.29	1001.93	1104.13	947.83	753.83	1250.98	1331.57	1277.29	1135.2	1709.26	599.49	884.29	406.31	1225.22	551.56	490.14	1216.75	669.92	1119.56	854.13	688.78	624.99	878.17	1427.22	684.02	656.11	713.11	921.88	612.11	1183.45	514.56	679.29	819.3	688.78	583.07	1199.98
GAPVD1	96.68	223.41	379.04	169.07	234.57	260.38	348.71	417.77	361.04	202.66	172.65	466.88	185.11	181.28	157.68	332.14	185.11	117.6	163.28	99.43	232.94	173.85	239.52	341.51	376.41	242.88	218.79	376.41	353.59	320.8	260.38	269.6	134.3	221.86	173.85	303.44	60.39	134.3	379.04	122.64	281.09	303.44	303.44	129.69	151.22	323.03	94.67	115.16	211.31	195.72	94.67	244.57	76.71	144.01	46.84	92.05	65.26	89.51
