	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.YJ.A8SW.01A.11R.A37L.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.G9.6342.11A.02R.1965.07
CAPN7	187.71	507.46	384.34	368.65	624.99	279.14	336.79	432.53	279.14	454.09	563.18	287.01	551.56	285.03	414.87	341.51	463.65	341.51	412.0	275.28	246.28	409.15	262.2	536.45	323.03	371.22	379.04	379.04	400.71	490.14	547.75	201.25	303.44	497.0	363.56	387.02	389.72	412.0	470.14	371.22	281.09	371.22	358.54	507.46	348.71
CEP44	46.18	248.0	97.36	105.15	316.37	108.9	128.79	169.07	84.04	264.03	267.73	127.89	206.94	102.97	156.59	151.22	295.11	120.1	177.53	82.29	77.79	205.5	140.04	265.87	71.5	165.57	115.16	167.9	175.07	228.13	221.86	87.65	133.36	229.72	110.43	171.45	137.14	173.85	237.86	149.12	77.25	116.78	120.1	183.82	96.01
CHD2	150.17	620.67	191.67	441.64	884.29	379.04	343.89	525.39	253.23	780.44	825.0	309.83	595.34	334.46	555.41	497.0	665.29	483.38	371.22	273.37	229.72	688.78	291.04	651.58	287.01	444.72	318.57	423.61	500.46	775.05	599.49	285.03	536.45	656.11	348.71	555.41	412.0	371.22	595.34	392.44	283.05	423.61	417.77	507.46	323.03
CHM	90.14	323.03	137.14	212.78	351.14	197.09	241.19	197.09	111.99	279.14	301.33	172.65	525.39	156.59	236.21	256.78	376.41	153.34	289.02	5.59	154.42	353.59	201.25	305.55	198.47	205.5	176.29	301.33	323.03	314.17	346.29	144.01	178.77	271.48	176.29	260.38	260.38	189.02	275.28	226.54	228.13	206.94	164.42	258.57	239.52
CLASP2	63.0	514.56	204.07	269.6	483.38	202.66	206.94	334.46	108.14	412.0	507.46	239.52	438.59	224.97	289.02	273.37	409.15	248.0	441.64	152.28	147.06	403.5	208.38	447.82	202.66	368.65	303.44	346.29	426.57	532.74	426.57	146.03	236.21	417.77	209.84	414.87	297.17	220.32	387.02	295.11	215.77	244.57	204.07	356.05	211.31
CLPX	473.41	748.61	275.28	441.64	642.59	332.14	307.69	454.09	314.17	642.59	703.28	470.14	599.49	351.14	575.03	463.65	733.19	414.87	507.46	265.87	289.02	854.13	366.09	723.08	368.65	454.09	373.81	373.81	579.04	759.08	555.41	312.0	525.39	647.07	366.09	514.56	412.0	392.44	624.99	473.41	277.2	423.61	420.68	476.71	309.83
CRBN	236.21	620.67	387.02	521.76	884.29	363.56	454.09	591.22	363.56	688.78	780.44	397.93	1015.93	432.53	466.88	444.72	723.08	414.87	698.41	248.0	339.14	638.15	579.04	780.44	414.87	483.38	559.28	525.39	607.87	607.87	693.58	289.02	493.56	543.96	503.95	591.22	518.15	476.71	599.49	432.53	444.72	483.38	429.54	743.43	511.0
CREB3L2	72.52	842.36	229.72	688.78	764.36	426.57	532.74	603.67	182.55	567.1	890.44	444.72	620.67	633.73	638.15	559.28	848.22	633.73	813.63	327.56	218.79	1225.22	392.44	769.69	693.58	967.76	708.18	414.87	674.59	981.29	679.29	409.15	638.15	738.29	444.72	1096.5	595.34	384.34	796.86	813.63	587.13	409.15	514.56	753.83	507.46
CRIM1	25.72	753.83	127.89	332.14	791.35	231.32	237.86	366.09	84.63	343.89	718.08	237.86	507.46	267.73	339.14	316.37	438.59	303.44	536.45	72.01	115.16	813.63	327.56	532.74	141.02	366.09	361.04	490.14	647.07	599.49	532.74	169.07	215.77	571.05	171.45	503.95	435.55	358.54	366.09	497.0	307.69	366.09	197.09	629.35	305.55
CSGALNACT2	58.71	366.09	103.69	151.22	490.14	148.09	239.52	293.07	62.56	249.73	314.17	194.36	361.04	157.68	223.41	246.28	460.44	128.79	346.29	73.54	128.79	320.8	190.34	346.29	126.12	209.84	232.94	255.0	279.14	253.23	239.52	135.24	127.0	279.14	116.78	303.44	237.86	209.84	269.6	166.73	133.36	241.19	147.06	215.77	123.5
CTNNB1	848.22	4481.23	2119.22	3564.78	4575.41	2777.33	2271.4	4181.07	1794.29	3901.01	5255.91	2178.83	4328.55	3639.7	4095.0	3372.43	4298.64	3235.01	4152.18	1313.23	2351.53	4298.64	2133.97	4769.75	2935.74	4671.57	3372.43	3280.18	4239.45	4802.93	4328.55	1733.13	3018.3	4298.64	2335.28	3639.7	4328.55	3235.01	3847.29	4239.45	2351.53	2935.74	2777.33	4607.24	3419.52
DDX46	267.73	660.68	287.01	480.04	813.63	299.25	258.57	514.56	346.29	633.73	825.0	327.56	567.1	348.71	551.56	511.0	748.61	483.38	536.45	281.09	297.17	825.0	275.28	819.3	327.56	476.71	412.0	463.65	591.22	693.58	693.58	314.17	540.19	708.18	239.52	612.11	480.04	384.34	603.67	358.54	271.48	412.0	432.53	583.07	299.25
DPP8	62.12	327.56	85.82	218.79	325.29	144.01	142.01	199.85	71.5	237.86	351.14	138.1	269.6	117.6	221.86	186.4	323.03	199.85	220.32	71.5	94.67	389.72	102.97	351.14	115.97	180.02	172.65	195.72	258.57	307.69	283.05	110.43	190.34	334.46	132.44	273.37	211.31	163.28	223.41	156.59	106.63	140.04	127.89	312.0	150.17
DYRK1A	177.53	802.41	267.73	555.41	830.75	435.55	432.53	490.14	217.27	665.29	796.86	353.59	819.3	414.87	500.46	403.5	743.43	500.46	647.07	127.0	283.05	1119.56	295.11	808.0	358.54	476.71	480.04	483.38	638.15	872.1	738.29	293.07	490.14	802.41	381.68	579.04	616.37	447.82	587.13	483.38	412.0	361.04	384.34	669.92	417.77
EIF3A	395.18	2875.3	902.89	2004.85	2255.7	1477.58	1216.75	1674.06	830.75	1950.0	2573.36	1378.57	1950.0	1781.89	1806.78	1832.01	1806.78	1572.76	1963.57	872.1	819.3	2816.11	1561.89	2468.49	1143.1	2193.99	1467.37	1594.73	2591.27	2468.49	2018.8	1277.29	1551.09	2303.12	1583.71	2319.15	1896.65	1250.98	2434.5	1540.37	1030.12	1378.57	1709.26	1769.57	1259.69
ERCC6L2	28.04	511.0	102.97	269.6	629.35	181.28	157.68	325.29	82.87	318.57	514.56	159.9	318.57	166.73	260.38	191.67	483.38	253.23	305.55	104.42	94.01	497.0	135.24	529.06	105.15	234.57	239.52	258.57	368.65	435.55	426.57	103.69	237.86	438.59	119.26	457.25	346.29	145.02	371.22	249.73	139.07	191.67	159.9	473.41	165.57
ERLIN1	255.0	571.05	180.02	376.41	583.07	248.0	172.65	339.14	176.29	444.72	514.56	218.79	540.19	215.77	329.84	348.71	603.67	173.85	316.37	146.03	145.02	412.0	176.29	547.75	186.4	339.14	301.33	218.79	444.72	490.14	490.14	165.57	361.04	708.18	159.9	559.28	246.28	275.28	435.55	239.52	234.57	206.94	234.57	470.14	314.17
EXOC6	125.24	688.78	229.72	575.03	616.37	265.87	239.52	417.77	193.01	473.41	450.94	441.64	417.77	351.14	366.09	551.56	514.56	271.48	490.14	175.07	229.72	748.61	244.57	633.73	339.14	348.71	363.56	376.41	733.19	738.29	624.99	221.86	571.05	466.88	211.31	642.59	363.56	262.2	507.46	348.71	529.06	289.02	232.94	587.13	379.04
FAM115A	307.69	1733.13	813.63	1104.13	1073.91	954.43	1378.57	1111.82	346.29	1286.18	1331.57	1135.2	1359.57	961.07	890.44	2004.85	1407.55	660.68	1350.18	698.41	395.18	1540.37	934.76	1583.71	830.75	1467.37	842.36	669.92	1769.57	1313.23	1242.34	785.88	902.89	1096.5	693.58	1322.37	1225.22	872.1	1417.35	1096.5	1081.39	808.0	583.07	1313.23	708.18
FAR1	17.51	708.18	253.23	358.54	656.11	277.2	334.46	536.45	164.42	514.56	629.35	285.03	591.22	285.03	525.39	316.37	1073.91	269.6	551.56	212.78	197.09	753.83	195.72	708.18	305.55	389.72	819.3	500.46	688.78	563.18	567.1	279.14	309.83	575.03	253.23	486.75	503.95	191.67	490.14	318.57	351.14	441.64	299.25	466.88	309.83
FBXL4	72.52	271.48	125.24	187.71	332.14	154.42	139.07	208.38	100.13	267.73	329.84	181.28	414.87	215.77	253.23	267.73	194.36	164.42	287.01	78.34	136.19	363.56	142.01	332.14	116.78	122.64	118.43	226.54	339.14	320.8	318.57	105.89	190.34	343.89	159.9	229.72	197.09	158.79	267.73	279.14	144.01	147.06	182.55	248.0	177.53
FCF1	229.72	802.41	348.71	629.35	967.76	460.44	356.05	567.1	264.03	713.11	915.51	368.65	1104.13	511.0	543.96	507.46	743.43	518.15	723.08	255.0	214.27	769.69	346.29	813.63	397.93	638.15	497.0	547.75	769.69	785.88	884.29	356.05	551.56	896.64	503.95	708.18	642.59	414.87	698.41	555.41	397.93	497.0	470.14	769.69	591.22
FRMD4B	77.25	423.61	105.15	289.02	457.25	231.32	332.14	426.57	41.81	529.06	591.22	497.0	595.34	249.73	579.04	211.31	703.28	316.37	417.77	136.19	182.55	395.18	239.52	441.64	236.21	389.72	336.79	371.22	297.17	543.96	470.14	128.79	277.2	624.99	58.71	334.46	341.51	563.18	262.2	454.09	215.77	283.05	241.19	525.39	231.32
GAPVD1	46.84	406.31	112.77	195.72	423.61	172.65	186.4	232.94	73.03	318.57	327.56	151.22	277.2	164.42	237.86	181.28	256.78	170.25	232.94	98.04	105.15	363.56	137.14	341.51	127.0	215.77	182.55	201.25	279.14	373.81	299.25	117.6	190.34	281.09	115.16	297.17	212.78	176.29	316.37	204.07	130.6	164.42	143.01	289.02	161.02
GK5	42.71	473.41	158.79	255.0	785.88	224.97	208.38	414.87	70.01	555.41	674.59	297.17	872.1	175.07	336.79	444.72	1119.56	332.14	323.03	91.41	212.78	723.08	356.05	878.17	162.14	279.14	194.36	406.31	379.04	921.88	947.83	224.97	373.81	708.18	150.17	555.41	293.07	414.87	620.67	441.64	178.77	291.04	299.25	320.8	141.02
HELZ	43.63	220.32	59.13	111.99	256.78	99.43	92.7	133.36	49.21	185.11	253.23	91.41	161.02	88.88	129.69	102.25	197.09	108.14	128.79	53.57	50.27	277.2	63.0	232.94	60.82	88.26	74.58	108.9	173.85	234.57	205.5	71.0	111.21	191.67	84.63	180.02	117.6	99.43	169.07	114.36	74.06	82.87	85.22	167.9	89.51
IDS	329.84	1059.11	320.8	674.59	1143.1	536.45	599.49	698.41	361.04	802.41	1059.11	363.56	1832.01	409.15	660.68	395.18	1242.34	587.13	759.08	275.28	341.51	1088.92	392.44	1073.91	521.76	759.08	759.08	638.15	860.08	1295.13	1030.12	376.41	529.06	947.83	426.57	825.0	629.35	500.46	633.73	693.58	409.15	529.06	457.25	1119.56	543.96
ITGAV	59.55	1208.34	167.9	454.09	1143.1	450.94	503.95	1096.5	122.64	808.0	1023.0	387.02	1159.07	591.22	1487.87	503.95	988.12	444.72	796.86	54.72	358.54	854.13	305.55	974.5	412.0	507.46	329.84	423.61	679.29	688.78	813.63	187.71	500.46	1551.09	381.68	808.0	616.37	532.74	902.89	587.13	332.14	368.65	423.61	642.59	373.81
KAT6A	29.48	457.25	85.22	197.09	334.46	163.28	115.16	185.11	53.57	297.17	441.64	74.58	267.73	152.28	153.34	176.29	329.84	142.01	180.02	91.41	64.8	470.14	103.69	329.84	122.64	137.14	166.73	169.07	211.31	432.53	426.57	127.89	221.86	395.18	131.51	305.55	164.42	167.9	301.33	212.78	132.44	140.04	105.89	320.8	159.9
KDM1B	46.5	185.11	73.54	104.42	171.45	94.01	75.64	120.1	55.1	163.28	202.66	118.43	231.32	115.16	145.02	173.85	173.85	123.5	176.29	57.89	68.55	316.37	87.65	223.41	122.64	135.24	79.45	150.17	201.25	191.67	159.9	87.65	102.25	176.29	107.38	205.5	140.04	98.73	220.32	173.85	112.77	92.7	101.54	142.01	98.73
KDM3A	244.57	486.75	220.32	361.04	728.11	255.0	264.03	500.46	185.11	551.56	612.11	371.22	684.02	307.69	339.14	376.41	684.02	376.41	376.41	150.17	249.73	575.03	336.79	669.92	348.71	384.34	262.2	417.77	336.79	503.95	454.09	260.38	438.59	518.15	271.48	490.14	309.83	279.14	518.15	301.33	260.38	376.41	353.59	403.5	239.52
KDM4C	60.39	339.14	193.01	253.23	336.79	195.72	186.4	358.54	162.14	307.69	309.83	229.72	403.5	209.84	256.78	258.57	400.71	269.6	153.34	182.55	150.17	323.03	206.94	314.17	185.11	255.0	258.57	293.07	289.02	281.09	237.86	195.72	279.14	314.17	299.25	307.69	283.05	301.33	307.69	255.0	165.57	229.72	303.44	289.02	158.79
KIAA1432	40.07	178.77	35.76	77.25	177.53	68.07	71.0	113.56	25.91	134.3	169.07	82.29	153.34	59.13	90.14	64.8	137.14	73.54	90.14	43.63	42.41	150.17	68.07	155.5	49.56	94.67	89.51	88.88	137.14	131.51	146.03	42.41	84.04	154.42	40.93	138.1	88.26	65.72	123.5	100.83	47.5	77.25	67.12	126.12	66.65
KIAA1598	285.03	748.61	429.54	547.75	780.44	429.54	536.45	612.11	285.03	698.41	647.07	454.09	854.13	575.03	708.18	551.56	981.29	616.37	753.83	273.37	435.55	693.58	353.59	1044.52	356.05	507.46	332.14	616.37	603.67	909.17	825.0	493.56	497.0	743.43	587.13	511.0	669.92	571.05	669.92	587.13	368.65	583.07	412.0	651.58	371.22
KIDINS220	82.87	599.49	231.32	426.57	674.59	341.51	320.8	454.09	143.01	591.22	684.02	283.05	525.39	327.56	409.15	387.02	624.99	341.51	470.14	129.69	191.67	703.28	231.32	684.02	218.79	356.05	371.22	384.34	460.44	656.11	607.87	231.32	353.59	555.41	267.73	532.74	532.74	351.14	559.28	368.65	291.04	341.51	267.73	563.18	299.25
KIF20B	6.31	56.28	18.43	16.27	72.01	15.91	24.11	22.59	15.56	25.72	74.58	17.13	59.13	15.56	14.24	23.08	45.85	13.03	38.12	23.76	9.41	56.28	16.88	74.58	18.03	30.78	21.16	29.48	43.63	56.28	47.5	20.26	26.67	47.84	9.78	42.41	31.9	31.45	49.56	18.7	18.29	29.48	24.99	36.53	24.63
KIF3B	320.8	607.87	417.77	412.0	438.59	332.14	389.72	414.87	291.04	438.59	547.75	236.21	665.29	432.53	507.46	460.44	599.49	429.54	493.56	368.65	260.38	728.11	241.19	555.41	220.32	532.74	497.0	351.14	909.17	688.78	476.71	351.14	426.57	503.95	343.89	599.49	629.35	420.68	563.18	559.28	447.82	341.51	351.14	511.0	332.14
KLK3	0.0	772940.66	1345768.59	1005860.33	573724.06	1212874.47	1163466.92	1116072.03	373305.21	691801.16	440870.9	1255646.43	542775.98	1187913.85	1093103.58	1139523.1	619179.28	1100706.72	1327240.99	887875.81	1147449.11	585779.24	978355.0	394590.4	1412675.8	1238359.56	1327240.99	1196176.45	985160.01	805764.22	767601.56	1212874.47	1238359.56	654483.73	985160.01	751804.53	1048575.0	1345768.59	711250.37	1472666.19	1229805.58	828417.36	938500.81	794671.01	1063212.58
KRIT1	204.07	486.75	195.72	361.04	642.59	265.87	258.57	312.0	175.07	414.87	551.56	265.87	514.56	180.02	320.8	269.6	587.13	258.57	289.02	246.28	166.73	500.46	265.87	543.96	239.52	329.84	341.51	395.18	339.14	423.61	379.04	228.13	351.14	417.77	218.79	447.82	301.33	334.46	343.89	260.38	217.27	279.14	275.28	371.22	241.19
LIN54	34.51	121.79	43.32	75.64	143.01	70.51	77.25	67.59	21.47	101.54	127.0	51.71	182.55	50.63	66.18	66.18	264.03	56.68	108.14	60.39	37.32	146.03	47.84	125.24	60.82	77.25	84.63	74.06	116.78	162.14	106.63	43.02	63.0	106.63	63.0	99.43	95.34	75.11	108.14	89.51	51.71	61.25	54.72	104.42	73.54
LMBRD2	68.07	237.86	80.57	96.68	199.85	109.66	97.36	106.63	27.84	148.09	189.02	87.03	220.32	98.04	127.89	115.97	295.11	77.79	205.5	43.94	51.71	208.38	67.12	246.28	83.45	88.88	112.77	100.83	172.65	186.4	246.28	75.64	84.04	215.77	83.45	206.94	140.04	115.16	217.27	151.22	78.34	82.87	84.63	186.4	123.5
LNX2	45.53	244.57	102.25	115.97	346.29	150.17	183.82	94.67	56.68	177.53	285.03	84.63	181.28	85.22	170.25	112.77	150.17	161.02	147.06	60.39	64.34	175.07	63.45	275.28	71.0	137.14	122.64	115.97	218.79	255.0	191.67	138.1	101.54	229.72	128.79	172.65	180.02	169.07	177.53	214.27	82.87	122.64	116.78	206.94	194.36
MLLT10	109.66	400.71	183.82	265.87	483.38	242.88	211.31	299.25	214.27	432.53	483.38	236.21	397.93	228.13	339.14	287.01	454.09	236.21	244.57	182.55	237.86	426.57	234.57	463.65	206.94	246.28	122.64	275.28	336.79	323.03	325.29	169.07	348.71	373.81	318.57	368.65	285.03	244.57	353.59	237.86	211.31	262.2	309.83	447.82	249.73
MORC3	91.41	361.04	108.14	209.84	466.88	194.36	273.37	275.28	72.52	334.46	476.71	175.07	444.72	173.85	237.86	228.13	412.0	199.85	366.09	50.27	102.25	441.64	149.12	551.56	150.17	212.78	206.94	236.21	341.51	312.0	406.31	159.9	194.36	395.18	154.42	314.17	258.57	248.0	348.71	237.86	175.07	260.38	220.32	403.5	264.03
MTX3	8.19	153.34	15.34	62.56	166.73	37.59	31.0	88.88	7.4	105.89	189.02	34.02	108.9	38.12	63.0	66.65	157.68	36.53	96.01	11.47	15.22	212.78	16.03	169.07	6.62	48.18	40.93	45.85	135.24	130.6	142.01	15.45	72.52	149.12	19.39	133.36	76.71	33.3	117.6	51.71	27.84	37.85	27.84	120.1	25.54
MYO9A	23.42	264.03	45.21	129.69	297.17	105.15	87.65	134.3	37.59	201.25	327.56	88.88	229.72	97.36	130.6	108.9	221.86	108.9	155.5	57.49	56.28	327.56	67.59	293.07	59.97	103.69	87.65	128.79	211.31	318.57	253.23	60.82	128.79	260.38	84.04	215.77	143.01	70.51	194.36	120.94	66.65	94.67	105.89	211.31	96.68
NF1	69.52	395.18	109.66	244.57	417.77	170.25	182.55	224.97	100.83	285.03	435.55	127.0	325.29	177.53	239.52	172.65	381.68	163.28	253.23	96.01	87.03	438.59	115.16	368.65	133.36	206.94	185.11	187.71	320.8	454.09	351.14	127.0	177.53	341.51	124.37	301.33	248.0	191.67	305.55	217.27	153.34	182.55	130.6	301.33	199.85
NIPAL1	21.47	85.22	24.99	54.72	113.56	65.26	37.59	65.26	25.91	90.77	100.83	84.63	68.07	60.82	109.66	100.13	105.89	68.55	100.13	17.9	25.17	145.02	34.02	108.9	44.25	71.5	27.64	77.79	115.16	131.51	96.68	32.13	84.63	124.37	50.27	96.01	77.79	65.26	119.26	96.01	56.28	80.57	57.08	105.89	85.82
NSUN4	212.78	392.44	244.57	320.8	363.56	277.2	269.6	379.04	269.6	327.56	412.0	239.52	420.68	312.0	392.44	249.73	373.81	332.14	303.44	244.57	215.77	518.15	236.21	460.44	303.44	339.14	251.48	351.14	406.31	397.93	343.89	275.28	320.8	361.04	297.17	384.34	356.05	262.2	450.94	332.14	223.41	303.44	237.86	406.31	366.09
NUP50	154.42	447.82	275.28	356.05	575.03	343.89	358.54	480.04	217.27	473.41	536.45	303.44	486.75	457.25	563.18	409.15	395.18	376.41	412.0	251.48	334.46	603.67	307.69	599.49	265.87	366.09	361.04	256.78	470.14	343.89	500.46	289.02	363.56	507.46	403.5	426.57	470.14	412.0	555.41	318.57	289.02	356.05	301.33	412.0	371.22
OPHN1	1.57	332.14	79.45	166.73	242.88	150.17	120.1	154.42	29.91	309.83	226.54	141.02	269.6	110.43	211.31	165.57	242.88	123.5	209.84	82.29	53.57	348.71	67.59	237.86	206.94	191.67	80.57	256.78	267.73	403.5	341.51	70.01	273.37	242.88	74.06	285.03	202.66	154.42	264.03	177.53	90.77	194.36	75.64	563.18	146.03
P2RX7	19.25	53.57	0.96	19.97	58.71	5.28	14.45	31.9	1.62	38.67	41.22	7.94	36.53	4.7	9.13	12.74	65.72	17.51	24.63	2.14	8.58	49.56	7.06	55.1	6.36	11.38	8.92	17.77	32.82	15.34	34.51	4.35	10.31	44.57	6.11	22.43	19.11	8.32	28.65	5.28	5.23	12.09	7.94	28.04	8.32
