	GTEX.Y114.1126.SM.4TT7V	GTEX.XGQ4.1626.SM.4AT6J	GTEX.13O61.1226.SM.5KM21	GTEX.X5EB.1026.SM.46MVU	GTEX.11EQ9.0926.SM.5HL6I	GTEX.1122O.1826.SM.5EGIP	GTEX.P4QT.0626.SM.3NMCP	GTEX.ZT9W.1226.SM.57WE4	GTEX.ZVT2.1226.SM.5GU5H	GTEX.UJMC.1026.SM.4IHKN	TCGA.38.4625.01A.01R.1206.07.1	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.CG.5734.01A.11R.1602.13	TCGA.BR.6564.01A.12R.1884.13	TCGA.FP.A8CX.01A.11R.A36D.31	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.HF.7133.01A.11R.2055.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.CG.4460.01A.01R.1157.13	TCGA.BR.8687.01A.11R.2402.13	TCGA.D7.6820.01A.11R.1884.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.CG.5721.11A.01R.1602.13
MRPL51	1331.57	2178.83	2520.38	2004.85	1651.0	2004.85	2627.46	2287.2	1331.57	1709.26	0.64	2816.11	2609.3	2835.7	2915.45	3146.52	2915.45	3303.0	2319.15	3665.02	5995.9	4268.94	3982.99	1950.0	2178.83	4736.79
MRPS12	447.82	483.38	642.59	525.39	466.88	403.5	842.36	493.56	521.76	555.41	0.39	791.35	1733.13	1001.93	1295.13	1583.71	1159.07	1583.71	1594.73	2682.69	825.0	1242.34	1572.76	551.56	884.29	1781.89
MRPS28	571.05	417.77	733.19	780.44	551.56	603.67	854.13	642.59	679.29	583.07	0.52	896.64	884.29	748.61	928.3	902.89	878.17	1397.83	878.17	1023.0	1923.14	1096.5	1127.35	638.15	718.08	954.43
MTX1	624.99	753.83	785.88	607.87	493.56	633.73	884.29	703.28	547.75	521.76	0.52	1015.93	1697.45	1457.23	1417.35	1397.83	1304.15	1540.37	1757.34	2287.2	1583.71	1369.04	1605.83	785.88	1066.48	1685.71
NDUFA9	1051.79	995.0	1081.39	1216.75	830.75	1225.22	1313.23	1008.9	1104.13	1023.0	0.64	1340.84	2271.4	1088.92	2451.44	1977.24	1477.58	1250.98	1594.73	1242.34	3395.89	1977.24	2627.46	1044.52	1685.71	2855.44
NDUFS2	1757.34	2075.59	2319.15	2032.85	1883.54	2163.77	2193.99	2133.97	2271.4	2047.0	1135.2	1769.57	2915.45	2047.0	2468.49	2816.11	2935.74	2133.97	2400.97	3018.3	3257.52	2178.83	2915.45	1909.85	2875.3	2835.7
NEK2	0.0	0.0	1.48	0.0	6.46	4.98	37.59	2.01	18.29	0.96	0.0	71.0	67.59	22.59	127.0	89.51	209.84	165.57	295.11	543.96	1551.09	165.57	293.07	9.48	59.55	52.82
NOMO1	1104.13	981.29	878.17	1015.93	1159.07	1088.92	1030.12	1216.75	1066.48	974.5	0.72	1697.45	1794.29	1477.58	2061.24	1397.83	1819.35	2133.97	1477.58	2193.99	3665.02	1857.6	2240.11	1295.13	1794.29	1757.34
NOMO3	679.29	764.36	583.07	651.58	450.94	620.67	521.76	497.0	323.03	305.55	0.84	1721.16	1709.26	1551.09	2720.15	2061.24	1781.89	2090.03	1991.0	2976.74	3874.05	2895.31	2032.85	759.08	1259.69	2163.77
OSM	11.47	6.57	15.45	44.57	5.54	6.01	7.46	5.73	6.31	1.71	0.17	12.74	409.15	20.86	14.45	13.72	283.05	37.59	105.89	242.88	111.21	22.92	400.71	65.72	15.11	7.57
PA2G4	1583.71	1378.57	1721.16	1819.35	1857.6	1806.78	2739.08	1936.53	1594.73	1794.29	180.02	1909.85	2193.99	1977.24	2758.13	3742.05	4239.45	2335.28	3614.55	4210.15	3540.14	11267.44	3235.01	2193.99	1936.53	2133.97
PFDN2	921.88	967.76	1628.26	1167.14	1313.23	1183.45	1066.48	1369.04	1015.93	1167.14	0.6	1159.07	2384.37	2178.83	1662.49	1378.57	2537.92	3168.41	1651.0	2004.85	2956.17	1819.35	1819.35	1127.35	647.07	1447.15
PFDN6	967.76	1216.75	1268.46	1044.52	961.07	1135.2	769.69	1096.5	733.19	1119.56	1397.83	1088.92	1628.26	1508.65	1487.87	1127.35	1540.37	2627.46	1651.0	2193.99	2148.82	1963.57	1909.85	934.76	808.0	1331.57
PGC	228.13	171.45	8046889.67	11.82	1634025.56	52497.92	2039804.27	144.01	483.38	204.07	0.0	2310861.52	1255646.43	1212874.47	535303.41	2310861.52	3200796.55	1916442.45	589853.66	1.011504819E7	1600397.78	5128124.01	757033.75	659036.03	5690009.96	4885245.74
PGK1	7857.29	4328.55	6294.04	10959.3	6792.79	5633.22	10084.54	6887.62	8305.36	6745.86	212.78	5517.27	13776.25	6164.49	10296.45	10296.45	13123.73	7081.29	11424.74	11992.79	12076.21	11189.6	14262.1	6792.79	6840.04	6561.36
PHB2	3235.01	4239.45	4181.07	3794.3	3794.3	3168.41	3325.99	3564.78	3820.7	4095.0	1.25	3665.02	4268.94	4836.35	4575.41	5041.77	4152.18	5076.84	4836.35	5633.22	6121.9	6121.9	7911.95	5219.6	3955.48	5255.91
PLEKHB2	486.75	376.41	486.75	454.09	500.46	423.61	703.28	457.25	665.29	441.64	0.47	1051.79	1073.91	507.46	1721.16	1350.18	2133.97	872.1	909.17	759.08	2133.97	1159.07	1662.49	708.18	1674.06	1259.69
PLK1	45.53	95.34	77.79	52.45	54.33	58.3	264.03	27.64	115.16	63.45	0.56	400.71	591.22	150.17	1572.76	1769.57	595.34	483.38	2004.85	1487.87	1757.34	514.56	1572.76	118.43	341.51	587.13
PPIL1	305.55	244.57	236.21	193.01	212.78	262.2	373.81	169.07	490.14	194.36	0.0	629.35	529.06	620.67	802.41	884.29	884.29	775.05	915.51	890.44	1709.26	679.29	759.08	376.41	551.56	660.68
PRDX2	4736.79	3901.01	4543.8	5672.41	3212.66	3768.09	5831.91	3540.14	4358.66	3690.52	1.07	3742.05	9215.48	7180.15	6561.36	7382.04	4328.55	6471.02	6935.54	8022.41	6699.25	5366.37	10296.45	6935.54	6250.56	10225.32
PSMB5	2018.8	1733.13	2004.85	1936.53	1561.89	1540.37	1896.65	2047.0	2018.8	1857.6	0.75	1551.09	2835.7	2209.26	2915.45	2915.45	2367.9	2351.53	2384.37	2796.65	3146.52	2758.13	3060.45	1769.57	1977.24	2591.27
PTP4A1	2133.97	693.58	1066.48	708.18	988.12	1073.91	954.43	902.89	1350.18	476.71	0.37	1963.57	6294.04	3467.27	3325.99	2271.4	12244.81	1605.83	7749.1	5954.47	6792.79	2075.59	2591.27	2255.7	2555.58	2319.15
RABIF	87.65	96.01	76.71	92.7	71.0	98.04	218.79	119.26	100.83	101.54	0.0	234.57	166.73	154.42	251.48	162.14	206.94	253.23	236.21	295.11	389.72	229.72	251.48	114.36	155.5	131.51
RAD54L	13.03	15.68	32.59	9.78	10.63	12.0	36.27	8.71	31.22	12.55	0.34	60.39	65.72	36.53	127.89	92.05	98.04	73.03	397.93	102.97	158.79	68.55	150.17	28.45	44.89	49.21
RAN	3955.48	3212.66	3690.52	4639.29	3395.89	3820.7	6561.36	4210.15	3874.05	3982.99	0.72	6471.02	6079.61	5255.91	9540.5	7749.1	11745.96	8598.28	9876.98	7642.41	11267.44	5329.3	9540.5	4358.66	4152.18	5913.33
RPP21	669.92	1709.26	1950.0	1104.13	1037.29	1191.69	1369.04	974.5	1183.45	1508.65	0.54	1447.15	1977.24	1923.14	1977.24	1397.83	2400.97	2367.9	1794.29	2976.74	2468.49	1769.57	2163.77	1498.22	1037.29	2303.12
SKA3	0.0	10.63	1.16	3.82	4.74	10.88	33.06	4.35	9.06	2.12	0.0	75.64	111.99	25.17	201.25	175.07	127.0	197.09	175.07	289.02	332.14	153.34	348.71	10.39	71.0	95.34
SLC39A7	1119.56	884.29	1008.9	1350.18	1250.98	1407.55	2075.59	1225.22	1417.35	1059.11	0.82	2090.03	2976.74	2400.97	4038.61	4607.24	3874.05	2956.17	3665.02	6294.04	5076.84	5219.6	4450.27	1794.29	3491.39	2758.13
SNRPD2	3982.99	4802.93	5041.77	4388.98	3419.52	4836.35	6037.61	3716.2	2720.15	4268.94	1.22	6037.61	6983.79	6079.61	5711.87	6164.49	6381.92	9808.75	7642.41	7032.37	7857.29	4419.52	5479.15	4543.8	3794.3	8538.88
SRSF9	1709.26	2004.85	1977.24	1745.2	1832.01	1991.0	3690.52	1923.14	1529.73	1909.85	457.25	2739.08	3467.27	2090.03	3039.3	2537.92	3081.75	3325.99	2895.31	3349.13	4388.98	2434.5	3325.99	1781.89	2319.15	2835.7
SSTR5	1.07	1.01	0.0	0.0	1.66	3.35	14.67	0.0	0.0	1.01	0.1	7.11	7.75	26.67	59.13	12.36	2.66	25.17	9.2	27.25	149.12	99.43	60.82	4.98	4.03	4.54
STIP1	1127.35	1378.57	1313.23	2004.85	1407.55	1378.57	1617.0	1540.37	1477.58	1369.04	0.0	1594.73	2417.67	2400.97	2047.0	3257.52	3467.27	2976.74	4736.79	2119.22	4328.55	2956.17	4450.27	1963.57	1457.23	1674.06
SUB1	2573.36	2209.26	3103.19	2417.67	2240.11	2956.17	3716.2	2758.13	2303.12	2351.53	0.97	7382.04	6471.02	5006.93	6561.36	6250.56	2915.45	4736.79	4268.94	11745.96	9025.81	4836.35	9344.14	3847.29	5403.7	8078.22
TACC3	56.68	127.0	108.9	128.79	96.01	96.68	182.55	97.36	159.9	99.43	0.62	500.46	536.45	212.78	1066.48	947.83	420.68	406.31	791.35	703.28	802.41	633.73	1015.93	167.9	314.17	483.38
THOC3	305.55	293.07	376.41	303.44	226.54	373.81	836.53	309.83	275.28	460.44	0.48	599.49	780.44	305.55	647.07	723.08	830.75	780.44	638.15	693.58	1508.65	884.29	728.11	441.64	647.07	587.13
TMED10	3372.43	1605.83	2255.7	2384.37	2119.22	2400.97	3928.15	2061.24	2720.15	2384.37	108.9	4298.64	6250.56	3124.78	5672.41	6745.86	6887.62	4010.71	4937.99	7331.05	9409.14	6207.38	5995.9	3847.29	6471.02	6207.38
TNFRSF11A	9.93	17.25	15.11	10.71	8.38	18.16	146.03	16.51	21.47	10.31	0.21	121.79	167.9	66.65	97.36	139.07	93.35	65.26	99.43	138.1	366.09	104.42	381.68	68.07	116.78	105.89
TPI1	8363.13	5112.16	7642.41	10659.59	6516.03	5995.9	14065.74	8840.04	5441.3	5872.48	1.13	6887.62	14262.1	8598.28	14561.8	14262.1	12160.22	11745.96	13872.08	16843.62	24321.43	17558.94	21468.49	7382.04	8963.45	13776.25
TROAP	3.35	22.26	3.38	13.42	33.3	11.47	120.94	7.51	91.41	4.43	0.41	139.07	297.17	43.94	381.68	291.04	277.2	1183.45	878.17	688.78	1572.76	339.14	764.36	29.91	80.01	197.09
UBE2C	0.0	4.17	12.27	17.64	46.18	5.87	295.11	7.28	120.1	5.68	0.22	500.46	1870.53	178.77	1001.93	1447.15	521.76	1447.15	1769.57	1781.89	4181.07	674.59	2777.33	72.01	366.09	1268.46
UBE2T	20.56	46.84	36.79	71.5	26.47	23.76	96.68	30.78	72.01	33.54	0.13	312.0	371.22	120.94	575.03	493.56	633.73	536.45	780.44	775.05	2133.97	503.95	713.11	73.54	171.45	273.37
UQCRH	4769.75	4010.71	5441.3	5112.16	4152.18	4210.15	6792.79	4388.98	3874.05	4066.71	1.22	6652.97	8658.09	5255.91	9344.14	8022.41	8538.88	7966.99	10014.87	6840.04	10154.69	9409.14	10883.59	4210.15	5219.6	11745.96
VARS	703.28	620.67	651.58	733.19	603.67	785.88	902.89	555.41	791.35	684.02	239.52	854.13	2061.24	1135.2	1322.37	1950.0	1397.83	1023.0	1242.34	2224.63	1268.46	1073.91	1757.34	802.41	819.3	1487.87
YARS2	141.02	148.09	116.78	151.22	127.0	143.01	224.97	115.97	140.04	163.28	0.04	275.28	244.57	301.33	279.14	363.56	521.76	473.41	289.02	277.2	571.05	303.44	591.22	189.02	256.78	387.02
ZBTB9	47.5	66.18	51.71	65.26	48.87	57.89	121.79	41.22	45.53	65.26	129.69	109.66	67.59	134.3	131.51	129.69	152.28	142.01	287.01	426.57	432.53	264.03	291.04	90.77	128.79	93.35
