	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DE.A0Y2.01A.11R.A10U.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EL.A3GS.01A.11R.A20F.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.FE.A234.01A.11R.A14Y.07	TCGA.DE.A0Y3.01B.11R.A10U.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.EL.A4KG.01A.11R.A250.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A3SZ.01A.11R.A22U.07
ATP9A	603.67	540.19	624.99	470.14	896.64	395.18	392.44	379.04	435.55	656.11	493.56	679.29	703.28	426.57	283.05	759.08	536.45	500.46	297.17	366.09	438.59	713.11	414.87	669.92	928.3	490.14	591.22	521.76	363.56	571.05	884.29	733.19	708.18	373.81	521.76	473.41	518.15
ATRX	381.68	281.09	283.05	215.77	397.93	176.29	111.99	173.85	215.77	397.93	267.73	316.37	303.44	171.45	137.14	447.82	287.01	194.36	169.07	151.22	264.03	285.03	239.52	289.02	426.57	202.66	323.03	249.73	180.02	301.33	366.09	387.02	389.72	164.42	242.88	204.07	248.0
ATXN1L	248.0	205.5	193.01	138.1	265.87	111.99	100.83	108.9	212.78	248.0	187.71	221.86	215.77	120.94	90.77	293.07	218.79	154.42	124.37	100.13	158.79	224.97	244.57	193.01	316.37	133.36	169.07	172.65	130.6	269.6	273.37	232.94	226.54	113.56	146.03	121.79	142.01
BAG5	363.56	490.14	457.25	490.14	785.88	429.54	435.55	341.51	320.8	567.1	420.68	603.67	612.11	387.02	339.14	656.11	412.0	343.89	339.14	414.87	454.09	547.75	624.99	607.87	638.15	476.71	483.38	450.94	358.54	480.04	607.87	791.35	575.03	426.57	483.38	409.15	473.41
BAZ1B	713.11	563.18	629.35	503.95	718.08	368.65	395.18	341.51	435.55	679.29	497.0	633.73	698.41	441.64	361.04	848.22	525.39	373.81	417.77	379.04	497.0	607.87	521.76	638.15	890.44	476.71	521.76	547.75	363.56	629.35	780.44	723.08	728.11	414.87	490.14	483.38	536.45
BBX	412.0	351.14	409.15	301.33	591.22	185.11	158.79	205.5	293.07	624.99	336.79	438.59	435.55	204.07	139.07	507.46	305.55	246.28	186.4	182.55	248.0	400.71	271.48	470.14	624.99	295.11	381.68	356.05	211.31	379.04	607.87	466.88	521.76	195.72	285.03	281.09	297.17
BCLAF1	1304.15	1259.69	1313.23	1001.93	1498.22	651.58	656.11	620.67	819.3	1697.45	934.76	1529.73	1259.69	684.02	575.03	1697.45	928.3	753.83	607.87	563.18	813.63	1295.13	567.1	1388.16	2004.85	866.07	1175.27	1073.91	684.02	1304.15	1651.0	1572.76	1457.23	642.59	981.29	1030.12	954.43
BMI1	547.75	748.61	629.35	651.58	854.13	486.75	307.69	497.0	476.71	684.02	540.19	878.17	878.17	518.15	339.14	974.5	607.87	309.83	518.15	460.44	684.02	708.18	698.41	775.05	748.61	525.39	511.0	780.44	307.69	836.53	738.29	848.22	780.44	483.38	466.88	426.57	679.29
BTBD8	16.03	8.85	14.35	12.36	25.91	5.5	2.84	6.52	5.59	32.59	8.65	27.84	21.63	3.86	1.71	20.26	16.15	3.5	4.13	2.86	8.38	16.15	4.82	24.81	26.86	9.13	12.0	17.64	3.11	14.35	32.36	16.51	30.56	2.36	11.3	6.31	7.06
CCNT1	159.9	155.5	172.65	148.09	211.31	101.54	77.79	116.78	135.24	224.97	172.65	189.02	180.02	108.9	80.57	206.94	148.09	124.37	95.34	77.25	130.6	172.65	142.01	185.11	253.23	140.04	141.02	166.73	122.64	164.42	236.21	220.32	198.47	123.5	149.12	115.97	139.07
CLASP2	281.09	232.94	236.21	195.72	285.03	115.16	115.16	137.14	224.97	303.44	260.38	228.13	211.31	164.42	98.73	241.19	242.88	172.65	150.17	111.99	176.29	224.97	260.38	190.34	325.29	173.85	190.34	191.67	139.07	237.86	289.02	237.86	273.37	140.04	190.34	164.42	183.82
CLCN3	348.71	334.46	414.87	339.14	503.95	226.54	157.68	204.07	309.83	480.04	409.15	450.94	379.04	232.94	206.94	463.65	426.57	395.18	251.48	221.86	256.78	371.22	303.44	368.65	591.22	325.29	327.56	339.14	186.4	454.09	392.44	454.09	423.61	228.13	264.03	291.04	314.17
CPNE3	500.46	599.49	693.58	540.19	813.63	403.5	336.79	397.93	435.55	890.44	591.22	674.59	785.88	460.44	389.72	748.61	536.45	493.56	426.57	389.72	441.64	599.49	825.0	629.35	674.59	511.0	551.56	599.49	392.44	454.09	830.75	743.43	759.08	366.09	476.71	412.0	525.39
CTDSPL2	191.67	214.27	226.54	155.5	275.28	104.42	78.34	96.01	130.6	273.37	164.42	206.94	220.32	117.6	100.13	279.14	185.11	130.6	126.12	105.15	150.17	221.86	121.79	236.21	312.0	147.06	178.77	165.57	102.97	185.11	275.28	251.48	251.48	115.97	142.01	157.68	152.28
CTSB	378516.38	301123.38	267651.2	253213.41	145432.49	221968.2	215898.44	198667.0	311742.51	154794.07	389157.95	170568.48	155870.75	242898.5	147462.67	204252.32	327241.36	391864.76	198667.0	200048.85	200048.85	299043.36	428815.23	208544.12	162489.97	218912.29	241220.67	209994.66	208544.12	288856.81	144427.91	214407.12	163620.18	131982.68	236256.4	194578.47	180294.02
DCAF7	728.11	603.67	603.67	559.28	995.0	518.15	525.39	371.22	532.74	775.05	638.15	647.07	723.08	493.56	529.06	896.64	595.34	532.74	444.72	503.95	525.39	651.58	633.73	660.68	848.22	532.74	718.08	591.22	497.0	1096.5	718.08	698.41	813.63	503.95	575.03	521.76	532.74
DCTN4	603.67	532.74	669.92	620.67	674.59	466.88	414.87	480.04	551.56	733.19	713.11	718.08	669.92	497.0	376.41	698.41	575.03	547.75	525.39	500.46	507.46	679.29	743.43	612.11	764.36	555.41	579.04	591.22	444.72	547.75	764.36	612.11	743.43	486.75	595.34	507.46	571.05
DCUN1D1	273.37	226.54	228.13	212.78	273.37	116.78	119.26	156.59	177.53	343.89	260.38	231.32	229.72	153.34	123.5	281.09	199.85	173.85	193.01	126.12	152.28	214.27	193.01	237.86	339.14	165.57	181.28	171.45	134.3	262.2	309.83	312.0	277.2	141.02	171.45	201.25	204.07
DDX6	441.64	358.54	450.94	327.56	698.41	181.28	214.27	202.66	281.09	620.67	366.09	555.41	571.05	217.27	139.07	693.58	381.68	277.2	221.86	142.01	334.46	507.46	287.01	583.07	825.0	327.56	339.14	361.04	191.67	563.18	688.78	651.58	624.99	220.32	346.29	267.73	334.46
DIS3	285.03	285.03	325.29	271.48	389.72	205.5	161.02	204.07	201.25	387.02	242.88	343.89	318.57	214.27	186.4	392.44	246.28	205.5	217.27	172.65	202.66	318.57	220.32	343.89	400.71	226.54	279.14	299.25	193.01	285.03	371.22	400.71	368.65	185.11	237.86	258.57	277.2
EFCAB14	1104.13	1001.93	1104.13	808.0	1397.83	647.07	595.34	575.03	915.51	1277.29	921.88	1216.75	1225.22	698.41	503.95	1268.46	1073.91	872.1	603.67	563.18	733.19	1135.2	595.34	1159.07	1832.01	703.28	915.51	884.29	633.73	1143.1	1572.76	1259.69	1242.34	559.28	775.05	825.0	813.63
EIF3A	2664.15	1617.0	1487.87	1286.18	2018.8	921.88	1191.69	1015.93	974.5	1936.53	1313.23	1781.89	1991.0	1135.2	902.89	1896.65	1242.34	1111.82	961.07	890.44	1242.34	1674.06	1175.27	1378.57	1896.65	1233.75	1487.87	1467.37	848.22	1540.37	1923.14	1977.24	1794.29	921.88	1350.18	1331.57	1407.55
ERC1	366.09	224.97	209.84	172.65	420.68	147.06	140.04	125.24	186.4	329.84	206.94	236.21	232.94	151.22	112.77	332.14	231.32	161.02	116.78	118.43	189.02	237.86	186.4	231.32	334.46	156.59	256.78	171.45	149.12	283.05	303.44	291.04	312.0	161.02	217.27	156.59	178.77
ERCC6L2	255.0	211.31	244.57	206.94	373.81	127.0	106.63	125.24	149.12	318.57	237.86	271.48	273.37	163.28	66.18	353.59	197.09	151.22	110.43	74.58	161.02	262.2	164.42	318.57	450.94	140.04	214.27	223.41	138.1	221.86	420.68	332.14	373.81	132.44	159.9	175.07	202.66
FAM160A1	102.25	125.24	110.43	117.6	283.05	68.55	60.82	71.0	50.27	255.0	102.25	133.36	209.84	78.34	29.7	281.09	122.64	48.87	44.57	59.97	71.0	135.24	49.91	191.67	271.48	74.58	104.42	104.42	47.84	120.94	295.11	218.79	173.85	72.52	96.01	92.05	106.63
FAM168A	483.38	450.94	400.71	343.89	624.99	265.87	293.07	316.37	420.68	514.56	387.02	476.71	547.75	336.79	244.57	555.41	444.72	343.89	312.0	267.73	301.33	444.72	339.14	441.64	633.73	353.59	454.09	361.04	341.51	607.87	612.11	463.65	547.75	281.09	444.72	312.0	307.69
FAM73A	125.24	130.6	134.3	104.42	229.72	57.89	47.17	76.17	100.83	195.72	145.02	170.25	181.28	67.12	37.85	165.57	155.5	83.45	62.56	48.52	75.64	141.02	113.56	157.68	224.97	87.65	108.9	119.26	55.49	177.53	206.94	187.71	191.67	47.5	90.77	114.36	84.63
FBXL4	145.02	208.38	224.97	170.25	221.86	129.69	117.6	129.69	145.02	211.31	199.85	229.72	237.86	150.17	124.37	199.85	177.53	141.02	131.51	131.51	156.59	212.78	239.52	199.85	223.41	186.4	166.73	186.4	110.43	129.69	231.32	249.73	232.94	153.34	199.85	155.5	161.02
FNIP1	173.85	161.02	201.25	173.85	318.57	120.94	71.0	124.37	143.01	287.01	232.94	256.78	242.88	135.24	84.63	260.38	232.94	159.9	104.42	113.56	134.3	186.4	237.86	265.87	281.09	175.07	163.28	190.34	104.42	148.09	301.33	262.2	239.52	127.0	171.45	120.1	164.42
FOXJ2	198.47	228.13	215.77	187.71	287.01	162.14	177.53	150.17	201.25	241.19	151.22	246.28	275.28	156.59	142.01	265.87	189.02	172.65	137.14	154.42	185.11	285.03	201.25	218.79	241.19	189.02	224.97	198.47	206.94	224.97	305.55	246.28	244.57	144.01	208.38	156.59	187.71
GAB1	165.57	152.28	132.44	130.6	229.72	82.87	48.52	60.39	171.45	189.02	88.88	149.12	171.45	50.98	50.63	201.25	140.04	43.63	85.22	74.06	126.12	186.4	66.18	178.77	236.21	111.99	103.69	129.69	87.65	183.82	246.28	189.02	163.28	101.54	107.38	81.14	103.69
GATC	275.28	241.19	177.53	177.53	275.28	148.09	144.01	113.56	178.77	303.44	241.19	265.87	241.19	176.29	122.64	273.37	271.48	248.0	133.36	105.15	155.5	251.48	281.09	262.2	234.57	152.28	221.86	197.09	120.94	273.37	269.6	262.2	285.03	145.02	157.68	190.34	181.28
GIGYF2	713.11	551.56	493.56	454.09	728.11	343.89	297.17	323.03	432.53	669.92	500.46	547.75	583.07	429.54	279.14	733.19	559.28	403.5	341.51	297.17	420.68	555.41	271.48	563.18	780.44	441.64	486.75	529.06	323.03	599.49	748.61	651.58	603.67	363.56	447.82	432.53	438.59
GLTSCR1L	173.85	162.14	165.57	164.42	241.19	111.99	100.83	104.42	153.34	190.34	141.02	197.09	229.72	128.79	93.35	211.31	167.9	90.77	120.1	98.04	156.59	205.5	158.79	182.55	291.04	143.01	193.01	172.65	113.56	190.34	267.73	201.25	221.86	104.42	140.04	115.16	135.24
GNE	96.01	130.6	95.34	102.25	173.85	59.13	54.33	61.25	95.34	189.02	112.77	105.15	153.34	92.05	52.08	141.02	111.99	98.04	77.25	63.89	96.68	99.43	129.69	122.64	145.02	87.03	78.89	82.29	67.12	108.9	115.16	138.1	191.67	88.88	108.9	79.45	105.89
GNL3L	90.14	99.43	88.26	63.0	156.59	37.59	48.87	31.9	55.89	132.44	66.18	97.36	108.14	50.98	42.71	162.14	101.54	44.25	37.05	21.78	57.08	88.26	86.43	116.78	143.01	56.28	74.58	70.01	41.81	100.83	135.24	114.36	163.28	38.12	98.73	87.65	69.52
GPATCH8	387.02	356.05	295.11	303.44	432.53	193.01	159.9	217.27	277.2	363.56	249.73	358.54	387.02	218.79	185.11	483.38	303.44	164.42	214.27	182.55	271.48	356.05	226.54	307.69	503.95	275.28	343.89	358.54	221.86	420.68	457.25	387.02	414.87	199.85	264.03	262.2	269.6
GTF2A1	343.89	248.0	351.14	242.88	476.71	199.85	96.68	144.01	279.14	406.31	775.05	403.5	392.44	194.36	161.02	587.13	532.74	406.31	234.57	189.02	241.19	381.68	532.74	376.41	473.41	312.0	334.46	301.33	152.28	303.44	361.04	543.96	318.57	183.82	295.11	220.32	246.28
HEATR5B	204.07	241.19	197.09	220.32	260.38	146.03	120.94	159.9	166.73	248.0	199.85	255.0	242.88	152.28	121.79	253.23	212.78	119.26	149.12	145.02	178.77	229.72	98.04	214.27	293.07	176.29	246.28	246.28	147.06	236.21	309.83	237.86	273.37	148.09	185.11	193.01	156.59
HELZ	124.37	103.69	96.01	85.22	178.77	59.97	49.56	63.0	99.43	137.14	108.14	104.42	123.5	61.25	57.08	143.01	95.34	56.68	85.82	65.26	80.01	108.9	124.37	116.78	151.22	81.14	92.05	102.97	70.51	128.79	141.02	135.24	143.01	61.68	77.25	74.58	78.89
HIPK1	629.35	476.71	514.56	343.89	802.41	275.28	246.28	343.89	525.39	616.37	551.56	503.95	540.19	291.04	249.73	674.59	583.07	450.94	351.14	264.03	397.93	555.41	417.77	466.88	703.28	417.77	444.72	426.57	295.11	723.08	607.87	674.59	612.11	329.84	400.71	356.05	397.93
IPO8	341.51	351.14	358.54	339.14	406.31	269.6	182.55	234.57	289.02	454.09	384.34	384.34	353.59	264.03	226.54	417.77	320.8	289.02	220.32	212.78	305.55	358.54	358.54	392.44	525.39	316.37	307.69	358.54	249.73	381.68	432.53	435.55	447.82	244.57	303.44	251.48	323.03
ITCH	316.37	339.14	339.14	309.83	463.65	232.94	178.77	217.27	269.6	412.0	316.37	395.18	403.5	231.32	186.4	400.71	309.83	251.48	214.27	217.27	255.0	320.8	332.14	384.34	353.59	253.23	348.71	346.29	193.01	327.56	420.68	466.88	447.82	231.32	281.09	256.78	316.37
KAT6A	275.28	221.86	231.32	180.02	395.18	131.51	126.12	134.3	182.55	327.56	232.94	281.09	327.56	144.01	109.66	356.05	234.57	149.12	136.19	125.24	169.07	265.87	231.32	258.57	426.57	161.02	194.36	224.97	143.01	273.37	395.18	305.55	301.33	139.07	185.11	163.28	178.77
KDM3B	791.35	620.67	679.29	532.74	830.75	447.82	480.04	476.71	555.41	748.61	518.15	728.11	896.64	497.0	343.89	941.27	599.49	441.64	473.41	371.22	507.46	830.75	624.99	669.92	967.76	567.1	669.92	563.18	454.09	753.83	947.83	674.59	780.44	423.61	603.67	426.57	525.39
KIAA0100	988.12	1001.93	915.51	796.86	1397.83	688.78	665.29	620.67	974.5	1233.75	909.17	961.07	1096.5	860.08	656.11	1427.22	1081.39	1111.82	669.92	341.51	693.58	928.3	1096.5	1066.48	1437.15	791.35	909.17	842.36	629.35	1757.34	1151.06	1378.57	1143.1	674.59	872.1	718.08	780.44
KIAA2026	236.21	232.94	223.41	206.94	305.55	120.1	115.16	120.1	198.47	249.73	232.94	239.52	264.03	156.59	87.03	277.2	229.72	140.04	159.9	157.68	224.97	253.23	232.94	202.66	309.83	186.4	201.25	224.97	135.24	223.41	307.69	285.03	265.87	133.36	173.85	185.11	193.01
KIF13B	366.09	361.04	361.04	236.21	454.09	221.86	297.17	273.37	248.0	450.94	255.0	450.94	486.75	248.0	186.4	395.18	379.04	189.02	189.02	201.25	229.72	368.65	320.8	392.44	483.38	329.84	376.41	341.51	241.19	376.41	486.75	412.0	395.18	267.73	305.55	236.21	293.07
KIF1B	256.78	287.01	287.01	258.57	429.54	217.27	201.25	229.72	198.47	389.72	265.87	346.29	353.59	194.36	157.68	450.94	305.55	191.67	186.4	194.36	241.19	348.71	223.41	309.83	379.04	260.38	260.38	277.2	231.32	251.48	420.68	376.41	373.81	262.2	283.05	242.88	249.73
KLHL11	31.22	14.89	23.08	23.93	51.35	3.41	4.39	7.94	18.97	64.8	32.82	26.47	36.01	7.11	4.39	57.49	27.84	14.78	4.58	3.5	11.47	29.48	45.85	37.32	61.25	11.38	15.56	16.15	9.56	48.87	54.72	36.79	41.22	3.79	15.8	14.35	8.58
KMT2A	267.73	231.32	244.57	202.66	376.41	138.1	117.6	169.07	186.4	301.33	162.14	307.69	371.22	162.14	116.78	395.18	202.66	105.15	163.28	136.19	217.27	301.33	141.02	283.05	441.64	206.94	253.23	232.94	152.28	279.14	438.59	320.8	332.14	153.34	211.31	190.34	189.02
LARP1	1883.54	1340.84	1313.23	1096.5	1806.78	947.83	981.29	1233.75	1467.37	1745.2	1369.04	1757.34	1819.35	1388.16	819.3	2032.85	2255.7	1359.57	1044.52	1037.29	1111.82	1561.89	2555.58	1397.83	2133.97	1242.34	1487.87	1216.75	1191.69	1896.65	1950.0	1685.71	1594.73	909.17	1350.18	1088.92	1175.27
LARP4B	583.07	435.55	483.38	441.64	665.29	341.51	309.83	403.5	500.46	620.67	514.56	551.56	674.59	381.68	297.17	642.59	607.87	476.71	457.25	353.59	363.56	620.67	525.39	497.0	571.05	525.39	532.74	493.56	423.61	612.11	693.58	547.75	547.75	371.22	454.09	403.5	435.55
LATS1	148.09	176.29	165.57	157.68	234.57	121.79	80.01	107.38	127.0	198.47	156.59	214.27	202.66	114.36	98.73	226.54	159.9	96.68	133.36	123.5	135.24	211.31	115.16	183.82	231.32	149.12	202.66	177.53	102.97	169.07	253.23	195.72	224.97	125.24	164.42	144.01	152.28
LMTK2	205.5	145.02	157.68	129.69	195.72	91.41	90.77	121.79	167.9	195.72	155.5	167.9	205.5	118.43	74.58	162.14	214.27	139.07	120.1	96.68	103.69	153.34	190.34	145.02	186.4	133.36	144.01	120.94	98.73	194.36	201.25	162.14	172.65	115.16	137.14	139.07	139.07
LNPEP	111.21	119.26	127.89	111.99	223.41	63.45	50.63	71.0	94.01	209.84	106.63	154.42	155.5	74.06	61.25	165.57	102.25	74.06	70.51	76.71	102.97	138.1	81.71	170.25	242.88	107.38	138.1	126.12	73.54	130.6	193.01	165.57	195.72	80.57	103.69	98.04	102.25
LNX2	130.6	135.24	159.9	113.56	187.71	92.7	54.72	88.88	100.83	198.47	149.12	166.73	204.07	111.99	64.8	180.02	177.53	110.43	101.54	75.11	110.43	156.59	156.59	145.02	185.11	120.94	125.24	138.1	90.14	115.97	191.67	176.29	169.07	92.7	127.89	127.0	131.51
LRP6	199.85	136.19	145.02	145.02	202.66	94.67	79.45	87.03	138.1	205.5	165.57	172.65	144.01	98.73	80.01	180.02	170.25	138.1	98.04	83.45	127.0	156.59	153.34	134.3	198.47	119.26	150.17	132.44	106.63	159.9	195.72	175.07	183.82	85.22	135.24	117.6	123.5
MAVS	236.21	283.05	226.54	178.77	444.72	147.06	111.99	162.14	175.07	346.29	197.09	275.28	307.69	148.09	113.56	351.14	273.37	146.03	96.01	100.83	139.07	234.57	217.27	283.05	384.34	186.4	218.79	218.79	135.24	289.02	376.41	341.51	348.71	124.37	228.13	214.27	199.85
MBTPS2	186.4	208.38	204.07	164.42	265.87	134.3	96.68	147.06	124.37	229.72	183.82	236.21	224.97	137.14	111.21	215.77	173.85	143.01	79.45	116.78	120.1	211.31	134.3	212.78	248.0	138.1	202.66	195.72	108.9	149.12	273.37	244.57	214.27	111.99	177.53	173.85	170.25
MED1	293.07	271.48	283.05	223.41	371.22	157.68	142.01	119.26	214.27	356.05	228.13	285.03	285.03	164.42	171.45	348.71	221.86	189.02	158.79	149.12	212.78	264.03	229.72	265.87	361.04	186.4	195.72	229.72	172.65	358.54	301.33	336.79	312.0	177.53	229.72	201.25	226.54
MED13L	323.03	271.48	246.28	187.71	327.56	120.1	87.65	141.02	244.57	297.17	293.07	271.48	323.03	157.68	105.15	356.05	273.37	149.12	214.27	134.3	212.78	318.57	368.65	253.23	409.15	223.41	215.77	237.86	152.28	289.02	376.41	343.89	356.05	131.51	191.67	162.14	185.11
MGA	130.6	104.42	117.6	82.87	178.77	46.18	52.08	57.49	82.87	158.79	84.04	140.04	126.12	56.28	46.18	164.42	113.56	53.57	63.89	53.19	94.67	130.6	67.12	103.69	187.71	82.29	94.67	96.01	61.68	111.99	170.25	146.03	157.68	74.06	78.89	57.49	99.43
MIB1	183.82	260.38	283.05	251.48	438.59	170.25	89.51	180.02	143.01	412.0	195.72	325.29	346.29	172.65	135.24	305.55	185.11	154.42	155.5	147.06	181.28	323.03	165.57	341.51	334.46	248.0	264.03	277.2	152.28	212.78	414.87	373.81	309.83	166.73	228.13	191.67	220.32
NAA50	674.59	915.51	813.63	612.11	1369.04	438.59	400.71	463.65	426.57	1175.27	753.83	1023.0	1066.48	480.04	379.04	1322.37	819.3	493.56	353.59	368.65	567.1	759.08	629.35	1044.52	1088.92	514.56	759.08	813.63	358.54	775.05	1208.34	1081.39	941.27	470.14	620.67	638.15	693.58
