	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.11NUK.1726.SM.5A5L2	GTEX.ZYW4.1626.SM.5GIE6	GTEX.Y111.1826.SM.4SOIR	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.11DYG.1926.SM.5H12I	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.13OVL.2726.SM.5J2MP	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.RNOR.1326.SM.48FDE	GTEX.11DYG.1426.SM.5A5JR	GTEX.T6MN.1526.SM.4DM5P	GTEX.146FQ.1126.SM.5NQBM	GTEX.RTLS.1226.SM.46MUP	GTEX.ZYVF.2326.SM.5E44Z	GTEX.13QJ3.1826.SM.5S2PT	GTEX.ZAB4.1226.SM.5CVN5	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.117YW.2026.SM.5N9BH	GTEX.ZYT6.1226.SM.5E44Q	GTEX.WZTO.1526.SM.4PQYQ	GTEX.14C5O.2826.SM.5RQI6	GTEX.WK11.2626.SM.4OOSK	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.BR.8371.01A.11R.2343.13	TCGA.BR.A453.01A.11R.A24K.31	TCGA.FP.7735.11A.01R.2055.13	TCGA.FP.7829.11A.01R.2055.13	GTEX.13X6H.1626.SM.5Q5CT	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX
BRICD5	65.26	69.03	12.09	21.01	30.12	20.86	42.11	202.66	145.02	83.45	152.28	126.12	148.09	127.89	43.63	105.89	269.6	503.95	503.95	205.5	246.28	563.18	381.68	466.88	457.25	305.55	435.55	409.15	361.04	262.2	555.41	59.97	429.54	571.05	486.75	414.87	291.04	466.88	395.18	351.14	283.05	316.37	72.01	53.95	68.07	181.28	121.79	91.41	88.26	7.63	66.65	18.03	39.22
CBWD5	371.22	414.87	376.41	409.15	376.41	318.57	361.04	620.67	412.0	497.0	295.11	775.05	612.11	514.56	432.53	713.11	934.76	1199.98	947.83	536.45	769.69	529.06	921.88	1437.15	441.64	579.04	713.11	1066.48	1044.52	708.18	703.28	497.0	1104.13	1233.75	412.0	674.59	543.96	791.35	713.11	708.18	457.25	521.76	339.14	316.37	688.78	476.71	346.29	438.59	289.02	131.51	473.41	155.5	157.68
CEP152	22.43	17.9	58.71	17.25	25.91	16.15	21.01	24.99	34.75	35.76	35.76	79.45	61.68	63.89	33.06	55.49	40.36	59.97	84.63	37.85	63.0	69.52	55.89	82.87	38.4	52.08	53.19	61.68	87.03	45.53	64.34	76.17	78.89	87.65	55.89	118.43	58.3	73.03	82.29	56.68	38.12	96.68	18.56	20.86	34.75	74.06	34.26	28.45	46.18	23.08	9.7	18.56	18.7
CHRNA10	17.77	10.55	14.45	9.27	4.35	8.78	7.46	8.0	9.48	13.12	8.13	13.22	8.0	29.27	19.53	36.79	22.43	17.13	76.71	26.28	18.97	21.63	21.94	72.01	17.77	10.71	51.35	35.76	46.18	23.59	38.4	9.34	34.26	59.55	43.94	47.17	5.63	40.07	37.05	7.69	36.01	31.22	3.29	5.54	22.1	27.25	10.47	15.45	6.89	3.66	15.22	12.64	5.77
CLTCL1	79.45	24.46	47.17	68.55	52.82	36.53	56.68	136.19	43.32	51.35	87.65	148.09	145.02	130.6	143.01	107.38	242.88	299.25	224.97	55.89	265.87	234.57	412.0	358.54	108.9	149.12	303.44	500.46	112.77	273.37	371.22	121.79	267.73	293.07	480.04	248.0	169.07	309.83	336.79	215.77	139.07	281.09	79.45	57.08	62.12	67.59	75.11	49.56	87.65	38.67	37.05	27.05	15.45
COL4A3	21.47	4.58	57.89	38.67	37.85	19.68	24.99	3.11	16.27	17.9	15.0	21.63	54.72	384.34	19.68	78.34	115.97	285.03	208.38	82.29	208.38	166.73	108.14	145.02	46.18	166.73	187.71	106.63	221.86	224.97	201.25	65.72	165.57	246.28	202.66	126.12	54.33	126.12	121.79	194.36	94.01	260.38	100.13	26.1	11.3	133.36	8.65	30.78	60.39	2.43	6.06	0.16	16.75
CRAMP1L	144.01	80.01	162.14	189.02	229.72	140.04	182.55	253.23	285.03	195.72	260.38	262.2	309.83	454.09	285.03	341.51	346.29	612.11	480.04	287.01	514.56	381.68	336.79	463.65	253.23	318.57	435.55	571.05	567.1	432.53	381.68	193.01	454.09	412.0	507.46	444.72	473.41	358.54	454.09	255.0	269.6	497.0	187.71	136.19	249.73	244.57	208.38	226.54	251.48	156.59	199.85	138.1	156.59
CSAD	269.6	149.12	199.85	132.44	183.82	147.06	176.29	371.22	368.65	371.22	708.18	1437.15	723.08	1709.26	638.15	1745.2	3419.52	4671.57	2895.31	961.07	1721.16	2104.58	2193.99	2627.46	1594.73	2163.77	2627.46	3303.0	2591.27	1819.35	2520.38	511.0	2739.08	2384.37	2758.13	2796.65	2119.22	2434.5	2895.31	934.76	1709.26	2664.15	255.0	246.28	339.14	1295.13	454.09	514.56	796.86	72.52	137.14	31.0	198.47
CTD-2368P22.1	9.27	28.65	65.72	60.39	42.11	63.0	43.32	35.25	75.11	70.01	148.09	102.25	75.11	130.6	92.7	116.78	224.97	368.65	149.12	121.79	267.73	153.34	239.52	140.04	38.95	152.28	169.07	237.86	212.78	277.2	318.57	44.89	166.73	368.65	157.68	267.73	140.04	195.72	267.73	31.45	264.03	146.03	29.91	70.51	59.13	124.37	64.34	102.25	100.83	10.88	3.53	8.78	24.11
DIP2A	239.52	164.42	201.25	193.01	246.28	218.79	199.85	353.59	460.44	320.8	450.94	669.92	466.88	583.07	476.71	532.74	884.29	967.76	915.51	483.38	785.88	802.41	836.53	902.89	559.28	587.13	967.76	1127.35	890.44	612.11	836.53	303.44	974.5	860.08	988.12	813.63	860.08	802.41	915.51	656.11	543.96	1183.45	339.14	303.44	447.82	432.53	325.29	218.79	353.59	153.34	180.02	164.42	177.53
DMTF1	497.0	291.04	271.48	373.81	381.68	358.54	414.87	759.08	928.3	708.18	860.08	2133.97	1427.22	1733.13	947.83	1594.73	1697.45	2777.33	2255.7	1662.49	2384.37	1709.26	2090.03	1936.53	915.51	1498.22	2287.2	2720.15	2701.35	1757.34	1883.54	802.41	2319.15	2720.15	2224.63	2816.11	2178.83	1977.24	3060.45	1191.69	1508.65	2240.11	547.75	536.45	679.29	1111.82	665.29	599.49	769.69	329.84	320.8	241.19	457.25
DPH7	368.65	314.17	199.85	228.13	299.25	172.65	371.22	559.28	559.28	470.14	532.74	915.51	486.75	629.35	397.93	688.78	1225.22	1250.98	1594.73	669.92	1183.45	1225.22	1407.55	1844.76	1119.56	1044.52	1477.58	1519.15	1697.45	961.07	1388.16	432.53	1286.18	1498.22	1551.09	1359.57	1104.13	1208.34	1551.09	928.3	1127.35	1369.04	258.57	327.56	480.04	616.37	373.81	473.41	412.0	191.67	206.94	152.28	224.97
ERCC3	521.76	518.15	633.73	620.67	620.67	450.94	579.04	693.58	698.41	748.61	974.5	1250.98	854.13	1015.93	753.83	813.63	1135.2	1397.83	1331.57	941.27	1143.1	1037.29	1313.23	1561.89	988.12	1008.9	1487.87	1427.22	1561.89	1059.11	1127.35	669.92	1378.57	1268.46	1304.15	1277.29	1008.9	1135.2	1233.75	836.53	1066.48	1397.83	571.05	802.41	698.41	713.11	555.41	642.59	764.36	514.56	379.04	409.15	447.82
FAM193B	500.46	395.18	356.05	400.71	591.22	217.27	503.95	854.13	909.17	802.41	890.44	1757.34	1104.13	1378.57	642.59	1733.13	2701.35	2796.65	3146.52	1467.37	2209.26	2104.58	3081.75	3124.78	2224.63	1870.53	2935.74	3349.13	3564.78	1721.16	2555.58	759.08	3395.89	3018.3	3874.05	3212.66	1923.14	2163.77	3280.18	2434.5	1662.49	3212.66	1015.93	507.46	830.75	1037.29	583.07	555.41	813.63	325.29	251.48	236.21	320.8
FAM219B	642.59	642.59	775.05	974.5	866.07	813.63	1088.92	878.17	836.53	967.76	1397.83	1037.29	1151.06	1963.57	2032.85	1733.13	1757.34	1757.34	1794.29	1529.73	1685.71	1883.54	1487.87	1745.2	1233.75	1359.57	1427.22	2090.03	1991.0	1639.59	1950.0	1127.35	1628.26	2148.82	1923.14	1806.78	1583.71	1896.65	1857.6	1216.75	1721.16	1806.78	1183.45	854.13	884.29	1216.75	947.83	1397.83	1529.73	819.3	1259.69	698.41	1233.75
FAM27E2	5.06	4.58	8.32	4.86	13.83	3.08	4.86	0.0	0.0	6.84	8.78	12.83	12.27	4.13	3.79	13.83	30.34	92.05	34.02	7.63	58.3	36.27	24.46	38.67	19.68	16.51	0.0	90.77	59.13	46.5	38.4	9.27	29.48	27.25	30.78	55.1	45.85	46.18	36.79	46.84	19.11	31.67	5.06	8.06	0.0	13.52	7.4	17.51	10.31	1.25	0.09	1.03	8.25
FAN1	178.77	256.78	239.52	260.38	291.04	220.32	265.87	228.13	277.2	309.83	381.68	283.05	287.01	297.17	336.79	339.14	236.21	366.09	423.61	327.56	343.89	346.29	285.03	400.71	239.52	307.69	432.53	438.59	493.56	327.56	397.93	248.0	336.79	493.56	363.56	423.61	314.17	447.82	373.81	217.27	348.71	384.34	249.73	208.38	301.33	285.03	137.14	283.05	281.09	90.77	82.87	111.99	131.51
FKSG63	0.78	3.63	0.0	7.06	6.06	3.53	7.06	0.0	0.0	19.25	0.0	8.32	64.8	58.71	5.63	27.84	52.08	40.07	23.93	6.46	46.84	42.41	46.84	65.72	12.64	65.72	60.82	64.34	25.91	11.55	93.35	16.51	43.02	52.08	43.94	26.28	21.47	71.5	55.49	24.11	15.0	91.41	0.0	0.69	20.41	12.36	5.06	11.04	23.25	7.75	4.66	4.7	4.06
FLNA	205673.01	197294.7	226632.25	193234.41	253213.41	145432.49	301123.38	358098.26	368165.8	260332.24	1634025.56	419990.32	513497.31	811368.76	1393227.06	649962.87	336441.4	220434.95	263966.36	233003.78	237899.7	275175.93	248002.34	322736.12	311742.51	288856.81	280957.98	313910.86	239554.43	239554.43	241220.67	256748.15	275175.93	237899.7	299043.36	249727.34	334117.42	290865.98	223512.12	296977.71	258533.99	241220.67	284880.02	288856.81	249727.34	277089.94	282912.21	358098.26	296977.71	103551.29	128373.58	107948.72	149521.18
GPR173	29.48	29.48	12.83	14.24	11.82	12.36	12.83	54.72	53.57	59.13	87.03	98.04	75.11	138.1	83.45	96.68	106.63	118.43	119.26	82.87	123.5	96.01	124.37	101.54	57.89	87.03	122.64	154.42	118.43	84.63	91.41	47.5	136.19	72.52	125.24	108.9	76.17	81.14	164.42	41.52	73.03	111.21	35.5	26.86	57.08	37.59	45.85	40.64	44.25	35.76	17.13	15.0	24.63
HKR1	291.04	258.57	356.05	397.93	412.0	248.0	466.88	400.71	493.56	420.68	591.22	684.02	503.95	669.92	518.15	616.37	902.89	1104.13	1529.73	679.29	1051.79	1104.13	1175.27	1662.49	866.07	785.88	1286.18	1369.04	1540.37	934.76	1225.22	511.0	1199.98	1388.16	1175.27	1340.84	928.3	1175.27	1313.23	718.08	954.43	1233.75	575.03	595.34	493.56	902.89	511.0	603.67	607.87	189.02	214.27	175.07	199.85
HMBOX1	316.37	162.14	289.02	339.14	339.14	267.73	277.2	381.68	303.44	248.0	334.46	287.01	353.59	642.59	351.14	547.75	733.19	603.67	848.22	336.79	595.34	616.37	612.11	825.0	476.71	426.57	718.08	656.11	728.11	579.04	638.15	420.68	633.73	575.03	791.35	595.34	500.46	507.46	656.11	571.05	480.04	961.07	221.86	277.2	283.05	555.41	358.54	363.56	339.14	237.86	128.79	84.04	221.86
HUS1B	5.59	2.53	2.63	6.16	0.0	5.68	3.08	8.25	2.29	2.86	1.85	20.56	17.77	5.36	7.63	8.51	37.85	21.16	24.99	1.25	15.56	27.05	29.48	22.92	10.63	6.62	14.14	8.32	19.39	17.0	13.72	5.5	13.52	7.94	22.1	10.08	6.26	13.62	15.68	23.08	10.16	25.17	0.0	1.16	6.67	5.73	0.0	5.23	3.86	0.0	3.56	1.55	0.0
JMJD7-PLA2G4B	40.07	17.77	32.82	26.28	18.43	15.11	46.18	44.25	53.19	63.0	90.77	152.28	144.01	145.02	127.0	201.25	126.12	260.38	231.32	163.28	176.29	239.52	181.28	246.28	120.94	176.29	202.66	228.13	303.44	142.01	187.71	49.91	249.73	244.57	183.82	264.03	177.53	218.79	262.2	92.05	119.26	232.94	25.72	29.06	46.18	85.22	30.34	47.5	67.12	11.21	17.9	5.06	14.56
KRBOX4	346.29	106.63	234.57	212.78	260.38	209.84	256.78	236.21	248.0	291.04	406.31	248.0	281.09	368.65	283.05	301.33	432.53	346.29	503.95	279.14	423.61	327.56	361.04	575.03	281.09	366.09	346.29	483.38	547.75	343.89	384.34	228.13	366.09	559.28	463.65	447.82	295.11	389.72	346.29	356.05	271.48	551.56	108.14	244.57	228.13	348.71	271.48	283.05	279.14	228.13	159.9	182.55	190.34
LRIG2	70.51	56.68	72.52	81.71	95.34	80.57	60.39	107.38	90.14	98.73	112.77	211.31	150.17	151.22	83.45	126.12	148.09	176.29	161.02	118.43	187.71	163.28	232.94	150.17	84.63	149.12	178.77	170.25	140.04	156.59	154.42	90.77	204.07	140.04	154.42	163.28	142.01	154.42	186.4	143.01	115.16	204.07	75.11	99.43	102.25	173.85	115.97	74.06	100.83	81.71	49.21	41.52	77.25
LRRC14	348.71	273.37	307.69	343.89	273.37	289.02	336.79	571.05	480.04	361.04	500.46	825.0	595.34	612.11	567.1	595.34	848.22	769.69	1268.46	612.11	836.53	848.22	1143.1	1397.83	743.43	753.83	878.17	947.83	1159.07	703.28	1044.52	450.94	915.51	796.86	1175.27	854.13	713.11	928.3	1030.12	629.35	775.05	836.53	473.41	450.94	470.14	493.56	486.75	476.71	497.0	197.09	275.28	209.84	226.54
MAPK8IP3	521.76	236.21	178.77	241.19	285.03	297.17	231.32	587.13	642.59	423.61	647.07	1225.22	1066.48	1304.15	679.29	1304.15	1167.14	2645.74	2075.59	1023.0	1674.06	1950.0	1437.15	2032.85	1104.13	1529.73	1977.24	1936.53	2119.22	1407.55	1487.87	447.82	2520.38	1832.01	1745.2	1936.53	1769.57	1963.57	2367.9	825.0	1457.23	2303.12	529.06	182.55	591.22	1225.22	503.95	563.18	656.11	120.94	256.78	87.03	198.47
METTL3	426.57	444.72	387.02	417.77	389.72	316.37	417.77	540.19	723.08	607.87	713.11	1151.06	981.29	934.76	825.0	915.51	1044.52	1583.71	1437.15	866.07	1233.75	1225.22	1233.75	1467.37	1096.5	981.29	1286.18	1477.58	1467.37	947.83	1467.37	642.59	1417.35	1407.55	1322.37	1340.84	1216.75	1304.15	1583.71	759.08	1073.91	1369.04	521.76	497.0	532.74	674.59	629.35	583.07	647.07	303.44	262.2	249.73	336.79
MRRF	356.05	217.27	256.78	309.83	251.48	251.48	289.02	703.28	629.35	713.11	361.04	785.88	647.07	547.75	371.22	543.96	878.17	1044.52	1359.57	417.77	1081.39	808.0	1111.82	1639.59	988.12	629.35	1023.0	1175.27	1242.34	780.44	1059.11	376.41	921.88	1388.16	1127.35	1081.39	1059.11	1191.69	1073.91	796.86	872.1	1417.35	189.02	389.72	642.59	521.76	406.31	295.11	320.8	384.34	208.38	327.56	253.23
MSS51	11.3	10.55	8.85	5.36	20.71	5.77	14.14	20.11	19.25	24.11	38.12	49.21	32.13	53.95	25.91	45.85	116.78	100.83	126.12	58.3	92.05	102.97	107.38	136.19	68.55	46.5	147.06	161.02	107.38	87.03	88.26	21.32	104.42	112.77	155.5	135.24	97.36	132.44	126.12	69.52	64.34	130.6	10.63	11.91	20.56	47.17	19.82	31.22	22.75	4.98	3.2	2.73	7.82
NISCH	988.12	480.04	718.08	708.18	988.12	642.59	836.53	1242.34	1369.04	981.29	1519.15	1551.09	1639.59	2777.33	1832.01	2319.15	2032.85	4010.71	2895.31	2148.82	2520.38	2956.17	2485.67	3146.52	2319.15	2645.74	3146.52	3540.14	3540.14	2255.7	2520.38	1233.75	3443.31	2915.45	2976.74	3349.13	3564.78	2976.74	3614.55	1628.26	2303.12	3491.39	1909.85	1081.39	1259.69	1662.49	1088.92	1407.55	1407.55	612.11	813.63	532.74	684.02
NPIPB11	19.39	9.34	6.21	6.67	8.25	7.94	8.38	20.11	24.63	14.78	17.13	71.0	30.56	41.52	25.91	52.45	47.5	128.79	187.71	33.78	165.57	157.68	81.14	242.88	42.71	78.89	229.72	125.24	104.42	96.01	136.19	17.51	100.13	75.11	119.26	120.1	59.55	206.94	81.14	60.82	64.34	103.69	3.96	5.87	21.32	67.59	25.72	23.59	13.22	9.41	14.89	3.41	7.75
NUPL2	473.41	395.18	420.68	426.57	444.72	327.56	423.61	559.28	497.0	547.75	432.53	878.17	651.58	503.95	486.75	493.56	435.55	698.41	1073.91	575.03	656.11	507.46	651.58	1340.84	435.55	547.75	860.08	759.08	693.58	476.71	723.08	412.0	607.87	808.0	947.83	693.58	521.76	591.22	748.61	551.56	780.44	698.41	363.56	409.15	490.14	595.34	507.46	444.72	409.15	329.84	320.8	336.79	325.29
PAN2	299.25	293.07	236.21	262.2	299.25	212.78	307.69	665.29	629.35	518.15	587.13	1697.45	890.44	1096.5	470.14	1378.57	1369.04	2777.33	2434.5	1216.75	1806.78	2163.77	2104.58	2739.08	1781.89	1561.89	2335.28	3124.78	3103.19	1477.58	1936.53	642.59	2287.2	3665.02	2645.74	2875.3	2255.7	2255.7	2627.46	1135.2	1697.45	2451.44	387.02	483.38	698.41	723.08	511.0	435.55	759.08	212.78	236.21	143.01	236.21
PHLDB1	1208.34	607.87	1135.2	954.43	1081.39	1313.23	1437.15	1617.0	1583.71	1359.57	2075.59	2739.08	2485.67	3372.43	2240.11	3039.3	2997.45	2935.74	3303.0	1757.34	2816.11	2537.92	2609.3	2976.74	2018.8	2335.28	2796.65	3372.43	3690.52	2240.11	2555.58	1896.65	3103.19	2485.67	2682.69	2255.7	1757.34	2004.85	3039.3	2627.46	2468.49	2627.46	291.04	1277.29	1674.06	1508.65	2400.97	1487.87	1540.37	902.89	1369.04	884.29	1119.56
PRPF3	665.29	351.14	417.77	521.76	450.94	373.81	497.0	941.27	825.0	620.67	780.44	1216.75	1127.35	1111.82	854.13	1167.14	1572.76	2271.4	1806.78	878.17	1628.26	1216.75	1295.13	1950.0	1037.29	1268.46	1572.76	1639.59	1819.35	1350.18	1605.83	718.08	1745.2	1697.45	1498.22	1819.35	1437.15	1378.57	1794.29	954.43	1304.15	1709.26	361.04	543.96	660.68	1104.13	612.11	633.73	780.44	301.33	305.55	189.02	262.2
PRSS45	1.71	0.15	0.0	0.0	1.33	0.46	0.0	15.11	2.51	6.46	10.16	3.08	2.36	5.23	4.62	4.35	8.0	17.9	10.24	1.69	6.84	10.31	18.7	15.68	4.39	8.78	11.91	13.12	8.38	4.82	5.32	1.41	19.53	4.24	11.82	8.32	9.93	17.25	17.64	0.79	7.94	18.7	1.04	1.1	3.23	4.21	0.0	1.14	6.78	0.0	1.97	0.23	0.0
PTPDC1	47.17	33.3	75.64	82.87	69.52	79.45	46.84	115.16	100.83	81.71	110.43	208.38	154.42	332.14	182.55	223.41	224.97	186.4	255.0	155.5	277.2	194.36	231.32	249.73	119.26	159.9	185.11	226.54	211.31	264.03	201.25	101.54	242.88	249.73	303.44	244.57	159.9	180.02	217.27	132.44	206.94	242.88	80.01	57.89	105.15	147.06	129.69	165.57	178.77	51.35	125.24	57.08	135.24
