	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.EJ.5519.01A.01R.1580.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7781.11A.01R.2118.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.EJ.7315.11A.01R.2118.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.12BJ1.1226.SM.5LUAE
ARMCX2	884.29	698.41	587.13	1001.93	571.05	665.29	521.76	934.76	995.0	521.76	251.48	819.3	1175.27	305.55	909.17	638.15	1388.16	1037.29	780.44	854.13	902.89	567.1	660.68	1008.9	285.03	775.05	775.05	967.76	1081.39	1208.34	1008.9	36.01	529.06	967.76	669.92	1066.48	339.14	371.22	1059.11	273.37	1242.34	890.44	587.13	1208.34	1104.13	1127.35	1143.1	708.18	1369.04	642.59	872.1	1427.22	500.46	1015.93	1143.1	599.49	909.17	1216.75	928.3	435.55	1508.65	688.78	884.29	854.13	909.17	1233.75	1044.52	1088.92	1081.39	1037.29	1167.14	1081.39	1119.56	921.88	1096.5	1111.82	1111.82	1313.23	1594.73
ARNT	525.39	249.73	183.82	384.34	579.04	215.77	271.48	277.2	271.48	486.75	287.01	325.29	514.56	305.55	332.14	409.15	371.22	341.51	244.57	332.14	301.33	218.79	221.86	246.28	339.14	256.78	234.57	376.41	299.25	381.68	379.04	124.37	161.02	343.89	218.79	466.88	269.6	373.81	262.2	301.33	463.65	339.14	397.93	346.29	236.21	316.37	426.57	277.2	470.14	406.31	551.56	316.37	157.68	297.17	426.57	301.33	540.19	571.05	269.6	403.5	291.04	199.85	301.33	242.88	273.37	642.59	656.11	473.41	543.96	358.54	743.43	343.89	414.87	529.06	743.43	287.01	435.55	514.56	708.18
ASH1L	454.09	251.48	106.63	273.37	638.15	175.07	120.94	237.86	244.57	463.65	201.25	277.2	547.75	212.78	318.57	409.15	297.17	251.48	189.02	307.69	260.38	164.42	139.07	209.84	289.02	241.19	201.25	336.79	190.34	309.83	320.8	120.1	110.43	299.25	140.04	521.76	132.44	236.21	177.53	224.97	371.22	215.77	361.04	363.56	198.47	295.11	457.25	234.57	392.44	287.01	642.59	343.89	136.19	291.04	454.09	178.77	441.64	532.74	202.66	301.33	223.41	142.01	253.23	191.67	198.47	559.28	507.46	447.82	444.72	358.54	642.59	361.04	371.22	497.0	521.76	175.07	358.54	417.77	974.5
AUTS2	493.56	159.9	108.14	169.07	532.74	151.22	104.42	142.01	161.02	178.77	281.09	293.07	251.48	236.21	283.05	316.37	389.72	177.53	373.81	181.28	283.05	127.89	191.67	246.28	234.57	305.55	190.34	764.36	224.97	198.47	249.73	60.39	206.94	397.93	108.9	273.37	137.14	239.52	183.82	218.79	521.76	221.86	301.33	201.25	205.5	366.09	204.07	175.07	387.02	256.78	307.69	185.11	150.17	123.5	293.07	92.7	312.0	363.56	164.42	297.17	283.05	141.02	260.38	206.94	94.01	915.51	547.75	525.39	647.07	341.51	483.38	299.25	332.14	476.71	723.08	212.78	358.54	412.0	733.19
BCL7A	214.27	110.43	97.36	162.14	379.04	102.97	156.59	113.56	126.12	157.68	87.65	143.01	152.28	99.43	191.67	177.53	218.79	127.0	154.42	182.55	153.34	57.49	182.55	146.03	99.43	158.79	86.43	239.52	153.34	123.5	180.02	87.65	88.88	153.34	64.34	197.09	133.36	183.82	151.22	125.24	148.09	107.38	164.42	183.82	104.42	215.77	197.09	126.12	153.34	130.6	199.85	130.6	88.26	147.06	169.07	136.19	251.48	275.28	165.57	183.82	145.02	102.25	153.34	82.29	133.36	299.25	190.34	212.78	258.57	176.29	209.84	142.01	158.79	218.79	239.52	144.01	181.28	157.68	305.55
BCORL1	137.14	104.42	43.63	104.42	194.36	59.13	52.08	92.05	84.04	112.77	73.54	118.43	150.17	116.78	125.24	146.03	96.68	127.0	105.15	72.01	148.09	59.13	43.02	108.14	139.07	94.01	64.34	140.04	126.12	103.69	111.99	105.89	72.01	129.69	43.02	172.65	81.71	127.89	90.14	84.04	150.17	52.08	104.42	82.87	96.01	97.36	199.85	76.71	143.01	132.44	158.79	120.1	91.41	92.7	108.9	163.28	112.77	130.6	83.45	135.24	107.38	82.87	132.44	81.14	90.77	182.55	176.29	157.68	163.28	102.97	165.57	107.38	127.0	166.73	202.66	94.01	122.64	182.55	248.0
BEND7	154.42	63.89	115.97	100.13	297.17	10.16	83.45	58.71	71.5	260.38	60.82	61.25	132.44	90.77	45.21	141.02	127.0	193.01	41.52	23.93	72.52	57.49	12.93	40.64	37.05	86.43	24.11	84.04	42.41	46.18	90.77	107.38	45.85	82.87	46.84	105.15	143.01	165.57	130.6	62.12	212.78	90.77	71.0	111.21	61.68	56.28	176.29	39.79	142.01	41.52	204.07	53.19	114.36	29.7	117.6	127.0	170.25	68.07	130.6	173.85	177.53	22.43	77.79	90.14	72.52	283.05	199.85	119.26	141.02	97.36	159.9	101.54	85.82	166.73	217.27	111.99	102.97	125.24	579.04
BICD2	214.27	127.0	99.43	185.11	318.57	43.63	85.22	152.28	129.69	194.36	141.02	193.01	283.05	154.42	215.77	246.28	205.5	155.5	88.88	84.04	246.28	98.04	80.01	171.45	202.66	73.54	94.67	277.2	149.12	129.69	142.01	78.34	123.5	217.27	96.01	256.78	96.01	173.85	145.02	121.79	237.86	195.72	194.36	173.85	108.14	204.07	223.41	113.56	264.03	279.14	332.14	154.42	110.43	134.3	195.72	147.06	258.57	199.85	155.5	206.94	130.6	165.57	142.01	198.47	149.12	406.31	444.72	281.09	351.14	236.21	447.82	229.72	279.14	381.68	392.44	172.65	303.44	316.37	521.76
BTBD9	211.31	119.26	100.83	161.02	348.71	100.13	149.12	127.89	91.41	265.87	119.26	129.69	289.02	122.64	187.71	157.68	158.79	133.36	139.07	151.22	109.66	94.01	78.89	171.45	205.5	105.15	103.69	242.88	163.28	135.24	208.38	70.51	96.01	156.59	76.71	246.28	124.37	164.42	133.36	87.03	262.2	100.83	223.41	148.09	150.17	159.9	248.0	151.22	189.02	195.72	251.48	163.28	102.97	135.24	260.38	135.24	277.2	199.85	128.79	147.06	180.02	88.26	136.19	125.24	117.6	215.77	191.67	158.79	208.38	110.43	220.32	142.01	218.79	228.13	205.5	108.14	150.17	155.5	180.02
C18orf54	13.93	5.5	4.58	9.56	20.71	11.38	4.5	11.04	5.11	23.42	11.3	6.46	12.93	9.56	7.0	11.3	11.64	13.03	12.09	3.5	10.47	4.7	5.45	5.19	5.36	5.5	10.39	12.45	6.46	8.45	11.91	1.95	6.06	7.22	6.11	23.42	3.47	10.16	11.38	6.62	12.64	10.88	14.78	8.65	6.26	6.41	9.93	5.28	14.78	5.73	15.11	5.87	4.17	6.46	19.68	7.82	19.53	25.72	5.77	11.04	11.64	7.82	11.73	5.82	4.28	28.65	15.11	16.15	16.88	12.27	32.36	10.55	11.04	17.38	28.24	8.85	15.22	20.71	18.97
C1orf74	70.01	64.34	49.56	84.63	119.26	54.72	52.08	96.68	54.33	256.78	63.45	110.43	120.94	43.02	55.89	135.24	82.29	25.91	50.27	99.43	94.67	60.39	18.43	79.45	47.84	68.55	58.71	70.51	94.67	64.34	106.63	62.12	71.5	69.52	64.34	94.67	54.33	82.87	60.39	59.97	77.25	102.97	111.21	95.34	62.12	77.25	77.79	71.5	165.57	61.25	91.41	66.65	43.94	72.01	100.83	55.49	120.94	40.07	47.17	73.54	84.63	64.8	67.12	69.52	70.01	94.01	64.34	102.25	106.63	81.71	97.36	143.01	98.04	119.26	96.68	109.66	73.54	82.29	85.22
C20orf112	199.85	85.22	96.01	180.02	218.79	72.01	82.29	134.3	126.12	170.25	115.97	161.02	178.77	134.3	143.01	186.4	143.01	190.34	151.22	87.03	166.73	98.04	49.56	127.0	155.5	117.6	75.11	147.06	132.44	156.59	127.89	102.97	109.66	187.71	100.13	191.67	90.77	171.45	163.28	89.51	226.54	128.79	194.36	138.1	109.66	172.65	169.07	114.36	208.38	169.07	186.4	113.56	113.56	112.77	144.01	121.79	187.71	129.69	111.21	190.34	187.71	111.21	177.53	121.79	88.26	309.83	258.57	206.94	190.34	145.02	241.19	173.85	161.02	231.32	314.17	115.97	211.31	226.54	249.73
C4orf19	10.88	31.22	10.88	34.75	167.9	5.82	1.17	53.57	36.01	172.65	27.05	24.81	47.84	16.63	22.59	15.68	28.86	0.0	2.68	0.0	40.36	46.18	0.0	11.73	2.71	2.48	1.3	66.18	6.26	0.37	24.63	0.59	10.96	23.59	0.0	22.75	13.83	11.38	5.82	14.14	18.29	23.08	8.45	27.84	3.41	15.8	31.9	4.31	24.99	10.39	62.12	34.51	14.67	0.96	105.15	8.51	94.01	16.39	7.06	30.12	3.82	0.68	15.22	53.95	38.67	108.14	78.89	72.52	73.54	60.39	45.53	42.71	31.22	91.41	80.57	92.05	55.49	38.95	193.01
C6orf106	1015.93	796.86	708.18	872.1	1081.39	860.08	808.0	854.13	915.51	878.17	679.29	902.89	1023.0	1051.79	988.12	934.76	866.07	842.36	1037.29	884.29	1135.2	813.63	753.83	890.44	981.29	854.13	733.19	1015.93	872.1	967.76	1059.11	647.07	866.07	981.29	616.37	866.07	974.5	921.88	759.08	813.63	896.64	981.29	1059.11	1023.0	921.88	743.43	1233.75	1015.93	961.07	860.08	1044.52	830.75	878.17	738.29	884.29	693.58	1191.69	1104.13	728.11	928.3	981.29	872.1	921.88	902.89	718.08	1073.91	1096.5	1037.29	1073.91	934.76	1225.22	1001.93	974.5	1111.82	1037.29	974.5	1008.9	1104.13	1242.34
C7orf25	104.42	98.04	27.44	147.06	105.15	63.0	54.72	115.16	100.13	69.52	72.52	90.77	99.43	88.88	74.06	87.03	112.77	96.01	47.5	64.34	61.68	50.98	37.59	36.01	105.89	59.13	49.91	85.22	63.0	44.89	56.68	19.53	41.81	66.65	42.41	88.88	44.89	77.25	105.15	50.98	131.51	61.25	59.55	97.36	43.32	84.04	90.14	40.93	120.1	59.13	79.45	116.78	27.05	87.65	104.42	47.84	74.58	112.77	55.1	66.18	54.33	62.56	32.59	62.56	56.28	111.99	134.3	80.57	111.99	66.18	115.97	89.51	118.43	134.3	96.01	60.39	90.77	131.51	130.6
CABYR	13.52	18.16	13.93	32.82	36.79	4.28	3.59	20.11	24.99	25.17	10.24	21.94	30.78	19.97	15.0	20.41	23.42	14.78	17.38	4.24	31.9	15.91	3.0	10.31	15.0	5.36	12.74	23.93	9.85	18.84	11.64	4.58	19.68	37.85	16.88	29.27	5.73	24.81	34.02	17.13	14.03	25.35	20.71	20.71	12.18	27.64	25.54	4.21	36.53	32.13	29.48	16.03	13.12	7.57	18.97	7.69	30.56	49.56	21.16	15.11	10.63	15.56	10.55	8.0	7.82	34.26	75.64	36.27	43.63	22.1	77.25	26.1	39.22	54.72	83.45	23.25	49.91	40.07	49.21
CBX5	521.76	249.73	244.57	277.2	532.74	229.72	334.46	332.14	205.5	412.0	206.94	305.55	493.56	358.54	241.19	307.69	368.65	327.56	234.57	409.15	409.15	189.02	211.31	358.54	297.17	289.02	256.78	454.09	327.56	363.56	521.76	260.38	177.53	256.78	191.67	490.14	256.78	332.14	239.52	251.48	420.68	242.88	392.44	361.04	279.14	269.6	493.56	318.57	406.31	262.2	571.05	318.57	285.03	303.44	514.56	264.03	480.04	397.93	334.46	312.0	361.04	237.86	269.6	224.97	215.77	480.04	454.09	493.56	447.82	381.68	543.96	409.15	457.25	454.09	563.18	307.69	309.83	426.57	540.19
CBX6	447.82	220.32	262.2	420.68	638.15	159.9	265.87	403.5	231.32	423.61	334.46	497.0	536.45	392.44	616.37	470.14	420.68	336.79	275.28	176.29	500.46	178.77	206.94	373.81	571.05	226.54	256.78	599.49	190.34	507.46	559.28	246.28	336.79	387.02	183.82	587.13	249.73	497.0	518.15	249.73	543.96	248.0	575.03	346.29	376.41	438.59	426.57	285.03	693.58	166.73	808.0	356.05	285.03	332.14	612.11	607.87	748.61	995.0	246.28	327.56	334.46	327.56	218.79	379.04	454.09	848.22	1143.1	563.18	579.04	412.0	1561.89	563.18	571.05	988.12	928.3	371.22	536.45	708.18	1044.52
CCPG1	2255.7	1268.46	941.27	1769.57	995.0	1457.23	1208.34	1417.35	1340.84	2335.28	1216.75	1023.0	1857.6	909.17	1519.15	1487.87	1378.57	1225.22	974.5	1104.13	981.29	1119.56	848.22	961.07	1286.18	1331.57	1594.73	1059.11	1369.04	1909.85	1417.35	555.41	775.05	1066.48	1277.29	1529.73	947.83	1066.48	890.44	890.44	2209.26	988.12	1295.13	1583.71	1216.75	896.64	1295.13	1199.98	1467.37	860.08	1519.15	1487.87	947.83	1331.57	2434.5	988.12	1540.37	1457.23	656.11	813.63	1551.09	878.17	775.05	1250.98	1111.82	1208.34	1498.22	1250.98	1369.04	1111.82	1359.57	1159.07	1639.59	1350.18	1427.22	1081.39	1477.58	1457.23	2271.4
CD302	679.29	387.02	371.22	656.11	620.67	490.14	381.68	529.06	371.22	1369.04	473.41	231.32	743.43	353.59	555.41	441.64	423.61	406.31	309.83	435.55	325.29	343.89	387.02	384.34	559.28	500.46	412.0	327.56	624.99	629.35	656.11	211.31	312.0	312.0	255.0	688.78	463.65	316.37	244.57	334.46	497.0	507.46	674.59	540.19	389.72	314.17	356.05	297.17	547.75	281.09	988.12	591.22	170.25	307.69	1111.82	351.14	941.27	251.48	194.36	334.46	486.75	249.73	118.43	332.14	376.41	728.11	836.53	426.57	547.75	248.0	587.13	312.0	503.95	563.18	842.36	384.34	490.14	669.92	713.11
CDC42BPA	447.82	267.73	334.46	381.68	583.07	70.01	271.48	301.33	226.54	379.04	260.38	309.83	429.54	366.09	423.61	417.77	490.14	348.71	265.87	78.89	414.87	191.67	198.47	325.29	265.87	242.88	165.57	629.35	277.2	346.29	356.05	124.37	244.57	336.79	283.05	473.41	197.09	343.89	432.53	301.33	312.0	241.19	387.02	392.44	325.29	209.84	525.39	267.73	435.55	500.46	480.04	361.04	305.55	293.07	376.41	323.03	555.41	400.71	351.14	277.2	224.97	191.67	435.55	202.66	255.0	620.67	669.92	521.76	493.56	432.53	854.13	387.02	429.54	647.07	567.1	262.2	529.06	555.41	753.83
