	TCGA.E9.A245.01A.22R.A16F.07	TCGA.A8.A091.01A.11R.A00Z.07	TCGA.D8.A1XB.01A.11R.A14D.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.AN.A041.01A.11R.A034.07	TCGA.BH.A0HO.01A.11R.A034.07	TCGA.D8.A1XG.01A.11R.A14D.07	GTEX.13FTY.2226.SM.5J1ND	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07
GPALPP1	332.14	651.58	432.53	212.78	529.06	271.48	454.09	336.79	124.37	78.89	158.79	127.0
HIST1H2BF	59.97	228.13	61.25	43.63	236.21	14.78	52.08	37.59	1.46	1.38	0.0	1.55
HIST1H4E	50.27	109.66	135.24	16.75	204.07	5.06	54.72	27.64	3.59	2.66	1.1	2.97
KBTBD6	167.9	271.48	212.78	164.42	248.0	165.57	223.41	172.65	33.78	22.92	55.49	41.81
KBTBD7	140.04	287.01	232.94	136.19	291.04	177.53	208.38	130.6	40.07	39.22	75.64	59.97
KCNA5	4.62	6.57	6.57	0.0	10.47	1.81	3.59	7.11	5.28	0.58	2.12	3.41
KIAA1430	339.14	941.27	928.3	420.68	842.36	656.11	441.64	493.56	120.94	63.89	187.71	144.01
KLHL28	68.55	236.21	156.59	54.72	255.0	108.9	154.42	194.36	44.89	22.43	51.35	43.32
LIG3	575.03	775.05	769.69	466.88	954.43	764.36	743.43	642.59	100.13	132.44	181.28	120.94
LIN52	152.28	232.94	118.43	105.15	236.21	142.01	153.34	132.44	72.01	96.01	108.14	98.04
LRCH1	122.64	363.56	289.02	72.01	343.89	155.5	193.01	316.37	134.3	78.34	97.36	82.87
LSM11	43.94	65.72	92.05	24.81	68.55	33.78	63.89	39.22	14.03	12.0	23.76	10.16
LUC7L2	547.75	981.29	503.95	323.03	713.11	387.02	579.04	688.78	100.83	108.9	127.0	221.86
MCU	170.25	264.03	334.46	144.01	379.04	152.28	190.34	264.03	171.45	112.77	150.17	149.12
MEF2A	323.03	665.29	567.1	256.78	612.11	518.15	555.41	684.02	215.77	110.43	271.48	221.86
MFAP1	769.69	947.83	934.76	599.49	909.17	693.58	819.3	890.44	231.32	170.25	353.59	265.87
MIER1	271.48	476.71	567.1	239.52	486.75	417.77	329.84	379.04	275.28	81.71	214.27	224.97
MKRN1	1950.0	3060.45	2004.85	1551.09	2335.28	1721.16	1950.0	2502.97	543.96	483.38	830.75	633.73
MSS51	14.35	27.25	17.64	4.24	37.05	13.93	10.55	25.17	10.08	2.92	4.94	2.39
MTRF1	144.01	180.02	177.53	111.99	256.78	105.15	136.19	221.86	134.3	67.12	90.77	108.14
MXRA8	1199.98	5329.3	6079.61	248.0	9088.59	713.11	1733.13	3690.52	226.54	260.38	476.71	208.38
NAA16	129.69	232.94	314.17	97.36	265.87	98.04	236.21	229.72	78.34	21.94	94.01	89.51
NCOA3	167.9	836.53	417.77	112.77	423.61	163.28	248.0	258.57	82.87	74.06	101.54	81.71
NFYB	633.73	708.18	819.3	454.09	748.61	511.0	612.11	698.41	426.57	320.8	397.93	412.0
NHS	14.67	85.22	71.0	1.79	57.08	12.83	33.3	59.97	1.27	0.68	1.01	0.77
NME6	363.56	764.36	669.92	295.11	500.46	429.54	555.41	493.56	234.57	154.42	316.37	178.77
NPIPA5	241.19	366.09	214.27	128.79	409.15	42.11	244.57	208.38	69.03	23.08	120.94	52.08
NPIPB4	559.28	1304.15	684.02	74.06	921.88	366.09	642.59	1143.1	279.14	38.95	232.94	102.25
NPIPB5	934.76	2555.58	1199.98	69.03	2032.85	540.19	967.76	3018.3	343.89	41.52	279.14	135.24
PARN	718.08	1127.35	981.29	629.35	1015.93	748.61	854.13	1088.92	329.84	260.38	303.44	299.25
PDP1	90.14	483.38	571.05	48.87	429.54	242.88	172.65	275.28	46.84	17.64	51.71	21.47
PEA15	3280.18	10585.95	4181.07	2367.9	7433.4	6745.86	7180.15	3039.3	723.08	575.03	1023.0	567.1
PHC3	164.42	753.83	336.79	96.68	642.59	420.68	543.96	612.11	57.49	32.82	76.71	44.89
PIANP	13.03	57.49	12.64	0.0	35.5	1.81	8.92	52.08	0.0	0.0	1.55	0.0
PKD2	165.57	454.09	325.29	96.68	361.04	267.73	256.78	275.28	85.82	49.91	107.38	54.33
PLAGL2	122.64	176.29	198.47	60.82	208.38	100.83	176.29	199.85	41.22	38.4	40.64	40.07
POLG2	180.02	211.31	249.73	120.94	450.94	147.06	236.21	379.04	82.87	65.26	143.01	77.25
PTGES3L	18.16	58.71	14.03	6.52	94.67	8.0	53.57	41.81	1.5	0.0	2.14	0.92
PTPN12	665.29	1806.78	1295.13	395.18	1628.26	703.28	1119.56	1104.13	334.46	105.15	323.03	262.2
PUM2	854.13	1583.71	1175.27	633.73	1781.89	1111.82	1242.34	1331.57	358.54	291.04	497.0	444.72
QTRTD1	202.66	414.87	376.41	152.28	447.82	244.57	387.02	309.83	80.57	52.82	117.6	75.11
RBBP6	551.56	1407.55	1015.93	366.09	842.36	397.93	825.0	872.1	309.83	133.36	395.18	291.04
RBM12B	144.01	507.46	320.8	67.59	373.81	161.02	332.14	258.57	28.65	17.25	52.82	17.13
RBM12B-AS1	15.91	74.06	47.5	0.0	56.28	12.93	35.76	31.9	0.0	0.0	6.01	0.0
RBM26	486.75	743.43	679.29	334.46	921.88	507.46	802.41	748.61	163.28	31.9	220.32	171.45
REM1	8.51	29.48	16.03	1.81	37.05	23.42	16.63	30.34	3.72	8.19	18.97	5.15
RIT1	320.8	733.19	651.58	265.87	733.19	429.54	591.22	518.15	125.24	90.77	143.01	120.94
RNF111	224.97	373.81	285.03	150.17	457.25	273.37	381.68	473.41	121.79	131.51	152.28	123.5
RNF144A	53.57	178.77	368.65	17.13	205.5	65.26	70.01	153.34	8.85	13.83	24.11	13.03
RP11-1055B8.7	134.3	447.82	215.77	44.57	289.02	94.67	275.28	172.65	29.7	19.97	42.71	21.94
RP11-347C12.1	63.45	181.28	30.12	22.75	108.9	52.45	73.54	164.42	28.45	8.38	10.16	20.71
RYBP	234.57	457.25	521.76	228.13	366.09	258.57	271.48	387.02	126.12	158.79	130.6	148.09
SALL4	9.41	84.63	70.01	0.74	78.89	8.13	28.45	4.94	4.62	4.31	16.51	3.47
SCD5	37.32	189.02	115.16	28.65	256.78	45.21	78.89	141.02	38.4	23.93	26.67	26.67
SLC25A36	409.15	1457.23	1001.93	417.77	1359.57	536.45	842.36	1447.15	47.5	8.71	46.5	24.28
SLC25A53	86.43	208.38	90.14	68.55	111.21	64.34	117.6	120.94	63.45	64.34	53.57	50.63
SMAD7	507.46	748.61	603.67	154.42	915.51	341.51	591.22	651.58	236.21	104.42	221.86	208.38
SMG1	190.34	1008.9	651.58	90.14	476.71	236.21	486.75	579.04	81.14	33.78	187.71	70.01
SPRY4	198.47	579.04	295.11	52.82	384.34	232.94	470.14	190.34	141.02	63.0	115.97	173.85
SPTB	20.26	39.79	9.48	5.59	24.11	9.41	24.63	20.26	6.06	3.76	6.84	5.63
SRCAP	563.18	1529.73	1268.46	373.81	921.88	591.22	1015.93	1143.1	149.12	145.02	228.13	120.94
STAT5A	642.59	476.71	493.56	127.0	872.1	476.71	356.05	679.29	122.64	123.5	197.09	112.77
STK35	334.46	423.61	373.81	249.73	460.44	205.5	339.14	314.17	67.59	92.7	66.65	63.0
SUPT16H	1331.57	1857.6	1477.58	1250.98	1733.13	1295.13	1397.83	1457.23	454.09	323.03	713.11	366.09
TARDBP	2193.99	2573.36	2739.08	1467.37	2627.46	2032.85	2104.58	2367.9	1551.09	1277.29	1757.34	1572.76
THUMPD1	384.34	1259.69	1159.07	273.37	915.51	435.55	629.35	974.5	187.71	101.54	273.37	158.79
TMCO3	1498.22	3124.78	1572.76	684.02	3103.19	1844.76	2178.83	988.12	134.3	135.24	264.03	409.15
TMEM132A	753.83	2287.2	1233.75	198.47	2468.49	379.04	214.27	1208.34	16.75	25.54	58.3	36.79
TMEM184C	299.25	616.37	547.75	285.03	457.25	353.59	291.04	312.0	151.22	116.78	218.79	166.73
TMEM65	149.12	176.29	140.04	40.93	239.52	127.0	92.7	166.73	40.07	24.46	56.68	33.78
TMEM68	323.03	1268.46	381.68	297.17	1001.93	376.41	587.13	624.99	154.42	111.99	199.85	114.36
TNRC18	607.87	1733.13	1225.22	381.68	1769.57	791.35	1709.26	1457.23	208.38	275.28	293.07	173.85
TOM1L1	1104.13	2384.37	1733.13	1350.18	2758.13	2018.8	1397.83	1870.53	743.43	708.18	1059.11	808.0
TRAK2	373.81	571.05	514.56	224.97	884.29	607.87	283.05	353.59	113.56	72.01	157.68	109.66
TRIQK	384.34	974.5	909.17	346.29	941.27	518.15	603.67	753.83	237.86	157.68	214.27	348.71
TTC30B	162.14	169.07	223.41	157.68	185.11	148.09	139.07	169.07	19.11	17.25	26.47	17.77
TTC5	251.48	473.41	277.2	185.11	314.17	253.23	262.2	295.11	73.03	90.77	104.42	67.12
UBXN2B	336.79	813.63	665.29	228.13	624.99	325.29	490.14	423.61	121.79	102.25	242.88	178.77
USP38	163.28	366.09	336.79	197.09	341.51	236.21	195.72	164.42	173.85	105.15	144.01	158.79
USPL1	171.45	275.28	318.57	101.54	297.17	135.24	258.57	208.38	94.67	43.94	134.3	95.34
VPS36	473.41	915.51	633.73	420.68	872.1	555.41	808.0	802.41	277.2	180.02	381.68	283.05
WBP1L	764.36	1159.07	1104.13	551.56	1015.93	848.22	743.43	518.15	420.68	307.69	412.0	518.15
WDR82	961.07	1259.69	1143.1	616.37	1286.18	866.07	1059.11	954.43	384.34	299.25	473.41	303.44
ZBED4	171.45	297.17	206.94	104.42	249.73	172.65	228.13	98.04	40.07	31.45	52.45	35.0
ZBTB37	39.79	133.36	96.01	21.01	191.67	51.71	132.44	136.19	15.91	13.72	20.71	15.0
ZC3H13	476.71	1088.92	738.29	253.23	1088.92	438.59	743.43	555.41	267.73	74.58	341.51	397.93
ZFP64	237.86	764.36	323.03	202.66	497.0	264.03	336.79	320.8	64.8	95.34	119.26	80.57
ZFP69B	34.02	50.63	85.22	11.47	65.72	38.67	33.3	41.52	8.51	6.94	8.19	7.4
ZNF212	170.25	253.23	237.86	148.09	281.09	136.19	251.48	248.0	113.56	95.34	143.01	94.01
ZNF267	92.05	221.86	242.88	73.03	287.01	144.01	208.38	214.27	63.89	11.21	57.89	31.22
ZNF280C	18.7	45.53	49.91	9.85	50.98	28.86	37.59	36.53	10.24	4.5	13.42	7.0
ZNF324B	88.26	126.12	111.21	60.39	118.43	86.43	72.01	103.69	27.44	30.12	37.32	26.1
ZNF430	88.26	221.86	161.02	46.84	295.11	80.01	177.53	176.29	16.39	1.2	18.43	10.31
ZNF431	152.28	363.56	275.28	81.14	543.96	103.69	211.31	343.89	13.22	5.15	35.25	9.63
ZNF701	73.03	171.45	149.12	49.56	182.55	82.29	161.02	198.47	8.65	3.82	14.78	9.7
