	GTEX.QDVN.0826.SM.48TZ2	GTEX.RM2N.1926.SM.48FCU	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZAB5.0426.SM.5CVMI	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.12KS4.1326.SM.5LUB3	GTEX.Q734.0326.SM.48U15	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPIC.0926.SM.4IHLV	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.139TT.0726.SM.5K7XW	GTEX.148VI.0226.SM.5RQKA	GTEX.WHSB.0326.SM.5FQSD	GTEX.13O3O.0726.SM.5J1N7	GTEX.12584.1426.SM.5EGJ9	GTEX.13FTZ.0526.SM.5IJCW	GTEX.X5EB.0426.SM.46MVY	GTEX.13N11.0326.SM.5LUA3	GTEX.ZYY3.0926.SM.5E454	GTEX.OOBJ.0526.SM.48TDK	GTEX.OXRN.0526.SM.2I5EN	GTEX.P4QR.1026.SM.2I5GP	GTEX.147F4.0926.SM.5Q5EO	GTEX.V1D1.0826.SM.3P5ZA	GTEX.ZG7Y.1026.SM.4WWDG	GTEX.YB5E.0726.SM.4VDSH	GTEX.X3Y1.0626.SM.3P5YS	GTEX.S33H.0626.SM.2XCBJ	GTEX.O5YV.0526.SM.2I5GE	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13PVQ.0926.SM.5IJFD	GTEX.N7MT.0126.SM.2D7VT	GTEX.11GSP.0726.SM.5986L	GTEX.139T6.0426.SM.5IJEM	GTEX.12696.1026.SM.5FQUV	GTEX.QDT8.0926.SM.32PL2	GTEX.U3ZH.0526.SM.3DB75	GTEX.ZYW4.1526.SM.5SIBA	GTEX.117YW.0526.SM.5H11C	GTEX.PX3G.0526.SM.2I3EM	GTEX.13FLV.0426.SM.5KLZA	GTEX.PLZ4.0726.SM.2TC6Q	GTEX.13QJ3.1026.SM.5QGQU	GTEX.OXRP.0526.SM.2I3EW	GTEX.Q734.0626.SM.2I3EF	GTEX.N7MS.0926.SM.2HMIZ	GTEX.UPIC.0826.SM.3GADQ	GTEX.XPVG.1026.SM.4B64Y	GTEX.SN8G.0926.SM.4DM5I	GTEX.1212Z.1026.SM.5EGJ8	GTEX.145MO.1326.SM.5Q5EF	GTEX.111VG.0726.SM.5GIDC	GTEX.11O72.1326.SM.5BC5A	GTEX.12KS4.0726.SM.5FQSX	GTEX.WK11.0526.SM.3NB3O	GTEX.SIU8.0926.SM.5SI87	GTEX.RTLS.0926.SM.2TF5X	GTEX.WYBS.1126.SM.3NMAM	GTEX.ZYVF.1726.SM.5E443	GTEX.OXRL.0526.SM.2I3EZ	GTEX.OIZG.0526.SM.2HMLF	GTEX.QMR6.1926.SM.32PL9	GTEX.13FHO.1026.SM.5KM1Q	GTEX.11OF3.1126.SM.5986C	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.11NUK.2426.SM.5BC4U	TCGA.AX.A2HD.11A.11R.A32Y.07	TCGA.FL.A1YV.11A.12R.A32Y.07	GTEX.RWS6.1326.SM.47JXB
CCDC101	232.94	423.61	486.75	555.41	234.57	612.11	616.37	543.96	400.71	490.14	684.02	567.1	379.04	312.0	708.18	656.11	346.29	305.55	764.36	674.59	536.45	318.57	860.08	309.83	529.06	211.31	764.36	775.05	854.13	934.76	521.76	529.06	403.5	368.65	607.87	341.51	500.46	743.43	642.59	866.07	409.15	432.53	753.83	334.46	334.46	583.07	651.58	583.07	346.29	708.18	669.92	532.74	348.71	249.73	366.09	318.57	417.77	693.58	287.01	607.87	316.37	591.22	896.64	909.17	379.04	518.15	318.57	289.02	109.66	1277.29	2224.63	1477.58
CCDC22	295.11	211.31	139.07	215.77	140.04	285.03	177.53	201.25	279.14	253.23	289.02	287.01	177.53	180.02	432.53	412.0	162.14	209.84	368.65	563.18	555.41	181.28	466.88	320.8	287.01	93.35	629.35	348.71	603.67	507.46	397.93	343.89	379.04	262.2	301.33	275.28	371.22	559.28	358.54	529.06	318.57	318.57	688.78	214.27	397.93	348.71	420.68	450.94	236.21	493.56	387.02	320.8	287.01	204.07	244.57	339.14	297.17	728.11	339.14	412.0	314.17	426.57	454.09	429.54	420.68	429.54	118.43	224.97	142.01	529.06	483.38	620.67
CCDC71	579.04	264.03	299.25	244.57	190.34	242.88	229.72	204.07	267.73	246.28	255.0	327.56	208.38	198.47	563.18	587.13	256.78	159.9	387.02	514.56	403.5	264.03	567.1	220.32	264.03	199.85	583.07	480.04	500.46	543.96	521.76	441.64	353.59	239.52	426.57	351.14	480.04	525.39	314.17	470.14	353.59	204.07	612.11	348.71	426.57	417.77	343.89	438.59	264.03	543.96	551.56	269.6	267.73	285.03	197.09	267.73	384.34	525.39	170.25	392.44	291.04	249.73	563.18	493.56	329.84	346.29	130.6	244.57	90.77	723.08	825.0	1008.9
CDPF1	119.26	63.45	29.48	88.88	73.54	88.26	70.01	169.07	116.78	69.03	175.07	96.01	56.28	62.56	234.57	199.85	48.87	47.5	215.77	202.66	195.72	134.3	303.44	136.19	147.06	53.95	373.81	202.66	309.83	341.51	246.28	186.4	236.21	148.09	170.25	94.67	265.87	242.88	173.85	271.48	226.54	138.1	417.77	68.55	164.42	232.94	175.07	178.77	97.36	325.29	193.01	142.01	162.14	177.53	88.88	103.69	131.51	339.14	149.12	194.36	189.02	312.0	187.71	165.57	172.65	301.33	54.33	100.83	50.27	381.68	511.0	738.29
CHADL	16.39	35.5	14.14	72.01	8.65	13.83	17.0	58.71	22.59	36.27	87.65	21.01	38.95	44.25	156.59	201.25	40.07	79.45	90.77	206.94	94.01	98.04	273.37	11.73	14.67	28.04	171.45	71.5	149.12	212.78	95.34	70.51	122.64	29.27	88.88	118.43	100.13	118.43	43.02	209.84	33.54	77.25	145.02	68.55	51.71	195.72	26.67	108.14	63.45	151.22	152.28	82.87	34.75	29.27	152.28	134.3	36.01	651.58	60.39	153.34	73.03	61.68	153.34	166.73	86.43	85.22	114.36	71.5	9.7	124.37	92.7	101.54
CNPPD1	1015.93	395.18	457.25	941.27	559.28	961.07	521.76	435.55	1340.84	915.51	961.07	728.11	493.56	563.18	2367.9	2193.99	450.94	693.58	1073.91	1745.2	1617.0	934.76	2193.99	872.1	1313.23	466.88	1883.54	1806.78	2351.53	2133.97	1159.07	1427.22	1457.23	941.27	1757.34	1167.14	2351.53	2451.44	1359.57	1639.59	1639.59	595.34	2451.44	866.07	1561.89	1268.46	1277.29	1745.2	866.07	2075.59	1896.65	928.3	748.61	866.07	514.56	599.49	1208.34	1447.15	688.78	1572.76	1023.0	1073.91	2682.69	2018.8	1417.35	1697.45	454.09	872.1	764.36	1447.15	1268.46	954.43
COG8	323.03	325.29	343.89	323.03	177.53	228.13	246.28	218.79	343.89	303.44	336.79	318.57	255.0	119.26	256.78	329.84	106.63	90.77	239.52	351.14	348.71	146.03	366.09	189.02	232.94	77.25	361.04	327.56	273.37	339.14	312.0	303.44	246.28	175.07	323.03	143.01	336.79	283.05	172.65	323.03	214.27	127.89	366.09	137.14	295.11	246.28	208.38	348.71	149.12	301.33	329.84	169.07	156.59	169.07	130.6	131.51	214.27	271.48	110.43	229.72	199.85	241.19	438.59	295.11	172.65	241.19	128.79	152.28	54.33	343.89	281.09	320.8
CSRP2BP	140.04	137.14	139.07	232.94	53.95	135.24	120.1	134.3	178.77	115.97	177.53	172.65	94.67	56.68	218.79	157.68	61.68	36.27	176.29	202.66	215.77	87.03	204.07	73.54	134.3	52.82	221.86	226.54	197.09	262.2	239.52	202.66	152.28	113.56	201.25	43.63	154.42	267.73	423.61	303.44	155.5	52.08	249.73	43.94	155.5	208.38	193.01	209.84	91.41	256.78	170.25	102.97	120.94	111.21	50.63	68.55	86.43	197.09	95.34	199.85	139.07	178.77	256.78	178.77	275.28	178.77	53.57	82.87	33.54	343.89	450.94	624.99
CTBP1	1709.26	1259.69	1250.98	1709.26	1457.23	2319.15	1561.89	1583.71	1806.78	1151.06	1769.57	1721.16	1757.34	1242.34	2417.67	3257.52	872.1	1369.04	1721.16	4298.64	3443.31	1508.65	2682.69	2075.59	2384.37	915.51	2627.46	3280.18	3039.3	5183.54	2255.7	2777.33	2209.26	2119.22	2645.74	2061.24	3039.3	2720.15	1477.58	2255.7	2224.63	2224.63	3325.99	1662.49	2855.44	2855.44	3614.55	3060.45	1697.45	2224.63	3039.3	1950.0	1950.0	1259.69	1551.09	1477.58	2104.58	3540.14	1832.01	2434.5	2351.53	3349.13	4769.75	2664.15	1963.57	2319.15	1119.56	1457.23	688.78	3665.02	3742.05	4181.07
CTC-241N9.1	9.34	5.06	6.41	19.97	0.0	9.7	8.19	6.62	18.7	9.41	23.76	12.83	3.38	7.88	44.89	37.59	13.32	9.41	32.82	43.02	87.03	21.32	38.12	29.06	18.56	6.67	34.02	18.7	40.07	46.84	26.67	24.11	24.46	43.94	36.27	17.0	37.85	49.91	52.45	57.49	47.84	30.12	24.63	16.51	18.7	48.18	8.99	40.07	21.63	33.3	34.02	30.56	11.64	28.24	17.0	11.3	17.25	41.52	12.36	32.82	24.81	48.52	43.94	21.78	60.82	69.03	0.0	11.91	3.69	62.56	81.71	75.11
CTD-2228K2.5	172.65	115.97	78.34	199.85	81.14	81.71	110.43	74.06	189.02	84.63	279.14	162.14	75.11	120.1	454.09	384.34	90.77	49.91	387.02	785.88	651.58	176.29	591.22	265.87	248.0	63.89	444.72	223.41	532.74	603.67	361.04	291.04	336.79	204.07	275.28	92.7	301.33	460.44	346.29	435.55	297.17	177.53	497.0	76.17	138.1	400.71	208.38	420.68	96.68	599.49	307.69	242.88	154.42	166.73	141.02	125.24	162.14	603.67	105.89	253.23	209.84	518.15	400.71	287.01	301.33	249.73	84.63	89.51	884.29	607.87	669.92	896.64
CTDSP1	2976.74	1963.57	1519.15	2032.85	1407.55	1832.01	2047.0	2163.77	2133.97	1733.13	2502.97	2178.83	1498.22	1540.37	3639.7	3768.09	1407.55	1477.58	2090.03	5147.73	3168.41	1417.35	4903.87	2018.8	1594.73	1322.37	4298.64	2997.45	5441.3	3467.27	2502.97	2645.74	2335.28	3768.09	3820.7	2032.85	3491.39	4450.27	4123.49	4419.52	4038.61	2271.4	4239.45	2224.63	4181.07	3639.7	2417.67	2758.13	2319.15	3928.15	3690.52	2816.11	1857.6	2255.7	1304.15	1733.13	2090.03	4802.93	4388.98	3443.31	2555.58	2537.92	4937.99	4095.0	7966.99	3690.52	819.3	1508.65	981.29	4450.27	3928.15	4010.71
DGCR14	186.4	159.9	95.34	116.78	193.01	177.53	154.42	195.72	202.66	197.09	214.27	191.67	104.42	136.19	348.71	305.55	221.86	70.51	307.69	490.14	444.72	201.25	521.76	87.65	166.73	141.02	426.57	291.04	486.75	470.14	214.27	169.07	289.02	202.66	336.79	285.03	361.04	480.04	244.57	356.05	256.78	135.24	450.94	293.07	165.57	234.57	277.2	312.0	169.07	403.5	320.8	154.42	159.9	162.14	103.69	120.1	273.37	417.77	165.57	353.59	248.0	215.77	318.57	289.02	318.57	215.77	143.01	155.5	90.14	438.59	503.95	514.56
DNPEP	1467.37	1407.55	890.44	1167.14	1096.5	1183.45	1769.57	1519.15	1008.9	1757.34	2018.8	1685.71	1277.29	1066.48	2384.37	1540.37	995.0	708.18	1883.54	2796.65	3190.46	1806.78	3081.75	1175.27	1605.83	974.5	3395.89	1151.06	3349.13	1963.57	1572.76	1331.57	1378.57	1697.45	3467.27	1331.57	2075.59	2367.9	2701.35	2915.45	1583.71	2018.8	2520.38	1199.98	4736.79	3716.2	1757.34	1883.54	1923.14	3018.3	1950.0	2502.97	1757.34	1216.75	967.76	1437.15	1268.46	3372.43	1745.2	2178.83	2645.74	1583.71	1781.89	3168.41	2303.12	3103.19	780.44	748.61	974.5	1870.53	2178.83	2271.4
EHMT2	256.78	95.34	139.07	463.65	100.13	327.56	123.5	316.37	470.14	212.78	497.0	271.48	299.25	353.59	909.17	693.58	214.27	244.57	813.63	1225.22	1183.45	327.56	1199.98	346.29	669.92	167.9	1167.14	693.58	819.3	1127.35	842.36	848.22	713.11	497.0	1066.48	289.02	629.35	995.0	825.0	1242.34	547.75	521.76	1250.98	305.55	713.11	753.83	591.22	1104.13	432.53	1023.0	620.67	483.38	406.31	271.48	312.0	318.57	392.44	1340.84	417.77	753.83	647.07	642.59	748.61	866.07	669.92	967.76	228.13	351.14	109.66	1769.57	1991.0	2287.2
ENDOV	208.38	92.05	95.34	269.6	151.22	209.84	231.32	155.5	260.38	165.57	215.77	307.69	212.78	128.79	981.29	444.72	132.44	115.97	420.68	915.51	579.04	78.89	660.68	256.78	212.78	108.9	693.58	273.37	521.76	536.45	279.14	237.86	318.57	575.03	616.37	217.27	629.35	660.68	389.72	909.17	363.56	358.54	961.07	220.32	214.27	536.45	309.83	353.59	232.94	684.02	583.07	251.48	301.33	190.34	363.56	145.02	346.29	981.29	289.02	450.94	218.79	647.07	547.75	387.02	660.68	981.29	84.04	194.36	119.26	551.56	607.87	397.93
FNTB	267.73	173.85	123.5	173.85	98.73	153.34	155.5	147.06	224.97	113.56	195.72	197.09	237.86	96.68	255.0	334.46	96.68	102.97	312.0	361.04	283.05	105.89	384.34	182.55	293.07	103.69	412.0	343.89	316.37	463.65	412.0	400.71	309.83	325.29	521.76	113.56	412.0	307.69	339.14	412.0	255.0	258.57	460.44	118.43	473.41	289.02	358.54	438.59	214.27	348.71	275.28	209.84	195.72	187.71	171.45	155.5	262.2	236.21	206.94	318.57	271.48	316.37	438.59	287.01	239.52	253.23	77.25	132.44	76.71	363.56	291.04	470.14
FTSJ2	435.55	381.68	358.54	438.59	339.14	400.71	473.41	373.81	297.17	358.54	540.19	460.44	314.17	285.03	612.11	575.03	205.5	120.1	450.94	454.09	587.13	323.03	620.67	242.88	312.0	165.57	624.99	536.45	616.37	587.13	616.37	466.88	444.72	291.04	358.54	226.54	603.67	579.04	426.57	493.56	381.68	134.3	733.19	205.5	423.61	480.04	384.34	607.87	211.31	612.11	514.56	273.37	275.28	334.46	153.34	215.77	432.53	521.76	244.57	363.56	297.17	299.25	587.13	525.39	373.81	318.57	197.09	242.88	85.22	575.03	688.78	713.11
GPATCH3	269.6	128.79	142.01	149.12	127.0	271.48	237.86	120.1	173.85	177.53	267.73	220.32	191.67	133.36	346.29	244.57	88.88	47.17	209.84	325.29	291.04	105.15	334.46	154.42	171.45	108.9	309.83	295.11	353.59	291.04	236.21	217.27	221.86	138.1	241.19	239.52	289.02	305.55	209.84	275.28	172.65	115.16	368.65	151.22	186.4	232.94	176.29	356.05	162.14	314.17	264.03	142.01	163.28	148.09	98.04	134.3	198.47	260.38	150.17	190.34	221.86	163.28	336.79	214.27	143.01	189.02	157.68	118.43	62.56	299.25	371.22	264.03
GPS1	1183.45	1487.87	1199.98	1617.0	1008.9	1378.57	1529.73	1963.57	1417.35	2178.83	1832.01	1896.65	1487.87	1030.12	2224.63	1697.45	743.43	507.46	1594.73	2468.49	2255.7	915.51	2367.9	1159.07	1183.45	651.58	2163.77	1870.53	2119.22	2061.24	1605.83	1781.89	1508.65	1745.2	1508.65	1477.58	1721.16	2417.67	1844.76	2468.49	1950.0	1096.5	2468.49	974.5	1457.23	1674.06	2417.67	1617.0	1250.98	2148.82	1662.49	1617.0	1175.27	1023.0	860.08	802.41	1467.37	3372.43	1225.22	1909.85	1605.83	2400.97	1896.65	1923.14	1617.0	1950.0	583.07	1119.56	466.88	2255.7	2271.4	2417.67
HIRIP3	178.77	126.12	177.53	301.33	134.3	220.32	112.77	346.29	172.65	173.85	518.15	201.25	214.27	224.97	612.11	591.22	154.42	262.2	571.05	642.59	647.07	232.94	909.17	320.8	312.0	148.09	567.1	543.96	733.19	532.74	429.54	376.41	373.81	223.41	483.38	307.69	684.02	684.02	473.41	555.41	334.46	237.86	703.28	164.42	295.11	543.96	397.93	454.09	281.09	642.59	665.29	423.61	181.28	205.5	224.97	256.78	327.56	698.41	157.68	536.45	283.05	547.75	759.08	536.45	500.46	525.39	189.02	170.25	51.35	607.87	825.0	1051.79
KAT5	819.3	543.96	466.88	543.96	595.34	503.95	490.14	507.46	503.95	599.49	607.87	563.18	389.72	432.53	1794.29	1313.23	819.3	743.43	1639.59	1806.78	1359.57	780.44	1844.76	872.1	1369.04	638.15	1617.0	1159.07	1605.83	1457.23	1183.45	896.64	860.08	748.61	1242.34	1250.98	1529.73	1457.23	1250.98	1733.13	884.29	599.49	1721.16	808.0	1066.48	1313.23	1111.82	988.12	698.41	1781.89	1378.57	1183.45	718.08	1001.93	733.19	1088.92	974.5	1477.58	728.11	1427.22	909.17	1498.22	1447.15	1183.45	1304.15	1066.48	490.14	529.06	665.29	1806.78	2468.49	1819.35
KDM4D	7.51	3.99	2.58	4.98	0.69	3.26	2.97	6.73	1.2	5.87	7.06	7.88	2.39	2.71	19.97	20.86	8.58	3.56	11.91	13.22	19.97	3.5	18.16	0.0	6.21	5.68	14.56	12.09	23.76	18.84	12.27	7.11	13.52	6.84	15.0	5.54	20.26	21.01	21.47	10.16	10.55	9.34	25.54	3.5	10.96	7.22	7.57	6.31	2.73	20.86	21.01	8.38	8.38	16.27	4.94	5.02	9.78	22.92	5.41	5.87	6.73	18.29	29.06	16.88	11.91	13.52	4.35	4.1	0.43	31.0	26.86	28.45
KLHL22	102.25	81.14	190.34	226.54	105.15	190.34	111.21	201.25	237.86	162.14	269.6	159.9	155.5	123.5	518.15	470.14	90.14	138.1	356.05	555.41	466.88	185.11	493.56	147.06	275.28	147.06	435.55	403.5	460.44	579.04	346.29	397.93	356.05	165.57	476.71	159.9	432.53	656.11	201.25	703.28	384.34	239.52	836.53	128.79	305.55	329.84	426.57	476.71	150.17	518.15	409.15	255.0	291.04	136.19	212.78	140.04	255.0	486.75	177.53	438.59	353.59	316.37	543.96	389.72	356.05	325.29	61.68	183.82	61.25	743.43	728.11	830.75
LENG1	251.48	147.06	251.48	159.9	111.99	376.41	176.29	400.71	187.71	141.02	195.72	149.12	226.54	129.69	305.55	189.02	86.43	135.24	363.56	269.6	289.02	214.27	555.41	176.29	320.8	94.67	379.04	314.17	361.04	406.31	214.27	194.36	176.29	119.26	228.13	191.67	231.32	356.05	199.85	229.72	228.13	127.89	325.29	90.77	242.88	241.19	260.38	295.11	135.24	279.14	221.86	237.86	129.69	124.37	105.15	189.02	195.72	351.14	103.69	336.79	153.34	264.03	260.38	279.14	202.66	226.54	221.86	92.05	84.04	325.29	473.41	371.22
