	TCGA.CW.5591.01A.01R.1541.07	TCGA.GL.7773.01A.11R.A32Z.07	TCGA.P4.A5E8.01A.11R.A28H.07	TCGA.BQ.5879.01A.11R.1592.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.UZ.A9PJ.01A.11R.A38C.07	TCGA.DW.7842.01A.11R.A32Z.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.BQ.5894.01A.11R.1592.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.A4.7915.01A.11R.2204.07	TCGA.A4.7997.01A.11R.2204.07	TCGA.A4.7734.01A.11R.A32Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.A3A5.11A.11R.A22L.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZYT6.0626.SM.5E45V	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.14E1K.0326.SM.5S2PE	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.UPK5.1426.SM.4JBHH	GTEX.R53T.0326.SM.48FEC
ATP11B	480.04	444.72	339.14	603.67	356.05	575.03	325.29	480.04	279.14	343.89	363.56	463.65	444.72	490.14	312.0	684.02	414.87	232.94	103.69	218.79	194.36	44.57	316.37	417.77	114.36	159.9	341.51	180.02	147.06	111.99	285.03	172.65	205.5	134.3	176.29	189.02	110.43	129.69	181.28	158.79	273.37
BACH1	363.56	353.59	909.17	813.63	204.07	476.71	392.44	591.22	343.89	368.65	329.84	299.25	665.29	490.14	409.15	493.56	454.09	312.0	148.09	285.03	150.17	146.03	358.54	332.14	128.79	156.59	346.29	256.78	332.14	269.6	312.0	177.53	158.79	215.77	110.43	195.72	154.42	234.57	190.34	183.82	260.38
BICC1	2351.53	2148.82	1498.22	3742.05	1143.1	1977.24	3395.89	3349.13	713.11	1286.18	2956.17	1378.57	1709.26	2956.17	2627.46	3467.27	2104.58	256.78	15.68	665.29	3.72	7.28	72.01	9.34	6.62	28.45	33.54	121.79	28.45	12.18	4.82	5.77	22.92	8.13	13.72	8.92	31.9	42.71	40.93	14.67	2.76
BNIP3L	2193.99	2434.5	2855.44	3443.31	2796.65	2287.2	1977.24	2319.15	2835.7	1870.53	1721.16	2148.82	2485.67	1617.0	2104.58	1651.0	2240.11	595.34	285.03	759.08	599.49	426.57	684.02	633.73	312.0	679.29	575.03	679.29	559.28	403.5	738.29	447.82	830.75	483.38	503.95	435.55	563.18	599.49	460.44	551.56	624.99
BTBD10	409.15	420.68	476.71	688.78	417.77	400.71	312.0	343.89	414.87	555.41	343.89	507.46	493.56	460.44	320.8	414.87	438.59	246.28	66.18	269.6	190.34	138.1	249.73	95.34	104.42	154.42	260.38	177.53	137.14	75.64	167.9	146.03	158.79	138.1	144.01	78.34	167.9	182.55	108.9	130.6	140.04
BTBD7	579.04	525.39	368.65	1066.48	575.03	1135.2	738.29	563.18	339.14	339.14	723.08	397.93	441.64	607.87	460.44	738.29	616.37	178.77	72.52	136.19	148.09	74.06	127.0	94.01	88.26	117.6	176.29	89.51	96.01	32.36	84.04	66.18	90.77	113.56	95.34	66.65	68.07	90.14	79.45	75.64	102.25
BTBD9	228.13	172.65	61.25	329.84	131.51	177.53	142.01	169.07	104.42	99.43	143.01	120.94	138.1	212.78	166.73	195.72	193.01	77.25	20.11	84.63	48.87	46.84	45.21	52.45	24.46	36.53	90.77	34.75	29.48	34.51	55.49	37.85	64.8	49.56	32.59	52.82	57.08	50.63	34.75	12.83	34.26
C11orf80	460.44	656.11	872.1	802.41	351.14	400.71	579.04	743.43	392.44	698.41	466.88	473.41	341.51	633.73	231.32	463.65	470.14	158.79	23.59	34.51	34.75	65.26	29.7	7.46	15.91	42.41	10.0	36.01	81.71	63.89	22.75	64.8	47.84	48.87	23.42	27.05	29.27	26.47	42.41	52.45	41.81
C19orf55	165.57	285.03	387.02	476.71	246.28	387.02	271.48	373.81	153.34	289.02	251.48	236.21	189.02	395.18	279.14	412.0	368.65	153.34	30.12	79.45	27.64	21.32	43.63	40.07	23.59	87.65	38.95	51.71	40.07	21.63	39.22	58.3	41.81	55.89	31.45	40.64	30.78	78.34	41.81	44.57	25.35
C1orf106	1081.39	703.28	1844.76	1073.91	848.22	1674.06	1331.57	1427.22	329.84	674.59	1407.55	679.29	1081.39	1340.84	1477.58	915.51	1096.5	169.07	16.51	486.75	0.78	3.56	11.47	9.34	0.72	1.53	4.43	137.14	4.9	0.0	9.34	38.4	25.72	52.82	3.44	0.0	25.54	26.1	30.34	5.92	19.39
C7orf60	156.59	148.09	148.09	212.78	220.32	146.03	182.55	220.32	163.28	177.53	205.5	148.09	199.85	246.28	165.57	199.85	104.42	58.71	8.32	47.17	13.72	18.16	32.13	22.59	27.84	31.0	28.65	29.48	36.53	12.55	36.79	15.56	18.7	10.08	25.91	45.85	21.78	24.46	26.86	24.11	37.59
CASK	555.41	909.17	785.88	2178.83	738.29	1030.12	981.29	830.75	438.59	1073.91	1030.12	688.78	1073.91	1437.15	476.71	961.07	836.53	376.41	138.1	107.38	142.01	158.79	229.72	241.19	141.02	182.55	341.51	152.28	141.02	123.5	163.28	135.24	158.79	152.28	166.73	109.66	153.34	124.37	191.67	121.79	236.21
CBL	183.82	127.0	102.97	228.13	83.45	144.01	108.9	138.1	139.07	156.59	115.16	134.3	154.42	138.1	115.16	173.85	134.3	61.68	10.24	126.12	31.45	24.99	42.41	27.84	14.67	49.56	32.36	70.01	28.65	10.55	45.53	36.79	37.59	23.25	31.22	23.42	28.24	44.25	25.35	48.52	30.34
CDCP1	169.07	995.0	1508.65	4419.52	1529.73	1199.98	473.41	295.11	1008.9	1407.55	575.03	988.12	928.3	915.51	156.59	842.36	1551.09	36.01	2.89	103.69	22.75	8.13	14.03	4.43	0.0	12.09	5.77	29.48	2.29	11.3	14.78	0.46	24.81	18.7	25.35	7.51	16.39	15.8	7.17	37.05	7.88
CELSR2	525.39	1447.15	1175.27	1250.98	921.88	1001.93	1073.91	1378.57	1781.89	1059.11	896.64	1233.75	507.46	866.07	384.34	1225.22	1008.9	119.26	22.1	100.83	27.05	33.06	10.24	80.01	62.12	122.64	10.96	46.18	40.93	20.26	30.56	35.76	40.07	94.01	277.2	26.67	44.25	17.77	25.91	34.51	77.79
CTTNBP2NL	769.69	379.04	387.02	909.17	279.14	633.73	579.04	563.18	368.65	305.55	371.22	414.87	723.08	656.11	796.86	629.35	457.25	125.24	13.42	241.19	34.26	22.75	56.68	54.72	17.13	42.71	48.87	98.73	37.32	12.09	53.57	30.56	38.95	30.56	63.0	24.81	64.34	69.52	50.27	36.53	39.5
DARS	1540.37	2609.3	1832.01	2956.17	2193.99	1651.0	1963.57	2061.24	2303.12	2855.44	1437.15	2271.4	2319.15	1662.49	1806.78	1295.13	1639.59	1044.52	532.74	599.49	884.29	547.75	1467.37	981.29	607.87	738.29	1388.16	624.99	603.67	633.73	723.08	599.49	665.29	684.02	713.11	660.68	543.96	753.83	612.11	547.75	651.58
DOCK1	775.05	656.11	387.02	753.83	559.28	791.35	612.11	753.83	500.46	507.46	540.19	587.13	500.46	802.41	403.5	728.11	633.73	291.04	136.19	379.04	226.54	157.68	387.02	228.13	100.83	155.5	241.19	195.72	129.69	91.41	231.32	127.0	166.73	197.09	271.48	153.34	148.09	187.71	145.02	129.69	191.67
DSCAML1	23.59	149.12	182.55	244.57	50.63	242.88	249.73	361.04	28.04	32.82	161.02	58.3	113.56	159.9	59.97	170.25	83.45	23.25	1.89	3.66	0.0	0.0	0.04	9.78	4.1	1.41	0.3	8.85	5.32	4.1	1.3	1.19	4.58	0.0	1.48	3.11	6.62	6.41	13.22	0.97	0.0
DYRK2	334.46	371.22	116.78	567.1	234.57	379.04	379.04	521.76	197.09	295.11	297.17	229.72	384.34	497.0	275.28	353.59	293.07	152.28	26.1	197.09	57.89	71.0	68.55	127.89	52.82	90.77	56.68	67.12	50.63	37.85	59.97	40.36	34.51	80.57	64.34	12.27	51.71	32.59	91.41	52.82	90.14
EPHA2	334.46	995.0	1540.37	1963.57	860.08	981.29	1417.35	1313.23	1331.57	884.29	1340.84	1151.06	928.3	1159.07	708.18	1225.22	878.17	796.86	728.11	780.44	336.79	94.01	181.28	1697.45	255.0	299.25	161.02	246.28	224.97	212.78	133.36	339.14	190.34	305.55	208.38	525.39	318.57	486.75	493.56	295.11	224.97
F2RL1	1870.53	638.15	1066.48	1487.87	595.34	2240.11	1331.57	902.89	878.17	1191.69	878.17	2591.27	1561.89	1378.57	1508.65	693.58	406.31	180.02	41.81	175.07	361.04	197.09	275.28	246.28	6.46	182.55	708.18	251.48	3.76	8.92	50.98	220.32	129.69	921.88	642.59	84.04	217.27	52.45	107.38	341.51	70.01
FAM84B	1340.84	1397.83	928.3	3372.43	529.06	1208.34	2209.26	1709.26	1233.75	2224.63	1617.0	1427.22	1378.57	2591.27	813.63	1369.04	529.06	417.77	246.28	190.34	111.21	275.28	231.32	158.79	521.76	500.46	172.65	256.78	470.14	567.1	221.86	163.28	91.41	229.72	190.34	206.94	211.31	262.2	194.36	215.77	241.19
FOXK1	248.0	246.28	202.66	403.5	241.19	283.05	262.2	291.04	177.53	384.34	348.71	147.06	220.32	248.0	183.82	420.68	334.46	120.94	52.08	55.89	34.26	33.78	23.59	32.82	32.13	43.63	24.81	39.79	31.9	27.64	26.1	39.79	37.32	49.56	47.5	40.07	29.06	33.3	64.8	39.79	23.25
GAS2L3	158.79	480.04	231.32	511.0	368.65	414.87	43.63	197.09	78.34	384.34	318.57	329.84	332.14	287.01	96.68	126.12	346.29	84.63	9.63	89.51	53.95	11.55	28.65	14.89	4.94	19.68	36.27	60.82	37.05	7.11	45.85	36.79	31.45	33.3	17.13	48.18	31.22	31.67	33.06	32.59	44.89
GLB1	2591.27	1331.57	2976.74	2816.11	1991.0	1991.0	2075.59	1733.13	2047.0	1529.73	2148.82	3146.52	2351.53	2209.26	2351.53	1769.57	1477.58	884.29	603.67	1233.75	1233.75	1066.48	1151.06	1277.29	785.88	1313.23	1331.57	1313.23	819.3	866.07	1628.26	934.76	1277.29	1119.56	1051.79	1104.13	1304.15	1447.15	633.73	1233.75	1639.59
GLG1	2032.85	1977.24	2224.63	2367.9	2935.74	2061.24	1304.15	1963.57	1617.0	1225.22	1498.22	2178.83	2417.67	1936.53	2018.8	2193.99	1896.65	819.3	392.44	981.29	567.1	567.1	915.51	1143.1	420.68	830.75	642.59	802.41	406.31	450.94	1088.92	507.46	656.11	878.17	934.76	571.05	743.43	947.83	518.15	435.55	688.78
GLS	4388.98	2271.4	1119.56	6983.79	1457.23	1407.55	2367.9	1733.13	1583.71	3589.58	2502.97	2758.13	2796.65	2119.22	5517.27	1977.24	2701.35	460.44	43.32	325.29	147.06	93.35	202.66	115.16	41.81	131.51	199.85	307.69	126.12	82.29	81.71	43.63	172.65	106.63	66.18	33.78	84.63	125.24	172.65	131.51	75.11
GNB1	5872.48	5633.22	4038.61	6699.25	4769.75	4671.57	4095.0	5403.7	5441.3	3874.05	3928.15	4704.07	4836.35	6887.62	4869.99	5183.54	5403.7	2777.33	1331.57	2271.4	2133.97	1639.59	2400.97	3235.01	1191.69	1733.13	2502.97	2240.11	1583.71	1662.49	2133.97	1572.76	2090.03	2193.99	2119.22	1709.26	2417.67	1977.24	1199.98	1617.0	2047.0
GNG12	3614.55	1044.52	1477.58	2935.74	1208.34	1769.57	1487.87	1417.35	1242.34	1250.98	1313.23	1529.73	2240.11	1498.22	1857.6	1143.1	1331.57	693.58	267.73	791.35	521.76	346.29	921.88	743.43	283.05	529.06	802.41	1119.56	723.08	221.86	848.22	409.15	540.19	305.55	279.14	473.41	878.17	688.78	395.18	511.0	1268.46
GPATCH8	361.04	299.25	228.13	514.56	314.17	381.68	392.44	532.74	239.52	279.14	329.84	400.71	363.56	543.96	363.56	511.0	348.71	267.73	46.18	178.77	72.01	74.06	131.51	78.89	87.03	108.9	97.36	149.12	134.3	48.18	114.36	77.79	191.67	77.25	129.69	186.4	70.01	102.25	137.14	88.26	69.03
GPI	7331.05	13033.07	6652.97	10733.74	8363.13	6935.54	5995.9	5517.27	10014.87	7911.95	6121.9	7180.15	7642.41	4038.61	14361.31	5479.15	8598.28	4937.99	3325.99	2609.3	3146.52	3325.99	3212.66	5751.61	1991.0	3639.7	3901.01	3564.78	2451.44	5594.3	4481.23	5183.54	4298.64	6381.92	4937.99	3212.66	3467.27	3081.75	3589.58	3325.99	4972.34
GPR137B	896.64	679.29	848.22	713.11	190.34	1073.91	1127.35	921.88	460.44	473.41	1037.29	547.75	1023.0	866.07	1127.35	759.08	551.56	275.28	127.0	836.53	473.41	271.48	314.17	176.29	147.06	713.11	217.27	381.68	381.68	540.19	414.87	251.48	444.72	185.11	253.23	389.72	543.96	764.36	153.34	256.78	187.71
GPR39	129.69	101.54	158.79	363.56	241.19	336.79	248.0	180.02	182.55	368.65	241.19	332.14	187.71	189.02	181.28	165.57	183.82	109.66	97.36	74.06	75.11	142.01	79.45	126.12	144.01	166.73	56.68	113.56	96.01	101.54	189.02	119.26	117.6	87.03	136.19	85.22	159.9	146.03	65.26	127.0	152.28
GPR56	26986.43	8022.41	10733.74	18304.63	6887.62	6250.56	1183.45	3665.02	4972.34	6164.49	2997.45	12502.12	5183.54	4575.41	1662.49	6207.38	11992.79	389.72	25.54	339.14	98.04	43.63	56.68	147.06	42.71	57.49	44.25	536.45	58.71	34.02	22.26	38.67	128.79	21.32	39.79	32.13	59.97	103.69	438.59	190.34	28.45
GSKIP	642.59	543.96	825.0	791.35	693.58	518.15	521.76	507.46	397.93	460.44	656.11	629.35	373.81	769.69	426.57	493.56	728.11	231.32	285.03	202.66	642.59	130.6	303.44	397.93	164.42	271.48	688.78	241.19	175.07	159.9	244.57	194.36	336.79	208.38	189.02	202.66	163.28	181.28	148.09	299.25	267.73
HIPK2	819.3	759.08	551.56	1044.52	423.61	813.63	493.56	651.58	406.31	842.36	486.75	426.57	612.11	819.3	567.1	1167.14	555.41	183.82	139.07	236.21	379.04	149.12	157.68	432.53	105.89	289.02	346.29	231.32	171.45	94.67	279.14	142.01	400.71	224.97	412.0	295.11	236.21	167.9	73.54	277.2	231.32
HOXD1	99.43	249.73	189.02	183.82	108.14	131.51	94.67	267.73	163.28	397.93	84.63	140.04	62.12	100.83	3.14	0.37	115.16	3.26	0.0	1.39	0.0	4.28	0.0	0.0	1.35	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.43	1.22	3.53
IQCD	68.07	277.2	133.36	105.15	82.29	175.07	226.54	194.36	92.7	55.89	162.14	190.34	251.48	167.9	120.94	118.43	152.28	15.34	4.74	12.83	5.54	2.51	0.55	8.38	1.13	0.44	4.21	1.27	0.35	3.08	0.58	5.32	8.32	0.0	3.23	5.54	2.89	1.38	3.44	1.03	0.88
ITGA3	3768.09	12415.75	10959.3	31870.96	14867.79	11267.44	10225.32	13123.73	7280.4	28723.62	17437.64	19754.96	11112.3	13306.94	2796.65	12589.08	13399.51	595.34	23.93	435.55	6.73	35.25	21.94	16.27	20.56	14.03	12.93	262.2	25.54	20.71	21.47	45.21	76.71	130.6	72.52	14.24	59.55	62.56	52.45	38.12	45.53
ITGAV	5006.93	1594.73	708.18	2835.7	1733.13	1008.9	563.18	638.15	1857.6	1066.48	981.29	2645.74	1572.76	1447.15	414.87	1135.2	2855.44	514.56	73.03	371.22	155.5	67.59	536.45	334.46	46.5	185.11	406.31	334.46	102.25	69.03	206.94	105.89	269.6	202.66	202.66	142.01	144.01	150.17	94.01	234.57	231.32
ITGB6	7130.55	1769.57	1427.22	2664.15	6207.38	2004.85	612.11	2367.9	4869.99	2739.08	1242.34	6471.02	1757.34	1685.71	514.56	3742.05	6207.38	58.3	6.52	9.93	0.11	0.62	2.05	1.41	39.79	25.72	7.46	7.4	48.87	10.47	25.72	17.64	2.89	0.11	0.18	0.0	29.7	3.08	28.24	1.79	7.22
JAK1	2895.31	2720.15	1909.85	4671.57	2400.97	3081.75	2351.53	2609.3	2417.67	2090.03	1991.0	2682.69	2609.3	2367.9	1832.01	2875.3	2835.7	1175.27	543.96	1477.58	1397.83	769.69	1674.06	1467.37	819.3	1051.79	1870.53	1167.14	1096.5	674.59	1417.35	872.1	1295.13	1417.35	1651.0	1111.82	1111.82	1242.34	633.73	1081.39	1216.75
KAAG1	81.14	170.25	43.63	131.51	10.24	54.72	159.9	84.04	39.22	176.29	35.0	57.08	67.59	59.97	85.82	63.89	29.06	25.72	0.0	7.4	0.0	0.0	0.16	0.0	14.56	1.79	0.77	3.32	0.0	16.27	3.35	1.27	0.0	0.13	0.0	0.83	5.06	3.08	26.67	0.4	7.63
KDELC1	267.73	361.04	193.01	909.17	121.79	215.77	551.56	454.09	173.85	397.93	463.65	343.89	351.14	341.51	303.44	291.04	204.07	164.42	95.34	150.17	141.02	123.5	214.27	176.29	93.35	119.26	87.03	117.6	119.26	137.14	221.86	124.37	155.5	220.32	191.67	127.0	186.4	84.04	96.01	120.94	126.12
KITLG	1519.15	444.72	802.41	7803.01	1295.13	2032.85	1594.73	2816.11	381.68	2384.37	1447.15	2935.74	1697.45	1883.54	341.51	2400.97	1529.73	121.79	5.87	82.87	25.17	17.38	35.0	19.25	37.85	22.43	36.53	31.0	33.3	12.09	25.35	13.03	17.51	10.55	9.56	5.92	21.16	14.14	44.25	25.72	15.11
KLHL36	603.67	1081.39	902.89	1313.23	1135.2	934.76	693.58	764.36	429.54	764.36	1059.11	343.89	890.44	974.5	842.36	1340.84	759.08	351.14	265.87	275.28	202.66	291.04	97.36	215.77	199.85	265.87	141.02	229.72	323.03	198.47	136.19	249.73	476.71	273.37	151.22	264.03	205.5	248.0	291.04	231.32	318.57
KMT2A	358.54	194.36	218.79	642.59	236.21	339.14	244.57	511.0	194.36	368.65	195.72	351.14	265.87	420.68	241.19	420.68	303.44	175.07	38.4	169.07	171.45	111.99	71.5	61.68	101.54	105.15	143.01	113.56	84.04	46.18	176.29	57.49	119.26	76.71	131.51	72.01	80.01	169.07	119.26	62.12	112.77
LAMTOR5	7589.61	6983.79	6745.86	4210.15	5076.84	6164.49	8901.53	5255.91	5441.3	3280.18	7130.55	6699.25	8479.89	5329.3	4607.24	3955.48	5183.54	3235.01	2502.97	2956.17	3325.99	2701.35	3372.43	2537.92	2240.11	3146.52	3124.78	2915.45	3257.52	2796.65	2739.08	3146.52	2976.74	2976.74	2682.69	2855.44	2434.5	2104.58	2758.13	3146.52	2835.7
LASP1	3768.09	2271.4	4152.18	7230.1	2133.97	3491.39	4298.64	3794.3	3081.75	4736.79	3847.29	4543.8	3168.41	4328.55	3874.05	4123.49	2816.11	1977.24	1233.75	1519.15	2075.59	1923.14	1127.35	2004.85	866.07	1044.52	1350.18	1417.35	1331.57	941.27	2004.85	2555.58	1143.1	1104.13	974.5	902.89	2303.12	1259.69	842.36	1242.34	1519.15
LEPROT	3820.7	1909.85	2240.11	3124.78	1977.24	2739.08	3039.3	2777.33	2351.53	1331.57	2956.17	3639.7	2555.58	2796.65	2664.15	2875.3	1950.0	1096.5	480.04	1216.75	791.35	444.72	1295.13	860.08	660.68	890.44	878.17	1030.12	674.59	629.35	1216.75	507.46	915.51	872.1	884.29	915.51	638.15	974.5	511.0	759.08	642.59
LRP10	4869.99	3564.78	4210.15	7081.29	3955.48	4972.34	2090.03	3018.3	3742.05	2032.85	3639.7	8363.13	2018.8	3874.05	4298.64	5441.3	5112.16	1277.29	371.22	1030.12	1359.57	647.07	660.68	1477.58	384.34	1119.56	1457.23	902.89	536.45	473.41	967.76	674.59	961.07	1104.13	1088.92	915.51	836.53	819.3	466.88	848.22	915.51
LRP12	199.85	191.67	164.42	532.74	69.03	191.67	154.42	264.03	155.5	224.97	173.85	376.41	236.21	295.11	148.09	204.07	173.85	43.63	8.19	46.84	15.34	10.39	100.13	5.5	34.02	16.15	77.79	9.34	23.08	2.01	18.84	5.54	13.32	43.63	12.36	4.43	13.22	36.01	24.63	32.82	12.93
LYPLA2	2417.67	3018.3	2935.74	2739.08	2255.7	2537.92	1936.53	1721.16	2047.0	2537.92	2835.7	3060.45	1991.0	2075.59	3146.52	2287.2	2555.58	1794.29	1529.73	1583.71	1359.57	1844.76	693.58	954.43	1674.06	1359.57	988.12	848.22	954.43	1427.22	1159.07	1350.18	967.76	1340.84	1143.1	947.83	1119.56	1104.13	1477.58	1135.2	1111.82
MAPKAPK2	2303.12	1819.35	2758.13	3467.27	1857.6	1977.24	1359.57	1199.98	2720.15	2434.5	1417.35	2434.5	1378.57	1605.83	1628.26	1757.34	2555.58	1417.35	974.5	884.29	656.11	651.58	525.39	1304.15	656.11	842.36	624.99	785.88	703.28	559.28	587.13	764.36	753.83	703.28	785.88	759.08	633.73	624.99	642.59	808.0	723.08
METTL9	3589.58	4210.15	5479.15	3540.14	2855.44	3564.78	4543.8	4239.45	1832.01	2224.63	4543.8	4239.45	5872.48	3103.19	5366.37	2720.15	3280.18	728.11	183.82	941.27	718.08	387.02	358.54	384.34	226.54	423.61	497.0	476.71	447.82	154.42	521.76	202.66	373.81	327.56	301.33	224.97	400.71	265.87	220.32	379.04	454.09
