	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A0AZ.11A.22R.A12P.07	TCGA.BH.A18Q.11A.34R.A12D.07	GTEX.ZF2S.2026.SM.5E461	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.2H.A9GM.01A.11R.A37I.31	TCGA.D6.6824.01A.11R.1915.07	TCGA.D6.A6EO.01A.11R.A31N.07	TCGA.BA.6869.01A.11R.1873.07	TCGA.H7.A6C5.11A.11R.A30B.07	TCGA.49.4486.01A.01R.1206.07	GTEX.XGQ4.2626.SM.4AT6B	GTEX.11NV4.1926.SM.5N9D4	GTEX.13VXT.1726.SM.5IFF5	GTEX.13113.1526.SM.5EGHV	GTEX.14B4R.1426.SM.5Q5CG	GTEX.13OVL.2926.SM.5IFG3	GTEX.X15G.2126.SM.4PQZR	TCGA.EY.A1GL.01A.11R.A13S.07
ARID4A	384.34	540.19	412.0	511.0	241.19	277.2	177.53	146.03	72.52	49.56	117.6	126.12	114.36	129.69	128.79	269.6	129.69	77.79	115.16	80.01
ASB7	208.38	198.47	199.85	226.54	128.79	214.27	144.01	175.07	76.17	110.43	141.02	88.88	112.77	82.29	92.05	166.73	161.02	96.01	127.0	98.73
ATE1	438.59	525.39	441.64	567.1	246.28	480.04	260.38	351.14	281.09	158.79	224.97	143.01	277.2	291.04	229.72	511.0	265.87	161.02	339.14	127.0
ATF2	669.92	802.41	743.43	693.58	656.11	802.41	358.54	441.64	183.82	224.97	361.04	381.68	454.09	208.38	195.72	379.04	348.71	226.54	384.34	209.84
ATRX	603.67	703.28	708.18	547.75	232.94	329.84	303.44	417.77	226.54	105.15	251.48	135.24	211.31	182.55	229.72	409.15	209.84	144.01	226.54	165.57
BOD1	1529.73	1519.15	1313.23	1508.65	1331.57	1015.93	890.44	813.63	599.49	785.88	909.17	842.36	728.11	514.56	575.03	872.1	647.07	698.41	872.1	595.34
C10orf88	159.9	187.71	170.25	232.94	109.66	140.04	112.77	106.63	88.26	87.65	89.51	83.45	79.45	77.25	57.49	156.59	100.83	73.54	110.43	65.72
C17orf80	389.72	450.94	351.14	723.08	285.03	381.68	189.02	244.57	154.42	124.37	220.32	143.01	197.09	117.6	122.64	301.33	164.42	131.51	236.21	106.63
CHD2	1015.93	1051.79	896.64	896.64	579.04	486.75	507.46	525.39	232.94	289.02	511.0	169.07	450.94	438.59	551.56	521.76	353.59	466.88	334.46	279.14
CLEC1A	154.42	80.57	95.34	61.68	226.54	66.65	74.58	47.5	32.59	18.7	47.5	34.26	20.41	15.11	13.42	52.08	6.73	9.41	19.39	35.76
CNOT2	1277.29	1359.57	1268.46	1697.45	785.88	961.07	967.76	854.13	642.59	616.37	723.08	616.37	796.86	796.86	579.04	995.0	660.68	708.18	941.27	595.34
CREBBP	961.07	1096.5	1015.93	1073.91	470.14	693.58	493.56	540.19	334.46	152.28	289.02	170.25	466.88	271.48	265.87	759.08	269.6	249.73	444.72	231.32
CTDSPL2	476.71	595.34	563.18	567.1	218.79	346.29	289.02	426.57	156.59	79.45	183.82	127.89	234.57	127.89	131.51	693.58	246.28	211.31	217.27	116.78
CYP21A2	58.3	34.26	33.06	78.89	154.42	14.67	48.52	5.28	8.06	5.36	70.01	3.23	10.63	4.5	3.82	47.84	5.54	1.79	14.67	4.82
DCP1A	392.44	392.44	490.14	460.44	194.36	269.6	221.86	187.71	92.7	56.28	153.34	92.05	181.28	88.88	120.94	253.23	209.84	119.26	201.25	87.03
DENND6A	503.95	511.0	551.56	417.77	341.51	314.17	264.03	215.77	142.01	135.24	193.01	164.42	256.78	163.28	149.12	381.68	194.36	153.34	206.94	111.21
DHH	8.45	10.0	6.94	15.68	19.53	8.65	21.63	14.56	2.07	1.97	2.01	1.07	7.69	2.81	0.0	14.24	1.2	2.05	5.77	1.28
DIP2C	299.25	314.17	329.84	435.55	169.07	232.94	158.79	139.07	38.4	18.29	96.01	44.25	111.21	52.08	61.25	212.78	115.16	72.01	141.02	38.95
DNAJC27	149.12	176.29	182.55	140.04	74.58	144.01	63.0	59.97	22.75	33.54	58.3	28.86	47.17	27.05	38.95	73.03	35.25	39.79	59.97	28.65
DSTYK	241.19	273.37	271.48	323.03	189.02	218.79	152.28	154.42	97.36	63.45	105.89	57.49	96.68	62.12	78.34	199.85	108.9	82.87	110.43	75.64
EBF1	271.48	358.54	511.0	287.01	96.68	123.5	127.0	105.15	19.82	8.71	17.51	8.32	71.5	34.26	14.45	88.88	24.99	12.55	57.08	34.02
EIF2S3	3280.18	3146.52	3168.41	3515.68	2956.17	4607.24	2032.85	1883.54	1950.0	1819.35	1467.37	2224.63	1857.6	1143.1	1639.59	2997.45	1685.71	1199.98	1936.53	1685.71
ELF2	878.17	934.76	961.07	1015.93	780.44	723.08	559.28	490.14	414.87	212.78	470.14	320.8	521.76	346.29	325.29	769.69	392.44	389.72	473.41	260.38
EP300	624.99	836.53	723.08	981.29	316.37	497.0	429.54	532.74	318.57	236.21	283.05	141.02	356.05	264.03	289.02	629.35	348.71	303.44	543.96	244.57
EPC2	718.08	785.88	738.29	656.11	303.44	551.56	318.57	301.33	205.5	124.37	301.33	191.67	301.33	180.02	152.28	291.04	246.28	152.28	279.14	145.02
FHL5	100.83	108.14	99.43	19.97	117.6	86.43	58.3	38.95	6.26	2.89	11.13	13.93	14.24	4.13	3.35	67.59	11.13	0.36	14.45	1.87
FLRT3	145.02	131.51	211.31	420.68	616.37	363.56	13.52	149.12	4.28	10.08	157.68	595.34	48.87	14.14	209.84	363.56	50.98	39.22	40.64	12.83
FRY	665.29	559.28	703.28	500.46	204.07	140.04	287.01	189.02	15.45	19.97	320.8	115.97	71.0	92.7	45.21	343.89	125.24	44.89	363.56	47.17
GAPVD1	429.54	500.46	543.96	651.58	241.19	339.14	361.04	503.95	320.8	180.02	226.54	157.68	381.68	287.01	226.54	503.95	267.73	180.02	279.14	187.71
GCC2	830.75	890.44	679.29	909.17	866.07	1268.46	373.81	376.41	88.26	59.97	507.46	116.78	198.47	146.03	175.07	336.79	299.25	206.94	149.12	172.65
GPATCH8	587.13	769.69	647.07	660.68	256.78	361.04	417.77	406.31	255.0	195.72	199.85	94.67	289.02	181.28	189.02	476.71	242.88	155.5	368.65	177.53
GPR34	299.25	162.14	251.48	426.57	169.07	155.5	77.25	177.53	9.41	11.13	76.71	26.47	107.38	25.35	28.45	108.14	68.55	29.27	69.03	5.87
HEATR5B	480.04	500.46	429.54	656.11	209.84	264.03	262.2	221.86	134.3	133.36	231.32	69.03	236.21	190.34	279.14	309.83	269.6	348.71	149.12	186.4
HMG20A	503.95	718.08	665.29	808.0	473.41	587.13	426.57	381.68	175.07	197.09	303.44	209.84	318.57	208.38	303.44	409.15	285.03	316.37	358.54	239.52
INPP5K	819.3	708.18	825.0	656.11	665.29	571.05	633.73	620.67	466.88	540.19	490.14	769.69	616.37	567.1	454.09	607.87	387.02	473.41	571.05	486.75
JAK1	1870.53	2287.2	2163.77	2384.37	2032.85	2104.58	1216.75	1757.34	486.75	595.34	1023.0	486.75	1135.2	486.75	684.02	1397.83	947.83	403.5	981.29	603.67
JAZF1	208.38	329.84	312.0	358.54	819.3	902.89	150.17	147.06	18.97	18.16	75.11	77.79	125.24	66.65	24.28	165.57	53.19	45.21	146.03	64.34
KIAA1377	148.09	224.97	211.31	151.22	154.42	493.56	113.56	47.17	6.11	1.36	285.03	21.32	45.21	28.04	14.89	72.52	25.35	17.25	20.71	12.45
KLHL3	74.58	92.05	122.64	185.11	183.82	138.1	43.32	41.81	7.11	7.51	38.67	18.16	20.26	18.97	16.75	49.56	18.16	10.47	38.4	8.25
KMT2A	607.87	703.28	796.86	579.04	205.5	334.46	231.32	346.29	136.19	88.26	204.07	52.45	220.32	178.77	193.01	262.2	206.94	169.07	214.27	91.41
LIMS3L	45.21	63.45	43.02	54.72	45.85	96.01	21.47	17.0	12.36	3.56	1.08	0.3	5.87	5.63	0.0	22.1	6.78	0.0	13.22	11.3
LINGO3	12.93	3.82	3.14	3.08	4.58	7.4	4.1	7.28	0.46	1.53	4.39	1.28	4.24	0.33	0.01	6.41	3.92	0.43	3.86	0.0
MACROD2	161.02	97.36	119.26	205.5	163.28	118.43	132.44	40.07	1.1	12.27	52.82	72.01	63.45	28.24	15.68	125.24	59.97	26.28	25.72	6.62
MAT2B	1806.78	1674.06	1685.71	2061.24	1936.53	2148.82	1268.46	1561.89	620.67	947.83	1605.83	1104.13	1529.73	669.92	669.92	1883.54	915.51	738.29	1340.84	698.41
MATR3	6426.31	6607.01	6471.02	7280.4	4450.27	5672.41	3665.02	3901.01	3639.7	2163.77	4066.71	2739.08	3639.7	2485.67	2090.03	4010.71	2956.17	2255.7	3955.48	2591.27
MBNL1	1781.89	1685.71	2047.0	1313.23	1175.27	1529.73	974.5	1159.07	866.07	698.41	723.08	1628.26	1008.9	753.83	507.46	1250.98	848.22	579.04	941.27	497.0
MED13L	1191.69	1350.18	1143.1	825.0	363.56	409.15	392.44	529.06	323.03	134.3	341.51	189.02	480.04	223.41	348.71	836.53	356.05	199.85	395.18	191.67
MOB1B	301.33	297.17	312.0	432.53	171.45	229.72	144.01	178.77	143.01	66.65	114.36	84.04	129.69	106.63	103.69	155.5	113.56	88.26	130.6	98.73
NSRP1	808.0	1037.29	796.86	718.08	599.49	674.59	583.07	563.18	480.04	265.87	688.78	248.0	417.77	438.59	358.54	703.28	483.38	483.38	497.0	435.55
NUB1	1674.06	1721.16	1721.16	2193.99	1467.37	1551.09	1175.27	1457.23	429.54	529.06	1081.39	780.44	1167.14	579.04	612.11	1175.27	743.43	638.15	1023.0	884.29
OLFML1	180.02	463.65	551.56	1037.29	947.83	460.44	123.5	193.01	25.91	18.7	32.36	17.9	53.57	130.6	34.26	167.9	13.72	54.72	256.78	9.63
OTUD7B	420.68	547.75	397.93	1151.06	226.54	297.17	253.23	239.52	131.51	96.01	169.07	85.22	159.9	132.44	136.19	332.14	150.17	69.52	199.85	88.26
PAN3	866.07	796.86	759.08	769.69	493.56	633.73	381.68	299.25	128.79	111.99	291.04	177.53	339.14	201.25	232.94	480.04	316.37	336.79	183.82	211.31
PBX2	1313.23	1498.22	1331.57	1662.49	1388.16	1066.48	1030.12	866.07	647.07	738.29	854.13	836.53	583.07	1015.93	738.29	1023.0	780.44	819.3	1135.2	665.29
PCDHA1	6.36	14.45	7.34	19.82	2.34	42.71	6.73	0.37	0.0	0.0	0.0	26.67	0.84	0.0	2.36	5.06	1.99	0.0	1.5	0.92
PCDHA10	24.81	79.45	28.04	1250.98	19.39	55.49	12.83	2.07	0.41	0.0	3.47	10.55	0.0	1.2	4.13	16.15	3.26	0.43	5.19	3.89
PCDHB4	180.02	107.38	113.56	265.87	173.85	127.89	32.13	31.45	1.99	3.2	26.67	8.65	29.06	19.11	2.89	53.57	35.76	2.86	36.01	6.21
PDE2A	555.41	432.53	748.61	249.73	595.34	264.03	226.54	209.84	39.5	36.53	130.6	18.16	55.1	55.49	48.52	241.19	87.65	32.13	111.99	137.14
PFKFB2	221.86	249.73	267.73	343.89	1111.82	669.92	389.72	195.72	265.87	55.49	157.68	165.57	236.21	133.36	111.99	403.5	212.78	89.51	201.25	111.99
PHF3	988.12	1066.48	1008.9	947.83	480.04	571.05	476.71	529.06	217.27	205.5	409.15	221.86	400.71	255.0	169.07	529.06	346.29	251.48	348.71	229.72
PHF8	406.31	493.56	397.93	441.64	353.59	358.54	353.59	281.09	212.78	211.31	303.44	113.56	209.84	165.57	198.47	460.44	303.44	163.28	363.56	183.82
PHIP	547.75	620.67	665.29	529.06	214.27	273.37	258.57	291.04	152.28	93.35	217.27	170.25	232.94	141.02	175.07	249.73	166.73	140.04	182.55	95.34
PIAS1	753.83	785.88	808.0	698.41	429.54	575.03	723.08	521.76	146.03	297.17	343.89	201.25	470.14	397.93	511.0	591.22	669.92	358.54	351.14	189.02
PIGB	438.59	412.0	368.65	493.56	339.14	591.22	295.11	262.2	108.9	158.79	351.14	536.45	162.14	205.5	156.59	293.07	169.07	236.21	212.78	220.32
PMP22	3716.2	4210.15	4268.94	2796.65	6121.9	4869.99	1883.54	1628.26	447.82	320.8	616.37	463.65	1127.35	209.84	248.0	2104.58	432.53	118.43	825.0	389.72
PPAP2A	2319.15	2451.44	2193.99	1639.59	2417.67	2004.85	1286.18	769.69	279.14	642.59	567.1	669.92	403.5	303.44	236.21	1096.5	371.22	237.86	521.76	283.05
PREX2	82.29	74.06	165.57	99.43	169.07	660.68	42.41	40.36	16.75	7.46	18.16	5.73	15.8	23.76	5.68	50.63	5.77	3.66	25.72	25.35
PTPN9	480.04	660.68	529.06	624.99	511.0	525.39	480.04	483.38	175.07	285.03	444.72	214.27	275.28	209.84	165.57	343.89	231.32	116.78	329.84	295.11
PTPRB	262.2	283.05	392.44	208.38	209.84	98.73	176.29	118.43	42.71	25.17	30.12	49.91	50.63	29.48	16.88	115.16	37.85	15.56	40.64	31.45
PTPRM	759.08	698.41	1073.91	579.04	1794.29	400.71	470.14	371.22	118.43	87.03	343.89	521.76	256.78	155.5	99.43	466.88	165.57	62.56	144.01	177.53
PUM2	1685.71	1857.6	1697.45	1745.2	872.1	1183.45	854.13	1233.75	796.86	463.65	1015.93	483.38	1111.82	457.25	842.36	967.76	934.76	802.41	954.43	612.11
RABGAP1	878.17	1030.12	878.17	947.83	426.57	698.41	743.43	775.05	559.28	314.17	591.22	249.73	575.03	587.13	432.53	995.0	497.0	543.96	759.08	511.0
RBM22	1023.0	1066.48	1111.82	1242.34	884.29	988.12	819.3	651.58	363.56	748.61	651.58	551.56	728.11	414.87	397.93	733.19	616.37	674.59	769.69	547.75
RCOR3	1199.98	1167.14	1081.39	1135.2	848.22	1216.75	759.08	316.37	262.2	305.55	312.0	665.29	463.65	376.41	341.51	748.61	503.95	397.93	426.57	255.0
RECK	228.13	447.82	400.71	486.75	183.82	251.48	66.18	133.36	16.27	9.13	55.89	29.7	115.97	46.84	20.11	182.55	49.56	14.14	140.04	33.06
RNF111	392.44	441.64	417.77	575.03	348.71	500.46	329.84	332.14	105.15	248.0	253.23	198.47	262.2	301.33	281.09	389.72	303.44	142.01	262.2	152.28
RNF169	218.79	253.23	223.41	273.37	56.68	121.79	115.97	154.42	119.26	63.89	69.03	37.05	152.28	77.79	102.25	183.82	90.14	71.5	155.5	35.0
RNF19A	967.76	928.3	1242.34	915.51	1242.34	2720.15	947.83	638.15	237.86	244.57	547.75	403.5	543.96	307.69	361.04	1427.22	339.14	211.31	384.34	483.38
RP11-156E8.1	22.59	12.27	24.63	6.21	28.86	23.42	24.99	3.56	5.06	4.9	15.11	11.47	9.78	8.32	5.41	21.16	5.63	7.46	11.82	5.87
RPRD2	587.13	698.41	679.29	713.11	432.53	698.41	426.57	438.59	253.23	281.09	277.2	206.94	403.5	205.5	356.05	559.28	400.71	194.36	529.06	181.28
RSRC2	2018.8	3060.45	1991.0	2133.97	1467.37	1561.89	1447.15	1417.35	1104.13	1111.82	1733.13	909.17	1350.18	954.43	1008.9	1674.06	1519.15	1242.34	1378.57	1151.06
SCN7A	29.7	50.63	131.51	164.42	52.08	22.59	7.82	9.27	0.0	0.6	9.48	25.54	26.47	4.28	8.99	31.0	17.38	4.1	13.22	0.65
SEMA6D	387.02	708.18	555.41	1583.71	305.55	260.38	58.3	58.3	9.85	2.71	9.06	11.38	35.0	75.64	7.34	103.69	15.0	37.05	130.6	8.06
SEPT10	1674.06	1674.06	1844.76	1806.78	669.92	1001.93	1277.29	1059.11	954.43	728.11	825.0	890.44	1127.35	769.69	785.88	1457.23	1104.13	759.08	1111.82	511.0
SERINC3	2224.63	2303.12	2400.97	2032.85	1794.29	2287.2	1870.53	2061.24	995.0	780.44	1268.46	688.78	1127.35	988.12	1143.1	2178.83	1331.57	967.76	1096.5	1250.98
SKIL	384.34	426.57	406.31	490.14	348.71	540.19	444.72	457.25	141.02	244.57	193.01	186.4	215.77	189.02	115.16	314.17	183.82	94.01	241.19	191.67
SLPI	7280.4	3614.55	3303.0	2701.35	2986448.72	2053992.24	69271.73	180294.02	20310.37	48643.87	1524599.69	938500.81	331809.5	350728.68	1355129.16	145432.49	345900.08	542775.98	133825.1	32767.0
SP3	1407.55	1561.89	1551.09	1594.73	981.29	1551.09	813.63	928.3	583.07	521.76	708.18	503.95	884.29	575.03	368.65	1073.91	521.76	346.29	1044.52	336.79
STAG2	1487.87	1605.83	1498.22	1572.76	629.35	1008.9	638.15	813.63	583.07	297.17	595.34	466.88	633.73	363.56	486.75	1225.22	555.41	389.72	543.96	387.02
STXBP3	1037.29	1051.79	1023.0	1023.0	813.63	915.51	941.27	764.36	336.79	511.0	988.12	426.57	679.29	432.53	438.59	860.08	373.81	514.56	432.53	476.71
SUSD5	24.63	38.95	12.64	30.34	26.67	143.01	18.7	15.91	0.65	0.72	4.78	4.13	15.8	1.39	5.41	27.25	6.89	1.51	2.36	10.88
TRIM17	108.14	57.49	66.18	59.97	316.37	57.49	47.5	61.25	61.25	42.11	85.82	29.06	36.53	17.13	12.74	267.73	27.44	14.89	80.01	8.71
TRIM23	301.33	348.71	303.44	460.44	136.19	173.85	77.25	116.78	62.56	32.59	75.64	65.72	113.56	69.03	43.02	154.42	122.64	76.71	98.04	48.87
TRIM33	429.54	493.56	497.0	559.28	273.37	423.61	426.57	327.56	113.56	171.45	194.36	152.28	237.86	281.09	271.48	384.34	312.0	221.86	175.07	127.89
TRPC1	129.69	115.16	197.09	131.51	69.03	107.38	41.52	41.22	2.97	31.9	30.12	22.92	23.08	25.72	4.66	43.94	17.9	8.78	28.04	9.34
TSHZ1	423.61	483.38	540.19	674.59	2104.58	3168.41	277.2	287.01	78.34	166.73	217.27	70.51	249.73	187.71	97.36	454.09	144.01	92.7	281.09	120.94
TSPYL4	595.34	559.28	624.99	819.3	511.0	571.05	249.73	178.77	107.38	134.3	332.14	89.51	232.94	126.12	89.51	384.34	301.33	131.51	224.97	135.24
TXNDC16	285.03	299.25	258.57	463.65	221.86	237.86	94.67	78.34	53.19	44.25	62.12	44.57	113.56	20.56	30.12	133.36	77.79	30.78	31.0	34.02
UIMC1	551.56	674.59	642.59	450.94	616.37	525.39	638.15	473.41	161.02	384.34	438.59	332.14	400.71	277.2	248.0	426.57	232.94	223.41	381.68	293.07
VSIG10	353.59	339.14	376.41	476.71	693.58	728.11	507.46	140.04	281.09	95.34	125.24	293.07	287.01	87.03	172.65	808.0	138.1	226.54	176.29	190.34
WDR81	547.75	507.46	412.0	336.79	791.35	674.59	429.54	420.68	339.14	371.22	457.25	211.31	269.6	181.28	165.57	525.39	269.6	107.38	426.57	242.88
WHAMM	297.17	273.37	299.25	217.27	204.07	171.45	204.07	164.42	59.97	142.01	182.55	76.71	167.9	151.22	147.06	183.82	176.29	144.01	129.69	101.54
WWC2	316.37	450.94	309.83	473.41	241.19	248.0	180.02	173.85	20.71	17.64	65.72	94.67	149.12	82.29	124.37	145.02	72.52	42.71	118.43	59.97
ZBTB37	71.0	79.45	107.38	150.17	39.79	62.56	28.65	28.65	14.67	14.89	25.54	24.63	24.81	11.73	17.13	34.75	22.59	14.45	28.65	14.89
ZDHHC17	612.11	674.59	825.0	684.02	384.34	514.56	273.37	171.45	127.0	68.55	152.28	80.01	127.89	106.63	79.45	206.94	109.66	109.66	171.45	98.04
ZFP91	791.35	819.3	884.29	848.22	503.95	718.08	633.73	848.22	616.37	476.71	536.45	244.57	679.29	497.0	441.64	974.5	633.73	371.22	559.28	366.09
ZMYND11	1487.87	1794.29	1662.49	2434.5	974.5	1268.46	1208.34	718.08	579.04	199.85	753.83	511.0	866.07	595.34	525.39	1037.29	684.02	575.03	679.29	521.76
ZNF225	102.97	123.5	99.43	189.02	55.1	90.77	45.85	50.27	27.64	20.56	50.98	17.77	27.64	16.15	21.16	46.5	30.12	24.28	45.85	26.47
ZNF45	258.57	332.14	318.57	435.55	132.44	255.0	107.38	156.59	92.7	81.14	136.19	34.51	114.36	99.43	108.14	218.79	117.6	133.36	108.14	55.49
ZNF510	231.32	281.09	251.48	264.03	121.79	237.86	91.41	143.01	53.95	26.28	76.17	50.98	69.52	45.85	45.85	102.97	82.29	72.01	75.64	71.5
ZNF532	813.63	1044.52	1104.13	1143.1	698.41	733.19	493.56	559.28	156.59	253.23	295.11	73.54	195.72	305.55	205.5	669.92	325.29	148.09	518.15	212.78
ZNF621	197.09	264.03	234.57	329.84	119.26	249.73	118.43	88.88	36.01	40.64	72.01	52.08	63.89	54.72	73.03	126.12	75.64	59.55	55.89	58.3
ZNF689	872.1	406.31	181.28	181.28	134.3	164.42	98.73	133.36	63.89	71.5	96.68	63.89	98.04	59.97	52.82	133.36	86.43	48.52	93.35	50.98
ZNF740	684.02	620.67	651.58	674.59	454.09	447.82	277.2	346.29	215.77	255.0	323.03	172.65	312.0	229.72	229.72	480.04	249.73	291.04	229.72	249.73
ZNF791	438.59	480.04	521.76	379.04	223.41	361.04	195.72	206.94	143.01	102.97	154.42	105.15	191.67	153.34	134.3	262.2	208.38	122.64	161.02	136.19
