	GTEX.U8XE.1326.SM.4E3JK	GTEX.U8XE.1826.SM.4E3HV	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.KK.A8IG.01A.11R.A36G.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.KC.A7F3.01A.21R.A33R.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.KK.A8I9.01A.11R.A36G.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6342.11A.02R.1965.07	GTEX.XQ3S.2526.SM.4BOOG	GTEX.YJ8A.1126.SM.5IFJU	GTEX.144GM.0826.SM.5O98R	GTEX.11WQK.2726.SM.5EQMU	GTEX.ZUA1.2826.SM.59HLE	GTEX.132NY.2826.SM.5P9G2	GTEX.11TUW.2126.SM.5GU7B
C11orf96	40341.14	7695.57	567.1	260.38	819.3	791.35	116.78	287.01	1268.46	679.29	3491.39	129.69	336.79	162.14	1769.57	209.84	167.9	995.0	320.8	454.09	208.38	915.51	312.0	738.29	974.5	941.27	1359.57	1540.37	1909.85	343.89	591.22	231.32	435.55	1225.22	607.87	1030.12	1388.16	262.2	435.55	244.57	183.82	6207.38	4639.29	2573.36	99.43	164.42	1008.9
C22orf24	4.94	6.21	37.32	5.5	2.48	11.82	2.94	1.01	26.1	3.26	7.06	1.75	0.36	1.03	18.43	3.92	0.0	10.79	0.0	1.36	2.1	4.35	2.53	7.06	0.68	5.82	14.45	14.56	17.13	3.56	9.34	1.73	0.66	10.47	1.45	2.56	7.17	1.77	1.85	0.68	3.99	11.04	24.28	8.92	6.57	4.82	22.43
CARS	1313.23	1331.57	842.36	718.08	674.59	825.0	660.68	579.04	878.17	591.22	603.67	563.18	595.34	698.41	612.11	703.28	595.34	612.11	521.76	647.07	575.03	665.29	713.11	764.36	656.11	525.39	808.0	642.59	928.3	583.07	599.49	620.67	665.29	791.35	616.37	595.34	825.0	599.49	559.28	633.73	583.07	743.43	915.51	1769.57	483.38	493.56	1037.29
CCDC9	1769.57	1628.26	1508.65	591.22	521.76	780.44	733.19	490.14	1250.98	575.03	748.61	591.22	595.34	387.02	981.29	607.87	579.04	490.14	397.93	660.68	769.69	563.18	642.59	656.11	679.29	571.05	819.3	759.08	842.36	647.07	629.35	688.78	376.41	802.41	480.04	503.95	688.78	728.11	529.06	438.59	500.46	1119.56	1583.71	1023.0	395.18	525.39	764.36
CCL7	3.79	5.11	8.78	0.0	5.28	15.56	1.53	2.32	14.89	0.99	7.63	0.0	0.0	2.01	16.88	0.0	3.14	0.0	1.04	1.28	2.71	9.85	0.64	9.13	1.69	17.64	37.05	24.81	87.03	0.0	4.82	0.0	0.95	13.83	0.0	0.0	6.94	1.33	0.0	0.0	0.0	24.99	11.13	14.45	0.0	3.26	0.0
CCRN4L	171.45	138.1	60.39	36.01	40.93	88.88	65.72	34.26	65.26	57.08	74.06	41.52	25.35	45.21	84.04	28.65	18.97	107.38	44.89	25.91	11.21	77.79	46.5	34.75	43.32	108.9	98.73	202.66	60.39	14.67	16.03	26.67	23.08	77.25	72.52	29.27	47.17	22.59	31.9	21.47	25.35	105.15	156.59	124.37	21.94	14.14	61.25
CLPX	540.19	718.08	518.15	275.28	441.64	665.29	414.87	332.14	532.74	454.09	441.64	435.55	275.28	351.14	575.03	463.65	409.15	463.65	507.46	289.02	368.65	529.06	454.09	373.81	373.81	759.08	555.41	450.94	417.77	312.0	312.0	312.0	392.44	497.0	473.41	277.2	409.15	358.54	314.17	309.83	289.02	543.96	612.11	525.39	297.17	299.25	486.75
CLUH	1015.93	1143.1	854.13	674.59	607.87	884.29	995.0	500.46	825.0	647.07	825.0	728.11	591.22	587.13	909.17	647.07	688.78	890.44	551.56	743.43	633.73	1225.22	780.44	785.88	723.08	884.29	974.5	579.04	1242.34	1044.52	802.41	733.19	764.36	547.75	780.44	518.15	629.35	642.59	587.13	466.88	796.86	902.89	1001.93	1757.34	559.28	759.08	1059.11
CSNK1A1	2777.33	3690.52	5791.62	1477.58	3540.14	5041.77	2451.44	2367.9	5183.54	2777.33	2451.44	2555.58	2193.99	2287.2	3742.05	3018.3	1977.24	2682.69	3018.3	1457.23	2255.7	2573.36	2645.74	2609.3	2367.9	5479.15	3395.89	5076.84	2627.46	1397.83	1819.35	1936.53	1806.78	3665.02	2451.44	2287.2	2682.69	2835.7	2319.15	1963.57	1819.35	4639.29	5366.37	4543.8	2178.83	1721.16	5672.41
CTD-2006C1.10	12.74	4.43	12.55	0.0	4.31	4.03	4.58	0.0	13.83	0.0	0.0	1.95	0.0	0.3	7.11	0.0	0.0	0.0	2.84	3.89	2.61	0.3	0.0	0.0	2.32	0.0	11.21	8.92	13.72	3.29	0.0	0.0	0.0	0.0	0.0	2.73	3.06	0.0	0.0	0.0	0.0	5.32	14.24	9.27	0.51	0.0	17.13
DDX21	1685.71	1674.06	1388.16	299.25	503.95	1208.34	624.99	384.34	1208.34	624.99	642.59	529.06	226.54	656.11	848.22	414.87	400.71	848.22	665.29	242.88	275.28	587.13	511.0	486.75	486.75	1369.04	718.08	954.43	1051.79	283.05	206.94	297.17	307.69	860.08	444.72	226.54	591.22	353.59	299.25	314.17	239.52	1159.07	1359.57	1295.13	281.09	161.02	1037.29
DENND4A	435.55	438.59	343.89	94.01	134.3	248.0	146.03	127.0	358.54	153.34	134.3	187.71	114.36	102.97	197.09	161.02	169.07	206.94	228.13	102.97	81.71	199.85	159.9	161.02	191.67	303.44	239.52	246.28	325.29	154.42	176.29	121.79	127.89	172.65	165.57	126.12	133.36	142.01	108.9	89.51	103.69	264.03	336.79	348.71	132.44	118.43	251.48
DICER1	988.12	1572.76	825.0	146.03	287.01	1167.14	480.04	186.4	547.75	497.0	291.04	283.05	154.42	217.27	872.1	429.54	237.86	454.09	285.03	121.79	138.1	429.54	291.04	529.06	277.2	1015.93	366.09	450.94	379.04	155.5	226.54	198.47	579.04	336.79	285.03	197.09	224.97	236.21	156.59	169.07	141.02	540.19	583.07	540.19	218.79	122.64	435.55
EIF2S1	1628.26	2178.83	1674.06	1225.22	1369.04	1844.76	1322.37	1044.52	1350.18	1794.29	1594.73	1561.89	1037.29	1167.14	1857.6	1331.57	1167.14	1051.79	1651.0	1059.11	1030.12	1561.89	1477.58	1529.73	1051.79	2119.22	1331.57	1832.01	1135.2	872.1	599.49	941.27	915.51	1447.15	1477.58	1096.5	1286.18	1340.84	1001.93	1199.98	1183.45	1819.35	1844.76	1733.13	1407.55	961.07	1242.34
EIF2S2	1583.71	1628.26	1295.13	1242.34	1250.98	1572.76	1167.14	1073.91	1508.65	1104.13	1268.46	1037.29	909.17	1277.29	1322.37	1143.1	1286.18	1378.57	1199.98	1242.34	684.02	1104.13	1088.92	1159.07	1081.39	1191.69	1417.35	1242.34	1350.18	954.43	769.69	1073.91	896.64	1304.15	1250.98	928.3	1388.16	1044.52	1008.9	1167.14	921.88	1322.37	1594.73	1733.13	1015.93	753.83	1639.59
ELF2	738.29	791.35	1143.1	297.17	563.18	1088.92	368.65	463.65	961.07	559.28	595.34	429.54	476.71	460.44	629.35	480.04	507.46	624.99	518.15	336.79	381.68	521.76	454.09	423.61	486.75	571.05	764.36	567.1	802.41	363.56	454.09	511.0	497.0	769.69	395.18	403.5	423.61	607.87	417.77	358.54	454.09	854.13	1304.15	703.28	480.04	470.14	1081.39
ELL	890.44	1030.12	260.38	191.67	180.02	228.13	191.67	183.82	291.04	198.47	258.57	176.29	187.71	152.28	307.69	154.42	138.1	198.47	148.09	197.09	214.27	229.72	195.72	218.79	208.38	205.5	267.73	249.73	293.07	175.07	182.55	186.4	215.77	241.19	172.65	96.68	218.79	157.68	180.02	136.19	151.22	480.04	320.8	346.29	148.09	183.82	291.04
ENDOU	38.95	29.27	6.01	0.0	2.07	4.54	6.31	1.66	7.88	3.32	5.59	4.82	7.0	1.68	3.53	1.28	2.92	3.5	4.74	2.41	2.84	6.06	3.32	10.96	6.11	4.06	7.28	7.4	6.46	2.07	6.36	0.89	2.43	4.21	8.32	1.33	2.53	4.82	2.16	2.03	3.14	9.2	16.15	35.76	1.93	2.66	12.27
ETF1	2104.58	2319.15	1467.37	575.03	961.07	1477.58	819.3	866.07	1467.37	988.12	1037.29	698.41	796.86	1008.9	1313.23	665.29	743.43	1151.06	1199.98	660.68	669.92	981.29	884.29	830.75	890.44	1397.83	1175.27	1572.76	1167.14	595.34	656.11	848.22	693.58	1216.75	1030.12	624.99	1051.79	961.07	961.07	878.17	738.29	1781.89	1561.89	1936.53	819.3	665.29	1583.71
GART	1151.06	1304.15	753.83	669.92	366.09	934.76	808.0	536.45	830.75	878.17	665.29	848.22	432.53	723.08	775.05	688.78	607.87	728.11	713.11	603.67	612.11	928.3	830.75	603.67	612.11	941.27	764.36	723.08	669.92	591.22	486.75	490.14	525.39	665.29	660.68	435.55	595.34	540.19	444.72	518.15	457.25	813.63	825.0	1191.69	392.44	366.09	703.28
GCH1	497.0	267.73	325.29	82.29	162.14	262.2	127.89	202.66	212.78	120.94	221.86	112.77	51.71	120.94	87.65	96.01	105.15	130.6	118.43	108.9	75.64	108.14	94.01	130.6	154.42	130.6	143.01	111.99	198.47	73.54	109.66	104.42	88.88	171.45	102.25	85.22	95.34	65.72	96.01	76.17	77.25	392.44	343.89	389.72	70.51	67.59	211.31
GPR3	125.24	107.38	27.44	6.73	7.88	14.67	7.94	3.76	50.27	11.04	30.12	3.44	5.36	1.22	57.89	1.95	1.25	10.88	14.03	4.46	1.58	9.41	11.04	18.16	24.46	12.36	22.1	46.5	63.89	2.32	8.71	5.23	5.54	41.81	6.67	8.13	25.54	8.99	7.51	5.23	5.96	150.17	96.01	59.97	4.21	5.92	23.59
GRAMD1A	5183.54	3794.3	2133.97	1417.35	1259.69	1769.57	1540.37	1769.57	1870.53	1745.2	1295.13	1697.45	1096.5	1769.57	1477.58	1081.39	1340.84	2004.85	1030.12	2004.85	1175.27	2104.58	2777.33	2061.24	1477.58	1104.13	2104.58	1313.23	2645.74	1769.57	1883.54	1651.0	1721.16	2224.63	2018.8	921.88	2075.59	1023.0	1143.1	974.5	1350.18	2701.35	3146.52	2351.53	791.35	1561.89	2255.7
GSPT1	1427.22	1697.45	2090.03	1467.37	1457.23	2032.85	1540.37	1216.75	2271.4	1519.15	1674.06	1662.49	1023.0	1529.73	2133.97	1561.89	1417.35	2075.59	2047.0	1233.75	1350.18	1819.35	1467.37	1551.09	1037.29	2485.67	1757.34	2148.82	2018.8	1135.2	830.75	1295.13	995.0	1896.65	2119.22	1167.14	1685.71	1427.22	1216.75	1159.07	1127.35	1721.16	2485.67	2645.74	1369.04	954.43	2287.2
GTPBP4	995.0	995.0	995.0	493.56	551.56	1008.9	599.49	525.39	866.07	748.61	603.67	575.03	376.41	587.13	819.3	480.04	493.56	457.25	612.11	624.99	647.07	620.67	571.05	540.19	688.78	642.59	791.35	669.92	813.63	587.13	463.65	514.56	563.18	802.41	466.88	460.44	624.99	540.19	507.46	420.68	435.55	748.61	860.08	928.3	397.93	316.37	656.11
HEATR5A	231.32	234.57	163.28	155.5	223.41	255.0	193.01	173.85	229.72	215.77	320.8	277.2	126.12	170.25	217.27	255.0	244.57	279.14	269.6	149.12	191.67	320.8	204.07	197.09	224.97	412.0	226.54	221.86	316.37	150.17	223.41	127.89	163.28	241.19	241.19	173.85	218.79	121.79	147.06	176.29	166.73	198.47	403.5	483.38	143.01	105.15	242.88
HIF1A	3103.19	4419.52	1477.58	316.37	1135.2	2335.28	587.13	921.88	1508.65	1594.73	1111.82	909.17	802.41	1151.06	1844.76	1119.56	624.99	872.1	1437.15	612.11	547.75	1447.15	830.75	1066.48	1183.45	2148.82	928.3	1963.57	1651.0	629.35	420.68	698.41	769.69	1059.11	941.27	974.5	947.83	1059.11	896.64	651.58	674.59	3060.45	2573.36	2287.2	934.76	559.28	1832.01
HK2	325.29	289.02	1417.35	214.27	198.47	836.53	514.56	150.17	414.87	387.02	172.65	389.72	127.0	480.04	454.09	361.04	265.87	397.93	397.93	211.31	83.45	447.82	193.01	132.44	318.57	909.17	599.49	486.75	647.07	217.27	187.71	148.09	457.25	426.57	511.0	258.57	323.03	94.01	70.01	191.67	41.81	356.05	728.11	295.11	124.37	59.55	555.41
HRH1	466.88	656.11	199.85	6.78	21.63	108.9	3.66	29.7	178.77	16.15	35.0	7.51	14.78	7.22	48.87	8.13	9.34	17.77	24.28	11.21	19.97	47.5	24.81	76.17	22.92	52.08	148.09	40.36	470.14	4.58	17.51	10.39	16.15	138.1	22.43	6.11	23.25	17.51	10.16	15.34	20.11	426.57	134.3	82.29	11.38	17.0	126.12
HS3ST2	45.85	6.41	860.08	30.12	65.72	343.89	12.64	12.36	521.76	35.0	23.42	6.94	3.96	22.1	118.43	6.94	8.25	22.26	12.36	27.44	12.83	72.52	16.39	23.25	16.27	323.03	22.75	116.78	177.53	19.39	98.73	16.63	43.63	138.1	14.35	72.01	73.03	9.41	15.11	34.02	5.41	83.45	389.72	81.71	5.54	10.31	397.93
IARS	1757.34	1628.26	941.27	674.59	854.13	1023.0	967.76	624.99	967.76	902.89	796.86	1051.79	684.02	988.12	954.43	830.75	780.44	1191.69	961.07	543.96	679.29	1044.52	1127.35	718.08	780.44	1388.16	890.44	1051.79	775.05	633.73	447.82	780.44	616.37	854.13	961.07	595.34	836.53	941.27	595.34	656.11	629.35	830.75	1427.22	1225.22	547.75	497.0	1617.0
IRF1	1639.59	1870.53	1674.06	429.54	791.35	988.12	500.46	318.57	2271.4	656.11	1159.07	307.69	457.25	438.59	2319.15	379.04	217.27	1175.27	353.59	915.51	289.02	1216.75	265.87	1111.82	967.76	1104.13	2537.92	3235.01	1447.15	353.59	563.18	232.94	447.82	2104.58	583.07	579.04	1135.2	343.89	264.03	486.75	438.59	2502.97	6381.92	2997.45	132.44	466.88	1709.26
KIAA0226L	94.67	81.14	52.82	5.41	29.48	51.35	4.24	21.94	131.51	17.0	32.59	19.25	23.59	7.94	17.51	7.17	11.21	15.91	28.24	20.26	12.0	64.34	22.75	38.95	24.81	31.45	42.41	34.26	122.64	10.55	36.79	30.12	8.19	29.91	10.24	14.89	35.25	13.22	44.25	25.72	23.25	198.47	125.24	136.19	3.23	15.22	64.34
KLK3	10.47	13.72	881742.8	1345768.59	1005860.33	682276.92	1116072.03	1212874.47	845824.19	1116072.03	687022.54	1063212.58	1055868.42	1187913.85	1093103.58	1139523.1	919186.72	906531.99	1327240.99	1147449.11	1412675.8	672883.8	1238359.56	1327240.99	1196176.45	805764.22	475800.4	589853.66	223512.12	1212874.47	672883.8	736332.6	1345768.59	828417.36	1472666.19	1229805.58	649962.87	1019901.63	925580.18	1063212.58	309589.14	104271.56	142439.51	124000.67	373305.21	273275.14	271387.49
LARP4	713.11	616.37	473.41	162.14	281.09	343.89	305.55	283.05	483.38	273.37	269.6	297.17	221.86	273.37	403.5	248.0	281.09	457.25	429.54	165.57	209.84	406.31	303.44	242.88	265.87	679.29	316.37	518.15	392.44	234.57	204.07	241.19	246.28	339.14	339.14	187.71	246.28	281.09	256.78	231.32	202.66	532.74	890.44	603.67	201.25	171.45	620.67
LYN	332.14	323.03	275.28	126.12	269.6	139.07	145.02	226.54	273.37	214.27	273.37	204.07	239.52	209.84	387.02	253.23	170.25	551.56	346.29	193.01	334.46	435.55	244.57	444.72	223.41	571.05	336.79	454.09	473.41	212.78	221.86	163.28	332.14	258.57	334.46	209.84	400.71	166.73	195.72	215.77	191.67	432.53	791.35	921.88	144.01	234.57	525.39
MIEF1	295.11	305.55	397.93	208.38	297.17	363.56	379.04	242.88	336.79	346.29	291.04	339.14	271.48	329.84	341.51	275.28	248.0	412.0	309.83	214.27	277.2	397.93	312.0	318.57	244.57	353.59	297.17	480.04	279.14	258.57	220.32	303.44	205.5	348.71	312.0	242.88	346.29	291.04	246.28	262.2	262.2	356.05	575.03	395.18	279.14	239.52	438.59
NAA25	273.37	346.29	195.72	87.03	137.14	146.03	152.28	117.6	212.78	181.28	142.01	145.02	93.35	125.24	161.02	136.19	164.42	167.9	173.85	92.7	99.43	173.85	149.12	194.36	131.51	244.57	165.57	201.25	158.79	121.79	96.68	131.51	125.24	149.12	134.3	90.77	134.3	151.22	105.15	109.66	105.15	206.94	218.79	267.73	81.14	72.52	201.25
NARF	3124.78	3280.18	3146.52	1685.71	1216.75	3491.39	1350.18	1104.13	3060.45	1617.0	1216.75	1467.37	860.08	1322.37	1322.37	1651.0	1437.15	1151.06	974.5	1936.53	1151.06	1733.13	1331.57	1167.14	1457.23	1832.01	1781.89	1447.15	2434.5	1233.75	1417.35	1104.13	995.0	2075.59	981.29	1437.15	1685.71	1277.29	988.12	1447.15	1259.69	1617.0	3665.02	2335.28	1268.46	1369.04	2609.3
NFIL3	4671.57	3564.78	2351.53	825.0	1127.35	490.14	934.76	921.88	2193.99	941.27	1111.82	1427.22	1001.93	563.18	2240.11	1001.93	457.25	1819.35	1397.83	753.83	460.44	934.76	1030.12	1143.1	1909.85	2451.44	1936.53	3639.7	1407.55	334.46	780.44	764.36	708.18	2090.03	1030.12	1313.23	1397.83	878.17	1225.22	703.28	466.88	3235.01	4328.55	2351.53	583.07	575.03	2976.74
NOLC1	2119.22	1883.54	2303.12	928.3	1529.73	2193.99	1295.13	1313.23	1963.57	1359.57	1191.69	1378.57	1183.45	1977.24	1819.35	1250.98	1051.79	1508.65	1369.04	1044.52	1199.98	1322.37	1359.57	1250.98	1572.76	2240.11	1697.45	1733.13	1583.71	1037.29	802.41	1233.75	1001.93	1745.2	738.29	1191.69	1388.16	1191.69	1096.5	1407.55	921.88	1963.57	2434.5	2240.11	896.64	836.53	1963.57
NUDCD1	334.46	406.31	169.07	89.51	159.9	209.84	127.0	150.17	201.25	173.85	197.09	153.34	106.63	157.68	144.01	131.51	177.53	258.57	242.88	117.6	175.07	173.85	170.25	120.94	149.12	228.13	189.02	163.28	258.57	155.5	114.36	129.69	120.1	205.5	149.12	115.16	166.73	165.57	128.79	113.56	127.0	239.52	281.09	389.72	92.05	115.16	217.27
NUFIP2	579.04	490.14	307.69	163.28	236.21	332.14	242.88	214.27	295.11	269.6	224.97	275.28	202.66	256.78	295.11	232.94	201.25	373.81	318.57	170.25	167.9	305.55	232.94	221.86	258.57	536.45	279.14	457.25	264.03	173.85	177.53	198.47	231.32	279.14	264.03	171.45	289.02	226.54	193.01	206.94	195.72	454.09	353.59	454.09	193.01	166.73	351.14
NUP98	2032.85	1561.89	2271.4	656.11	988.12	1662.49	896.64	1066.48	1594.73	785.88	961.07	934.76	796.86	915.51	1225.22	733.19	551.56	1030.12	808.0	753.83	967.76	934.76	928.3	1051.79	769.69	1583.71	995.0	1066.48	1199.98	703.28	713.11	753.83	764.36	1340.84	1023.0	679.29	1066.48	1008.9	830.75	748.61	723.08	1407.55	1806.78	1721.16	684.02	738.29	1685.71
OSMR	2627.46	3146.52	967.76	108.14	395.18	764.36	170.25	301.33	1088.92	295.11	244.57	198.47	218.79	206.94	305.55	190.34	164.42	277.2	303.44	183.82	108.9	381.68	249.73	441.64	299.25	1277.29	438.59	438.59	1044.52	152.28	204.07	191.67	190.34	457.25	221.86	165.57	403.5	197.09	242.88	176.29	121.79	791.35	1001.93	915.51	72.52	173.85	738.29
PDK1	921.88	819.3	86.43	50.98	113.56	111.21	136.19	71.0	90.77	125.24	75.11	107.38	59.55	108.9	93.35	107.38	118.43	183.82	181.28	75.11	89.51	98.04	108.14	146.03	105.89	166.73	84.63	86.43	92.7	75.64	62.12	62.12	94.01	99.43	100.83	77.25	94.67	71.0	56.28	71.0	62.56	131.51	223.41	237.86	103.69	65.72	265.87
PGM2	688.78	660.68	629.35	293.07	400.71	412.0	234.57	248.0	656.11	400.71	409.15	277.2	215.77	318.57	417.77	289.02	249.73	387.02	334.46	260.38	107.38	500.46	279.14	441.64	293.07	460.44	551.56	624.99	507.46	224.97	209.84	301.33	269.6	409.15	616.37	297.17	417.77	507.46	253.23	269.6	202.66	665.29	503.95	624.99	195.72	248.0	665.29
