	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.LN.A8I0.01A.11R.A36D.31	TCGA.A3.A6NL.01A.11R.A33J.07	TCGA.BP.5178.01A.01R.1426.07	TCGA.BP.5186.01A.01R.1426.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.5694.01A.11R.1541.07	TCGA.CJ.4908.01A.01R.1426.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CJ.4899.01A.01R.1334.07	TCGA.CZ.5987.01A.11R.1672.07	TCGA.B2.A4SR.01A.11R.A266.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.EU.5907.01A.11R.1672.07	TCGA.CZ.5458.01A.01R.1503.07	TCGA.BP.5199.01A.01R.1426.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.B8.4154.01A.01R.1188.07	TCGA.A3.A8CQ.01A.11R.A37O.07	TCGA.CZ.5459.01A.01R.1503.07	TCGA.BP.4338.01A.01R.1289.07	TCGA.CJ.4905.01A.02R.1426.07	TCGA.BP.5180.01A.01R.1426.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.BP.4991.01A.01R.1334.07	TCGA.B2.5633.01A.01R.1541.07	TCGA.CJ.4870.01A.01R.1305.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.B0.5690.01A.11R.1541.07	TCGA.B8.A7U6.01A.12R.A37O.07	TCGA.CJ.4882.01A.02R.1426.07	TCGA.BP.4164.01A.02R.1325.07	TCGA.AK.3434.01A.02R.1277.07	TCGA.BP.4982.01A.01R.1334.07	TCGA.A3.A8OW.01A.11R.A37O.07	TCGA.BP.5184.01A.01R.1426.07	TCGA.BP.5201.01A.01R.1426.07	TCGA.BP.4327.01A.01R.1289.07	TCGA.B0.4828.01A.01R.1277.07	TCGA.B8.A54I.01A.21R.A33J.07	TCGA.A3.3376.01A.02R.1420.07	TCGA.AK.3428.01A.02R.1277.07	TCGA.BP.4961.01A.01R.1334.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.BP.4344.01A.01R.1289.07	TCGA.B2.5636.01A.02R.1541.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.BP.4804.01A.02R.1305.07	TCGA.A3.3335.01A.01R.0864.07	TCGA.BP.4349.01A.01R.1289.07	TCGA.B0.5092.01A.01R.1420.07	TCGA.BP.4965.01A.01R.1334.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.BP.5181.01A.01R.1426.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.B0.5116.01A.02R.1420.07	TCGA.B8.4151.01A.01R.1188.07	TCGA.BP.4165.01A.02R.1289.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.CJ.4887.01A.01R.1305.07	TCGA.B0.4714.01A.01R.1277.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.BP.4985.01A.01R.1334.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CJ.4869.01A.02R.1426.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.CZ.5466.01A.01R.1503.07	TCGA.B0.4706.01A.01R.1503.07	TCGA.B0.5080.01A.01R.1503.07	TCGA.B0.4693.01A.01R.1277.07	TCGA.BP.5192.01A.01R.1426.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.BP.5196.01A.01R.1426.07	TCGA.38.4625.01A.01R.1206.07	GTEX.ZPU1.2326.SM.57WEP
DCHS1	0.16	40.64	525.39	122.64	164.42	53.95	271.48	447.82	353.59	275.28	34.51	329.84	115.16	78.34	223.41	265.87	56.68	60.82	334.46	141.02	34.51	480.04	50.63	60.39	88.26	392.44	547.75	181.28	129.69	825.0	260.38	175.07	72.52	126.12	255.0	312.0	166.73	71.0	163.28	43.94	112.77	490.14	124.37	353.59	228.13	239.52	819.3	127.0	212.78	41.81	201.25	98.04	269.6	53.57	151.22	204.07	166.73	176.29	141.02	44.89	190.34	47.5	132.44	246.28	113.56	110.43	152.28	353.59	118.43	194.36	100.83	224.97	25.72	82.29	96.01	473.41	186.4	129.69	181.28	110.43	111.99	29.48	244.57	0.0	18.03
DISC1	20.71	18.03	124.37	38.67	78.89	41.22	79.45	176.29	98.73	140.04	49.56	100.83	72.52	33.3	108.14	82.87	31.0	40.07	100.13	59.55	37.85	152.28	43.63	49.21	23.76	147.06	123.5	53.57	55.89	175.07	86.43	73.03	32.36	69.52	166.73	138.1	72.52	44.89	50.63	29.7	39.5	180.02	38.95	131.51	143.01	145.02	135.24	38.12	91.41	38.4	84.04	70.01	114.36	31.22	66.65	44.89	86.43	49.21	66.65	35.76	96.01	29.7	51.35	76.17	66.18	65.26	58.71	146.03	44.25	89.51	63.89	69.52	18.29	57.89	74.58	131.51	83.45	62.12	77.25	29.7	73.54	29.27	77.79	0.0	7.34
EMCN	140.04	16.51	1427.22	457.25	2485.67	395.18	808.0	1977.24	909.17	2303.12	417.77	2664.15	1806.78	141.02	1407.55	769.69	74.58	3103.19	2061.24	1119.56	47.17	2178.83	348.71	665.29	165.57	2335.28	1417.35	2417.67	406.31	2664.15	1651.0	1295.13	607.87	1977.24	2104.58	3039.3	2645.74	988.12	780.44	293.07	72.52	3419.52	1498.22	2133.97	1119.56	3540.14	2935.74	118.43	830.75	258.57	1936.53	332.14	3716.2	603.67	703.28	486.75	441.64	521.76	1135.2	293.07	1151.06	1259.69	1745.2	679.29	769.69	703.28	1477.58	1127.35	293.07	432.53	830.75	2520.38	41.81	878.17	961.07	1008.9	1427.22	1594.73	587.13	199.85	291.04	135.24	379.04	71.5	68.07
ERG	22.92	55.49	890.44	275.28	540.19	206.94	547.75	1159.07	612.11	813.63	87.65	974.5	420.68	147.06	629.35	536.45	67.12	269.6	854.13	334.46	74.06	1183.45	151.22	226.54	208.38	1167.14	743.43	723.08	291.04	2018.8	438.59	441.64	193.01	486.75	769.69	915.51	525.39	228.13	371.22	113.56	158.79	1745.2	409.15	1159.07	379.04	854.13	1369.04	195.72	571.05	129.69	647.07	201.25	884.29	208.38	291.04	656.11	432.53	507.46	518.15	177.53	412.0	231.32	447.82	353.59	307.69	258.57	400.71	830.75	327.56	371.22	327.56	624.99	90.14	215.77	158.79	1199.98	438.59	438.59	397.93	301.33	260.38	68.55	279.14	0.0	63.45
FAM101B	16.88	171.45	1437.15	248.0	890.44	323.03	723.08	896.64	769.69	540.19	107.38	1023.0	371.22	223.41	796.86	802.41	108.9	412.0	1001.93	327.56	88.88	1059.11	193.01	371.22	269.6	1437.15	1208.34	575.03	454.09	2664.15	656.11	334.46	232.94	500.46	733.19	518.15	679.29	493.56	447.82	146.03	231.32	1417.35	728.11	1286.18	180.02	1794.29	1417.35	400.71	836.53	133.36	463.65	336.79	748.61	204.07	460.44	796.86	1127.35	728.11	389.72	267.73	884.29	287.01	638.15	293.07	384.34	435.55	842.36	947.83	674.59	348.71	224.97	909.17	52.08	346.29	237.86	1417.35	791.35	981.29	728.11	314.17	195.72	108.14	518.15	56.68	40.64
FAM198B	29.06	96.68	1242.34	341.51	1250.98	409.15	934.76	1709.26	1457.23	1561.89	161.02	1487.87	802.41	194.36	1191.69	620.67	107.38	629.35	1407.55	525.39	180.02	1651.0	161.02	341.51	642.59	1651.0	1286.18	529.06	480.04	2468.49	669.92	728.11	262.2	688.78	1359.57	1295.13	1119.56	318.57	414.87	144.01	199.85	3280.18	466.88	1662.49	583.07	2835.7	3564.78	301.33	813.63	305.55	624.99	299.25	2090.03	180.02	389.72	486.75	529.06	547.75	514.56	275.28	813.63	314.17	441.64	343.89	316.37	318.57	500.46	1794.29	454.09	384.34	457.25	1331.57	336.79	400.71	540.19	2148.82	638.15	669.92	454.09	503.95	144.01	140.04	406.31	0.0	23.59
FGD5	14.56	36.01	1135.2	249.73	733.19	145.02	660.68	1191.69	638.15	1059.11	97.36	1216.75	438.59	129.69	688.78	536.45	70.51	193.01	947.83	476.71	145.02	1151.06	185.11	187.71	181.28	1191.69	947.83	769.69	237.86	1857.6	599.49	392.44	204.07	476.71	854.13	974.5	607.87	327.56	412.0	118.43	206.94	1594.73	473.41	1216.75	503.95	848.22	2956.17	185.11	500.46	106.63	718.08	271.48	1286.18	191.67	384.34	423.61	483.38	406.31	490.14	109.66	450.94	178.77	409.15	341.51	348.71	293.07	466.88	738.29	212.78	392.44	358.54	665.29	41.81	271.48	211.31	896.64	412.0	825.0	361.04	253.23	297.17	265.87	466.88	0.0	36.27
FLI1	40.93	63.0	1208.34	460.44	616.37	346.29	748.61	1135.2	738.29	981.29	277.2	1397.83	660.68	255.0	890.44	813.63	193.01	473.41	825.0	409.15	260.38	1199.98	366.09	555.41	229.72	1208.34	1051.79	693.58	447.82	2104.58	480.04	796.86	273.37	651.58	1008.9	1111.82	679.29	466.88	616.37	241.19	444.72	1561.89	423.61	1030.12	507.46	1225.22	1051.79	371.22	954.43	226.54	825.0	559.28	872.1	318.57	409.15	555.41	688.78	563.18	647.07	297.17	575.03	325.29	785.88	503.95	698.41	674.59	698.41	769.69	384.34	559.28	759.08	802.41	152.28	447.82	429.54	1066.48	543.96	688.78	571.05	242.88	309.83	128.79	486.75	0.0	59.13
FLT4	21.47	39.5	1498.22	251.48	733.19	126.12	551.56	1277.29	583.07	1250.98	127.0	1417.35	698.41	120.1	866.07	660.68	121.79	251.48	1437.15	463.65	92.05	1388.16	162.14	242.88	193.01	1096.5	830.75	759.08	281.09	2178.83	1066.48	679.29	297.17	909.17	836.53	1870.53	780.44	358.54	559.28	167.9	351.14	1757.34	287.01	1295.13	540.19	1023.0	1331.57	305.55	612.11	150.17	1073.91	444.72	775.05	242.88	470.14	521.76	490.14	460.44	532.74	202.66	460.44	251.48	954.43	1167.14	518.15	571.05	669.92	995.0	341.51	728.11	423.61	629.35	33.06	312.0	426.57	947.83	543.96	500.46	688.78	258.57	403.5	109.66	381.68	0.0	23.59
GIMAP8	18.43	72.52	802.41	234.57	559.28	215.77	392.44	1340.84	529.06	1059.11	105.89	1135.2	583.07	140.04	836.53	497.0	140.04	289.02	733.19	387.02	89.51	1199.98	166.73	379.04	140.04	1199.98	796.86	718.08	269.6	1427.22	389.72	318.57	198.47	748.61	836.53	1143.1	595.34	281.09	373.81	165.57	182.55	1508.65	470.14	1322.37	514.56	1044.52	1119.56	161.02	583.07	82.87	842.36	373.81	961.07	232.94	395.18	356.05	358.54	381.68	497.0	113.56	361.04	226.54	521.76	329.84	579.04	476.71	633.73	547.75	127.0	356.05	346.29	819.3	80.01	305.55	255.0	612.11	503.95	656.11	460.44	129.69	214.27	51.35	323.03	0.0	42.11
HECW2	72.52	6.84	215.77	149.12	182.55	59.97	190.34	381.68	241.19	381.68	30.34	339.14	145.02	48.18	318.57	142.01	23.93	65.72	438.59	165.57	34.75	336.79	44.57	25.17	66.18	438.59	571.05	223.41	119.26	409.15	195.72	118.43	80.01	134.3	211.31	493.56	195.72	45.85	94.67	30.34	55.49	728.11	98.04	860.08	149.12	480.04	1015.93	91.41	177.53	19.68	172.65	62.56	466.88	53.19	96.68	176.29	138.1	156.59	157.68	36.27	167.9	80.01	100.83	149.12	64.8	77.79	147.06	201.25	108.9	125.24	97.36	279.14	14.03	45.85	31.67	178.77	81.14	151.22	121.79	108.9	90.14	19.11	91.41	0.0	111.21
HSPA12B	12.18	67.59	273.37	98.04	289.02	100.13	193.01	389.72	277.2	466.88	60.82	473.41	253.23	43.94	267.73	193.01	52.45	99.43	417.77	176.29	25.17	371.22	90.14	74.06	89.51	395.18	239.52	275.28	116.78	543.96	297.17	115.16	62.56	138.1	277.2	353.59	271.48	64.34	205.5	43.02	112.77	483.38	120.1	281.09	155.5	320.8	540.19	99.43	253.23	18.7	253.23	137.14	258.57	81.14	173.85	171.45	159.9	119.26	202.66	48.52	145.02	96.68	145.02	182.55	177.53	191.67	158.79	318.57	48.18	143.01	191.67	283.05	28.24	120.94	118.43	417.77	135.24	176.29	165.57	98.73	117.6	43.94	146.03	0.0	31.0
ITGA9	5.54	8.0	226.54	79.45	166.73	72.52	208.38	486.75	426.57	339.14	50.98	379.04	159.9	43.63	209.84	127.0	31.9	51.35	220.32	130.6	47.5	665.29	47.84	60.82	60.39	318.57	223.41	176.29	84.04	500.46	194.36	147.06	63.89	297.17	256.78	269.6	248.0	60.39	102.25	31.45	61.68	532.74	103.69	361.04	149.12	267.73	414.87	50.63	218.79	34.26	182.55	60.82	251.48	69.03	120.94	84.63	139.07	116.78	158.79	39.5	111.99	50.27	71.5	87.65	96.68	136.19	99.43	265.87	63.45	81.71	97.36	205.5	19.25	104.42	52.08	503.95	100.13	137.14	107.38	100.13	51.71	75.11	96.68	0.0	20.86
ITPKB	62.56	329.84	723.08	142.01	392.44	123.5	400.71	825.0	368.65	555.41	108.9	507.46	211.31	90.14	323.03	432.53	79.45	138.1	563.18	289.02	69.03	753.83	94.67	256.78	105.89	599.49	563.18	397.93	212.78	1030.12	579.04	389.72	107.38	236.21	532.74	486.75	373.81	248.0	316.37	111.21	133.36	878.17	211.31	607.87	246.28	559.28	890.44	150.17	429.54	85.82	361.04	361.04	543.96	107.38	248.0	281.09	336.79	239.52	264.03	114.36	314.17	103.69	312.0	267.73	195.72	277.2	389.72	624.99	204.07	251.48	256.78	316.37	28.04	255.0	253.23	748.61	371.22	381.68	327.56	148.09	144.01	169.07	341.51	0.0	154.42
JAM3	2.63	154.42	1059.11	264.03	540.19	384.34	688.78	1096.5	521.76	961.07	163.28	1081.39	616.37	195.72	616.37	1023.0	102.97	348.71	647.07	376.41	80.57	1508.65	159.9	194.36	205.5	1066.48	665.29	791.35	384.34	1819.35	748.61	780.44	283.05	947.83	748.61	902.89	518.15	363.56	493.56	194.36	153.34	1313.23	656.11	1216.75	457.25	1059.11	1183.45	329.84	791.35	153.34	733.19	368.65	1119.56	253.23	384.34	599.49	595.34	780.44	684.02	281.09	457.25	366.09	780.44	743.43	414.87	476.71	551.56	1191.69	457.25	529.06	371.22	642.59	31.45	246.28	457.25	1340.84	503.95	555.41	476.71	343.89	343.89	205.5	460.44	0.0	30.56
KBTBD7	50.98	52.45	97.36	35.0	170.25	48.52	94.67	102.25	132.44	118.43	58.3	127.0	84.04	127.89	153.34	101.54	64.34	85.22	111.99	75.64	49.91	186.4	70.51	137.14	52.45	156.59	187.71	125.24	76.17	151.22	31.67	58.71	123.5	104.42	140.04	127.89	130.6	58.71	53.19	66.65	43.32	177.53	77.25	157.68	76.17	134.3	153.34	36.01	99.43	57.49	97.36	70.51	264.03	78.89	92.7	61.25	93.35	100.13	136.19	21.47	91.41	85.82	82.87	67.59	80.57	79.45	74.06	88.88	52.08	44.57	55.89	166.73	39.5	71.0	93.35	79.45	88.88	117.6	84.04	104.42	46.18	44.25	50.98	0.0	36.79
KDR	96.01	23.76	2537.92	603.67	2627.46	387.02	1977.24	2502.97	2502.97	2935.74	346.29	4010.71	2047.0	587.13	2319.15	1277.29	187.71	1508.65	4038.61	1225.22	239.52	4607.24	624.99	684.02	607.87	3257.52	3349.13	2061.24	866.07	5913.33	1111.82	698.41	571.05	1191.69	2915.45	3349.13	2591.27	684.02	1277.29	312.0	392.44	5872.48	1540.37	3124.78	884.29	5041.77	6745.86	669.92	1685.71	208.38	1369.04	651.58	3639.7	642.59	1151.06	1030.12	1417.35	1359.57	1685.71	309.83	2485.67	934.76	1639.59	638.15	947.83	1088.92	1963.57	1583.71	642.59	1023.0	1059.11	3146.52	58.3	866.07	603.67	2468.49	1457.23	2739.08	1167.14	450.94	651.58	57.08	915.51	0.0	31.45
KIAA0355	181.28	111.21	406.31	163.28	392.44	111.99	305.55	638.15	348.71	679.29	163.28	656.11	307.69	214.27	376.41	287.01	137.14	155.5	486.75	279.14	79.45	583.07	155.5	163.28	114.36	616.37	540.19	325.29	158.79	802.41	316.37	329.84	220.32	295.11	497.0	521.76	325.29	182.55	273.37	181.28	139.07	775.05	229.72	656.11	341.51	567.1	723.08	101.54	307.69	162.14	353.59	199.85	587.13	175.07	244.57	205.5	297.17	169.07	318.57	127.0	279.14	209.84	239.52	305.55	181.28	307.69	249.73	460.44	165.57	218.79	206.94	289.02	82.29	178.77	244.57	406.31	265.87	273.37	242.88	201.25	260.38	169.07	220.32	0.0	78.89
