	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.BT.A20X.01A.11R.A16R.07	TCGA.K4.A4AC.01A.21R.A26T.07	TCGA.FD.A43Y.01A.21R.A26T.07	TCGA.PQ.A6FI.01A.11R.A31N.07	TCGA.XF.A9SH.01A.11R.A39I.07	TCGA.YF.AA3M.01A.11R.A42T.07	TCGA.FD.A5C1.01A.11R.A28M.07	TCGA.GU.A767.01A.11R.A32O.07	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.BT.A42E.01A.11R.A23W.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IR.A3LC.01A.11R.A213.07	TCGA.C5.A0TN.01A.21R.A14Y.07	TCGA.C5.A902.01A.11R.A37O.07	TCGA.VS.A9UH.01A.11R.A42T.07	TCGA.JX.A3PZ.01A.11R.A32Y.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.EK.A2PL.01A.11R.A18M.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.EK.A2RE.01A.11R.A18M.07	TCGA.VS.A950.01A.11R.A42T.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.L5.A88W.01A.11R.A354.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.CV.5970.01A.11R.1686.07	TCGA.BB.8601.01A.11R.2403.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CQ.7063.01A.11R.2403.07	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.D6.A4Z9.01A.11R.A24Z.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.C9.A480.01A.12R.A24H.07	TCGA.HD.8634.01A.11R.2403.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4729.01A.01R.1436.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CV.7253.01A.11R.2016.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.P3.A6T5.01A.11R.A34R.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CN.A63V.01A.11R.A466.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CR.7394.01A.11R.2016.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.UF.A71E.01A.31R.A34R.07	TCGA.BA.5558.01A.01R.1514.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CQ.A4CD.01A.21R.A24Z.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.CQ.6229.01A.11R.1915.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.CV.7427.01A.11R.2081.07	TCGA.CV.A6JZ.01A.11R.A31N.07	TCGA.CN.A642.01A.12R.A30B.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.P3.A6T7.01A.11R.A34R.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.RS.A6TO.01A.32R.A34R.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.CQ.A4CA.01A.11R.A24Z.07	TCGA.CV.6952.01A.11R.1915.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CQ.5326.01A.01R.1873.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7423.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CN.5373.01A.01R.1436.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CC.A5UD.01A.11R.A28V.07	TCGA.DD.A3A5.01A.11R.A22L.07	GTEX.XV7Q.2426.SM.4BRV8	GTEX.11WQK.2926.SM.5EQKT	TCGA.SL.A6J9.01A.11R.A31O.07	TCGA.N9.A4Q7.01A.11R.A28V.07	TCGA.N8.A4PM.01A.11R.A28V.07
CDKL5	1.77	0.68	17.9	3.53	1.95	5.23	11.13	4.43	2.56	2.97	11.73	2.36	4.9	5.82	27.05	61.68	5.63	8.32	2.05	3.92	3.53	6.01	5.77	8.58	1.06	17.64	16.75	7.17	13.52	2.53	22.59	6.52	27.05	7.82	28.24	8.99	38.67	21.16	9.2	22.26	46.18	7.88	23.76	3.35	91.41	10.71	3.82	26.67	20.11	18.43	6.16	20.26	6.52	8.38	14.24	24.28	31.0	61.68	33.3	45.21	11.64	58.71	15.68	1.83	5.36	15.68	17.0	59.55	26.1	13.52	38.4	3.23	26.67	32.13	5.59	1.38	19.25	11.47	1.97	1.36	12.0	107.38	27.25	36.79	22.59	45.53	5.19	3.2	18.84	25.91	4.21	20.41	8.32	35.25	2.53	10.96	44.89	28.04	8.19	4.24	29.06	29.27	26.86	9.34	24.99	69.03	52.08	5.15	1.17	0.78	47.84	25.17	0.65	1.08	1.46
CDKN1A	2209.26	4388.98	4066.71	3564.78	4481.23	2224.63	1508.65	2835.7	3443.31	2178.83	6699.25	2935.74	4639.29	3303.0	7280.4	13776.25	4671.57	7180.15	4095.0	5791.62	3874.05	3690.52	2018.8	3955.48	3280.18	6699.25	7081.29	2627.46	6792.79	1051.79	8305.36	3540.14	13968.57	7589.61	8305.36	3955.48	5112.16	7081.29	3982.99	8022.41	8078.22	7803.01	7749.1	9409.14	10154.69	3212.66	7180.15	5633.22	3190.46	7032.37	7749.1	14663.09	4869.99	7280.4	4210.15	7642.41	8840.04	8363.13	11992.79	5479.15	8479.89	5791.62	8479.89	6426.31	8078.22	7485.11	7966.99	5711.87	6699.25	7749.1	10808.41	3212.66	12853.63	5995.9	5147.73	5711.87	7180.15	4123.49	4736.79	3847.29	7382.04	9215.48	7433.4	8901.53	9540.5	7032.37	2645.74	1639.59	3349.13	7642.41	5711.87	12943.04	8598.28	5872.48	4937.99	8538.88	7589.61	5112.16	7180.15	4481.23	13492.72	8840.04	14262.1	5517.27	11345.82	11267.44	5041.77	6471.02	1159.07	5555.65	18304.63	9151.82	764.36	563.18	559.28
CLIP1	397.93	830.75	1369.04	376.41	769.69	417.77	796.86	525.39	669.92	307.69	1167.14	368.65	651.58	775.05	1208.34	1870.53	854.13	536.45	1159.07	503.95	921.88	872.1	1216.75	890.44	412.0	1457.23	1008.9	928.3	1639.59	713.11	1519.15	438.59	769.69	878.17	1437.15	718.08	2287.2	2537.92	785.88	1832.01	1487.87	1467.37	1896.65	1540.37	1437.15	567.1	1322.37	928.3	2451.44	1572.76	1388.16	2061.24	1561.89	1104.13	518.15	2178.83	974.5	1304.15	1909.85	1088.92	1551.09	928.3	1540.37	587.13	896.64	1295.13	2816.11	2032.85	2627.46	1540.37	1498.22	1508.65	2664.15	1628.26	988.12	808.0	2004.85	1088.92	1030.12	417.77	1662.49	2163.77	1151.06	1572.76	1407.55	2018.8	540.19	1066.48	1111.82	1832.01	1066.48	1617.0	1175.27	638.15	647.07	1199.98	1794.29	1104.13	669.92	480.04	2591.27	1674.06	1183.45	1183.45	1388.16	1936.53	1794.29	1242.34	265.87	312.0	4152.18	4123.49	83.45	135.24	150.17
CPEB4	36.79	90.77	218.79	23.42	94.67	30.12	145.02	28.45	107.38	38.67	181.28	40.64	41.52	85.82	201.25	583.07	75.11	35.5	57.89	59.13	36.79	69.52	63.89	61.68	18.03	275.28	156.59	87.03	223.41	43.02	373.81	74.06	579.04	204.07	325.29	88.88	500.46	293.07	228.13	327.56	429.54	366.09	429.54	112.77	674.59	123.5	106.63	171.45	454.09	555.41	211.31	693.58	373.81	281.09	126.12	444.72	260.38	170.25	500.46	743.43	181.28	366.09	320.8	70.51	121.79	78.89	260.38	651.58	476.71	297.17	403.5	68.07	476.71	343.89	128.79	122.64	297.17	173.85	156.59	55.89	260.38	947.83	363.56	334.46	209.84	497.0	76.71	55.1	389.72	195.72	146.03	356.05	81.14	198.47	88.88	293.07	466.88	209.84	114.36	38.12	473.41	429.54	384.34	186.4	199.85	591.22	536.45	265.87	110.43	121.79	409.15	748.61	24.63	17.25	15.34
CSNK1A1	2384.37	1487.87	2645.74	2075.59	2997.45	3235.01	1268.46	1540.37	1950.0	1233.75	6652.97	1733.13	1685.71	3168.41	4066.71	5517.27	2384.37	1151.06	1498.22	2335.28	1529.73	3018.3	981.29	1794.29	2287.2	4769.75	2816.11	2271.4	4869.99	1745.2	7130.55	2319.15	9215.48	4869.99	5913.33	3515.68	5711.87	5147.73	5076.84	6337.83	9151.82	4836.35	5594.3	3372.43	9279.58	3874.05	2591.27	4450.27	7081.29	6699.25	4298.64	6426.31	8305.36	6164.49	1066.48	6207.38	5006.93	4512.4	11992.79	7537.18	5751.61	4704.07	3955.48	3349.13	3419.52	2485.67	7749.1	6561.36	6079.61	4210.15	5872.48	2835.7	7803.01	6471.02	3212.66	2591.27	9088.59	4937.99	2075.59	3212.66	4010.71	7331.05	6426.31	6516.03	5995.9	8479.89	3103.19	1819.35	5292.48	4639.29	5751.61	5517.27	2287.2	3039.3	4836.35	5872.48	6037.61	3690.52	3190.46	1467.37	6337.83	7130.55	6607.01	4607.24	5441.3	8247.98	6516.03	4038.61	688.78	497.0	14262.1	6037.61	1191.69	1015.93	1208.34
CTTNBP2NL	121.79	76.17	307.69	228.13	102.97	102.97	182.55	155.5	161.02	154.42	307.69	136.19	155.5	99.43	258.57	1437.15	181.28	198.47	106.63	108.14	139.07	155.5	149.12	121.79	111.21	403.5	171.45	152.28	363.56	241.19	511.0	171.45	490.14	202.66	336.79	151.22	366.09	332.14	217.27	329.84	361.04	318.57	307.69	157.68	480.04	346.29	156.59	318.57	384.34	470.14	318.57	500.46	220.32	226.54	138.1	332.14	323.03	521.76	420.68	403.5	226.54	341.51	295.11	130.6	41.52	224.97	221.86	480.04	450.94	339.14	363.56	94.67	351.14	341.51	157.68	244.57	423.61	267.73	158.79	183.82	327.56	665.29	323.03	511.0	353.59	633.73	150.17	155.5	450.94	389.72	208.38	334.46	154.42	460.44	68.55	363.56	470.14	412.0	133.36	99.43	460.44	420.68	371.22	285.03	281.09	595.34	486.75	269.6	43.63	16.51	718.08	426.57	103.69	99.43	154.42
DDX6	125.24	180.02	679.29	146.03	180.02	172.65	281.09	217.27	63.89	98.04	403.5	94.01	124.37	228.13	444.72	759.08	164.42	126.12	229.72	115.16	120.94	327.56	232.94	242.88	94.01	423.61	285.03	307.69	387.02	358.54	567.1	406.31	848.22	241.19	775.05	178.77	684.02	595.34	332.14	674.59	995.0	583.07	647.07	262.2	819.3	450.94	201.25	791.35	723.08	656.11	493.56	346.29	348.71	529.06	351.14	934.76	819.3	819.3	1183.45	1277.29	291.04	723.08	289.02	143.01	214.27	339.14	669.92	1225.22	624.99	514.56	813.63	118.43	575.03	791.35	186.4	307.69	1073.91	320.8	111.21	221.86	371.22	1023.0	540.19	473.41	438.59	1119.56	403.5	260.38	785.88	368.65	181.28	529.06	224.97	825.0	201.25	583.07	660.68	915.51	209.84	236.21	718.08	525.39	791.35	555.41	529.06	1081.39	1175.27	420.68	51.71	66.65	395.18	587.13	65.72	80.57	185.11
DIP2B	106.63	98.73	426.57	163.28	291.04	157.68	161.02	108.9	258.57	78.89	356.05	99.43	110.43	201.25	244.57	1561.89	107.38	156.59	137.14	105.89	161.02	197.09	218.79	144.01	114.36	450.94	199.85	177.53	299.25	403.5	813.63	447.82	267.73	356.05	587.13	193.01	511.0	466.88	476.71	547.75	854.13	412.0	454.09	264.03	620.67	275.28	197.09	318.57	878.17	612.11	521.76	713.11	366.09	417.77	115.16	836.53	514.56	708.18	738.29	688.78	426.57	684.02	486.75	285.03	277.2	283.05	575.03	802.41	583.07	400.71	571.05	258.57	813.63	432.53	262.2	587.13	348.71	265.87	111.21	277.2	500.46	665.29	688.78	624.99	334.46	450.94	175.07	150.17	688.78	743.43	329.84	486.75	281.09	532.74	409.15	521.76	497.0	476.71	271.48	204.07	703.28	669.92	397.93	249.73	620.67	1001.93	764.36	299.25	104.42	82.87	825.0	363.56	76.71	78.34	97.36
EHD4	842.36	718.08	780.44	624.99	521.76	890.44	1119.56	466.88	460.44	679.29	409.15	629.35	387.02	507.46	363.56	934.76	830.75	802.41	457.25	595.34	743.43	728.11	612.11	995.0	373.81	878.17	603.67	521.76	1870.53	320.8	878.17	647.07	1151.06	629.35	995.0	981.29	842.36	669.92	848.22	819.3	1277.29	518.15	909.17	808.0	1529.73	1208.34	764.36	1369.04	514.56	896.64	688.78	764.36	483.38	679.29	616.37	1857.6	1066.48	995.0	507.46	947.83	896.64	1037.29	961.07	423.61	403.5	738.29	896.64	1340.84	1088.92	902.89	1304.15	1015.93	753.83	1242.34	599.49	607.87	1519.15	397.93	703.28	759.08	665.29	1721.16	961.07	995.0	836.53	1806.78	353.59	463.65	1331.57	1119.56	878.17	974.5	607.87	1073.91	579.04	1066.48	941.27	981.29	748.61	1001.93	1331.57	848.22	603.67	1477.58	890.44	915.51	961.07	759.08	155.5	312.0	3349.13	1467.37	323.03	265.87	318.57
EIF3A	928.3	1322.37	2255.7	1407.55	988.12	981.29	1268.46	909.17	1023.0	525.39	1551.09	624.99	1216.75	1119.56	2240.11	2061.24	1417.35	660.68	1096.5	753.83	1242.34	2061.24	1023.0	1397.83	674.59	1883.54	1313.23	1896.65	1870.53	1322.37	2537.92	1081.39	1870.53	1467.37	2193.99	1030.12	2163.77	2032.85	2133.97	2816.11	2271.4	1977.24	2240.11	1605.83	1745.2	2133.97	1605.83	2682.69	1806.78	2682.69	1447.15	1322.37	2090.03	2104.58	1081.39	2451.44	2645.74	2682.69	2434.5	2555.58	1508.65	1721.16	1896.65	1030.12	1313.23	2591.27	1923.14	3168.41	3060.45	1936.53	2485.67	1378.57	2075.59	2351.53	1250.98	1331.57	2367.9	1757.34	1159.07	1639.59	2148.82	2520.38	1896.65	2133.97	2018.8	2682.69	1437.15	1896.65	2178.83	2434.5	1819.35	1977.24	1467.37	1697.45	1037.29	2104.58	2520.38	2047.0	848.22	1605.83	1991.0	2193.99	2682.69	2193.99	1733.13	1991.0	2682.69	1685.71	341.51	612.11	2061.24	3190.46	743.43	647.07	791.35
EIF4E	633.73	579.04	1685.71	587.13	457.25	698.41	500.46	684.02	327.56	454.09	941.27	323.03	343.89	947.83	974.5	2240.11	878.17	414.87	743.43	525.39	718.08	607.87	616.37	878.17	555.41	1628.26	967.76	460.44	1359.57	679.29	1697.45	941.27	1936.53	1051.79	1487.87	967.76	1936.53	1498.22	1498.22	1674.06	2209.26	651.58	1594.73	1030.12	2240.11	1331.57	1037.29	1572.76	1819.35	1896.65	1498.22	1388.16	1487.87	1674.06	403.5	1806.78	1487.87	1104.13	1628.26	2367.9	1397.83	1225.22	1508.65	854.13	1331.57	713.11	1605.83	2224.63	1870.53	1417.35	2018.8	941.27	1685.71	1628.26	791.35	1331.57	1832.01	1662.49	1051.79	988.12	1923.14	1551.09	1096.5	1397.83	1757.34	1437.15	884.29	866.07	1896.65	1457.23	1427.22	1950.0	928.3	2119.22	775.05	1745.2	2417.67	1896.65	961.07	808.0	1651.0	1407.55	1733.13	1304.15	1378.57	1733.13	1857.6	1487.87	389.72	118.43	3794.3	2739.08	567.1	327.56	529.06
FAM160A1	34.51	35.5	128.79	36.27	48.18	79.45	53.19	53.19	10.39	24.99	118.43	18.03	36.79	170.25	186.4	191.67	64.8	27.84	26.28	46.84	32.36	41.22	49.21	36.53	27.05	208.38	206.94	28.65	260.38	32.36	329.84	62.12	241.19	134.3	194.36	82.87	244.57	177.53	198.47	256.78	305.55	57.89	208.38	90.77	191.67	265.87	66.18	223.41	314.17	379.04	139.07	301.33	167.9	102.97	47.84	265.87	228.13	476.71	253.23	358.54	166.73	262.2	77.25	141.02	84.63	146.03	339.14	262.2	320.8	147.06	249.73	103.69	320.8	256.78	49.56	144.01	220.32	299.25	84.63	202.66	218.79	264.03	198.47	412.0	208.38	320.8	63.89	36.27	275.28	348.71	126.12	215.77	90.14	275.28	91.41	214.27	255.0	316.37	108.14	60.82	251.48	264.03	194.36	105.15	256.78	532.74	343.89	113.56	0.84	1.77	476.71	447.82	7.63	7.57	32.59
FAM83B	85.82	94.67	603.67	185.11	154.42	143.01	57.08	36.53	48.52	18.84	587.13	37.05	264.03	139.07	435.55	25887.07	149.12	104.42	99.43	39.79	12.93	258.57	95.34	71.0	34.75	353.59	212.78	320.8	547.75	473.41	836.53	466.88	660.68	511.0	728.11	137.14	669.92	848.22	389.72	915.51	928.3	995.0	785.88	441.64	616.37	368.65	423.61	579.04	444.72	836.53	463.65	624.99	551.56	547.75	76.17	607.87	656.11	1059.11	909.17	1023.0	620.67	802.41	373.81	189.02	323.03	307.69	1051.79	791.35	981.29	595.34	1388.16	301.33	612.11	525.39	183.82	260.38	693.58	575.03	150.17	334.46	647.07	638.15	647.07	775.05	583.07	759.08	147.06	98.73	612.11	780.44	242.88	743.43	246.28	1733.13	163.28	651.58	703.28	603.67	249.73	158.79	743.43	842.36	764.36	293.07	1191.69	1066.48	878.17	435.55	0.0	0.41	1819.35	363.56	1.3	9.56	5.82
FBXW11	166.73	277.2	358.54	176.29	339.14	231.32	297.17	251.48	220.32	205.5	460.44	236.21	180.02	221.86	339.14	1023.0	260.38	149.12	265.87	226.54	237.86	271.48	173.85	190.34	265.87	463.65	305.55	228.13	283.05	190.34	612.11	199.85	616.37	336.79	417.77	264.03	473.41	379.04	417.77	457.25	339.14	366.09	447.82	262.2	503.95	309.83	264.03	363.56	356.05	490.14	312.0	579.04	457.25	332.14	205.5	483.38	376.41	493.56	780.44	540.19	400.71	381.68	348.71	208.38	271.48	343.89	303.44	669.92	651.58	444.72	450.94	209.84	571.05	379.04	287.01	281.09	555.41	293.07	231.32	228.13	316.37	629.35	483.38	414.87	470.14	567.1	277.2	273.37	470.14	242.88	283.05	341.51	323.03	301.33	264.03	406.31	450.94	525.39	285.03	132.44	503.95	460.44	450.94	366.09	312.0	571.05	665.29	314.17	147.06	237.86	713.11	1417.35	258.57	190.34	228.13
FEM1B	289.02	511.0	307.69	258.57	441.64	435.55	351.14	139.07	202.66	214.27	532.74	130.6	320.8	532.74	493.56	339.14	460.44	381.68	403.5	150.17	395.18	612.11	423.61	373.81	223.41	540.19	612.11	651.58	529.06	305.55	575.03	417.77	1151.06	441.64	559.28	363.56	435.55	450.94	423.61	497.0	947.83	540.19	543.96	414.87	1096.5	928.3	473.41	521.76	567.1	514.56	457.25	995.0	674.59	547.75	246.28	1540.37	543.96	1015.93	808.0	830.75	543.96	660.68	934.76	275.28	343.89	332.14	718.08	718.08	642.59	620.67	647.07	379.04	616.37	728.11	301.33	595.34	848.22	299.25	438.59	460.44	406.31	1199.98	493.56	674.59	480.04	1437.15	262.2	426.57	651.58	842.36	575.03	473.41	406.31	759.08	289.02	583.07	878.17	547.75	500.46	438.59	540.19	791.35	629.35	638.15	872.1	872.1	796.86	381.68	100.83	178.77	1745.2	607.87	178.77	155.5	163.28
FEM1C	103.69	63.0	187.71	63.0	129.69	125.24	72.01	82.87	100.83	67.12	132.44	87.65	135.24	164.42	127.89	178.77	115.97	66.65	114.36	111.99	101.54	102.25	83.45	161.02	88.26	217.27	127.89	116.78	136.19	75.11	201.25	159.9	323.03	285.03	318.57	112.77	155.5	170.25	164.42	183.82	211.31	242.88	194.36	164.42	348.71	134.3	175.07	185.11	161.02	149.12	153.34	368.65	229.72	187.71	95.34	199.85	316.37	236.21	279.14	145.02	212.78	146.03	185.11	126.12	187.71	143.01	281.09	271.48	165.57	258.57	193.01	151.22	381.68	163.28	214.27	120.1	187.71	231.32	108.9	89.51	158.79	457.25	191.67	161.02	134.3	293.07	120.1	109.66	181.28	189.02	173.85	395.18	98.73	255.0	109.66	283.05	363.56	141.02	156.59	68.07	187.71	199.85	301.33	148.09	265.87	444.72	248.0	170.25	70.51	111.21	379.04	244.57	55.89	53.95	71.0
GAB1	52.45	35.25	99.43	39.5	94.01	76.71	77.25	37.59	36.27	22.59	99.43	34.51	65.26	55.89	95.34	299.25	85.22	39.5	50.98	34.02	60.82	76.17	205.5	69.03	37.32	234.57	87.65	66.65	204.07	271.48	251.48	186.4	420.68	129.69	237.86	82.87	281.09	314.17	131.51	323.03	363.56	220.32	320.8	78.34	277.2	177.53	57.08	198.47	392.44	381.68	194.36	429.54	108.14	157.68	82.87	185.11	316.37	117.6	293.07	441.64	153.34	275.28	113.56	72.52	82.87	108.9	128.79	466.88	339.14	295.11	460.44	80.01	293.07	255.0	62.56	161.02	323.03	231.32	50.98	98.04	223.41	376.41	173.85	287.01	229.72	447.82	68.07	50.63	239.52	334.46	146.03	299.25	89.51	211.31	167.9	269.6	371.22	134.3	114.36	45.21	265.87	170.25	457.25	131.51	198.47	595.34	423.61	262.2	37.85	69.52	139.07	105.89	21.63	22.43	43.02
GNG12	830.75	872.1	1508.65	1001.93	813.63	450.94	450.94	497.0	490.14	249.73	1081.39	490.14	1059.11	708.18	1073.91	2133.97	860.08	896.64	460.44	624.99	629.35	251.48	796.86	575.03	808.0	1331.57	775.05	241.19	1286.18	603.67	2193.99	836.53	3168.41	1008.9	1286.18	836.53	1757.34	1015.93	1119.56	1628.26	1628.26	1277.29	1369.04	915.51	1794.29	1467.37	981.29	1529.73	1313.23	1277.29	1369.04	1551.09	1151.06	1304.15	483.38	1572.76	1340.84	1073.91	1662.49	1674.06	1037.29	1199.98	1286.18	708.18	825.0	961.07	775.05	1617.0	1498.22	1199.98	1127.35	854.13	2133.97	961.07	764.36	476.71	1268.46	1259.69	1037.29	1073.91	1359.57	1369.04	1304.15	1233.75	921.88	1467.37	718.08	780.44	1447.15	1388.16	981.29	1350.18	543.96	1151.06	497.0	1242.34	1561.89	2004.85	854.13	769.69	1709.26	2485.67	1167.14	1104.13	1721.16	2240.11	1662.49	1023.0	450.94	295.11	2075.59	1540.37	110.43	281.09	236.21
HERC3	135.24	88.88	327.56	58.3	438.59	129.69	316.37	182.55	49.56	94.67	229.72	85.82	208.38	110.43	551.56	825.0	189.02	218.79	202.66	161.02	277.2	99.43	224.97	229.72	133.36	607.87	283.05	108.14	785.88	205.5	1044.52	253.23	974.5	327.56	813.63	236.21	698.41	320.8	583.07	836.53	796.86	327.56	902.89	305.55	1794.29	493.56	332.14	571.05	703.28	616.37	353.59	651.58	587.13	397.93	127.89	860.08	599.49	1104.13	669.92	1447.15	395.18	536.45	514.56	95.34	454.09	307.69	371.22	1369.04	848.22	660.68	1340.84	187.71	624.99	435.55	237.86	307.69	928.3	384.34	206.94	293.07	392.44	1295.13	483.38	896.64	384.34	759.08	199.85	180.02	1313.23	698.41	323.03	587.13	195.72	1322.37	162.14	921.88	830.75	1191.69	486.75	226.54	713.11	559.28	532.74	493.56	363.56	1295.13	974.5	463.65	50.98	31.67	575.03	1096.5	93.35	57.08	29.06
HIPK1	176.29	144.01	361.04	258.57	116.78	157.68	206.94	212.78	159.9	92.7	384.34	189.02	275.28	146.03	307.69	476.71	361.04	279.14	305.55	173.85	226.54	217.27	129.69	256.78	175.07	327.56	285.03	226.54	343.89	260.38	587.13	166.73	339.14	209.84	341.51	158.79	392.44	356.05	409.15	381.68	480.04	409.15	314.17	237.86	490.14	384.34	242.88	473.41	444.72	532.74	409.15	463.65	297.17	329.84	224.97	536.45	381.68	420.68	543.96	674.59	239.52	438.59	373.81	100.13	73.54	236.21	332.14	591.22	392.44	348.71	432.53	116.78	334.46	454.09	191.67	220.32	447.82	348.71	189.02	267.73	379.04	759.08	435.55	356.05	320.8	507.46	234.57	185.11	486.75	351.14	277.2	348.71	248.0	291.04	147.06	343.89	438.59	563.18	212.78	162.14	417.77	665.29	423.61	312.0	206.94	547.75	890.44	339.14	141.02	124.37	1295.13	1277.29	176.29	115.97	164.42
JARID2	208.38	136.19	215.77	218.79	239.52	1081.39	176.29	123.5	100.83	147.06	620.67	139.07	368.65	205.5	248.0	665.29	140.04	204.07	147.06	191.67	68.07	267.73	124.37	135.24	92.05	204.07	283.05	246.28	332.14	320.8	400.71	253.23	226.54	366.09	591.22	206.94	373.81	460.44	323.03	521.76	409.15	269.6	432.53	314.17	500.46	195.72	447.82	346.29	336.79	426.57	249.73	483.38	242.88	503.95	130.6	356.05	429.54	387.02	521.76	384.34	460.44	429.54	368.65	195.72	403.5	287.01	669.92	450.94	450.94	289.02	543.96	234.57	579.04	327.56	277.2	234.57	409.15	361.04	126.12	218.79	616.37	470.14	361.04	346.29	420.68	567.1	329.84	169.07	497.0	336.79	507.46	384.34	381.68	239.52	256.78	379.04	387.02	412.0	244.57	281.09	595.34	466.88	438.59	303.44	547.75	555.41	334.46	246.28	66.65	29.06	400.71	256.78	81.71	104.42	150.17
JHDM1D	22.92	209.84	228.13	106.63	137.14	209.84	28.04	10.63	40.64	29.06	151.22	75.64	137.14	85.82	92.7	199.85	57.89	68.55	99.43	54.33	55.49	65.72	65.72	85.22	16.27	78.34	120.1	75.11	339.14	212.78	269.6	208.38	503.95	232.94	281.09	66.65	159.9	293.07	126.12	206.94	293.07	201.25	358.54	133.36	587.13	267.73	217.27	327.56	126.12	281.09	309.83	351.14	193.01	202.66	71.0	348.71	217.27	166.73	198.47	450.94	149.12	256.78	314.17	102.25	229.72	224.97	301.33	363.56	429.54	309.83	142.01	187.71	476.71	279.14	163.28	271.48	466.88	164.42	137.14	92.05	186.4	529.06	181.28	249.73	212.78	400.71	57.49	162.14	312.0	409.15	155.5	265.87	237.86	543.96	52.82	151.22	395.18	110.43	236.21	147.06	285.03	341.51	297.17	172.65	327.56	361.04	246.28	121.79	19.11	22.1	307.69	486.75	51.71	15.68	27.25
