	GTEX.14C38.2626.SM.5RQI4	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.AACX.01A.11R.A41C.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.RG.A7D4.01A.12R.A33R.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.5R.AA1C.01A.11R.A41C.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.CC.A5UE.01A.11R.A28V.07	TCGA.GJ.A3OU.01A.31R.A38B.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4627.11A.01R.1758.07	TCGA.38.4632.11A.01R.1755.07	GTEX.13D11.0326.SM.5LZXX	GTEX.ZZPU.0526.SM.5E44U	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.139YR.0926.SM.5LZYB	GTEX.ZAB4.0626.SM.5CVN3	GTEX.R55G.0826.SM.2TC5U	GTEX.13FLV.0426.SM.5KLZA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.WVJS.0826.SM.4MVNR	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.77.8007.11A.01R.2187.07
ATP10A	46.84	36.27	60.82	12.45	26.86	1.64	27.25	16.75	8.58	14.35	6.01	6.67	2.46	5.73	29.91	3.38	0.0	2.36	8.0	15.91	16.75	1.68	13.42	4.78	11.82	343.89	28.24	5.59	6.31	2.39	3.41	57.89	25.72	28.65	1.79	12.93	1.69	43.63	3.14	13.12	3.86	3.66	37.85	2.97	3.59	0.78	129.69	40.64	170.25	81.71	185.11	128.79	52.08	381.68	29.91	66.65	571.05	87.03	130.6	256.78	171.45	229.72	265.87	878.17	173.85	567.1	153.34	248.0	187.71
BAI3	13.72	3.99	0.42	0.91	2.18	0.0	3.23	4.82	0.87	3.5	0.0	0.0	0.57	1.97	0.0	0.55	0.46	0.45	0.0	0.51	0.46	0.48	4.28	3.32	1.31	0.0	2.97	0.0	0.79	0.4	0.0	0.45	0.0	9.48	0.0	2.1	0.39	5.96	2.2	17.25	4.13	2.46	5.15	3.11	7.69	6.46	15.56	4.78	41.81	18.97	16.39	28.86	16.27	9.27	16.03	13.93	14.24	9.7	84.04	32.59	23.59	16.03	11.55	52.08	13.93	8.65	30.56	59.97	18.84
BHLHE22	44.57	1.83	4.58	1.35	9.06	0.0	17.38	14.14	0.0	9.13	0.0	2.71	0.55	7.0	0.47	0.97	0.0	1.13	1.46	6.46	8.32	0.0	7.22	1.14	9.56	2.14	11.38	0.0	7.0	0.39	1.08	1.46	0.4	29.27	0.72	3.5	0.96	33.78	4.28	13.03	5.92	6.06	8.71	3.44	9.78	0.0	23.08	12.18	68.55	9.41	19.53	26.28	171.45	77.25	57.49	77.79	15.8	30.12	52.82	18.03	91.41	9.85	25.17	53.57	29.06	32.36	26.28	36.79	28.24
C1QTNF2	31.9	2.58	46.84	14.89	13.12	0.82	14.67	11.38	0.44	12.74	0.92	2.41	1.91	6.94	1.23	1.85	0.42	2.51	2.14	17.51	19.97	2.73	10.79	1.5	17.13	0.92	16.88	1.87	7.94	3.89	0.0	1.81	1.68	27.05	3.17	6.21	0.66	23.59	5.68	2.97	5.68	8.45	12.64	5.45	8.58	6.41	22.43	3.99	146.03	38.95	82.29	92.7	74.58	91.41	45.85	60.82	27.25	37.05	84.63	71.0	118.43	36.53	57.08	107.38	9.7	37.05	26.47	138.1	71.5
C1QTNF7	17.77	2.14	139.07	9.27	35.25	0.0	16.15	9.34	2.53	7.11	4.03	0.99	0.91	4.24	5.87	1.3	0.0	0.69	1.68	4.94	15.34	0.39	4.74	0.71	3.03	2.03	14.45	4.82	1.31	1.45	0.34	0.69	1.87	24.11	1.22	5.23	1.71	28.65	9.48	22.75	10.79	17.0	16.03	3.44	17.77	10.96	58.3	8.32	185.11	93.35	75.64	237.86	281.09	42.41	62.12	122.64	249.73	8.32	185.11	78.34	218.79	84.63	29.06	432.53	69.03	85.82	96.68	271.48	99.43
CALCRL	703.28	60.39	220.32	53.57	68.55	57.08	231.32	318.57	31.9	229.72	112.77	29.27	47.5	143.01	29.27	80.01	71.5	32.13	69.52	111.99	234.57	66.65	100.83	28.86	94.67	69.03	334.46	139.07	73.54	12.27	38.67	57.89	65.72	540.19	36.79	167.9	21.94	500.46	40.36	46.84	142.01	21.32	51.71	20.86	81.71	102.25	698.41	153.34	2915.45	629.35	1745.2	2075.59	486.75	718.08	988.12	902.89	1015.93	1073.91	1519.15	1427.22	1487.87	579.04	307.69	1233.75	1417.35	651.58	866.07	2119.22	813.63
CALHM2	161.02	318.57	825.0	229.72	287.01	35.76	202.66	215.77	60.82	156.59	122.64	88.26	70.51	137.14	69.03	50.27	26.67	32.36	143.01	177.53	293.07	58.71	90.77	44.89	140.04	56.28	214.27	66.65	63.45	41.22	29.06	68.55	42.41	358.54	42.11	100.83	49.21	607.87	26.28	26.86	125.24	46.84	64.8	50.63	115.16	75.11	656.11	137.14	1088.92	414.87	698.41	967.76	796.86	1015.93	629.35	954.43	796.86	376.41	1594.73	389.72	780.44	674.59	327.56	1662.49	173.85	753.83	279.14	808.0	713.11
CASQ2	127.0	6.52	40.93	11.55	15.91	2.89	18.97	31.22	24.11	18.7	23.93	0.68	7.94	8.06	2.1	20.11	4.35	7.69	3.47	9.13	22.1	40.36	7.94	9.7	20.11	7.34	66.18	22.75	6.67	1.33	7.69	3.89	9.85	28.86	8.25	21.47	2.66	31.0	5.06	4.5	0.99	2.41	6.11	1.23	6.94	4.06	21.16	11.21	195.72	47.5	104.42	612.11	99.43	14.45	125.24	10.0	40.93	8.71	37.59	61.68	376.41	149.12	29.48	115.16	8.45	37.59	19.82	14.45	27.44
CC2D2B	13.52	2.97	4.24	1.39	0.0	1.35	9.85	3.44	0.93	2.18	0.58	0.85	1.11	1.33	4.78	0.59	0.0	0.49	1.25	1.43	1.28	1.38	0.0	0.51	2.71	0.57	9.93	0.91	0.85	0.43	0.0	0.49	0.46	11.64	1.14	3.99	1.39	6.57	1.87	0.39	4.74	0.41	1.0	0.0	1.28	0.0	14.35	2.58	1.91	7.94	5.92	8.92	6.62	6.01	2.41	9.63	6.16	2.73	10.79	5.06	2.51	5.92	8.92	5.5	4.31	18.7	5.63	23.08	10.39
CD248	205.5	86.43	525.39	173.85	283.05	29.06	246.28	248.0	111.99	293.07	78.89	96.01	42.11	109.66	55.1	59.97	25.72	64.8	60.39	256.78	420.68	111.21	110.43	129.69	187.71	50.98	299.25	74.06	165.57	75.64	37.32	139.07	108.9	366.09	35.0	98.73	43.02	389.72	27.25	98.04	76.17	39.5	64.8	26.28	73.54	58.71	429.54	211.31	1242.34	218.79	2502.97	563.18	518.15	1605.83	112.77	2163.77	346.29	961.07	1369.04	769.69	1508.65	733.19	1721.16	525.39	171.45	295.11	139.07	616.37	830.75
CD93	728.11	164.42	878.17	150.17	587.13	103.69	241.19	265.87	94.67	201.25	87.65	158.79	87.03	105.89	62.56	98.73	29.06	46.5	221.86	132.44	267.73	98.04	100.13	52.82	164.42	120.1	532.74	113.56	119.26	35.5	70.01	173.85	108.14	381.68	56.68	107.38	33.06	620.67	45.85	69.52	228.13	39.22	57.49	117.6	147.06	88.26	1023.0	314.17	1769.57	1340.84	1950.0	928.3	518.15	595.34	1417.35	1216.75	1605.83	688.78	1447.15	1950.0	8479.89	748.61	320.8	500.46	2485.67	647.07	3614.55	1135.2	1135.2
CDH11	612.11	46.18	483.38	110.43	63.0	21.78	98.73	123.5	33.3	92.05	39.79	7.06	8.99	14.89	15.91	6.89	1.1	2.63	10.0	60.39	156.59	6.01	46.18	8.85	44.57	25.35	128.79	16.03	25.91	25.17	10.71	6.26	10.96	178.77	6.94	27.44	2.89	223.41	17.25	36.53	7.06	23.93	37.32	6.06	31.9	13.03	624.99	279.14	909.17	525.39	2895.31	656.11	2645.74	3212.66	647.07	3212.66	231.32	866.07	6745.86	2178.83	2287.2	1359.57	379.04	1051.79	651.58	934.76	303.44	2502.97	1378.57
CHSY1	1295.13	218.79	312.0	133.36	211.31	35.0	120.1	92.05	57.49	91.41	29.91	56.28	18.43	76.17	90.14	78.34	10.0	50.63	72.52	103.69	126.12	43.02	78.89	156.59	64.34	104.42	221.86	60.82	124.37	17.13	43.02	68.07	56.28	215.77	24.81	57.89	44.89	186.4	133.36	80.57	84.04	53.95	75.64	53.19	60.39	102.97	301.33	265.87	432.53	435.55	473.41	435.55	693.58	915.51	435.55	486.75	395.18	435.55	612.11	470.14	2664.15	271.48	493.56	264.03	373.81	208.38	563.18	587.13	647.07
CNRIP1	232.94	223.41	450.94	131.51	228.13	22.43	76.71	91.41	30.56	72.01	41.81	50.27	31.22	53.57	40.93	22.92	20.71	16.15	84.63	56.28	131.51	23.08	40.64	18.56	70.01	35.5	120.1	27.84	64.8	13.72	34.02	40.93	34.26	163.28	28.24	35.0	26.86	193.01	29.91	28.65	82.87	49.56	49.56	40.64	103.69	60.39	343.89	84.63	693.58	521.76	239.52	476.71	647.07	579.04	674.59	607.87	301.33	152.28	836.53	273.37	403.5	291.04	163.28	842.36	128.79	271.48	283.05	587.13	647.07
COL14A1	1127.35	38.95	780.44	241.19	209.84	3.86	202.66	329.84	32.82	117.6	18.43	11.04	10.88	97.36	12.27	42.11	1.04	12.83	24.11	125.24	189.02	12.45	120.94	12.0	116.78	19.39	281.09	53.19	60.39	23.42	3.14	10.47	19.82	358.54	14.45	58.71	5.45	341.51	53.19	167.9	78.34	81.14	108.14	18.43	358.54	96.01	356.05	260.38	409.15	214.27	73.54	303.44	2502.97	1709.26	1388.16	483.38	127.0	511.0	4010.71	320.8	1551.09	154.42	91.41	1167.14	139.07	426.57	633.73	1008.9	559.28
COL15A1	285.03	43.63	848.22	295.11	420.68	52.08	289.02	325.29	32.36	363.56	285.03	50.63	100.83	107.38	34.75	45.85	13.62	32.13	46.5	198.47	242.88	63.45	172.65	14.67	153.34	51.35	264.03	58.71	88.88	17.38	12.74	47.5	31.22	381.68	38.95	139.07	9.41	587.13	3.86	24.99	1.39	3.76	22.59	2.58	10.55	8.32	234.57	447.82	339.14	70.51	389.72	110.43	698.41	684.02	232.94	441.64	20.41	884.29	1685.71	271.48	587.13	224.97	1001.93	521.76	58.3	164.42	117.6	241.19	420.68
COL5A1	358.54	140.04	1447.15	182.55	525.39	11.3	373.81	490.14	201.25	281.09	29.27	48.18	42.71	127.0	46.5	40.36	4.5	31.45	81.14	629.35	575.03	31.9	187.71	21.78	312.0	61.68	441.64	36.27	150.17	64.34	13.83	72.01	34.02	470.14	21.16	117.6	10.88	698.41	79.45	74.06	158.79	81.14	78.34	63.45	120.94	39.79	728.11	1167.14	1159.07	285.03	2303.12	376.41	10959.3	9344.14	358.54	1806.78	90.14	2061.24	7589.61	848.22	620.67	543.96	5255.91	1519.15	297.17	591.22	312.0	1883.54	1896.65
COL8A1	127.89	39.79	915.51	154.42	126.12	7.17	85.82	109.66	32.36	63.45	7.17	5.45	1.35	24.81	17.38	14.14	5.77	1.89	12.27	70.01	96.68	3.69	37.59	7.22	54.33	33.06	77.79	10.24	21.63	12.09	20.26	10.96	2.84	159.9	4.1	57.49	3.56	193.01	5.87	3.03	5.19	5.5	5.02	2.58	8.51	6.78	708.18	291.04	525.39	536.45	819.3	733.19	11189.6	7331.05	941.27	713.11	231.32	748.61	2555.58	3794.3	1639.59	1437.15	412.0	1950.0	2163.77	802.41	224.97	967.76	1135.2
CRISPLD2	5292.48	89.51	371.22	123.5	353.59	5.06	215.77	198.47	28.04	320.8	22.26	22.92	10.24	65.72	15.34	25.35	6.31	15.91	27.05	71.5	197.09	29.27	125.24	16.88	78.34	31.9	334.46	20.86	51.71	18.43	20.11	28.86	13.72	262.2	27.05	51.71	11.13	466.88	35.5	172.65	71.5	34.02	67.12	28.04	64.34	24.28	583.07	441.64	693.58	638.15	748.61	297.17	1651.0	547.75	896.64	536.45	733.19	463.65	1135.2	759.08	6887.62	974.5	599.49	400.71	441.64	743.43	954.43	267.73	836.53
CSPG4	120.94	28.45	149.12	31.0	128.79	15.56	93.35	64.34	51.35	77.79	31.9	25.35	20.26	22.59	18.97	25.72	8.06	14.56	30.56	92.7	84.04	52.82	21.32	28.65	42.41	28.24	155.5	59.55	52.45	18.03	17.64	56.28	27.44	108.14	21.32	30.56	41.22	149.12	2.78	10.24	8.38	2.46	7.11	4.82	10.47	3.29	153.34	115.16	417.77	115.16	297.17	314.17	21.78	262.2	194.36	133.36	316.37	81.14	414.87	190.34	1388.16	156.59	138.1	220.32	103.69	108.9	86.43	157.68	100.13
DACT3	320.8	11.21	312.0	53.19	67.59	2.86	32.82	33.54	14.24	23.93	4.58	10.47	3.92	16.63	4.24	8.51	1.13	4.62	6.84	43.63	72.01	5.02	14.14	4.31	36.79	3.17	65.72	7.06	33.78	11.47	1.08	8.71	8.38	50.98	3.82	20.41	2.32	51.35	9.41	57.49	13.52	28.45	15.91	24.28	34.02	17.77	127.0	90.77	403.5	91.41	96.68	246.28	312.0	208.38	339.14	234.57	61.25	66.65	256.78	129.69	305.55	204.07	57.08	397.93	34.75	56.28	74.06	267.73	147.06
DPYSL3	703.28	78.34	934.76	146.03	153.34	36.79	166.73	173.85	38.67	170.25	9.27	32.13	36.53	73.03	25.72	22.26	40.93	21.63	50.63	105.89	187.71	58.71	54.33	28.04	76.17	75.64	197.09	46.5	85.22	15.91	25.72	56.68	10.47	312.0	15.22	46.5	17.51	358.54	59.55	45.85	45.85	49.91	108.14	14.56	84.04	41.22	954.43	361.04	1143.1	684.02	420.68	669.92	7130.55	1896.65	1088.92	902.89	221.86	595.34	2163.77	289.02	1950.0	373.81	723.08	733.19	237.86	518.15	353.59	1397.83	1135.2
EDNRA	50.98	18.03	156.59	27.64	11.47	5.5	52.82	53.95	28.24	35.25	8.78	10.55	6.67	21.47	5.68	11.91	2.61	11.3	16.39	52.08	60.82	13.83	22.59	10.79	18.97	13.42	74.58	20.26	27.44	10.55	8.45	19.97	19.11	90.77	6.62	18.84	5.32	88.88	6.84	16.27	7.75	8.13	22.92	5.96	22.1	21.78	346.29	85.82	409.15	334.46	208.38	275.28	228.13	293.07	217.27	395.18	226.54	173.85	813.63	444.72	1208.34	127.0	115.97	808.0	67.12	98.04	63.0	1051.79	293.07
EFS	41.22	6.78	81.14	15.11	15.68	0.83	22.75	22.1	8.06	7.63	2.41	3.92	1.48	9.13	4.03	1.97	0.0	2.46	2.05	41.81	23.93	5.28	9.85	3.72	8.45	3.38	24.99	4.58	6.57	3.86	1.58	2.86	3.41	30.78	3.35	8.85	0.73	31.67	5.54	16.15	12.64	9.48	15.91	8.06	5.82	8.25	121.79	32.13	197.09	120.1	325.29	150.17	426.57	503.95	185.11	532.74	78.34	133.36	336.79	239.52	165.57	134.3	483.38	1359.57	102.25	83.45	85.82	500.46	182.55
ELN	70.51	84.04	2178.83	381.68	476.71	12.74	295.11	373.81	111.99	265.87	45.85	19.68	29.27	159.9	95.34	48.87	7.88	16.39	49.56	368.65	656.11	58.3	136.19	40.07	256.78	27.05	429.54	44.89	193.01	72.01	5.36	49.56	22.59	500.46	17.0	336.79	25.91	616.37	109.66	183.82	48.87	87.03	387.02	253.23	189.02	110.43	1674.06	1378.57	7433.4	1015.93	1096.5	890.44	5147.73	2895.31	872.1	2875.3	1111.82	420.68	6037.61	1540.37	902.89	3325.99	305.55	2591.27	1870.53	5076.84	4152.18	2777.33	1572.76
EMCN	423.61	56.28	312.0	63.45	141.02	72.52	201.25	228.13	22.92	211.31	102.25	36.53	85.22	193.01	70.51	87.65	70.51	36.79	63.0	65.72	244.57	87.03	91.41	34.75	146.03	143.01	264.03	113.56	102.25	20.41	74.58	68.55	69.03	414.87	44.57	177.53	37.05	389.72	55.49	23.08	186.4	41.81	81.71	50.27	82.87	68.55	493.56	169.07	2178.83	743.43	2609.3	2104.58	217.27	579.04	1662.49	285.03	665.29	1151.06	2502.97	551.56	1023.0	1467.37	229.72	583.07	633.73	384.34	79.45	830.75	738.29
EMILIN1	343.89	244.57	1923.14	921.88	1015.93	43.94	728.11	836.53	178.77	587.13	41.52	122.64	42.11	507.46	80.01	102.25	23.59	86.43	85.82	507.46	802.41	33.78	693.58	67.12	656.11	47.84	836.53	45.85	277.2	137.14	29.48	116.78	48.87	941.27	74.06	279.14	35.5	1286.18	303.44	543.96	633.73	209.84	503.95	204.07	429.54	218.79	1127.35	547.75	2573.36	785.88	2004.85	819.3	10512.82	3639.7	941.27	2193.99	511.0	2682.69	5183.54	1023.0	1044.52	1127.35	5913.33	3190.46	698.41	848.22	785.88	3039.3	2271.4
