	GTEX.SE5C.1026.SM.4BRUG	GTEX.1399U.2226.SM.5KLZI	GTEX.12WSJ.0826.SM.5PNWV	GTEX.13O61.1226.SM.5KM21	GTEX.11EQ9.0926.SM.5HL6I	GTEX.ZVZP.1426.SM.5NQ7R	GTEX.YF7O.0826.SM.4W21F	GTEX.S95S.0326.SM.4B66U	TCGA.VQ.A8PC.01A.11R.A39E.31	TCGA.VQ.AA6A.01A.11R.A414.31	TCGA.BR.8485.01A.11R.2402.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.HF.7132.01A.11R.2055.13	TCGA.FP.A8CX.01A.11R.A36D.31	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.6563.01A.13R.2055.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.VQ.A8PX.01A.12R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.VQ.A928.01A.11R.A414.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.FP.7735.11A.01R.2055.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.13O61.1126.SM.5L3FI
CDC20	27.05	73.54	102.25	36.27	37.59	43.32	24.11	10.96	389.72	2148.82	1991.0	201.25	1030.12	961.07	1277.29	201.25	612.11	2701.35	651.58	1378.57	688.78	426.57	5.28	59.13	273.37	518.15	1096.5	1208.34	83.45
CELSR3	41.22	16.63	5.77	13.52	6.57	25.72	4.58	23.42	269.6	316.37	379.04	50.63	92.05	242.88	80.57	69.52	90.77	48.18	47.5	316.37	81.14	75.64	14.89	34.75	31.0	35.25	11.55	15.0	10.31
CHDH	1.03	54.33	22.26	41.52	10.39	14.45	7.57	35.0	400.71	323.03	323.03	220.32	450.94	607.87	285.03	497.0	115.16	571.05	341.51	612.11	796.86	432.53	22.26	303.44	579.04	154.42	103.69	98.04	17.51
CLCN2	34.51	198.47	57.89	100.13	142.01	62.56	70.01	58.3	287.01	281.09	316.37	65.26	191.67	244.57	148.09	165.57	291.04	258.57	273.37	376.41	395.18	195.72	49.21	161.02	73.03	81.14	47.17	48.87	127.89
CLCN5	26.1	8.71	12.18	30.56	29.91	28.86	17.9	33.78	146.03	212.78	195.72	97.36	109.66	85.82	71.5	101.54	108.14	109.66	139.07	158.79	100.13	164.42	19.25	52.08	85.22	32.59	51.71	24.11	15.91
CLPB	133.36	161.02	209.84	157.68	82.29	110.43	154.42	172.65	271.48	616.37	620.67	241.19	285.03	395.18	392.44	202.66	414.87	195.72	521.76	138.1	381.68	283.05	195.72	193.01	228.13	166.73	206.94	165.57	117.6
CNOT6	114.36	117.6	73.54	154.42	246.28	120.94	172.65	197.09	303.44	414.87	511.0	256.78	406.31	248.0	204.07	209.84	285.03	189.02	447.82	366.09	441.64	420.68	176.29	211.31	226.54	162.14	144.01	141.02	107.38
COPB2	1487.87	1233.75	1135.2	1250.98	1268.46	1159.07	1127.35	1295.13	2319.15	4010.71	2591.27	1991.0	2224.63	2119.22	2645.74	1487.87	1832.01	2133.97	3349.13	2997.45	2209.26	2915.45	1088.92	1407.55	2287.2	1561.89	1407.55	1340.84	1001.93
CRISP2	0.0	0.0	0.0	0.0	1.73	0.0	0.0	0.53	21.94	103.69	3.59	9.78	21.32	0.31	0.0	18.7	37.32	5.19	50.98	3.0	34.51	1.03	0.0	0.0	2.89	0.46	0.0	0.0	0.0
CRNKL1	327.56	373.81	289.02	281.09	251.48	255.0	363.56	339.14	698.41	414.87	555.41	406.31	409.15	381.68	299.25	314.17	521.76	412.0	540.19	460.44	438.59	518.15	211.31	228.13	299.25	273.37	183.82	239.52	325.29
CTR9	307.69	297.17	209.84	334.46	289.02	262.2	279.14	379.04	743.43	536.45	500.46	629.35	473.41	426.57	454.09	381.68	647.07	297.17	718.08	420.68	409.15	412.0	232.94	334.46	532.74	412.0	540.19	327.56	312.0
DDX10	466.88	351.14	265.87	358.54	237.86	277.2	444.72	432.53	571.05	518.15	559.28	555.41	400.71	351.14	397.93	420.68	599.49	381.68	825.0	351.14	503.95	356.05	221.86	264.03	223.41	275.28	339.14	291.04	269.6
DIAPH1	420.68	503.95	423.61	679.29	571.05	629.35	759.08	624.99	1685.71	2240.11	1909.85	1685.71	2075.59	3257.52	2645.74	1216.75	1295.13	1417.35	2417.67	2163.77	2255.7	1225.22	201.25	854.13	1896.65	1242.34	1304.15	1242.34	426.57
DNAJC16	83.45	83.45	79.45	154.42	143.01	110.43	115.97	137.14	291.04	438.59	273.37	237.86	353.59	193.01	177.53	171.45	293.07	115.16	438.59	182.55	269.6	287.01	109.66	161.02	190.34	119.26	99.43	104.42	71.5
DPY19L1	96.01	68.55	101.54	157.68	205.5	108.14	162.14	171.45	460.44	728.11	417.77	371.22	358.54	226.54	279.14	295.11	379.04	166.73	332.14	583.07	848.22	295.11	158.79	171.45	232.94	214.27	127.0	215.77	99.43
DSP	41.81	193.01	37.05	94.01	48.52	76.71	41.22	72.52	1977.24	2609.3	1697.45	1225.22	1583.71	928.3	941.27	703.28	642.59	1697.45	2133.97	890.44	2935.74	2287.2	35.0	656.11	1745.2	295.11	961.07	242.88	140.04
DUSP16	101.54	193.01	56.28	281.09	231.32	127.89	108.14	191.67	624.99	669.92	718.08	457.25	595.34	312.0	371.22	397.93	633.73	423.61	813.63	842.36	902.89	583.07	167.9	397.93	647.07	353.59	346.29	281.09	312.0
ENTPD6	629.35	780.44	1066.48	1340.84	1127.35	1508.65	1225.22	1794.29	2739.08	2895.31	2367.9	1175.27	1733.13	2976.74	1745.2	1819.35	1467.37	2047.0	2816.11	3589.58	4010.71	2319.15	723.08	1127.35	1769.57	1242.34	1143.1	974.5	463.65
EPS8L2	371.22	373.81	305.55	854.13	842.36	603.67	202.66	599.49	3395.89	5366.37	3901.01	1073.91	1923.14	3372.43	1844.76	1143.1	1259.69	1674.06	2319.15	2796.65	3349.13	2287.2	185.11	1183.45	1781.89	1191.69	1674.06	842.36	463.65
EPT1	48.87	68.07	43.32	78.89	92.05	69.52	82.29	94.01	334.46	356.05	536.45	217.27	291.04	291.04	239.52	120.1	234.57	156.59	341.51	339.14	323.03	253.23	53.57	113.56	158.79	98.73	118.43	98.73	53.95
FAM206A	178.77	277.2	264.03	212.78	181.28	283.05	237.86	283.05	651.58	395.18	376.41	371.22	460.44	397.93	295.11	258.57	343.89	232.94	438.59	483.38	297.17	358.54	301.33	309.83	420.68	351.14	190.34	329.84	291.04
FBRSL1	1551.09	1044.52	854.13	1628.26	1437.15	1605.83	1350.18	1583.71	2240.11	1844.76	2451.44	1697.45	2255.7	2075.59	1745.2	1088.92	1457.23	1883.54	2351.53	1407.55	2335.28	1286.18	1081.39	1397.83	954.43	842.36	890.44	698.41	785.88
FGFR4	49.56	163.28	124.37	25.72	50.98	105.15	128.79	70.51	728.11	2119.22	2047.0	497.0	260.38	1340.84	612.11	988.12	656.11	1457.23	638.15	1617.0	3325.99	967.76	97.36	426.57	450.94	363.56	279.14	275.28	20.71
FKTN	30.56	38.12	26.47	92.05	110.43	55.1	92.7	126.12	373.81	211.31	175.07	224.97	281.09	155.5	105.89	115.16	171.45	150.17	182.55	236.21	176.29	244.57	75.11	125.24	145.02	90.14	79.45	98.04	55.1
FOXM1	35.5	36.27	51.35	20.26	31.9	24.46	13.32	14.67	518.15	1295.13	1313.23	214.27	473.41	603.67	708.18	144.01	480.04	620.67	638.15	1388.16	412.0	842.36	5.59	55.89	178.77	234.57	237.86	334.46	34.02
GEN1	14.24	18.03	9.56	19.68	32.59	15.56	19.53	36.27	253.23	242.88	305.55	182.55	154.42	108.14	85.82	48.18	82.87	81.71	166.73	197.09	237.86	95.34	7.22	17.64	64.8	85.82	44.57	65.26	18.43
GFM1	447.82	551.56	514.56	320.8	412.0	320.8	417.77	567.1	698.41	825.0	743.43	679.29	728.11	728.11	529.06	463.65	575.03	536.45	836.53	723.08	684.02	825.0	343.89	457.25	476.71	438.59	389.72	341.51	379.04
GINS1	11.73	19.97	8.13	4.35	4.82	5.59	3.92	8.85	332.14	173.85	297.17	58.3	133.36	142.01	105.15	34.75	187.71	163.28	186.4	186.4	206.94	90.14	3.29	18.56	49.91	53.95	82.29	111.99	13.52
GNL2	791.35	575.03	738.29	688.78	665.29	536.45	486.75	902.89	1143.1	1628.26	1508.65	1259.69	1111.82	1096.5	1407.55	921.88	1733.13	1242.34	1417.35	921.88	1225.22	1015.93	723.08	665.29	1104.13	1143.1	1088.92	872.1	753.83
GOLGA3	595.34	164.42	163.28	332.14	373.81	379.04	293.07	493.56	728.11	1073.91	718.08	595.34	669.92	808.0	733.19	348.71	665.29	490.14	642.59	457.25	1259.69	1001.93	493.56	497.0	647.07	303.44	305.55	220.32	163.28
GPR107	376.41	307.69	190.34	463.65	620.67	503.95	379.04	642.59	796.86	775.05	583.07	543.96	728.11	441.64	525.39	441.64	620.67	466.88	902.89	909.17	1096.5	764.36	450.94	426.57	540.19	332.14	336.79	307.69	339.14
HCFC1	974.5	723.08	497.0	684.02	638.15	1295.13	896.64	713.11	1350.18	2047.0	1508.65	896.64	981.29	974.5	941.27	651.58	967.76	718.08	1295.13	1295.13	1605.83	1183.45	1081.39	780.44	647.07	503.95	525.39	450.94	633.73
HIRA	493.56	409.15	217.27	371.22	435.55	420.68	341.51	540.19	540.19	463.65	718.08	426.57	579.04	579.04	547.75	299.25	320.8	273.37	759.08	320.8	571.05	532.74	299.25	366.09	409.15	312.0	334.46	277.2	289.02
HOOK1	4.82	27.84	3.96	30.34	15.68	7.17	8.19	12.0	441.64	884.29	559.28	251.48	265.87	329.84	314.17	88.26	146.03	180.02	366.09	435.55	265.87	256.78	3.66	79.45	283.05	183.82	136.19	76.17	8.51
ICA1	88.88	224.97	145.02	212.78	93.35	232.94	84.63	156.59	2935.74	2193.99	1388.16	1037.29	1540.37	1794.29	1286.18	595.34	1487.87	1250.98	1295.13	2319.15	981.29	1745.2	191.67	414.87	1250.98	583.07	1037.29	802.41	175.07
IGF2BP2	6.94	93.35	102.25	139.07	85.82	137.14	80.01	127.89	1487.87	1467.37	1369.04	612.11	473.41	438.59	361.04	177.53	915.51	113.56	854.13	1447.15	961.07	540.19	21.32	198.47	414.87	194.36	246.28	107.38	30.56
ITGA6	101.54	457.25	221.86	403.5	283.05	366.09	237.86	583.07	3349.13	2816.11	1883.54	2287.2	2664.15	1277.29	1794.29	967.76	1477.58	1111.82	2319.15	1819.35	3515.68	1605.83	182.55	825.0	1936.53	967.76	1073.91	718.08	260.38
KDM4A	173.85	332.14	102.97	269.6	262.2	217.27	209.84	293.07	559.28	748.61	490.14	353.59	583.07	444.72	450.94	371.22	334.46	329.84	518.15	426.57	503.95	543.96	255.0	463.65	583.07	293.07	283.05	271.48	281.09
KIF12	0.0	23.42	0.0	101.54	5.82	0.0	0.77	55.89	848.22	571.05	551.56	158.79	995.0	518.15	156.59	848.22	265.87	536.45	536.45	854.13	1832.01	842.36	1.75	361.04	559.28	417.77	273.37	239.52	2.76
KIF2C	79.45	42.11	30.78	12.27	13.42	13.93	3.63	21.63	194.36	928.3	525.39	90.77	387.02	228.13	318.57	63.89	150.17	277.2	353.59	555.41	265.87	169.07	11.38	31.9	84.04	128.79	126.12	255.0	43.63
KIF3B	147.06	318.57	153.34	271.48	312.0	220.32	253.23	287.01	1119.56	902.89	1023.0	432.53	525.39	490.14	490.14	447.82	543.96	466.88	780.44	780.44	660.68	412.0	264.03	353.59	450.94	293.07	420.68	239.52	198.47
KRTAP5-1	1.41	1.83	0.0	12.83	0.0	0.0	5.32	4.31	77.25	131.51	38.12	22.1	16.39	35.25	7.57	8.65	87.03	6.52	115.97	102.97	138.1	16.27	15.11	33.54	5.32	4.66	7.51	5.06	7.75
LARP4B	239.52	299.25	191.67	447.82	529.06	366.09	376.41	529.06	1540.37	1883.54	1397.83	866.07	1051.79	813.63	954.43	536.45	921.88	748.61	1508.65	1119.56	1051.79	1369.04	285.03	525.39	878.17	503.95	647.07	438.59	277.2
LGR4	142.01	366.09	98.73	305.55	301.33	277.2	287.01	218.79	921.88	1242.34	1008.9	647.07	753.83	1001.93	753.83	373.81	507.46	447.82	1844.76	1417.35	1322.37	624.99	214.27	403.5	974.5	291.04	432.53	271.48	128.79
LIF	161.02	11.21	20.26	25.54	20.41	45.53	43.94	70.51	103.69	267.73	346.29	96.68	239.52	63.0	72.52	218.79	181.28	85.82	262.2	366.09	281.09	80.57	42.71	78.34	19.97	132.44	20.41	58.3	14.45
LPIN2	214.27	231.32	81.71	262.2	267.73	255.0	231.32	198.47	878.17	2335.28	954.43	836.53	872.1	698.41	575.03	473.41	583.07	1135.2	1437.15	1191.69	2351.53	2451.44	151.22	490.14	1208.34	432.53	521.76	351.14	180.02
LRRC8B	13.32	31.0	18.56	37.59	33.06	21.01	29.27	39.5	368.65	198.47	191.67	182.55	236.21	138.1	142.01	84.04	155.5	135.24	283.05	253.23	191.67	153.34	28.45	98.73	172.65	79.45	65.26	71.0	29.7
MAPK6	260.38	226.54	133.36	199.85	224.97	139.07	177.53	224.97	780.44	947.83	1030.12	629.35	571.05	555.41	684.02	297.17	387.02	242.88	808.0	753.83	559.28	616.37	163.28	242.88	518.15	358.54	358.54	389.72	201.25
MAVS	248.0	191.67	163.28	432.53	642.59	343.89	239.52	525.39	934.76	796.86	981.29	409.15	629.35	1023.0	638.15	441.64	896.64	595.34	1001.93	599.49	934.76	860.08	476.71	511.0	480.04	312.0	493.56	323.03	438.59
MBTPS2	91.41	141.02	108.9	112.77	157.68	126.12	167.9	145.02	159.9	226.54	264.03	183.82	180.02	155.5	140.04	163.28	206.94	130.6	189.02	181.28	178.77	260.38	180.02	172.65	165.57	106.63	100.13	111.99	127.89
MED14	301.33	142.01	117.6	329.84	358.54	241.19	334.46	301.33	559.28	878.17	848.22	748.61	532.74	587.13	412.0	521.76	486.75	684.02	708.18	708.18	579.04	981.29	260.38	454.09	457.25	269.6	332.14	329.84	285.03
MGRN1	1259.69	728.11	571.05	1233.75	1331.57	854.13	791.35	1259.69	1183.45	1651.0	1572.76	1015.93	1304.15	1923.14	1322.37	1199.98	1015.93	1073.91	1268.46	1378.57	2133.97	1639.59	780.44	1369.04	974.5	660.68	836.53	693.58	884.29
MIPEP	764.36	447.82	507.46	336.79	201.25	329.84	332.14	293.07	567.1	387.02	559.28	406.31	363.56	480.04	450.94	379.04	303.44	215.77	616.37	493.56	703.28	371.22	167.9	161.02	368.65	297.17	271.48	242.88	218.79
MRPL48	674.59	1001.93	1111.82	336.79	309.83	536.45	426.57	353.59	759.08	1350.18	1183.45	981.29	785.88	656.11	1066.48	1259.69	1487.87	836.53	1457.23	1277.29	995.0	915.51	656.11	612.11	718.08	1417.35	1081.39	1467.37	486.75
MSMO1	262.2	314.17	417.77	226.54	202.66	193.01	218.79	256.78	753.83	1909.85	813.63	444.72	688.78	1359.57	500.46	379.04	353.59	438.59	295.11	836.53	2004.85	647.07	146.03	309.83	607.87	620.67	1015.93	791.35	281.09
MTF1	83.45	69.03	38.67	72.01	87.65	68.55	73.03	123.5	146.03	189.02	95.34	115.97	108.9	129.69	133.36	73.54	105.15	93.35	134.3	151.22	90.14	130.6	88.26	113.56	111.21	68.55	112.77	76.17	95.34
MUC1	169.07	587.13	1936.53	3103.19	928.3	1883.54	878.17	3018.3	15392.14	59063.35	5517.27	34396.12	24153.43	80125.95	28525.2	4419.52	4298.64	44452.21	118949.35	81809.59	148488.36	28328.16	723.08	20170.07	36357.37	26986.43	71219.26	18689.27	400.71
MYO6	165.57	175.07	82.87	185.11	187.71	113.56	142.01	193.01	1369.04	1540.37	1685.71	974.5	1044.52	1127.35	647.07	575.03	780.44	642.59	1709.26	988.12	988.12	941.27	91.41	409.15	836.53	420.68	961.07	336.79	199.85
NBEAL1	26.28	80.57	48.87	69.03	84.63	49.56	52.08	78.34	190.34	289.02	126.12	329.84	125.24	121.79	154.42	96.01	228.13	99.43	190.34	177.53	293.07	124.37	50.27	97.36	223.41	81.14	185.11	92.7	64.8
NDC1	68.55	128.79	71.0	69.52	78.89	74.06	72.52	98.73	536.45	941.27	703.28	312.0	607.87	444.72	473.41	201.25	318.57	387.02	529.06	698.41	587.13	384.34	61.25	163.28	229.72	221.86	212.78	281.09	79.45
NFE2L3	29.06	60.39	30.34	154.42	119.26	87.65	67.12	112.77	1697.45	974.5	974.5	559.28	1216.75	454.09	265.87	642.59	902.89	432.53	860.08	1233.75	928.3	860.08	38.95	193.01	384.34	325.29	183.82	218.79	45.21
NIPA2	575.03	703.28	432.53	368.65	361.04	426.57	441.64	529.06	1628.26	1295.13	902.89	961.07	967.76	723.08	1286.18	713.11	961.07	612.11	934.76	1151.06	981.29	1167.14	490.14	583.07	909.17	866.07	718.08	848.22	397.93
NIPAL2	109.66	102.97	95.34	232.94	115.97	148.09	152.28	115.16	376.41	470.14	409.15	540.19	563.18	423.61	202.66	346.29	392.44	204.07	769.69	460.44	514.56	567.1	133.36	273.37	529.06	343.89	309.83	327.56	170.25
NUP98	633.73	753.83	503.95	836.53	728.11	748.61	738.29	1059.11	2032.85	1896.65	1427.22	1111.82	1167.14	1216.75	1135.2	928.3	1225.22	915.51	2090.03	1250.98	1313.23	1111.82	703.28	1008.9	785.88	813.63	684.02	854.13	1167.14
OPA1	309.83	460.44	267.73	371.22	563.18	303.44	466.88	486.75	669.92	1151.06	693.58	796.86	915.51	693.58	713.11	406.31	575.03	633.73	1143.1	567.1	791.35	669.92	529.06	547.75	764.36	392.44	579.04	480.04	366.09
PAFAH1B2	341.51	376.41	312.0	460.44	460.44	376.41	525.39	500.46	866.07	1051.79	1143.1	854.13	921.88	551.56	674.59	718.08	1066.48	579.04	1059.11	813.63	928.3	921.88	480.04	518.15	738.29	547.75	698.41	529.06	521.76
PARD6B	10.08	19.68	11.3	24.46	16.03	10.88	28.65	20.41	144.01	819.3	432.53	170.25	73.03	244.57	123.5	80.57	206.94	124.37	466.88	595.34	283.05	271.48	10.0	47.17	131.51	58.71	170.25	55.1	14.24
PARP4	289.02	514.56	285.03	450.94	444.72	454.09	500.46	490.14	1388.16	1457.23	1167.14	915.51	1023.0	769.69	909.17	1001.93	713.11	336.79	1073.91	1378.57	1096.5	1119.56	532.74	674.59	1023.0	511.0	587.13	414.87	450.94
PAXIP1	69.03	119.26	67.59	116.78	172.65	101.54	105.89	152.28	251.48	314.17	293.07	236.21	277.2	275.28	220.32	141.02	228.13	214.27	273.37	343.89	312.0	244.57	128.79	183.82	205.5	162.14	146.03	143.01	94.67
PDCD6IP	909.17	1519.15	775.05	2537.92	2976.74	1909.85	1936.53	2319.15	4239.45	3060.45	1963.57	2997.45	2720.15	3349.13	3901.01	1529.73	1794.29	5791.62	2609.3	3540.14	3168.41	1594.73	947.83	2303.12	3235.01	1883.54	2400.97	1551.09	2240.11
PDIA5	190.34	412.0	400.71	358.54	279.14	209.84	198.47	444.72	1088.92	1651.0	902.89	1183.45	981.29	1540.37	1183.45	1183.45	1037.29	2061.24	1991.0	1127.35	1175.27	1594.73	208.38	775.05	2351.53	1781.89	1529.73	1369.04	164.42
PGC	0.65	9.78	6.46	8046889.67	1634025.56	249.73	7.75	938500.81	716197.51	400098.69	434801.29	2310861.52	2310861.52	535303.41	2310861.52	828417.36	1916442.45	1.011504819E7	1131651.83	805764.22	932018.1	5128124.01	2682.69	659036.03	5690009.96	2025714.3	4885245.74	2654482.97	44.57
PIGO	170.25	420.68	389.72	329.84	307.69	301.33	303.44	264.03	674.59	1331.57	540.19	450.94	432.53	915.51	674.59	334.46	599.49	1519.15	890.44	500.46	928.3	587.13	262.2	480.04	656.11	409.15	483.38	435.55	202.66
PPM1H	8.45	26.1	7.4	38.95	8.45	9.93	25.35	21.78	406.31	305.55	277.2	164.42	229.72	130.6	150.17	121.79	351.14	193.01	271.48	348.71	217.27	343.89	16.39	110.43	251.48	108.9	142.01	98.73	8.19
PPP4R1	669.92	764.36	497.0	934.76	1407.55	872.1	848.22	974.5	947.83	1769.57	961.07	988.12	775.05	1088.92	780.44	620.67	854.13	830.75	1081.39	1127.35	1225.22	1437.15	647.07	780.44	723.08	571.05	497.0	543.96	909.17
PSEN1	356.05	819.3	318.57	551.56	563.18	486.75	507.46	559.28	1037.29	1096.5	1059.11	723.08	1059.11	961.07	733.19	808.0	733.19	684.02	571.05	947.83	1322.37	780.44	457.25	688.78	748.61	579.04	688.78	571.05	616.37
PSME4	417.77	579.04	429.54	738.29	967.76	854.13	860.08	1175.27	1250.98	1331.57	1159.07	1081.39	693.58	967.76	733.19	571.05	921.88	435.55	1250.98	854.13	896.64	775.05	412.0	384.34	563.18	620.67	486.75	457.25	420.68
