	GTEX.YJ8O.0326.SM.5RQJW	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.11OF3.2326.SM.5GU73	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.13G51.1026.SM.5K7YQ	GTEX.11ONC.1426.SM.5N9F4	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.139TU.1326.SM.5LZXW	GTEX.WZTO.1526.SM.4PQYQ	GTEX.P4PP.0526.SM.2HMKE	GTEX.YF7O.0626.SM.4W21R	GTEX.13U4I.1426.SM.5J2M3	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.111YS.0626.SM.5GZXV	GTEX.117YX.1326.SM.5H125	GTEX.12WSN.0626.SM.5BC61	GTEX.U3ZN.0626.SM.3DB7U	GTEX.YEC3.0226.SM.5IFJO	GTEX.12BJ1.1026.SM.5EGJA	GTEX.WFON.0426.SM.3GIL4	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.UJHI.0726.SM.3DB92	GTEX.X4LF.0526.SM.3NMB6	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.T8EM.0326.SM.3DB7F	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.RM2N.0426.SM.2TF4T
C3orf52	33.54	25.91	5.73	39.79	30.34	27.84	46.84	36.27	28.24	52.45	69.03	848.22	223.41	215.77	339.14	454.09	361.04	218.79	289.02	323.03	193.01	236.21	253.23	116.78	195.72	307.69	567.1	435.55	209.84	262.2	476.71	309.83	336.79	182.55	162.14	224.97	273.37	493.56	248.0	260.38	316.37	309.83
C5orf15	503.95	493.56	551.56	384.34	329.84	366.09	514.56	444.72	420.68	312.0	591.22	769.69	1781.89	785.88	1081.39	748.61	1551.09	1540.37	1369.04	1183.45	884.29	1030.12	1096.5	854.13	1991.0	1651.0	1950.0	3124.78	1322.37	1331.57	1870.53	1059.11	909.17	1127.35	1199.98	884.29	796.86	3146.52	1066.48	713.11	1104.13	1242.34
CAPZA2	1340.84	1529.73	995.0	1037.29	1322.37	1127.35	1008.9	1651.0	1295.13	1135.2	1417.35	4769.75	7032.37	1617.0	3589.58	2855.44	4239.45	4095.0	4639.29	2976.74	3820.7	2537.92	5672.41	2664.15	6935.54	8658.09	10733.74	7032.37	3257.52	5329.3	5995.9	2682.69	1950.0	1487.87	2701.35	3716.2	2319.15	8363.13	2351.53	2224.63	3820.7	6471.02
CCDC47	450.94	518.15	493.56	420.68	493.56	420.68	591.22	507.46	441.64	629.35	486.75	2976.74	1721.16	738.29	1923.14	3716.2	1896.65	1277.29	1378.57	1191.69	1350.18	1583.71	1806.78	1322.37	2255.7	1991.0	2739.08	2468.49	1781.89	2303.12	1991.0	1447.15	1340.84	981.29	1225.22	1733.13	1295.13	2895.31	1208.34	1037.29	1572.76	2178.83
CCNYL1	136.19	117.6	197.09	93.35	117.6	159.9	137.14	134.3	126.12	186.4	148.09	769.69	733.19	343.89	460.44	612.11	669.92	426.57	551.56	429.54	409.15	379.04	525.39	406.31	476.71	536.45	629.35	796.86	493.56	567.1	507.46	417.77	547.75	603.67	571.05	536.45	503.95	974.5	414.87	429.54	463.65	708.18
CDC42	2303.12	2417.67	1909.85	1819.35	2090.03	1963.57	2193.99	2485.67	1950.0	1896.65	2119.22	7589.61	11112.3	4123.49	6037.61	6887.62	8134.41	3768.09	6207.38	4543.8	4639.29	5006.93	7589.61	3982.99	6652.97	8538.88	10296.45	9673.69	4268.94	7803.01	6935.54	2701.35	4152.18	3212.66	4607.24	5995.9	4481.23	10585.95	4298.64	5041.77	5147.73	9409.14
CDV3	825.0	1208.34	733.19	928.3	1037.29	825.0	1175.27	1151.06	1073.91	1295.13	967.76	5076.84	3168.41	1617.0	2758.13	5147.73	3103.19	2502.97	2451.44	2148.82	2255.7	2163.77	2255.7	2271.4	4512.4	4038.61	5751.61	3325.99	2664.15	4123.49	2935.74	1529.73	1467.37	1572.76	2193.99	3081.75	1628.26	4639.29	1844.76	1498.22	2609.3	3589.58
CHMP2B	381.68	381.68	426.57	325.29	457.25	384.34	483.38	423.61	373.81	336.79	395.18	1037.29	1208.34	507.46	1008.9	1844.76	1437.15	1216.75	947.83	808.0	775.05	629.35	1015.93	339.14	1572.76	1769.57	1697.45	1769.57	961.07	1437.15	1551.09	860.08	878.17	343.89	791.35	1059.11	466.88	2573.36	660.68	529.06	769.69	1427.22
CHRAC1	395.18	476.71	387.02	460.44	432.53	368.65	409.15	500.46	426.57	444.72	417.77	1143.1	1143.1	457.25	1119.56	1242.34	1119.56	1015.93	536.45	813.63	532.74	830.75	842.36	866.07	995.0	1551.09	1697.45	1015.93	896.64	1044.52	684.02	660.68	511.0	447.82	909.17	1135.2	518.15	1268.46	642.59	723.08	665.29	934.76
COQ10B	381.68	343.89	320.8	281.09	389.72	323.03	397.93	395.18	291.04	444.72	332.14	967.76	981.29	466.88	642.59	921.88	890.44	728.11	616.37	559.28	551.56	497.0	669.92	463.65	884.29	769.69	1191.69	836.53	738.29	896.64	748.61	559.28	403.5	409.15	503.95	595.34	457.25	1015.93	444.72	529.06	679.29	947.83
DDX18	363.56	420.68	384.34	384.34	432.53	361.04	490.14	470.14	450.94	450.94	432.53	1331.57	915.51	612.11	698.41	947.83	842.36	693.58	934.76	624.99	785.88	764.36	860.08	688.78	1127.35	1030.12	1350.18	1583.71	928.3	1135.2	967.76	854.13	507.46	656.11	684.02	941.27	599.49	1447.15	669.92	753.83	902.89	934.76
DERL1	400.71	423.61	392.44	309.83	381.68	265.87	409.15	412.0	341.51	476.71	348.71	1883.54	1844.76	1096.5	1199.98	1508.65	1242.34	995.0	1427.22	1340.84	723.08	1467.37	1794.29	1233.75	1628.26	1883.54	2555.58	1896.65	1359.57	1447.15	1639.59	961.07	1088.92	775.05	1059.11	1407.55	718.08	2119.22	1059.11	954.43	1183.45	1936.53
DNAJB9	193.01	423.61	228.13	145.02	279.14	209.84	309.83	329.84	162.14	332.14	260.38	1015.93	1167.14	339.14	708.18	1322.37	934.76	890.44	607.87	583.07	336.79	269.6	728.11	353.59	947.83	684.02	1427.22	1369.04	642.59	775.05	551.56	796.86	629.35	457.25	497.0	476.71	796.86	1088.92	500.46	248.0	563.18	688.78
DPY19L1	135.24	199.85	190.34	136.19	93.35	145.02	173.85	173.85	146.03	142.01	183.82	1923.14	476.71	248.0	802.41	486.75	460.44	173.85	368.65	536.45	323.03	221.86	543.96	137.14	651.58	802.41	1111.82	1651.0	295.11	563.18	1216.75	211.31	283.05	155.5	285.03	242.88	381.68	1781.89	260.38	356.05	267.73	1551.09
DSC2	20.41	15.8	22.26	15.56	15.8	15.91	15.56	13.93	12.55	17.51	20.26	325.29	536.45	269.6	454.09	242.88	466.88	82.29	329.84	426.57	141.02	208.38	323.03	248.0	325.29	647.07	896.64	571.05	363.56	507.46	486.75	262.2	154.42	100.13	353.59	490.14	141.02	1242.34	325.29	156.59	99.43	540.19
DYNC1LI1	412.0	363.56	336.79	339.14	334.46	366.09	358.54	420.68	361.04	397.93	339.14	825.0	759.08	551.56	660.68	842.36	718.08	624.99	674.59	599.49	647.07	599.49	669.92	587.13	764.36	738.29	921.88	872.1	651.58	775.05	780.44	493.56	490.14	547.75	616.37	713.11	669.92	1104.13	551.56	540.19	723.08	909.17
EAF1	98.04	74.58	105.15	93.35	70.51	88.26	81.14	100.13	107.38	85.22	103.69	660.68	412.0	242.88	325.29	454.09	389.72	291.04	285.03	400.71	283.05	336.79	417.77	397.93	312.0	490.14	457.25	409.15	395.18	409.15	339.14	376.41	236.21	251.48	373.81	346.29	327.56	500.46	341.51	269.6	329.84	373.81
EI24	1008.9	1044.52	825.0	860.08	934.76	848.22	802.41	1151.06	808.0	988.12	884.29	2061.24	2148.82	995.0	1844.76	2384.37	1662.49	2090.03	1757.34	1551.09	1529.73	1883.54	2032.85	1709.26	2119.22	2609.3	2701.35	2976.74	1844.76	1832.01	1936.53	1977.24	1225.22	1322.37	1508.65	1963.57	1268.46	2520.38	1639.59	1350.18	1605.83	2193.99
EIF1AX	674.59	507.46	490.14	441.64	500.46	447.82	591.22	507.46	417.77	536.45	490.14	1594.73	1447.15	836.53	791.35	1268.46	1286.18	591.22	902.89	1051.79	780.44	819.3	954.43	830.75	1304.15	1183.45	2224.63	2335.28	1015.93	1208.34	967.76	785.88	764.36	728.11	665.29	921.88	693.58	1685.71	514.56	575.03	785.88	1151.06
EIF2A	1037.29	915.51	1259.69	967.76	1127.35	981.29	1250.98	1001.93	1286.18	1151.06	1119.56	1572.76	1963.57	1304.15	1388.16	1977.24	2018.8	1605.83	1674.06	2367.9	2018.8	1059.11	2133.97	1583.71	1733.13	2303.12	2701.35	4512.4	2047.0	1322.37	3146.52	2018.8	1167.14	1313.23	2384.37	1857.6	1832.01	5041.77	2209.26	1378.57	1651.0	1651.0
EIF4E	248.0	454.09	309.83	356.05	341.51	291.04	309.83	351.14	329.84	353.59	368.65	1721.16	1044.52	486.75	819.3	796.86	748.61	728.11	1015.93	718.08	620.67	642.59	988.12	521.76	947.83	1199.98	1540.37	1467.37	753.83	1104.13	902.89	660.68	713.11	483.38	595.34	915.51	551.56	1397.83	536.45	525.39	583.07	974.5
EIF4G2	4736.79	6121.9	4704.07	4972.34	5112.16	4450.27	4388.98	6079.61	4607.24	4671.57	5672.41	13586.57	13776.25	10084.54	10808.41	12502.12	11827.67	9673.69	11664.82	9540.5	8421.31	8778.97	13586.57	11189.6	11745.96	14663.09	19754.96	19214.73	10659.59	11424.74	14461.21	8598.28	7537.18	6164.49	9673.69	10883.59	6983.79	20593.91	9215.48	10084.54	10959.3	12676.65
FAM177A1	633.73	902.89	679.29	679.29	866.07	684.02	961.07	941.27	642.59	1066.48	743.43	3168.41	4543.8	1447.15	4450.27	5147.73	8191.0	4869.99	2835.7	3419.52	4836.35	3060.45	3540.14	2682.69	9409.14	5672.41	5711.87	2997.45	3614.55	3874.05	3081.75	5147.73	3540.14	2004.85	3103.19	3928.15	4512.4	4298.64	3491.39	1844.76	2777.33	3690.52
FAM204A	785.88	791.35	679.29	775.05	1066.48	854.13	708.18	928.3	769.69	791.35	728.11	1051.79	1030.12	836.53	1104.13	1216.75	1066.48	909.17	1059.11	890.44	1143.1	703.28	1037.29	890.44	1277.29	1551.09	1529.73	1417.35	909.17	1143.1	1437.15	890.44	878.17	743.43	1225.22	866.07	884.29	1844.76	785.88	733.19	1250.98	1111.82
GALNT1	591.22	305.55	503.95	341.51	417.77	348.71	343.89	409.15	392.44	368.65	444.72	1159.07	1250.98	547.75	723.08	1407.55	698.41	543.96	540.19	624.99	466.88	669.92	928.3	536.45	1096.5	1051.79	1295.13	1844.76	759.08	587.13	813.63	591.22	339.14	309.83	836.53	583.07	373.81	3395.89	679.29	698.41	543.96	1250.98
GLTP	616.37	547.75	579.04	656.11	547.75	547.75	457.25	595.34	490.14	591.22	493.56	1674.06	1769.57	1331.57	954.43	3395.89	1617.0	1183.45	1199.98	1662.49	1487.87	1561.89	1977.24	1540.37	1832.01	2384.37	2468.49	1037.29	1369.04	2468.49	813.63	718.08	1407.55	656.11	1304.15	1583.71	1096.5	1572.76	651.58	842.36	1286.18	1697.45
GMFB	339.14	229.72	356.05	454.09	215.77	368.65	460.44	279.14	336.79	291.04	412.0	759.08	1216.75	665.29	665.29	759.08	915.51	438.59	791.35	753.83	713.11	356.05	764.36	603.67	974.5	1397.83	1977.24	1487.87	775.05	995.0	884.29	603.67	389.72	438.59	842.36	785.88	414.87	2193.99	651.58	587.13	1073.91	1286.18
GNG10	718.08	674.59	860.08	555.41	764.36	599.49	723.08	703.28	629.35	698.41	642.59	1733.13	2148.82	1191.69	769.69	1651.0	1617.0	1304.15	1216.75	1551.09	1437.15	1030.12	1662.49	1685.71	1674.06	1551.09	1883.54	2061.24	1159.07	2875.3	1437.15	1191.69	1059.11	587.13	1477.58	1561.89	1059.11	3928.15	1359.57	1167.14	1127.35	1378.57
GPR160	29.48	28.04	44.89	17.25	11.13	15.68	49.21	41.22	23.42	76.71	58.71	642.59	2148.82	532.74	988.12	242.88	1551.09	1583.71	1127.35	808.0	693.58	595.34	1023.0	575.03	1151.06	2609.3	1322.37	1662.49	559.28	842.36	1313.23	775.05	785.88	813.63	1259.69	981.29	1073.91	1044.52	624.99	603.67	518.15	872.1
GTF3C4	95.34	59.55	109.66	75.11	54.72	66.65	35.25	75.11	70.51	78.89	65.72	277.2	212.78	115.97	144.01	287.01	165.57	166.73	185.11	172.65	157.68	186.4	228.13	239.52	176.29	231.32	312.0	221.86	197.09	214.27	239.52	169.07	123.5	115.97	223.41	220.32	83.45	236.21	175.07	126.12	201.25	214.27
HCCS	241.19	341.51	182.55	226.54	366.09	180.02	253.23	305.55	285.03	285.03	242.88	490.14	521.76	358.54	379.04	381.68	409.15	447.82	571.05	463.65	470.14	392.44	521.76	351.14	457.25	514.56	454.09	748.61	438.59	514.56	450.94	307.69	368.65	193.01	346.29	420.68	205.5	587.13	353.59	327.56	429.54	473.41
HIATL1	426.57	414.87	316.37	366.09	281.09	397.93	395.18	447.82	400.71	373.81	432.53	866.07	1583.71	642.59	1199.98	802.41	688.78	638.15	808.0	748.61	607.87	629.35	1143.1	587.13	1467.37	1923.14	1437.15	1561.89	713.11	1388.16	967.76	825.0	759.08	518.15	947.83	1417.35	486.75	1733.13	647.07	583.07	1023.0	1397.83
HSPA13	153.34	164.42	162.14	115.16	115.97	135.24	148.09	154.42	105.89	115.97	151.22	532.74	438.59	180.02	444.72	830.75	303.44	265.87	273.37	218.79	181.28	271.48	275.28	193.01	525.39	351.14	780.44	988.12	318.57	444.72	371.22	299.25	229.72	217.27	248.0	228.13	221.86	866.07	164.42	164.42	293.07	493.56
KCNK1	47.5	59.13	11.47	35.25	36.79	38.67	73.03	28.24	48.52	78.89	46.84	1225.22	616.37	180.02	356.05	1242.34	521.76	521.76	368.65	457.25	291.04	301.33	473.41	389.72	281.09	796.86	941.27	454.09	406.31	384.34	521.76	457.25	251.48	190.34	244.57	423.61	480.04	679.29	329.84	279.14	514.56	551.56
KLF5	115.97	145.02	155.5	74.58	47.17	100.83	98.73	59.55	133.36	117.6	88.26	4607.24	2178.83	723.08	2240.11	2384.37	2739.08	1561.89	1883.54	1519.15	1286.18	1023.0	1857.6	1359.57	1487.87	2148.82	8840.04	1936.53	1313.23	2384.37	2468.49	1088.92	1662.49	915.51	902.89	1605.83	1037.29	2119.22	1250.98	1127.35	1304.15	1286.18
LAMC2	83.45	144.01	79.45	190.34	236.21	65.26	249.73	271.48	53.95	153.34	177.53	3168.41	928.3	463.65	4671.57	1909.85	1250.98	764.36	3018.3	651.58	684.02	796.86	1594.73	921.88	1447.15	947.83	3190.46	2133.97	703.28	2627.46	3081.75	738.29	1111.82	260.38	660.68	1417.35	909.17	2133.97	514.56	1378.57	1127.35	1674.06
LNX2	100.13	67.59	98.73	115.97	103.69	113.56	85.82	108.14	97.36	113.56	105.15	1233.75	660.68	348.71	1104.13	1216.75	813.63	525.39	656.11	403.5	447.82	503.95	624.99	426.57	878.17	688.78	1096.5	796.86	486.75	620.67	775.05	466.88	665.29	444.72	395.18	587.13	507.46	813.63	384.34	497.0	629.35	733.19
LRRC8E	10.08	23.08	3.11	7.94	5.32	3.2	5.68	3.63	23.59	7.69	22.43	397.93	165.57	85.22	197.09	249.73	193.01	115.97	178.77	151.22	148.09	163.28	214.27	157.68	185.11	193.01	241.19	159.9	129.69	226.54	120.1	119.26	220.32	143.01	139.07	253.23	158.79	209.84	175.07	128.79	181.28	170.25
MAL2	29.48	33.3	7.69	30.12	10.24	18.7	12.74	52.82	77.25	34.26	14.24	6935.54	7485.11	2193.99	4869.99	6121.9	5147.73	3146.52	4937.99	3874.05	3874.05	2591.27	5555.65	3124.78	4450.27	7081.29	9279.58	9540.5	3280.18	4512.4	7537.18	2997.45	4298.64	2384.37	3146.52	4298.64	4481.23	9945.68	2645.74	2796.65	3515.68	5076.84
MCMBP	395.18	438.59	371.22	336.79	454.09	341.51	406.31	447.82	381.68	587.13	423.61	1457.23	884.29	563.18	836.53	1059.11	813.63	884.29	775.05	536.45	748.61	743.43	1088.92	612.11	1359.57	1104.13	1295.13	1143.1	780.44	1277.29	1233.75	665.29	759.08	532.74	563.18	988.12	423.61	1529.73	563.18	551.56	830.75	1167.14
MEGF9	137.14	112.77	191.67	249.73	97.36	187.71	166.73	128.79	108.14	119.26	244.57	878.17	974.5	307.69	941.27	2367.9	825.0	813.63	713.11	830.75	511.0	830.75	825.0	563.18	1427.22	1183.45	1757.34	1733.13	599.49	1208.34	1051.79	466.88	759.08	567.1	836.53	1233.75	579.04	1844.76	848.22	480.04	1030.12	1498.22
METAP2	748.61	896.64	890.44	780.44	961.07	872.1	665.29	713.11	819.3	884.29	915.51	2335.28	1909.85	1447.15	1519.15	1963.57	1757.34	1551.09	1617.0	1819.35	1781.89	1127.35	1857.6	1551.09	1733.13	2133.97	2777.33	2627.46	1709.26	2209.26	2384.37	1540.37	1407.55	1135.2	1583.71	1697.45	1250.98	2976.74	1127.35	1457.23	1662.49	1909.85
MMGT1	291.04	323.03	181.28	241.19	273.37	209.84	255.0	242.88	279.14	299.25	204.07	759.08	684.02	301.33	612.11	642.59	688.78	642.59	493.56	384.34	575.03	414.87	764.36	638.15	651.58	733.19	1001.93	860.08	486.75	525.39	866.07	543.96	329.84	379.04	555.41	486.75	511.0	836.53	567.1	441.64	575.03	860.08
MOB4	417.77	358.54	429.54	366.09	397.93	403.5	323.03	356.05	429.54	361.04	432.53	571.05	921.88	521.76	454.09	693.58	896.64	819.3	669.92	460.44	909.17	361.04	759.08	483.38	796.86	909.17	1322.37	1111.82	665.29	647.07	1001.93	432.53	295.11	351.14	532.74	540.19	389.72	1697.45	376.41	371.22	651.58	743.43
MORF4L2	1936.53	3081.75	2319.15	2148.82	2335.28	2075.59	3614.55	2351.53	2335.28	2573.36	2384.37	4152.18	4512.4	1639.59	3395.89	5219.6	4769.75	4038.61	2777.33	2855.44	2303.12	2485.67	3820.7	3589.58	3690.52	3716.2	5791.62	5517.27	4152.18	4038.61	5292.48	3395.89	2451.44	2701.35	3235.01	2855.44	3874.05	7485.11	2555.58	2591.27	3372.43	4450.27
MTDH	490.14	555.41	457.25	497.0	470.14	426.57	466.88	591.22	500.46	412.0	595.34	1378.57	1151.06	470.14	825.0	1540.37	890.44	718.08	967.76	674.59	642.59	543.96	884.29	507.46	1467.37	1605.83	2627.46	2255.7	902.89	1225.22	825.0	769.69	1088.92	426.57	620.67	1073.91	748.61	2645.74	616.37	559.28	808.0	1143.1
MTMR6	177.53	140.04	155.5	175.07	166.73	175.07	159.9	204.07	172.65	155.5	185.11	435.55	476.71	287.01	327.56	334.46	297.17	279.14	334.46	371.22	423.61	256.78	395.18	262.2	743.43	412.0	559.28	723.08	353.59	563.18	441.64	242.88	239.52	293.07	426.57	371.22	289.02	934.76	277.2	234.57	543.96	688.78
NDFIP2	116.78	135.24	172.65	131.51	105.89	115.16	128.79	150.17	137.14	141.02	182.55	1508.65	775.05	293.07	842.36	1001.93	813.63	743.43	567.1	503.95	493.56	409.15	723.08	381.68	921.88	684.02	1487.87	1216.75	457.25	728.11	1199.98	409.15	518.15	309.83	417.77	463.65	395.18	1794.29	283.05	353.59	470.14	759.08
NRAS	148.09	97.36	139.07	135.24	95.34	121.79	116.78	128.79	128.79	146.03	138.1	723.08	743.43	454.09	500.46	1015.93	607.87	387.02	466.88	497.0	521.76	429.54	551.56	490.14	866.07	854.13	1175.27	1143.1	507.46	884.29	780.44	289.02	189.02	297.17	563.18	518.15	289.02	1268.46	381.68	358.54	656.11	802.41
NUS1	301.33	305.55	332.14	332.14	224.97	320.8	309.83	327.56	309.83	312.0	316.37	718.08	819.3	414.87	384.34	769.69	507.46	490.14	579.04	384.34	447.82	392.44	638.15	392.44	599.49	624.99	860.08	961.07	470.14	764.36	651.58	429.54	420.68	373.81	470.14	480.04	412.0	1216.75	460.44	366.09	518.15	743.43
PAIP2	1295.13	1304.15	1508.65	1225.22	1651.0	1088.92	1467.37	1359.57	1268.46	1417.35	1350.18	1819.35	3257.52	1651.0	1551.09	3257.52	3103.19	2271.4	2133.97	2609.3	2915.45	1857.6	4095.0	1639.59	4543.8	4481.23	4607.24	2271.4	2047.0	2739.08	2664.15	1950.0	1883.54	954.43	2400.97	2209.26	2004.85	3372.43	1447.15	1233.75	1757.34	3257.52
PAK2	273.37	305.55	232.94	265.87	251.48	271.48	285.03	267.73	262.2	309.83	348.71	1277.29	728.11	417.77	703.28	981.29	629.35	595.34	669.92	392.44	318.57	536.45	718.08	327.56	1199.98	1313.23	1674.06	1757.34	480.04	1216.75	836.53	447.82	486.75	283.05	547.75	915.51	406.31	1806.78	381.68	392.44	599.49	1388.16
PDCD10	551.56	490.14	507.46	571.05	579.04	432.53	543.96	473.41	476.71	454.09	529.06	872.1	2209.26	642.59	890.44	890.44	1199.98	1250.98	1407.55	1023.0	1388.16	713.11	2816.11	669.92	2777.33	2018.8	3515.68	2609.3	1259.69	1991.0	2555.58	967.76	656.11	575.03	954.43	1561.89	836.53	3540.14	915.51	480.04	1286.18	1313.23
POLR3C	309.83	262.2	248.0	255.0	309.83	273.37	279.14	242.88	309.83	325.29	229.72	842.36	563.18	470.14	559.28	587.13	567.1	463.65	503.95	603.67	559.28	624.99	607.87	587.13	651.58	660.68	708.18	665.29	620.67	642.59	532.74	559.28	336.79	429.54	624.99	703.28	341.51	612.11	607.87	450.94	612.11	660.68
