	TCGA.A7.A0DC.01A.11R.A00Z.07	TCGA.AC.A2FB.01A.11R.A17B.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.AR.A0TP.01A.11R.A084.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A8.A0AB.01A.11R.A034.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.A7.A0DC.01A.11R.A00Z.07.1	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A4S2.01A.12R.A266.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.EW.A1P5.01A.11R.A144.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.E9.A1ND.01A.11R.A144.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.PL.A8LZ.01A.31R.A36F.07	TCGA.AC.A2BK.01A.11R.A21T.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AR.A5QN.01A.12R.A28M.07	TCGA.AC.A62X.01A.11R.A29R.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A0BT.11A.21R.A12P.07	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.T2IS.1526.SM.32QPR	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W
DDX60	75.11	1225.22	624.99	83.45	642.59	1359.57	941.27	36.27	629.35	198.47	75.11	441.64	2303.12	273.37	368.65	2075.59	320.8	1242.34	231.32	217.27	884.29	2502.97	500.46	532.74	500.46	231.32	1561.89	33.3	450.94	1378.57	825.0	665.29	316.37	518.15	454.09	429.54	444.72	105.89	1583.71	74.06
DDX60L	85.22	607.87	392.44	98.04	305.55	591.22	559.28	26.47	392.44	189.02	85.22	253.23	1519.15	264.03	301.33	387.02	119.26	638.15	122.64	205.5	423.61	825.0	251.48	470.14	293.07	181.28	1745.2	127.0	273.37	595.34	1183.45	248.0	129.69	500.46	206.94	153.34	115.97	341.51	575.03	80.57
DHX58	336.79	780.44	830.75	115.16	1008.9	974.5	525.39	157.68	961.07	547.75	336.79	438.59	1757.34	395.18	454.09	1709.26	332.14	620.67	503.95	215.77	759.08	1594.73	511.0	713.11	409.15	447.82	1183.45	43.63	532.74	1651.0	1175.27	1001.93	463.65	507.46	733.19	346.29	283.05	287.01	1781.89	457.25
DTX3L	189.02	872.1	1135.2	295.11	460.44	1191.69	1143.1	248.0	583.07	500.46	189.02	540.19	1350.18	406.31	389.72	974.5	1015.93	825.0	438.59	218.79	543.96	1662.49	854.13	616.37	406.31	403.5	1561.89	258.57	713.11	995.0	785.88	409.15	400.71	543.96	327.56	316.37	351.14	444.72	698.41	255.0
EIF2AK2	176.29	748.61	595.34	295.11	351.14	748.61	1519.15	291.04	395.18	262.2	176.29	497.0	954.43	447.82	551.56	854.13	603.67	1001.93	204.07	728.11	775.05	1104.13	420.68	403.5	718.08	273.37	1883.54	934.76	521.76	684.02	1096.5	457.25	248.0	571.05	363.56	283.05	177.53	583.07	1030.12	151.22
EPSTI1	23.59	1066.48	579.04	64.8	189.02	325.29	1183.45	70.01	514.56	118.43	23.59	253.23	1331.57	307.69	55.49	748.61	253.23	842.36	76.71	40.93	785.88	1304.15	176.29	928.3	346.29	46.5	3491.39	60.39	802.41	392.44	511.0	260.38	63.89	181.28	244.57	90.77	170.25	267.73	665.29	72.52
ETV7	2.78	171.45	95.34	22.59	46.84	61.68	305.55	6.62	131.51	18.03	2.78	27.64	490.14	5.54	23.25	329.84	52.82	961.07	19.39	11.91	180.02	353.59	133.36	120.1	170.25	10.71	607.87	31.22	426.57	177.53	466.88	38.12	32.36	36.79	55.89	39.79	41.81	29.7	98.04	41.52
GBP4	43.94	1467.37	429.54	13.22	309.83	281.09	1583.71	39.79	559.28	90.14	43.94	273.37	860.08	101.54	67.59	656.11	199.85	1561.89	239.52	96.01	915.51	981.29	100.13	387.02	108.9	129.69	1639.59	80.01	1733.13	208.38	866.07	180.02	176.29	295.11	444.72	262.2	67.59	267.73	974.5	156.59
GBP5	1.75	872.1	503.95	13.12	60.39	72.01	2104.58	7.4	346.29	30.12	1.75	98.04	260.38	31.0	21.63	234.57	81.14	3124.78	40.36	12.27	454.09	674.59	15.34	379.04	191.67	12.09	1183.45	57.89	1369.04	61.25	146.03	38.4	32.13	154.42	183.82	18.56	15.91	33.3	144.01	38.4
HELZ2	269.6	698.41	607.87	123.5	325.29	1015.93	866.07	108.14	1143.1	341.51	269.6	291.04	2777.33	381.68	409.15	1498.22	718.08	941.27	339.14	145.02	693.58	1487.87	603.67	397.93	454.09	281.09	1896.65	126.12	466.88	1369.04	403.5	575.03	234.57	490.14	521.76	470.14	251.48	39.79	941.27	178.77
HERC5	52.08	575.03	241.19	54.72	119.26	368.65	629.35	14.89	341.51	32.82	52.08	120.94	961.07	61.25	47.84	607.87	78.34	559.28	44.89	22.1	232.94	547.75	64.8	231.32	307.69	93.35	1806.78	149.12	353.59	218.79	1059.11	115.16	78.89	108.9	165.57	90.77	197.09	95.34	414.87	54.33
HERC6	12.93	1286.18	312.0	31.67	193.01	693.58	1001.93	15.56	493.56	43.32	12.93	120.94	2664.15	48.87	77.25	988.12	177.53	995.0	79.45	37.05	878.17	3146.52	297.17	215.77	346.29	236.21	1870.53	67.12	361.04	825.0	1769.57	229.72	187.71	420.68	490.14	285.03	209.84	202.66	2018.8	155.5
IDO1	0.0	616.37	215.77	3.72	45.21	83.45	1437.15	3.56	138.1	13.03	0.0	26.67	289.02	10.71	16.63	928.3	29.7	3847.29	13.62	15.91	409.15	473.41	47.84	185.11	95.34	35.76	2739.08	26.47	3325.99	96.01	336.79	35.25	32.59	67.12	26.86	13.32	88.26	808.0	167.9	92.05
IFI35	438.59	3039.3	1628.26	212.78	2451.44	2777.33	1572.76	262.2	2335.28	866.07	438.59	947.83	7081.29	642.59	521.76	6652.97	1277.29	2609.3	1111.82	173.85	1617.0	5913.33	1127.35	1617.0	796.86	629.35	4903.87	151.22	2555.58	3103.19	3820.7	1950.0	848.22	490.14	848.22	511.0	1540.37	954.43	2319.15	1304.15
IFI44	86.43	2468.49	1769.57	120.1	988.12	2090.03	6207.38	66.65	2319.15	314.17	86.43	684.02	4388.98	511.0	108.14	6652.97	503.95	5183.54	301.33	149.12	2520.38	4869.99	693.58	1407.55	2018.8	490.14	11189.6	397.93	2485.67	2645.74	8134.41	1081.39	316.37	579.04	1407.55	500.46	480.04	363.56	3955.48	303.44
IFI44L	14.89	2701.35	1651.0	33.78	486.75	1447.15	4152.18	21.94	1104.13	163.28	14.89	447.82	4298.64	403.5	30.12	4903.87	275.28	2720.15	101.54	50.27	1208.34	4802.93	490.14	651.58	1191.69	201.25	7331.05	98.73	1167.14	902.89	4066.71	409.15	95.34	316.37	1183.45	186.4	234.57	133.36	3212.66	88.88
IFIH1	54.33	928.3	532.74	150.17	457.25	532.74	2018.8	44.57	447.82	98.04	54.33	368.65	2133.97	187.71	95.34	1259.69	525.39	1794.29	239.52	105.89	836.53	2061.24	429.54	503.95	1498.22	260.38	4210.15	220.32	660.68	813.63	2351.53	426.57	256.78	450.94	466.88	665.29	392.44	423.61	1023.0	189.02
IFIT1	68.07	4639.29	3235.01	114.36	3443.31	4210.15	4268.94	38.4	2163.77	187.71	68.07	1023.0	14561.8	759.08	163.28	9606.86	616.37	3665.02	204.07	88.26	2209.26	20310.37	1651.0	1628.26	1806.78	447.82	16496.96	189.02	2417.67	6792.79	32092.64	3303.0	316.37	1159.07	2163.77	277.2	728.11	878.17	6699.25	878.17
IFIT2	40.07	1561.89	728.11	55.49	629.35	813.63	1617.0	28.86	389.72	75.64	40.07	346.29	2434.5	157.68	69.03	1721.16	244.57	1073.91	103.69	60.39	674.59	5441.3	299.25	559.28	521.76	116.78	4066.71	76.71	480.04	748.61	10084.54	283.05	127.0	450.94	518.15	176.29	151.22	1135.2	1447.15	204.07
IFIT3	76.71	2816.11	1757.34	99.43	1250.98	2032.85	3794.3	57.49	1369.04	152.28	76.71	563.18	6840.04	299.25	102.97	5791.62	400.71	3901.01	236.21	84.63	1540.37	10225.32	511.0	1427.22	884.29	201.25	8247.98	139.07	1832.01	2224.63	6983.79	1175.27	183.82	595.34	1191.69	198.47	493.56	860.08	4358.66	480.04
IFIT5	212.78	703.28	486.75	194.36	384.34	624.99	733.19	62.12	305.55	140.04	212.78	429.54	808.0	343.89	312.0	669.92	242.88	555.41	269.6	395.18	470.14	1340.84	295.11	346.29	249.73	346.29	1096.5	248.0	599.49	642.59	1378.57	395.18	366.09	450.94	493.56	149.12	368.65	575.03	915.51	228.13
IL18BP	55.1	629.35	624.99	81.71	150.17	133.36	842.36	70.51	426.57	76.71	55.1	205.5	470.14	100.13	87.03	743.43	205.5	981.29	218.79	102.25	432.53	551.56	96.68	412.0	226.54	177.53	1001.93	111.99	1008.9	178.77	214.27	115.16	152.28	199.85	164.42	106.63	143.01	201.25	356.05	132.44
IRF7	579.04	1427.22	1340.84	229.72	1023.0	1605.83	813.63	114.36	1225.22	848.22	579.04	299.25	4972.34	909.17	363.56	1883.54	297.17	1617.0	397.93	53.19	1437.15	2682.69	825.0	808.0	483.38	444.72	5913.33	371.22	1963.57	2384.37	3716.2	1369.04	251.48	353.59	265.87	406.31	753.83	115.97	2384.37	381.68
IRF9	483.38	4836.35	5517.27	1096.5	3540.14	2645.74	3124.78	490.14	4575.41	1572.76	483.38	2434.5	6607.01	1529.73	1225.22	4769.75	3820.7	4769.75	1250.98	688.78	2384.37	6983.79	3742.05	2720.15	2367.9	1628.26	5751.61	1037.29	2555.58	4450.27	11827.67	3955.48	1304.15	1417.35	2018.8	417.77	802.41	1008.9	14262.1	1487.87
ISG15	346.29	7331.05	8538.88	529.06	7280.4	9876.98	10084.54	146.03	11504.21	842.36	346.29	1529.73	55877.28	2351.53	397.93	51417.5	1651.0	21468.49	878.17	89.51	9279.58	45701.96	6983.79	4671.57	12160.22	1015.93	107948.72	258.57	12943.04	22692.63	40341.14	15934.98	358.54	341.51	915.51	409.15	2739.08	2875.3	9740.98	679.29
LGALS9	119.26	5366.37	4869.99	277.2	1111.82	2335.28	5831.91	559.28	5594.3	642.59	119.26	1651.0	9876.98	1662.49	483.38	6652.97	2163.77	8840.04	2796.65	334.46	18819.27	9474.59	607.87	5112.16	1923.14	1008.9	14461.21	293.07	8778.97	5329.3	7331.05	1721.16	785.88	1794.29	1870.53	890.44	1519.15	1857.6	3212.66	1359.57
MGP	39237.98	170568.48	485798.0	228208.61	998912.34	1139523.1	659036.03	258533.99	431797.89	502929.67	39237.98	736332.6	71219.26	577714.63	425853.18	279017.26	716197.51	212926.09	546551.29	466008.55	569761.05	400098.69	1196176.45	411347.03	539026.74	623486.02	24832.5	365622.68	402881.61	363097.14	275175.93	687022.54	800198.39	585779.24	1524599.69	565825.41	1100706.72	845824.19	496005.67	1308968.45
MX1	144.01	6792.79	3955.48	141.02	2335.28	9025.81	5954.47	88.88	6699.25	273.37	144.01	1259.69	22850.48	775.05	118.43	10585.95	1259.69	8901.53	896.64	106.63	5872.48	15934.98	3901.01	2351.53	3349.13	854.13	19482.97	591.22	4481.23	5441.3	12415.75	1477.58	500.46	1167.14	2119.22	738.29	567.1	642.59	12160.22	368.65
MX2	42.71	1183.45	902.89	47.5	299.25	447.82	1923.14	48.18	1151.06	154.42	42.71	353.59	1745.2	172.65	58.71	703.28	191.67	1088.92	155.5	97.36	500.46	2240.11	135.24	759.08	429.54	149.12	4802.93	40.64	1015.93	890.44	480.04	307.69	88.88	269.6	204.07	93.35	105.15	587.13	1088.92	88.88
NT5C3A	511.0	1175.27	1119.56	480.04	791.35	854.13	1225.22	595.34	728.11	723.08	511.0	775.05	2032.85	470.14	555.41	1304.15	733.19	1277.29	543.96	1242.34	909.17	2591.27	579.04	660.68	753.83	483.38	3515.68	921.88	1191.69	1388.16	1733.13	647.07	500.46	813.63	808.0	665.29	406.31	902.89	836.53	698.41
OAS1	156.59	2855.44	2915.45	159.9	1936.53	2720.15	2609.3	81.71	2816.11	289.02	156.59	819.3	8479.89	866.07	182.55	10225.32	1963.57	3742.05	444.72	167.9	2573.36	9409.14	1757.34	1594.73	1167.14	575.03	12329.98	336.79	1909.85	5041.77	4869.99	4210.15	287.01	674.59	995.0	307.69	1104.13	339.14	7180.15	420.68
OAS2	50.63	2835.7	1923.14	66.18	1008.9	1806.78	3690.52	77.79	764.36	198.47	50.63	854.13	6079.61	320.8	74.06	4450.27	1447.15	3467.27	563.18	143.01	2255.7	8778.97	1397.83	1037.29	902.89	366.09	9474.59	277.2	1685.71	2777.33	4095.0	872.1	147.06	432.53	454.09	129.69	271.48	490.14	4181.07	325.29
OAS3	115.97	1709.26	1051.79	202.66	738.29	1467.37	2537.92	94.01	1030.12	244.57	115.97	490.14	2319.15	400.71	208.38	3874.05	759.08	2335.28	223.41	277.2	1794.29	5147.73	540.19	830.75	587.13	239.52	5711.87	231.32	872.1	1605.83	1111.82	981.29	153.34	318.57	351.14	140.04	248.0	136.19	2855.44	186.4
OASL	34.26	1216.75	575.03	30.78	490.14	642.59	1008.9	8.71	384.34	60.39	34.26	139.07	2537.92	47.84	44.25	1883.54	186.4	2520.38	58.3	10.55	607.87	2796.65	353.59	353.59	325.29	34.51	6561.36	59.13	854.13	624.99	3443.31	297.17	49.21	36.27	198.47	29.7	105.89	884.29	693.58	86.43
PARP12	234.57	1167.14	921.88	334.46	733.19	848.22	1709.26	96.68	1806.78	563.18	234.57	373.81	1870.53	796.86	429.54	1242.34	529.06	1883.54	327.56	723.08	915.51	2133.97	684.02	872.1	1096.5	429.54	2163.77	400.71	1208.34	1388.16	2209.26	733.19	426.57	476.71	651.58	406.31	162.14	532.74	1143.1	248.0
PARP14	143.01	915.51	890.44	87.65	397.93	791.35	1745.2	124.37	884.29	320.8	143.01	507.46	1572.76	327.56	334.46	921.88	603.67	1250.98	265.87	105.89	1059.11	1639.59	470.14	540.19	406.31	301.33	2720.15	236.21	718.08	780.44	1508.65	202.66	295.11	483.38	802.41	191.67	70.01	518.15	890.44	161.02
PARP9	329.84	1697.45	2090.03	309.83	1167.14	2701.35	1628.26	381.68	1721.16	638.15	329.84	1143.1	3443.31	733.19	403.5	3212.66	2209.26	1819.35	813.63	201.25	2319.15	4152.18	1551.09	1498.22	791.35	708.18	4210.15	244.57	1594.73	2434.5	3146.52	1175.27	656.11	860.08	476.71	244.57	669.92	1051.79	2018.8	521.76
PLSCR1	170.25	2271.4	2303.12	563.18	1331.57	1605.83	3901.01	327.56	1498.22	595.34	170.25	1030.12	3716.2	620.67	406.31	2502.97	791.35	4869.99	651.58	638.15	2119.22	5292.48	934.76	1540.37	1674.06	1216.75	8134.41	1427.22	2319.15	2935.74	6337.83	1350.18	1191.69	738.29	1519.15	1378.57	1407.55	1639.59	1594.73	1151.06
PSMB8	146.03	3372.43	1832.01	954.43	1397.83	2835.7	4607.24	234.57	2451.44	1111.82	146.03	1844.76	5672.41	1151.06	642.59	7081.29	2255.7	7749.1	2004.85	166.73	4152.18	4972.34	2434.5	3103.19	3349.13	1572.76	7485.11	688.78	6561.36	3467.27	7537.18	3349.13	1662.49	1250.98	1977.24	3060.45	5751.61	1733.13	2720.15	2816.11
PSMB9	75.11	3467.27	1857.6	246.28	967.76	1350.18	3235.01	104.42	2075.59	403.5	75.11	819.3	5366.37	497.0	190.34	7966.99	1295.13	5872.48	497.0	104.42	3665.02	4481.23	764.36	2287.2	2434.5	563.18	7749.1	226.54	4704.07	2163.77	3280.18	1191.69	728.11	684.02	738.29	1191.69	2976.74	1030.12	2758.13	802.41
RSAD2	10.31	1191.69	567.1	54.72	420.68	629.35	1936.53	41.22	441.64	114.36	10.31	164.42	2451.44	94.67	30.56	1923.14	163.28	1896.65	42.41	19.39	587.13	4181.07	186.4	674.59	473.41	77.79	6037.61	66.65	665.29	432.53	1467.37	307.69	38.95	204.07	409.15	138.1	56.28	182.55	860.08	82.87
SAMD9	10.08	669.92	236.21	18.03	169.07	493.56	363.56	21.01	224.97	38.4	10.08	202.66	1073.91	159.9	54.72	1437.15	154.42	759.08	107.38	149.12	223.41	2061.24	98.04	154.42	118.43	69.03	1143.1	29.91	194.36	669.92	457.25	212.78	96.01	228.13	63.0	66.18	58.3	74.58	320.8	61.68
SAMD9L	8.19	647.07	400.71	23.08	132.44	312.0	813.63	69.52	371.22	46.84	8.19	403.5	1259.69	228.13	158.79	1304.15	208.38	1044.52	249.73	43.94	366.09	2895.31	117.6	228.13	246.28	132.44	1583.71	44.25	368.65	291.04	728.11	229.72	139.07	559.28	249.73	91.41	76.71	116.78	890.44	58.71
SHISA5	1769.57	4066.71	2645.74	1119.56	3614.55	3303.0	7130.55	2319.15	3820.7	3303.0	1769.57	2537.92	7589.61	2609.3	3168.41	5517.27	2468.49	4298.64	1977.24	2224.63	4607.24	5791.62	3349.13	5147.73	2645.74	3018.3	5112.16	915.51	5366.37	5147.73	6983.79	2193.99	2573.36	1909.85	1594.73	1769.57	3190.46	1674.06	2209.26	2451.44
SP100	170.25	2209.26	1651.0	417.77	995.0	2004.85	2193.99	361.04	1388.16	595.34	170.25	1378.57	3039.3	967.76	769.69	2148.82	1551.09	1883.54	915.51	595.34	1572.76	2976.74	1111.82	1639.59	1369.04	1242.34	2682.69	409.15	1259.69	2335.28	2627.46	1081.39	1167.14	1709.26	1508.65	1322.37	941.27	2591.27	2976.74	954.43
SP110	109.66	1561.89	785.88	108.14	629.35	1487.87	1073.91	96.68	743.43	303.44	109.66	525.39	2855.44	384.34	395.18	1081.39	866.07	1066.48	532.74	297.17	791.35	2209.26	616.37	1015.93	417.77	466.88	1870.53	180.02	723.08	1498.22	1044.52	525.39	547.75	698.41	392.44	457.25	392.44	379.04	1277.29	187.71
STAT1	555.41	6294.04	5112.16	674.59	2209.26	5076.84	12502.12	540.19	3820.7	802.41	555.41	2502.97	8778.97	1191.69	1199.98	10440.2	2645.74	13215.02	1008.9	1519.15	6294.04	10883.59	2047.0	2835.7	3146.52	1051.79	8421.31	1183.45	4210.15	3982.99	3491.39	2664.15	1096.5	2047.0	1388.16	571.05	1350.18	1819.35	4575.41	660.68
TAP1	170.25	3081.75	1794.29	500.46	1111.82	1295.13	8022.41	146.03	2319.15	559.28	170.25	836.53	4836.35	753.83	334.46	5672.41	1175.27	9673.69	785.88	162.14	5041.77	4358.66	1268.46	1977.24	3491.39	708.18	14163.58	651.58	9151.82	2303.12	5831.91	2061.24	638.15	540.19	915.51	1119.56	438.59	1143.1	2997.45	361.04
TRIM21	53.95	723.08	555.41	78.89	432.53	400.71	802.41	131.51	441.64	289.02	53.95	334.46	954.43	223.41	159.9	1081.39	305.55	1119.56	447.82	100.13	507.46	1199.98	503.95	665.29	307.69	483.38	2303.12	115.16	1015.93	559.28	1111.82	327.56	420.68	571.05	420.68	249.73	830.75	400.71	872.1	532.74
TRIM22	74.06	3190.46	1757.34	103.69	341.51	967.76	2701.35	178.77	1322.37	353.59	74.06	733.19	5041.77	616.37	175.07	4639.29	769.69	1991.0	480.04	172.65	1674.06	4869.99	718.08	1037.29	660.68	1340.84	6516.03	137.14	1407.55	1340.84	1844.76	470.14	1023.0	2119.22	2090.03	738.29	753.83	1519.15	5041.77	830.75
UBE2L6	441.64	4419.52	2915.45	547.75	3325.99	5913.33	4972.34	638.15	5555.65	1008.9	441.64	2485.67	10084.54	1498.22	1001.93	5292.48	2555.58	7966.99	2351.53	1745.2	5791.62	9876.98	3419.52	4181.07	3303.0	1832.01	14461.21	376.41	7230.1	4152.18	6792.79	3443.31	1963.57	1806.78	1059.11	947.83	3982.99	1991.0	4010.71	2148.82
USP18	56.68	934.76	567.1	343.89	567.1	571.05	1119.56	112.77	525.39	258.57	56.68	291.04	1936.53	212.78	441.64	1350.18	253.23	872.1	178.77	100.83	738.29	3103.19	271.48	389.72	624.99	199.85	2537.92	145.02	1127.35	830.75	1977.24	830.75	136.19	147.06	120.94	50.98	129.69	118.43	361.04	236.21
XAF1	56.28	1295.13	1709.26	43.63	293.07	1167.14	2090.03	82.29	1427.22	186.4	56.28	476.71	5329.3	387.02	62.56	2004.85	460.44	2451.44	205.5	84.04	738.29	3257.52	1081.39	651.58	1008.9	389.72	4903.87	81.14	1008.9	1628.26	1519.15	848.22	309.83	656.11	503.95	208.38	165.57	536.45	5517.27	157.68
ZBP1	0.77	208.38	169.07	0.49	21.63	25.72	441.64	1.11	154.42	6.52	0.77	24.28	1304.15	49.91	7.22	339.14	18.29	511.0	8.19	4.9	100.13	1340.84	53.95	87.65	50.98	11.64	1477.58	16.63	273.37	31.22	748.61	90.14	19.68	62.56	38.12	66.65	23.76	23.93	80.57	3.03
