	TCGA.G2.A2EO.01A.11R.A180.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.FD.A5C1.01A.11R.A28M.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.EK.A2RO.01A.11R.A18M.07	TCGA.KL.8341.01A.11R.2315.07	TCGA.KN.8425.11A.01R.2315.07	TCGA.KN.8427.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	TCGA.KN.8424.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.T5JC.1526.SM.4DM68	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	GTEX.12696.0926.SM.5FQTV	GTEX.13RTJ.2226.SM.5S2Q1	TCGA.AK.3447.01A.01R.1766.07	TCGA.CZ.5468.11A.01R.1503.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.B0.5711.11A.01R.1672.07	TCGA.CZ.5462.11A.01R.1503.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.CZ.5467.11A.01R.1503.07	TCGA.CZ.5986.11A.01R.1672.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CZ.5458.11A.01R.1503.07	TCGA.B0.5703.11A.01R.1541.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.BQ.5887.11A.01R.1965.07	TCGA.49.4494.01A.01R.1206.07	TCGA.33.4589.01A.01R.1443.07	TCGA.BR.8682.01A.11R.2402.13	TCGA.BR.8367.01A.11R.2343.13	TCGA.BR.8365.01A.21R.2343.13	TCGA.IP.7968.01A.11R.2203.13	TCGA.FP.7998.01A.11R.2203.13	TCGA.BR.8380.01A.11R.2343.13	TCGA.FP.8209.01A.11R.2343.13	TCGA.BR.8384.01A.21R.2402.13	TCGA.BK.A13B.01A.51R.A22K.07
ERCC6L2	48.18	45.53	63.0	616.37	69.03	1073.91	361.04	283.05	180.02	358.54	256.78	289.02	429.54	303.44	547.75	303.44	389.72	599.49	612.11	400.71	49.56	307.69	329.84	514.56	366.09	454.09	466.88	267.73	518.15	273.37	457.25	299.25	316.37	190.34	69.52	142.01	376.41	291.04	429.54	301.33	63.89	75.11	629.35	514.56	518.15	400.71	571.05	595.34	718.08	703.28	88.88
FBXO31	244.57	241.19	279.14	743.43	246.28	500.46	251.48	312.0	299.25	312.0	241.19	267.73	269.6	215.77	291.04	318.57	239.52	295.11	400.71	295.11	137.14	361.04	241.19	332.14	271.48	307.69	309.83	144.01	299.25	231.32	279.14	218.79	299.25	295.11	384.34	301.33	454.09	426.57	384.34	289.02	218.79	125.24	1008.9	703.28	1304.15	698.41	579.04	1001.93	1051.79	1313.23	289.02
FNIP1	60.39	54.33	78.89	318.57	64.8	397.93	142.01	76.71	88.88	105.15	102.25	90.14	165.57	75.64	112.77	153.34	163.28	143.01	149.12	99.43	76.17	102.25	180.02	187.71	116.78	175.07	154.42	75.64	228.13	94.01	106.63	84.04	96.68	108.14	79.45	101.54	127.89	164.42	125.24	106.63	81.71	64.8	332.14	438.59	406.31	178.77	417.77	353.59	392.44	414.87	77.25
GAPVD1	76.71	108.14	115.97	583.07	84.04	507.46	231.32	208.38	143.01	223.41	201.25	153.34	295.11	201.25	190.34	297.17	255.0	189.02	267.73	198.47	41.52	190.34	291.04	314.17	214.27	285.03	262.2	218.79	339.14	190.34	281.09	220.32	187.71	166.73	76.71	136.19	242.88	283.05	251.48	224.97	90.77	65.72	583.07	551.56	417.77	497.0	518.15	414.87	633.73	532.74	136.19
GRAMD4	59.55	191.67	180.02	633.73	228.13	1159.07	866.07	406.31	169.07	334.46	414.87	249.73	480.04	341.51	497.0	353.59	381.68	336.79	490.14	336.79	199.85	297.17	420.68	316.37	246.28	432.53	460.44	353.59	409.15	379.04	371.22	236.21	246.28	346.29	190.34	234.57	384.34	395.18	547.75	660.68	532.74	76.71	1233.75	1857.6	698.41	1044.52	490.14	1233.75	703.28	915.51	339.14
HERC2	457.25	316.37	327.56	764.36	603.67	890.44	575.03	466.88	205.5	460.44	647.07	633.73	688.78	486.75	854.13	591.22	497.0	748.61	813.63	470.14	114.36	476.71	665.29	460.44	379.04	579.04	486.75	395.18	656.11	665.29	559.28	450.94	454.09	651.58	438.59	376.41	647.07	591.22	825.0	679.29	208.38	201.25	981.29	934.76	872.1	1159.07	884.29	1467.37	1340.84	1388.16	514.56
HTT	143.01	146.03	260.38	665.29	175.07	802.41	341.51	277.2	111.21	285.03	211.31	221.86	376.41	228.13	392.44	432.53	327.56	287.01	447.82	348.71	118.43	325.29	400.71	384.34	353.59	406.31	403.5	373.81	429.54	237.86	358.54	353.59	215.77	299.25	255.0	144.01	366.09	409.15	406.31	329.84	166.73	94.67	638.15	607.87	403.5	616.37	647.07	457.25	599.49	525.39	208.38
INSR	144.01	231.32	73.03	529.06	38.95	688.78	226.54	346.29	336.79	503.95	242.88	366.09	403.5	629.35	325.29	490.14	368.65	226.54	121.79	1159.07	108.14	363.56	551.56	532.74	283.05	536.45	376.41	303.44	612.11	493.56	414.87	312.0	348.71	521.76	195.72	454.09	718.08	1066.48	769.69	463.65	94.01	19.11	785.88	1135.2	819.3	1199.98	866.07	703.28	723.08	1001.93	99.43
KLHL24	194.36	65.26	64.34	665.29	249.73	915.51	616.37	423.61	260.38	438.59	460.44	432.53	532.74	361.04	406.31	567.1	656.11	633.73	450.94	358.54	297.17	473.41	507.46	693.58	497.0	466.88	813.63	341.51	748.61	450.94	587.13	547.75	463.65	366.09	172.65	297.17	420.68	420.68	555.41	381.68	173.85	236.21	791.35	785.88	595.34	579.04	743.43	620.67	796.86	819.3	172.65
LIMD1	43.02	26.28	26.47	260.38	34.51	361.04	176.29	140.04	55.49	153.34	86.43	105.89	262.2	80.57	163.28	197.09	129.69	157.68	167.9	115.97	44.57	128.79	173.85	211.31	135.24	199.85	185.11	143.01	173.85	114.36	195.72	117.6	127.89	120.1	35.76	60.39	190.34	155.5	206.94	156.59	77.79	13.72	397.93	500.46	447.82	329.84	493.56	426.57	543.96	514.56	94.01
MBTPS2	66.65	109.66	156.59	283.05	44.57	397.93	215.77	149.12	145.02	195.72	175.07	229.72	320.8	161.02	201.25	231.32	221.86	237.86	312.0	180.02	159.9	181.28	232.94	305.55	255.0	277.2	283.05	158.79	271.48	162.14	275.28	215.77	170.25	157.68	163.28	138.1	176.29	237.86	248.0	185.11	134.3	97.36	153.34	231.32	713.11	348.71	307.69	248.0	226.54	239.52	120.94
MED13L	108.9	37.05	98.73	1167.14	114.36	339.14	249.73	301.33	142.01	327.56	236.21	248.0	450.94	209.84	329.84	400.71	511.0	341.51	400.71	361.04	21.01	295.11	356.05	426.57	260.38	381.68	397.93	224.97	521.76	301.33	403.5	299.25	244.57	267.73	81.14	137.14	387.02	320.8	392.44	334.46	92.05	35.0	743.43	684.02	775.05	543.96	651.58	669.92	988.12	921.88	114.36
MKL2	81.14	26.86	22.43	974.5	91.41	417.77	205.5	122.64	65.72	157.68	129.69	205.5	366.09	93.35	241.19	215.77	183.82	309.83	403.5	126.12	15.8	195.72	212.78	314.17	217.27	246.28	279.14	132.44	253.23	133.36	234.57	173.85	138.1	123.5	39.5	56.68	186.4	194.36	267.73	151.22	63.0	39.79	620.67	457.25	571.05	620.67	444.72	500.46	915.51	738.29	46.5
MTX3	11.21	5.11	18.56	208.38	8.13	209.84	93.35	53.95	40.07	96.01	41.81	37.59	141.02	39.79	70.51	120.94	110.43	109.66	131.51	45.85	5.73	80.57	124.37	175.07	95.34	108.14	170.25	64.8	191.67	54.72	119.26	100.83	76.17	48.52	10.39	30.78	115.16	100.13	112.77	71.5	9.56	18.84	121.79	177.53	170.25	121.79	90.77	178.77	215.77	177.53	11.73
PCNX	241.19	182.55	182.55	525.39	131.51	387.02	285.03	231.32	118.43	269.6	170.25	444.72	346.29	320.8	400.71	271.48	265.87	351.14	249.73	289.02	40.07	239.52	301.33	327.56	246.28	343.89	384.34	214.27	414.87	214.27	353.59	255.0	209.84	204.07	119.26	136.19	295.11	275.28	351.14	281.09	84.63	64.34	521.76	381.68	518.15	314.17	551.56	457.25	802.41	507.46	161.02
PDLIM5	669.92	988.12	381.68	1923.14	698.41	1561.89	688.78	860.08	728.11	866.07	808.0	543.96	1088.92	1119.56	825.0	848.22	1277.29	1143.1	961.07	1143.1	1208.34	866.07	872.1	1208.34	866.07	928.3	1369.04	1304.15	1662.49	928.3	1044.52	1369.04	1001.93	713.11	191.67	718.08	1143.1	1030.12	902.89	1259.69	532.74	693.58	1437.15	1769.57	1572.76	1844.76	1628.26	1651.0	2061.24	1819.35	624.99
PEX26	117.6	105.89	163.28	460.44	136.19	780.44	575.03	483.38	334.46	447.82	336.79	348.71	559.28	285.03	358.54	503.95	483.38	395.18	371.22	599.49	112.77	490.14	466.88	525.39	470.14	457.25	473.41	432.53	540.19	336.79	497.0	403.5	412.0	447.82	223.41	312.0	454.09	543.96	571.05	500.46	186.4	151.22	607.87	738.29	551.56	587.13	688.78	708.18	540.19	629.35	163.28
PHC3	78.34	98.04	42.71	579.04	163.28	376.41	198.47	183.82	127.0	226.54	130.6	157.68	226.54	171.45	146.03	312.0	289.02	187.71	341.51	198.47	55.89	211.31	258.57	389.72	221.86	281.09	441.64	217.27	447.82	183.82	336.79	287.01	211.31	140.04	57.49	87.03	255.0	220.32	295.11	248.0	54.33	38.4	665.29	878.17	1199.98	567.1	890.44	988.12	1286.18	1096.5	144.01
PHF2	158.79	189.02	156.59	665.29	204.07	291.04	303.44	387.02	140.04	339.14	438.59	358.54	346.29	366.09	532.74	356.05	438.59	435.55	381.68	368.65	53.19	343.89	307.69	329.84	267.73	395.18	312.0	244.57	373.81	417.77	376.41	279.14	303.44	307.69	153.34	271.48	400.71	327.56	384.34	348.71	234.57	98.04	684.02	521.76	571.05	497.0	457.25	656.11	775.05	733.19	318.57
PRRC2B	236.21	480.04	384.34	3146.52	759.08	2400.97	1225.22	1250.98	473.41	1268.46	967.76	1605.83	1259.69	1359.57	2032.85	1617.0	1508.65	1407.55	1313.23	1477.58	127.89	1286.18	1572.76	1844.76	1242.34	1870.53	1594.73	1143.1	1963.57	1340.84	1685.71	1721.16	1135.2	1407.55	878.17	728.11	1819.35	1529.73	1936.53	1721.16	361.04	148.09	2502.97	2178.83	2004.85	1991.0	2104.58	2075.59	2645.74	2209.26	1151.06
RAB35	454.09	483.38	708.18	836.53	638.15	974.5	595.34	961.07	429.54	575.03	612.11	432.53	769.69	543.96	583.07	819.3	791.35	473.41	674.59	693.58	289.02	764.36	599.49	642.59	728.11	688.78	785.88	743.43	647.07	486.75	738.29	651.58	571.05	647.07	267.73	514.56	748.61	607.87	665.29	860.08	493.56	438.59	1397.83	698.41	802.41	884.29	759.08	693.58	819.3	802.41	540.19
RALGAPB	217.27	185.11	279.14	629.35	138.1	764.36	343.89	384.34	156.59	323.03	289.02	351.14	500.46	258.57	373.81	514.56	511.0	381.68	490.14	291.04	108.9	426.57	476.71	476.71	460.44	470.14	555.41	341.51	514.56	371.22	497.0	412.0	316.37	327.56	182.55	178.77	387.02	336.79	384.34	332.14	204.07	102.97	974.5	555.41	642.59	896.64	638.15	426.57	616.37	579.04	162.14
RAPGEF2	51.71	40.93	36.53	1001.93	52.82	1242.34	463.65	511.0	299.25	591.22	460.44	199.85	1250.98	529.06	674.59	651.58	842.36	603.67	473.41	486.75	70.51	346.29	607.87	848.22	381.68	693.58	808.0	441.64	1030.12	518.15	591.22	500.46	414.87	336.79	92.05	197.09	708.18	780.44	708.18	679.29	103.69	14.78	947.83	748.61	928.3	1359.57	928.3	688.78	878.17	941.27	118.43
RGP1	41.22	142.01	130.6	473.41	85.22	1127.35	358.54	358.54	221.86	406.31	246.28	183.82	579.04	303.44	314.17	435.55	376.41	234.57	473.41	242.88	150.17	379.04	414.87	466.88	426.57	460.44	432.53	351.14	476.71	265.87	463.65	450.94	273.37	287.01	159.9	176.29	429.54	444.72	457.25	473.41	113.56	57.49	503.95	493.56	473.41	463.65	403.5	559.28	563.18	493.56	187.71
RNF169	42.71	20.86	17.25	211.31	22.59	158.79	63.45	72.52	40.07	73.03	66.65	43.32	84.04	63.89	71.0	95.34	121.79	92.05	97.36	72.52	11.91	83.45	107.38	124.37	92.7	100.83	147.06	67.59	143.01	77.79	101.54	81.14	82.87	86.43	19.68	34.26	96.68	87.03	100.83	85.82	42.71	20.71	185.11	208.38	183.82	153.34	197.09	208.38	242.88	228.13	29.48
SMAD3	351.14	384.34	193.01	684.02	392.44	1304.15	373.81	1073.91	283.05	400.71	332.14	403.5	429.54	507.46	536.45	633.73	555.41	457.25	547.75	603.67	148.09	624.99	470.14	463.65	476.71	514.56	607.87	599.49	567.1	507.46	748.61	830.75	543.96	473.41	368.65	343.89	638.15	500.46	633.73	836.53	348.71	529.06	1030.12	713.11	703.28	860.08	693.58	698.41	860.08	769.69	120.94
SMYD4	28.65	48.52	67.59	269.6	48.87	220.32	99.43	74.06	63.0	102.97	91.41	111.21	106.63	50.98	106.63	175.07	96.68	105.15	142.01	96.01	111.21	94.01	90.77	105.15	80.57	117.6	88.88	73.54	103.69	94.01	97.36	82.87	106.63	81.71	63.45	75.11	115.16	104.42	75.64	87.65	59.97	51.35	143.01	195.72	260.38	137.14	224.97	208.38	248.0	251.48	58.3
SRCAP	232.94	271.48	457.25	1008.9	366.09	1119.56	480.04	563.18	232.94	511.0	348.71	423.61	665.29	389.72	808.0	684.02	559.28	536.45	718.08	476.71	91.41	429.54	536.45	607.87	329.84	633.73	497.0	392.44	575.03	395.18	518.15	429.54	414.87	483.38	323.03	215.77	743.43	603.67	819.3	660.68	473.41	395.18	1151.06	1088.92	1096.5	2240.11	1417.35	1127.35	1369.04	1225.22	273.37
TAF1	127.0	94.67	83.45	612.11	77.79	297.17	195.72	205.5	90.14	198.47	158.79	150.17	283.05	144.01	130.6	289.02	260.38	224.97	218.79	148.09	15.11	212.78	212.78	262.2	180.02	258.57	323.03	131.51	323.03	169.07	267.73	178.77	167.9	183.82	70.01	123.5	281.09	244.57	231.32	206.94	85.22	26.67	483.38	480.04	460.44	454.09	665.29	426.57	607.87	583.07	147.06
TCP11L2	48.18	12.27	32.59	343.89	57.89	529.06	133.36	111.21	74.06	80.57	116.78	109.66	224.97	92.05	194.36	312.0	244.57	223.41	115.16	197.09	73.54	153.34	194.36	209.84	180.02	162.14	293.07	98.73	251.48	133.36	186.4	159.9	138.1	113.56	18.97	73.54	166.73	126.12	153.34	131.51	42.11	96.68	376.41	255.0	414.87	177.53	379.04	444.72	540.19	392.44	43.02
THAP6	125.24	65.26	97.36	463.65	73.54	363.56	193.01	189.02	205.5	209.84	205.5	151.22	173.85	157.68	169.07	176.29	170.25	208.38	232.94	144.01	89.51	130.6	194.36	232.94	190.34	228.13	193.01	171.45	239.52	220.32	204.07	205.5	187.71	144.01	100.83	159.9	194.36	136.19	159.9	166.73	94.67	96.68	256.78	262.2	293.07	231.32	251.48	264.03	283.05	314.17	115.16
TNPO2	368.65	327.56	301.33	909.17	444.72	1191.69	599.49	551.56	438.59	638.15	575.03	358.54	802.41	493.56	591.22	819.3	708.18	595.34	819.3	457.25	183.82	525.39	500.46	713.11	403.5	708.18	612.11	406.31	728.11	525.39	571.05	540.19	551.56	540.19	607.87	444.72	748.61	769.69	769.69	708.18	366.09	143.01	1135.2	1369.04	1242.34	1427.22	1119.56	1397.83	1250.98	1250.98	376.41
TRAK1	753.83	242.88	279.14	813.63	334.46	2591.27	698.41	463.65	251.48	486.75	563.18	785.88	703.28	480.04	1277.29	759.08	860.08	947.83	642.59	441.64	182.55	595.34	633.73	688.78	571.05	624.99	830.75	559.28	743.43	708.18	624.99	616.37	511.0	435.55	384.34	361.04	723.08	486.75	603.67	559.28	229.72	111.21	1259.69	1447.15	1216.75	3060.45	2104.58	1225.22	1286.18	1304.15	376.41
TRRAP	99.43	114.36	96.01	409.15	66.18	540.19	172.65	172.65	58.71	175.07	127.89	158.79	301.33	165.57	267.73	236.21	228.13	260.38	309.83	189.02	20.26	197.09	264.03	239.52	169.07	241.19	232.94	156.59	293.07	139.07	215.77	180.02	136.19	186.4	76.71	75.64	256.78	237.86	287.01	209.84	194.36	26.1	503.95	423.61	447.82	599.49	536.45	381.68	483.38	379.04	97.36
TSTD2	43.94	68.07	79.45	429.54	79.45	249.73	205.5	231.32	128.79	148.09	152.28	127.89	187.71	228.13	262.2	269.6	187.71	197.09	231.32	130.6	40.36	183.82	204.07	217.27	221.86	226.54	237.86	224.97	223.41	197.09	267.73	226.54	148.09	181.28	60.39	81.71	215.77	176.29	176.29	162.14	109.66	65.26	392.44	273.37	325.29	281.09	334.46	289.02	387.02	457.25	84.63
UMOD	0.0	0.0	0.0	0.69	0.0	4.54	303217.87	602247.76	169390.27	443937.41	363097.14	3178687.03	1318073.06	358098.26	789181.81	1070607.81	565825.41	1299926.74	282912.21	378516.38	21.78	336441.4	585779.24	233003.78	301123.38	434801.29	431797.89	345900.08	327241.36	422911.59	636586.81	309589.14	256748.15	502929.67	0.34	373305.21	381149.17	345900.08	641014.63	391864.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.34	0.0	0.0	0.0
VPS39	334.46	248.0	320.8	1088.92	303.44	825.0	591.22	532.74	420.68	575.03	532.74	583.07	769.69	543.96	733.19	738.29	669.92	728.11	753.83	612.11	101.54	656.11	624.99	713.11	638.15	791.35	723.08	493.56	854.13	529.06	674.59	624.99	559.28	599.49	438.59	444.72	775.05	708.18	698.41	551.56	129.69	93.35	961.07	954.43	1073.91	769.69	872.1	1051.79	1225.22	1167.14	457.25
WDR44	53.57	103.69	102.25	246.28	82.29	279.14	121.79	142.01	84.04	143.01	132.44	141.02	191.67	105.15	139.07	140.04	166.73	151.22	187.71	155.5	41.81	161.02	139.07	159.9	132.44	154.42	176.29	122.64	162.14	143.01	165.57	133.36	224.97	94.01	47.17	102.97	131.51	116.78	118.43	151.22	65.26	108.14	218.79	212.78	293.07	220.32	297.17	214.27	323.03	314.17	80.57
XPO4	41.22	66.65	40.93	208.38	44.89	217.27	115.97	94.67	58.71	98.04	69.52	98.04	186.4	65.26	88.26	180.02	148.09	125.24	156.59	63.0	42.41	123.5	147.06	162.14	130.6	139.07	199.85	100.83	186.4	94.01	148.09	115.16	82.87	92.05	33.06	72.01	138.1	138.1	115.97	102.97	42.71	31.67	363.56	299.25	241.19	281.09	264.03	220.32	312.0	312.0	53.57
ZFYVE26	63.0	104.42	69.52	281.09	57.49	202.66	127.89	105.89	46.84	113.56	95.34	113.56	204.07	85.22	182.55	178.77	164.42	147.06	162.14	114.36	26.28	134.3	159.9	172.65	149.12	171.45	177.53	102.97	198.47	118.43	152.28	140.04	101.54	112.77	81.71	64.34	147.06	155.5	149.12	147.06	62.56	65.72	289.02	236.21	293.07	332.14	348.71	271.48	303.44	277.2	75.64
ZNF445	33.54	20.26	17.9	218.79	25.91	242.88	94.01	63.45	35.76	71.0	62.12	75.11	114.36	62.12	108.9	113.56	130.6	109.66	105.89	65.72	3.89	96.68	115.16	138.1	108.9	128.79	136.19	47.5	157.68	86.43	108.14	95.34	74.06	82.29	26.47	41.52	110.43	93.35	150.17	82.29	28.65	4.9	166.73	214.27	212.78	166.73	204.07	221.86	228.13	262.2	37.05
ZNF619	23.08	15.11	26.86	100.83	16.63	141.02	61.68	50.98	28.65	42.41	43.63	54.72	115.97	29.91	77.25	94.67	44.89	60.39	78.34	50.63	18.29	69.03	91.41	89.51	100.13	94.01	92.7	42.41	83.45	54.33	90.14	55.1	52.08	59.97	33.54	31.9	53.19	68.07	65.72	43.94	27.64	6.41	115.16	93.35	100.13	88.88	104.42	89.51	117.6	106.63	26.47
ZNF70	6.78	6.26	8.78	80.57	9.06	60.82	25.91	18.03	7.11	22.75	18.56	18.84	44.89	10.0	38.4	28.65	26.86	38.12	38.95	34.51	1.55	28.65	41.81	42.11	27.64	59.97	32.36	13.52	45.21	23.08	36.01	19.97	22.1	25.91	8.19	11.55	33.06	30.12	35.0	25.54	13.12	3.11	76.71	94.67	118.43	60.82	108.9	100.83	142.01	139.07	12.83
ZSCAN29	128.79	57.89	89.51	368.65	59.13	215.77	138.1	155.5	67.12	147.06	107.38	136.19	187.71	105.15	186.4	199.85	143.01	154.42	187.71	110.43	15.45	120.1	137.14	180.02	112.77	185.11	193.01	94.01	175.07	131.51	185.11	140.04	129.69	109.66	80.57	92.05	205.5	141.02	154.42	138.1	42.11	25.91	387.02	363.56	336.79	366.09	368.65	392.44	384.34	351.14	149.12
