	TCGA.DM.A28G.01A.11R.A16W.07	TCGA.KN.8419.01A.11R.2315.07	TCGA.KM.8438.01A.11R.2315.07	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KM.8439.01A.11R.2315.07	TCGA.KL.8328.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KO.8405.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KM.8441.01A.11R.2315.07	TCGA.KL.8338.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	GTEX.QDVN.1626.SM.48TZC	GTEX.Y5V6.2026.SM.5IFHO	TCGA.B0.5117.01A.01R.1420.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.BP.4799.01A.01R.1305.07	TCGA.B8.4621.01A.01R.1503.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.GL.A9DE.01A.11R.A37K.07	TCGA.A4.8311.01A.11R.2404.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.UZ.A9PO.01A.11R.A38C.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.A4.8517.01A.11R.2404.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.R5.A805.01A.11R.A36D.31	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.D7.A4Z0.01A.22R.A251.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.VQ.A94U.01A.12R.A414.31	GTEX.Y5V6.1326.SM.4VDTF	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.E8.A417.01A.21R.A23N.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.EL.A3T3.01A.11R.A22L.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.FY.A3BL.01A.11R.A19O.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.E8.A419.01A.11R.A23N.07	TCGA.EL.A3ZT.01A.12R.A23N.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EM.A3O9.01A.11R.A220.07	TCGA.EM.A2CM.01A.11R.A180.07	GTEX.Y3I4.0226.SM.4TT27	GTEX.14AS3.0226.SM.5Q5B6	GTEX.PWOO.0926.SM.2I3EC	GTEX.V1D1.0926.SM.4JBHQ
ANKRA2	684.02	208.38	100.13	231.32	154.42	193.01	154.42	82.87	120.1	299.25	139.07	215.77	208.38	248.0	156.59	152.28	241.19	234.57	327.56	229.72	379.04	244.57	205.5	149.12	212.78	376.41	104.42	172.65	161.02	208.38	171.45	181.28	231.32	163.28	120.94	180.02	253.23	232.94	215.77	320.8	693.58	351.14	460.44	633.73	638.15	525.39	414.87	231.32	665.29	629.35	941.27	417.77	620.67	368.65	536.45	703.28	698.41	486.75	406.31	669.92	543.96	620.67	934.76	723.08	791.35	698.41	389.72	299.25	525.39	775.05	780.44	529.06	802.41
APBB3	679.29	198.47	131.51	232.94	183.82	242.88	540.19	165.57	264.03	327.56	156.59	150.17	381.68	121.79	244.57	116.78	356.05	177.53	106.63	212.78	764.36	389.72	299.25	165.57	403.5	1467.37	295.11	194.36	423.61	275.28	291.04	251.48	301.33	260.38	134.3	323.03	248.0	312.0	693.58	231.32	679.29	305.55	599.49	612.11	204.07	688.78	493.56	180.02	842.36	738.29	1359.57	688.78	1044.52	571.05	607.87	941.27	941.27	1617.0	490.14	974.5	753.83	620.67	728.11	1378.57	2319.15	1605.83	457.25	309.83	819.3	974.5	1322.37	1088.92	2004.85
ARHGAP19	72.01	36.53	54.33	62.56	28.86	41.81	27.44	59.55	33.3	39.5	67.59	47.17	43.63	56.68	35.76	96.01	34.02	64.34	36.79	81.71	75.64	249.73	60.39	20.56	56.28	82.87	38.12	118.43	33.06	40.36	21.32	39.5	48.18	41.52	28.86	57.08	78.34	57.49	51.35	61.25	182.55	86.43	43.94	129.69	61.25	136.19	77.25	78.89	212.78	69.03	137.14	85.22	96.68	83.45	115.16	134.3	423.61	273.37	204.07	336.79	48.52	46.5	85.82	167.9	138.1	175.07	92.05	53.57	111.99	82.29	171.45	127.89	111.21
ASF1A	251.48	119.26	199.85	146.03	91.41	295.11	206.94	95.34	162.14	195.72	176.29	293.07	124.37	301.33	167.9	329.84	215.77	206.94	366.09	167.9	470.14	285.03	154.42	99.43	120.94	115.97	121.79	141.02	135.24	123.5	314.17	161.02	275.28	201.25	251.48	118.43	217.27	97.36	277.2	299.25	432.53	237.86	384.34	356.05	305.55	329.84	343.89	373.81	329.84	255.0	277.2	332.14	312.0	234.57	387.02	414.87	287.01	239.52	392.44	265.87	215.77	191.67	258.57	316.37	269.6	307.69	373.81	277.2	400.71	384.34	363.56	341.51	299.25
ATL2	878.17	1127.35	414.87	1199.98	571.05	587.13	490.14	547.75	587.13	954.43	583.07	571.05	603.67	738.29	571.05	878.17	480.04	796.86	543.96	507.46	470.14	693.58	341.51	299.25	490.14	392.44	336.79	348.71	215.77	438.59	285.03	392.44	381.68	381.68	297.17	389.72	420.68	366.09	656.11	595.34	540.19	438.59	633.73	1081.39	629.35	967.76	420.68	591.22	1498.22	543.96	1639.59	708.18	708.18	836.53	728.11	1044.52	1733.13	1572.76	1359.57	1159.07	371.22	392.44	540.19	1685.71	1709.26	1286.18	753.83	301.33	954.43	1268.46	2178.83	1477.58	1950.0
BRD2	3212.66	1883.54	1832.01	1745.2	1304.15	2502.97	1662.49	1529.73	2004.85	1844.76	1806.78	2537.92	2287.2	2591.27	1923.14	2384.37	2485.67	1397.83	1583.71	1350.18	3419.52	2915.45	1572.76	1322.37	1857.6	2104.58	1051.79	1662.49	1437.15	1447.15	1427.22	1437.15	1487.87	1427.22	1233.75	1870.53	1769.57	1369.04	2591.27	2816.11	3614.55	2468.49	2627.46	3257.52	2303.12	3742.05	3190.46	2777.33	2682.69	2739.08	3589.58	3212.66	3614.55	3372.43	2758.13	3325.99	3212.66	2976.74	2796.65	2875.3	2384.37	1977.24	3257.52	3491.39	3372.43	3190.46	3081.75	2303.12	3018.3	3794.3	4575.41	6121.9	5041.77
BRD8	1037.29	205.5	169.07	303.44	234.57	470.14	447.82	162.14	211.31	444.72	177.53	363.56	392.44	473.41	384.34	497.0	417.77	409.15	320.8	368.65	848.22	825.0	429.54	249.73	708.18	775.05	366.09	454.09	460.44	361.04	293.07	414.87	532.74	426.57	343.89	500.46	435.55	429.54	775.05	836.53	921.88	642.59	1529.73	1313.23	595.34	1143.1	703.28	571.05	1051.79	860.08	1467.37	854.13	1030.12	665.29	780.44	934.76	995.0	1233.75	819.3	1073.91	595.34	723.08	808.0	1322.37	1477.58	1304.15	583.07	476.71	878.17	1583.71	1498.22	1487.87	2133.97
C10orf111	3.41	2.46	2.71	3.17	0.49	4.1	1.23	6.62	4.1	3.35	4.39	5.15	2.89	13.03	2.01	1.97	7.34	5.63	1.58	5.23	9.63	7.06	3.41	0.42	5.54	7.82	0.0	2.16	2.29	3.17	4.21	4.31	2.56	0.0	0.46	4.58	7.28	4.35	6.73	11.47	6.26	2.63	38.4	6.16	5.28	6.52	11.64	9.78	7.34	8.32	8.71	4.86	10.71	7.82	6.06	22.92	4.74	12.93	0.0	4.66	9.93	8.78	20.41	7.06	21.01	14.03	10.39	5.02	11.55	25.17	31.67	13.62	37.59
C1orf52	432.53	193.01	166.73	162.14	166.73	400.71	199.85	144.01	255.0	193.01	148.09	341.51	178.77	395.18	201.25	151.22	231.32	171.45	414.87	206.94	172.65	314.17	239.52	123.5	193.01	242.88	175.07	205.5	166.73	208.38	185.11	149.12	241.19	156.59	129.69	251.48	232.94	190.34	414.87	368.65	463.65	376.41	525.39	435.55	307.69	368.65	325.29	262.2	381.68	366.09	435.55	320.8	373.81	334.46	267.73	395.18	293.07	392.44	323.03	392.44	295.11	256.78	273.37	450.94	463.65	406.31	249.73	356.05	414.87	387.02	579.04	432.53	616.37
C1orf63	2720.15	688.78	571.05	759.08	947.83	1477.58	1030.12	595.34	825.0	961.07	620.67	412.0	595.34	947.83	275.28	265.87	1233.75	708.18	497.0	412.0	1529.73	769.69	595.34	358.54	819.3	4836.35	450.94	555.41	251.48	612.11	493.56	551.56	684.02	656.11	265.87	669.92	624.99	785.88	1322.37	1467.37	3190.46	1295.13	2645.74	2609.3	1268.46	2240.11	1733.13	934.76	3419.52	2209.26	4481.23	1923.14	3235.01	1286.18	1923.14	3614.55	1832.01	3443.31	1096.5	2224.63	1191.69	2367.9	1498.22	5006.93	5219.6	4704.07	954.43	1662.49	1909.85	1963.57	3540.14	2384.37	3847.29
C5orf45	764.36	246.28	305.55	166.73	237.86	397.93	525.39	358.54	339.14	450.94	208.38	316.37	429.54	289.02	373.81	182.55	591.22	420.68	379.04	224.97	808.0	435.55	423.61	371.22	493.56	738.29	629.35	356.05	1417.35	325.29	339.14	309.83	438.59	314.17	525.39	426.57	361.04	441.64	607.87	444.72	1015.93	764.36	1066.48	1059.11	264.03	1159.07	656.11	480.04	1135.2	1617.0	1378.57	842.36	1397.83	629.35	974.5	1313.23	995.0	1225.22	518.15	1151.06	1051.79	1015.93	934.76	1233.75	1639.59	1508.65	915.51	909.17	1051.79	1242.34	1397.83	1268.46	1498.22
C6ORF50	55.89	0.91	3.32	1.91	3.56	7.69	2.16	9.34	3.44	4.98	2.76	2.73	6.41	8.06	2.14	0.48	18.56	6.31	6.01	9.56	35.76	17.51	1.23	1.33	6.11	73.54	6.84	3.17	2.86	12.64	5.23	3.69	4.46	3.86	1.46	3.99	8.92	13.93	25.91	11.21	92.7	20.71	29.06	84.63	8.78	49.21	33.06	13.42	50.27	44.89	83.45	61.68	74.58	27.44	29.91	90.77	47.84	43.94	27.84	58.3	18.7	15.11	45.53	76.71	117.6	95.34	28.45	7.63	59.13	57.08	98.73	32.82	87.65
C7orf55-LUC7L2	1561.89	819.3	785.88	583.07	612.11	651.58	723.08	651.58	660.68	769.69	669.92	769.69	679.29	928.3	595.34	629.35	878.17	1119.56	764.36	748.61	1051.79	1023.0	688.78	387.02	633.73	1322.37	435.55	595.34	376.41	665.29	547.75	651.58	543.96	438.59	571.05	890.44	825.0	928.3	1023.0	995.0	1519.15	1001.93	1427.22	1008.9	860.08	1651.0	1498.22	842.36	1437.15	2555.58	1721.16	1583.71	1963.57	1111.82	1628.26	1936.53	1709.26	1697.45	1111.82	1572.76	1397.83	1378.57	2061.24	1397.83	1977.24	1322.37	1242.34	1066.48	1487.87	2104.58	2240.11	1857.6	3168.41
C8orf44	198.47	55.89	81.71	51.71	25.91	107.38	40.93	29.91	60.39	75.64	40.36	50.27	58.3	36.53	69.03	39.22	110.43	68.55	61.25	75.11	256.78	100.13	90.77	38.12	89.51	135.24	60.82	111.99	67.12	65.26	59.55	84.04	94.01	67.12	58.3	49.21	118.43	54.33	127.0	161.02	234.57	78.89	253.23	173.85	47.84	150.17	77.79	78.34	183.82	146.03	255.0	178.77	229.72	108.14	91.41	169.07	140.04	201.25	186.4	244.57	218.79	49.91	253.23	178.77	226.54	256.78	177.53	54.33	157.68	191.67	226.54	217.27	295.11
CALCOCO1	1977.24	902.89	1199.98	1447.15	647.07	1183.45	1277.29	718.08	1216.75	1896.65	1697.45	1037.29	1572.76	1088.92	1857.6	1769.57	1467.37	1508.65	884.29	1477.58	1651.0	2468.49	1540.37	1407.55	1225.22	1331.57	830.75	1378.57	1540.37	1216.75	665.29	1407.55	961.07	974.5	1111.82	1883.54	1304.15	1277.29	967.76	1051.79	1628.26	1037.29	2163.77	1977.24	1991.0	3874.05	1508.65	1216.75	3874.05	2119.22	4419.52	2400.97	3467.27	1896.65	3212.66	3467.27	3235.01	3349.13	2303.12	4450.27	2075.59	1313.23	2303.12	3540.14	3716.2	3794.3	1963.57	981.29	2682.69	2303.12	4298.64	3280.18	2976.74
CBWD2	629.35	379.04	260.38	334.46	624.99	483.38	275.28	232.94	248.0	329.84	256.78	571.05	226.54	759.08	327.56	400.71	309.83	279.14	279.14	373.81	483.38	521.76	373.81	343.89	532.74	409.15	258.57	228.13	299.25	366.09	674.59	305.55	366.09	450.94	189.02	384.34	473.41	373.81	387.02	620.67	470.14	463.65	791.35	703.28	395.18	848.22	490.14	647.07	656.11	514.56	679.29	934.76	703.28	769.69	642.59	656.11	532.74	607.87	551.56	518.15	363.56	381.68	417.77	656.11	713.11	703.28	543.96	373.81	603.67	854.13	813.63	748.61	854.13
CCNL2	5403.7	379.04	339.14	438.59	358.54	780.44	420.68	521.76	780.44	493.56	395.18	595.34	389.72	567.1	638.15	197.09	718.08	656.11	392.44	884.29	2682.69	1407.55	878.17	551.56	1340.84	7081.29	961.07	638.15	591.22	1015.93	934.76	633.73	1151.06	620.67	563.18	1104.13	902.89	860.08	5672.41	2287.2	3190.46	2032.85	4152.18	4736.79	547.75	3716.2	2032.85	1242.34	4123.49	2796.65	6079.61	2384.37	5995.9	1936.53	3060.45	5751.61	3325.99	5995.9	1781.89	3235.01	1674.06	2537.92	1923.14	7280.4	8840.04	6840.04	1540.37	1819.35	2956.17	3257.52	4328.55	3280.18	4836.35
CDAN1	279.14	79.45	211.31	61.68	113.56	171.45	170.25	205.5	128.79	133.36	177.53	102.25	176.29	129.69	89.51	87.03	180.02	63.0	60.39	76.17	147.06	128.79	111.99	83.45	134.3	145.02	97.36	117.6	124.37	95.34	88.26	106.63	153.34	91.41	89.51	113.56	131.51	110.43	150.17	111.21	198.47	157.68	273.37	287.01	138.1	289.02	269.6	180.02	206.94	164.42	244.57	173.85	241.19	165.57	232.94	303.44	228.13	239.52	140.04	246.28	190.34	138.1	153.34	206.94	295.11	256.78	163.28	153.34	295.11	204.07	273.37	242.88	316.37
CDK3	170.25	39.22	86.43	49.21	37.05	116.78	39.5	108.14	129.69	58.71	129.69	76.71	77.79	71.0	59.55	34.75	84.04	83.45	31.9	55.49	190.34	120.94	114.36	30.34	73.03	444.72	61.25	71.5	47.84	61.25	39.5	39.22	104.42	32.59	72.52	105.89	64.34	94.67	153.34	95.34	124.37	128.79	318.57	211.31	60.39	180.02	90.77	68.55	212.78	149.12	303.44	124.37	244.57	120.94	154.42	297.17	169.07	460.44	104.42	162.14	96.68	114.36	100.13	316.37	483.38	320.8	113.56	95.34	249.73	325.29	376.41	346.29	497.0
CDRT4	251.48	9.48	25.72	7.17	36.79	44.89	27.44	37.85	19.25	52.82	2.84	11.21	12.09	40.36	16.15	2.63	71.5	9.34	39.22	38.67	189.02	92.05	199.85	20.71	10.55	205.5	31.9	59.13	32.13	56.28	28.04	66.18	9.41	15.11	69.03	21.47	26.86	132.44	91.41	90.77	152.28	164.42	171.45	253.23	105.89	152.28	33.54	82.87	358.54	285.03	260.38	165.57	400.71	28.65	152.28	540.19	255.0	417.77	307.69	226.54	191.67	56.68	265.87	647.07	703.28	866.07	299.25	106.63	57.89	224.97	392.44	447.82	607.87
CEP128	37.32	17.38	14.24	26.28	129.69	17.9	22.43	19.68	14.14	31.9	19.82	26.28	15.0	21.78	13.62	9.7	23.59	21.94	21.16	29.27	41.22	27.84	18.29	19.53	22.92	44.89	15.45	27.64	6.73	18.03	9.93	24.99	13.03	17.9	13.93	34.51	26.67	29.06	36.27	70.51	67.12	45.21	66.65	51.35	48.87	88.26	38.67	39.5	38.95	53.57	163.28	49.56	87.03	48.87	116.78	83.45	59.55	72.52	71.0	79.45	60.82	24.11	111.99	102.25	108.9	60.39	75.64	30.34	150.17	98.04	164.42	111.21	171.45
CEP164	363.56	58.3	96.68	60.39	95.34	195.72	49.21	145.02	113.56	112.77	84.63	178.77	119.26	214.27	115.97	96.01	91.41	189.02	73.54	153.34	281.09	249.73	129.69	114.36	161.02	395.18	140.04	128.79	135.24	144.01	104.42	147.06	182.55	101.54	105.89	162.14	211.31	165.57	255.0	293.07	669.92	395.18	830.75	629.35	198.47	432.53	277.2	170.25	334.46	329.84	466.88	262.2	409.15	281.09	305.55	432.53	387.02	480.04	281.09	339.14	228.13	232.94	191.67	395.18	629.35	547.75	260.38	181.28	289.02	490.14	688.78	525.39	708.18
CERS5	785.88	423.61	693.58	432.53	638.15	616.37	521.76	432.53	703.28	674.59	536.45	450.94	802.41	490.14	543.96	457.25	728.11	753.83	909.17	555.41	1143.1	769.69	579.04	438.59	387.02	642.59	571.05	1199.98	728.11	559.28	320.8	371.22	679.29	353.59	669.92	698.41	579.04	647.07	529.06	476.71	974.5	684.02	1498.22	928.3	384.34	733.19	656.11	406.31	1081.39	718.08	915.51	633.73	693.58	638.15	743.43	836.53	921.88	1191.69	1369.04	934.76	703.28	480.04	612.11	1023.0	1159.07	1225.22	830.75	493.56	947.83	819.3	884.29	1233.75	915.51
