	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A18J.11A.31R.A12D.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.BH.A1FM.11B.23R.A13Q.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11P81.1926.SM.5BC53	GTEX.Y5V5.2126.SM.4WWFO	GTEX.T6MO.0326.SM.32QOK	GTEX.11ZTT.2326.SM.5EQLG	GTEX.132AR.0826.SM.5EGK6	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.133LE.1726.SM.5K7VQ	GTEX.13OVG.1426.SM.5K7VP	GTEX.13W3W.2126.SM.5K7UX	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A118.11A.11R.A131.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.14753.1626.SM.5NQ9L
EP400	281.09	291.04	90.14	169.07	120.1	312.0	379.04	195.72	172.65	215.77	165.57	312.0	189.02	170.25	295.11	167.9	137.14	186.4	283.05	138.1	303.44	285.03	262.2	115.16	209.84	169.07	98.73	148.09	214.27	275.28	253.23	267.73	162.14	127.0	58.3	47.5	36.53	52.08	46.18	58.3	56.28	42.41	12.55
ETV6	860.08	624.99	111.99	162.14	96.01	708.18	665.29	368.65	229.72	291.04	154.42	1051.79	224.97	303.44	555.41	119.26	87.03	275.28	241.19	144.01	656.11	743.43	559.28	186.4	193.01	204.07	102.25	173.85	273.37	599.49	435.55	791.35	353.59	229.72	79.45	81.14	68.55	71.0	93.35	62.56	55.89	79.45	73.54
FABP4	37639.55	92040.7	365622.68	386469.83	394590.4	104996.83	28328.16	225066.78	348306.01	279017.26	358098.26	5872.48	370726.6	263966.36	81244.48	489177.0	273275.14	447025.24	716197.51	602247.76	198667.0	284880.02	324980.94	184082.4	569761.05	558035.51	906531.99	417089.23	1078054.48	1838374.44	394590.4	292889.12	636586.81	292889.12	118.43	56.28	58.71	25.17	87.65	68.07	98.04	45.53	134.3
FBXO30	185.11	111.21	61.25	112.77	78.89	159.9	122.64	100.83	96.68	108.9	82.29	127.0	121.79	99.43	151.22	95.34	65.72	118.43	144.01	119.26	151.22	215.77	159.9	94.01	80.57	65.26	75.11	94.01	63.0	111.21	178.77	59.55	82.87	69.52	31.22	23.76	15.68	23.93	42.41	21.01	22.26	14.89	5.96
FBXO41	57.49	63.0	6.01	11.91	4.21	50.27	74.58	30.34	19.97	35.25	6.78	45.85	18.16	27.44	52.45	13.22	7.57	34.02	27.64	5.32	48.87	54.33	35.5	4.13	30.34	20.11	10.71	6.84	37.32	27.44	37.85	55.89	7.22	8.71	5.87	0.85	2.41	2.05	3.53	2.58	3.89	0.66	0.0
FOXK2	612.11	638.15	289.02	348.71	363.56	620.67	579.04	438.59	353.59	435.55	309.83	559.28	356.05	423.61	486.75	325.29	371.22	287.01	559.28	253.23	379.04	497.0	514.56	212.78	220.32	518.15	181.28	269.6	493.56	426.57	559.28	454.09	381.68	307.69	118.43	248.0	127.89	122.64	314.17	107.38	104.42	133.36	1088.92
GLYR1	1242.34	1216.75	612.11	842.36	896.64	1331.57	1417.35	1044.52	954.43	967.76	954.43	1340.84	718.08	981.29	1127.35	743.43	723.08	693.58	1277.29	587.13	1044.52	921.88	974.5	529.06	872.1	1143.1	785.88	802.41	1340.84	902.89	813.63	1183.45	684.02	860.08	684.02	500.46	595.34	503.95	579.04	669.92	567.1	400.71	503.95
GNL3	1991.0	2255.7	540.19	1015.93	995.0	1662.49	1721.16	1295.13	1051.79	1151.06	909.17	2875.3	967.76	1225.22	1709.26	981.29	872.1	1059.11	941.27	1037.29	1617.0	1388.16	1519.15	595.34	1378.57	2240.11	909.17	1001.93	1639.59	2335.28	1909.85	1977.24	1037.29	1369.04	902.89	708.18	253.23	555.41	954.43	607.87	529.06	536.45	521.76
HNRNPH2	2255.7	2163.77	1233.75	1457.23	1572.76	2417.67	2367.9	1936.53	1628.26	1745.2	1551.09	2193.99	1388.16	1662.49	2485.67	1397.83	1208.34	1685.71	1457.23	1388.16	1844.76	2104.58	1477.58	1242.34	1685.71	1322.37	1191.69	1819.35	2104.58	1870.53	2303.12	2047.0	1651.0	1477.58	988.12	785.88	967.76	830.75	693.58	988.12	947.83	808.0	1242.34
INO80	450.94	423.61	170.25	255.0	285.03	376.41	400.71	341.51	231.32	301.33	291.04	412.0	281.09	267.73	348.71	237.86	239.52	307.69	289.02	211.31	414.87	343.89	279.14	218.79	262.2	332.14	177.53	289.02	384.34	432.53	309.83	279.14	217.27	205.5	100.83	96.01	80.57	105.15	119.26	125.24	91.41	92.7	57.08
KIAA0556	291.04	316.37	77.79	130.6	81.14	279.14	346.29	166.73	128.79	190.34	153.34	336.79	125.24	218.79	271.48	150.17	71.0	133.36	155.5	71.0	212.78	186.4	232.94	72.52	234.57	152.28	78.89	87.65	128.79	195.72	258.57	339.14	164.42	158.79	48.52	32.82	32.36	38.4	31.0	32.82	28.86	30.78	21.78
KIAA0753	318.57	199.85	57.89	131.51	77.79	297.17	309.83	161.02	103.69	156.59	109.66	346.29	150.17	147.06	246.28	126.12	82.29	162.14	145.02	138.1	293.07	291.04	237.86	82.29	79.45	77.25	46.84	103.69	131.51	201.25	209.84	217.27	102.97	77.79	38.12	36.27	17.9	31.22	37.59	32.36	46.5	31.9	11.47
KLHL42	406.31	348.71	73.54	180.02	129.69	371.22	406.31	258.57	186.4	223.41	154.42	361.04	189.02	202.66	381.68	150.17	85.22	231.32	237.86	166.73	358.54	289.02	265.87	108.9	142.01	133.36	86.43	100.83	183.82	152.28	417.77	183.82	234.57	159.9	51.35	39.22	36.79	51.35	50.63	55.49	48.87	44.57	36.01
LARS	1397.83	1662.49	708.18	1225.22	1030.12	1519.15	1639.59	1111.82	1051.79	1104.13	961.07	2271.4	1088.92	1143.1	1508.65	995.0	759.08	961.07	1268.46	1199.98	1447.15	1605.83	1617.0	896.64	1605.83	1378.57	954.43	796.86	1662.49	1709.26	1135.2	1757.34	607.87	981.29	341.51	249.73	224.97	265.87	289.02	368.65	249.73	228.13	145.02
LDB1	1277.29	1127.35	329.84	387.02	376.41	1313.23	1529.73	921.88	616.37	934.76	432.53	1397.83	651.58	698.41	1225.22	620.67	420.68	647.07	753.83	363.56	1066.48	1096.5	1015.93	381.68	620.67	514.56	409.15	579.04	638.15	854.13	890.44	1059.11	591.22	457.25	256.78	162.14	279.14	211.31	204.07	228.13	212.78	236.21	137.14
LIG3	414.87	473.41	96.01	175.07	87.65	358.54	403.5	239.52	145.02	256.78	152.28	511.0	152.28	147.06	323.03	150.17	135.24	149.12	251.48	140.04	281.09	256.78	234.57	103.69	244.57	215.77	110.43	109.66	183.82	381.68	277.2	387.02	92.7	128.79	118.43	89.51	132.44	95.34	106.63	143.01	123.5	126.12	116.78
LRRC42	583.07	507.46	318.57	301.33	289.02	507.46	514.56	486.75	353.59	441.64	307.69	616.37	387.02	376.41	603.67	285.03	320.8	423.61	466.88	293.07	420.68	426.57	403.5	267.73	366.09	363.56	193.01	412.0	363.56	473.41	629.35	514.56	339.14	400.71	312.0	314.17	264.03	299.25	438.59	232.94	356.05	279.14	307.69
LRRC48	190.34	162.14	27.64	44.89	18.7	206.94	236.21	89.51	73.54	100.83	42.11	211.31	56.28	89.51	223.41	48.52	29.91	80.01	42.41	24.81	258.57	120.1	60.82	16.39	52.82	37.85	15.45	34.51	39.79	85.82	116.78	198.47	40.93	31.9	41.81	24.11	27.05	27.05	30.12	23.59	30.12	35.76	15.0
MAK16	323.03	332.14	130.6	239.52	145.02	293.07	312.0	208.38	199.85	199.85	181.28	258.57	198.47	215.77	293.07	190.34	122.64	202.66	149.12	281.09	234.57	178.77	228.13	95.34	295.11	384.34	139.07	149.12	351.14	435.55	277.2	277.2	158.79	267.73	77.79	87.03	26.67	70.01	131.51	90.77	64.34	94.01	24.46
MAML1	529.06	432.53	193.01	316.37	217.27	555.41	555.41	351.14	279.14	384.34	256.78	500.46	361.04	305.55	476.71	291.04	260.38	295.11	379.04	244.57	490.14	438.59	483.38	181.28	265.87	246.28	195.72	256.78	334.46	429.54	403.5	414.87	297.17	269.6	92.05	72.52	60.39	88.88	67.12	80.01	97.36	108.9	70.51
MAPKBP1	309.83	392.44	77.79	120.94	91.41	351.14	403.5	170.25	129.69	198.47	98.73	395.18	150.17	151.22	332.14	128.79	111.21	124.37	253.23	110.43	265.87	258.57	231.32	82.29	148.09	114.36	94.01	116.78	185.11	204.07	283.05	256.78	108.9	112.77	32.36	25.54	29.7	35.25	29.27	33.78	32.36	17.77	8.25
MCM9	329.84	246.28	61.68	136.19	118.43	343.89	332.14	180.02	149.12	199.85	123.5	409.15	224.97	170.25	228.13	169.07	128.79	178.77	177.53	91.41	314.17	221.86	251.48	95.34	156.59	102.25	75.11	122.64	149.12	251.48	258.57	262.2	134.3	111.21	78.34	47.5	36.79	57.49	53.95	58.3	52.82	67.12	33.54
MOK	339.14	435.55	229.72	198.47	190.34	379.04	387.02	246.28	285.03	289.02	231.32	444.72	309.83	241.19	329.84	299.25	214.27	293.07	226.54	86.43	316.37	246.28	236.21	93.35	226.54	152.28	77.79	228.13	275.28	175.07	381.68	379.04	122.64	242.88	92.05	76.17	23.59	66.18	98.04	59.55	66.18	75.64	52.45
MPP2	111.21	98.04	36.79	20.11	24.63	76.17	105.15	65.72	44.57	71.0	26.67	105.89	38.12	47.84	115.16	17.0	29.91	43.94	28.24	8.58	67.59	100.83	131.51	5.32	2.63	14.35	4.58	14.67	19.11	62.12	109.66	190.34	53.57	30.12	2.92	3.76	3.17	0.74	0.71	0.73	1.35	3.56	1.08
MSTO1	915.51	878.17	1073.91	1023.0	1008.9	866.07	1001.93	753.83	825.0	728.11	915.51	896.64	450.94	1111.82	775.05	547.75	381.68	571.05	878.17	414.87	791.35	854.13	665.29	361.04	764.36	638.15	316.37	376.41	775.05	967.76	909.17	1111.82	409.15	591.22	264.03	169.07	249.73	193.01	190.34	220.32	221.86	159.9	64.34
MTOR	708.18	612.11	283.05	473.41	518.15	547.75	607.87	476.71	480.04	563.18	483.38	603.67	379.04	463.65	567.1	450.94	379.04	507.46	529.06	429.54	486.75	575.03	583.07	429.54	435.55	599.49	368.65	563.18	511.0	579.04	638.15	642.59	379.04	389.72	392.44	312.0	318.57	297.17	258.57	379.04	318.57	224.97	162.14
NAPB	169.07	167.9	74.58	129.69	93.35	232.94	170.25	132.44	116.78	134.3	104.42	242.88	115.16	131.51	189.02	128.79	89.51	101.54	148.09	73.54	195.72	197.09	180.02	59.97	116.78	45.85	48.52	94.67	180.02	177.53	154.42	85.22	81.14	76.71	73.54	43.63	37.32	49.56	70.51	53.57	39.79	53.57	37.85
NCOA5	708.18	733.19	358.54	395.18	275.28	688.78	808.0	551.56	379.04	403.5	363.56	842.36	361.04	444.72	759.08	295.11	314.17	483.38	703.28	432.53	723.08	703.28	575.03	314.17	563.18	438.59	341.51	392.44	403.5	713.11	536.45	836.53	457.25	454.09	143.01	175.07	100.83	148.09	164.42	149.12	151.22	67.59	31.45
NEK4	353.59	295.11	104.42	189.02	194.36	397.93	403.5	209.84	228.13	273.37	223.41	373.81	264.03	242.88	297.17	190.34	165.57	166.73	332.14	121.79	327.56	318.57	287.01	120.94	265.87	214.27	141.02	187.71	145.02	281.09	387.02	279.14	159.9	151.22	140.04	114.36	69.03	130.6	151.22	147.06	142.01	115.97	69.52
NFKB1	902.89	674.59	426.57	540.19	435.55	785.88	780.44	713.11	579.04	567.1	529.06	785.88	575.03	612.11	738.29	476.71	460.44	511.0	981.29	529.06	679.29	961.07	638.15	209.84	743.43	486.75	289.02	320.8	738.29	981.29	941.27	583.07	551.56	444.72	249.73	251.48	162.14	215.77	271.48	234.57	202.66	260.38	329.84
NOP58	1378.57	1498.22	409.15	703.28	688.78	1331.57	1167.14	1008.9	698.41	842.36	514.56	2075.59	825.0	802.41	1662.49	629.35	638.15	909.17	583.07	651.58	1183.45	1051.79	1151.06	420.68	921.88	860.08	503.95	490.14	954.43	1191.69	1561.89	1457.23	995.0	1191.69	624.99	733.19	121.79	540.19	595.34	507.46	454.09	466.88	366.09
NRF1	246.28	305.55	190.34	182.55	154.42	356.05	384.34	255.0	197.09	264.03	173.85	356.05	220.32	194.36	397.93	183.82	215.77	214.27	275.28	214.27	325.29	336.79	312.0	143.01	186.4	169.07	135.24	182.55	251.48	255.0	242.88	312.0	190.34	180.02	64.34	57.49	55.89	73.54	62.56	73.03	80.01	66.65	36.27
NUP188	688.78	567.1	237.86	429.54	285.03	503.95	575.03	406.31	356.05	412.0	307.69	551.56	309.83	379.04	514.56	341.51	237.86	223.41	435.55	273.37	665.29	432.53	476.71	379.04	384.34	507.46	208.38	521.76	490.14	532.74	460.44	470.14	323.03	303.44	132.44	92.05	106.63	101.54	102.97	110.43	110.43	95.34	44.57
NUP98	1119.56	890.44	507.46	785.88	518.15	1111.82	1111.82	941.27	703.28	981.29	713.11	1104.13	819.3	703.28	1151.06	825.0	651.58	713.11	909.17	435.55	854.13	1037.29	1111.82	450.94	785.88	808.0	555.41	647.07	1044.52	890.44	928.3	1242.34	665.29	693.58	629.35	490.14	500.46	379.04	536.45	476.71	438.59	511.0	547.75
NXF1	1628.26	2018.8	934.76	1268.46	836.53	1806.78	2004.85	1044.52	854.13	1143.1	934.76	2319.15	1044.52	1268.46	1781.89	1051.79	988.12	733.19	1594.73	1183.45	1286.18	1322.37	1388.16	1023.0	1477.58	1487.87	753.83	1467.37	921.88	1286.18	1322.37	1331.57	1561.89	1225.22	708.18	713.11	497.0	660.68	743.43	651.58	414.87	684.02	579.04
ODF2	500.46	713.11	312.0	283.05	265.87	587.13	665.29	497.0	318.57	320.8	329.84	693.58	267.73	387.02	616.37	299.25	256.78	246.28	438.59	277.2	595.34	543.96	470.14	221.86	329.84	363.56	212.78	384.34	420.68	698.41	543.96	507.46	486.75	348.71	139.07	307.69	145.02	318.57	204.07	147.06	140.04	209.84	166.73
PCNXL2	244.57	189.02	119.26	155.5	35.0	202.66	251.48	119.26	108.14	119.26	73.54	217.27	92.05	108.9	198.47	80.57	51.71	125.24	114.36	46.18	218.79	183.82	127.89	39.22	214.27	33.06	40.93	22.1	69.03	136.19	138.1	194.36	76.17	59.13	22.43	1.57	7.88	8.58	13.72	5.68	3.56	4.46	5.23
PDGFRA	1806.78	967.76	353.59	1427.22	624.99	1135.2	1119.56	1037.29	1378.57	947.83	785.88	555.41	1467.37	1159.07	1119.56	941.27	759.08	2537.92	172.65	106.63	1529.73	2956.17	1977.24	314.17	2075.59	301.33	287.01	262.2	417.77	693.58	1529.73	785.88	995.0	497.0	183.82	65.26	88.88	85.82	76.71	87.03	149.12	234.57	57.89
