	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.DD.AAD2.01A.11R.A41C.07	TCGA.ED.A8O5.01A.11R.A36F.07	TCGA.RC.A6M5.01A.11R.A32O.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.2V.A95S.01A.11R.A37K.07	TCGA.EP.A2KA.01A.11R.A180.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.ES.A2HT.11A.11R.A180.07	TCGA.EP.A3RK.11A.11R.A22L.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A114.11A.12R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.QDVN.0826.SM.48TZ2	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Z9EW.0426.SM.5CVM9	GTEX.13FTW.1126.SM.5J2NV	GTEX.UTHO.2426.SM.4JBHD	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.WQUQ.1926.SM.4OOSA	GTEX.145MF.0826.SM.5QGQA	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.13NZ9.1326.SM.5MR3V	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPIC.0926.SM.4IHLV	GTEX.UPK5.1426.SM.4JBHH	GTEX.RWSA.1426.SM.47JXA	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.WHSB.0326.SM.5FQSD	GTEX.13NYS.1626.SM.5J2MU	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.13FTZ.0526.SM.5IJCW	GTEX.ZYY3.0926.SM.5E454	GTEX.OXRN.0526.SM.2I5EN	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZG7Y.1026.SM.4WWDG	GTEX.13O3P.1026.SM.5N9E7	GTEX.11EI6.0826.SM.5985V	GTEX.O5YV.0526.SM.2I5GE	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13PVQ.0926.SM.5IJFD	GTEX.131YS.0926.SM.5IJB9	GTEX.OXRO.0326.SM.33HBM	GTEX.13YAN.1026.SM.5O9CF	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.N7MT.0126.SM.2D7VT	GTEX.139T6.0426.SM.5IJEM	GTEX.R55G.0826.SM.2TC5U	GTEX.QDT8.0926.SM.32PL2	GTEX.U3ZH.0526.SM.3DB75	GTEX.1477Z.0626.SM.5NQB7	GTEX.ZYW4.1526.SM.5SIBA	GTEX.117YW.0526.SM.5H11C	GTEX.11ZUS.0126.SM.5EQM5	GTEX.PLZ4.0726.SM.2TC6Q	GTEX.13QJ3.1026.SM.5QGQU	GTEX.12ZZW.0926.SM.5LZUD	GTEX.13JVG.1426.SM.5MR4W	GTEX.OXRP.0526.SM.2I3EW	GTEX.N7MS.0926.SM.2HMIZ	GTEX.XPVG.1026.SM.4B64Y	GTEX.SN8G.0926.SM.4DM5I	GTEX.1212Z.1026.SM.5EGJ8	GTEX.X261.1026.SM.3NMDL	GTEX.111VG.0726.SM.5GIDC	GTEX.11O72.1326.SM.5BC5A	GTEX.12KS4.0726.SM.5FQSX	GTEX.RTLS.0926.SM.2TF5X	GTEX.WYBS.1126.SM.3NMAM	GTEX.ZYVF.1726.SM.5E443	GTEX.146FH.1226.SM.5NQB6	GTEX.11DZ1.0426.SM.5H11A	GTEX.NPJ8.0326.SM.2D7VV	GTEX.QMR6.1926.SM.32PL9	GTEX.13FHO.1026.SM.5KM1Q
BCL2L2	166.73	158.79	206.94	269.6	295.11	343.89	551.56	237.86	205.5	113.56	224.97	173.85	232.94	165.57	176.29	228.13	209.84	381.68	172.65	312.0	256.78	191.67	392.44	285.03	67.59	283.05	181.28	312.0	273.37	244.57	325.29	241.19	283.05	175.07	114.36	289.02	246.28	172.65	220.32	275.28	106.63	287.01	246.28	1733.13	884.29	579.04	642.59	476.71	1015.93	1001.93	1286.18	1457.23	775.05	1151.06	559.28	785.88	909.17	866.07	967.76	1030.12	896.64	1268.46	1936.53	563.18	688.78	1268.46	836.53	624.99	693.58	866.07	1225.22	967.76	575.03	842.36	629.35	1709.26	1037.29	802.41	1023.0	1037.29	713.11	1127.35	780.44	785.88	915.51	612.11	1216.75	854.13	842.36	813.63
BMPR2	64.8	87.03	74.06	98.04	105.89	123.5	97.36	68.07	95.34	52.08	135.24	146.03	170.25	129.69	182.55	112.77	98.73	108.9	169.07	178.77	176.29	100.13	339.14	185.11	209.84	70.51	84.63	100.13	97.36	49.91	205.5	154.42	215.77	198.47	144.01	221.86	102.97	135.24	50.27	193.01	149.12	97.36	291.04	830.75	518.15	318.57	780.44	733.19	764.36	693.58	642.59	536.45	647.07	656.11	463.65	575.03	1936.53	988.12	1242.34	872.1	713.11	316.37	684.02	1044.52	620.67	1583.71	1023.0	748.61	476.71	854.13	1143.1	1561.89	769.69	518.15	1044.52	947.83	591.22	703.28	1508.65	1030.12	1259.69	497.0	872.1	591.22	525.39	1127.35	551.56	450.94	941.27	941.27
BTBD3	81.14	87.65	164.42	97.36	299.25	164.42	115.97	152.28	102.25	42.11	90.14	64.34	120.94	75.64	102.25	74.06	100.13	176.29	108.14	92.7	182.55	101.54	183.82	101.54	89.51	46.84	73.03	277.2	86.43	129.69	126.12	48.52	56.68	80.01	34.75	120.94	97.36	122.64	72.01	105.15	61.25	159.9	68.07	293.07	285.03	158.79	277.2	186.4	206.94	244.57	262.2	260.38	204.07	332.14	180.02	246.28	915.51	507.46	312.0	575.03	438.59	176.29	312.0	529.06	444.72	500.46	363.56	293.07	395.18	305.55	435.55	325.29	206.94	220.32	248.0	273.37	155.5	262.2	743.43	379.04	323.03	183.82	447.82	126.12	454.09	301.33	205.5	134.3	389.72	387.02
C14orf132	39.5	58.3	4.06	26.47	75.64	81.14	31.0	4.06	57.08	16.75	23.93	48.18	30.12	42.11	33.78	54.72	7.06	12.83	24.99	29.7	27.44	24.63	71.0	34.51	26.67	10.71	65.72	33.54	20.56	8.71	37.85	43.02	65.26	86.43	14.35	48.87	293.07	14.14	69.52	182.55	6.62	30.12	10.88	1572.76	551.56	348.71	358.54	211.31	305.55	264.03	688.78	307.69	511.0	305.55	447.82	312.0	373.81	224.97	381.68	813.63	808.0	665.29	1233.75	297.17	312.0	941.27	555.41	567.1	497.0	329.84	981.29	607.87	275.28	215.77	371.22	1233.75	381.68	224.97	426.57	616.37	314.17	234.57	660.68	231.32	698.41	426.57	1081.39	808.0	1015.93	961.07
C1orf198	205.5	934.76	497.0	669.92	325.29	660.68	173.85	281.09	309.83	189.02	507.46	133.36	221.86	114.36	307.69	89.51	185.11	780.44	190.34	209.84	121.79	224.97	579.04	226.54	389.72	100.13	129.69	221.86	223.41	87.65	123.5	90.77	226.54	660.68	220.32	532.74	135.24	271.48	137.14	111.99	183.82	156.59	392.44	2555.58	1216.75	1111.82	3168.41	2835.7	3212.66	1175.27	2163.77	1909.85	3039.3	1135.2	1685.71	2319.15	4543.8	2935.74	1583.71	3928.15	1857.6	1963.57	1709.26	1286.18	2468.49	3124.78	3716.2	1844.76	2032.85	2303.12	4268.94	2835.7	1674.06	2758.13	3768.09	2537.92	2935.74	2956.17	3665.02	6381.92	4328.55	1870.53	3540.14	2335.28	1709.26	1407.55	2047.0	1407.55	2417.67	2271.4
C7orf41	54.72	84.63	366.09	68.07	112.77	94.67	70.01	70.51	28.04	60.82	75.64	89.51	125.24	75.11	72.01	105.89	59.13	82.29	166.73	105.15	81.14	81.71	221.86	237.86	49.91	28.24	54.72	88.26	186.4	43.63	142.01	117.6	37.32	69.52	113.56	262.2	180.02	152.28	96.68	138.1	70.51	66.18	67.12	878.17	915.51	231.32	420.68	921.88	1397.83	607.87	514.56	753.83	1111.82	152.28	255.0	629.35	1359.57	830.75	1617.0	1437.15	575.03	633.73	769.69	684.02	703.28	1605.83	638.15	961.07	1277.29	289.02	703.28	2701.35	603.67	348.71	995.0	934.76	651.58	723.08	647.07	915.51	629.35	392.44	665.29	320.8	878.17	813.63	616.37	460.44	813.63	802.41
CAB39L	36.27	47.5	43.94	87.65	85.82	84.04	84.04	72.01	29.48	40.07	78.89	49.56	64.8	63.0	73.54	77.79	50.98	232.94	122.64	125.24	108.9	93.35	232.94	119.26	94.67	74.58	78.34	18.56	63.0	21.63	105.89	52.45	59.13	148.09	36.27	43.32	53.19	82.87	57.89	55.49	49.21	148.09	63.0	567.1	381.68	187.71	281.09	441.64	599.49	154.42	187.71	215.77	802.41	241.19	279.14	223.41	536.45	258.57	353.59	409.15	473.41	373.81	277.2	514.56	332.14	490.14	775.05	819.3	1143.1	307.69	423.61	521.76	323.03	500.46	1733.13	400.71	293.07	457.25	567.1	928.3	1096.5	195.72	423.61	289.02	470.14	341.51	480.04	258.57	1225.22	463.65
CCDC85A	1.69	1.17	4.58	4.46	6.36	9.78	8.06	1.69	0.0	0.43	0.82	0.52	1.53	1.0	2.23	0.0	2.25	2.2	0.79	0.0	3.92	3.32	6.89	5.11	0.0	0.0	0.0	0.0	0.0	1.64	0.0	2.66	1.55	1.43	0.0	2.41	0.0	0.77	0.61	0.72	4.21	0.0	4.66	381.68	58.3	14.45	48.18	40.93	140.04	84.04	231.32	52.45	62.12	79.45	40.36	21.01	348.71	164.42	287.01	212.78	141.02	141.02	140.04	103.69	38.12	312.0	82.87	7.06	57.89	170.25	181.28	201.25	68.55	103.69	69.03	366.09	165.57	53.95	277.2	17.38	35.76	56.68	381.68	17.0	107.38	236.21	133.36	182.55	132.44	171.45
CCSER2	97.36	145.02	84.63	142.01	154.42	175.07	166.73	126.12	114.36	54.72	161.02	163.28	169.07	113.56	232.94	141.02	142.01	204.07	127.89	139.07	248.0	116.78	251.48	170.25	334.46	102.25	111.21	279.14	127.89	117.6	186.4	232.94	129.69	441.64	202.66	186.4	226.54	275.28	73.03	214.27	361.04	201.25	267.73	563.18	651.58	507.46	1143.1	470.14	473.41	713.11	463.65	314.17	802.41	493.56	587.13	376.41	842.36	529.06	571.05	796.86	642.59	320.8	518.15	738.29	384.34	638.15	521.76	497.0	583.07	417.77	642.59	674.59	470.14	708.18	603.67	483.38	454.09	703.28	819.3	1304.15	656.11	417.77	567.1	457.25	624.99	470.14	595.34	262.2	669.92	397.93
CDC42BPA	144.01	126.12	229.72	183.82	435.55	279.14	389.72	177.53	229.72	52.45	162.14	173.85	211.31	155.5	202.66	111.99	130.6	241.19	167.9	171.45	181.28	220.32	251.48	223.41	191.67	94.01	140.04	54.72	185.11	80.01	149.12	220.32	191.67	205.5	181.28	226.54	224.97	279.14	169.07	127.0	109.66	208.38	366.09	361.04	575.03	121.79	389.72	246.28	251.48	616.37	218.79	277.2	463.65	387.02	211.31	441.64	878.17	371.22	358.54	796.86	775.05	236.21	320.8	921.88	258.57	660.68	842.36	463.65	387.02	325.29	669.92	624.99	612.11	503.95	674.59	332.14	194.36	348.71	802.41	854.13	361.04	301.33	733.19	441.64	348.71	363.56	555.41	158.79	316.37	363.56
CLASP2	70.01	74.58	96.01	123.5	258.57	150.17	127.0	85.22	89.51	65.72	105.89	79.45	120.1	74.06	151.22	86.43	66.65	173.85	44.89	107.38	153.34	111.21	164.42	186.4	124.37	75.64	86.43	127.89	53.95	94.67	126.12	124.37	98.73	97.36	107.38	163.28	82.29	73.54	82.29	92.05	161.02	143.01	167.9	412.0	387.02	346.29	555.41	339.14	291.04	417.77	295.11	191.67	267.73	336.79	341.51	281.09	872.1	341.51	363.56	638.15	718.08	497.0	358.54	669.92	651.58	412.0	521.76	392.44	698.41	384.34	395.18	353.59	262.2	291.04	583.07	486.75	221.86	503.95	400.71	397.93	563.18	267.73	642.59	291.04	217.27	314.17	432.53	299.25	884.29	381.68
CTTNBP2NL	25.72	69.03	30.78	59.97	80.01	125.24	32.36	43.32	25.91	15.34	43.02	21.63	49.91	28.45	64.34	21.47	13.62	103.69	34.51	98.04	54.72	39.79	128.79	98.73	27.25	18.97	12.09	36.01	68.07	47.17	38.95	24.81	39.79	133.36	28.65	120.94	22.92	77.79	16.75	36.53	30.78	53.95	40.36	466.88	444.72	236.21	595.34	318.57	444.72	438.59	409.15	403.5	612.11	343.89	314.17	318.57	429.54	825.0	733.19	476.71	518.15	253.23	265.87	642.59	258.57	536.45	409.15	368.65	429.54	466.88	476.71	559.28	444.72	466.88	688.78	563.18	224.97	417.77	728.11	417.77	432.53	275.28	406.31	327.56	195.72	529.06	387.02	314.17	866.07	343.89
DAAM1	62.56	81.71	170.25	145.02	301.33	214.27	507.46	53.19	68.07	64.34	145.02	156.59	289.02	134.3	239.52	125.24	138.1	232.94	167.9	205.5	470.14	299.25	320.8	327.56	223.41	176.29	154.42	96.01	180.02	127.0	579.04	476.71	264.03	265.87	206.94	283.05	111.21	351.14	75.11	190.34	135.24	406.31	400.71	224.97	486.75	267.73	583.07	470.14	860.08	551.56	490.14	414.87	890.44	466.88	480.04	403.5	1407.55	981.29	802.41	536.45	371.22	237.86	536.45	665.29	251.48	525.39	1111.82	1159.07	890.44	595.34	376.41	473.41	432.53	409.15	1199.98	457.25	395.18	669.92	563.18	1030.12	521.76	273.37	698.41	825.0	409.15	441.64	599.49	215.77	454.09	947.83
DAPK2	57.89	223.41	10.55	295.11	314.17	94.01	88.26	796.86	902.89	31.67	133.36	36.27	40.36	48.87	122.64	21.01	61.68	78.89	38.4	38.67	8.65	38.12	320.8	43.02	33.3	18.84	62.56	218.79	70.51	19.25	44.57	21.16	13.93	143.01	108.14	236.21	88.26	47.17	57.89	49.21	47.5	21.47	63.0	2573.36	503.95	156.59	595.34	733.19	595.34	599.49	2075.59	934.76	1135.2	301.33	309.83	381.68	1950.0	769.69	854.13	2075.59	567.1	1662.49	1519.15	368.65	780.44	1111.82	389.72	260.38	1008.9	262.2	1250.98	1628.26	198.47	587.13	1467.37	2935.74	1208.34	603.67	142.01	368.65	607.87	703.28	1628.26	713.11	2855.44	928.3	684.02	890.44	447.82	743.43
EDNRB	94.67	395.18	275.28	170.25	244.57	384.34	163.28	87.03	92.05	151.22	514.56	323.03	316.37	384.34	450.94	397.93	387.02	1119.56	547.75	748.61	1044.52	796.86	2915.45	332.14	583.07	173.85	251.48	133.36	693.58	244.57	303.44	241.19	698.41	1208.34	503.95	511.0	353.59	559.28	118.43	273.37	665.29	392.44	447.82	872.1	796.86	373.81	3060.45	2777.33	813.63	981.29	2303.12	2664.15	1268.46	896.64	460.44	785.88	6294.04	3690.52	995.0	2777.33	2537.92	1508.65	1277.29	1417.35	420.68	3146.52	1119.56	679.29	1844.76	1066.48	928.3	860.08	1427.22	647.07	1583.71	2434.5	669.92	1081.39	808.0	559.28	1369.04	921.88	2502.97	753.83	1447.15	1268.46	603.67	255.0	1551.09	1023.0
EFR3B	0.58	0.0	1.45	1.51	2.73	2.07	2.73	0.48	0.95	1.1	1.5	0.69	1.85	0.67	1.14	1.81	0.0	2.84	1.06	3.23	1.58	1.75	6.52	2.07	1.46	1.73	0.0	0.57	0.89	0.57	1.58	0.14	1.38	2.92	0.0	2.23	0.64	3.86	0.4	2.68	0.48	3.69	2.84	142.01	9.63	0.0	45.53	23.93	87.65	78.89	52.82	21.16	57.08	46.18	20.41	8.25	165.57	64.34	20.86	120.94	55.89	76.71	102.97	3.44	48.18	21.78	25.91	18.84	68.07	25.54	32.59	60.82	6.01	38.12	17.51	139.07	8.38	32.36	11.21	20.26	18.03	18.03	55.1	12.18	18.7	110.43	27.64	66.65	6.78	25.72
