	TCGA.T9.A92H.01A.11R.A37K.07	TCGA.G4.6309.01A.21R.1839.07	GTEX.131XE.0826.SM.5HL9W	GTEX.1399R.2226.SM.5P9JB	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.11P82.1026.SM.5BC5J	GTEX.U4B1.1126.SM.4DXV3	GTEX.Q2AI.0926.SM.48U1F	GTEX.146FQ.1926.SM.5NQBY	GTEX.14E6E.1526.SM.5RQIG	GTEX.R53T.1326.SM.48FCQ	GTEX.111CU.1426.SM.5GZYP	GTEX.144GM.1226.SM.5LU52	GTEX.PWOO.1326.SM.48TCJ	GTEX.11TT1.1026.SM.5PNW7	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.11EM3.1526.SM.5A5KN	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.OXRK.1726.SM.3NB16	GTEX.13FTW.1826.SM.5IJEN	GTEX.1122O.1526.SM.5N9CL	GTEX.OHPM.1426.SM.3TW8Y	GTEX.S4UY.0826.SM.4AD4Z	GTEX.XMK1.1726.SM.4B64Z	GTEX.11DXZ.1726.SM.5H12M	GTEX.XV7Q.2126.SM.4BRVX	GTEX.T5JW.1126.SM.4DM5V	GTEX.Y3IK.1826.SM.4WWDS	GTEX.QMRM.1226.SM.447C6	GTEX.ZT9W.1826.SM.51MQX	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.11ZTS.1426.SM.5EQMM	GTEX.PX3G.0826.SM.48TZS	GTEX.13FTZ.0726.SM.5IFFY	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.11ZVC.0726.SM.5FQT9	GTEX.1212Z.0226.SM.59HLF	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.Q2AI.0826.SM.48TZO
CDC7	134.3	249.73	79.45	63.0	60.39	63.45	31.22	97.36	74.06	83.45	15.11	115.97	82.29	115.16	126.12	95.34	64.8	75.64	53.57	76.71	33.3	62.12	48.18	38.67	30.34	34.51	109.66	70.01	96.01	53.57	57.08	73.54	34.26	9.63	38.12	5.02	17.38	11.13	6.52	11.47	34.51	3.59	7.75	30.12	11.73	4.82	10.47	29.27	9.34	2.81	17.64	49.56
CHAC2	92.7	346.29	156.59	208.38	149.12	121.79	228.13	269.6	139.07	279.14	68.55	267.73	151.22	202.66	232.94	256.78	141.02	173.85	136.19	94.67	92.05	146.03	118.43	63.0	63.0	82.29	197.09	111.99	228.13	193.01	187.71	234.57	135.24	56.28	152.28	31.9	61.25	92.05	45.85	57.08	48.18	42.11	68.07	80.01	68.55	39.5	49.21	72.52	26.86	32.13	87.03	119.26
CHCHD7	1709.26	1331.57	1030.12	1340.84	1447.15	1313.23	1417.35	1397.83	988.12	1508.65	785.88	1208.34	1508.65	1721.16	1304.15	954.43	743.43	1104.13	1233.75	1225.22	1175.27	1159.07	915.51	961.07	1023.0	928.3	1639.59	1023.0	1340.84	1639.59	1467.37	1286.18	1259.69	665.29	866.07	275.28	896.64	463.65	988.12	563.18	647.07	629.35	612.11	884.29	563.18	348.71	361.04	476.71	785.88	483.38	638.15	967.76
DDX39A	3564.78	3742.05	2104.58	2303.12	1950.0	1819.35	1259.69	2555.58	1896.65	2682.69	1508.65	2271.4	2178.83	2032.85	2758.13	2502.97	1427.22	1844.76	1457.23	2271.4	1268.46	1991.0	1844.76	1617.0	1233.75	1583.71	2351.53	1733.13	2255.7	2255.7	1896.65	2400.97	1745.2	669.92	511.0	426.57	503.95	312.0	312.0	403.5	909.17	332.14	279.14	1081.39	543.96	463.65	447.82	429.54	796.86	195.72	656.11	1135.2
DDX39B	8718.32	10154.69	6250.56	6164.49	6207.38	5711.87	4152.18	7081.29	5831.91	8479.89	5041.77	6516.03	5366.37	5872.48	7966.99	6561.36	5517.27	5594.3	5403.7	5594.3	5441.3	5633.22	5219.6	4802.93	5183.54	5219.6	7081.29	6164.49	5441.3	6164.49	5954.47	6983.79	5913.33	2976.74	3419.52	3639.7	3039.3	2956.17	2682.69	3742.05	3395.89	3564.78	2720.15	4937.99	2915.45	4038.61	3665.02	3146.52	4512.4	1883.54	2758.13	4769.75
DHX37	497.0	660.68	260.38	224.97	241.19	224.97	163.28	267.73	251.48	246.28	155.5	271.48	214.27	366.09	312.0	325.29	218.79	218.79	214.27	177.53	167.9	217.27	215.77	177.53	178.77	161.02	289.02	220.32	241.19	229.72	234.57	316.37	155.5	76.17	87.03	92.05	63.45	85.82	83.45	107.38	90.14	72.52	86.43	96.01	91.41	84.04	75.64	89.51	75.11	35.25	85.82	239.52
DKC1	2434.5	2209.26	1191.69	981.29	1388.16	718.08	769.69	1295.13	947.83	1447.15	260.38	1388.16	1183.45	2047.0	1407.55	1674.06	947.83	1081.39	961.07	808.0	555.41	995.0	723.08	563.18	620.67	620.67	1295.13	769.69	1119.56	1008.9	802.41	1437.15	688.78	231.32	656.11	327.56	267.73	256.78	305.55	260.38	351.14	237.86	293.07	287.01	195.72	297.17	258.57	309.83	358.54	140.04	336.79	629.35
DNMT1	1685.71	2319.15	909.17	848.22	1037.29	775.05	555.41	1119.56	848.22	1104.13	234.57	1467.37	961.07	1233.75	1359.57	1369.04	941.27	819.3	825.0	769.69	514.56	624.99	791.35	438.59	351.14	500.46	1313.23	656.11	1008.9	915.51	693.58	995.0	591.22	202.66	591.22	229.72	389.72	267.73	129.69	158.79	392.44	167.9	176.29	490.14	142.01	297.17	305.55	432.53	281.09	62.12	267.73	595.34
DPH2	848.22	1233.75	473.41	389.72	633.73	412.0	426.57	579.04	503.95	669.92	177.53	698.41	507.46	896.64	638.15	633.73	356.05	361.04	423.61	400.71	279.14	412.0	400.71	318.57	341.51	320.8	587.13	400.71	441.64	507.46	466.88	693.58	403.5	117.6	267.73	132.44	129.69	164.42	159.9	177.53	224.97	143.01	167.9	161.02	119.26	158.79	130.6	167.9	159.9	56.28	167.9	454.09
EIF2B5	1388.16	1369.04	1331.57	1037.29	1233.75	1151.06	1008.9	1250.98	928.3	1340.84	848.22	1519.15	1037.29	1313.23	1242.34	967.76	878.17	981.29	1023.0	1081.39	764.36	1135.2	1001.93	961.07	884.29	902.89	1208.34	1159.07	1001.93	1111.82	1088.92	1127.35	1023.0	540.19	518.15	808.0	518.15	583.07	567.1	603.67	693.58	599.49	500.46	591.22	426.57	780.44	525.39	674.59	848.22	289.02	674.59	808.0
EIF3M	7230.1	8963.45	3443.31	4181.07	4736.79	3768.09	4769.75	5183.54	4419.52	5672.41	2193.99	4836.35	4512.4	6516.03	5255.91	8658.09	4836.35	4388.98	4736.79	4066.71	3665.02	4704.07	3540.14	2835.7	3874.05	3982.99	4836.35	2935.74	5366.37	5255.91	5041.77	5711.87	3540.14	3665.02	6426.31	1870.53	3742.05	2701.35	3039.3	3564.78	3874.05	2976.74	3515.68	4210.15	2627.46	2777.33	2417.67	3716.2	2777.33	2720.15	3039.3	6381.92
EIF4A1	13215.02	26800.01	9409.14	10154.69	12160.22	8598.28	9409.14	13776.25	10808.41	15824.9	4066.71	11504.21	13033.07	16269.83	16496.96	21919.61	8134.41	10225.32	9673.69	8778.97	7382.04	8421.31	7642.41	6164.49	6935.54	8538.88	13306.94	6745.86	11664.82	13033.07	10014.87	14663.09	9025.81	7081.29	14361.31	4869.99	5831.91	4481.23	5872.48	5517.27	7803.01	4239.45	5255.91	9409.14	5329.3	5672.41	5633.22	5711.87	4836.35	5219.6	5831.91	12502.12
ENOPH1	785.88	825.0	395.18	417.77	490.14	329.84	599.49	708.18	450.94	638.15	164.42	764.36	536.45	599.49	718.08	934.76	587.13	486.75	651.58	336.79	293.07	532.74	420.68	293.07	332.14	356.05	529.06	379.04	703.28	583.07	591.22	620.67	312.0	205.5	529.06	205.5	191.67	264.03	232.94	287.01	271.48	178.77	224.97	320.8	215.77	239.52	202.66	309.83	231.32	127.89	248.0	490.14
FABP1	96616.71	1437.15	925580.18	2011721.67	654483.73	1085552.95	1412675.8	938500.81	677564.08	1070607.81	1070607.81	851707.37	789181.81	431797.89	386469.83	368165.8	1155430.26	1041331.96	1078054.48	1034138.94	565825.41	496005.67	696613.03	554180.87	561916.97	736332.6	632189.57	1093103.58	542775.98	811368.76	1238359.56	687022.54	1273174.62	2599854.48	2201414.44	527933.71	1290947.48	757033.75	1308968.45	2845004.48	919186.72	397335.0	394590.4	5420519.65	659036.03	1019901.63	863596.77	1308968.45	1691649.38	391864.76	632189.57	1393227.06
FAM57A	412.0	703.28	242.88	281.09	571.05	234.57	214.27	403.5	366.09	540.19	137.14	269.6	454.09	825.0	713.11	529.06	209.84	297.17	141.02	211.31	215.77	229.72	180.02	202.66	97.36	143.01	665.29	131.51	356.05	358.54	164.42	426.57	91.41	20.11	73.54	14.56	29.91	17.64	13.32	19.53	62.12	14.56	25.17	72.52	17.38	14.78	36.79	30.34	24.11	12.0	43.63	633.73
FAM58A	753.83	896.64	466.88	656.11	493.56	563.18	348.71	638.15	603.67	785.88	426.57	591.22	438.59	450.94	500.46	607.87	400.71	376.41	351.14	651.58	348.71	480.04	450.94	368.65	483.38	395.18	525.39	309.83	591.22	656.11	743.43	748.61	432.53	281.09	423.61	208.38	287.01	493.56	244.57	289.02	301.33	234.57	248.0	329.84	384.34	316.37	348.71	265.87	248.0	212.78	332.14	438.59
FANCB	51.35	67.59	9.56	6.26	12.83	12.18	18.03	33.54	9.06	21.47	4.35	19.39	20.56	11.91	38.95	18.03	10.96	15.0	17.64	19.82	3.99	9.41	9.34	1.62	5.63	5.41	17.0	19.68	11.13	24.28	7.17	12.36	3.63	1.97	6.31	0.21	4.06	0.2	6.41	0.54	2.1	5.11	0.25	12.45	0.0	0.0	1.5	9.06	4.98	0.26	0.0	34.26
FARSA	2271.4	2451.44	1583.71	2018.8	1498.22	1259.69	988.12	1605.83	1651.0	2047.0	642.59	1674.06	1417.35	2018.8	1963.57	2417.67	1225.22	1407.55	934.76	1233.75	1081.39	1378.57	1199.98	808.0	947.83	878.17	1561.89	1143.1	1936.53	1519.15	1437.15	1832.01	1143.1	769.69	1242.34	423.61	665.29	629.35	579.04	915.51	1008.9	629.35	753.83	728.11	753.83	665.29	703.28	525.39	490.14	432.53	743.43	1417.35
FARSB	1447.15	1639.59	915.51	1037.29	684.02	1008.9	854.13	1340.84	941.27	1508.65	312.0	961.07	954.43	1709.26	1191.69	1721.16	860.08	1015.93	780.44	791.35	713.11	872.1	866.07	441.64	579.04	698.41	1216.75	698.41	1295.13	1331.57	1199.98	1350.18	775.05	258.57	728.11	279.14	277.2	339.14	395.18	299.25	332.14	221.86	281.09	403.5	229.72	329.84	239.52	303.44	314.17	182.55	320.8	603.67
FUT4	511.0	206.94	309.83	289.02	493.56	248.0	503.95	476.71	336.79	460.44	224.97	447.82	371.22	400.71	426.57	616.37	303.44	358.54	371.22	264.03	220.32	339.14	258.57	264.03	224.97	264.03	454.09	264.03	325.29	353.59	361.04	358.54	285.03	20.71	28.45	12.83	26.86	10.16	0.68	14.03	10.0	8.99	15.8	30.12	5.23	7.82	18.16	54.33	7.22	24.99	23.59	124.37
GAR1	941.27	1477.58	583.07	733.19	808.0	633.73	669.92	759.08	571.05	866.07	483.38	866.07	830.75	860.08	890.44	981.29	476.71	620.67	551.56	563.18	563.18	748.61	624.99	381.68	447.82	409.15	860.08	567.1	854.13	753.83	638.15	1001.93	543.96	229.72	305.55	157.68	303.44	244.57	149.12	248.0	295.11	178.77	217.27	327.56	173.85	289.02	232.94	329.84	186.4	148.09	273.37	441.64
GART	1583.71	1781.89	620.67	642.59	842.36	616.37	775.05	878.17	884.29	915.51	325.29	902.89	713.11	1388.16	1304.15	1417.35	921.88	1037.29	595.34	543.96	688.78	836.53	791.35	480.04	454.09	642.59	1008.9	698.41	947.83	674.59	633.73	947.83	571.05	260.38	748.61	320.8	503.95	343.89	363.56	341.51	397.93	412.0	457.25	447.82	406.31	470.14	400.71	409.15	417.77	267.73	414.87	638.15
GGCT	2875.3	2502.97	1388.16	2148.82	1096.5	1437.15	1304.15	2163.77	1674.06	2104.58	743.43	1857.6	1757.34	1508.65	2451.44	1883.54	2133.97	1487.87	1427.22	1183.45	1127.35	1457.23	1286.18	848.22	866.07	825.0	1662.49	974.5	2573.36	1896.65	1572.76	1870.53	1350.18	753.83	1769.57	620.67	624.99	995.0	791.35	579.04	848.22	587.13	703.28	842.36	642.59	642.59	620.67	1008.9	629.35	473.41	669.92	769.69
GMPS	921.88	1175.27	525.39	518.15	607.87	518.15	543.96	612.11	457.25	718.08	195.72	616.37	603.67	836.53	780.44	941.27	529.06	603.67	607.87	432.53	409.15	473.41	376.41	351.14	414.87	441.64	543.96	366.09	579.04	607.87	540.19	684.02	403.5	299.25	1030.12	199.85	429.54	248.0	339.14	281.09	503.95	323.03	395.18	500.46	232.94	246.28	269.6	325.29	251.48	303.44	423.61	796.86
GNL2	1225.22	1617.0	825.0	819.3	1313.23	656.11	759.08	981.29	884.29	1286.18	368.65	842.36	915.51	1617.0	890.44	1529.73	748.61	764.36	902.89	813.63	738.29	728.11	836.53	688.78	693.58	738.29	1081.39	934.76	759.08	995.0	967.76	1044.52	1066.48	591.22	1059.11	713.11	547.75	723.08	607.87	480.04	708.18	480.04	540.19	684.02	607.87	941.27	518.15	612.11	753.83	463.65	457.25	470.14
GNL3	1857.6	4268.94	1407.55	1127.35	1857.6	1066.48	1135.2	1709.26	1111.82	1769.57	551.56	1769.57	1477.58	2502.97	1991.0	2193.99	1159.07	1304.15	1183.45	1088.92	842.36	1487.87	1225.22	921.88	896.64	1143.1	1628.26	1233.75	1498.22	1498.22	1175.27	1832.01	1088.92	713.11	1322.37	470.14	473.41	603.67	571.05	718.08	733.19	457.25	447.82	1001.93	493.56	819.3	698.41	738.29	684.02	521.76	665.29	1073.91
GTPBP4	1369.04	1745.2	629.35	563.18	769.69	376.41	480.04	633.73	536.45	764.36	186.4	796.86	620.67	967.76	669.92	1151.06	518.15	483.38	529.06	403.5	334.46	555.41	473.41	314.17	363.56	403.5	647.07	435.55	559.28	555.41	466.88	780.44	470.14	297.17	490.14	307.69	206.94	248.0	215.77	209.84	336.79	190.34	264.03	289.02	239.52	307.69	265.87	246.28	339.14	217.27	234.57	371.22
ILF2	2018.8	4481.23	3124.78	3564.78	3018.3	2895.31	2609.3	3639.7	3325.99	3820.7	1662.49	3168.41	5112.16	3419.52	4388.98	4268.94	3146.52	2997.45	2875.3	3820.7	3540.14	2796.65	2701.35	2004.85	2148.82	2417.67	3614.55	2090.03	3395.89	3589.58	3235.01	3515.68	2997.45	947.83	2701.35	890.44	1350.18	1044.52	902.89	934.76	1832.01	830.75	1175.27	1407.55	1059.11	860.08	884.29	1073.91	713.11	713.11	995.0	2739.08
ILF3	3614.55	4607.24	1909.85	1561.89	2816.11	1963.57	1551.09	2520.38	1757.34	2573.36	1015.93	2209.26	2061.24	2956.17	2209.26	2384.37	1467.37	1923.14	1709.26	2018.8	1250.98	1617.0	1519.15	1295.13	1295.13	1721.16	2835.7	1721.16	1769.57	2047.0	1733.13	2319.15	1950.0	872.1	743.43	651.58	728.11	563.18	493.56	595.34	884.29	567.1	463.65	1044.52	551.56	780.44	660.68	785.88	981.29	260.38	521.76	1427.22
IPO4	497.0	1477.58	403.5	381.68	591.22	287.01	283.05	595.34	454.09	708.18	153.34	463.65	547.75	842.36	656.11	819.3	323.03	339.14	368.65	329.84	205.5	299.25	336.79	194.36	256.78	295.11	603.67	332.14	447.82	503.95	379.04	748.61	336.79	211.31	563.18	208.38	289.02	214.27	258.57	307.69	351.14	157.68	260.38	277.2	198.47	236.21	246.28	171.45	264.03	191.67	325.29	417.77
KARS	2627.46	3325.99	2075.59	2303.12	2004.85	1674.06	1936.53	2468.49	2133.97	2701.35	1250.98	2178.83	2119.22	2417.67	2384.37	3303.0	2047.0	2090.03	2104.58	1651.0	1551.09	2075.59	1662.49	1295.13	2004.85	1685.71	2816.11	1519.15	2335.28	2148.82	2287.2	2835.7	1674.06	1427.22	2485.67	896.64	1457.23	954.43	1594.73	1350.18	1540.37	1331.57	1639.59	1721.16	1519.15	954.43	1199.98	1183.45	1225.22	1225.22	1498.22	2609.3
KIAA0020	1883.54	1540.37	633.73	693.58	708.18	540.19	567.1	872.1	563.18	878.17	426.57	819.3	753.83	1073.91	842.36	1008.9	507.46	624.99	500.46	679.29	312.0	540.19	426.57	297.17	384.34	420.68	728.11	518.15	802.41	665.29	753.83	967.76	583.07	295.11	343.89	384.34	136.19	438.59	218.79	229.72	267.73	202.66	185.11	409.15	358.54	269.6	267.73	341.51	325.29	193.01	191.67	267.73
LIPM	49.56	27.05	13.03	15.91	26.28	16.63	5.5	20.41	24.81	27.05	7.69	11.3	36.79	56.68	35.76	45.21	14.78	15.22	29.48	10.55	17.0	14.89	19.25	4.5	11.47	10.63	24.63	11.55	21.94	29.06	13.42	22.75	25.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.79	2.07	3.56	1.87	0.0	2.34	1.93	35.0
LRRC59	2935.74	3901.01	2682.69	3168.41	2895.31	2271.4	2816.11	4210.15	3060.45	4010.71	1794.29	2935.74	3419.52	3665.02	3901.01	4704.07	2976.74	2895.31	2777.33	2287.2	2133.97	2682.69	2319.15	1896.65	1794.29	2133.97	3235.01	2163.77	2915.45	3419.52	2645.74	3491.39	2682.69	836.53	2148.82	718.08	967.76	988.12	802.41	1008.9	1304.15	629.35	1104.13	1159.07	884.29	902.89	921.88	928.3	511.0	813.63	934.76	2104.58
MRTO4	830.75	1331.57	514.56	518.15	503.95	476.71	351.14	708.18	525.39	884.29	267.73	633.73	579.04	866.07	624.99	1030.12	444.72	521.76	503.95	409.15	343.89	460.44	339.14	392.44	291.04	406.31	616.37	457.25	551.56	595.34	511.0	884.29	381.68	295.11	325.29	231.32	232.94	255.0	334.46	234.57	447.82	414.87	195.72	295.11	253.23	239.52	435.55	211.31	255.0	132.44	176.29	547.75
MSTO1	656.11	1044.52	603.67	293.07	551.56	287.01	397.93	373.81	426.57	775.05	116.78	587.13	295.11	599.49	698.41	629.35	267.73	412.0	346.29	447.82	206.94	366.09	343.89	246.28	177.53	353.59	616.37	373.81	450.94	426.57	409.15	483.38	273.37	156.59	327.56	193.01	202.66	228.13	140.04	295.11	457.25	136.19	167.9	248.0	163.28	329.84	178.77	208.38	244.57	64.34	217.27	389.72
MTA2	2004.85	2255.7	1519.15	1359.57	1781.89	1397.83	1143.1	1639.59	1508.65	1594.73	890.44	1769.57	1651.0	1769.57	1628.26	1639.59	1199.98	1331.57	1216.75	1639.59	1250.98	1561.89	1286.18	1208.34	1183.45	1143.1	1605.83	1388.16	1277.29	1498.22	1250.98	1437.15	1350.18	493.56	571.05	476.71	536.45	400.71	307.69	426.57	651.58	392.44	450.94	441.64	366.09	490.14	420.68	473.41	587.13	273.37	616.37	1015.93
NAT10	1104.13	1216.75	624.99	438.59	607.87	406.31	341.51	555.41	473.41	836.53	165.57	884.29	441.64	1015.93	753.83	902.89	395.18	420.68	412.0	368.65	312.0	507.46	441.64	301.33	336.79	336.79	684.02	438.59	638.15	483.38	460.44	718.08	403.5	279.14	366.09	356.05	231.32	277.2	312.0	258.57	323.03	339.14	191.67	332.14	291.04	305.55	223.41	291.04	348.71	180.02	255.0	603.67
NAT9	1073.91	941.27	825.0	599.49	718.08	571.05	353.59	543.96	563.18	660.68	234.57	796.86	511.0	723.08	872.1	684.02	389.72	532.74	400.71	620.67	336.79	587.13	397.93	303.44	376.41	525.39	583.07	438.59	785.88	620.67	532.74	708.18	447.82	293.07	217.27	379.04	241.19	329.84	242.88	277.2	316.37	297.17	223.41	426.57	285.03	486.75	289.02	320.8	454.09	170.25	371.22	320.8
NDUFAF4	1769.57	1561.89	1008.9	1322.37	1159.07	1175.27	974.5	1561.89	1001.93	1350.18	497.0	1709.26	1216.75	1561.89	1268.46	1023.0	1119.56	836.53	708.18	909.17	703.28	981.29	665.29	575.03	872.1	665.29	860.08	764.36	1378.57	1832.01	1051.79	1883.54	909.17	688.78	1417.35	551.56	476.71	753.83	764.36	1427.22	896.64	463.65	547.75	1844.76	872.1	647.07	679.29	796.86	629.35	389.72	974.5	830.75
