	TCGA.E5.A2PC.01A.11R.A206.07	TCGA.A8.A09I.01A.22R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.EX.A69M.01A.11R.A32P.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.RU1J.1326.SM.46MUL	GTEX.S3XE.1126.SM.4AD4N	GTEX.XGQ4.1226.SM.4AT67	GTEX.11EQ9.1526.SM.5PNY7	GTEX.13VXT.2426.SM.5LU46	TCGA.X8.AAAR.01A.11R.A406.31	TCGA.V5.A7RB.01A.11R.A354.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	GTEX.V1D1.1226.SM.4JBI5	GTEX.ZVZP.1626.SM.5GIDJ	GTEX.13111.1126.SM.5GCMZ	GTEX.RTLS.1226.SM.46MUP	GTEX.ZAB4.1226.SM.5CVN5	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.CG.5732.01A.11R.1602.13	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.D7.A6EZ.01A.11R.A31P.31	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.CD.A486.01A.11R.A24K.31	TCGA.HU.A4GU.01A.11R.A251.31	TCGA.D7.6820.01A.11R.1884.13	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.BR.7704.11A.01R.2055.13	TCGA.HU.A4GP.11A.21R.A251.31	GTEX.WHPG.0426.SM.4M1XW	GTEX.POMQ.0826.SM.3P61H	GTEX.QDVN.1226.SM.48TZ5	GTEX.S7SF.0626.SM.4AD4V
FOXF1	9.2	2.41	36.01	255.0	157.68	16.39	17.0	34.75	267.73	3690.52	1096.5	1183.45	733.19	884.29	981.29	463.65	199.85	157.68	303.44	48.18	116.78	253.23	612.11	1143.1	1159.07	2104.58	1295.13	1059.11	0.0	0.46	201.25	79.45	241.19	44.57	50.63	65.26	45.53	163.28	1551.09	189.02	153.34	80.01	74.58	88.26	4575.41	2997.45	4575.41	698.41	507.46	457.25	2485.67
FXYD7	0.62	1.81	12.64	314.17	24.11	2.86	2.71	0.0	10.08	81.14	14.24	36.79	19.39	35.5	34.02	17.25	19.97	18.97	15.11	3.0	26.28	9.06	23.93	21.16	36.79	58.3	201.25	98.04	0.0	0.3	13.93	4.7	7.06	17.38	1.25	3.63	7.34	12.83	46.18	1.41	0.0	9.06	3.89	0.0	50.27	49.91	84.63	11.3	15.91	17.38	39.5
GBA2	358.54	599.49	264.03	674.59	1259.69	1111.82	616.37	1051.79	1135.2	2004.85	2303.12	2367.9	2451.44	2682.69	2240.11	1199.98	1127.35	1832.01	1594.73	1617.0	2520.38	1832.01	1639.59	3124.78	3540.14	2627.46	3928.15	4298.64	0.0	1.27	769.69	2287.2	1457.23	902.89	1639.59	1044.52	1059.11	909.17	1378.57	842.36	1023.0	1551.09	1059.11	1008.9	1806.78	1662.49	2090.03	1447.15	1819.35	1709.26	1605.83
GPRASP1	5.77	10.55	9.2	70.01	371.22	18.7	16.88	10.31	36.01	961.07	199.85	193.01	95.34	143.01	186.4	72.52	19.39	31.9	36.27	19.68	17.38	46.84	38.67	412.0	409.15	532.74	397.93	325.29	0.0	0.31	6.89	15.0	18.97	44.57	24.81	8.32	8.0	23.59	336.79	13.32	8.25	24.46	15.8	3.86	438.59	341.51	587.13	25.35	49.56	27.05	497.0
IL11RA	44.57	98.04	62.56	384.34	518.15	563.18	155.5	163.28	189.02	1963.57	718.08	698.41	540.19	884.29	854.13	234.57	198.47	320.8	283.05	169.07	197.09	144.01	100.83	1561.89	1340.84	1023.0	1709.26	1561.89	0.0	0.49	93.35	159.9	77.79	96.68	171.45	92.05	80.01	123.5	358.54	88.26	30.56	221.86	73.54	51.35	753.83	854.13	848.22	146.03	262.2	241.19	457.25
ITGA7	58.3	24.46	34.51	131.51	226.54	194.36	73.54	176.29	679.29	18431.96	1183.45	1073.91	1447.15	1819.35	1651.0	1277.29	1037.29	1662.49	830.75	353.59	503.95	303.44	753.83	4639.29	5329.3	4010.71	4419.52	4903.87	0.0	0.72	248.0	149.12	172.65	348.71	305.55	96.01	271.48	500.46	2287.2	146.03	154.42	246.28	190.34	163.28	4704.07	3060.45	3820.7	269.6	283.05	329.84	1883.54
ITGB1BP2	11.73	8.85	28.45	22.75	52.08	12.64	10.79	13.93	44.57	1183.45	92.7	65.72	138.1	123.5	143.01	85.82	37.32	25.91	102.97	88.26	102.97	31.45	34.26	348.71	143.01	320.8	239.52	249.73	0.0	0.49	9.56	27.25	2.76	19.25	41.52	7.17	14.03	20.86	172.65	24.28	24.11	11.13	18.84	4.1	363.56	144.01	429.54	59.13	25.54	21.01	130.6
LCN2	246.28	802.41	565825.41	1179708.33	706337.4	311742.51	214407.12	316094.29	542775.98	44.57	52863.07	9151.82	48307.85	6792.79	8963.45	223512.12	313910.86	606436.73	256748.15	654483.73	1238359.56	336441.4	513497.31	12.0	21.78	447.82	35.5	2061.24	0.0	0.43	1034138.94	565825.41	251464.33	1472666.19	593956.43	244588.0	431797.89	334117.42	86474.27	466008.55	301123.38	383800.28	305326.92	350728.68	183.82	4450.27	15.56	290865.98	301123.38	320506.81	126606.21
LDB3	3.63	2.41	0.0	12.0	26.1	1.69	1.6	6.11	36.27	5076.84	214.27	229.72	392.44	507.46	457.25	112.77	40.07	21.01	35.0	11.82	14.03	26.1	20.11	988.12	454.09	878.17	802.41	954.43	6.73	92.05	7.88	4.35	6.01	7.88	5.45	3.76	0.61	5.41	392.44	7.94	6.89	10.31	4.35	7.94	1359.57	674.59	1674.06	37.85	32.82	49.21	842.36
LGI4	19.39	11.13	37.05	486.75	1081.39	19.39	16.27	22.75	132.44	1794.29	417.77	607.87	318.57	967.76	947.83	224.97	145.02	115.16	171.45	36.01	62.56	64.8	205.5	1628.26	1216.75	1081.39	4736.79	3955.48	0.0	0.3	45.53	15.91	30.56	65.26	17.9	22.75	34.75	44.89	379.04	24.11	17.64	42.71	11.64	32.13	1073.91	718.08	1001.93	80.01	94.67	110.43	457.25
LRRN4CL	0.64	4.9	12.27	143.01	603.67	10.79	3.69	2.66	43.02	559.28	127.89	144.01	223.41	341.51	183.82	94.01	38.95	23.59	50.63	19.53	29.48	79.45	87.65	358.54	371.22	514.56	480.04	493.56	0.0	0.21	21.47	7.88	20.71	56.28	3.66	14.78	4.43	7.82	289.02	13.52	27.84	19.39	9.2	9.41	432.53	463.65	361.04	61.68	90.77	57.49	312.0
MOB2	688.78	305.55	1407.55	1331.57	1023.0	660.68	412.0	743.43	915.51	9344.14	1437.15	1572.76	1529.73	1977.24	1508.65	1397.83	1268.46	674.59	1081.39	1159.07	2148.82	1331.57	1242.34	2400.97	1745.2	2163.77	1757.34	2163.77	0.0	0.49	866.07	511.0	642.59	733.19	363.56	454.09	532.74	379.04	1378.57	336.79	480.04	450.94	518.15	629.35	1467.37	1529.73	1674.06	785.88	825.0	703.28	1662.49
MRGPRF	9.48	29.48	53.57	624.99	1519.15	31.22	17.0	23.25	559.28	14867.79	1350.18	1685.71	1709.26	2032.85	1977.24	684.02	139.07	76.71	209.84	149.12	59.55	371.22	381.68	1991.0	2997.45	2796.65	1819.35	2609.3	0.0	0.6	81.14	20.26	87.03	161.02	28.86	78.34	40.93	82.87	2351.53	32.36	31.0	99.43	59.13	59.13	5479.15	2468.49	5954.47	450.94	403.5	314.17	5672.41
MROH7	12.36	2.66	35.25	21.78	102.97	18.7	9.27	40.07	17.77	141.02	104.42	77.79	100.83	83.45	105.15	76.71	85.82	647.07	40.64	61.68	34.26	36.53	45.53	764.36	271.48	379.04	336.79	981.29	0.0	0.54	50.63	24.11	18.84	20.71	10.31	8.38	39.5	13.32	126.12	22.92	47.5	15.0	52.08	2.81	197.09	113.56	253.23	15.0	41.52	53.19	60.39
MRVI1	19.97	74.06	9.13	76.71	435.55	37.05	19.97	33.54	356.05	5672.41	848.22	902.89	733.19	1199.98	995.0	780.44	152.28	144.01	279.14	87.65	103.69	289.02	406.31	2335.28	2075.59	2485.67	1617.0	1651.0	0.0	0.59	124.37	59.13	158.79	293.07	43.94	88.26	84.04	167.9	2417.67	115.97	105.15	96.68	43.63	84.63	2720.15	1572.76	2855.44	426.57	323.03	293.07	2178.83
NNAT	17.25	7.0	178.77	642.59	450.94	22.26	16.51	5.02	19.97	10585.95	429.54	928.3	264.03	616.37	414.87	49.21	198.47	212.78	198.47	21.01	54.33	71.5	126.12	149.12	177.53	493.56	163.28	195.72	0.0	0.42	14.14	22.59	21.32	24.99	27.64	14.35	24.28	17.13	547.75	13.83	75.64	24.63	22.59	7.0	2664.15	1199.98	4836.35	45.85	83.45	50.63	1487.87
NPAS4	0.0	0.0	0.92	1.87	0.84	1.07	0.6	0.0	11.82	376.41	13.52	25.35	26.86	25.72	31.22	6.73	2.16	1.41	4.5	1.28	2.48	3.47	1.46	81.71	94.01	87.03	63.89	127.89	0.0	0.16	0.53	0.59	1.06	1.75	0.0	0.0	0.0	0.55	27.64	1.03	0.55	0.59	0.51	3.38	112.77	177.53	211.31	15.68	8.13	10.08	25.17
PCDHGB7	7.28	31.9	6.67	74.58	269.6	19.25	11.82	9.85	55.49	551.56	127.89	178.77	110.43	145.02	132.44	69.52	115.16	39.22	53.19	29.06	43.63	100.13	88.88	214.27	167.9	334.46	339.14	287.01	0.0	0.4	30.12	11.64	16.75	100.83	11.82	27.84	27.25	63.89	237.86	23.08	21.94	29.27	16.03	25.35	287.01	339.14	409.15	74.58	62.12	43.32	444.72
PDE2A	62.12	68.07	46.5	175.07	595.34	21.94	18.7	14.24	115.16	2758.13	603.67	441.64	412.0	647.07	432.53	193.01	91.41	163.28	90.14	52.08	88.26	159.9	224.97	1030.12	1167.14	738.29	1857.6	1397.83	0.0	0.4	51.71	36.79	61.25	102.25	11.73	48.52	98.04	70.51	406.31	55.1	67.59	36.53	9.48	108.14	1167.14	733.19	1322.37	58.3	108.14	218.79	819.3
PPP1R12C	1096.5	341.51	728.11	1369.04	2645.74	1233.75	1477.58	988.12	2104.58	18178.19	2915.45	2796.65	4328.55	3491.39	4010.71	2701.35	3303.0	1844.76	4972.34	708.18	1225.22	1447.15	2417.67	7081.29	8538.88	5633.22	14065.74	12415.75	0.0	1.27	1304.15	1350.18	836.53	688.78	543.96	915.51	470.14	1081.39	2303.12	1191.69	1199.98	1551.09	665.29	796.86	6079.61	5441.3	5594.3	1388.16	1709.26	1519.15	3665.02
PPP1R14A	48.87	21.01	10.16	214.27	511.0	120.94	23.08	195.72	500.46	35856.82	3716.2	2796.65	4095.0	5006.93	5292.48	2537.92	633.73	483.38	444.72	348.71	878.17	579.04	1242.34	6471.02	7382.04	6935.54	8658.09	9344.14	0.0	0.75	406.31	166.73	199.85	392.44	134.3	98.04	429.54	142.01	7537.18	159.9	209.84	353.59	40.07	785.88	6207.38	5954.47	8247.98	417.77	579.04	591.22	4972.34
PYGM	2.73	3.47	1.35	5.73	33.3	8.25	7.06	4.9	35.76	5711.87	339.14	211.31	267.73	381.68	323.03	70.51	40.36	42.11	40.36	20.11	8.0	26.67	46.18	1127.35	403.5	909.17	884.29	988.12	0.0	0.39	7.94	5.23	14.78	11.3	7.94	6.46	4.31	12.64	258.57	8.0	10.47	7.46	5.32	7.34	954.43	638.15	902.89	64.8	50.27	25.35	387.02
RASGRP2	15.22	34.02	10.24	63.45	256.78	37.59	47.84	33.78	197.09	1745.2	500.46	595.34	543.96	836.53	878.17	406.31	151.22	305.55	234.57	94.67	173.85	242.88	332.14	1572.76	1051.79	981.29	1605.83	1617.0	0.0	0.93	98.04	48.18	202.66	111.21	36.27	80.01	127.89	258.57	808.0	95.34	34.26	309.83	23.42	64.8	1340.84	796.86	1216.75	154.42	307.69	301.33	563.18
RGMA	3.96	13.72	237.86	341.51	785.88	56.28	46.5	6.46	253.23	4543.8	775.05	1259.69	830.75	988.12	1088.92	842.36	332.14	80.01	316.37	332.14	73.54	473.41	470.14	2720.15	1388.16	2367.9	2224.63	1331.57	0.0	0.69	47.84	10.0	142.01	108.9	37.59	38.4	19.25	70.01	4328.55	27.64	15.8	103.69	17.25	31.0	5831.91	4210.15	6652.97	688.78	260.38	511.0	6983.79
RP11-1055B8.7	3.41	18.56	2.18	4.28	289.02	32.82	48.52	40.93	59.55	204.07	334.46	241.19	232.94	265.87	201.25	83.45	206.94	70.01	190.34	41.52	88.26	80.01	98.73	532.74	395.18	429.54	363.56	327.56	0.0	0.64	142.01	231.32	77.25	84.63	190.34	35.5	77.25	199.85	172.65	48.52	190.34	152.28	98.04	161.02	325.29	332.14	336.79	38.67	138.1	72.52	285.03
RP11-89K11.1	2.73	7.82	3.06	23.93	180.02	12.0	19.53	0.0	15.8	127.89	46.5	40.36	21.47	61.25	37.05	24.81	20.56	26.67	27.84	16.27	18.7	41.81	40.36	144.01	172.65	113.56	149.12	237.86	0.0	0.61	15.45	6.36	14.78	23.93	4.35	4.62	9.13	32.82	73.54	3.32	0.0	38.67	0.0	2.71	130.6	76.17	173.85	28.24	27.44	13.72	105.89
SATB1	102.97	64.8	23.76	420.68	1037.29	197.09	26.28	295.11	119.26	1259.69	1051.79	1081.39	447.82	490.14	967.76	187.71	323.03	178.77	273.37	74.06	156.59	177.53	163.28	376.41	599.49	587.13	511.0	934.76	76.71	173.85	269.6	262.2	123.5	262.2	486.75	88.88	105.89	363.56	674.59	511.0	51.71	191.67	34.02	54.33	1331.57	878.17	1216.75	71.0	123.5	197.09	1628.26
SCN3B	0.61	0.71	0.0	13.52	32.82	3.92	1.14	1.46	6.46	55.49	16.03	23.76	24.28	44.25	37.85	12.55	9.56	14.67	13.83	3.32	14.45	11.91	12.64	40.07	18.84	38.4	52.08	33.06	0.0	0.36	4.46	0.8	7.46	10.24	1.07	1.73	4.54	3.11	49.56	1.58	2.39	5.77	0.72	4.5	50.98	31.22	60.39	9.2	17.51	7.88	33.78
SCN7A	0.0	0.74	0.78	8.13	52.08	0.0	0.62	0.0	19.53	1857.6	307.69	376.41	205.5	348.71	403.5	70.01	2.39	5.73	10.88	3.79	2.53	32.13	20.26	780.44	358.54	356.05	1407.55	1081.39	0.0	0.42	1.93	0.77	4.66	12.55	0.67	0.0	1.13	1.14	163.28	1.58	0.0	1.69	0.0	0.71	555.41	432.53	540.19	9.06	19.25	15.56	269.6
SDHD	0.0	0.0	2.94	7.06	0.54	0.0	0.0	8.85	7.46	23.93	27.05	24.99	25.35	23.42	7.34	9.27	6.26	7.94	3.53	0.0	6.52	0.0	8.38	14.89	12.27	23.08	31.67	22.75	0.0	0.17	11.13	3.35	0.0	0.0	7.69	3.41	3.96	0.0	13.72	0.0	0.0	0.0	1.87	2.43	45.53	36.27	10.88	0.0	11.47	2.56	14.89
SETD1B	199.85	214.27	119.26	135.24	258.57	209.84	182.55	148.09	215.77	791.35	444.72	567.1	395.18	536.45	476.71	303.44	417.77	529.06	470.14	299.25	181.28	620.67	423.61	974.5	1583.71	743.43	688.78	616.37	105.89	206.94	387.02	147.06	348.71	166.73	406.31	163.28	146.03	400.71	447.82	348.71	220.32	209.84	287.01	796.86	679.29	587.13	656.11	214.27	248.0	246.28	629.35
SGCA	5.5	2.63	6.67	34.51	8.0	2.68	6.84	8.25	215.77	1950.0	595.34	412.0	511.0	748.61	629.35	273.37	50.63	36.53	80.01	16.75	103.69	131.51	106.63	2133.97	1519.15	1844.76	2303.12	2468.49	0.0	0.61	17.51	22.26	61.25	24.46	17.0	4.46	33.54	34.02	1674.06	26.86	27.64	13.62	2.97	15.11	2240.11	2133.97	1295.13	195.72	75.64	220.32	769.69
SGCZ	0.0	0.0	0.0	0.0	3.23	0.0	0.0	0.0	0.0	11.55	0.64	1.41	1.46	0.43	1.04	0.06	0.0	0.0	0.0	0.0	0.04	0.04	0.51	4.13	3.23	1.73	4.28	8.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.34	0.0	0.0	0.0	0.0	0.0	1.91	3.86	2.46	0.0	0.49	0.0	3.59
STARD9	2.76	11.04	5.96	23.59	85.82	22.26	19.82	30.34	69.52	915.51	180.02	224.97	128.79	275.28	178.77	55.89	81.14	57.49	115.97	38.67	24.11	42.11	79.45	587.13	775.05	493.56	660.68	733.19	0.0	0.53	9.85	13.52	22.59	36.79	123.5	14.78	17.51	30.34	236.21	21.78	9.85	31.45	33.78	17.38	567.1	320.8	483.38	35.25	51.35	28.65	269.6
STON1	6.41	37.32	35.25	83.45	118.43	24.46	15.8	9.93	109.66	2240.11	417.77	381.68	237.86	363.56	381.68	195.72	145.02	87.65	111.99	23.59	47.17	103.69	126.12	738.29	679.29	1175.27	780.44	902.89	0.0	0.57	24.63	13.72	26.47	224.97	28.65	32.13	25.35	57.08	785.88	19.39	17.0	47.84	33.54	12.27	1936.53	860.08	2537.92	73.54	78.89	105.89	1674.06
TMEM132C	0.0	0.99	19.39	1008.9	1331.57	0.0	0.0	1.2	1.69	44.89	24.46	85.82	18.43	45.21	31.45	5.36	1.22	1.77	2.23	0.0	0.0	1.28	2.78	49.91	86.43	35.25	67.12	50.98	0.0	0.18	0.0	1.19	8.06	37.59	0.0	1.97	0.0	2.97	23.08	0.0	0.72	2.81	0.67	1.08	66.65	61.25	78.34	8.25	20.86	19.25	32.13
TMEM240	1.55	6.46	3.59	19.39	138.1	38.12	19.97	3.63	38.67	890.44	131.51	111.21	92.7	132.44	109.66	101.54	19.25	13.22	8.19	49.91	16.75	13.42	72.52	229.72	141.02	178.77	256.78	336.79	0.0	0.32	9.2	1.73	9.13	56.28	6.89	1.38	6.31	7.34	133.36	3.41	2.05	16.15	1.07	8.0	269.6	185.11	392.44	26.67	23.08	17.51	265.87
