	TCGA.A2.A0YK.01A.22R.A109.07	TCGA.A8.A09Z.01A.11R.A00Z.07	TCGA.BH.A1FB.01A.11R.A13Q.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.FV.A23B.11A.11R.A16W.07	GTEX.11GSP.0626.SM.5986T	GTEX.145MF.0826.SM.5QGQA	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	GTEX.S7SE.0926.SM.2XCD6	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	TCGA.EJ.7315.11A.01R.2118.07	GTEX.11OF3.0626.SM.5BC4Y
MYOF	1498.22	2591.27	2351.53	323.03	33.78	19.82	100.83	312.0	18.29	15.56	83.45	44.57	52.45	37.59	84.04	41.52	1498.22	836.53	1015.93	1709.26	1159.07
NFXL1	185.11	171.45	199.85	111.99	81.71	55.89	93.35	253.23	49.21	55.49	96.68	51.35	15.34	72.52	118.43	70.01	148.09	159.9	127.0	208.38	320.8
PACSIN2	1277.29	3928.15	1127.35	1250.98	314.17	412.0	909.17	825.0	301.33	753.83	343.89	387.02	389.72	514.56	420.68	353.59	909.17	785.88	848.22	1359.57	1199.98
PIP4K2A	703.28	2148.82	656.11	327.56	112.77	111.21	281.09	620.67	130.6	121.79	327.56	182.55	493.56	199.85	204.07	234.57	638.15	463.65	536.45	543.96	457.25
PMP22	2739.08	5791.62	5872.48	1023.0	153.34	125.24	511.0	403.5	75.11	81.14	220.32	204.07	141.02	112.77	154.42	172.65	3372.43	6207.38	4937.99	1883.54	1498.22
PRAF2	825.0	1447.15	651.58	595.34	231.32	183.82	253.23	226.54	363.56	94.67	167.9	208.38	215.77	181.28	198.47	167.9	967.76	432.53	463.65	748.61	825.0
PRPS2	698.41	674.59	733.19	435.55	269.6	320.8	417.77	177.53	301.33	82.87	444.72	334.46	157.68	269.6	262.2	343.89	723.08	575.03	540.19	791.35	591.22
PRRX1	1340.84	214.27	1870.53	30.12	1.45	0.0	27.84	49.56	0.89	0.0	14.35	5.32	8.92	3.69	7.46	6.01	785.88	454.09	507.46	1242.34	1733.13
PTPN4	264.03	249.73	260.38	181.28	181.28	81.71	137.14	305.55	224.97	84.63	221.86	85.82	142.01	175.07	145.02	108.14	256.78	466.88	309.83	241.19	713.11
RABEP1	1088.92	1628.26	1909.85	397.93	381.68	289.02	379.04	409.15	312.0	379.04	387.02	540.19	191.67	483.38	327.56	412.0	543.96	612.11	460.44	884.29	591.22
RAP1GDS1	579.04	1259.69	1030.12	420.68	351.14	269.6	381.68	295.11	255.0	121.79	241.19	305.55	127.89	214.27	236.21	176.29	583.07	633.73	473.41	493.56	432.53
ROBO1	486.75	48.18	403.5	255.0	23.08	15.22	114.36	507.46	17.77	54.33	128.79	237.86	161.02	158.79	22.92	78.34	842.36	1159.07	1313.23	909.17	346.29
RP11-159G9.5	242.88	152.28	221.86	63.0	20.71	19.39	49.91	38.95	16.39	19.25	77.79	26.1	27.44	23.25	25.91	24.28	89.51	187.71	138.1	241.19	117.6
RPS6KA5	260.38	166.73	229.72	46.18	27.84	17.77	29.48	24.81	24.81	10.63	34.75	24.81	13.83	44.89	15.0	24.81	173.85	197.09	267.73	138.1	231.32
SCRN1	389.72	1127.35	808.0	150.17	28.65	16.75	80.01	127.0	14.14	10.96	19.11	61.25	23.59	22.92	19.11	31.9	493.56	547.75	463.65	1037.29	368.65
SECTM1	316.37	7911.95	543.96	285.03	126.12	83.45	175.07	121.79	41.52	21.16	255.0	22.59	764.36	110.43	169.07	69.52	1277.29	693.58	1233.75	521.76	66.18
SFT2D1	1208.34	1183.45	1191.69	563.18	500.46	450.94	536.45	441.64	473.41	246.28	426.57	457.25	595.34	376.41	265.87	432.53	954.43	1551.09	2075.59	1104.13	2047.0
SHISA2	133.36	242.88	1104.13	11.64	0.45	0.0	3.79	8.78	0.0	0.0	0.0	7.28	0.0	0.0	0.0	3.29	12.36	208.38	172.65	20.86	1008.9
STX3	432.53	1447.15	660.68	287.01	75.11	61.25	173.85	281.09	48.18	52.08	161.02	76.17	64.8	107.38	145.02	115.16	607.87	836.53	674.59	397.93	318.57
TRAPPC2	262.2	381.68	237.86	201.25	122.64	155.5	176.29	135.24	117.6	125.24	150.17	186.4	198.47	111.99	125.24	166.73	373.81	283.05	301.33	289.02	231.32
TRMT44	343.89	279.14	236.21	186.4	98.04	95.34	162.14	226.54	127.0	129.69	146.03	151.22	126.12	94.01	186.4	123.5	182.55	412.0	289.02	221.86	297.17
TSHZ3	172.65	82.87	185.11	77.25	11.91	10.08	28.45	48.52	14.56	18.97	23.93	19.97	9.63	12.55	16.27	18.97	176.29	248.0	371.22	356.05	381.68
TSPAN15	2255.7	4671.57	2224.63	607.87	103.69	64.8	162.14	267.73	35.5	57.89	158.79	176.29	147.06	151.22	117.6	201.25	1685.71	4450.27	2271.4	1359.57	346.29
TTL	329.84	228.13	376.41	305.55	84.63	107.38	162.14	83.45	116.78	76.71	87.03	78.89	100.83	77.79	81.71	81.71	607.87	567.1	633.73	253.23	113.56
UTP18	633.73	759.08	813.63	525.39	363.56	312.0	392.44	397.93	249.73	248.0	265.87	299.25	239.52	246.28	420.68	341.51	656.11	571.05	309.83	612.11	872.1
ZFYVE1	395.18	543.96	351.14	291.04	279.14	267.73	265.87	140.04	177.53	147.06	384.34	221.86	262.2	244.57	214.27	226.54	327.56	373.81	397.93	316.37	368.65
ZNF222	118.43	341.51	73.03	64.34	49.21	34.02	59.13	49.21	43.32	32.36	48.52	47.17	37.32	48.18	45.85	74.06	114.36	98.73	134.3	87.65	110.43
