	TCGA.B6.A0RO.01A.22R.A084.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.BH.A0HL.01A.11R.A10U.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.A3.3347.01A.02R.1325.07	TCGA.44.6778.01A.11R.1858.07	TCGA.85.7710.11A.01R.2125.07	TCGA.HU.A4GY.01A.21R.A24K.31
DOCK4	48.52	177.53	43.94	435.55	242.88	67.59	149.12	130.6	34.26	116.78	162.14	43.32	191.67	204.07	293.07	191.67	536.45	547.75	507.46	366.09	253.23
FGF11	18.56	53.95	11.82	50.98	33.78	25.54	13.83	39.79	7.46	13.62	8.06	32.36	43.32	18.03	74.58	7.88	642.59	1277.29	44.25	144.01	67.59
FLVCR2	13.03	91.41	10.39	112.77	73.54	43.02	31.9	80.01	11.13	48.18	21.32	41.22	128.79	22.59	98.04	42.41	244.57	234.57	353.59	454.09	117.6
GPNMB	791.35	4704.07	470.14	3419.52	1870.53	1313.23	603.67	981.29	232.94	1639.59	802.41	1417.35	1923.14	928.3	2739.08	1529.73	8840.04	4328.55	11745.96	4671.57	6250.56
HGF	25.72	109.66	6.78	132.44	77.25	38.12	33.06	36.01	3.53	52.45	62.56	36.79	132.44	52.82	130.6	49.56	246.28	830.75	220.32	176.29	246.28
IGFLR1	165.57	503.95	116.78	389.72	144.01	145.02	98.73	309.83	244.57	198.47	242.88	215.77	323.03	249.73	616.37	387.02	647.07	651.58	808.0	1096.5	802.41
IL10RA	43.94	435.55	26.47	373.81	208.38	69.52	37.32	65.26	45.53	126.12	95.34	50.98	406.31	400.71	414.87	165.57	1001.93	1216.75	1369.04	1242.34	1167.14
ITGB7	30.78	279.14	15.8	242.88	62.12	35.0	31.22	187.71	11.38	59.13	66.18	31.45	417.77	73.03	379.04	32.59	438.59	395.18	629.35	848.22	599.49
KIF21B	7.34	53.57	10.88	42.41	18.43	12.18	18.29	12.36	3.35	12.27	15.68	8.13	27.64	16.88	33.54	14.89	52.08	85.82	218.79	223.41	291.04
LACC1	67.12	171.45	12.74	178.77	74.58	39.5	62.56	111.99	10.55	52.45	104.42	80.57	131.51	39.5	166.73	52.08	223.41	198.47	150.17	136.19	215.77
LGI2	6.46	25.54	10.96	26.28	14.45	10.08	15.8	12.09	2.46	6.67	10.96	11.3	17.9	17.13	23.25	9.06	37.85	63.45	53.95	62.56	220.32
LILRA6	5.23	72.01	6.73	81.71	17.13	13.83	2.71	31.0	5.41	17.9	7.4	13.12	70.01	21.16	68.07	40.93	232.94	187.71	309.83	283.05	204.07
LIMS3L	4.28	24.28	11.04	46.18	13.32	12.74	19.82	10.0	3.96	15.68	12.64	12.74	31.0	5.73	30.12	9.41	157.68	57.89	19.53	20.26	40.93
MAFB	329.84	802.41	299.25	718.08	303.44	267.73	244.57	325.29	142.01	323.03	406.31	249.73	688.78	438.59	669.92	387.02	1183.45	1369.04	1119.56	490.14	1350.18
MARCH1	43.94	218.79	18.97	432.53	129.69	66.65	36.53	73.54	19.97	84.63	60.82	22.59	195.72	183.82	260.38	73.54	264.03	651.58	483.38	518.15	563.18
NCF2	163.28	444.72	40.93	392.44	127.89	101.54	66.65	132.44	54.33	138.1	80.01	61.25	348.71	197.09	529.06	171.45	708.18	543.96	1304.15	1963.57	447.82
NPL	83.45	332.14	94.01	603.67	194.36	226.54	147.06	149.12	25.54	120.1	125.24	88.88	260.38	237.86	490.14	314.17	1437.15	848.22	1844.76	791.35	928.3
NT5DC4	0.0	1.95	1.25	1.39	0.0	0.38	0.39	1.99	0.33	0.38	0.0	0.0	2.39	0.0	2.01	0.0	4.17	8.38	6.06	93.35	12.0
OLR1	178.77	928.3	27.05	995.0	201.25	140.04	50.63	98.73	22.75	325.29	239.52	15.8	547.75	215.77	420.68	104.42	638.15	567.1	1225.22	1733.13	348.71
P2RX7	15.22	113.56	9.48	127.89	62.12	48.87	27.44	26.1	8.06	57.08	34.26	25.35	98.04	95.34	124.37	67.12	156.59	409.15	260.38	217.27	249.73
P2RY1	2.73	13.12	3.0	14.35	15.11	5.82	12.27	5.11	1.16	6.78	3.79	6.89	19.53	5.63	12.55	9.85	90.14	50.27	98.04	57.89	12.18
PARP15	2.41	85.82	2.07	56.28	25.35	20.56	5.73	7.63	1.35	13.93	13.42	3.0	50.98	23.42	24.11	6.57	50.27	94.67	209.84	988.12	813.63
PDCD1LG2	10.24	138.1	5.87	92.05	35.0	46.5	10.0	11.82	2.97	20.11	19.39	12.27	72.52	37.59	43.94	19.82	258.57	142.01	211.31	194.36	120.94
PIK3CD	28.04	178.77	37.85	127.0	72.52	45.85	28.65	38.95	22.1	63.0	44.25	37.85	120.94	109.66	269.6	44.57	299.25	379.04	536.45	981.29	759.08
PLEKHO2	173.85	583.07	163.28	620.67	334.46	299.25	316.37	248.0	164.42	271.48	195.72	285.03	603.67	486.75	518.15	291.04	1594.73	1208.34	1135.2	1127.35	1111.82
PTGS1	63.45	190.34	24.46	536.45	215.77	76.17	78.89	89.51	59.13	159.9	100.13	55.89	269.6	202.66	429.54	194.36	2119.22	642.59	191.67	299.25	232.94
RAB8B	134.3	392.44	114.36	497.0	381.68	237.86	199.85	186.4	67.12	214.27	241.19	148.09	299.25	128.79	403.5	183.82	532.74	633.73	559.28	890.44	728.11
RP11-1012A1.4	0.0	2.97	0.0	3.99	2.29	0.0	0.0	2.53	0.0	1.3	0.0	0.0	4.28	1.87	4.24	0.0	4.13	6.89	4.24	6.84	9.34
SCGB2A2	736332.6	1800541.22	157.68	938500.81	1318073.06	1163466.92	1788103.97	1034138.94	1751305.3	2279047.19	1668359.93	1422501.74	1600397.78	8805660.77	1345768.59	1578364.61	5.68	0.74	0.0	0.0	0.0
SLC9A9	24.81	104.42	27.84	102.25	48.87	48.87	73.54	30.34	12.45	34.51	30.34	31.67	69.03	94.01	95.34	50.27	303.44	291.04	185.11	334.46	277.2
SNX20	20.11	212.78	6.67	123.5	64.34	41.22	19.68	28.04	12.55	51.71	50.63	25.91	85.82	77.25	156.59	29.27	221.86	273.37	273.37	612.11	339.14
SP140	23.76	171.45	9.7	78.89	57.89	64.8	15.34	21.16	8.78	50.98	26.86	10.79	120.1	64.34	90.14	29.91	161.02	138.1	305.55	915.51	633.73
SPATC1	0.97	4.62	0.0	2.43	1.06	0.71	0.0	2.66	0.33	1.38	1.33	0.39	5.41	1.97	3.99	1.07	16.27	10.47	15.34	32.13	19.25
STARD9	5.32	47.17	21.78	31.67	32.59	17.0	31.22	19.39	3.76	16.75	14.45	9.06	36.27	28.04	22.75	15.68	116.78	90.14	107.38	142.01	181.28
TBC1D2B	180.02	470.14	348.71	507.46	387.02	299.25	343.89	242.88	103.69	271.48	366.09	215.77	450.94	353.59	371.22	242.88	780.44	819.3	830.75	825.0	934.76
TCHH	0.65	2.29	0.65	5.36	0.38	1.35	0.74	1.66	0.32	0.71	0.0	1.06	3.03	1.19	3.17	2.39	6.06	13.12	5.36	3.44	3.76
TFEC	23.93	271.48	13.62	187.71	81.14	50.98	17.38	31.67	9.41	56.68	37.85	49.91	105.15	77.79	99.43	38.95	348.71	1259.69	389.72	490.14	417.77
TLR4	58.3	255.0	19.39	293.07	181.28	76.71	73.54	74.58	14.67	103.69	61.25	59.97	211.31	206.94	444.72	94.01	423.61	521.76	470.14	563.18	301.33
TMEM52B	8.78	37.59	1.68	76.71	13.83	15.8	6.67	5.82	2.92	18.43	20.56	4.46	16.75	29.27	57.89	4.13	34.26	63.45	43.02	28.86	27.64
TNFRSF8	4.13	18.7	2.53	10.39	7.22	3.44	7.94	5.36	1.81	5.82	8.45	5.23	18.97	13.22	18.29	8.32	34.26	25.17	41.52	61.25	44.89
TNFSF13B	63.0	463.65	13.72	376.41	130.6	177.53	48.52	63.89	35.76	114.36	75.11	30.34	305.55	232.94	198.47	75.11	669.92	785.88	642.59	612.11	713.11
VASH1	136.19	346.29	172.65	454.09	195.72	167.9	341.51	161.02	73.03	165.57	78.34	177.53	429.54	249.73	397.93	111.99	1044.52	802.41	473.41	423.61	483.38
WNT1	0.0	2.03	0.0	2.18	0.0	0.0	0.0	0.69	0.0	0.0	0.0	0.0	1.43	0.0	1.68	1.45	1.93	1.5	1.39	4.24	8.85
XXbac-BPG181M17.5	0.0	16.63	0.0	32.36	5.36	0.0	0.0	5.15	2.36	2.48	0.0	0.0	4.39	3.59	15.45	9.2	12.09	28.04	24.63	88.26	29.27
ZC3H12C	7.88	31.9	5.11	28.24	26.47	13.22	30.56	9.56	1.75	11.04	5.11	15.11	33.3	16.75	30.12	10.63	60.39	57.49	115.97	57.89	45.85
ZC3H12D	2.01	49.56	1.97	51.71	11.38	9.2	2.29	9.34	4.74	13.22	6.94	7.69	48.52	36.79	23.08	7.06	52.82	118.43	178.77	420.68	493.56
