	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.A2.A3XW.01A.11R.A239.07	GTEX.NPJ8.2026.SM.3TW91	GTEX.S4Q7.0526.SM.4AD5N	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KN.8428.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8324.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.N7MS.1626.SM.3LK5F	GTEX.13OW6.1826.SM.5N9F9	GTEX.1497J.0826.SM.5NQAJ	GTEX.12WSG.0826.SM.5EQ5A	TCGA.BP.5190.01A.01R.1426.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CZ.5984.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.SX.A7SU.01A.11R.A36F.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.7051.11A.02R.1965.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.13YAN.1026.SM.5O9CF	GTEX.12ZZW.0926.SM.5LZUD	GTEX.12WSA.1026.SM.5EGHN	TCGA.DJ.A1QL.01A.11R.A14Y.07	TCGA.FY.A40M.01A.11R.A23N.07	TCGA.BJ.A191.01A.11R.A13Y.07	TCGA.BJ.A2NA.11A.11R.A19O.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.13OVJ.0626.SM.5J2O2	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.1497J.0126.SM.5Q5BK	GTEX.QEL4.0726.SM.3GIJ5	GTEX.11EI6.0726.SM.59866	GTEX.11DZ1.2726.SM.5A5KH	GTEX.SE5C.0726.SM.4BRWY	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.1399U.0326.SM.5P9G5	GTEX.146FR.0326.SM.5SI8U	GTEX.11TTK.0826.SM.5N9EG	GTEX.ZGAY.1026.SM.4WWBR	GTEX.OXRK.0626.SM.2HMJ5	GTEX.XMK1.0626.SM.4B65A	GTEX.U3ZM.0126.SM.3DB8M	GTEX.11LCK.0526.SM.5A5M9	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.X8HC.0726.SM.46MWG	GTEX.1211K.0726.SM.5FQUW	GTEX.117YX.1226.SM.5H11S
C2orf43	316.37	265.87	100.13	167.9	244.57	361.04	409.15	376.41	497.0	395.18	334.46	457.25	571.05	283.05	283.05	769.69	483.38	429.54	248.0	387.02	303.44	323.03	187.71	473.41	381.68	476.71	384.34	414.87	497.0	417.77	490.14	540.19	403.5	412.0	406.31	563.18	490.14	384.34	373.81	299.25	450.94	447.82	651.58	309.83	543.96	463.65	320.8	483.38	540.19	242.88	169.07	329.84	389.72	376.41	400.71	293.07	368.65	339.14	356.05	454.09	450.94	435.55	351.14	454.09	341.51	381.68	85.82	121.79	181.28	136.19	202.66	164.42	183.82	199.85	226.54	101.54	151.22	208.38	139.07	277.2	166.73	275.28	198.47	172.65	224.97	197.09	181.28	211.31	141.02	128.79	198.47	169.07	178.77	186.4	147.06	205.5	104.42	183.82	206.94
CHM	258.57	232.94	64.34	130.6	190.34	346.29	336.79	301.33	351.14	327.56	325.29	309.83	473.41	237.86	187.71	353.59	463.65	373.81	368.65	204.07	229.72	275.28	161.02	366.09	363.56	379.04	414.87	392.44	381.68	384.34	356.05	397.93	389.72	325.29	403.5	371.22	412.0	384.34	379.04	406.31	353.59	392.44	441.64	376.41	457.25	318.57	366.09	384.34	341.51	132.44	54.33	309.83	279.14	307.69	318.57	248.0	325.29	285.03	273.37	297.17	307.69	332.14	262.2	314.17	251.48	316.37	154.42	226.54	220.32	135.24	223.41	293.07	218.79	212.78	228.13	242.88	267.73	262.2	265.87	273.37	242.88	281.09	236.21	182.55	265.87	297.17	256.78	323.03	251.48	299.25	241.19	212.78	209.84	226.54	248.0	301.33	242.88	249.73	287.01
CHUK	214.27	193.01	101.54	189.02	420.68	414.87	368.65	387.02	381.68	392.44	403.5	423.61	529.06	309.83	262.2	444.72	447.82	435.55	638.15	198.47	285.03	361.04	117.6	444.72	497.0	460.44	454.09	473.41	429.54	463.65	486.75	543.96	476.71	397.93	521.76	470.14	599.49	511.0	493.56	435.55	429.54	460.44	423.61	417.77	521.76	444.72	373.81	483.38	444.72	232.94	158.79	343.89	361.04	371.22	460.44	316.37	395.18	389.72	363.56	420.68	409.15	457.25	361.04	387.02	356.05	414.87	206.94	237.86	171.45	242.88	156.59	161.02	175.07	220.32	264.03	221.86	248.0	239.52	248.0	275.28	303.44	281.09	217.27	237.86	241.19	289.02	314.17	305.55	170.25	291.04	189.02	303.44	265.87	303.44	246.28	397.93	234.57	351.14	273.37
CIAO1	1407.55	808.0	728.11	796.86	988.12	1519.15	1437.15	1295.13	1923.14	1286.18	1350.18	1561.89	1844.76	1088.92	1088.92	1870.53	1437.15	1313.23	1697.45	988.12	1286.18	1388.16	1199.98	1639.59	1685.71	1378.57	1359.57	1216.75	1331.57	1216.75	1540.37	1487.87	1498.22	1259.69	1350.18	1651.0	1583.71	1447.15	1350.18	1407.55	1313.23	1457.23	1674.06	1447.15	1397.83	1407.55	1286.18	1277.29	1397.83	878.17	928.3	1073.91	1427.22	1447.15	1709.26	1286.18	1583.71	1350.18	1277.29	1757.34	1437.15	1561.89	1540.37	1350.18	1662.49	1605.83	878.17	915.51	660.68	941.27	785.88	764.36	830.75	791.35	890.44	860.08	878.17	974.5	819.3	981.29	988.12	995.0	825.0	703.28	967.76	703.28	884.29	1008.9	679.29	1088.92	836.53	1167.14	1127.35	921.88	1073.91	967.76	1127.35	1030.12	836.53
CNIH1	988.12	540.19	480.04	830.75	1051.79	1467.37	1447.15	1295.13	2835.7	1407.55	1378.57	2468.49	2075.59	1225.22	915.51	1519.15	1605.83	1378.57	1242.34	884.29	1066.48	1437.15	665.29	2520.38	1331.57	1331.57	1605.83	1331.57	1617.0	1819.35	2018.8	1685.71	1605.83	1709.26	1572.76	2609.3	1781.89	1378.57	1551.09	1417.35	1487.87	1883.54	3018.3	1561.89	2537.92	1457.23	1674.06	2047.0	1709.26	547.75	1008.9	1674.06	1378.57	1350.18	1733.13	1191.69	1437.15	1111.82	1304.15	1340.84	1572.76	1437.15	1572.76	1369.04	1208.34	1651.0	3018.3	1001.93	967.76	854.13	1175.27	708.18	785.88	1088.92	1044.52	1183.45	1135.2	1059.11	866.07	947.83	1096.5	974.5	1111.82	1286.18	825.0	1073.91	775.05	921.88	1081.39	921.88	934.76	941.27	890.44	947.83	708.18	1159.07	836.53	915.51	1073.91
COMMD8	327.56	255.0	109.66	232.94	191.67	791.35	961.07	836.53	1617.0	921.88	866.07	1437.15	2163.77	624.99	647.07	2520.38	1208.34	961.07	791.35	234.57	543.96	723.08	177.53	1417.35	947.83	915.51	836.53	941.27	921.88	947.83	1167.14	866.07	909.17	928.3	819.3	1844.76	941.27	860.08	961.07	802.41	884.29	961.07	1991.0	738.29	1508.65	1044.52	813.63	1191.69	842.36	285.03	116.78	1104.13	713.11	884.29	1135.2	698.41	836.53	679.29	603.67	902.89	848.22	967.76	674.59	791.35	603.67	866.07	412.0	190.34	457.25	392.44	293.07	224.97	301.33	551.56	454.09	293.07	277.2	353.59	480.04	414.87	500.46	314.17	607.87	438.59	432.53	571.05	371.22	493.56	486.75	429.54	368.65	514.56	480.04	403.5	327.56	514.56	301.33	341.51	536.45
DBT	89.51	76.17	37.85	97.36	191.67	400.71	387.02	285.03	381.68	255.0	293.07	389.72	830.75	246.28	208.38	830.75	518.15	312.0	341.51	109.66	105.15	76.17	43.02	400.71	575.03	466.88	381.68	384.34	376.41	341.51	420.68	612.11	476.71	381.68	579.04	392.44	607.87	540.19	607.87	500.46	444.72	432.53	426.57	514.56	329.84	409.15	285.03	358.54	409.15	51.71	23.59	264.03	343.89	258.57	412.0	356.05	417.77	277.2	320.8	384.34	334.46	490.14	356.05	348.71	305.55	389.72	90.77	127.0	152.28	130.6	75.11	68.07	98.73	118.43	166.73	92.05	172.65	169.07	193.01	140.04	153.34	125.24	141.02	126.12	182.55	122.64	134.3	181.28	101.54	221.86	136.19	165.57	170.25	165.57	171.45	224.97	115.16	255.0	223.41
DLAT	248.0	122.64	111.21	167.9	358.54	842.36	753.83	738.29	698.41	743.43	728.11	909.17	1685.71	967.76	540.19	2075.59	1111.82	808.0	1088.92	420.68	642.59	417.77	151.22	830.75	1001.93	915.51	1023.0	866.07	808.0	825.0	836.53	1073.91	967.76	836.53	1037.29	785.88	1051.79	967.76	995.0	1001.93	808.0	802.41	748.61	928.3	796.86	954.43	759.08	915.51	753.83	285.03	159.9	693.58	753.83	708.18	860.08	866.07	796.86	679.29	764.36	780.44	796.86	854.13	674.59	775.05	679.29	819.3	299.25	215.77	260.38	303.44	234.57	260.38	395.18	420.68	518.15	279.14	279.14	473.41	366.09	441.64	579.04	603.67	447.82	371.22	381.68	417.77	457.25	432.53	314.17	429.54	397.93	559.28	432.53	500.46	356.05	555.41	318.57	438.59	583.07
DTWD2	33.3	48.52	14.45	14.67	21.16	181.28	143.01	130.6	128.79	136.19	142.01	136.19	307.69	102.97	112.77	353.59	195.72	162.14	194.36	53.95	75.64	114.36	31.67	214.27	189.02	177.53	166.73	161.02	180.02	158.79	148.09	223.41	182.55	156.59	194.36	226.54	237.86	198.47	197.09	176.29	157.68	173.85	217.27	180.02	208.38	172.65	127.89	151.22	178.77	45.21	31.67	112.77	123.5	143.01	158.79	154.42	122.64	130.6	131.51	161.02	146.03	129.69	127.89	150.17	132.44	149.12	29.27	25.91	53.19	84.04	57.89	29.91	61.25	87.65	152.28	32.13	58.3	90.14	98.73	113.56	84.04	131.51	71.5	56.68	144.01	85.22	96.01	133.36	37.05	87.03	67.12	136.19	102.25	94.01	62.56	131.51	77.25	72.52	76.17
FAM35A	255.0	161.02	117.6	217.27	314.17	703.28	607.87	665.29	842.36	642.59	599.49	808.0	1950.0	525.39	490.14	1498.22	872.1	769.69	703.28	403.5	409.15	743.43	277.2	825.0	928.3	743.43	624.99	796.86	728.11	684.02	974.5	890.44	830.75	703.28	728.11	1104.13	1023.0	813.63	769.69	723.08	698.41	703.28	1044.52	743.43	1066.48	708.18	575.03	830.75	753.83	376.41	75.64	620.67	571.05	620.67	909.17	511.0	674.59	595.34	500.46	753.83	802.41	764.36	616.37	669.92	656.11	791.35	414.87	195.72	260.38	351.14	305.55	336.79	397.93	536.45	559.28	273.37	521.76	447.82	532.74	532.74	423.61	819.3	503.95	432.53	620.67	536.45	660.68	571.05	551.56	607.87	563.18	532.74	543.96	423.61	624.99	603.67	447.82	583.07	651.58
FBXO22	305.55	356.05	351.14	283.05	291.04	518.15	571.05	599.49	759.08	511.0	483.38	647.07	928.3	493.56	476.71	878.17	642.59	563.18	708.18	563.18	620.67	830.75	420.68	693.58	647.07	693.58	660.68	620.67	669.92	624.99	764.36	665.29	693.58	660.68	647.07	848.22	723.08	563.18	665.29	555.41	629.35	629.35	848.22	633.73	902.89	848.22	599.49	674.59	583.07	269.6	271.48	616.37	547.75	536.45	616.37	583.07	547.75	579.04	532.74	616.37	679.29	624.99	543.96	555.41	559.28	587.13	785.88	194.36	314.17	226.54	343.89	307.69	371.22	353.59	429.54	429.54	395.18	366.09	348.71	368.65	343.89	329.84	412.0	559.28	281.09	314.17	334.46	395.18	400.71	384.34	343.89	341.51	307.69	395.18	285.03	358.54	366.09	503.95	327.56
FBXO3	291.04	387.02	209.84	351.14	595.34	954.43	1008.9	866.07	1183.45	872.1	1023.0	995.0	1250.98	718.08	860.08	1051.79	1191.69	1015.93	738.29	813.63	660.68	1127.35	265.87	1096.5	1208.34	1008.9	947.83	974.5	1081.39	1051.79	1250.98	1313.23	1225.22	1175.27	1151.06	1242.34	1268.46	1151.06	1216.75	1151.06	1104.13	1259.69	1457.23	1066.48	1233.75	961.07	928.3	1268.46	1104.13	466.88	162.14	1037.29	941.27	947.83	1135.2	954.43	1023.0	791.35	909.17	954.43	1066.48	1225.22	813.63	884.29	1001.93	1143.1	305.55	543.96	651.58	616.37	500.46	450.94	575.03	728.11	738.29	409.15	753.83	808.0	743.43	769.69	620.67	819.3	612.11	559.28	866.07	624.99	785.88	884.29	463.65	808.0	708.18	854.13	759.08	764.36	743.43	902.89	529.06	775.05	836.53
