	TCGA.FD.A62N.01A.11R.A30C.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.CV.7410.01A.21R.2081.07	TCGA.BB.8601.01A.11R.2403.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CQ.7063.01A.11R.2403.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.P3.A6T3.01A.11R.A34R.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CR.7394.01A.11R.2016.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.IQ.A61J.01A.11R.A30B.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.7427.01A.11R.2081.07	TCGA.CQ.7065.01A.11R.2081.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CV.6943.01A.11R.1915.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CQ.A4CA.01A.11R.A24Z.07	TCGA.CV.6952.01A.11R.1915.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.7425.11A.01R.2081.07
BIN2	521.76	71.0	547.75	7.06	66.65	55.1	180.02	13.42	8.65	82.29	17.51	111.21	90.77	15.8	134.3	41.22	23.08	64.8	34.02	80.57	197.09	140.04	94.67	43.63	20.56	275.28	87.65	24.63	194.36	24.81	29.91	215.77	17.51	5.11	105.89	305.55	46.18	38.67	177.53	2.58	9.85	371.22	62.12	154.42	67.12	83.45	19.53	39.5	293.07	140.04	26.67	162.14	111.99
C11orf21	46.18	14.89	47.17	0.0	11.64	7.75	20.41	0.72	0.57	16.51	1.51	6.01	11.47	2.03	32.59	2.41	1.03	14.03	4.31	25.54	15.0	6.73	6.84	3.56	1.99	16.51	12.18	3.69	16.27	2.97	1.51	9.41	0.59	0.0	22.59	46.5	7.17	3.41	15.8	0.61	2.61	24.11	4.62	10.31	4.39	7.0	3.47	3.44	43.02	15.34	3.69	15.22	13.03
C1orf54	1199.98	134.3	503.95	109.66	309.83	231.32	303.44	86.43	68.07	186.4	111.99	173.85	193.01	49.21	529.06	83.45	107.38	170.25	98.73	169.07	256.78	206.94	181.28	120.1	98.73	275.28	102.97	134.3	343.89	473.41	119.26	429.54	115.97	29.27	318.57	358.54	126.12	98.73	255.0	79.45	81.71	555.41	202.66	426.57	182.55	271.48	133.36	149.12	633.73	351.14	80.57	265.87	232.94
C2	4575.41	118.43	890.44	24.81	224.97	256.78	802.41	105.89	100.83	198.47	128.79	607.87	490.14	149.12	679.29	96.01	68.07	444.72	107.38	656.11	842.36	571.05	299.25	191.67	158.79	1304.15	381.68	68.07	1407.55	303.44	190.34	836.53	120.1	14.35	341.51	1304.15	305.55	178.77	674.59	42.41	64.34	2047.0	387.02	2502.97	289.02	624.99	149.12	143.01	1037.29	1175.27	158.79	543.96	334.46
C5orf20	35.25	4.03	16.27	0.54	0.0	3.29	14.24	0.36	0.0	6.26	1.31	1.38	2.2	0.53	1.3	3.72	1.89	3.5	0.92	4.5	11.91	10.39	4.35	4.21	0.52	10.24	3.63	2.68	10.0	0.0	1.99	11.38	0.0	0.8	7.28	11.13	4.13	2.81	6.26	0.58	0.27	20.11	1.0	21.32	2.58	1.75	0.27	2.07	6.78	3.06	0.64	14.89	21.16
C5orf56	547.75	68.55	226.54	26.47	12.45	79.45	115.16	16.15	10.96	58.3	22.59	69.03	80.57	39.22	99.43	17.64	24.99	41.22	68.07	166.73	84.63	68.55	48.52	137.14	78.89	138.1	44.89	49.56	115.16	87.65	28.45	141.02	61.25	13.42	123.5	153.34	59.97	47.5	110.43	14.89	19.39	220.32	86.43	159.9	85.22	62.56	27.25	19.25	193.01	135.24	40.07	133.36	94.01
CARD9	253.23	37.85	68.07	7.4	14.14	27.25	72.52	13.83	6.94	93.35	16.39	25.72	37.32	5.92	68.07	22.26	29.91	58.71	8.92	37.32	40.36	47.17	39.79	23.93	15.56	48.52	25.91	21.78	60.82	17.25	10.63	46.18	6.52	2.18	75.11	55.49	31.0	14.89	65.26	5.77	5.02	106.63	16.03	118.43	29.27	20.71	13.72	18.43	38.67	49.91	19.82	48.52	67.59
CCR5	384.34	70.51	123.5	3.08	16.88	57.08	149.12	7.69	2.05	53.19	11.73	115.16	65.72	22.1	55.1	8.58	6.57	28.86	16.39	67.59	169.07	177.53	55.89	36.79	11.82	316.37	46.84	14.45	194.36	13.83	27.64	156.59	7.75	2.34	91.41	236.21	25.35	29.48	152.28	1.55	6.11	518.15	60.82	120.94	51.35	73.03	5.87	22.59	253.23	142.01	22.1	142.01	85.82
CD2	2163.77	769.69	961.07	29.91	52.45	169.07	607.87	35.76	15.0	285.03	44.25	457.25	180.02	43.63	190.34	48.18	38.12	131.51	86.43	241.19	785.88	620.67	191.67	143.01	62.12	1225.22	190.34	86.43	540.19	56.68	100.13	543.96	24.63	6.16	314.17	688.78	140.04	90.14	490.14	10.0	21.47	1447.15	198.47	476.71	217.27	236.21	24.99	105.15	1233.75	435.55	87.03	620.67	563.18
CD247	708.18	170.25	587.13	7.75	23.25	82.29	177.53	15.45	9.85	81.71	19.82	156.59	68.55	15.22	108.9	39.22	18.84	53.95	38.67	96.68	269.6	234.57	87.03	69.52	29.7	392.44	64.8	40.07	228.13	43.94	43.32	211.31	11.55	4.35	145.02	242.88	68.55	66.65	205.5	2.68	16.63	532.74	82.87	220.32	65.72	116.78	11.04	58.3	603.67	130.6	25.17	147.06	162.14
CD3D	3235.01	884.29	1662.49	57.89	109.66	389.72	555.41	87.03	20.86	309.83	93.35	616.37	358.54	31.45	305.55	78.89	68.07	193.01	96.01	301.33	928.3	665.29	206.94	253.23	41.81	1225.22	229.72	172.65	665.29	59.55	142.01	830.75	55.49	19.82	406.31	830.75	239.52	191.67	583.07	19.11	21.01	1498.22	220.32	679.29	273.37	400.71	64.8	173.85	2148.82	476.71	99.43	660.68	665.29
CD3E	2997.45	733.19	2335.28	35.0	60.82	283.05	718.08	74.58	30.34	312.0	77.79	607.87	281.09	54.72	309.83	109.66	68.55	218.79	153.34	239.52	928.3	902.89	336.79	232.94	73.54	1628.26	249.73	136.19	665.29	80.01	159.9	836.53	66.65	18.7	325.29	1030.12	220.32	275.28	629.35	16.03	28.65	1909.85	253.23	559.28	255.0	301.33	67.12	195.72	1733.13	532.74	102.25	785.88	743.43
CD6	647.07	77.25	551.56	35.25	13.03	77.25	236.21	15.68	9.7	96.01	16.63	122.64	33.54	8.06	108.9	29.48	11.91	41.81	32.59	91.41	221.86	226.54	84.04	37.32	11.73	334.46	60.82	22.26	157.68	11.21	22.43	161.02	13.03	26.28	65.72	291.04	49.91	46.18	153.34	0.88	16.51	373.81	38.67	110.43	49.91	55.49	13.32	44.89	346.29	111.21	21.78	186.4	121.79
CD7	1806.78	381.68	1250.98	19.39	34.26	185.11	638.15	94.67	38.95	264.03	46.84	444.72	211.31	82.29	206.94	73.54	41.81	152.28	92.7	343.89	941.27	665.29	153.34	289.02	76.17	1331.57	171.45	142.01	684.02	154.42	170.25	1008.9	80.57	12.45	283.05	842.36	171.45	246.28	536.45	6.36	34.51	1119.56	194.36	629.35	271.48	251.48	80.57	165.57	1225.22	366.09	105.15	336.79	356.05
CECR1	1199.98	204.07	769.69	34.51	61.25	78.34	738.29	46.5	20.86	159.9	53.19	376.41	195.72	47.5	285.03	143.01	48.18	178.77	103.69	323.03	708.18	447.82	281.09	133.36	36.27	1651.0	406.31	59.97	921.88	87.65	136.19	684.02	48.18	3.03	271.48	1286.18	155.5	119.26	511.0	11.73	21.63	1313.23	229.72	361.04	190.34	279.14	37.59	116.78	518.15	525.39	82.29	723.08	356.05
CISH	583.07	723.08	412.0	98.73	151.22	101.54	441.64	144.01	130.6	121.79	180.02	165.57	215.77	112.77	202.66	158.79	66.65	231.32	71.0	366.09	406.31	248.0	173.85	117.6	125.24	253.23	202.66	132.44	303.44	111.21	171.45	301.33	105.89	45.85	256.78	334.46	144.01	120.1	199.85	82.29	139.07	438.59	181.28	356.05	106.63	211.31	190.34	234.57	348.71	262.2	132.44	251.48	211.31
CLEC10A	493.56	74.06	152.28	7.75	57.49	38.4	241.19	44.57	3.26	98.73	20.56	67.12	29.06	6.36	120.1	32.59	16.15	39.79	40.36	47.5	217.27	279.14	125.24	65.72	10.16	253.23	139.07	36.01	181.28	5.23	55.1	289.02	14.03	4.13	77.79	353.59	34.51	27.44	256.78	4.62	13.72	409.15	48.18	175.07	26.67	61.25	8.85	37.32	190.34	164.42	18.97	191.67	253.23
CLEC2D	303.44	37.59	896.64	69.52	49.21	91.41	194.36	24.11	38.12	127.0	54.72	244.57	76.71	35.0	145.02	39.79	57.89	127.89	64.8	170.25	223.41	186.4	66.65	102.97	28.86	275.28	66.65	58.71	195.72	39.22	45.21	181.28	25.72	35.25	138.1	253.23	57.89	66.18	164.42	17.77	34.75	341.51	100.13	231.32	108.9	111.99	78.89	28.86	684.02	122.64	85.22	163.28	109.66
CORO1A	6079.61	514.56	9740.98	122.64	656.11	629.35	1909.85	144.01	123.5	665.29	181.28	1127.35	813.63	279.14	1127.35	265.87	237.86	406.31	215.77	775.05	2018.8	1594.73	830.75	563.18	277.2	2502.97	575.03	305.55	1936.53	312.0	295.11	1721.16	153.34	171.45	974.5	2777.33	444.72	387.02	1437.15	127.0	151.22	3212.66	674.59	2004.85	718.08	514.56	206.94	356.05	2335.28	1378.57	361.04	1407.55	1561.89
CXCR3	571.05	285.03	273.37	1.31	8.71	35.25	215.77	5.63	0.36	42.11	4.06	86.43	42.71	20.56	45.21	13.52	5.54	27.05	23.08	46.5	181.28	167.9	56.68	43.94	13.03	279.14	44.25	17.64	187.71	10.24	19.97	127.0	9.2	0.0	57.49	260.38	26.28	34.26	138.1	2.1	4.1	476.71	46.84	85.22	57.89	26.86	2.14	23.25	191.67	142.01	24.81	113.56	206.94
CXCR6	616.37	65.72	120.94	10.63	24.63	66.18	232.94	11.47	6.11	110.43	21.32	283.05	64.8	24.28	46.5	28.86	13.72	69.03	32.36	88.26	281.09	262.2	80.57	71.5	18.56	555.41	78.34	39.79	258.57	23.76	64.34	255.0	16.51	10.0	122.64	332.14	68.07	57.49	215.77	2.58	11.47	454.09	72.01	153.34	66.18	85.82	10.31	33.06	543.96	182.55	48.18	228.13	135.24
DOCK2	583.07	29.91	813.63	9.41	39.79	61.68	215.77	19.97	14.14	90.77	22.26	181.28	92.05	26.1	115.97	36.01	27.84	73.54	39.5	115.16	241.19	201.25	105.15	47.17	21.94	417.77	103.69	31.22	231.32	40.64	29.7	262.2	19.68	7.34	141.02	473.41	51.71	40.93	217.27	9.7	15.8	432.53	77.25	158.79	94.67	85.22	21.47	52.08	295.11	172.65	30.34	171.45	130.6
DOK2	1467.37	51.35	511.0	12.27	103.69	80.01	389.72	32.36	21.94	143.01	38.95	202.66	178.77	58.71	503.95	31.9	39.79	103.69	38.67	152.28	361.04	275.28	108.9	105.15	49.56	384.34	133.36	63.89	423.61	65.26	84.63	318.57	93.35	4.9	173.85	450.94	96.68	68.55	316.37	7.34	23.93	587.13	117.6	379.04	138.1	165.57	31.45	53.95	547.75	258.57	62.56	211.31	273.37
FAM20A	866.07	140.04	1508.65	15.34	214.27	248.0	147.06	77.25	24.28	1447.15	426.57	329.84	161.02	42.11	759.08	166.73	88.26	896.64	195.72	144.01	679.29	674.59	202.66	305.55	379.04	327.56	195.72	111.21	603.67	236.21	36.53	551.56	48.52	29.27	764.36	511.0	137.14	59.55	1605.83	43.02	59.97	1350.18	466.88	2163.77	151.22	149.12	87.65	325.29	339.14	156.59	76.71	909.17	186.4
FASLG	107.38	121.79	40.36	0.65	2.56	19.53	73.03	0.88	1.25	28.24	3.59	45.21	19.53	3.06	16.51	3.32	2.41	10.71	5.77	21.78	70.51	44.57	6.36	26.47	5.02	85.22	16.39	6.89	64.34	4.28	9.93	75.11	0.97	2.12	32.13	43.94	12.45	17.0	52.45	0.36	2.03	144.01	13.72	36.79	10.31	14.89	0.37	2.27	105.15	47.84	7.22	54.72	30.34
FERMT3	2502.97	65.72	1844.76	81.14	150.17	229.72	808.0	60.82	37.32	242.88	76.71	371.22	426.57	84.04	518.15	107.38	101.54	295.11	89.51	339.14	796.86	426.57	241.19	154.42	124.37	878.17	279.14	137.14	642.59	186.4	138.1	718.08	84.04	30.34	432.53	1030.12	198.47	135.24	595.34	30.34	46.5	1151.06	229.72	616.37	241.19	291.04	115.16	110.43	748.61	529.06	176.29	403.5	536.45
FGD2	327.56	241.19	366.09	14.45	40.93	24.46	237.86	113.56	10.96	69.03	26.47	95.34	76.17	16.39	121.79	64.8	32.82	165.57	16.03	68.55	165.57	98.04	74.58	61.68	38.4	172.65	131.51	84.63	195.72	15.45	24.46	209.84	14.45	9.78	119.26	202.66	64.34	32.13	193.01	29.27	21.16	273.37	48.18	162.14	78.34	100.83	30.12	110.43	80.01	116.78	76.71	116.78	167.9
FMNL1	1572.76	205.5	1519.15	68.55	146.03	249.73	624.99	84.04	57.89	271.48	88.88	547.75	454.09	124.37	480.04	145.02	91.41	220.32	100.83	283.05	718.08	563.18	281.09	201.25	206.94	860.08	412.0	181.28	579.04	253.23	133.36	808.0	76.17	51.71	403.5	1340.84	181.28	122.64	591.22	59.55	66.18	1096.5	299.25	651.58	271.48	206.94	140.04	136.19	947.83	480.04	141.02	438.59	339.14
FUT7	98.73	2.05	190.34	3.32	7.0	12.83	60.82	2.92	2.1	22.43	4.21	15.0	8.85	2.97	13.22	4.98	5.63	9.34	2.68	16.51	90.77	43.32	17.0	19.53	9.41	39.5	11.64	10.16	53.19	4.5	6.31	23.76	3.41	0.89	27.64	41.81	11.55	15.22	30.56	1.64	1.97	53.19	11.3	58.3	16.63	15.56	1.0	8.65	40.93	13.62	4.24	34.75	66.18
GBP2	8305.36	2193.99	4836.35	27.44	934.76	1059.11	2468.49	748.61	575.03	1331.57	638.15	1896.65	1605.83	493.56	1794.29	624.99	325.29	2193.99	1088.92	2915.45	2701.35	2682.69	559.28	1388.16	878.17	3168.41	759.08	698.41	3614.55	1286.18	1159.07	3349.13	1477.58	109.66	2682.69	2400.97	947.83	842.36	6792.79	551.56	559.28	4512.4	1572.76	3349.13	1594.73	1745.2	339.14	947.83	6607.01	3235.01	620.67	2915.45	2367.9
GBP4	5517.27	1096.5	808.0	8.32	29.06	220.32	769.69	36.01	59.13	316.37	51.71	559.28	473.41	181.28	269.6	28.45	76.71	262.2	166.73	796.86	738.29	543.96	95.34	332.14	332.14	884.29	73.54	129.69	961.07	142.01	323.03	1104.13	595.34	13.83	540.19	591.22	420.68	136.19	2224.63	10.63	64.34	1806.78	346.29	1175.27	532.74	307.69	39.22	48.52	1216.75	748.61	133.36	669.92	414.87
GIMAP1	209.84	19.11	199.85	4.43	13.93	16.75	44.89	11.64	3.32	25.17	9.93	31.0	27.25	8.06	46.18	16.15	9.41	14.78	13.93	22.1	59.55	57.08	62.12	13.93	10.24	91.41	17.64	12.45	80.57	13.83	9.13	77.79	10.16	3.63	46.5	108.9	17.13	15.11	53.57	6.26	7.34	167.9	24.28	76.71	21.47	24.99	5.23	23.42	84.04	70.51	12.45	96.01	52.08
HCLS1	2976.74	70.51	2875.3	58.71	285.03	265.87	836.53	96.01	101.54	320.8	120.1	575.03	363.56	99.43	607.87	170.25	115.16	332.14	178.77	432.53	1073.91	723.08	373.81	212.78	120.1	1628.26	409.15	154.42	981.29	255.0	177.53	896.64	127.89	27.64	532.74	1709.26	248.0	172.65	769.69	57.08	78.34	1674.06	346.29	808.0	392.44	406.31	87.03	229.72	1208.34	743.43	140.04	785.88	665.29
HLA-DOB	329.84	204.07	967.76	38.4	77.25	100.13	135.24	30.34	52.08	101.54	18.97	112.77	197.09	40.07	90.77	78.89	37.85	29.06	98.04	75.11	186.4	61.68	111.21	73.03	64.8	279.14	138.1	45.85	248.0	100.13	24.63	187.71	18.97	31.67	111.99	198.47	109.66	72.01	169.07	80.57	69.03	256.78	87.65	301.33	127.89	147.06	111.21	53.57	159.9	175.07	83.45	109.66	92.7
HSD17B14	417.77	14.14	151.22	22.75	62.12	36.53	126.12	25.91	12.64	41.81	10.96	49.91	71.5	19.11	116.78	11.13	31.0	42.71	30.34	50.98	108.9	29.7	58.71	40.93	28.86	111.99	34.02	18.56	80.57	77.79	18.29	105.15	13.83	12.83	115.97	92.7	34.75	23.93	85.82	9.41	8.58	205.5	62.12	136.19	40.93	67.12	52.82	31.0	110.43	98.73	27.44	113.56	63.0
IKZF1	215.77	36.01	698.41	7.4	24.99	43.63	135.24	10.47	5.54	48.52	12.18	123.5	33.06	14.67	45.85	24.99	12.0	30.34	32.36	51.35	187.71	195.72	85.22	29.7	9.48	379.04	60.39	16.39	153.34	14.56	25.35	137.14	7.17	3.03	67.12	376.41	26.1	37.59	125.24	2.97	6.78	301.33	49.21	69.52	52.82	42.41	8.85	38.67	162.14	106.63	26.67	176.29	90.77
IL18RAP	24.46	4.39	36.27	0.91	10.16	18.84	31.45	0.67	3.03	23.42	4.35	21.16	10.79	1.6	10.0	3.17	3.76	15.11	11.64	30.56	35.0	9.06	2.68	28.04	1.57	28.24	7.46	8.19	22.26	5.54	8.92	61.68	0.92	0.88	9.34	38.95	13.22	5.5	20.71	0.0	4.82	19.25	11.21	39.79	9.93	10.31	2.56	3.86	93.35	13.52	10.24	20.86	10.55
IL21R	563.18	12.09	295.11	2.61	14.89	32.82	133.36	14.14	2.86	34.51	10.16	87.65	36.53	16.39	54.72	7.11	9.34	28.24	11.82	30.78	154.42	100.13	30.34	22.92	12.27	161.02	53.57	24.99	116.78	12.64	30.34	113.56	8.99	2.53	67.59	195.72	33.78	19.39	94.01	8.19	4.17	224.97	34.02	81.14	45.85	47.84	6.94	13.12	127.89	64.34	23.76	78.34	59.97
IL2RB	551.56	486.75	511.0	11.91	108.14	94.01	397.93	23.25	13.52	117.6	55.49	305.55	88.88	53.19	75.11	31.9	16.39	82.87	28.24	144.01	521.76	368.65	96.01	96.01	29.7	638.15	82.87	47.5	327.56	68.55	72.01	301.33	32.36	21.01	155.5	473.41	69.52	96.01	334.46	30.78	30.34	713.11	108.9	167.9	98.73	111.21	16.39	41.52	336.79	190.34	69.03	307.69	165.57
IL2RG	3665.02	518.15	3325.99	66.65	181.28	412.0	1216.75	80.01	57.89	463.65	111.99	775.05	463.65	105.15	460.44	169.07	72.01	260.38	147.06	327.56	1427.22	1059.11	397.93	295.11	110.43	1733.13	447.82	185.11	941.27	202.66	220.32	1059.11	103.69	29.06	595.34	1709.26	267.73	275.28	848.22	44.25	44.25	2209.26	518.15	921.88	432.53	616.37	98.73	248.0	2163.77	802.41	177.53	1037.29	909.17
IRF8	575.03	105.89	890.44	6.11	49.21	67.12	291.04	16.15	13.32	58.3	20.71	128.79	40.36	23.76	161.02	23.93	31.22	81.14	27.84	85.22	318.57	177.53	68.55	82.87	17.25	497.0	60.39	29.91	466.88	24.99	35.25	193.01	20.71	3.92	108.9	525.39	84.04	35.0	246.28	5.11	19.53	591.22	81.14	236.21	102.25	100.83	14.89	31.45	356.05	155.5	39.5	218.79	316.37
ITGAL	688.78	130.6	934.76	7.69	24.63	69.52	392.44	29.27	4.1	102.25	30.78	187.71	94.67	25.35	136.19	32.59	18.03	76.17	36.01	165.57	307.69	267.73	143.01	82.29	18.7	638.15	108.14	50.63	329.84	24.28	49.91	295.11	18.03	3.0	131.51	529.06	61.25	75.64	316.37	9.06	18.7	708.18	96.01	154.42	95.34	123.5	14.89	47.17	358.54	211.31	39.5	314.17	211.31
