	GTEX.12BJ1.1426.SM.5BC5Q	GTEX.1211K.1026.SM.5EQ4B	GTEX.S4Q7.0526.SM.4AD5N	TCGA.KN.8435.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.1399S.0526.SM.5IJG8	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	GTEX.1497J.0726.SM.5Q5D1	TCGA.DJ.A1QL.01A.11R.A14Y.07	TCGA.BJ.A2NA.11A.11R.A19O.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.148VJ.0726.SM.5LU8J	GTEX.11P81.0126.SM.5HL5Y	GTEX.SE5C.0726.SM.4BRWY	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.1399U.0326.SM.5P9G5	GTEX.11TTK.0826.SM.5N9EG	GTEX.ZGAY.1026.SM.4WWBR	GTEX.XMK1.0626.SM.4B65A	GTEX.U3ZM.0126.SM.3DB8M	GTEX.11LCK.0526.SM.5A5M9	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.X8HC.0726.SM.46MWG	GTEX.1211K.0726.SM.5FQUW
FCAMR	0.0	0.0	0.0	967.76	769.69	1096.5	928.3	75.64	1540.37	830.75	698.41	780.44	1259.69	1242.34	1757.34	878.17	1259.69	1340.84	1191.69	1685.71	1427.22	1191.69	1143.1	1467.37	1001.93	1286.18	2061.24	860.08	1870.53	1233.75	2018.8	1225.22	1313.23	1151.06	1733.13	71.5	0.1	34.75	0.0	0.0	0.0	5.02	0.0	0.0	10.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF1	26.1	57.89	31.9	1832.01	2367.9	2935.74	3794.3	253.23	2384.37	3039.3	3515.68	4481.23	4836.35	2468.49	1242.34	4704.07	2319.15	2739.08	2537.92	1268.46	2434.5	5954.47	4181.07	3768.09	2956.17	2351.53	2739.08	1407.55	2032.85	2335.28	2335.28	2555.58	1529.73	2976.74	2148.82	49.56	42.71	73.54	22.1	101.54	97.36	23.25	71.0	74.58	43.32	98.04	16.75	36.27	34.26	72.01	37.32	37.85	19.53	34.75	43.63	28.86
FMO1	5.92	3.96	13.62	4358.66	4802.93	6887.62	37901.36	1175.27	8363.13	5517.27	4181.07	2555.58	4268.94	5633.22	7749.1	7280.4	7081.29	7433.4	5872.48	7382.04	6516.03	4038.61	5479.15	4736.79	4575.41	8778.97	8840.04	6426.31	11584.24	7032.37	7032.37	5041.77	5711.87	7130.55	9215.48	46.5	19.97	73.03	17.25	64.8	127.89	11.91	16.63	157.68	58.71	28.04	31.9	49.91	35.25	7.69	5.45	48.52	50.27	84.04	57.89	12.0
GALM	163.28	115.97	92.7	2335.28	2915.45	2133.97	4010.71	1127.35	3303.0	3325.99	1745.2	1870.53	1963.57	1950.0	3235.01	3257.52	2915.45	3190.46	2434.5	3190.46	2664.15	1119.56	2520.38	2816.11	2271.4	2573.36	3847.29	3589.58	3419.52	3742.05	3716.2	2400.97	1662.49	3280.18	3690.52	503.95	665.29	457.25	441.64	289.02	417.77	379.04	159.9	397.93	486.75	507.46	281.09	447.82	397.93	466.88	343.89	379.04	384.34	325.29	341.51	389.72
GGACT	75.64	92.05	65.26	1467.37	7537.18	1175.27	4512.4	373.81	2209.26	3768.09	1457.23	902.89	842.36	583.07	2591.27	3515.68	3060.45	2400.97	1225.22	4736.79	1066.48	262.2	1277.29	1963.57	3018.3	1427.22	3325.99	4181.07	3794.3	2573.36	3103.19	2451.44	785.88	2682.69	2573.36	139.07	117.6	104.42	92.05	102.97	108.9	69.52	33.54	122.64	151.22	103.69	69.03	101.54	103.69	127.0	101.54	153.34	46.84	71.5	104.42	58.3
GINM1	1350.18	1295.13	1044.52	1896.65	2591.27	2351.53	1572.76	2075.59	2104.58	1794.29	1883.54	1674.06	2061.24	1909.85	2133.97	2047.0	2367.9	2287.2	1936.53	2682.69	2133.97	2224.63	2485.67	2090.03	2119.22	2047.0	2319.15	2287.2	2133.97	2224.63	2209.26	1819.35	1467.37	1963.57	2319.15	651.58	1467.37	1447.15	1183.45	2061.24	1923.14	1757.34	1605.83	1369.04	1551.09	1437.15	1417.35	1963.57	1950.0	1674.06	1583.71	1769.57	1832.01	1733.13	1427.22	2075.59
GIPC2	36.79	43.02	43.63	591.22	981.29	813.63	7230.1	148.09	1340.84	1322.37	703.28	896.64	915.51	928.3	974.5	961.07	1519.15	1216.75	915.51	1143.1	896.64	616.37	1001.93	830.75	642.59	780.44	1208.34	896.64	896.64	1135.2	1030.12	642.59	540.19	1008.9	1008.9	157.68	12.0	23.42	11.55	30.34	38.95	16.27	17.51	24.81	14.56	19.68	12.64	24.63	22.43	24.99	10.79	25.54	22.75	21.94	20.86	13.62
GLS	954.43	651.58	679.29	5751.61	5219.6	5479.15	18560.17	2976.74	7911.95	8134.41	5219.6	6561.36	5913.33	5633.22	7803.01	7433.4	8134.41	10440.2	7382.04	7857.29	7280.4	4903.87	6699.25	6337.83	4419.52	5672.41	8778.97	5872.48	8191.0	7589.61	8598.28	4671.57	5076.84	6294.04	7695.57	299.25	743.43	884.29	915.51	1417.35	878.17	961.07	1529.73	848.22	995.0	1066.48	878.17	638.15	1001.93	967.76	674.59	1159.07	1015.93	1066.48	1551.09	684.02
GNPDA1	629.35	551.56	514.56	1909.85	1757.34	1540.37	4095.0	1250.98	3419.52	2451.44	1529.73	1561.89	1923.14	1950.0	3443.31	2777.33	2537.92	2240.11	1819.35	2758.13	1733.13	1519.15	2119.22	2271.4	1617.0	2502.97	3419.52	2047.0	2777.33	1923.14	2287.2	1832.01	2520.38	1923.14	2664.15	312.0	854.13	860.08	921.88	460.44	607.87	595.34	289.02	1127.35	928.3	728.11	738.29	642.59	775.05	854.13	836.53	941.27	842.36	947.83	476.71	693.58
GPR137B	438.59	218.79	376.41	1457.23	1437.15	1359.57	2434.5	429.54	2303.12	1991.0	1073.91	1359.57	1519.15	1561.89	2417.67	1936.53	2018.8	2255.7	1096.5	1950.0	1313.23	1183.45	1794.29	1883.54	1191.69	1529.73	2609.3	1583.71	2664.15	1697.45	2032.85	1378.57	1936.53	1733.13	2178.83	698.41	334.46	368.65	264.03	221.86	348.71	236.21	147.06	384.34	320.8	299.25	186.4	253.23	287.01	234.57	193.01	389.72	253.23	348.71	256.78	205.5
GPX3	221968.2	171754.88	275175.93	353168.2	783730.52	391864.76	417089.23	119776.72	736332.6	434801.29	334117.42	434801.29	450134.56	303217.87	641014.63	417089.23	517068.97	482442.34	322736.12	561916.97	400098.69	383800.28	389157.95	472513.8	389157.95	453265.5	772940.66	422911.59	711250.37	668235.84	767601.56	524287.0	466008.55	577714.63	696613.03	320506.81	189257.69	244588.0	324980.94	546551.29	499455.67	419990.32	170568.48	405683.88	290865.98	338781.54	320506.81	334117.42	313910.86	269512.87	288856.81	305326.92	428815.23	284880.02	249727.34	513497.31
GRAMD1C	18.7	36.79	29.48	579.04	1119.56	460.44	1127.35	221.86	738.29	796.86	647.07	693.58	629.35	435.55	444.72	559.28	819.3	808.0	780.44	974.5	665.29	366.09	660.68	728.11	684.02	493.56	521.76	518.15	583.07	575.03	713.11	603.67	260.38	616.37	444.72	193.01	166.73	140.04	108.9	466.88	212.78	253.23	373.81	166.73	205.5	115.16	140.04	206.94	134.3	164.42	87.03	88.26	540.19	165.57	204.07	94.67
HECW1	0.69	0.68	2.05	336.79	387.02	376.41	693.58	51.71	785.88	629.35	255.0	309.83	332.14	295.11	579.04	444.72	571.05	713.11	525.39	674.59	269.6	194.36	339.14	493.56	397.93	409.15	629.35	409.15	620.67	718.08	748.61	376.41	447.82	708.18	651.58	21.01	10.39	49.21	55.89	1.33	32.82	18.7	23.42	3.11	2.32	31.0	87.03	47.84	10.39	110.43	13.42	5.63	4.17	71.5	49.56	6.11
HIBCH	314.17	283.05	295.11	2777.33	4358.66	1662.49	4210.15	921.88	2434.5	4937.99	1417.35	2400.97	1427.22	1662.49	3212.66	2645.74	4736.79	4181.07	3168.41	3212.66	2032.85	1685.71	1674.06	2032.85	2434.5	2664.15	4152.18	2956.17	3491.39	4388.98	5479.15	1781.89	1991.0	2335.28	3847.29	595.34	575.03	791.35	854.13	559.28	791.35	688.78	429.54	665.29	896.64	629.35	457.25	624.99	563.18	579.04	476.71	638.15	483.38	698.41	423.61	543.96
ILDR2	12.74	36.01	21.01	96.68	45.21	121.79	115.97	31.67	124.37	133.36	105.89	144.01	147.06	102.25	127.89	115.97	90.14	167.9	144.01	95.34	102.25	128.79	130.6	147.06	92.05	118.43	118.43	109.66	144.01	144.01	185.11	105.89	110.43	149.12	167.9	0.12	3.26	2.29	7.17	0.0	1.89	2.32	0.55	4.62	1.33	1.79	1.39	2.27	1.43	3.06	5.63	5.73	1.46	4.06	1.69	1.85
ISCA1	872.1	748.61	713.11	1250.98	2609.3	1551.09	2816.11	974.5	1662.49	1639.59	1487.87	1583.71	1417.35	1447.15	1498.22	1583.71	1991.0	1551.09	1561.89	2061.24	1769.57	1331.57	1639.59	1286.18	1467.37	1111.82	1572.76	1350.18	1242.34	1340.84	1340.84	1340.84	848.22	1104.13	1304.15	1467.37	532.74	981.29	941.27	915.51	1119.56	1295.13	708.18	796.86	647.07	1199.98	1066.48	1096.5	974.5	890.44	866.07	708.18	941.27	1225.22	708.18	647.07
ITFG1	1023.0	769.69	629.35	1883.54	1242.34	1662.49	1561.89	1617.0	1417.35	1561.89	1487.87	1583.71	1794.29	1857.6	1857.6	1781.89	1340.84	2004.85	1733.13	1397.83	1561.89	2032.85	2075.59	1781.89	1417.35	1583.71	1769.57	1605.83	1617.0	1594.73	1757.34	1417.35	1651.0	1369.04	1733.13	1844.76	1135.2	1369.04	1487.87	1304.15	1259.69	1397.83	733.19	1286.18	1350.18	1277.29	1277.29	1208.34	1407.55	1417.35	1233.75	1250.98	1175.27	1519.15	1037.29	1183.45
KCNJ15	35.76	18.97	27.44	7433.4	8191.0	6121.9	9876.98	4543.8	9540.5	7331.05	4123.49	4543.8	5872.48	6840.04	10808.41	7803.01	7130.55	11267.44	8363.13	12676.65	5292.48	5006.93	6381.92	7966.99	6250.56	6935.54	9025.81	8718.32	9088.59	10084.54	10733.74	6121.9	6037.61	11189.6	9606.86	450.94	1175.27	1242.34	2915.45	1044.52	1769.57	764.36	366.09	2335.28	2148.82	2209.26	1551.09	1832.01	1331.57	5403.7	825.0	1529.73	1427.22	1977.24	1322.37	890.44
KIAA1191	2351.53	2384.37	1896.65	3874.05	11584.24	6471.02	9088.59	2133.97	8363.13	7230.1	5555.65	7382.04	5219.6	5183.54	7589.61	6207.38	8963.45	7280.4	6337.83	7589.61	5147.73	4239.45	6037.61	5366.37	4607.24	5594.3	10154.69	5672.41	9808.75	7382.04	6561.36	4575.41	6207.38	5791.62	7382.04	1030.12	2018.8	1617.0	1662.49	1709.26	1832.01	1628.26	1407.55	1340.84	1378.57	2178.83	1268.46	2104.58	1605.83	1628.26	1628.26	1498.22	1359.57	1662.49	1487.87	1757.34
KL	46.5	28.24	47.84	2163.77	2104.58	2468.49	4066.71	466.88	4268.94	5403.7	4268.94	2367.9	2758.13	3103.19	4671.57	3820.7	2682.69	5076.84	3168.41	4181.07	3060.45	3039.3	3168.41	3955.48	3874.05	3690.52	2777.33	3847.29	4239.45	4298.64	4607.24	2835.7	2224.63	4972.34	5366.37	2.23	43.63	27.84	21.16	24.46	39.79	19.53	11.3	49.56	25.54	29.06	7.94	12.64	15.0	29.27	17.38	28.24	22.43	40.64	18.56	23.76
LAMTOR5	3257.52	2758.13	3018.3	9606.86	22380.2	10659.59	21919.61	6699.25	22225.61	14361.31	11112.3	8363.13	10154.69	11664.82	12589.08	13215.02	20310.37	9808.75	9025.81	25005.23	9673.69	9344.14	11504.21	11345.82	10585.95	9945.68	16496.96	10512.82	13492.72	14971.21	12764.83	11112.3	7857.29	13123.73	12676.65	3564.78	3349.13	3982.99	3395.89	2645.74	2976.74	2609.3	2178.83	3018.3	2956.17	3639.7	2915.45	3982.99	3146.52	3982.99	3742.05	3190.46	2777.33	3395.89	2555.58	3372.43
LIAS	164.42	169.07	101.54	285.03	591.22	256.78	587.13	158.79	325.29	339.14	277.2	256.78	267.73	244.57	297.17	336.79	361.04	291.04	303.44	476.71	285.03	185.11	301.33	325.29	256.78	279.14	384.34	303.44	271.48	332.14	351.14	346.29	239.52	281.09	264.03	194.36	172.65	260.38	152.28	299.25	271.48	236.21	165.57	277.2	248.0	287.01	177.53	267.73	190.34	234.57	121.79	231.32	258.57	178.77	208.38	220.32
LINC00955	0.0	0.0	0.0	60.39	71.5	58.71	22.92	6.78	217.27	72.52	65.26	103.69	10.79	38.67	18.56	105.89	170.25	50.27	92.05	157.68	47.17	20.56	31.0	17.25	14.78	43.94	95.34	46.5	65.72	108.14	68.07	75.11	9.48	65.72	21.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LMBRD1	612.11	624.99	708.18	2485.67	2997.45	2335.28	2271.4	2303.12	2701.35	2502.97	2609.3	2104.58	2777.33	2434.5	2537.92	2367.9	2855.44	3018.3	2835.7	3103.19	2609.3	2240.11	3146.52	2502.97	2335.28	2075.59	2627.46	2520.38	2287.2	2664.15	2468.49	2148.82	1936.53	2148.82	2701.35	1313.23	878.17	1594.73	1870.53	1467.37	1896.65	1857.6	830.75	1467.37	1359.57	1628.26	1457.23	1519.15	1674.06	1617.0	1388.16	1477.58	1427.22	1896.65	1135.2	1583.71
LYPLAL1	470.14	403.5	305.55	1651.0	4388.98	1991.0	3515.68	1286.18	1963.57	2335.28	1832.01	2434.5	2018.8	2193.99	2384.37	2319.15	3303.0	2997.45	2255.7	5006.93	2451.44	1359.57	2520.38	2047.0	2075.59	1605.83	2682.69	2104.58	1991.0	2061.24	2855.44	1977.24	1104.13	1561.89	2061.24	995.0	961.07	775.05	819.3	1183.45	909.17	1088.92	808.0	718.08	941.27	633.73	733.19	764.36	830.75	764.36	713.11	830.75	902.89	836.53	995.0	813.63
LYRM1	860.08	884.29	808.0	1277.29	3419.52	1487.87	3794.3	896.64	2335.28	1769.57	1508.65	1378.57	1561.89	1378.57	1674.06	1674.06	2758.13	1487.87	1477.58	2682.69	1832.01	1119.56	1487.87	1477.58	1437.15	1519.15	1794.29	1417.35	1605.83	1757.34	1508.65	1447.15	1277.29	1605.83	1487.87	1277.29	525.39	941.27	813.63	947.83	1175.27	909.17	629.35	748.61	872.1	928.3	656.11	1233.75	928.3	909.17	769.69	860.08	656.11	915.51	624.99	995.0
MCCD1	0.0	0.0	0.0	909.17	1883.54	1331.57	10440.2	11.91	1111.82	1081.39	1662.49	2178.83	1340.84	647.07	1073.91	1561.89	2224.63	1250.98	2758.13	830.75	1883.54	1651.0	1096.5	1583.71	1397.83	1674.06	2451.44	1617.0	2018.8	1322.37	2224.63	1745.2	2875.3	896.64	1051.79	0.0	3.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	3.47	1.51	0.0	0.0	0.0	0.0	0.0	1.27
MEI4	0.0	1.48	0.39	78.89	84.63	90.14	954.43	33.78	87.03	104.42	69.52	88.88	90.77	102.97	119.26	99.43	121.79	146.03	81.14	90.14	90.77	84.63	98.73	89.51	59.13	73.03	126.12	68.55	88.26	96.01	102.25	51.71	69.03	70.01	98.73	5.92	18.56	27.64	67.59	19.39	30.56	44.89	3.89	22.92	26.86	49.56	23.59	17.51	40.64	35.0	14.78	23.59	62.12	50.98	5.19	45.85
MGAM	2.03	0.44	4.31	647.07	299.25	896.64	480.04	50.63	854.13	836.53	129.69	191.67	269.6	595.34	1322.37	872.1	587.13	1685.71	785.88	684.02	713.11	463.65	599.49	954.43	633.73	753.83	693.58	1023.0	1250.98	1350.18	1088.92	480.04	981.29	967.76	1857.6	61.68	2.27	1.41	2.2	2.39	1.38	1.85	1.28	6.67	2.92	5.36	3.44	1.81	0.87	0.8	1.48	3.99	1.39	2.92	4.78	3.59
MICU2	529.06	447.82	629.35	1519.15	1963.57	1498.22	2997.45	1081.39	1519.15	1651.0	1561.89	1529.73	1417.35	1388.16	1617.0	1757.34	1883.54	1819.35	1605.83	1909.85	1685.71	1340.84	1936.53	1572.76	1498.22	1066.48	1498.22	1388.16	1119.56	1498.22	1605.83	1322.37	1127.35	1104.13	1487.87	457.25	796.86	915.51	921.88	1073.91	1015.93	934.76	1183.45	1037.29	1030.12	1135.2	909.17	1015.93	934.76	974.5	890.44	967.76	928.3	1037.29	1199.98	842.36
MIOX	0.0	1.87	0.0	22072.07	67846.12	16727.26	141455.6	293.07	61571.56	41475.31	18689.27	15824.9	16727.26	11827.67	44761.41	33922.56	35856.82	27174.14	18819.27	61571.56	6935.54	6887.62	21919.61	26800.01	41475.31	26800.01	45701.96	43236.64	53601.03	42641.37	36357.37	41475.31	32540.65	36106.23	42346.82	0.0	312.0	417.77	507.46	323.03	136.19	90.14	73.03	148.09	1685.71	176.29	149.12	674.59	170.25	122.64	97.36	195.72	183.82	59.97	120.94	379.04
MME	23.42	43.63	24.63	5517.27	5366.37	5555.65	8598.28	536.45	10014.87	8421.31	6164.49	6121.9	7589.61	6164.49	5913.33	8078.22	7433.4	12244.81	6792.79	7803.01	5995.9	6164.49	8305.36	7911.95	5672.41	5292.48	8421.31	4419.52	8421.31	7803.01	9215.48	5076.84	4066.71	7032.37	7966.99	164.42	3.06	15.91	29.7	15.56	20.26	11.13	2.89	11.55	5.54	23.93	48.87	13.12	45.85	12.18	77.25	256.78	16.27	31.22	20.26	142.01
MOCS2	866.07	974.5	738.29	2240.11	4010.71	2163.77	4903.87	1216.75	2555.58	2664.15	2720.15	2485.67	2664.15	2047.0	2271.4	2701.35	3395.89	2502.97	2468.49	3257.52	2502.97	1870.53	2796.65	2303.12	2032.85	1709.26	2520.38	2004.85	2104.58	2224.63	2090.03	1963.57	1508.65	1819.35	2209.26	995.0	915.51	1457.23	1639.59	1081.39	1143.1	1322.37	669.92	1378.57	1259.69	1561.89	1119.56	1457.23	1073.91	1250.98	1359.57	1096.5	1051.79	1331.57	974.5	1111.82
MRO	2.89	8.45	3.79	251.48	1583.71	281.09	521.76	58.71	518.15	629.35	289.02	115.16	624.99	197.09	532.74	708.18	392.44	518.15	301.33	1733.13	785.88	87.65	251.48	525.39	470.14	293.07	373.81	432.53	587.13	466.88	341.51	466.88	152.28	318.57	764.36	23.08	40.07	98.73	518.15	12.74	25.54	27.05	4.03	58.71	177.53	84.63	63.0	81.14	125.24	39.22	29.27	72.01	7.63	67.12	1.93	23.42
MRPL44	312.0	356.05	356.05	915.51	1417.35	1104.13	1529.73	775.05	1151.06	988.12	884.29	848.22	890.44	921.88	1051.79	1073.91	1359.57	1066.48	1051.79	1242.34	947.83	854.13	1073.91	915.51	1008.9	909.17	1119.56	947.83	884.29	1051.79	1051.79	854.13	796.86	909.17	1044.52	769.69	267.73	441.64	507.46	348.71	429.54	457.25	258.57	463.65	463.65	460.44	423.61	438.59	490.14	463.65	409.15	420.68	403.5	426.57	251.48	438.59
MRPS18B	884.29	1216.75	1233.75	2090.03	3349.13	2075.59	3928.15	1794.29	2485.67	2367.9	2271.4	2075.59	2148.82	2104.58	2255.7	2485.67	2520.38	2178.83	2537.92	2720.15	2384.37	1977.24	2090.03	2119.22	2502.97	1794.29	2384.37	2178.83	2032.85	2287.2	2271.4	2224.63	2061.24	2319.15	2271.4	1745.2	1583.71	1844.76	1832.01	1175.27	1594.73	1286.18	947.83	1551.09	1733.13	1199.98	1583.71	1498.22	1721.16	1721.16	1427.22	1467.37	1477.58	1467.37	1059.11	1685.71
MSH3	73.03	88.88	63.45	373.81	483.38	239.52	921.88	228.13	656.11	665.29	389.72	329.84	441.64	334.46	400.71	420.68	612.11	493.56	432.53	603.67	463.65	267.73	403.5	460.44	332.14	325.29	497.0	239.52	409.15	432.53	450.94	332.14	334.46	460.44	463.65	94.67	84.04	150.17	165.57	136.19	194.36	189.02	68.07	146.03	157.68	193.01	132.44	260.38	181.28	153.34	126.12	147.06	105.89	147.06	103.69	156.59
MTMR10	384.34	406.31	400.71	995.0	540.19	1044.52	848.22	988.12	559.28	808.0	928.3	1008.9	981.29	915.51	708.18	860.08	647.07	1111.82	1208.34	753.83	764.36	928.3	878.17	1127.35	764.36	808.0	693.58	1023.0	775.05	813.63	1096.5	995.0	780.44	769.69	878.17	242.88	343.89	379.04	368.65	595.34	532.74	688.78	571.05	595.34	476.71	457.25	476.71	361.04	483.38	432.53	473.41	559.28	567.1	547.75	587.13	435.55
NAPEPLD	127.89	127.89	151.22	532.74	463.65	389.72	1044.52	273.37	633.73	775.05	493.56	591.22	575.03	476.71	698.41	642.59	738.29	1030.12	738.29	830.75	525.39	441.64	638.15	603.67	463.65	444.72	647.07	665.29	642.59	587.13	780.44	514.56	438.59	444.72	642.59	137.14	239.52	314.17	373.81	387.02	414.87	447.82	339.14	532.74	423.61	253.23	281.09	307.69	273.37	341.51	255.0	414.87	234.57	373.81	551.56	332.14
NDUFAF1	303.44	312.0	417.77	713.11	802.41	764.36	1331.57	529.06	808.0	571.05	759.08	688.78	743.43	728.11	728.11	981.29	633.73	848.22	728.11	796.86	836.53	579.04	723.08	669.92	651.58	551.56	748.61	748.61	669.92	842.36	802.41	679.29	708.18	651.58	733.19	647.07	476.71	633.73	607.87	376.41	503.95	400.71	299.25	500.46	547.75	353.59	483.38	435.55	423.61	463.65	363.56	525.39	314.17	493.56	269.6	540.19
NDUFC1	2075.59	2224.63	2178.83	6037.61	12160.22	7911.95	15934.98	4210.15	9151.82	7537.18	8421.31	7230.1	7230.1	6887.62	7032.37	7331.05	11112.3	5594.3	8022.41	9876.98	8363.13	6516.03	7280.4	7032.37	7695.57	5791.62	9025.81	6745.86	7081.29	8421.31	7130.55	7130.55	5292.48	7803.01	7331.05	6516.03	5517.27	5517.27	5913.33	4450.27	4639.29	4268.94	3564.78	4869.99	5076.84	6792.79	4704.07	7433.4	5403.7	5329.3	4639.29	5183.54	3874.05	5255.91	3665.02	4268.94
NFE2L1	3820.7	4152.18	3124.78	6207.38	3564.78	4736.79	5555.65	5403.7	5147.73	7032.37	5672.41	4704.07	5831.91	4903.87	7382.04	7032.37	3874.05	6516.03	7180.15	4481.23	4869.99	5872.48	5711.87	7081.29	5954.47	5403.7	5517.27	7180.15	5831.91	6426.31	6079.61	5219.6	6294.04	6652.97	6652.97	2434.5	2645.74	2835.7	3540.14	2119.22	3081.75	2875.3	1250.98	3060.45	2627.46	3614.55	2627.46	2701.35	3280.18	3146.52	3257.52	3589.58	2758.13	3665.02	1639.59	3280.18
NMNAT1	98.04	91.41	129.69	303.44	318.57	197.09	279.14	148.09	271.48	312.0	231.32	258.57	273.37	253.23	262.2	297.17	260.38	363.56	293.07	353.59	262.2	201.25	223.41	314.17	318.57	253.23	293.07	305.55	264.03	279.14	273.37	327.56	239.52	248.0	242.88	169.07	190.34	234.57	293.07	167.9	161.02	163.28	67.59	190.34	264.03	244.57	151.22	164.42	190.34	211.31	181.28	273.37	142.01	211.31	127.89	186.4
NOX4	71.5	46.5	42.41	2816.11	4937.99	3395.89	2485.67	563.18	5255.91	3212.66	2319.15	3820.7	4607.24	3982.99	5403.7	4575.41	6652.97	4769.75	2384.37	5995.9	5183.54	3467.27	4512.4	4328.55	2627.46	4450.27	8247.98	2591.27	6745.86	4769.75	5517.27	2875.3	4769.75	3060.45	4328.55	7.17	143.01	29.06	12.74	59.13	34.75	45.21	49.56	71.5	11.73	125.24	31.45	48.18	39.5	14.89	17.25	59.97	18.84	20.26	145.02	8.0
NPHS1	0.0	0.0	0.0	1051.79	521.76	1388.16	603.67	82.87	514.56	1073.91	1529.73	1617.0	1250.98	785.88	273.37	1331.57	525.39	848.22	785.88	279.14	860.08	1378.57	813.63	1183.45	1662.49	1378.57	1167.14	909.17	1104.13	878.17	1183.45	1059.11	444.72	1447.15	808.0	0.48	0.0	8.06	0.0	0.0	0.0	0.0	0.0	1.11	1.1	0.0	0.0	1.13	0.0	8.58	0.0	0.0	1.16	1.79	0.0	0.0
NPHS2	0.0	1.27	3.63	3395.89	4298.64	6079.61	3467.27	412.0	5219.6	4419.52	6840.04	8305.36	10659.59	5219.6	2163.77	6887.62	5255.91	4358.66	5403.7	2417.67	3639.7	13033.07	7032.37	9279.58	5479.15	3168.41	5041.77	3901.01	4298.64	4268.94	4298.64	5954.47	3060.45	3540.14	4543.8	2.05	1.38	0.41	0.0	0.53	0.0	1.0	0.0	0.0	0.74	0.0	0.0	0.0	0.0	0.0	0.0	1.99	0.0	0.0	0.0	0.0
NPR3	12.93	14.03	11.21	1883.54	2271.4	1233.75	7537.18	303.44	2701.35	2915.45	1225.22	1594.73	1857.6	1794.29	4769.75	2739.08	2502.97	3820.7	1769.57	2434.5	1709.26	1487.87	1923.14	2240.11	1697.45	1487.87	1572.76	1977.24	2240.11	2119.22	2609.3	1529.73	1208.34	1883.54	1883.54	50.27	15.22	134.3	555.41	45.85	90.14	291.04	6.11	68.07	141.02	323.03	141.02	35.76	368.65	100.83	571.05	743.43	329.84	379.04	65.26	466.88
NT5DC1	368.65	316.37	204.07	866.07	1519.15	830.75	1540.37	748.61	988.12	1088.92	921.88	934.76	909.17	808.0	1066.48	1015.93	1044.52	1044.52	1023.0	1096.5	1023.0	909.17	967.76	854.13	928.3	1051.79	934.76	775.05	967.76	1015.93	1030.12	928.3	934.76	866.07	902.89	409.15	312.0	633.73	703.28	450.94	713.11	961.07	255.0	796.86	743.43	854.13	521.76	514.56	638.15	713.11	780.44	713.11	723.08	624.99	463.65	842.36
NUBPL	187.71	172.65	124.37	271.48	285.03	256.78	612.11	171.45	318.57	341.51	277.2	248.0	258.57	275.28	327.56	368.65	332.14	381.68	256.78	301.33	387.02	231.32	291.04	327.56	289.02	251.48	305.55	275.28	303.44	307.69	406.31	241.19	248.0	236.21	287.01	35.5	108.14	189.02	183.82	187.71	182.55	140.04	96.68	149.12	167.9	145.02	172.65	149.12	181.28	167.9	137.14	199.85	153.34	162.14	108.14	147.06
