	TCGA.KN.8425.11A.01R.2315.07	TCGA.KN.8427.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.T5JC.1526.SM.4DM68	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	TCGA.A3.3387.11A.01R.1541.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.5R.AAAM.01A.12R.A41C.07	TCGA.FV.A2QR.01A.11R.A213.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A11D.01A.11R.A131.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
GMPR	1685.71	2895.31	1447.15	4704.07	5112.16	371.22	1844.76	825.0	486.75	2555.58	511.0	1477.58	748.61	1697.45	1745.2	2303.12	2417.67	2367.9	1073.91	769.69	1313.23	633.73	470.14	1457.23	171.45	7.06	189.02	199.85	16.27	21.01	0.0	0.55
GNAI1	2255.7	1639.59	1572.76	2875.3	2119.22	435.55	2895.31	1769.57	988.12	2855.44	450.94	1963.57	791.35	2090.03	2090.03	2047.0	2193.99	2075.59	1135.2	703.28	1199.98	981.29	559.28	1977.24	371.22	825.0	231.32	343.89	214.27	281.09	194.36	242.88
HEY1	189.02	78.89	129.69	651.58	289.02	37.85	860.08	214.27	128.79	466.88	53.19	186.4	71.0	215.77	133.36	231.32	109.66	156.59	91.41	87.03	148.09	77.25	39.22	175.07	46.5	122.64	50.98	67.59	36.01	123.5	0.0	0.59
IFT74	387.02	376.41	316.37	591.22	463.65	218.79	693.58	392.44	379.04	624.99	212.78	400.71	287.01	417.77	470.14	429.54	417.77	341.51	339.14	236.21	320.8	279.14	273.37	301.33	164.42	102.25	143.01	145.02	209.84	72.01	0.0	0.21
IL17RE	305.55	215.77	258.57	802.41	466.88	96.68	954.43	486.75	265.87	563.18	55.89	249.73	125.24	334.46	316.37	234.57	303.44	242.88	193.01	138.1	267.73	204.07	120.1	297.17	77.25	22.59	65.72	105.15	194.36	49.56	0.0	0.23
KCTD14	417.77	387.02	303.44	656.11	403.5	241.19	470.14	902.89	128.79	426.57	281.09	460.44	217.27	366.09	343.89	381.68	447.82	490.14	260.38	226.54	212.78	289.02	204.07	454.09	99.43	73.54	125.24	90.77	141.02	159.9	0.0	0.13
LGI2	301.33	205.5	68.55	532.74	392.44	22.75	417.77	206.94	137.14	607.87	29.27	178.77	48.87	217.27	244.57	256.78	285.03	117.6	71.0	25.72	47.17	94.67	42.11	108.9	18.56	13.03	6.11	1.97	1.89	1.64	0.0	0.4
LSAMP	182.55	53.57	29.91	769.69	123.5	16.39	279.14	46.18	66.65	536.45	26.86	109.66	20.56	105.15	108.9	100.83	89.51	34.75	29.48	13.62	39.79	40.36	32.13	64.34	5.15	0.84	0.89	1.83	0.0	0.58	0.0	0.48
LYPD6B	780.44	470.14	327.56	11267.44	1721.16	244.57	4802.93	813.63	392.44	4095.0	105.15	575.03	126.12	616.37	642.59	703.28	651.58	518.15	403.5	202.66	327.56	287.01	66.18	743.43	1.06	0.0	5.36	0.0	4.86	0.0	0.0	0.33
MAPK9	708.18	414.87	420.68	728.11	521.76	395.18	571.05	521.76	642.59	688.78	387.02	587.13	379.04	536.45	490.14	543.96	559.28	426.57	412.0	389.72	466.88	441.64	470.14	476.71	264.03	336.79	237.86	297.17	220.32	299.25	0.0	0.65
MTHFD2L	500.46	384.34	348.71	547.75	281.09	356.05	400.71	236.21	343.89	785.88	267.73	353.59	212.78	368.65	423.61	490.14	346.29	361.04	318.57	206.94	285.03	194.36	185.11	281.09	167.9	147.06	185.11	69.03	97.36	248.0	0.0	0.4
MXRA7	4123.49	2739.08	2061.24	5403.7	3212.66	1417.35	7032.37	2335.28	2178.83	7032.37	1583.71	3235.01	1697.45	3257.52	3794.3	3874.05	3395.89	1936.53	2303.12	1605.83	2090.03	1963.57	1151.06	2627.46	1259.69	995.0	595.34	718.08	180.02	87.03	0.0	0.78
MYZAP	551.56	185.11	114.36	1295.13	376.41	97.36	1225.22	281.09	244.57	1427.22	49.91	215.77	75.11	318.57	438.59	387.02	363.56	220.32	157.68	58.3	162.14	82.29	30.12	154.42	31.0	18.16	3.41	0.0	2.86	0.0	0.0	0.13
NDUFA8	3614.55	2895.31	2573.36	4836.35	3614.55	2573.36	2976.74	2520.38	2400.97	3491.39	2485.67	3847.29	2573.36	2935.74	3190.46	3794.3	2573.36	3665.02	3257.52	2573.36	2335.28	2335.28	2351.53	2875.3	1639.59	1950.0	1883.54	1529.73	2287.2	1781.89	0.0	0.21
NOL7	2047.0	1628.26	1540.37	1896.65	1583.71	1225.22	1628.26	1295.13	1378.57	1909.85	1259.69	1519.15	1350.18	1639.59	1477.58	2090.03	1628.26	1583.71	1617.0	1268.46	1313.23	1304.15	1259.69	1295.13	941.27	808.0	759.08	764.36	928.3	1277.29	0.0	0.61
OSBPL2	713.11	567.1	529.06	698.41	587.13	412.0	1191.69	954.43	547.75	785.88	392.44	620.67	511.0	708.18	633.73	612.11	638.15	599.49	460.44	486.75	343.89	579.04	457.25	679.29	356.05	329.84	187.71	295.11	273.37	279.14	0.0	0.77
PDE1A	3820.7	2720.15	2609.3	21320.18	4210.15	1477.58	13586.57	3039.3	2895.31	15607.02	679.29	2664.15	1059.11	3018.3	3443.31	2555.58	3794.3	2555.58	1191.69	1081.39	2004.85	1437.15	669.92	2682.69	103.69	38.4	30.78	21.32	6.11	9.27	0.0	0.34
PFKM	2335.28	1605.83	1806.78	2240.11	4038.61	536.45	2555.58	2417.67	2209.26	1909.85	1183.45	2319.15	1561.89	2351.53	2468.49	1870.53	2104.58	1806.78	1447.15	1519.15	1923.14	1662.49	1721.16	2047.0	221.86	122.64	139.07	99.43	111.99	35.25	0.0	0.83
PPARG	450.94	351.14	358.54	728.11	466.88	318.57	591.22	432.53	435.55	547.75	384.34	463.65	356.05	595.34	454.09	543.96	376.41	624.99	406.31	379.04	346.29	334.46	329.84	325.29	305.55	49.91	171.45	275.28	35.0	187.71	0.0	0.36
PPP1R36	329.84	120.94	74.58	444.72	320.8	54.72	432.53	126.12	92.05	476.71	21.47	108.9	30.12	137.14	242.88	154.42	187.71	80.01	80.57	39.5	88.88	41.22	16.75	84.63	5.02	2.89	0.44	5.32	0.87	3.66	0.0	0.01
PRKAG2	1159.07	1583.71	1044.52	2032.85	909.17	830.75	1127.35	1066.48	1088.92	1388.16	728.11	1295.13	638.15	947.83	1159.07	1183.45	860.08	764.36	866.07	780.44	813.63	536.45	603.67	860.08	497.0	486.75	241.19	575.03	287.01	249.73	0.0	0.59
PRKCQ	802.41	395.18	318.57	1605.83	669.92	113.56	1457.23	607.87	353.59	934.76	49.91	392.44	108.9	529.06	454.09	514.56	674.59	400.71	183.82	146.03	318.57	224.97	94.67	688.78	13.12	1.27	8.65	4.35	2.61	4.74	0.0	0.18
RAD17	651.58	420.68	480.04	728.11	473.41	555.41	878.17	441.64	444.72	808.0	412.0	633.73	441.64	624.99	555.41	525.39	521.76	450.94	493.56	366.09	435.55	392.44	373.81	476.71	215.77	271.48	191.67	258.57	239.52	265.87	0.0	0.0
RBP7	1923.14	1477.58	1313.23	11745.96	3564.78	255.0	10733.74	2178.83	759.08	6471.02	376.41	1806.78	759.08	2400.97	1037.29	3982.99	2645.74	3060.45	2119.22	426.57	713.11	1044.52	269.6	1340.84	928.3	145.02	563.18	638.15	202.66	395.18	0.0	0.33
RLN2	104.42	63.45	47.84	129.69	151.22	34.75	134.3	76.71	51.35	239.52	15.91	65.72	21.78	70.51	77.25	96.01	123.5	71.5	35.0	18.97	37.59	24.99	4.39	43.94	0.0	0.0	1.06	2.29	0.0	0.0	0.0	0.0
SKAP1	825.0	842.36	872.1	3325.99	896.64	490.14	1991.0	703.28	1096.5	1572.76	497.0	981.29	409.15	802.41	967.76	1059.11	848.22	974.5	579.04	651.58	796.86	384.34	293.07	753.83	314.17	13.03	409.15	60.39	31.45	361.04	0.0	0.29
SMAGP	1447.15	1159.07	587.13	2004.85	802.41	441.64	2271.4	587.13	503.95	1268.46	339.14	1001.93	312.0	1059.11	884.29	890.44	1096.5	872.1	688.78	332.14	493.56	414.87	251.48	785.88	289.02	193.01	180.02	181.28	89.51	162.14	921.88	323.03
SYNGR1	1561.89	1498.22	872.1	4123.49	1617.0	387.02	3325.99	1167.14	866.07	2537.92	417.77	934.76	518.15	974.5	981.29	1001.93	1037.29	848.22	764.36	718.08	819.3	748.61	403.5	1199.98	70.01	28.04	102.25	22.59	10.0	13.93	0.0	0.67
TBC1D4	1322.37	902.89	1044.52	1870.53	1407.55	381.68	2061.24	967.76	915.51	1832.01	363.56	1216.75	660.68	1369.04	1369.04	1143.1	1467.37	947.83	571.05	511.0	808.0	718.08	483.38	1191.69	111.99	128.79	48.52	170.25	54.33	84.63	0.0	0.25
THAP4	5791.62	3716.2	3349.13	8421.31	3467.27	2591.27	5112.16	3742.05	1950.0	4607.24	2271.4	3768.09	2835.7	3124.78	2915.45	4298.64	3372.43	4671.57	3349.13	3280.18	3146.52	2367.9	2032.85	4010.71	1081.39	813.63	1388.16	595.34	791.35	1191.69	0.0	0.74
TMEM116	1819.35	1233.75	872.1	2855.44	2047.0	775.05	2224.63	1427.22	1594.73	2367.9	738.29	2047.0	915.51	1605.83	1572.76	1350.18	1467.37	1175.27	947.83	909.17	1143.1	872.1	708.18	1175.27	143.01	164.42	93.35	114.36	177.53	205.5	0.0	0.36
TMEM171	1008.9	1295.13	967.76	1487.87	1909.85	220.32	1359.57	1001.93	397.93	1572.76	138.1	1001.93	329.84	1331.57	651.58	703.28	988.12	872.1	483.38	432.53	974.5	620.67	169.07	660.68	73.54	177.53	67.59	198.47	358.54	46.18	0.0	0.28
TMEM61	1073.91	902.89	733.19	2935.74	2520.38	1519.15	1437.15	769.69	460.44	1857.6	178.77	718.08	281.09	941.27	669.92	830.75	780.44	612.11	563.18	486.75	854.13	392.44	145.02	579.04	4.82	2.34	4.35	3.11	0.0	5.96	0.0	0.14
TRAM1L1	417.77	251.48	236.21	587.13	620.67	105.89	674.59	253.23	153.34	854.13	86.43	323.03	162.14	356.05	438.59	283.05	412.0	289.02	217.27	133.36	244.57	182.55	68.55	307.69	2.03	4.62	1.85	5.36	0.64	1.19	0.0	0.0
TRNT1	470.14	423.61	358.54	518.15	460.44	249.73	579.04	334.46	406.31	1008.9	269.6	457.25	275.28	409.15	409.15	497.0	454.09	392.44	348.71	283.05	299.25	260.38	241.19	299.25	199.85	260.38	136.19	175.07	132.44	124.37	0.0	0.59
UGT8	1806.78	1340.84	1066.48	3280.18	3235.01	277.2	2935.74	1135.2	1457.23	3639.7	353.59	1628.26	629.35	1487.87	2434.5	1350.18	1896.65	1397.83	567.1	547.75	1008.9	896.64	373.81	1487.87	0.56	0.0	0.0	0.56	6.11	7.28	0.0	0.14
UMOD	303217.87	602247.76	443937.41	3178687.03	1318073.06	358098.26	789181.81	1070607.81	565825.41	1299926.74	50011.46	585779.24	136637.07	434801.29	431797.89	422911.59	636586.81	502929.67	373305.21	217400.14	381149.17	345900.08	128373.58	641014.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
USP39	808.0	698.41	728.11	1066.48	738.29	587.13	836.53	551.56	656.11	890.44	660.68	698.41	591.22	775.05	748.61	769.69	759.08	708.18	665.29	674.59	688.78	607.87	591.22	638.15	563.18	651.58	371.22	525.39	529.06	547.75	0.0	1.07
UXS1	5292.48	2555.58	2645.74	6294.04	3349.13	1191.69	4937.99	2796.65	2835.7	5112.16	1023.0	3901.01	1662.49	3742.05	3303.0	3901.01	4419.52	3081.75	2255.7	1508.65	2209.26	2133.97	1143.1	3690.52	507.46	733.19	511.0	457.25	403.5	656.11	0.0	0.39
VAT1L	555.41	406.31	51.35	947.83	1111.82	15.22	860.08	68.55	80.57	3060.45	22.43	426.57	28.04	366.09	256.78	808.0	454.09	379.04	34.26	42.41	165.57	85.82	24.81	287.01	4.9	2.84	0.84	8.85	0.48	0.54	0.0	0.0
ZNF257	26.86	26.47	23.59	103.69	23.08	8.19	56.68	10.71	57.89	45.53	14.78	26.86	13.42	41.81	62.12	26.47	40.36	22.1	13.72	23.42	28.65	11.82	13.83	18.29	6.78	10.55	0.68	14.67	11.3	4.31	0.0	0.14
