	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.L5.A4OM.11A.11R.A260.31	TCGA.L5.A4OG.11A.12R.A260.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.P4QT.0626.SM.3NMCP	GTEX.11XUK.0826.SM.5GU6P	TCGA.38.4625.01A.01R.1206.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.1117F.3026.SM.5GZYU	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.HU.A4HB.01A.12R.A251.31	TCGA.MX.A666.01A.11R.A31P.31	TCGA.D7.8578.01A.21R.2343.13	TCGA.HU.A4GJ.01A.11R.A251.31	TCGA.VQ.A8PC.01A.11R.A39E.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.VQ.A927.01A.12R.A414.31	TCGA.VQ.A8PM.01A.21R.A414.31	TCGA.FP.A9TM.01A.11R.A39E.31	TCGA.BR.8296.01A.11R.2343.13	TCGA.D7.6817.01A.11R.1884.13	TCGA.CG.5720.11A.01R.1602.13	GTEX.Y8E4.1526.SM.4WWDI	GTEX.Y9LG.1026.SM.5IFJN
C9orf152	45.21	3.96	18.84	0.0	0.67	2.16	12.83	2.23	60.39	64.34	3.47	6.94	603.67	351.14	0.0	27.44	3.11	1.83	75.64	37.32	6.52	39.22	5.02	371.22	144.01	173.85	400.71	2303.12	1073.91	1617.0	703.28	791.35	2573.36	323.03	1167.14	400.71	429.54
CABP4	0.44	11.47	11.73	1.28	8.85	3.23	9.63	2.05	23.93	29.27	0.0	4.31	92.05	16.88	0.0	3.0	2.73	3.44	2.14	22.59	0.59	2.48	0.0	38.67	32.36	153.34	33.3	40.93	24.46	30.78	63.0	84.63	27.05	85.22	47.17	18.84	45.85
CACNA1A	0.4	17.0	13.93	1.62	17.64	4.17	10.63	16.63	25.72	30.78	4.9	2.86	258.57	14.24	7.75	2.07	23.08	1.53	3.72	5.92	0.93	1.93	7.57	57.89	1030.12	58.3	106.63	48.52	209.84	88.26	70.51	56.68	85.22	38.12	80.01	43.32	148.09
CAPN8	150.17	1.75	61.25	0.0	0.14	0.0	17.77	5.45	232.94	104.42	1.95	0.26	40904.3	525.39	0.0	0.52	0.0	2.43	11.3	12.09	0.59	8.71	3.32	6516.03	466.88	1709.26	5791.62	2956.17	8718.32	33224.42	3349.13	5995.9	3419.52	4769.75	7130.55	507.46	2720.15
CAPN9	0.0	0.0	10.24	0.0	0.0	0.0	0.51	0.0	54.72	29.48	4.98	0.0	1551.09	26.86	0.0	2.16	0.0	1.27	9.2	9.48	1.64	10.0	1.62	444.72	55.49	217.27	947.83	723.08	995.0	2915.45	251.48	170.25	114.36	371.22	1757.34	123.5	848.22
CLDN23	109.66	26.28	229.72	6.16	24.99	16.51	41.22	23.08	224.97	107.38	21.63	26.67	301.33	102.25	0.0	71.5	57.08	83.45	209.84	131.51	72.52	155.5	29.7	511.0	231.32	540.19	281.09	703.28	656.11	1111.82	289.02	830.75	791.35	848.22	836.53	223.41	403.5
CREB3L1	68.07	65.26	420.68	29.91	20.11	7.46	329.84	113.56	603.67	486.75	22.26	14.89	2047.0	291.04	0.0	45.21	4.94	21.01	75.64	85.82	19.53	55.1	36.79	4066.71	934.76	2537.92	1733.13	7180.15	3589.58	10808.41	7911.95	9474.59	8598.28	4038.61	5517.27	909.17	1991.0
DCDC2	15.8	0.8	1.35	0.0	0.21	0.0	0.0	0.0	6.46	5.32	0.0	0.0	339.14	20.56	0.0	2.43	0.0	2.34	3.17	12.27	0.0	4.39	0.0	128.79	147.06	145.02	15.22	275.28	27.84	26.1	97.36	67.59	14.03	133.36	13.03	20.41	8.32
DPCR1	2163.77	3.32	61.68	0.0	3.35	16.51	2.78	0.0	1397.83	155.5	0.0	24.11	11189.6	1529.73	0.0	22.75	25.17	0.0	26.47	5.45	39.79	63.45	34.26	2209.26	748.61	2609.3	3212.66	8598.28	7081.29	42054.3	1008.9	5183.54	1369.04	1819.35	6207.38	281.09	7180.15
EFCAB4A	23.93	82.87	287.01	17.0	34.26	26.28	73.03	111.99	674.59	543.96	85.22	76.71	9409.14	1295.13	0.0	15.0	14.03	86.43	194.36	295.11	55.1	109.66	26.28	2915.45	902.89	1277.29	1417.35	2609.3	1529.73	3614.55	3081.75	1191.69	4010.71	5633.22	4210.15	854.13	1477.58
ERN2	3.26	4.13	35.25	0.0	0.08	0.0	10.31	5.92	83.45	37.85	1.85	0.33	22380.2	480.04	0.0	1.93	0.0	9.56	23.42	24.28	5.06	13.42	1.83	1651.0	389.72	503.95	995.0	2701.35	2417.67	5791.62	2061.24	4736.79	2682.69	7966.99	3395.89	303.44	878.17
FAM101A	4.58	14.45	54.72	1.13	1.51	0.64	24.28	1.41	146.03	111.99	2.29	2.23	2997.45	10.63	0.0	0.59	5.96	36.27	5.73	40.36	11.47	5.5	4.17	1359.57	444.72	647.07	1685.71	974.5	2104.58	3395.89	941.27	2004.85	4066.71	1286.18	6337.83	432.53	1001.93
FAM177B	1.04	0.0	8.38	0.0	0.0	0.0	2.18	0.59	64.34	30.56	0.36	1.91	287.01	27.84	0.0	3.89	0.66	0.0	4.28	10.31	0.88	1.69	2.46	447.82	95.34	138.1	775.05	269.6	444.72	2047.0	143.01	291.04	231.32	417.77	518.15	84.04	733.19
FBP1	41.22	37.85	137.14	18.56	14.14	44.25	65.26	38.4	211.31	211.31	52.45	25.54	2032.85	305.55	0.0	95.34	2.86	12.64	181.28	173.85	16.03	78.34	4.21	5112.16	373.81	2209.26	1991.0	1233.75	2434.5	2997.45	890.44	1208.34	2061.24	3039.3	11035.54	1350.18	2090.03
FER1L6	6.41	0.0	6.84	0.0	0.0	0.1	0.42	2.03	31.22	12.83	0.0	1.68	1159.07	22.59	0.0	74.58	2.07	10.96	11.3	3.35	6.84	12.45	74.06	397.93	40.64	177.53	287.01	514.56	429.54	2664.15	120.94	764.36	473.41	221.86	423.61	45.53	503.95
FMO5	13.22	9.2	36.53	1.41	5.41	4.9	8.25	6.52	127.0	166.73	9.27	15.0	2104.58	371.22	0.0	10.47	8.78	8.92	33.54	75.11	15.68	32.36	9.78	2935.74	1628.26	902.89	555.41	1073.91	1127.35	3589.58	2609.3	532.74	366.09	1313.23	1594.73	185.11	1745.2
FOXA3	30.78	3.86	10.08	0.0	0.15	0.0	4.66	0.55	25.91	22.26	0.0	0.0	7642.41	19.39	0.0	1.91	0.0	2.14	5.15	3.89	0.34	1.93	0.32	547.75	417.77	368.65	759.08	921.88	1159.07	1447.15	1208.34	842.36	1769.57	728.11	3303.0	239.52	376.41
FSIP2	2.81	0.69	5.92	0.0	1.33	0.77	4.43	2.46	47.84	25.35	1.08	0.13	72.01	9.2	0.0	0.0	0.0	0.0	1.25	4.03	0.21	0.0	0.01	65.26	20.26	59.13	135.24	36.27	106.63	323.03	60.82	59.13	21.78	19.39	51.35	11.82	105.15
GJB1	316.37	3.32	17.25	0.0	0.42	0.0	8.0	0.48	26.67	16.39	1.39	1.03	4481.23	159.9	0.0	2.07	0.0	2.05	13.62	10.47	2.41	7.06	2.46	684.02	1437.15	563.18	316.37	1073.91	381.68	1143.1	2047.0	409.15	353.59	3491.39	1781.89	194.36	343.89
GKN1	0.48	0.0	0.35	0.0	0.0	0.0	0.0	0.0	1277.29	1208.34	0.0	0.0	95286.54	454.09	0.0	1.28	0.45	1.27	1.97	3.32	1.08	1.3	0.82	185362.8	497.0	75803.72	129266.49	7803.01	189257.69	414208.18	6792.79	2271.4	1331.57	19214.73	316094.29	15285.81	370726.6
GKN2	0.6	0.0	0.31	0.0	0.0	0.0	0.0	0.0	214.27	143.01	0.0	0.0	50011.46	42.11	0.0	0.65	0.0	0.62	0.65	0.61	0.0	0.0	0.0	38164.99	202.66	11345.82	42641.37	5831.91	60304.42	124863.17	3146.52	941.27	708.18	6983.79	99333.0	3742.05	50359.33
GOLM1	244.57	211.31	842.36	117.6	224.97	96.68	366.09	256.78	1208.34	698.41	104.42	63.0	1350.18	660.68	0.0	293.07	74.06	95.34	248.0	450.94	105.15	226.54	143.01	7180.15	2104.58	2777.33	3742.05	16496.96	8479.89	10959.3	6699.25	3540.14	3443.31	2502.97	10733.74	1191.69	3928.15
GP2	45.53	1.55	108.9	0.0	0.96	0.41	46.18	3.08	246.28	220.32	0.0	0.0	1883.54	32.82	0.0	12.09	0.0	19.82	11.91	6.57	12.74	6.11	0.07	559.28	1111.82	941.27	120.1	23986.58	1857.6	4481.23	1081.39	1015.93	842.36	3614.55	1359.57	69.52	387.02
GPR142	0.82	2.73	4.62	0.47	0.88	1.99	1.68	0.21	4.43	2.71	0.64	2.53	12.0	2.48	0.0	0.0	0.27	2.56	1.17	1.6	1.07	0.21	0.59	4.74	4.46	6.84	9.7	6.26	22.26	8.0	3.56	5.73	3.99	5.41	16.03	5.23	4.78
HEPACAM2	0.0	0.68	16.88	0.0	0.0	0.0	1.17	0.97	3.96	9.41	0.0	0.0	327.56	95.34	0.0	0.0	1.62	2.27	4.31	21.16	0.99	0.39	0.47	248.0	57.89	70.01	44.57	108.9	109.66	58.71	105.89	320.8	25.54	185.11	209.84	37.85	74.06
HGD	19.68	4.06	18.29	0.04	0.97	0.42	7.57	0.0	36.79	41.81	3.79	2.58	2163.77	251.48	0.0	0.0	1.51	0.25	7.88	23.42	1.85	0.0	4.46	743.43	351.14	748.61	309.83	1051.79	780.44	1268.46	1313.23	928.3	503.95	1096.5	813.63	147.06	486.75
HID1	19.82	104.42	376.41	94.67	46.84	62.56	264.03	113.56	684.02	743.43	117.6	79.45	3257.52	269.6	0.0	15.8	9.27	32.13	94.67	112.77	33.54	53.57	11.38	2119.22	1806.78	2193.99	1639.59	2090.03	2835.7	3847.29	2956.17	3639.7	4704.07	10585.95	3235.01	1151.06	2351.53
HMGCS2	83.45	5.28	40.36	0.0	1.46	0.68	7.22	6.57	194.36	142.01	1.53	30.12	4298.64	363.56	0.0	17.51	1.71	34.51	38.67	212.78	20.26	27.25	17.13	10659.59	4639.29	2720.15	1857.6	2835.7	2271.4	1359.57	1639.59	3443.31	165.57	3190.46	1369.04	1709.26	2555.58
HNF4G	3.99	8.13	30.78	0.0	3.2	0.59	7.63	0.89	22.59	14.03	0.24	0.97	69.52	113.56	0.0	3.72	0.17	0.42	11.13	45.53	2.05	11.04	0.0	1378.57	285.03	633.73	89.51	493.56	162.14	1111.82	297.17	941.27	149.12	1159.07	571.05	58.3	138.1
IGJ	3168.41	616.37	764.36	3.11	211.31	73.54	90.14	466.88	708.18	4575.41	53.95	111.21	25005.23	5517.27	7803.01	5006.93	0.0	218.79	1233.75	4481.23	6294.04	981.29	371.22	70238.75	16843.62	11345.82	75280.1	34876.28	169390.27	46019.85	127486.83	5076.84	16269.83	46662.28	128373.58	23009.42	69753.56
IGLL5	218.79	69.03	96.01	7.4	11.55	102.25	14.45	95.34	48.52	371.22	41.81	20.56	3103.19	684.02	0.0	136.19	0.0	63.45	191.67	381.68	1096.5	122.64	21.94	6037.61	2627.46	866.07	9673.69	3690.52	9409.14	11035.54	11504.21	281.09	1883.54	2835.7	28525.2	738.29	5751.61
IHH	39.5	3.47	8.58	0.0	0.0	0.83	6.21	0.0	17.9	16.63	0.0	3.72	3491.39	63.45	0.0	1.27	2.43	1.23	0.68	1.22	1.11	3.82	0.0	633.73	1295.13	802.41	258.57	1417.35	237.86	466.88	305.55	1477.58	2287.2	1143.1	830.75	136.19	503.95
KCNE3	8.19	164.42	624.99	35.0	80.57	85.22	173.85	37.32	403.5	128.79	19.97	32.82	4769.75	221.86	169.07	44.57	7.22	8.13	27.44	111.21	11.64	14.78	7.46	961.07	454.09	698.41	703.28	896.64	1001.93	1529.73	4239.45	3349.13	2018.8	1909.85	1208.34	420.68	1709.26
KCNK16	0.0	0.0	0.62	0.0	0.0	0.0	0.0	0.0	1.1	2.29	0.0	0.0	27.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.59	0.0	5.92	13.72	2.97	98.04	30.56	3.0	2.73	0.87	10.31	82.29	5.73	14.56
KCNQ1	96.68	17.25	34.26	5.73	4.28	4.28	8.38	8.65	87.03	194.36	4.66	9.41	1008.9	135.24	0.0	33.54	6.67	16.51	65.72	150.17	30.56	54.72	15.56	703.28	551.56	490.14	819.3	4481.23	2075.59	961.07	954.43	693.58	3081.75	2451.44	4268.94	713.11	961.07
KCTD14	137.14	22.75	59.55	6.16	23.08	18.03	51.35	20.71	115.97	81.71	15.0	18.84	231.32	38.12	0.0	25.72	1.07	18.43	42.11	41.81	7.17	29.06	4.7	368.65	190.34	206.94	275.28	575.03	536.45	791.35	412.0	493.56	521.76	336.79	511.0	180.02	392.44
KIAA1211	0.71	9.34	84.63	4.39	5.36	6.62	36.27	5.11	76.71	13.32	3.17	3.29	173.85	51.35	0.0	9.56	4.03	1.11	7.46	11.13	3.86	0.8	0.89	176.29	75.11	198.47	68.07	124.37	119.26	208.38	146.03	154.42	103.69	320.8	180.02	101.54	54.33
KIAA1244	4.17	7.69	14.89	0.37	2.36	2.84	8.71	8.92	34.75	45.21	3.17	2.97	420.68	45.85	0.0	5.41	0.0	1.31	15.91	21.63	2.2	13.32	0.74	128.79	165.57	242.88	106.63	656.11	392.44	486.75	420.68	447.82	368.65	785.88	239.52	93.35	128.79
KIAA1324	134.3	4.78	46.84	0.19	0.96	0.04	3.03	16.75	97.36	118.43	2.86	3.23	3928.15	551.56	0.0	4.74	0.0	13.83	76.71	77.25	17.9	70.51	6.26	2384.37	748.61	928.3	1721.16	6121.9	4419.52	2956.17	896.64	4972.34	4769.75	878.17	5329.3	743.43	1135.2
KIF13B	624.99	137.14	182.55	159.9	119.26	133.36	164.42	100.83	368.65	339.14	110.43	218.79	638.15	323.03	0.0	58.71	50.27	112.77	260.38	341.51	171.45	208.38	99.43	426.57	480.04	674.59	285.03	583.07	583.07	915.51	466.88	796.86	291.04	1151.06	738.29	283.05	358.54
KRT4	3.697379928E7	1.810644424E7	2263304.65	10.55	6140819.49	2.276004283E7	3359929.59	2654482.97	84109.6	6.52	1462493.73	3.109113511E7	282912.21	165904.25	0.0	1.236706555E7	2.900905474E7	6357375.06	1.236706555E7	1727194.55	2.213766823E7	1.887534821E7	2.10891839E7	2.14	2.05	76.71	1.73	420.68	2.51	1.14	9.34	22.43	7.4	7.11	4.86	435.55	11.55
LPIN2	69.03	124.37	231.32	55.49	79.45	128.79	149.12	58.71	438.59	387.02	78.34	202.66	1313.23	291.04	0.0	400.71	91.41	30.12	244.57	97.36	126.12	457.25	55.89	848.22	1096.5	733.19	532.74	878.17	836.53	1191.69	1540.37	2148.82	713.11	1199.98	780.44	368.65	1143.1
MCIDAS	4.17	0.06	2.63	0.0	1.66	0.31	0.77	1.3	2.18	4.9	1.0	0.0	57.49	8.99	0.0	2.92	0.0	2.16	1.5	1.1	0.96	5.11	0.0	26.67	22.1	57.08	17.13	33.54	17.64	15.11	7.06	49.56	90.14	24.99	52.45	14.03	22.43
MIA2	0.0	0.06	2.01	0.0	0.0	0.0	0.92	0.0	6.78	5.87	0.0	0.0	80.57	8.32	0.0	11.82	1.62	0.57	0.0	2.05	0.0	0.64	0.0	130.6	17.0	59.13	4.03	20.56	35.25	99.43	37.32	23.59	12.27	23.59	33.3	1.11	32.82
MISP	368.65	40.07	103.69	5.02	12.0	1.64	80.57	19.53	37.85	12.0	11.55	1.08	3081.75	974.5	0.0	63.0	12.93	123.5	85.82	137.14	21.94	11.47	24.63	2645.74	1794.29	1023.0	432.53	7485.11	718.08	2451.44	995.0	3039.3	1167.14	1304.15	8658.09	125.24	848.22
MLPH	1745.2	91.41	483.38	29.06	87.65	43.94	236.21	148.09	1250.98	1088.92	61.25	76.17	22692.63	921.88	0.0	27.84	4.9	60.82	275.28	368.65	58.71	201.25	44.57	3928.15	902.89	1857.6	3325.99	3395.89	5219.6	10959.3	3303.0	8134.41	9344.14	2956.17	5594.3	967.76	3515.68
MSMB	49.56	0.06	44.89	0.0	0.79	0.0	11.82	18.56	65.72	293.07	5.82	1.55	4512.4	981.29	0.0	7.34	5.77	9.7	76.71	275.28	21.63	43.02	42.11	1857.6	1498.22	1628.26	132.44	2335.28	4836.35	1519.15	1104.13	808.0	5292.48	551.56	2682.69	325.29	5441.3
MYRF	7.69	17.13	57.89	1.91	11.04	12.0	31.67	7.17	208.38	201.25	45.53	27.84	13399.51	595.34	0.0	0.73	16.63	38.95	27.44	111.21	52.45	16.15	1.5	1242.34	3124.78	2335.28	819.3	1572.76	2417.67	4639.29	1857.6	2537.92	3716.2	4066.71	5292.48	543.96	1225.22
NEUROD1	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	2.29	5.02	0.0	0.0	297.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.74	6.16	2.84	35.25	13.42	147.06	32.82	64.8	7.57	14.45	50.27	85.22	19.97	23.76
NUGGC	11.64	1.64	15.91	0.13	1.45	0.34	0.55	6.94	2.53	9.06	1.27	4.86	24.99	15.8	6.16	5.23	0.0	0.89	1.73	6.31	7.4	1.75	0.31	154.42	66.65	11.82	426.57	17.13	83.45	30.34	61.25	83.45	30.12	19.97	39.22	10.08	42.11
OSBPL7	26.47	62.12	229.72	14.67	64.8	36.27	98.04	38.95	642.59	463.65	49.91	50.63	1388.16	145.02	0.0	5.41	10.16	42.41	34.02	74.06	22.92	16.39	10.08	1529.73	518.15	473.41	1259.69	759.08	1167.14	2915.45	981.29	1088.92	1208.34	872.1	1697.45	376.41	1096.5
PALM3	7.11	0.49	1.06	0.0	0.27	0.0	2.71	0.43	20.26	48.52	0.0	0.42	2645.74	22.1	0.0	0.69	4.06	2.12	10.08	7.17	2.63	16.63	1.81	209.84	4268.94	543.96	157.68	100.13	497.0	129.69	158.79	98.04	323.03	497.0	273.37	84.63	251.48
PBLD	34.26	16.51	84.04	9.48	12.27	13.42	19.68	8.85	161.02	287.01	25.35	18.56	244.57	108.14	0.0	31.45	24.46	5.87	40.93	53.57	20.71	44.89	19.68	1819.35	178.77	748.61	490.14	490.14	941.27	1066.48	2075.59	197.09	1208.34	713.11	1709.26	633.73	830.75
PDIA2	26.1	1.99	12.09	0.19	1.68	0.0	3.66	0.0	135.24	291.04	1.39	1.25	2739.08	32.13	0.0	0.0	31.9	15.0	0.0	5.63	0.39	2.63	0.0	587.13	633.73	483.38	1685.71	2384.37	4607.24	629.35	134.3	463.65	1407.55	1051.79	4869.99	429.54	896.64
PIP5K1B	7.34	13.22	53.57	1.22	3.38	2.41	24.11	12.18	84.63	70.01	14.35	7.4	249.73	152.28	0.0	4.28	0.0	2.66	19.82	19.25	5.63	10.71	2.94	785.88	214.27	264.03	420.68	934.76	954.43	1250.98	748.61	842.36	563.18	1529.73	819.3	173.85	305.55
PLA2G10	79.45	1.91	36.01	0.0	0.74	0.0	9.56	1.41	37.05	19.53	1.28	0.3	1909.85	22.59	0.0	0.0	6.52	19.53	6.41	13.52	13.12	9.41	21.78	1081.39	49.91	318.57	466.88	607.87	679.29	2119.22	521.76	595.34	193.01	1199.98	1617.0	74.06	748.61
PRDM16	0.0	6.26	25.91	1.0	0.93	0.44	2.46	0.0	88.26	96.68	8.65	1.33	173.85	14.67	0.0	0.82	35.25	7.4	8.0	7.46	5.87	0.77	4.13	125.24	75.11	224.97	120.94	187.71	249.73	320.8	143.01	92.7	202.66	100.13	293.07	118.43	251.48
PTPRN2	29.7	9.48	27.44	1.1	2.71	2.66	7.4	4.66	183.82	167.9	13.32	8.13	995.0	90.14	0.0	22.43	6.36	13.32	18.97	44.89	7.82	16.39	7.51	361.04	102.25	295.11	329.84	518.15	802.41	1259.69	265.87	325.29	435.55	131.51	733.19	256.78	486.75
RHPN2	72.52	52.08	141.02	18.03	28.45	14.56	66.18	20.26	191.67	78.34	16.15	13.03	954.43	198.47	0.0	14.45	2.2	29.27	59.13	50.63	16.88	40.36	5.5	808.0	2400.97	2119.22	521.76	1594.73	1331.57	1225.22	1397.83	2255.7	1191.69	1313.23	2163.77	182.55	616.37
RP11-867G23.8	29.91	11.3	61.68	6.67	14.35	7.28	14.14	11.64	86.43	108.9	13.12	7.63	371.22	121.79	0.0	17.51	10.47	55.89	18.03	31.67	8.65	36.01	3.96	356.05	279.14	373.81	297.17	366.09	414.87	599.49	384.34	476.71	759.08	156.59	1111.82	217.27	358.54
SEL1L3	423.61	134.3	325.29	77.25	80.57	40.07	84.04	102.25	457.25	376.41	42.11	72.01	1216.75	457.25	738.29	170.25	14.56	59.55	218.79	158.79	133.36	151.22	55.1	2935.74	2075.59	2400.97	7966.99	2555.58	6121.9	3081.75	2915.45	4543.8	1909.85	4419.52	4450.27	808.0	1519.15
SEMA4G	11.91	105.15	187.71	44.25	36.01	37.05	92.05	30.34	256.78	121.79	27.44	42.71	3874.05	191.67	0.0	3.99	10.96	16.51	21.94	53.19	16.88	17.25	5.5	1030.12	1427.22	525.39	215.77	954.43	518.15	1208.34	1096.5	941.27	769.69	890.44	1143.1	237.86	718.08
SH2D6	0.89	0.13	3.47	0.23	0.79	0.16	3.79	0.83	17.9	23.59	0.0	0.0	73.03	6.67	0.0	4.31	0.0	3.72	0.02	2.68	0.0	0.42	1.36	23.42	7.94	24.11	13.03	18.84	11.3	51.35	18.84	35.0	51.71	116.78	10.79	7.75	39.22
SLC44A4	73.54	23.93	81.71	3.59	1.39	0.0	34.26	9.93	126.12	78.89	4.78	3.86	11992.79	1498.22	0.0	16.27	0.0	10.39	29.48	47.17	4.43	14.78	9.78	6426.31	2178.83	7537.18	1923.14	6745.86	4181.07	9673.69	13872.08	11112.3	8022.41	11035.54	14262.1	808.0	2384.37
SLC6A20	0.0	40.64	73.03	0.96	1.04	0.79	42.71	2.03	50.98	4.86	2.48	0.0	241.19	44.57	0.0	0.91	0.69	1.91	12.45	6.16	9.06	5.28	0.71	190.34	113.56	55.89	39.5	293.07	69.52	392.44	22.59	206.94	15.8	177.53	285.03	24.63	74.06
SMIM6	21.32	0.62	7.82	0.0	0.0	0.0	5.11	0.0	28.24	19.97	0.53	0.3	1697.45	6.89	0.0	5.73	12.36	6.21	2.78	18.84	2.58	13.83	8.78	551.56	159.9	283.05	429.54	273.37	896.64	1008.9	325.29	264.03	647.07	244.57	1498.22	182.55	327.56
