	GTEX.WZTO.0426.SM.3NM99	GTEX.11WQC.0626.SM.5EQMF	GTEX.131XW.1126.SM.5EGK4	GTEX.117YW.0526.SM.5H11C	GTEX.13O3Q.0526.SM.5KM18	GTEX.N7MS.0926.SM.2HMIZ	GTEX.Q2AG.1026.SM.33HBW	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.ET.A25N.01A.11R.A16R.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYW4.1126.SM.5SI99	GTEX.WWYW.0826.SM.3NB2X	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.WHSE.0626.SM.4RGNF	GTEX.13O61.0226.SM.5KM52	GTEX.148VJ.0726.SM.5LU8J	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.139UW.0126.SM.5KM1B	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.YF7O.0726.SM.4W213	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.RTLS.0626.SM.5SI7Z	GTEX.13D11.0226.SM.5LZXL	GTEX.13OVI.0826.SM.5KLZ8	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.13O3P.0726.SM.5J2OM
ATP5H	3982.99	2796.65	3614.55	3874.05	3039.3	3395.89	2935.74	7433.4	5555.65	6426.31	6294.04	14971.21	10014.87	5112.16	8247.98	12244.81	9151.82	10014.87	7589.61	8963.45	6745.86	5329.3	5479.15	8840.04	6207.38	7749.1	11504.21	8191.0	4937.99	14065.74	3955.48	10733.74	11345.82	6935.54	6983.79	6079.61	7537.18	7966.99	8840.04	10733.74	11267.44	8658.09	12502.12	5255.91	19348.38	7857.29	10225.32	14361.31	17804.06	7180.15	8191.0	7081.29	13215.02	7180.15	15607.02	9540.5	9344.14	13306.94	13123.73	16045.82	5995.9	15180.22	5995.9	6294.04	9088.59	11189.6	9279.58	15075.35	9088.59	8718.32	10808.41	5913.33
ATP5J	2417.67	1529.73	2758.13	1551.09	1870.53	2303.12	2417.67	3690.52	3018.3	3419.52	4038.61	6935.54	5751.61	2777.33	5594.3	5831.91	4836.35	5594.3	3146.52	5594.3	3103.19	3280.18	2875.3	5041.77	3303.0	4328.55	6840.04	4152.18	2956.17	7081.29	1923.14	5366.37	5441.3	3372.43	3146.52	3168.41	4736.79	4419.52	4038.61	6121.9	6426.31	4239.45	6381.92	2855.44	9606.86	4607.24	4543.8	8421.31	8963.45	3820.7	4328.55	4038.61	6652.97	3515.68	8078.22	4903.87	5791.62	7081.29	6164.49	6607.01	2701.35	6561.36	3325.99	3874.05	4736.79	5555.65	4038.61	5555.65	3901.01	3955.48	5403.7	3081.75
ATP5O	3212.66	1359.57	2537.92	2997.45	1628.26	2047.0	2287.2	3847.29	3325.99	4239.45	4704.07	7382.04	7180.15	3168.41	5147.73	6250.56	5366.37	6471.02	3443.31	6079.61	3212.66	4607.24	3395.89	4769.75	3955.48	4010.71	6840.04	4869.99	3349.13	8598.28	2758.13	5479.15	5633.22	4388.98	4972.34	2835.7	5594.3	4836.35	4419.52	5995.9	6121.9	4607.24	7589.61	3372.43	10014.87	5041.77	5517.27	7280.4	11112.3	4239.45	4575.41	4671.57	7130.55	4066.71	7857.29	5255.91	5403.7	7857.29	6935.54	9673.69	3491.39	7081.29	4419.52	3901.01	4937.99	7331.05	5006.93	7857.29	6079.61	4903.87	5633.22	2816.11
BNIP1	165.57	193.01	98.04	122.64	320.8	186.4	348.71	205.5	180.02	204.07	277.2	329.84	301.33	242.88	336.79	420.68	395.18	260.38	251.48	323.03	275.28	218.79	211.31	361.04	281.09	287.01	438.59	371.22	249.73	575.03	218.79	293.07	432.53	191.67	231.32	249.73	228.13	297.17	392.44	532.74	351.14	387.02	397.93	191.67	361.04	368.65	381.68	540.19	438.59	287.01	353.59	329.84	417.77	384.34	507.46	361.04	376.41	480.04	339.14	486.75	167.9	480.04	273.37	165.57	281.09	392.44	323.03	343.89	291.04	291.04	327.56	164.42
BOLA3	214.27	139.07	175.07	273.37	169.07	262.2	214.27	559.28	423.61	595.34	656.11	1806.78	1183.45	503.95	988.12	941.27	921.88	1437.15	967.76	1417.35	511.0	193.01	669.92	928.3	660.68	854.13	1457.23	688.78	417.77	1685.71	493.56	1051.79	1167.14	928.3	860.08	713.11	1059.11	1191.69	921.88	1259.69	1135.2	764.36	1407.55	438.59	2224.63	842.36	1073.91	1819.35	1844.76	738.29	693.58	753.83	1242.34	860.08	1909.85	808.0	1088.92	1508.65	1015.93	2004.85	463.65	1088.92	536.45	563.18	759.08	928.3	848.22	1191.69	607.87	1008.9	1151.06	503.95
C14orf2	1628.26	1242.34	1745.2	2047.0	1286.18	1651.0	1457.23	3212.66	2502.97	3303.0	3325.99	6840.04	4903.87	2720.15	3540.14	5147.73	3742.05	5112.16	3928.15	5479.15	4152.18	4152.18	2468.49	4181.07	3257.52	3212.66	4802.93	3443.31	2468.49	6337.83	2997.45	4239.45	4239.45	4095.0	3901.01	3018.3	4512.4	4268.94	4095.0	4481.23	5329.3	4704.07	5441.3	2417.67	6516.03	3589.58	4512.4	6607.01	8134.41	3443.31	4038.61	3639.7	4607.24	2777.33	7230.1	3768.09	2520.38	6935.54	6607.01	6983.79	2591.27	4836.35	4639.29	3443.31	3639.7	4358.66	4512.4	6516.03	3443.31	4704.07	5147.73	3303.0
C15orf56	0.0	0.0	2.94	2.94	2.92	0.0	3.63	96.68	19.97	65.26	52.82	76.17	105.89	31.0	95.34	76.17	107.38	92.7	81.71	82.29	54.33	43.32	6.11	87.03	60.82	90.77	60.39	103.69	34.51	102.97	32.82	107.38	63.45	75.11	67.59	66.18	54.72	78.89	58.71	73.03	96.01	61.68	81.14	43.02	77.79	89.51	97.36	92.7	72.01	90.77	111.99	82.87	85.82	53.19	75.11	64.34	68.07	84.04	101.54	62.56	42.71	75.64	61.25	42.71	87.03	69.03	69.52	108.9	43.63	97.36	92.05	38.4
C16orf91	141.02	146.03	146.03	169.07	171.45	99.43	77.25	223.41	163.28	258.57	246.28	414.87	325.29	265.87	329.84	444.72	312.0	325.29	205.5	236.21	201.25	159.9	246.28	305.55	206.94	341.51	341.51	327.56	217.27	403.5	215.77	320.8	358.54	241.19	346.29	228.13	262.2	246.28	327.56	454.09	343.89	412.0	466.88	281.09	291.04	289.02	318.57	412.0	366.09	267.73	336.79	366.09	470.14	265.87	551.56	392.44	279.14	435.55	320.8	379.04	180.02	417.77	212.78	177.53	343.89	381.68	332.14	346.29	249.73	299.25	316.37	201.25
C1QBP	753.83	423.61	723.08	651.58	656.11	854.13	616.37	1639.59	1388.16	1259.69	1662.49	2384.37	1977.24	902.89	1832.01	2018.8	2090.03	1923.14	1340.84	2287.2	1340.84	1259.69	1388.16	2193.99	1208.34	1487.87	1977.24	2090.03	1167.14	3349.13	1088.92	1909.85	2335.28	1397.83	1540.37	1073.91	1277.29	1651.0	2032.85	2468.49	2047.0	1617.0	2645.74	1216.75	2271.4	1896.65	2537.92	2240.11	2701.35	1359.57	1662.49	1769.57	2287.2	1594.73	2777.33	2119.22	1991.0	2240.11	2119.22	2855.44	1066.48	2502.97	1359.57	1208.34	1605.83	2520.38	1757.34	1733.13	1331.57	1551.09	2047.0	1159.07
C21orf33	1001.93	525.39	974.5	1096.5	860.08	748.61	902.89	1769.57	1331.57	2047.0	2004.85	2855.44	2682.69	1359.57	2468.49	2739.08	2384.37	2682.69	1806.78	2303.12	1896.65	2047.0	1651.0	2061.24	2075.59	2645.74	2255.7	2520.38	1651.0	2417.67	1561.89	2417.67	2417.67	1697.45	2417.67	2119.22	2335.28	2319.15	2271.4	2537.92	2645.74	2163.77	2591.27	1721.16	2520.38	2104.58	2555.58	2682.69	2855.44	1977.24	2434.5	2485.67	2664.15	2061.24	2758.13	2178.83	2209.26	2537.92	2209.26	2701.35	2104.58	2816.11	1923.14	1781.89	2240.11	2591.27	2384.37	2367.9	1745.2	2720.15	2537.92	1781.89
CHCHD1	698.41	473.41	473.41	483.38	480.04	389.72	511.0	890.44	733.19	902.89	854.13	1697.45	1447.15	830.75	1159.07	1096.5	1151.06	1388.16	967.76	1487.87	813.63	629.35	1208.34	1111.82	928.3	1111.82	1529.73	995.0	791.35	1340.84	595.34	1208.34	1322.37	988.12	1059.11	961.07	1044.52	941.27	1331.57	1594.73	1540.37	1015.93	1417.35	825.0	1572.76	1135.2	1467.37	1832.01	1529.73	1037.29	1127.35	995.0	1508.65	1119.56	1923.14	1051.79	1233.75	1639.59	1378.57	1487.87	764.36	1819.35	802.41	981.29	1104.13	1286.18	1037.29	1407.55	1015.93	1250.98	1277.29	961.07
CISD3	599.49	289.02	447.82	420.68	384.34	521.76	316.37	1066.48	684.02	896.64	483.38	1769.57	1295.13	819.3	1331.57	1662.49	1519.15	1127.35	884.29	1322.37	934.76	567.1	738.29	1096.5	759.08	1437.15	1369.04	1250.98	490.14	1870.53	420.68	1662.49	1216.75	1151.06	1143.1	728.11	1159.07	1250.98	1397.83	1721.16	1397.83	1015.93	1721.16	830.75	2335.28	1073.91	1477.58	2434.5	1857.6	1088.92	1388.16	1111.82	2104.58	1030.12	2018.8	995.0	1151.06	2520.38	1477.58	2224.63	679.29	1709.26	780.44	808.0	1191.69	1295.13	1127.35	2287.2	1023.0	1369.04	1378.57	674.59
CKMT1B	0.84	1.85	13.62	36.27	9.93	9.13	4.86	221.86	63.45	142.01	114.36	114.36	325.29	163.28	307.69	543.96	285.03	57.08	215.77	99.43	198.47	43.63	44.25	316.37	121.79	327.56	743.43	363.56	81.71	1322.37	37.59	470.14	299.25	161.02	63.89	169.07	120.94	186.4	226.54	327.56	301.33	287.01	497.0	115.97	1467.37	607.87	172.65	728.11	460.44	547.75	457.25	339.14	674.59	194.36	819.3	356.05	1250.98	802.41	981.29	1277.29	57.49	381.68	112.77	89.51	316.37	995.0	305.55	279.14	90.77	202.66	265.87	35.5
CNPPD1	693.58	414.87	796.86	595.34	536.45	866.07	638.15	1540.37	819.3	1950.0	1447.15	1757.34	1639.59	1709.26	2451.44	3716.2	2720.15	2004.85	1529.73	1487.87	1594.73	1397.83	1313.23	2935.74	1781.89	1977.24	2271.4	2627.46	1407.55	3395.89	1529.73	2400.97	2434.5	1628.26	1685.71	1651.0	1259.69	1359.57	1923.14	1832.01	1806.78	2367.9	2777.33	1806.78	2875.3	2645.74	2384.37	2451.44	3303.0	1769.57	2520.38	2664.15	2303.12	1844.76	2148.82	2682.69	2319.15	2468.49	3124.78	2855.44	1477.58	2739.08	2133.97	1519.15	2090.03	2915.45	1832.01	1923.14	1388.16	1963.57	1709.26	1268.46
COMMD1	1340.84	595.34	629.35	1242.34	660.68	743.43	703.28	1143.1	1175.27	1250.98	1295.13	2148.82	2090.03	1208.34	1457.23	1685.71	1250.98	2193.99	1322.37	2255.7	1088.92	1183.45	1745.2	1242.34	1304.15	1583.71	1832.01	1437.15	1037.29	2148.82	854.13	1883.54	1378.57	1594.73	1378.57	1135.2	1883.54	1769.57	1457.23	1662.49	1991.0	1216.75	1651.0	1183.45	2434.5	1322.37	2047.0	2935.74	1651.0	1561.89	1037.29	1191.69	1950.0	1508.65	2047.0	1331.57	1397.83	2875.3	1923.14	1781.89	1066.48	1991.0	1023.0	1143.1	1250.98	1467.37	1551.09	2271.4	1199.98	1651.0	1757.34	802.41
COPE	1936.53	1457.23	1991.0	2758.13	2193.99	1583.71	1119.56	3820.7	2701.35	3039.3	2915.45	6121.9	4481.23	3257.52	4903.87	4802.93	5403.7	6294.04	3768.09	4481.23	4607.24	2835.7	3847.29	4607.24	3257.52	4388.98	6037.61	5041.77	3419.52	6745.86	2796.65	4937.99	5831.91	4239.45	5183.54	3303.0	5403.7	4704.07	4972.34	6983.79	5366.37	4239.45	5872.48	3794.3	7749.1	4972.34	6516.03	6294.04	7230.1	4123.49	4481.23	4736.79	6426.31	4869.99	6294.04	4358.66	5041.77	9088.59	5112.16	7081.29	3212.66	6037.61	3303.0	2351.53	4802.93	5183.54	4181.07	5633.22	3742.05	4736.79	5292.48	3103.19
COX10	89.51	50.98	62.56	68.55	65.72	82.29	69.52	139.07	115.97	211.31	202.66	264.03	214.27	53.57	211.31	187.71	209.84	251.48	242.88	251.48	82.87	99.43	146.03	153.34	118.43	185.11	199.85	202.66	166.73	244.57	74.58	212.78	181.28	185.11	139.07	154.42	159.9	206.94	228.13	267.73	208.38	161.02	244.57	157.68	262.2	173.85	211.31	220.32	253.23	193.01	181.28	171.45	197.09	218.79	242.88	212.78	187.71	187.71	237.86	232.94	162.14	253.23	92.7	175.07	226.54	242.88	228.13	172.65	164.42	161.02	237.86	153.34
COX5A	2384.37	1561.89	2032.85	2032.85	2061.24	1477.58	2417.67	3794.3	3146.52	3349.13	3168.41	6652.97	4869.99	2701.35	5041.77	6887.62	6381.92	4671.57	2573.36	4450.27	3540.14	2835.7	3325.99	5517.27	3443.31	4450.27	7331.05	5441.3	3515.68	10154.69	1950.0	5366.37	5872.48	3257.52	3467.27	2915.45	3564.78	3847.29	4123.49	5954.47	4481.23	5006.93	7130.55	3515.68	9344.14	4736.79	5517.27	9409.14	10368.08	3443.31	4450.27	4704.07	7749.1	3847.29	9344.14	5517.27	5791.62	8718.32	6652.97	9409.14	2627.46	8538.88	3419.52	3018.3	4836.35	7485.11	4038.61	6079.61	4704.07	3716.2	4769.75	2720.15
COX5B	2451.44	1015.93	2104.58	2485.67	1844.76	981.29	775.05	3372.43	2796.65	3901.01	2855.44	9540.5	6250.56	3955.48	6079.61	7130.55	7180.15	7749.1	4268.94	7537.18	4769.75	3874.05	3716.2	6164.49	4010.71	5441.3	7695.57	7230.1	3303.0	9673.69	2997.45	5751.61	7966.99	5292.48	5441.3	4123.49	6935.54	5954.47	4639.29	6887.62	5292.48	5255.91	9606.86	3639.7	15715.58	6792.79	5831.91	13215.02	11267.44	4869.99	5633.22	5041.77	9474.59	5329.3	10368.08	4298.64	5479.15	13681.08	9344.14	8901.53	3124.78	9673.69	4298.64	3039.3	5479.15	9808.75	5913.33	8421.31	4038.61	6294.04	6652.97	4038.61
COX8A	5329.3	3103.19	3589.58	5751.61	5555.65	3564.78	2816.11	9673.69	6471.02	8658.09	7911.95	22380.2	13033.07	8778.97	14361.31	17437.64	14867.79	20030.74	10154.69	14971.21	12502.12	7966.99	7911.95	13681.08	7331.05	13306.94	17197.56	15934.98	9025.81	21919.61	5112.16	13399.51	16269.83	10512.82	12502.12	8078.22	15075.35	14971.21	11992.79	17681.08	18560.17	11664.82	21026.65	9279.58	29327.18	13306.94	14361.31	24153.43	27174.14	10808.41	14461.21	10659.59	20737.16	11345.82	25005.23	11992.79	13123.73	22225.61	15392.14	22072.07	5791.62	21026.65	7966.99	6983.79	11827.67	17558.94	14663.09	16496.96	10659.59	12160.22	17437.64	7032.37
CYC1	896.64	612.11	934.76	921.88	884.29	878.17	543.96	1745.2	1350.18	1498.22	1487.87	3060.45	1991.0	1350.18	2609.3	2664.15	3103.19	2537.92	1427.22	2303.12	1794.29	1277.29	1529.73	2319.15	1250.98	2835.7	4152.18	3303.0	1331.57	4972.34	1175.27	2682.69	3124.78	2303.12	2178.83	1857.6	1991.0	2148.82	2367.9	3257.52	2627.46	2178.83	3564.78	1870.53	5292.48	2367.9	3325.99	3820.7	4704.07	1781.89	2451.44	2351.53	3443.31	1844.76	3955.48	2075.59	3443.31	4152.18	2976.74	13399.51	1519.15	3280.18	1639.59	1304.15	2090.03	3794.3	2271.4	3303.0	1963.57	2163.77	2468.49	1277.29
