	TCGA.EW.A1OY.01A.11R.A144.07	TCGA.A2.A0EP.01A.52R.A22U.07	TCGA.A2.A0T5.01A.21R.A084.07	TCGA.B6.A0IQ.01A.11R.A034.07	TCGA.BH.A0B9.01A.11R.A056.07	TCGA.E2.A15J.01A.11R.A12P.07	TCGA.B6.A0X0.01A.21R.A115.07	TCGA.BH.A0E0.01A.11R.A056.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.A8.A08H.01A.21R.A00Z.07	TCGA.AA.3675.01A.02R.0905.07	TCGA.AZ.6606.01A.11R.1839.07	TCGA.ZR.A9CJ.01B.11R.A38D.31	TCGA.D6.6827.01A.11R.1915.07	TCGA.2Z.A9JI.01A.11R.A42S.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZAB5.0426.SM.5CVMI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.R53T.0326.SM.48FEC	TCGA.86.8076.01A.31R.2241.07	TCGA.78.7162.01A.21R.2066.07	TCGA.55.6983.01A.11R.1949.07	TCGA.78.7158.01A.11R.2039.07	TCGA.37.A5EN.01A.21R.A26W.07	TCGA.AF.2693.01A.02R.1736.07	TCGA.E6.A2P9.01A.11R.A19W.07	TCGA.A5.AB3J.01A.11R.A40A.07
FBL	8305.36	5672.41	11827.67	18304.63	10733.74	6516.03	11664.82	14262.1	4736.79	6337.83	7695.57	8363.13	3716.2	10959.3	5913.33	2915.45	5329.3	2739.08	2895.31	2193.99	2997.45	2758.13	1651.0	1331.57	2875.3	1096.5	1794.29	2148.82	5366.37	3395.89	2935.74	3124.78	1628.26	2209.26	2163.77	2520.38	2434.5	1977.24	2224.63	1757.34	1674.06	4903.87	2193.99	1870.53	2104.58	1457.23	2271.4	3235.01	1991.0	6652.97	4481.23	5913.33	8078.22	7695.57	10225.32	8658.09	5872.48
FLVCR1	363.56	123.5	255.0	305.55	150.17	178.77	265.87	329.84	92.7	91.41	285.03	242.88	223.41	251.48	301.33	37.32	49.56	36.79	38.95	17.9	10.79	33.3	56.28	12.09	15.22	46.84	81.14	46.5	92.7	82.29	42.41	13.52	21.01	33.06	21.32	6.21	46.18	14.78	14.03	13.22	17.9	47.5	30.78	6.94	17.64	14.14	36.53	44.89	21.47	170.25	125.24	271.48	703.28	202.66	277.2	271.48	215.77
GGPS1	1088.92	872.1	2178.83	2090.03	1104.13	1991.0	2061.24	842.36	688.78	791.35	1369.04	1096.5	819.3	1104.13	547.75	348.71	336.79	432.53	215.77	483.38	242.88	457.25	336.79	409.15	181.28	329.84	198.47	423.61	271.48	403.5	135.24	379.04	277.2	358.54	204.07	183.82	242.88	241.19	279.14	220.32	334.46	312.0	256.78	190.34	312.0	414.87	339.14	483.38	228.13	1096.5	947.83	1127.35	1359.57	587.13	665.29	1697.45	1183.45
GLTSCR2	13492.72	13399.51	16843.62	7382.04	13681.08	15075.35	24153.43	18052.61	6652.97	9344.14	13872.08	11992.79	4512.4	20881.4	9215.48	6652.97	5403.7	3103.19	4095.0	2682.69	5076.84	2319.15	1923.14	3443.31	2976.74	4419.52	2720.15	4239.45	1991.0	5112.16	2485.67	4239.45	3847.29	4358.66	3103.19	3491.39	3103.19	4298.64	4481.23	3639.7	6250.56	3419.52	3820.7	5995.9	4298.64	2835.7	3564.78	4543.8	4210.15	13306.94	8538.88	11035.54	14971.21	4802.93	10296.45	14971.21	14561.8
GNB2L1	68318.04	50011.46	102125.66	52135.28	97965.44	93325.55	123144.13	53230.77	39510.91	55877.28	72715.74	59474.18	35363.15	121448.75	85876.94	28723.62	49666.0	19482.97	20881.4	20737.16	21768.19	21768.19	16843.62	11035.54	24660.96	16727.26	19348.38	19754.96	23820.89	21172.91	24153.43	27553.49	17078.76	27553.49	25005.23	28525.2	26431.04	13586.57	22072.07	18052.61	22072.07	34158.52	19214.73	24321.43	22380.2	11745.96	29943.43	22535.88	27938.14	73730.83	50011.46	62865.33	100023.92	30999.42	56265.94	86474.27	63742.91
GNPAT	921.88	769.69	1709.26	1340.84	713.11	1417.35	1437.15	1259.69	693.58	872.1	1745.2	1143.1	764.36	1059.11	1059.11	392.44	381.68	457.25	547.75	409.15	450.94	785.88	441.64	624.99	493.56	595.34	264.03	441.64	395.18	316.37	253.23	642.59	429.54	518.15	358.54	406.31	414.87	351.14	444.72	432.53	351.14	332.14	432.53	265.87	503.95	536.45	438.59	363.56	708.18	1340.84	934.76	896.64	1183.45	1104.13	684.02	1639.59	1059.11
GPATCH2	198.47	232.94	329.84	361.04	142.01	329.84	258.57	137.14	171.45	122.64	214.27	191.67	277.2	316.37	204.07	97.36	68.55	35.25	64.8	45.21	22.59	102.25	48.87	72.52	46.84	40.36	38.4	29.27	40.64	69.52	56.68	41.22	40.36	49.56	63.45	42.71	44.57	63.89	31.45	31.0	27.05	46.5	50.27	21.63	39.22	33.3	35.76	20.41	38.67	157.68	115.97	182.55	291.04	287.01	206.94	312.0	232.94
HNRNPA1	32092.64	26986.43	51775.15	53973.86	51775.15	42937.97	53601.03	32767.0	27174.14	32994.92	35856.82	30785.28	23986.58	68318.04	35363.15	12764.83	26431.04	6983.79	7966.99	8305.36	7749.1	13123.73	7749.1	5479.15	12943.04	4671.57	6471.02	6471.02	13033.07	7081.29	15285.81	7032.37	5672.41	10585.95	11189.6	8022.41	15499.21	6471.02	4836.35	5872.48	9088.59	14461.21	9876.98	5112.16	7433.4	4066.71	8479.89	3540.14	4388.98	32540.65	25005.23	27363.16	45701.96	36610.26	29736.59	46662.28	38697.77
HP	0.8	624.99	3.44	113.56	34.02	6.11	0.0	0.0	1.73	67.59	27.64	4.1	21.63	37.85	229.72	6183532.28	5972898.43	9635979.21	1.307221145E7	6490957.04	7560235.84	1.202888747E7	3.671840259E7	1.219680449E7	6536105.23	1.654623811E7	8744835.62	3.174442598E7	6719860.18	1.410789979E7	1.533154663E7	8990686.44	1.785716745E7	1.430483875E7	1.598261246E7	3.066309426E7	1.501602794E7	1.169995688E7	1.325469274E7	8159220.07	6226542.15	1.512047268E7	9307742.35	2.614442391E7	9179599.9	1.381756339E7	1.025624901E7	9053221.62	9838451.64	27745.15	3564.78	27553.49	1175.27	20.41	6.36	11.38	5913.33
KDM5B	842.36	400.71	1388.16	1594.73	1250.98	1208.34	1407.55	1397.83	629.35	397.93	607.87	620.67	435.55	1467.37	371.22	236.21	130.6	68.07	57.08	104.42	58.3	206.94	88.26	98.04	35.5	122.64	63.45	105.15	293.07	105.15	48.18	72.01	140.04	107.38	59.55	44.57	54.72	67.12	100.13	113.56	150.17	44.57	61.68	40.07	99.43	115.16	52.82	190.34	128.79	1183.45	612.11	825.0	1175.27	567.1	529.06	1662.49	743.43
KLHL12	624.99	447.82	1096.5	660.68	703.28	974.5	796.86	277.2	312.0	483.38	713.11	555.41	353.59	698.41	591.22	246.28	220.32	169.07	181.28	153.34	171.45	283.05	158.79	249.73	171.45	229.72	237.86	214.27	116.78	186.4	172.65	228.13	198.47	183.82	187.71	163.28	194.36	177.53	242.88	246.28	194.36	248.0	273.37	75.64	167.9	221.86	185.11	127.0	287.01	567.1	559.28	547.75	728.11	563.18	414.87	703.28	848.22
NACA	59887.86	45386.27	102125.66	67377.47	92680.9	68318.04	102125.66	60304.42	29736.59	46986.85	61571.56	42937.97	40621.74	73730.83	75803.72	24660.96	35609.13	21617.82	23330.64	19214.73	18431.96	29943.43	18304.63	16611.71	21768.19	23169.48	17197.56	21919.61	19754.96	29943.43	21919.61	23330.64	18819.27	22380.2	21468.49	24321.43	23656.34	22225.61	20737.16	20170.07	21468.49	31215.04	18431.96	21468.49	23656.34	16383.0	27174.14	21320.18	22850.48	53973.86	38697.77	42054.3	75280.1	59063.35	46662.28	71219.26	58250.19
NME1-NME2	63302.6	14867.79	32767.0	26800.01	23986.58	25530.66	32767.0	18431.96	17927.91	23330.64	29124.6	18950.18	20310.37	25005.23	58250.19	6121.9	14765.09	8718.32	11345.82	8421.31	4736.79	7032.37	8247.98	6607.01	13033.07	4802.93	11345.82	4869.99	11424.74	10440.2	11827.67	8963.45	4152.18	9876.98	9740.98	10225.32	10808.41	9151.82	8479.89	4152.18	4095.0	13872.08	14163.58	5791.62	11504.21	6079.61	11267.44	10585.95	7485.11	25708.25	18560.17	19348.38	28923.41	29736.59	21919.61	23492.92	18178.19
PAXIP1	271.48	177.53	214.27	223.41	275.28	253.23	229.72	307.69	136.19	149.12	164.42	212.78	191.67	381.68	189.02	90.14	86.43	97.36	59.55	44.89	62.12	111.99	48.52	96.68	51.71	115.16	105.15	108.14	72.52	52.45	56.68	119.26	92.05	78.89	82.29	63.89	60.82	41.52	81.14	77.25	100.83	69.52	62.12	22.26	49.21	101.54	69.03	101.54	89.51	172.65	151.22	167.9	241.19	305.55	279.14	260.38	223.41
RABIF	289.02	217.27	348.71	305.55	373.81	316.37	470.14	251.48	209.84	229.72	285.03	251.48	232.94	262.2	182.55	146.03	133.36	162.14	153.34	115.16	115.16	127.0	156.59	140.04	139.07	139.07	148.09	176.29	141.02	153.34	87.65	140.04	131.51	134.3	131.51	105.15	129.69	124.37	135.24	152.28	100.83	116.78	67.59	82.29	141.02	166.73	132.44	164.42	157.68	303.44	253.23	361.04	251.48	198.47	185.11	343.89	307.69
RBBP5	267.73	181.28	450.94	343.89	457.25	412.0	414.87	256.78	201.25	197.09	281.09	273.37	175.07	384.34	185.11	117.6	220.32	143.01	99.43	175.07	112.77	246.28	214.27	161.02	127.89	173.85	83.45	221.86	72.52	110.43	117.6	101.54	153.34	144.01	132.44	162.14	142.01	80.01	143.01	190.34	104.42	229.72	97.36	70.51	74.58	98.04	175.07	69.03	194.36	275.28	246.28	249.73	327.56	218.79	176.29	353.59	295.11
RNF187	9876.98	5147.73	10154.69	15180.22	5594.3	9088.59	10014.87	7803.01	5711.87	5147.73	8191.0	5183.54	4210.15	8022.41	7642.41	2895.31	8134.41	2627.46	2701.35	1870.53	3325.99	2739.08	1757.34	2468.49	2997.45	3060.45	5076.84	2193.99	2976.74	7433.4	2935.74	4937.99	2090.03	3303.0	4736.79	2451.44	2178.83	3589.58	2796.65	3325.99	2163.77	2061.24	3874.05	3280.18	1870.53	3928.15	7642.41	2664.15	4836.35	5913.33	5633.22	7485.11	6294.04	9740.98	3349.13	8363.13	7130.55
RPL10	168220.2	125731.67	155870.75	160252.91	197294.7	144427.91	194578.47	146444.06	100023.92	101420.22	170568.48	118949.35	67846.12	141455.6	118949.35	59887.86	93325.55	52497.92	45701.96	41475.31	46339.95	50359.33	29124.6	26067.14	32767.0	32767.0	36106.23	39510.91	57051.4	48643.87	48307.85	43537.38	34396.12	42937.97	36610.26	58655.36	45386.27	29736.59	44452.21	38966.94	33688.23	59887.86	59063.35	39237.98	43537.38	25005.23	41475.31	35609.13	46019.85	131982.68	100023.92	136637.07	140478.49	81809.59	143430.26	158046.64	132900.7
RPL10A	48643.87	42054.3	86474.27	54349.29	87075.75	82378.63	89523.81	50011.46	32092.64	41475.31	86474.27	44145.15	37379.55	83528.61	30785.28	17927.91	42346.82	14163.58	22692.63	13776.25	11504.21	18689.27	13776.25	11664.82	17558.94	11909.94	17927.91	10808.41	19348.38	15499.21	24660.96	12943.04	8305.36	21468.49	18560.17	20737.16	16960.78	11112.3	18950.18	11112.3	11035.54	25530.66	21919.61	16496.96	21026.65	8840.04	19892.37	15934.98	13215.02	65082.31	46339.95	45701.96	100023.92	32092.64	53973.86	67377.47	60304.42
RPL11	69753.56	71714.63	108699.57	100719.65	88291.3	96616.71	105727.15	98646.85	50359.33	64186.29	64186.29	62431.08	37121.34	134755.94	57448.23	46339.95	45386.27	32540.65	48982.22	29327.18	32540.65	30361.44	27553.49	23330.64	38430.46	29943.43	31432.17	26986.43	28723.62	37379.55	37121.34	38966.94	23656.34	35609.13	35856.82	41188.81	30151.71	18819.27	41475.31	28328.16	29327.18	43537.38	42054.3	35363.15	42641.37	21172.91	33224.42	38430.46	27938.14	102125.66	63302.6	58655.36	90146.51	42937.97	42641.37	86474.27	87075.75
RPL12	76330.98	67377.47	135693.24	110983.6	85876.94	135693.24	131982.68	92680.9	53601.03	61999.83	154794.07	70727.3	62431.08	97965.44	62431.08	34876.28	76861.91	21768.19	31870.96	20310.37	15285.81	20451.65	20170.07	13872.08	30785.28	19892.37	20593.91	20451.65	26986.43	26067.14	32994.92	20030.74	18052.61	29327.18	31215.04	31432.17	28525.2	18689.27	23986.58	17804.06	22225.61	42054.3	27174.14	23986.58	36864.92	15824.9	36106.23	28328.16	21617.82	137587.47	61146.25	72715.74	152662.96	84694.64	71219.26	100023.92	96616.71
RPL13A	126606.21	119776.72	145432.49	179048.63	133825.1	124000.67	171754.88	168220.2	95949.32	76861.91	159145.95	123144.13	55877.28	185362.8	83528.61	47313.67	71219.26	25179.16	48643.87	21468.49	28328.16	19082.0	22072.07	19618.49	32540.65	27174.14	40341.14	20310.37	36864.92	45386.27	47313.67	33455.53	22535.88	35609.13	33688.23	46986.85	26614.89	37121.34	39785.74	23820.89	24321.43	43537.38	56657.31	45701.96	38164.99	18819.27	37901.36	43537.38	23330.64	146444.06	68793.23	113315.62	150561.19	65535.0	116501.39	141455.6	114103.8
RPL14	72715.74	33922.56	64632.75	44452.21	46662.28	63302.6	63742.91	44761.41	23169.48	32767.0	55877.28	35363.15	27174.14	43537.38	30361.44	18052.61	27363.16	11504.21	15499.21	13033.07	10225.32	16611.71	12329.98	10808.41	17078.76	15285.81	12853.63	11189.6	21026.65	16960.78	20593.91	16269.83	10512.82	17317.18	13399.51	17681.08	16269.83	12943.04	22380.2	12589.08	15285.81	28923.41	19482.97	15180.22	16157.44	9088.59	19618.49	16843.62	16611.71	51417.5	36357.37	26431.04	64632.75	20030.74	46662.28	57448.23	50011.46
RPL15	78476.96	46019.85	70727.3	37379.55	53601.03	58250.19	68318.04	56265.94	37639.55	43537.38	81244.48	35609.13	32540.65	71219.26	30785.28	25887.07	40062.48	22225.61	23986.58	18560.17	18950.18	21026.65	16383.0	15715.58	22072.07	16727.26	18431.96	16157.44	22692.63	21768.19	18689.27	21172.91	15075.35	19618.49	20451.65	20737.16	17804.06	16843.62	18819.27	15607.02	15607.02	24660.96	21617.82	15499.21	25354.3	12853.63	21768.19	22072.07	22380.2	58250.19	41475.31	39237.98	65990.84	32315.87	48307.85	65535.0	68793.23
RPL17	55107.99	53973.86	87075.75	90773.53	89523.81	71714.63	75803.72	135693.24	54349.29	51062.33	68318.04	61146.25	48307.85	88905.42	51062.33	24490.61	40062.48	15285.81	22850.48	14065.74	13033.07	17437.64	15075.35	11345.82	17078.76	16960.78	16727.26	11584.24	18689.27	27938.14	20451.65	15392.14	14971.21	18431.96	15075.35	17437.64	16269.83	18304.63	16843.62	10959.3	12502.12	24321.43	27745.15	16157.44	17558.94	9474.59	16496.96	19482.97	14262.1	84694.64	42054.3	53230.77	87681.42	59887.86	40062.48	67846.12	78476.96
RPL18	95286.54	66449.85	91404.92	62431.08	75803.72	76861.91	102125.66	156954.93	40621.74	43236.64	80125.95	68318.04	36357.37	92680.9	40062.48	25005.23	30572.63	17804.06	21320.18	16383.0	20881.4	13033.07	12244.81	14262.1	18689.27	15180.22	20170.07	16383.0	15824.9	20737.16	19082.0	22380.2	13306.94	16960.78	17317.18	18304.63	17197.56	22380.2	15715.58	14461.21	14663.09	21026.65	22535.88	23330.64	21468.49	13968.57	18560.17	22692.63	17558.94	71714.63	38164.99	62431.08	95949.32	41475.31	73730.83	91404.92	97965.44
RPL18A	95949.32	70727.3	98646.85	102125.66	207103.59	75280.1	90146.51	62865.33	52135.28	44452.21	118949.35	71219.26	43840.21	135693.24	79572.48	31432.17	62865.33	23330.64	34876.28	19754.96	17437.64	13968.57	17437.64	12244.81	28328.16	16269.83	25005.23	16843.62	25708.25	24660.96	27363.16	25005.23	11664.82	30151.71	24832.5	30999.42	22692.63	13033.07	21026.65	12160.22	14561.8	33455.53	26986.43	14765.09	30361.44	13033.07	28723.62	37379.55	19618.49	97965.44	46662.28	61999.83	95286.54	208544.12	68793.23	72213.45	66449.85
RPL19	104271.56	64632.75	100023.92	69753.56	72715.74	88291.3	96616.71	70727.3	55491.3	62431.08	79572.48	61146.25	58655.36	122293.5	151608.43	40904.3	68318.04	33224.42	49322.93	30151.71	29736.59	27745.15	29327.18	20170.07	41475.31	29124.6	30999.42	26986.43	34876.28	37379.55	40341.14	32540.65	22850.48	40341.14	35363.15	43840.21	33688.23	28525.2	32540.65	26067.14	27553.49	47642.77	36357.37	29943.43	41188.81	22692.63	41188.81	41188.81	32767.0	92040.7	62431.08	61571.56	92680.9	79022.82	80125.95	89523.81	100023.92
RPL22	19082.0	20030.74	25530.66	23492.92	50709.61	24490.61	26431.04	42054.3	12764.83	16960.78	28723.62	19618.49	17437.64	25179.16	17558.94	13399.51	17558.94	10084.54	10883.59	9409.14	8901.53	12244.81	10296.45	7537.18	10368.08	10883.59	6840.04	9474.59	9740.98	13123.73	9808.75	10084.54	7911.95	11664.82	10084.54	13586.57	10440.2	6840.04	13872.08	10225.32	8538.88	16157.44	11745.96	7857.29	9606.86	7803.01	9876.98	9876.98	10368.08	24153.43	13123.73	14765.09	22072.07	13776.25	14561.8	13872.08	18689.27
RPL23	88291.3	54349.29	87075.75	57847.82	61146.25	75280.1	81244.48	73221.53	45072.75	55491.3	70727.3	53230.77	45701.96	90146.51	128373.58	30785.28	55491.3	21617.82	30572.63	19214.73	20737.16	22692.63	19618.49	14262.1	26248.46	18431.96	20881.4	21617.82	25005.23	37379.55	29124.6	25005.23	16960.78	25005.23	25005.23	28723.62	22692.63	16269.83	27553.49	16727.26	19348.38	34396.12	33688.23	16611.71	29531.18	13776.25	25005.23	24490.61	24321.43	71714.63	57448.23	55877.28	73221.53	66912.05	57448.23	61999.83	66912.05
RPL23A	102125.66	46019.85	71714.63	46986.85	61999.83	92040.7	87681.42	68318.04	36106.23	44145.15	91404.92	50359.33	40062.48	93325.55	63302.6	30572.63	55877.28	26986.43	30151.71	19482.97	16843.62	26067.14	24490.61	12943.04	27363.16	23820.89	21320.18	18950.18	27745.15	27174.14	27553.49	24321.43	17437.64	29531.18	26431.04	34396.12	25005.23	13586.57	28723.62	18178.19	19618.49	39785.74	22535.88	15392.14	23820.89	13586.57	30999.42	30785.28	25354.3	72213.45	40062.48	50709.61	72715.74	43537.38	67846.12	59474.18	64632.75
RPL24	50011.46	40341.14	69753.56	76861.91	86474.27	58250.19	60304.42	64186.29	29736.59	34158.52	68318.04	42346.82	36610.26	59887.86	64186.29	23656.34	34876.28	20310.37	22225.61	19892.37	17804.06	20737.16	15824.9	13968.57	18689.27	16045.82	17078.76	16383.0	18819.27	23820.89	23009.42	18052.61	15499.21	16383.0	14361.31	21617.82	18950.18	20310.37	16496.96	15392.14	15180.22	25179.16	25708.25	18950.18	18304.63	14461.21	18819.27	16496.96	18304.63	55491.3	45701.96	35363.15	68793.23	70727.3	47974.16	66449.85	58250.19
