	GTEX.13G51.2126.SM.5IJD9	GTEX.YJ8O.1426.SM.5PNV9	GTEX.139TS.2226.SM.5J2N1	GTEX.131YS.2926.SM.5EGKI	GTEX.ZPU1.1726.SM.4WWFV	GTEX.ZYFG.1826.SM.5GZWX	GTEX.Y8LW.1226.SM.4WWDP	GTEX.R55G.1226.SM.48FDC	GTEX.1212Z.1826.SM.5FQSH	GTEX.14E6E.1726.SM.5S2R6	GTEX.11ZTT.1626.SM.5EQKR	GTEX.117XS.2226.SM.5GIE1	GTEX.ZTSS.1226.SM.51MSZ	GTEX.ZP4G.1526.SM.57WE5	GTEX.13CF2.1826.SM.5N9GK	GTEX.OXRL.1426.SM.3NM9E	GTEX.11P81.1426.SM.5P9JN	GTEX.WHPG.1626.SM.4M1ZL	GTEX.X15G.1526.SM.4PQZM	GTEX.YECK.2826.SM.5IFHF	GTEX.13O21.2426.SM.5MR4A	GTEX.147JS.2626.SM.5S2UX	GTEX.11P7K.1826.SM.5HL5A	GTEX.1399R.2126.SM.5K7WZ	GTEX.1399U.2226.SM.5KLZI	GTEX.11EMC.1426.SM.5N9E4	GTEX.11ZVC.2126.SM.5EGJ1	GTEX.11GS4.1826.SM.5HL4T	GTEX.13OW6.2226.SM.5N9FL	GTEX.139UW.2326.SM.5KM1Y	GTEX.ZT9W.1726.SM.51MS3	GTEX.ZVT2.1726.SM.51MRO	GTEX.11GSP.1626.SM.5986N	GTEX.12ZZX.2726.SM.5N9FT	GTEX.ZDTS.2726.SM.5L3E2	GTEX.132NY.2726.SM.5PNY2	GTEX.ZPCL.1626.SM.57WGC	GTEX.12WSJ.0826.SM.5PNWV	GTEX.YJ8O.0326.SM.5RQJW	GTEX.Y111.1826.SM.4SOIR	GTEX.13OVL.2726.SM.5J2MP	GTEX.Y111.1726.SM.4SOIQ	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.RNOR.1326.SM.48FDE	GTEX.T6MN.1526.SM.4DM5P	GTEX.13QJ3.1826.SM.5S2PT	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.WZTO.1526.SM.4PQYQ	TCGA.AK.3447.01A.01R.1766.07	GTEX.V1D1.1926.SM.4JBGX	GTEX.Y9LG.1826.SM.4VBQC	GTEX.11TUW.2126.SM.5GU7B	GTEX.13CF2.2426.SM.5LZYL	GTEX.QXCU.1926.SM.48FE4	GTEX.R55G.1626.SM.48FF4
CCDC88A	253.23	332.14	146.03	202.66	108.9	171.45	146.03	40.07	231.32	163.28	279.14	307.69	194.36	264.03	237.86	205.5	113.56	251.48	144.01	221.86	23.59	183.82	175.07	191.67	80.57	169.07	251.48	251.48	202.66	161.02	158.79	218.79	195.72	220.32	182.55	155.5	177.53	108.14	297.17	346.29	327.56	323.03	343.89	387.02	400.71	406.31	283.05	273.37	336.79	392.44	6.31	39.22	74.06	52.08	149.12	100.83	348.71
CCP110	136.19	175.07	139.07	128.79	123.5	151.22	148.09	90.77	181.28	157.68	148.09	137.14	118.43	124.37	128.79	148.09	113.56	149.12	114.36	140.04	80.57	144.01	161.02	143.01	80.01	153.34	161.02	172.65	178.77	133.36	115.16	135.24	181.28	162.14	76.71	141.02	105.15	63.45	173.85	273.37	175.07	218.79	265.87	220.32	301.33	193.01	198.47	191.67	220.32	211.31	18.56	119.26	164.42	291.04	81.14	95.34	68.55
CDK18	514.56	728.11	813.63	579.04	511.0	220.32	332.14	559.28	607.87	271.48	137.14	679.29	201.25	242.88	656.11	229.72	406.31	371.22	743.43	684.02	764.36	629.35	236.21	368.65	172.65	529.06	470.14	463.65	780.44	155.5	189.02	127.89	511.0	633.73	171.45	599.49	384.34	279.14	723.08	1044.52	543.96	954.43	651.58	693.58	603.67	842.36	884.29	423.61	723.08	583.07	51.35	281.09	87.03	139.07	142.01	503.95	102.97
CEP128	49.91	50.63	48.87	54.72	31.67	54.33	23.76	21.63	55.89	32.59	30.34	38.67	32.13	35.5	45.21	31.9	37.05	42.11	26.86	38.12	28.45	42.11	28.65	37.32	24.28	67.59	57.08	55.49	60.39	33.54	28.65	28.65	59.97	47.84	33.78	31.45	24.63	14.78	33.3	37.32	74.58	71.5	92.7	35.25	67.12	96.68	34.75	50.63	52.08	77.25	10.31	24.11	29.06	18.43	52.08	30.78	45.85
CEP44	236.21	281.09	161.02	208.38	147.06	275.28	221.86	136.19	239.52	253.23	178.77	187.71	146.03	195.72	348.71	223.41	140.04	211.31	246.28	191.67	170.25	231.32	181.28	181.28	118.43	185.11	249.73	208.38	251.48	244.57	175.07	180.02	264.03	236.21	103.69	194.36	163.28	88.26	279.14	248.0	289.02	204.07	384.34	381.68	361.04	201.25	241.19	258.57	279.14	258.57	97.36	157.68	185.11	96.68	115.16	56.28	80.01
CFLAR	1175.27	1651.0	1639.59	1662.49	1388.16	1529.73	1175.27	872.1	1819.35	1651.0	1135.2	1304.15	988.12	1268.46	1950.0	1447.15	947.83	1191.69	1651.0	2209.26	775.05	1857.6	1277.29	1250.98	848.22	2537.92	1757.34	1639.59	2209.26	2004.85	872.1	974.5	1832.01	1628.26	1175.27	1322.37	647.07	1369.04	1870.53	2739.08	2224.63	2875.3	3039.3	3589.58	3614.55	2537.92	3081.75	3325.99	3124.78	3212.66	334.46	571.05	995.0	921.88	1757.34	1806.78	441.64
CKB	142439.51	124863.17	130165.62	114897.47	129266.49	115696.65	109455.64	277089.94	138544.47	100719.65	117311.73	156954.93	67846.12	115696.65	248002.34	125731.67	129266.49	150561.19	144427.91	107948.72	267651.2	140478.49	91404.92	118127.7	90773.53	118127.7	112532.89	136637.07	126606.21	133825.1	103551.29	102836.01	181548.07	148488.36	107948.72	109455.64	88905.42	79022.82	95286.54	74243.68	101420.22	88291.3	85283.74	91404.92	71714.63	85283.74	72213.45	80125.95	66912.05	62865.33	64186.29	125731.67	187950.38	130165.62	171754.88	154794.07	89523.81
COPS7B	743.43	1088.92	1104.13	902.89	842.36	679.29	514.56	457.25	902.89	500.46	656.11	928.3	493.56	684.02	1096.5	688.78	616.37	718.08	902.89	915.51	579.04	961.07	583.07	651.58	463.65	1143.1	780.44	825.0	947.83	679.29	647.07	579.04	941.27	981.29	511.0	825.0	591.22	642.59	1183.45	1551.09	1268.46	1417.35	1340.84	1551.09	1378.57	1191.69	1313.23	1304.15	1467.37	1540.37	177.53	769.69	629.35	571.05	429.54	412.0	511.0
CORO7	403.5	674.59	764.36	651.58	591.22	450.94	361.04	514.56	607.87	325.29	409.15	521.76	271.48	486.75	791.35	417.77	275.28	395.18	607.87	738.29	684.02	679.29	341.51	295.11	291.04	791.35	669.92	703.28	708.18	738.29	356.05	336.79	813.63	583.07	309.83	651.58	334.46	423.61	743.43	1081.39	842.36	1030.12	934.76	1008.9	947.83	780.44	693.58	921.88	1066.48	1008.9	170.25	182.55	231.32	325.29	214.27	819.3	165.57
DENND3	371.22	748.61	1059.11	708.18	878.17	954.43	518.15	351.14	967.76	603.67	473.41	629.35	332.14	684.02	884.29	629.35	540.19	616.37	961.07	708.18	301.33	1135.2	503.95	460.44	341.51	1073.91	738.29	674.59	1088.92	1674.06	457.25	579.04	1044.52	587.13	463.65	703.28	432.53	358.54	890.44	928.3	995.0	954.43	830.75	819.3	1088.92	872.1	1216.75	928.3	1191.69	1023.0	37.32	157.68	406.31	146.03	50.98	476.71	115.16
DHX35	351.14	366.09	532.74	457.25	281.09	303.44	175.07	161.02	441.64	361.04	271.48	409.15	234.57	314.17	454.09	204.07	221.86	291.04	444.72	409.15	146.03	412.0	283.05	287.01	204.07	808.0	323.03	403.5	414.87	603.67	279.14	309.83	599.49	490.14	363.56	351.14	258.57	327.56	511.0	785.88	1088.92	860.08	796.86	1096.5	591.22	796.86	860.08	1127.35	884.29	607.87	40.64	108.9	144.01	114.36	204.07	186.4	122.64
DIP2A	366.09	547.75	591.22	432.53	293.07	303.44	253.23	507.46	536.45	327.56	299.25	536.45	221.86	271.48	529.06	291.04	291.04	346.29	403.5	423.61	563.18	665.29	223.41	325.29	169.07	493.56	483.38	432.53	629.35	316.37	229.72	189.02	612.11	480.04	211.31	387.02	212.78	145.02	780.44	915.51	836.53	902.89	967.76	1127.35	890.44	836.53	988.12	802.41	915.51	1183.45	61.68	463.65	420.68	285.03	194.36	242.88	215.77
DKFZP667F0711	6.06	10.31	9.7	6.78	8.99	3.66	2.12	1.83	10.88	2.63	3.96	7.22	4.24	2.41	6.11	6.62	5.73	5.96	3.08	7.94	1.43	9.13	0.25	5.45	3.41	8.45	4.39	3.23	16.39	6.11	8.65	2.25	6.26	11.82	1.75	4.03	2.97	1.85	17.51	16.88	28.04	20.56	29.06	21.78	16.15	22.92	19.97	12.27	17.9	9.93	0.0	4.24	3.35	5.19	0.83	3.92	5.96
DMTF1	669.92	1175.27	802.41	1015.93	665.29	819.3	669.92	703.28	1304.15	620.67	728.11	1001.93	447.82	688.78	1111.82	738.29	395.18	713.11	928.3	1081.39	624.99	1023.0	529.06	532.74	208.38	967.76	1119.56	878.17	1250.98	743.43	620.67	656.11	1119.56	1001.93	373.81	698.41	460.44	255.0	1950.0	2255.7	2090.03	1936.53	2287.2	2720.15	2701.35	1883.54	2224.63	1977.24	3060.45	2240.11	75.11	351.14	518.15	327.56	260.38	371.22	409.15
EHBP1L1	2178.83	3589.58	4802.93	3443.31	2417.67	1909.85	2047.0	921.88	3168.41	1819.35	2573.36	3491.39	1844.76	2133.97	3794.3	1844.76	1697.45	2090.03	3303.0	3419.52	651.58	3540.14	1628.26	2133.97	1369.04	3928.15	2935.74	2777.33	3540.14	2796.65	1870.53	2555.58	4123.49	2855.44	2485.67	2682.69	1529.73	1322.37	6250.56	7130.55	7911.95	8658.09	6426.31	8305.36	8305.36	6516.03	7032.37	8901.53	7032.37	7911.95	15.8	429.54	483.38	563.18	3419.52	1617.0	1340.84
EXOSC10	967.76	1277.29	1295.13	1088.92	753.83	921.88	679.29	713.11	1259.69	656.11	866.07	1008.9	669.92	921.88	1331.57	909.17	896.64	819.3	1104.13	1259.69	1030.12	1096.5	848.22	733.19	642.59	1233.75	1066.48	1051.79	1572.76	866.07	753.83	954.43	1001.93	1159.07	674.59	928.3	665.29	473.41	1313.23	1628.26	1340.84	1709.26	1583.71	1896.65	1572.76	1268.46	1896.65	1350.18	1628.26	1359.57	134.3	796.86	921.88	679.29	769.69	981.29	647.07
FAM27E3	62.56	73.03	77.25	63.89	18.16	22.75	16.63	26.86	83.45	21.32	10.79	57.08	18.97	22.75	109.66	22.92	36.27	7.34	79.45	61.25	55.1	58.3	8.45	32.82	13.22	58.71	65.26	85.82	69.03	51.71	17.9	7.46	58.71	81.71	30.12	73.03	20.56	41.52	92.05	166.73	131.51	204.07	95.34	149.12	138.1	98.04	147.06	148.09	125.24	147.06	69.03	27.05	36.27	16.03	19.25	6.94	8.38
FAM73B	599.49	656.11	813.63	638.15	514.56	575.03	642.59	1059.11	629.35	518.15	591.22	796.86	269.6	525.39	896.64	684.02	403.5	532.74	947.83	647.07	1044.52	866.07	409.15	473.41	397.93	836.53	529.06	595.34	830.75	679.29	318.57	339.14	819.3	595.34	403.5	575.03	470.14	299.25	1066.48	1183.45	1008.9	1151.06	878.17	1143.1	1135.2	995.0	954.43	1111.82	921.88	1242.34	76.17	651.58	376.41	551.56	540.19	785.88	231.32
FCHSD1	267.73	341.51	490.14	320.8	309.83	185.11	175.07	239.52	348.71	131.51	117.6	368.65	68.07	318.57	371.22	165.57	185.11	241.19	507.46	476.71	251.48	356.05	149.12	327.56	101.54	432.53	363.56	264.03	567.1	189.02	120.1	117.6	412.0	255.0	170.25	444.72	102.97	115.97	775.05	708.18	529.06	595.34	728.11	796.86	954.43	476.71	764.36	480.04	947.83	738.29	18.7	206.94	187.71	111.99	120.94	153.34	140.04
FLCN	679.29	723.08	1066.48	1167.14	1151.06	738.29	738.29	571.05	620.67	941.27	575.03	902.89	493.56	848.22	1498.22	884.29	466.88	567.1	1685.71	669.92	371.22	1225.22	289.02	902.89	511.0	1023.0	507.46	567.1	1651.0	1322.37	830.75	591.22	612.11	656.11	575.03	1331.57	638.15	376.41	1096.5	2209.26	775.05	2351.53	1832.01	1991.0	2104.58	1757.34	954.43	2555.58	1081.39	1950.0	65.72	376.41	567.1	248.0	441.64	438.59	373.81
FLJ00104	26.1	60.82	62.12	80.57	41.81	29.7	16.75	38.95	60.39	21.16	25.17	43.94	14.24	31.0	61.68	26.86	27.44	28.86	62.12	54.33	74.06	83.45	14.89	22.75	14.78	101.54	53.57	34.26	67.59	36.01	17.25	22.1	49.91	43.94	18.97	43.02	14.03	8.25	86.43	109.66	73.03	102.25	111.99	84.04	116.78	95.34	116.78	132.44	111.21	107.38	2.01	32.36	24.81	25.35	12.55	10.88	13.83
FUK	291.04	373.81	463.65	379.04	307.69	305.55	273.37	466.88	361.04	206.94	275.28	353.59	147.06	269.6	447.82	291.04	239.52	262.2	417.77	314.17	583.07	356.05	193.01	275.28	246.28	426.57	339.14	334.46	376.41	285.03	209.84	232.94	379.04	376.41	172.65	366.09	248.0	159.9	376.41	693.58	409.15	703.28	438.59	603.67	684.02	450.94	454.09	563.18	540.19	583.07	181.28	466.88	332.14	341.51	166.73	277.2	137.14
GAK	1233.75	2004.85	2720.15	1794.29	1628.26	1397.83	1832.01	3372.43	1977.24	1199.98	1250.98	1936.53	1104.13	1819.35	2148.82	1991.0	1127.35	1447.15	2148.82	2271.4	4388.98	1819.35	1088.92	1175.27	1407.55	2104.58	1697.45	1963.57	2451.44	2209.26	1286.18	1819.35	1733.13	2400.97	1340.84	1923.14	1487.87	775.05	2537.92	3443.31	2997.45	4358.66	2178.83	2061.24	2682.69	2178.83	2255.7	2835.7	2573.36	2193.99	473.41	1674.06	1447.15	1757.34	1304.15	1977.24	796.86
GALT	995.0	2032.85	1806.78	1583.71	1304.15	902.89	1044.52	1015.93	1572.76	928.3	890.44	1617.0	679.29	1304.15	1832.01	1175.27	1001.93	1259.69	2240.11	1583.71	1059.11	1651.0	954.43	1119.56	679.29	1407.55	1268.46	1350.18	1733.13	854.13	988.12	848.22	1697.45	1135.2	466.88	1457.23	647.07	1143.1	1794.29	1769.57	1883.54	1977.24	1757.34	2133.97	2255.7	1844.76	1794.29	1407.55	2032.85	1733.13	1088.92	1369.04	1066.48	607.87	669.92	483.38	620.67
GPR26	2.23	5.06	4.21	4.54	3.2	2.53	2.07	0.36	4.17	1.91	2.61	2.39	0.96	2.2	5.06	3.89	1.97	1.45	4.06	2.89	0.41	3.89	1.55	4.24	0.96	5.19	4.35	2.92	3.92	2.2	1.35	1.16	3.29	5.68	3.23	3.79	2.16	1.16	8.25	8.85	4.43	6.52	2.81	4.03	7.28	7.75	10.63	5.77	6.52	8.0	0.0	0.0	0.0	0.0	1.28	0.47	0.0
HCN3	64.8	108.9	132.44	95.34	68.55	66.18	81.71	232.94	102.25	59.13	41.81	90.77	28.24	86.43	119.26	67.12	58.3	92.7	134.3	93.35	218.79	110.43	45.53	68.07	37.85	85.82	103.69	80.57	103.69	36.27	41.22	43.94	78.34	98.73	38.95	87.03	43.32	22.92	144.01	172.65	98.04	147.06	145.02	180.02	139.07	104.42	106.63	103.69	155.5	146.03	18.56	47.17	22.92	32.36	18.84	18.56	21.94
HDAC6	764.36	2119.22	1819.35	1950.0	1277.29	1066.48	1135.2	1304.15	1844.76	775.05	1487.87	1832.01	780.44	1208.34	2133.97	1199.98	607.87	947.83	1870.53	2061.24	1233.75	1757.34	1208.34	708.18	684.02	2119.22	1721.16	1242.34	2090.03	1487.87	934.76	1044.52	2335.28	1529.73	988.12	1143.1	884.29	733.19	2240.11	2645.74	2573.36	3190.46	2240.11	3168.41	2956.17	2645.74	3589.58	3515.68	2976.74	2609.3	205.5	915.51	825.0	693.58	860.08	860.08	620.67
HYDIN	32.59	37.32	24.63	34.75	16.15	29.27	20.71	2.36	34.26	20.26	46.5	39.22	7.82	30.56	31.22	24.46	15.91	17.13	23.25	28.24	4.74	49.21	15.34	12.64	8.13	29.91	30.56	31.9	59.13	26.67	17.13	20.26	43.94	33.06	11.13	10.79	20.11	11.55	82.87	55.49	80.01	76.17	217.27	144.01	96.01	94.01	49.56	124.37	96.01	74.58	2.39	4.39	27.84	35.25	6.46	36.01	37.05
IFT172	1044.52	1923.14	2133.97	1467.37	1388.16	854.13	780.44	2816.11	1745.2	785.88	728.11	1757.34	728.11	995.0	2018.8	1008.9	848.22	1313.23	2018.8	1594.73	2758.13	1359.57	607.87	928.3	703.28	1437.15	1088.92	1259.69	1529.73	896.64	842.36	1023.0	1832.01	1697.45	480.04	1096.5	769.69	205.5	995.0	1583.71	1674.06	2032.85	1832.01	1883.54	1685.71	1104.13	1369.04	928.3	1467.37	1745.2	76.71	529.06	429.54	265.87	376.41	457.25	289.02
INF2	1936.53	1883.54	2319.15	2018.8	1540.37	1437.15	1427.22	3614.55	1844.76	1286.18	1259.69	2004.85	1135.2	1447.15	1923.14	1617.0	1628.26	1674.06	2758.13	2163.77	3768.09	2075.59	1322.37	1467.37	1447.15	2451.44	2163.77	1909.85	2875.3	1208.34	1268.46	1225.22	1909.85	2502.97	1183.45	2303.12	1685.71	1561.89	2796.65	2555.58	2895.31	2701.35	2537.92	3372.43	2367.9	1950.0	2351.53	2271.4	2935.74	2271.4	130.6	848.22	532.74	532.74	1051.79	1819.35	698.41
INTS4	429.54	511.0	536.45	450.94	423.61	368.65	348.71	327.56	555.41	301.33	293.07	490.14	334.46	412.0	555.41	332.14	514.56	379.04	503.95	503.95	325.29	521.76	307.69	336.79	301.33	403.5	417.77	414.87	656.11	277.2	336.79	397.93	441.64	603.67	232.94	457.25	346.29	363.56	563.18	532.74	583.07	642.59	497.0	473.41	665.29	435.55	796.86	414.87	500.46	563.18	262.2	493.56	438.59	450.94	177.53	283.05	329.84
ITPR3	239.52	483.38	429.54	466.88	295.11	277.2	327.56	1167.14	466.88	155.5	269.6	426.57	157.68	307.69	381.68	363.56	285.03	260.38	444.72	551.56	954.43	490.14	297.17	244.57	152.28	651.58	563.18	454.09	642.59	197.09	180.02	172.65	371.22	656.11	248.0	529.06	197.09	125.24	583.07	825.0	353.59	825.0	547.75	624.99	878.17	403.5	796.86	493.56	728.11	819.3	7.51	229.72	215.77	454.09	232.94	547.75	63.89
KCNIP2	83.45	178.77	206.94	117.6	61.25	30.12	45.21	27.05	118.43	67.12	36.01	141.02	84.04	33.78	220.32	65.26	31.67	41.81	122.64	134.3	45.21	131.51	35.25	58.71	81.71	156.59	92.7	108.9	191.67	68.07	73.03	36.27	275.28	244.57	53.95	84.63	31.67	29.48	218.79	217.27	229.72	253.23	157.68	387.02	262.2	262.2	173.85	251.48	194.36	198.47	3.26	8.32	7.28	7.0	28.24	17.9	11.13
KIAA0195	995.0	1467.37	1583.71	1508.65	1259.69	1127.35	796.86	2163.77	1216.75	723.08	947.83	1175.27	587.13	1183.45	1378.57	995.0	1081.39	1340.84	1721.16	1508.65	2502.97	1378.57	830.75	1096.5	748.61	1369.04	1199.98	1322.37	1551.09	902.89	860.08	974.5	1322.37	1225.22	660.68	1242.34	1081.39	796.86	2119.22	2075.59	2075.59	2104.58	2032.85	2287.2	1870.53	1697.45	2047.0	1923.14	2224.63	2224.63	128.79	1051.79	769.69	813.63	1030.12	819.3	909.17
KIAA1109	536.45	1073.91	567.1	733.19	497.0	647.07	381.68	587.13	921.88	642.59	599.49	860.08	373.81	555.41	802.41	529.06	441.64	836.53	371.22	954.43	559.28	769.69	547.75	460.44	277.2	579.04	595.34	738.29	872.1	575.03	470.14	460.44	620.67	713.11	395.18	532.74	361.04	251.48	808.0	1088.92	915.51	1081.39	1135.2	1159.07	1199.98	896.64	1088.92	651.58	1008.9	947.83	54.33	392.44	555.41	368.65	269.6	348.71	327.56
KRTAP5-1	0.0	7.57	23.76	9.7	0.0	1.97	9.06	34.02	12.18	2.2	0.0	17.64	8.19	0.0	13.52	14.35	1.57	0.0	2.53	31.0	46.5	42.41	8.32	5.19	1.83	24.63	19.39	33.3	40.36	19.82	1.95	0.0	12.93	8.99	30.12	7.82	5.28	0.0	30.56	52.45	133.36	143.01	34.75	24.11	11.38	124.37	101.54	113.56	33.78	47.5	3.96	1.83	0.0	2.12	0.0	5.68	0.59
