	TCGA.VS.A8QH.01A.11R.A37O.07	TCGA.W5.AA2I.11A.11R.A41I.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.147F3.1926.SM.5SIB9	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.U4B1.1126.SM.4DXV3	GTEX.Q2AI.0926.SM.48U1F	GTEX.146FQ.1926.SM.5NQBY	GTEX.R55G.1226.SM.48FDC	GTEX.14E6E.1526.SM.5RQIG	GTEX.11LCK.2026.SM.5A5MA	GTEX.R53T.1326.SM.48FCQ	GTEX.WFG7.1526.SM.4LVMG	GTEX.XUJ4.2026.SM.4BOOW	GTEX.13S86.1626.SM.5Q5C5	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.144GM.1226.SM.5LU52	GTEX.PWOO.1326.SM.48TCJ	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.ZPCL.1826.SM.57WF1	GTEX.13D11.0826.SM.5KLZJ	GTEX.132AR.2726.SM.5PNVN	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.OIZH.1426.SM.3NB1O	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.O5YT.1426.SM.3MJHC	GTEX.WHWD.1226.SM.4OOS1	GTEX.ZVP2.1526.SM.5NQ82	GTEX.R55D.1826.SM.48FEF	GTEX.139YR.2126.SM.5KM11	GTEX.OXRK.1726.SM.3NB16	GTEX.13FTW.1826.SM.5IJEN	GTEX.13QBU.1826.SM.5IJG3	GTEX.13PL7.2526.SM.5IFGR	GTEX.W5WG.2426.SM.4LMI6	GTEX.OHPM.1426.SM.3TW8Y	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.131XG.1826.SM.5LZV4	GTEX.XMK1.1726.SM.4B64Z	GTEX.XPVG.1826.SM.4B64X	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.13OVJ.1726.SM.5IJDZ	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.144GN.1126.SM.5LU33	GTEX.14DAR.1526.SM.5RQIX	GTEX.YF7O.1726.SM.5IFJ9	GTEX.QCQG.1626.SM.48U26	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.P78B.1726.SM.3P5ZV	GTEX.QMRM.1226.SM.447C6	GTEX.XUW1.1926.SM.4BOP1	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZT9W.1826.SM.51MQX	TCGA.CC.A9FW.01A.11R.A37K.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.CC.A5UC.01A.11R.A28V.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.11ZTS.1426.SM.5EQMM	GTEX.PX3G.0826.SM.48TZS	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.ZYT6.0626.SM.5E45V	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.RU72.1426.SM.46MUF	GTEX.11DXY.0526.SM.5EGGQ	GTEX.145MO.2326.SM.5NQ9K	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.11ZVC.0726.SM.5FQT9	GTEX.1212Z.0226.SM.59HLF	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.UPIC.0926.SM.4IHLV	GTEX.13VXU.0926.SM.5IFFH	GTEX.VUSG.0126.SM.4KL1X	GTEX.Q2AI.0826.SM.48TZO
CD53	125.24	149.12	1051.79	1467.37	1936.53	995.0	1551.09	1519.15	830.75	769.69	738.29	2209.26	2303.12	1378.57	1369.04	1583.71	813.63	457.25	642.59	341.51	1081.39	3349.13	3018.3	902.89	1008.9	1733.13	753.83	2573.36	753.83	1721.16	2209.26	915.51	1388.16	954.43	2434.5	2047.0	2434.5	1417.35	688.78	753.83	2047.0	1277.29	420.68	318.57	1051.79	2956.17	4010.71	1250.98	1208.34	2148.82	2075.59	336.79	2976.74	1242.34	493.56	1322.37	2935.74	1135.2	2148.82	392.44	1225.22	884.29	3847.29	830.75	1183.45	1529.73	2255.7	1340.84	2816.11	733.19	813.63	1397.83	2796.65	708.18	2209.26	1583.71	384.34	6607.01	1331.57	242.88	72.01	57.89	373.81	106.63	100.13	2664.15	718.08	470.14	113.56	463.65	423.61	125.24	169.07	277.2	138.1	514.56	237.86	733.19	81.14	214.27	521.76	633.73	96.68	353.59	497.0	236.21	368.65	295.11	429.54	96.68	301.33	312.0
CLEC4A	42.71	20.41	55.89	108.9	151.22	55.89	88.88	140.04	48.52	48.52	97.36	114.36	140.04	105.15	127.89	51.35	53.95	55.89	52.45	26.28	66.18	89.51	100.83	65.26	49.56	82.87	122.64	139.07	47.5	182.55	84.04	26.28	64.8	55.1	124.37	55.1	70.51	88.26	41.81	54.72	121.79	84.63	36.27	23.59	24.81	50.27	164.42	75.64	105.89	50.63	136.19	42.41	98.04	108.9	31.0	100.13	56.28	27.44	141.02	85.22	98.73	65.72	167.9	43.63	83.45	103.69	152.28	58.71	183.82	51.35	56.28	27.64	166.73	33.3	112.77	74.58	67.12	170.25	118.43	46.84	18.84	9.41	49.56	12.83	17.51	55.1	19.53	28.65	19.39	76.17	142.01	56.28	48.18	85.22	27.44	57.49	11.55	81.14	38.4	17.25	46.5	27.84	76.71	58.3	76.71	49.91	28.65	152.28	39.5	36.27	23.93	28.65
CMKLR1	8.13	15.45	86.43	217.27	202.66	48.87	95.34	178.77	62.56	96.01	66.18	117.6	232.94	167.9	143.01	147.06	76.71	121.79	57.89	9.27	132.44	332.14	258.57	49.91	35.76	182.55	76.71	147.06	71.5	260.38	162.14	110.43	226.54	85.22	232.94	148.09	158.79	117.6	69.52	56.28	503.95	55.89	55.89	13.83	239.52	108.9	406.31	58.3	211.31	72.01	165.57	29.48	312.0	189.02	75.64	116.78	246.28	56.28	366.09	51.71	80.01	69.52	299.25	31.67	231.32	171.45	131.51	43.02	277.2	19.82	60.39	139.07	186.4	60.39	316.37	279.14	74.06	414.87	70.51	15.56	8.0	6.46	33.06	25.91	6.62	76.17	38.95	79.45	17.0	120.94	30.34	12.09	32.82	30.34	13.32	37.85	61.68	46.5	18.29	17.0	76.71	20.56	27.64	29.06	37.85	35.0	16.88	16.51	193.01	38.12	66.65	23.59
CPVL	51.71	63.0	125.24	708.18	884.29	241.19	387.02	934.76	201.25	186.4	152.28	409.15	866.07	825.0	500.46	348.71	123.5	135.24	490.14	59.13	295.11	878.17	825.0	208.38	332.14	718.08	629.35	748.61	125.24	1225.22	698.41	314.17	435.55	563.18	642.59	638.15	684.02	285.03	305.55	293.07	1340.84	358.54	171.45	28.86	361.04	503.95	607.87	283.05	1313.23	242.88	518.15	155.5	718.08	543.96	358.54	961.07	624.99	145.02	764.36	80.01	186.4	221.86	1066.48	52.08	872.1	674.59	738.29	156.59	954.43	115.97	75.64	575.03	555.41	253.23	536.45	1023.0	291.04	1477.58	312.0	785.88	400.71	137.14	1832.01	102.25	55.49	2209.26	412.0	395.18	143.01	775.05	218.79	218.79	102.97	63.89	93.35	146.03	373.81	329.84	78.89	87.03	457.25	258.57	42.11	301.33	316.37	223.41	29.06	93.35	543.96	176.29	366.09	81.71
CSF1R	37.59	74.06	167.9	1242.34	1487.87	187.71	563.18	981.29	119.26	358.54	312.0	563.18	1322.37	1378.57	532.74	532.74	395.18	406.31	423.61	35.76	320.8	890.44	1096.5	204.07	438.59	1088.92	435.55	624.99	177.53	2032.85	981.29	435.55	728.11	417.77	1487.87	872.1	1397.83	447.82	318.57	412.0	1651.0	514.56	162.14	56.28	397.93	684.02	769.69	420.68	660.68	312.0	813.63	106.63	1340.84	551.56	395.18	813.63	1208.34	309.83	1457.23	223.41	256.78	412.0	1135.2	126.12	1167.14	1059.11	738.29	336.79	1216.75	158.79	116.78	567.1	1127.35	218.79	785.88	941.27	237.86	1651.0	412.0	77.25	40.93	16.03	108.9	78.89	45.85	860.08	271.48	417.77	214.27	723.08	166.73	83.45	50.27	73.03	81.14	124.37	353.59	323.03	71.0	104.42	307.69	151.22	73.54	201.25	255.0	126.12	96.01	73.54	679.29	73.03	493.56	264.03
CTSC	780.44	723.08	3146.52	4328.55	3820.7	3589.58	3928.15	3639.7	2609.3	2537.92	2997.45	3325.99	4268.94	5329.3	3665.02	4607.24	3235.01	3847.29	2664.15	1295.13	2303.12	5751.61	3614.55	3081.75	4450.27	3039.3	3039.3	3955.48	3168.41	6471.02	5147.73	4010.71	4095.0	2451.44	4010.71	4639.29	4038.61	3639.7	1950.0	2417.67	5255.91	3794.3	2591.27	2018.8	4903.87	3982.99	4937.99	2875.3	4268.94	2664.15	3768.09	1628.26	3564.78	3081.75	1950.0	4239.45	4450.27	2682.69	5366.37	2351.53	2895.31	2997.45	5791.62	2255.7	3768.09	2875.3	2417.67	3303.0	4181.07	1950.0	2855.44	3372.43	3515.68	3081.75	3690.52	4450.27	2468.49	7433.4	3081.75	514.56	289.02	860.08	1242.34	454.09	638.15	6337.83	1111.82	3325.99	454.09	708.18	314.17	414.87	341.51	303.44	387.02	728.11	674.59	1111.82	318.57	273.37	507.46	371.22	559.28	669.92	679.29	1015.93	244.57	368.65	813.63	813.63	1467.37	1551.09
CYBB	28.45	23.42	217.27	463.65	579.04	121.79	166.73	341.51	236.21	297.17	251.48	336.79	703.28	454.09	669.92	454.09	289.02	220.32	198.47	77.25	214.27	780.44	669.92	153.34	177.53	353.59	356.05	429.54	255.0	785.88	420.68	307.69	460.44	256.78	693.58	457.25	583.07	466.88	157.68	262.2	1519.15	287.01	189.02	123.5	346.29	616.37	915.51	249.73	397.93	316.37	412.0	125.24	536.45	547.75	138.1	397.93	620.67	248.0	1023.0	147.06	258.57	262.2	329.84	201.25	723.08	392.44	555.41	205.5	995.0	163.28	187.71	329.84	693.58	180.02	723.08	392.44	107.38	1175.27	271.48	39.79	24.63	4.9	63.45	27.64	16.15	733.19	180.02	197.09	71.0	351.14	55.89	20.41	40.36	35.76	52.82	92.05	246.28	143.01	16.27	23.76	148.09	57.08	29.91	124.37	109.66	42.41	15.11	33.78	414.87	31.22	171.45	62.56
CYTH4	40.64	33.06	255.0	450.94	358.54	144.01	361.04	236.21	133.36	106.63	221.86	305.55	470.14	325.29	181.28	271.48	134.3	194.36	80.01	50.63	183.82	429.54	409.15	209.84	215.77	228.13	251.48	361.04	112.77	529.06	346.29	99.43	271.48	107.38	387.02	198.47	651.58	320.8	111.21	87.03	269.6	303.44	87.65	54.72	93.35	454.09	599.49	267.73	269.6	279.14	265.87	43.63	376.41	231.32	77.79	387.02	400.71	142.01	1127.35	161.02	138.1	248.0	909.17	129.69	551.56	269.6	341.51	214.27	329.84	135.24	201.25	159.9	438.59	185.11	579.04	204.07	91.41	571.05	201.25	74.58	27.05	13.72	79.45	55.49	19.68	215.77	113.56	62.56	20.71	224.97	61.25	20.26	33.3	65.72	23.25	81.14	96.68	117.6	25.17	19.97	67.12	60.82	27.44	68.55	77.25	38.95	29.27	152.28	118.43	13.42	95.34	47.5
DOK2	47.5	54.72	356.05	470.14	450.94	283.05	547.75	351.14	125.24	185.11	214.27	258.57	387.02	703.28	147.06	195.72	189.02	142.01	125.24	41.52	269.6	587.13	400.71	123.5	239.52	214.27	228.13	583.07	152.28	389.72	325.29	194.36	339.14	150.17	409.15	332.14	318.57	217.27	165.57	102.97	329.84	334.46	101.54	85.22	176.29	444.72	500.46	371.22	249.73	384.34	232.94	115.16	536.45	363.56	108.9	275.28	454.09	125.24	620.67	181.28	234.57	161.02	808.0	68.55	447.82	287.01	366.09	221.86	684.02	119.26	175.07	279.14	395.18	162.14	854.13	285.03	113.56	674.59	190.34	84.04	24.81	16.63	158.79	58.71	47.5	587.13	435.55	136.19	78.89	368.65	285.03	72.01	93.35	97.36	197.09	285.03	193.01	1096.5	39.22	79.45	180.02	171.45	59.55	139.07	373.81	72.52	53.57	27.64	293.07	73.03	125.24	82.87
DOK3	45.21	32.36	295.11	414.87	186.4	128.79	314.17	258.57	264.03	232.94	226.54	363.56	343.89	325.29	264.03	241.19	183.82	152.28	116.78	37.85	228.13	759.08	387.02	293.07	198.47	224.97	267.73	414.87	182.55	454.09	473.41	127.89	236.21	100.83	351.14	387.02	571.05	366.09	102.25	88.88	376.41	277.2	100.13	64.34	149.12	525.39	536.45	283.05	316.37	316.37	309.83	66.18	500.46	258.57	122.64	224.97	432.53	214.27	629.35	134.3	244.57	128.79	466.88	130.6	466.88	301.33	283.05	314.17	447.82	92.7	212.78	264.03	363.56	197.09	536.45	262.2	115.97	785.88	156.59	70.51	16.88	8.0	77.79	43.02	19.53	212.78	53.95	72.52	27.05	121.79	41.81	27.84	29.27	24.63	26.28	66.65	58.71	76.71	26.1	31.0	47.17	45.21	44.89	24.63	22.59	57.49	11.47	75.64	125.24	20.56	37.85	119.26
FABP1	152662.96	207103.59	614902.29	925580.18	479109.86	2011721.67	706337.4	581732.96	402881.61	414208.18	1085552.95	654483.73	453265.5	925580.18	1412675.8	938500.81	677564.08	1070607.81	677564.08	1070607.81	466008.55	851707.37	800198.39	736332.6	919186.72	569761.05	817012.28	641014.63	789181.81	431797.89	386469.83	1155430.26	1041331.96	358098.26	701458.36	951601.81	400098.69	716197.51	408505.64	573724.06	1078054.48	1034138.94	565825.41	602247.76	577714.63	649962.87	336441.4	757033.75	1019901.63	496005.67	696613.03	492579.5	701458.36	614902.29	561916.97	627822.72	324980.94	751804.53	632189.57	482442.34	456418.21	1093103.58	234624.45	489177.0	606436.73	741454.2	469249.9	811368.76	419990.32	370726.6	550352.86	706337.4	627822.72	1238359.56	198667.0	687022.54	348306.01	762299.34	1273174.62	244588.0	158046.64	62865.33	353168.2	204252.32	150561.19	1264380.15	2599854.48	2201414.44	527933.71	1290947.48	687022.54	757033.75	360589.03	425853.18	1308968.45	2845004.48	919186.72	721179.07	475800.4	408505.64	5420519.65	659036.03	1019901.63	863596.77	1308968.45	1691649.38	391864.76	496005.67	783730.52	267651.2	623486.02	1393227.06
FGD2	16.63	32.82	104.42	297.17	346.29	118.43	291.04	476.71	185.11	262.2	228.13	239.52	503.95	246.28	191.67	224.97	223.41	177.53	177.53	32.36	212.78	525.39	532.74	136.19	59.97	271.48	183.82	371.22	100.13	248.0	483.38	175.07	246.28	124.37	460.44	209.84	616.37	195.72	108.9	178.77	241.19	249.73	116.78	90.14	141.02	417.77	693.58	309.83	275.28	363.56	307.69	87.65	397.93	376.41	118.43	400.71	381.68	116.78	395.18	141.02	256.78	129.69	346.29	81.71	305.55	258.57	511.0	142.01	543.96	115.16	137.14	271.48	486.75	143.01	616.37	244.57	130.6	785.88	173.85	32.59	22.43	6.11	57.49	56.28	17.13	148.09	84.04	98.04	43.63	180.02	43.32	12.18	24.11	36.79	31.67	76.71	140.04	112.77	26.67	41.22	108.9	73.54	25.35	59.55	61.68	64.34	19.39	21.32	299.25	16.63	68.55	78.89
FPR3	19.39	23.59	49.56	214.27	406.31	57.49	329.84	358.54	48.18	123.5	115.97	262.2	660.68	392.44	323.03	507.46	151.22	137.14	262.2	15.56	135.24	753.83	435.55	69.03	299.25	244.57	176.29	258.57	143.01	830.75	551.56	214.27	358.54	217.27	836.53	457.25	325.29	297.17	73.54	119.26	884.29	206.94	127.0	40.64	236.21	351.14	718.08	113.56	476.71	88.88	409.15	41.22	571.05	343.89	102.25	318.57	915.51	209.84	684.02	93.35	177.53	151.22	1685.71	48.52	323.03	215.77	224.97	129.69	497.0	29.48	52.08	215.77	595.34	59.55	314.17	748.61	114.36	1781.89	229.72	21.47	13.12	8.45	55.1	15.45	10.47	848.22	92.05	172.65	84.04	215.77	23.42	56.28	24.28	23.76	19.25	42.71	88.26	90.14	15.11	37.32	123.5	104.42	59.55	67.59	108.9	73.54	20.11	22.75	189.02	68.55	113.56	79.45
GNGT2	12.27	13.32	58.3	170.25	111.99	181.28	122.64	166.73	63.45	88.88	75.64	65.26	150.17	96.01	72.01	71.5	56.28	120.94	72.52	25.35	78.34	175.07	148.09	59.55	92.05	84.04	133.36	150.17	68.07	165.57	113.56	81.71	193.01	53.57	158.79	105.89	125.24	94.01	47.17	40.36	204.07	73.03	38.12	58.3	74.06	143.01	151.22	59.55	145.02	148.09	148.09	31.67	255.0	120.1	48.18	112.77	169.07	31.9	128.79	67.12	97.36	176.29	212.78	40.93	115.97	104.42	129.69	50.27	166.73	39.79	82.87	140.04	150.17	88.88	239.52	145.02	59.13	258.57	74.06	15.8	12.0	5.41	60.39	27.84	16.15	231.32	63.45	50.27	18.56	56.68	32.82	46.5	23.93	52.45	57.08	48.18	35.76	56.68	2.86	19.53	63.89	45.85	5.02	71.5	58.71	66.18	4.7	13.32	40.64	24.99	35.0	33.06
GPR141	3.06	4.54	12.93	20.26	22.59	13.12	11.64	6.11	7.11	8.45	3.76	17.38	36.79	5.5	37.05	14.45	3.23	12.09	5.5	0.0	6.84	19.11	21.01	11.04	4.06	31.9	30.78	28.04	7.28	56.68	17.13	3.76	38.95	6.31	44.89	24.28	50.27	27.44	5.68	5.19	19.82	20.86	8.0	0.0	2.34	29.06	56.28	18.03	38.4	11.47	38.95	2.36	12.64	30.56	8.65	28.65	31.0	12.36	43.94	9.85	22.92	8.51	38.4	10.96	47.84	6.89	18.43	17.77	41.52	17.0	14.14	22.26	32.59	7.51	62.12	19.97	7.94	56.68	13.42	1.58	0.0	0.0	0.0	0.0	0.0	11.91	3.06	1.28	0.0	3.89	1.55	6.62	0.0	8.25	2.81	6.46	1.01	1.04	0.0	0.0	1.03	5.32	0.0	3.03	17.0	5.77	0.0	17.77	3.59	7.82	8.92	0.0
GPSM3	305.55	124.37	660.68	698.41	1066.48	612.11	785.88	713.11	490.14	414.87	463.65	860.08	884.29	785.88	532.74	483.38	429.54	432.53	366.09	199.85	780.44	1417.35	1119.56	599.49	454.09	688.78	500.46	1037.29	353.59	825.0	896.64	303.44	660.68	392.44	854.13	532.74	1242.34	738.29	336.79	329.84	591.22	836.53	363.56	291.04	483.38	1183.45	995.0	836.53	563.18	842.36	764.36	318.57	1030.12	651.58	318.57	813.63	878.17	460.44	1008.9	414.87	567.1	595.34	1721.16	423.61	884.29	909.17	1119.56	547.75	884.29	423.61	470.14	620.67	1167.14	412.0	1135.2	587.13	358.54	1286.18	688.78	146.03	55.49	35.0	281.09	136.19	90.77	1119.56	480.04	189.02	162.14	571.05	127.89	82.87	88.26	201.25	124.37	387.02	231.32	490.14	97.36	117.6	426.57	450.94	125.24	223.41	334.46	151.22	291.04	242.88	420.68	70.01	226.54	132.44
HCK	155.5	34.51	373.81	559.28	753.83	728.11	366.09	656.11	217.27	307.69	624.99	429.54	525.39	669.92	460.44	336.79	698.41	258.57	283.05	54.33	490.14	802.41	587.13	536.45	343.89	529.06	403.5	575.03	384.34	1594.73	764.36	301.33	638.15	251.48	591.22	567.1	563.18	718.08	265.87	260.38	1127.35	532.74	173.85	228.13	493.56	796.86	934.76	387.02	500.46	447.82	629.35	177.53	656.11	698.41	241.19	514.56	1059.11	483.38	1477.58	329.84	444.72	297.17	620.67	244.57	555.41	629.35	559.28	403.5	1044.52	262.2	651.58	389.72	547.75	376.41	967.76	791.35	208.38	1359.57	299.25	61.25	27.44	12.27	118.43	42.71	47.17	684.02	159.9	267.73	47.17	441.64	61.68	36.27	27.44	94.01	50.27	212.78	249.73	236.21	19.97	78.89	140.04	72.01	57.89	171.45	119.26	77.79	111.21	271.48	438.59	28.65	285.03	88.88
HLA-DMB	169.07	122.64	1096.5	1159.07	3303.0	1015.93	1909.85	3190.46	890.44	679.29	1001.93	3257.52	3742.05	2032.85	2303.12	1233.75	503.95	1088.92	981.29	204.07	688.78	4038.61	2976.74	521.76	493.56	1794.29	1397.83	4575.41	624.99	3303.0	1844.76	1225.22	2193.99	915.51	4358.66	995.0	3901.01	1540.37	363.56	915.51	4010.71	1709.26	599.49	325.29	366.09	3146.52	3589.58	1008.9	1733.13	1870.53	2976.74	334.46	3820.7	1883.54	514.56	2255.7	3039.3	718.08	3124.78	1044.52	1651.0	1015.93	3589.58	603.67	2777.33	3168.41	2417.67	872.1	1639.59	463.65	320.8	1407.55	3768.09	1119.56	3103.19	2591.27	414.87	7803.01	1467.37	133.36	105.89	60.82	285.03	101.54	88.26	521.76	1233.75	115.16	660.68	1427.22	301.33	226.54	145.02	244.57	198.47	454.09	279.14	738.29	273.37	121.79	518.15	1008.9	236.21	808.0	890.44	309.83	221.86	153.34	693.58	117.6	273.37	264.03
IGSF6	22.1	20.11	119.26	267.73	397.93	63.89	159.9	483.38	58.71	94.01	150.17	199.85	466.88	511.0	366.09	287.01	107.38	218.79	180.02	42.71	74.58	493.56	297.17	49.21	212.78	343.89	199.85	258.57	113.56	567.1	232.94	246.28	329.84	114.36	426.57	387.02	454.09	244.57	93.35	163.28	486.75	170.25	76.71	54.33	102.25	417.77	595.34	94.01	480.04	176.29	343.89	35.0	295.11	171.45	80.57	316.37	199.85	151.22	769.69	101.54	206.94	246.28	291.04	43.63	339.14	277.2	166.73	121.79	460.44	125.24	59.13	198.47	381.68	161.02	351.14	392.44	110.43	1066.48	129.69	30.12	39.5	13.42	125.24	25.17	19.25	603.67	173.85	127.0	78.89	480.04	83.45	30.78	40.64	43.02	101.54	87.03	142.01	186.4	32.59	27.05	169.07	128.79	32.36	129.69	98.04	79.45	34.75	43.94	392.44	21.47	147.06	28.86
IL10RA	34.02	64.8	518.15	674.59	866.07	161.02	728.11	532.74	264.03	323.03	285.03	921.88	612.11	503.95	603.67	412.0	149.12	189.02	291.04	121.79	629.35	1008.9	934.76	414.87	279.14	540.19	397.93	563.18	246.28	928.3	878.17	281.09	660.68	251.48	1044.52	507.46	1096.5	567.1	273.37	215.77	1088.92	547.75	157.68	163.28	152.28	775.05	1096.5	878.17	486.75	511.0	1167.14	148.09	854.13	587.13	217.27	967.76	1151.06	358.54	981.29	279.14	438.59	320.8	2075.59	209.84	1073.91	693.58	1135.2	603.67	493.56	187.71	262.2	447.82	1066.48	209.84	988.12	281.09	255.0	1191.69	387.02	67.12	17.64	11.64	72.52	52.82	33.3	412.0	220.32	127.89	94.67	244.57	90.77	68.07	62.56	102.25	92.7	147.06	152.28	187.71	84.04	44.57	205.5	217.27	33.54	205.5	234.57	166.73	64.34	64.8	432.53	40.36	158.79	29.91
IL2RA	16.51	0.52	42.41	45.53	82.29	25.17	34.51	67.59	26.47	18.84	21.78	92.05	57.49	37.85	45.85	46.5	13.12	36.79	35.25	4.82	36.27	70.01	164.42	36.27	14.67	85.22	36.27	75.11	45.53	547.75	289.02	34.02	56.68	37.32	82.29	37.59	55.89	104.42	19.97	12.36	212.78	46.84	23.42	8.65	34.75	81.71	221.86	48.18	62.12	69.52	201.25	46.84	211.31	75.64	36.53	30.12	255.0	28.04	112.77	20.71	74.06	35.0	384.34	30.12	35.76	92.7	208.38	24.28	113.56	29.91	38.95	57.49	108.14	17.25	100.83	52.45	20.41	287.01	93.35	17.64	1.53	0.0	15.45	0.56	0.47	4.35	7.75	10.39	1.35	3.96	1.93	16.88	4.1	4.66	3.11	9.27	2.97	1.83	5.63	26.86	3.63	2.61	0.0	3.35	1.87	7.57	7.69	12.0	8.65	0.0	4.74	8.71
KCNK13	2.43	1.33	6.89	16.27	16.88	6.62	19.53	7.88	6.67	10.79	10.31	17.64	30.56	33.06	29.48	11.47	10.47	13.03	9.41	4.31	6.67	37.85	21.47	7.88	5.32	18.56	9.78	18.7	13.22	66.18	26.1	9.56	22.43	6.26	16.39	24.46	19.82	23.42	8.06	8.32	30.12	13.83	15.8	7.82	14.89	11.82	41.22	6.52	35.5	11.55	27.84	5.63	23.25	13.52	10.16	16.15	25.17	16.51	42.11	10.0	19.82	16.27	28.86	2.68	21.47	15.22	15.11	15.34	43.32	5.32	0.0	12.0	27.25	9.63	30.78	35.76	5.11	31.9	8.92	3.29	3.53	0.53	1.57	0.93	2.03	68.55	4.74	11.21	9.93	15.22	1.33	0.0	1.38	3.47	0.0	4.13	8.71	8.92	1.39	3.53	6.41	5.54	0.0	0.0	1.3	0.0	3.89	1.3	17.38	2.36	35.5	4.1
LAIR1	32.13	56.28	178.77	703.28	854.13	212.78	547.75	1745.2	215.77	183.82	283.05	403.5	1175.27	764.36	490.14	341.51	406.31	242.88	223.41	44.57	229.72	775.05	718.08	183.82	164.42	490.14	299.25	866.07	170.25	1407.55	872.1	206.94	426.57	218.79	738.29	665.29	1023.0	447.82	153.34	164.42	842.36	293.07	183.82	45.53	466.88	651.58	1119.56	503.95	595.34	521.76	387.02	121.79	759.08	514.56	141.02	497.0	836.53	153.34	1295.13	217.27	273.37	256.78	1963.57	89.51	587.13	460.44	511.0	186.4	1127.35	178.77	87.65	341.51	769.69	183.82	1199.98	551.56	134.3	1733.13	279.14	100.13	381.68	25.54	141.02	46.5	17.25	738.29	113.56	144.01	85.82	187.71	54.72	32.59	21.16	87.65	25.35	102.25	100.83	104.42	50.63	37.05	164.42	50.63	39.22	38.4	150.17	32.36	45.21	45.53	295.11	19.11	61.25	116.78
LAPTM5	297.17	314.17	1119.56	1685.71	3820.7	1151.06	2133.97	2976.74	860.08	1044.52	1096.5	3639.7	3639.7	2573.36	2682.69	2075.59	1369.04	1044.52	1844.76	395.18	1757.34	5751.61	5751.61	1286.18	1313.23	2627.46	1250.98	3928.15	1268.46	5183.54	4358.66	1572.76	2367.9	1605.83	3742.05	1991.0	3103.19	2468.49	1143.1	1111.82	6294.04	1662.49	1167.14	567.1	2417.67	4328.55	3794.3	1936.53	2417.67	2645.74	3419.52	995.0	4210.15	2047.0	915.51	2255.7	4903.87	2090.03	3690.52	896.64	1662.49	1331.57	10512.82	1127.35	1923.14	3395.89	4123.49	1529.73	4607.24	1242.34	1030.12	2502.97	4972.34	884.29	2502.97	3235.01	981.29	9673.69	2609.3	514.56	320.8	167.9	1225.22	318.57	220.32	5711.87	1781.89	1594.73	293.07	1233.75	387.02	246.28	361.04	490.14	444.72	848.22	764.36	995.0	226.54	470.14	1233.75	688.78	185.11	780.44	785.88	521.76	540.19	463.65	909.17	334.46	974.5	571.05
