	TCGA.78.8648.01A.11R.2403.07	TCGA.86.8671.01A.11R.2403.07	TCGA.55.8621.01A.11R.2403.07	TCGA.34.7107.11A.01R.1949.07	TCGA.BJ.A28T.01A.11R.A16R.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.DJ.A1QM.01A.11R.A14Y.07	TCGA.DJ.A4UT.01A.11R.A250.07	TCGA.EL.A3CY.01A.11R.A19O.07	TCGA.DJ.A2Q9.01A.21R.A18C.07	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.13N1W.0826.SM.5MR5J	GTEX.WHSB.1626.SM.3LK6J	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.Q2AI.0326.SM.2I3EK	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.11DXX.0226.SM.5P9HL	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N
CD97	2178.83	2485.67	2591.27	3540.14	1369.04	1340.84	1457.23	1167.14	2148.82	2163.77	1322.37	974.5	884.29	860.08	389.72	551.56	559.28	559.28	532.74	1051.79	571.05	1143.1	441.64	480.04	441.64	1088.92	343.89	1059.11	674.59	409.15	579.04	332.14	447.82	688.78	450.94	620.67
CDKN2D	271.48	435.55	371.22	466.88	202.66	260.38	329.84	139.07	231.32	299.25	395.18	114.36	133.36	126.12	36.01	107.38	57.08	157.68	98.04	117.6	109.66	111.21	80.01	158.79	95.34	154.42	155.5	120.1	128.79	140.04	78.34	87.65	98.04	78.34	136.19	208.38
CDR2L	323.03	208.38	366.09	312.0	111.21	155.5	198.47	176.29	246.28	256.78	366.09	60.82	58.71	98.04	28.24	63.89	59.97	68.55	53.19	108.14	60.39	81.14	57.08	84.63	39.22	91.41	43.63	47.17	39.22	36.79	32.13	33.3	43.32	27.44	63.0	60.82
CHRD	246.28	141.02	121.79	183.82	152.28	246.28	197.09	131.51	229.72	217.27	130.6	82.87	63.0	120.94	27.44	118.43	47.17	100.83	117.6	104.42	110.43	61.68	72.01	147.06	46.84	106.63	39.5	129.69	41.22	66.65	24.46	28.24	38.95	36.53	89.51	62.56
CLIP2	334.46	234.57	232.94	346.29	152.28	197.09	159.9	166.73	201.25	221.86	376.41	57.08	82.87	96.01	32.82	65.26	51.35	100.13	54.72	110.43	53.19	129.69	63.45	43.63	46.84	90.14	39.5	40.07	55.49	54.33	33.3	34.51	24.11	37.85	71.5	57.49
COLGALT1	2417.67	1628.26	1936.53	1963.57	884.29	1096.5	988.12	651.58	890.44	1529.73	1697.45	334.46	420.68	417.77	325.29	361.04	400.71	368.65	346.29	629.35	221.86	529.06	287.01	336.79	269.6	409.15	325.29	486.75	285.03	255.0	299.25	265.87	224.97	246.28	343.89	242.88
CORO1C	1806.78	1167.14	1963.57	2400.97	764.36	718.08	651.58	595.34	764.36	1295.13	1662.49	291.04	397.93	529.06	265.87	303.44	293.07	314.17	414.87	547.75	273.37	307.69	249.73	297.17	236.21	665.29	151.22	246.28	244.57	269.6	182.55	163.28	214.27	211.31	329.84	332.14
CREB3L1	1199.98	728.11	457.25	1044.52	97.36	141.02	186.4	384.34	195.72	205.5	273.37	81.71	75.11	265.87	6.46	68.55	100.83	112.77	75.64	189.02	68.55	61.25	51.35	228.13	94.01	148.09	37.32	65.26	111.21	76.17	12.36	23.93	134.3	48.87	153.34	37.85
DCHS1	287.01	164.42	194.36	366.09	108.14	154.42	100.13	130.6	132.44	172.65	96.68	53.57	53.95	89.51	34.75	53.19	63.0	75.64	59.13	97.36	56.68	115.97	63.89	64.34	80.01	81.14	21.94	73.03	55.1	57.89	61.25	14.14	32.13	43.02	79.45	32.13
DENND5A	1359.57	1322.37	1369.04	1745.2	988.12	878.17	791.35	759.08	848.22	1277.29	988.12	718.08	624.99	1037.29	967.76	698.41	656.11	633.73	642.59	967.76	896.64	651.58	460.44	669.92	703.28	764.36	490.14	624.99	764.36	934.76	607.87	346.29	473.41	616.37	616.37	656.11
DIRAS1	59.55	29.7	49.21	28.86	18.97	14.03	20.71	32.36	51.35	37.32	45.21	8.45	3.2	32.36	0.19	7.51	11.3	8.51	7.57	14.24	6.36	6.36	17.38	1.13	9.34	8.99	1.62	4.86	6.67	3.86	0.48	0.22	4.98	3.2	18.84	12.18
DNMT1	1268.46	1977.24	1437.15	928.3	921.88	974.5	1286.18	723.08	1001.93	1378.57	1286.18	400.71	507.46	616.37	285.03	543.96	547.75	540.19	521.76	583.07	466.88	514.56	470.14	540.19	493.56	764.36	403.5	532.74	392.44	373.81	256.78	351.14	299.25	486.75	703.28	384.34
EHD3	220.32	165.57	154.42	217.27	159.9	166.73	148.09	135.24	125.24	173.85	376.41	70.51	47.84	113.56	19.53	59.55	61.25	120.94	56.28	126.12	40.64	122.64	77.79	82.87	48.18	102.25	63.45	70.01	47.5	32.59	30.34	55.49	80.01	54.33	84.04	40.07
EMILIN1	7537.18	2855.44	1467.37	3928.15	733.19	961.07	974.5	819.3	884.29	1135.2	1397.83	214.27	226.54	454.09	35.25	368.65	384.34	463.65	239.52	1081.39	153.34	376.41	218.79	232.94	80.01	674.59	110.43	287.01	87.03	97.36	122.64	153.34	77.79	73.03	209.84	169.07
ETHE1	1250.98	1286.18	1233.75	1397.83	1561.89	1447.15	2119.22	2193.99	2682.69	2255.7	2739.08	480.04	476.71	723.08	759.08	665.29	796.86	656.11	728.11	1096.5	825.0	587.13	759.08	961.07	432.53	759.08	525.39	808.0	679.29	543.96	400.71	642.59	660.68	414.87	414.87	785.88
FAM43A	356.05	248.0	171.45	521.76	199.85	1044.52	563.18	291.04	432.53	379.04	211.31	143.01	181.28	234.57	27.64	206.94	141.02	115.97	226.54	167.9	91.41	177.53	41.22	128.79	96.01	334.46	117.6	293.07	138.1	124.37	37.05	164.42	64.34	97.36	195.72	96.01
FUT11	525.39	435.55	525.39	529.06	429.54	497.0	392.44	397.93	476.71	403.5	521.76	273.37	273.37	353.59	228.13	246.28	264.03	312.0	281.09	414.87	156.59	327.56	242.88	275.28	260.38	376.41	281.09	267.73	246.28	262.2	234.57	237.86	223.41	241.19	341.51	244.57
HHIPL1	68.07	39.22	24.99	35.76	18.56	29.06	18.43	15.0	24.11	43.02	30.78	5.32	4.9	10.79	0.52	9.06	14.14	11.21	9.41	20.56	5.59	16.75	11.64	5.96	5.15	15.11	4.62	9.27	4.7	4.21	3.53	5.96	3.0	2.34	7.75	3.99
HTR1B	9.85	3.99	6.89	3.86	6.62	4.31	5.92	7.46	11.91	4.5	11.3	0.48	1.64	5.82	0.72	2.25	1.89	6.06	1.36	4.62	0.13	4.28	0.0	1.81	0.49	6.78	1.31	1.77	0.84	3.56	0.97	0.59	0.0	1.95	0.52	1.79
IMPDH1	1583.71	1295.13	1617.0	1350.18	595.34	759.08	819.3	470.14	769.69	896.64	961.07	193.01	283.05	305.55	135.24	320.8	361.04	285.03	307.69	483.38	283.05	291.04	217.27	271.48	185.11	316.37	206.94	285.03	262.2	255.0	142.01	195.72	162.14	201.25	293.07	256.78
JPH4	12.93	24.63	50.98	103.69	17.64	14.67	25.72	16.63	15.45	41.22	4.17	6.36	2.92	14.89	0.47	5.02	3.29	5.36	2.03	9.85	6.36	13.03	7.63	9.56	4.06	3.86	1.5	1.01	6.36	5.63	2.39	4.24	12.45	3.63	3.23	3.08
KCNK6	299.25	212.78	258.57	316.37	178.77	105.15	101.54	59.13	114.36	193.01	318.57	27.44	31.0	31.45	7.57	40.64	21.16	22.59	38.67	71.0	10.39	64.8	10.96	37.85	19.39	52.82	11.38	40.64	21.94	11.21	10.71	11.3	10.55	14.14	20.71	39.22
KRTAP2-3	14.67	4.86	2.58	1.91	18.97	54.33	6.52	26.28	22.75	153.34	85.82	0.0	0.0	0.0	0.0	0.0	5.77	0.0	0.0	74.06	0.0	4.46	0.0	0.0	4.35	26.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.92
LGALS9	4268.94	6887.62	5791.62	6294.04	2148.82	1806.78	2075.59	890.44	1896.65	4181.07	2520.38	197.09	457.25	836.53	96.68	379.04	486.75	842.36	454.09	878.17	780.44	896.64	417.77	679.29	309.83	1015.93	206.94	595.34	497.0	202.66	211.31	309.83	125.24	169.07	450.94	183.82
LYL1	373.81	575.03	309.83	273.37	242.88	466.88	529.06	128.79	318.57	281.09	334.46	95.34	122.64	116.78	9.78	164.42	64.8	127.89	120.1	125.24	37.05	175.07	44.57	151.22	57.08	163.28	88.88	122.64	73.03	34.26	27.84	91.41	42.11	80.01	63.89	37.59
MAP4	2335.28	1977.24	2384.37	2855.44	2434.5	2178.83	1819.35	2627.46	2976.74	2287.2	3190.46	1794.29	1572.76	1757.34	1277.29	1191.69	1519.15	2075.59	1183.45	2209.26	1183.45	1322.37	1819.35	1605.83	1561.89	1733.13	738.29	1135.2	1286.18	1721.16	1857.6	878.17	1388.16	1322.37	1242.34	1844.76
MAP4K4	967.76	679.29	718.08	1250.98	684.02	825.0	723.08	860.08	842.36	1167.14	1508.65	287.01	400.71	587.13	316.37	406.31	547.75	438.59	361.04	595.34	223.41	423.61	392.44	295.11	373.81	507.46	128.79	460.44	353.59	356.05	287.01	307.69	291.04	269.6	525.39	236.21
MCM6	454.09	361.04	409.15	269.6	295.11	264.03	305.55	180.02	234.57	318.57	381.68	127.89	120.1	198.47	80.57	116.78	148.09	145.02	108.14	199.85	59.13	149.12	172.65	100.83	81.71	163.28	58.3	166.73	124.37	163.28	87.65	77.79	85.22	151.22	144.01	106.63
MEIS3	490.14	273.37	149.12	303.44	126.12	194.36	150.17	214.27	217.27	169.07	532.74	80.57	94.67	134.3	50.27	106.63	77.25	50.98	71.0	124.37	52.45	78.89	63.45	81.71	57.49	120.94	35.25	46.5	69.52	51.71	20.11	25.91	26.86	29.27	78.34	71.5
MSN	6037.61	7032.37	7642.41	10585.95	6983.79	8479.89	6207.38	7749.1	8901.53	7857.29	8840.04	5329.3	4671.57	6037.61	2701.35	2319.15	3820.7	4802.93	3303.0	5995.9	2997.45	4481.23	3124.78	4152.18	4038.61	4419.52	2451.44	4639.29	3742.05	5403.7	4298.64	2451.44	3955.48	3874.05	2701.35	3081.75
MYH9	8901.53	6426.31	8479.89	13776.25	5872.48	4607.24	4123.49	6207.38	6561.36	7230.1	9409.14	3794.3	3235.01	4419.52	2796.65	4123.49	2976.74	5112.16	2895.31	4328.55	3564.78	4481.23	3690.52	3564.78	2816.11	4181.07	1216.75	2816.11	3443.31	3589.58	2816.11	1605.83	2537.92	3103.19	2537.92	3639.7
MYO18A	684.02	947.83	693.58	872.1	764.36	503.95	547.75	447.82	540.19	728.11	764.36	226.54	450.94	500.46	285.03	379.04	503.95	412.0	343.89	361.04	420.68	466.88	476.71	406.31	305.55	320.8	215.77	764.36	423.61	295.11	307.69	275.28	301.33	353.59	473.41	356.05
NRROS	329.84	379.04	325.29	387.02	246.28	287.01	275.28	120.1	281.09	327.56	164.42	44.57	54.33	57.08	3.69	59.13	20.56	59.97	58.3	85.22	14.56	92.7	39.5	74.06	33.06	45.85	43.02	91.41	47.84	23.42	25.91	27.84	31.45	48.87	46.84	18.43
PCOLCE	6983.79	5183.54	2351.53	4802.93	1977.24	2976.74	2627.46	2701.35	2835.7	3103.19	3325.99	802.41	1216.75	1769.57	157.68	796.86	1857.6	1923.14	842.36	2255.7	1127.35	1044.52	1304.15	2537.92	356.05	1233.75	967.76	1721.16	476.71	289.02	285.03	780.44	497.0	563.18	1350.18	532.74
PDLIM2	1477.58	1340.84	1844.76	1963.57	583.07	1073.91	988.12	551.56	934.76	836.53	791.35	273.37	271.48	559.28	107.38	497.0	309.83	669.92	277.2	599.49	379.04	460.44	507.46	301.33	339.14	780.44	346.29	242.88	241.19	181.28	163.28	285.03	156.59	295.11	226.54	283.05
PEA15	4481.23	4869.99	3982.99	5995.9	5255.91	4607.24	3794.3	3928.15	4268.94	5041.77	6294.04	2976.74	2400.97	3395.89	1583.71	1685.71	2627.46	3018.3	2351.53	4095.0	2627.46	3564.78	2609.3	2591.27	2573.36	3665.02	1977.24	2502.97	2417.67	2997.45	2287.2	1923.14	2004.85	1806.78	2720.15	2739.08
PI4K2A	563.18	529.06	480.04	591.22	432.53	412.0	450.94	567.1	616.37	567.1	738.29	363.56	320.8	376.41	303.44	253.23	483.38	228.13	366.09	420.68	182.55	406.31	305.55	334.46	291.04	438.59	363.56	551.56	242.88	281.09	323.03	363.56	356.05	173.85	384.34	420.68
PLEC	1277.29	1467.37	1529.73	1551.09	860.08	890.44	915.51	1199.98	1359.57	902.89	1551.09	540.19	743.43	848.22	381.68	521.76	540.19	599.49	518.15	738.29	356.05	642.59	486.75	567.1	368.65	733.19	295.11	555.41	387.02	376.41	406.31	351.14	414.87	444.72	426.57	480.04
PLXND1	5672.41	4543.8	4010.71	5479.15	3303.0	6699.25	6792.79	4038.61	4937.99	5954.47	3768.09	1340.84	1617.0	1617.0	371.22	1477.58	1208.34	1322.37	1651.0	2004.85	723.08	2090.03	1745.2	1950.0	915.51	1733.13	872.1	1397.83	915.51	607.87	854.13	674.59	928.3	928.3	1233.75	1175.27
POC1A	98.04	136.19	112.77	52.45	75.11	56.28	70.01	49.91	47.5	69.52	100.83	28.65	35.5	43.32	21.32	31.67	52.08	36.01	34.75	46.5	29.7	32.36	36.53	53.57	35.5	46.84	35.0	38.4	32.13	24.46	30.56	38.12	39.79	35.76	35.76	30.78
PRR5L	457.25	412.0	497.0	303.44	275.28	269.6	159.9	115.97	166.73	229.72	476.71	33.06	60.82	74.58	14.67	44.57	50.63	73.03	92.05	63.45	44.57	133.36	138.1	52.82	46.18	66.18	31.45	94.01	68.55	29.06	26.1	30.56	23.08	23.42	98.04	43.63
PTGS1	500.46	318.57	291.04	500.46	186.4	169.07	130.6	132.44	166.73	215.77	381.68	40.93	77.79	120.94	15.68	56.28	38.67	124.37	34.75	93.35	38.67	92.05	65.72	48.87	17.38	75.11	29.06	44.25	50.27	18.43	13.03	18.43	24.63	73.54	42.11	44.89
PXDN	1639.59	607.87	559.28	813.63	221.86	529.06	273.37	629.35	532.74	559.28	2004.85	57.08	82.87	169.07	35.0	102.25	94.01	63.89	111.21	183.82	30.34	102.97	69.52	44.57	50.63	116.78	31.0	53.57	87.65	40.93	40.07	44.25	25.54	40.07	109.66	39.79
RAB32	1044.52	808.0	669.92	1066.48	466.88	587.13	454.09	432.53	463.65	860.08	1304.15	251.48	262.2	351.14	57.49	202.66	209.84	318.57	241.19	371.22	156.59	299.25	193.01	248.0	186.4	432.53	279.14	171.45	177.53	237.86	171.45	246.28	158.79	191.67	223.41	182.55
RIN3	836.53	525.39	529.06	808.0	336.79	273.37	291.04	176.29	381.68	679.29	409.15	126.12	94.01	180.02	86.43	141.02	95.34	96.01	88.26	172.65	87.65	129.69	99.43	99.43	99.43	186.4	52.08	106.63	117.6	43.94	46.18	53.95	58.3	78.34	125.24	88.26
RTN2	325.29	242.88	271.48	320.8	172.65	371.22	271.48	241.19	137.14	242.88	303.44	76.17	66.65	148.09	22.75	164.42	59.55	90.77	116.78	85.22	70.01	120.1	65.26	68.07	96.01	111.99	100.83	48.18	100.13	62.56	63.45	149.12	62.56	63.45	71.0	50.27
SDC3	1639.59	1397.83	884.29	1295.13	620.67	743.43	981.29	718.08	1111.82	1175.27	536.45	279.14	316.37	457.25	109.66	209.84	480.04	713.11	273.37	819.3	171.45	567.1	595.34	384.34	327.56	665.29	164.42	470.14	285.03	348.71	450.94	154.42	145.02	212.78	414.87	260.38
SEPT9	4038.61	5112.16	4268.94	3928.15	2956.17	4181.07	3874.05	3190.46	3614.55	4639.29	4298.64	2061.24	2468.49	2520.38	1819.35	1572.76	2573.36	2061.24	1477.58	2915.45	1487.87	2895.31	2351.53	1870.53	1697.45	2609.3	1208.34	1498.22	1794.29	1745.2	1167.14	1096.5	1268.46	1628.26	1950.0	1977.24
SERPINH1	13872.08	6381.92	3372.43	8718.32	2915.45	4512.4	3928.15	4450.27	5219.6	4152.18	9808.75	1167.14	1378.57	1407.55	928.3	1151.06	1870.53	1697.45	1277.29	2682.69	1135.2	1923.14	1167.14	1745.2	934.76	2075.59	1127.35	2573.36	967.76	1175.27	1191.69	1066.48	1015.93	981.29	1388.16	1151.06
SFXN3	1081.39	1030.12	1225.22	909.17	860.08	988.12	872.1	743.43	1259.69	928.3	1259.69	389.72	698.41	473.41	518.15	332.14	406.31	371.22	327.56	397.93	529.06	277.2	351.14	387.02	348.71	444.72	181.28	532.74	325.29	363.56	348.71	224.97	529.06	316.37	265.87	320.8
SH3BP2	1135.2	1295.13	1167.14	819.3	728.11	660.68	878.17	559.28	769.69	967.76	890.44	220.32	279.14	373.81	198.47	303.44	301.33	265.87	400.71	358.54	447.82	318.57	253.23	518.15	253.23	332.14	164.42	265.87	351.14	209.84	167.9	131.51	208.38	325.29	339.14	265.87
SLC15A3	5112.16	4358.66	4328.55	7130.55	1457.23	1233.75	1662.49	575.03	1119.56	2520.38	1427.22	297.17	395.18	470.14	49.21	293.07	470.14	854.13	316.37	928.3	728.11	802.41	295.11	486.75	279.14	703.28	309.83	336.79	229.72	198.47	157.68	224.97	140.04	199.85	267.73	366.09
SMAGP	318.57	507.46	616.37	486.75	260.38	490.14	242.88	232.94	301.33	231.32	684.02	111.99	129.69	186.4	32.13	112.77	114.36	138.1	164.42	170.25	143.01	156.59	191.67	60.82	127.0	224.97	119.26	176.29	149.12	72.01	80.01	141.02	136.19	139.07	119.26	85.22
ST3GAL2	406.31	409.15	346.29	420.68	255.0	267.73	260.38	279.14	262.2	320.8	368.65	133.36	176.29	214.27	63.0	220.32	180.02	218.79	164.42	316.37	102.25	287.01	226.54	183.82	140.04	208.38	146.03	157.68	165.57	81.14	137.14	164.42	146.03	143.01	143.01	146.03
ST6GALNAC4	1313.23	1143.1	1378.57	1096.5	819.3	660.68	854.13	500.46	599.49	571.05	571.05	211.31	293.07	287.01	171.45	432.53	591.22	303.44	339.14	559.28	187.71	314.17	231.32	289.02	237.86	567.1	299.25	438.59	262.2	186.4	283.05	232.94	201.25	193.01	301.33	435.55
ST6GALNAC6	1277.29	1639.59	2047.0	1709.26	1304.15	2090.03	1662.49	1225.22	1477.58	1551.09	1242.34	866.07	808.0	1104.13	633.73	1225.22	854.13	1119.56	896.64	1322.37	1096.5	1037.29	954.43	633.73	819.3	1143.1	642.59	656.11	878.17	1051.79	583.07	483.38	591.22	540.19	819.3	1225.22
STK10	764.36	967.76	595.34	848.22	547.75	551.56	536.45	215.77	400.71	909.17	616.37	183.82	214.27	217.27	108.14	171.45	183.82	180.02	159.9	193.01	159.9	206.94	162.14	181.28	164.42	182.55	132.44	187.71	140.04	93.35	66.18	78.34	100.13	96.68	176.29	154.42
STMN1	3540.14	2816.11	2935.74	2018.8	1781.89	2271.4	2915.45	1709.26	2240.11	2573.36	4607.24	647.07	743.43	1304.15	743.43	748.61	669.92	1651.0	896.64	612.11	1844.76	1225.22	2090.03	884.29	708.18	1295.13	1304.15	1030.12	981.29	842.36	460.44	743.43	1096.5	878.17	1359.57	1135.2
SUFU	258.57	229.72	194.36	231.32	147.06	162.14	134.3	143.01	172.65	234.57	262.2	54.72	67.12	82.29	30.56	77.79	55.49	84.63	70.51	100.83	31.22	108.14	77.25	66.65	55.1	88.26	47.5	86.43	56.68	36.27	59.13	30.34	43.02	69.52	53.57	52.45
TG	36.01	108.14	40.93	63.89	290865.98	434801.29	546551.29	783730.52	158046.64	151608.43	95949.32	2247670.86	2126426.15	1327240.99	2111737.85	1739208.14	1997825.68	1984025.69	1997825.68	932018.1	2986448.72	2025714.3	2425749.94	1943195.01	1727194.55	731246.37	2636147.11	2263304.65	1775752.63	2111737.85	1800541.22	3178687.03	3886391.01	1622738.51	2263304.65	2672946.37
TGM2	9474.59	10084.54	6381.92	17197.56	2777.33	2758.13	3168.41	2287.2	4736.79	5219.6	9673.69	579.04	351.14	1073.91	285.03	339.14	718.08	915.51	547.75	872.1	1322.37	295.11	111.99	759.08	934.76	2895.31	967.76	612.11	231.32	813.63	417.77	406.31	759.08	214.27	497.0	231.32
THPO	21.78	17.51	32.59	17.9	14.03	17.77	15.8	10.96	10.88	20.26	7.46	7.75	3.79	7.57	0.21	7.34	6.06	8.65	6.67	15.0	10.31	3.47	9.06	10.88	0.75	12.64	6.94	14.14	2.58	8.13	0.74	3.56	10.0	2.92	14.67	4.35
TMEM236	5.23	5.15	27.05	25.91	8.92	6.89	0.0	6.62	3.38	11.38	4.06	0.0	4.17	5.36	1.01	0.43	0.2	1.41	3.35	1.66	0.0	1.17	0.67	1.28	0.0	1.38	1.38	1.36	0.45	0.69	0.0	1.69	0.72	0.0	4.28	0.17
TNFRSF21	1233.75	1044.52	698.41	599.49	246.28	406.31	363.56	351.14	476.71	796.86	1037.29	79.45	49.56	120.1	60.39	57.49	43.02	58.71	127.0	206.94	67.12	131.51	169.07	111.99	69.52	133.36	18.16	63.89	88.26	23.42	17.77	30.56	20.56	26.67	73.03	15.11
TRPV2	1407.55	1066.48	1617.0	1909.85	555.41	420.68	684.02	229.72	483.38	808.0	511.0	166.73	93.35	218.79	73.03	155.5	94.67	155.5	82.29	392.44	74.58	226.54	198.47	228.13	84.04	215.77	75.64	81.71	85.22	66.18	36.53	90.77	48.87	84.63	108.14	111.21
TTC7B	334.46	275.28	400.71	518.15	215.77	253.23	316.37	244.57	303.44	312.0	283.05	105.15	161.02	206.94	126.12	171.45	232.94	199.85	173.85	190.34	260.38	155.5	336.79	172.65	194.36	173.85	155.5	96.68	100.83	221.86	87.03	79.45	155.5	134.3	285.03	187.71
TUBA1A	4903.87	3614.55	5954.47	8718.32	2335.28	3146.52	3443.31	3018.3	3325.99	4239.45	7130.55	947.83	974.5	1498.22	215.77	518.15	1216.75	1733.13	819.3	1936.53	591.22	1159.07	1191.69	1781.89	808.0	1417.35	728.11	759.08	830.75	791.35	435.55	480.04	796.86	693.58	842.36	620.67
VASH1	435.55	620.67	591.22	633.73	366.09	435.55	379.04	244.57	353.59	514.56	444.72	77.25	112.77	144.01	45.53	102.97	84.04	115.97	85.22	208.38	92.7	194.36	108.14	201.25	88.26	114.36	45.21	224.97	65.72	50.63	86.43	47.5	73.03	50.98	115.16	49.21
