	GTEX.13O61.1226.SM.5KM21	GTEX.11EQ9.0926.SM.5HL6I	GTEX.ZT9W.1226.SM.57WE4	GTEX.111YS.1026.SM.5GZYE	GTEX.WRHK.0426.SM.4MVOG	GTEX.13QBU.0926.SM.5K7WQ	TCGA.97.8174.01A.11R.2287.07	GTEX.111YS.0626.SM.5GZXV	GTEX.13113.0426.SM.5GCOD	GTEX.ZT9W.0726.SM.4YCDC	GTEX.ZDYS.0426.SM.5IJEQ	TCGA.77.7335.11A.01R.2045.07	TCGA.BR.6452.01A.12R.1802.13	TCGA.VQ.AA6I.01A.11R.A414.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.CG.5726.01A.11R.1602.13	TCGA.HF.7132.01A.11R.2055.13	TCGA.FP.A8CX.01A.11R.A36D.31	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.6802.01A.11R.1884.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.VQ.A8PX.01A.12R.A414.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.D7.6820.01A.11R.1884.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.BR.6457.11A.01R.1802.13	TCGA.HU.A4GN.11A.12R.A251.31	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.HU.A4G3.11A.11R.A24K.31	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	TCGA.AX.A0IZ.11A.11R.A27V.07
CARS	674.59	642.59	748.61	723.08	616.37	647.07	723.08	493.56	728.11	547.75	476.71	514.56	1081.39	1059.11	848.22	769.69	679.29	878.17	967.76	1135.2	1081.39	656.11	567.1	1427.22	988.12	1059.11	896.64	1242.34	1295.13	1417.35	551.56	1008.9	607.87	780.44	769.69	884.29	518.15	447.82	1030.12	688.78	674.59
CCNA2	37.85	38.12	45.53	26.67	21.78	41.81	70.01	8.58	27.64	29.27	18.97	40.93	780.44	457.25	232.94	187.71	769.69	514.56	279.14	507.46	633.73	376.41	493.56	279.14	389.72	395.18	267.73	271.48	145.02	182.55	11.55	158.79	24.11	267.73	123.5	397.93	260.38	16.39	244.57	432.53	29.27
CCNF	17.38	16.63	12.45	11.55	11.64	9.34	52.45	31.0	44.89	28.65	24.28	23.59	297.17	381.68	88.88	127.0	363.56	220.32	318.57	239.52	258.57	94.01	199.85	167.9	145.02	450.94	86.43	112.77	72.01	61.25	6.06	56.28	15.34	75.11	61.25	132.44	21.16	13.72	85.22	110.43	16.03
CDC25A	10.47	7.4	2.46	3.79	8.45	7.63	15.91	6.06	14.03	6.46	6.21	5.02	209.84	152.28	49.56	31.67	170.25	125.24	117.6	169.07	291.04	51.35	135.24	61.68	73.03	206.94	53.19	63.89	35.0	42.41	3.2	38.4	6.67	39.79	24.28	100.13	34.75	8.85	45.53	62.12	12.45
CDC42EP1	1304.15	599.49	525.39	543.96	500.46	500.46	785.88	743.43	2502.97	1963.57	1519.15	728.11	13306.94	13215.02	5872.48	12589.08	20310.37	7966.99	4358.66	10084.54	11504.21	4512.4	5006.93	12943.04	4704.07	5041.77	10296.45	7966.99	11664.82	11584.24	1286.18	4419.52	1991.0	6983.79	12502.12	11267.44	3639.7	728.11	9279.58	5872.48	1651.0
CDCA5	9.2	19.68	11.04	9.56	10.71	4.03	46.5	12.18	38.4	46.84	31.45	16.51	483.38	323.03	82.87	156.59	723.08	297.17	205.5	384.34	476.71	180.02	351.14	325.29	202.66	612.11	149.12	371.22	148.09	114.36	2.92	140.04	8.51	178.77	111.99	232.94	96.68	7.34	117.6	371.22	16.88
CDCA8	16.88	20.11	12.09	12.09	17.77	13.42	62.12	18.29	27.05	33.3	39.5	29.7	493.56	684.02	149.12	267.73	748.61	395.18	638.15	417.77	441.64	94.67	728.11	463.65	255.0	591.22	329.84	371.22	215.77	187.71	1.55	172.65	18.43	152.28	126.12	381.68	176.29	3.47	193.01	361.04	12.64
CDT1	5.23	12.64	6.36	5.19	6.62	4.35	24.81	10.71	28.65	28.86	26.86	7.82	688.78	988.12	152.28	241.19	1233.75	536.45	363.56	379.04	490.14	293.07	718.08	137.14	195.72	684.02	371.22	305.55	249.73	161.02	1.99	120.94	4.94	154.42	177.53	432.53	60.82	4.54	148.09	323.03	7.75
CECR5	563.18	444.72	417.77	371.22	500.46	381.68	708.18	409.15	612.11	420.68	629.35	332.14	848.22	728.11	450.94	848.22	1331.57	775.05	764.36	684.02	555.41	679.29	764.36	775.05	656.11	669.92	620.67	764.36	595.34	525.39	307.69	660.68	323.03	607.87	575.03	764.36	616.37	368.65	503.95	660.68	454.09
CHAF1A	108.14	94.67	67.12	107.38	123.5	129.69	150.17	134.3	155.5	92.05	77.79	35.5	406.31	283.05	281.09	291.04	473.41	438.59	251.48	339.14	417.77	255.0	279.14	299.25	236.21	258.57	183.82	208.38	205.5	193.01	71.0	117.6	127.89	173.85	150.17	201.25	83.45	103.69	195.72	194.36	98.73
CHAF1B	25.91	19.11	24.46	13.03	11.38	23.76	40.36	26.47	32.82	28.24	23.93	21.01	150.17	57.49	63.89	63.89	206.94	126.12	75.64	141.02	180.02	108.9	146.03	63.0	57.89	172.65	68.55	51.71	45.53	45.53	24.46	49.21	31.22	45.21	29.91	70.51	36.27	30.34	39.79	56.28	46.5
CHTF18	127.0	127.0	96.01	55.1	137.14	116.78	159.9	17.9	118.43	45.85	90.14	26.47	336.79	848.22	177.53	180.02	507.46	329.84	493.56	514.56	521.76	189.02	366.09	224.97	275.28	307.69	181.28	226.54	217.27	124.37	71.5	88.88	72.01	234.57	124.37	205.5	116.78	81.14	190.34	153.34	84.63
CMTM4	293.07	423.61	242.88	275.28	187.71	332.14	884.29	723.08	327.56	567.1	1015.93	236.21	1369.04	813.63	1066.48	902.89	1191.69	2240.11	1651.0	2384.37	679.29	1059.11	1286.18	1286.18	2224.63	2976.74	500.46	1605.83	2271.4	2032.85	158.79	1529.73	180.02	567.1	1605.83	872.1	457.25	208.38	1628.26	361.04	145.02
COPG1	1709.26	1331.57	1540.37	1605.83	1508.65	1605.83	3039.3	2664.15	2875.3	2777.33	3212.66	2485.67	5006.93	4543.8	3190.46	4095.0	3639.7	3874.05	4937.99	5791.62	4123.49	4481.23	3690.52	7695.57	6471.02	2875.3	4388.98	3540.14	4481.23	5366.37	941.27	4903.87	1583.71	2816.11	3443.31	4010.71	1477.58	934.76	3124.78	2367.9	1733.13
COTL1	981.29	480.04	466.88	587.13	961.07	341.51	2018.8	3901.01	2555.58	3060.45	5329.3	4543.8	6699.25	6652.97	6607.01	9344.14	8022.41	6121.9	5441.3	9876.98	8022.41	4802.93	4769.75	5219.6	3690.52	5995.9	6294.04	6745.86	5006.93	5517.27	796.86	4210.15	2163.77	7803.01	6516.03	8840.04	4038.61	595.34	6652.97	9606.86	1119.56
DNAJA3	638.15	651.58	616.37	579.04	559.28	620.67	860.08	371.22	543.96	356.05	536.45	532.74	1191.69	1417.35	718.08	1167.14	988.12	1104.13	1540.37	909.17	909.17	967.76	915.51	836.53	1088.92	1457.23	791.35	796.86	656.11	693.58	713.11	796.86	579.04	802.41	575.03	967.76	825.0	830.75	703.28	872.1	603.67
DNAJC9	195.72	182.55	214.27	195.72	155.5	170.25	291.04	155.5	193.01	187.71	159.9	177.53	463.65	507.46	309.83	221.86	463.65	389.72	258.57	387.02	384.34	281.09	94.67	406.31	273.37	316.37	285.03	204.07	190.34	205.5	132.44	181.28	136.19	265.87	204.07	275.28	220.32	165.57	201.25	366.09	314.17
DPP3	260.38	343.89	329.84	334.46	463.65	258.57	490.14	563.18	718.08	703.28	748.61	366.09	1111.82	934.76	642.59	1008.9	1151.06	947.83	1119.56	1407.55	1331.57	854.13	1104.13	1467.37	934.76	1883.54	988.12	1199.98	967.76	796.86	131.51	995.0	269.6	718.08	878.17	1081.39	417.77	150.17	934.76	733.19	223.41
E2F4	1388.16	1191.69	1030.12	1096.5	1268.46	1044.52	1268.46	1111.82	1417.35	1477.58	1104.13	759.08	1397.83	2367.9	1233.75	2163.77	1769.57	1950.0	2537.92	1883.54	1685.71	1143.1	1617.0	1397.83	1175.27	2104.58	1662.49	1745.2	1561.89	1286.18	1037.29	1407.55	921.88	1745.2	1378.57	1733.13	934.76	974.5	1127.35	1498.22	780.44
ELK1	256.78	551.56	463.65	368.65	543.96	579.04	521.76	397.93	460.44	412.0	450.94	414.87	866.07	733.19	417.77	842.36	769.69	769.69	450.94	543.96	1143.1	669.92	830.75	665.29	1135.2	703.28	525.39	612.11	603.67	511.0	444.72	555.41	450.94	624.99	438.59	612.11	363.56	529.06	376.41	633.73	381.68
EPB41L1	642.59	620.67	368.65	466.88	387.02	497.0	915.51	612.11	802.41	403.5	1639.59	825.0	1350.18	2224.63	1662.49	1225.22	1651.0	1467.37	1447.15	3443.31	1030.12	1250.98	2255.7	1081.39	1304.15	1844.76	2061.24	1674.06	2255.7	2555.58	1427.22	1199.98	1733.13	854.13	1832.01	1819.35	703.28	1175.27	1832.01	974.5	753.83
FAM111B	5.92	2.12	4.17	2.1	13.62	2.16	16.15	5.19	16.03	14.14	10.71	11.55	116.78	384.34	119.26	29.27	123.5	165.57	142.01	180.02	109.66	182.55	41.81	125.24	62.12	77.79	99.43	60.39	46.18	100.83	1.2	46.5	1.41	98.04	74.06	104.42	52.08	0.0	60.39	171.45	1.83
FAM203A	198.47	197.09	143.01	73.54	123.5	119.26	348.71	127.0	299.25	193.01	312.0	146.03	769.69	1008.9	293.07	525.39	1457.23	603.67	830.75	753.83	988.12	447.82	656.11	1233.75	738.29	1508.65	423.61	220.32	363.56	400.71	161.02	336.79	136.19	363.56	429.54	514.56	228.13	161.02	392.44	318.57	241.19
FAM86A	151.22	137.14	120.1	129.69	198.47	127.89	185.11	137.14	185.11	141.02	201.25	206.94	392.44	497.0	198.47	417.77	262.2	318.57	371.22	368.65	291.04	291.04	409.15	214.27	269.6	246.28	249.73	301.33	264.03	256.78	198.47	202.66	191.67	277.2	293.07	346.29	241.19	175.07	301.33	231.32	178.77
FARSA	769.69	587.13	559.28	563.18	438.59	563.18	813.63	624.99	848.22	769.69	1044.52	507.46	1369.04	1151.06	738.29	1628.26	1936.53	1359.57	1467.37	2287.2	1457.23	1250.98	1540.37	1286.18	1175.27	1605.83	1175.27	1295.13	1159.07	1008.9	476.71	1044.52	567.1	1073.91	1191.69	1427.22	607.87	567.1	1183.45	1242.34	665.29
FBXL6	403.5	332.14	299.25	312.0	323.03	346.29	441.64	157.68	297.17	237.86	361.04	165.57	1331.57	848.22	547.75	301.33	1936.53	819.3	1340.84	934.76	1044.52	723.08	775.05	988.12	543.96	1870.53	551.56	647.07	381.68	343.89	165.57	599.49	295.11	603.67	417.77	633.73	169.07	246.28	307.69	412.0	123.5
FBXW9	102.25	74.06	78.34	77.79	90.14	70.51	132.44	120.94	119.26	120.1	231.32	101.54	208.38	163.28	131.51	275.28	289.02	194.36	151.22	171.45	204.07	109.66	186.4	218.79	163.28	218.79	186.4	228.13	162.14	176.29	77.25	135.24	66.65	141.02	165.57	275.28	178.77	98.04	126.12	178.77	124.37
FEN1	122.64	138.1	154.42	121.79	114.36	130.6	255.0	214.27	205.5	231.32	201.25	145.02	802.41	921.88	376.41	303.44	759.08	571.05	483.38	802.41	660.68	466.88	497.0	543.96	417.77	791.35	460.44	432.53	297.17	316.37	95.34	312.0	185.11	303.44	258.57	490.14	189.02	136.19	371.22	480.04	143.01
FOXM1	20.26	31.9	10.47	10.16	20.26	14.03	104.42	12.18	34.02	37.05	29.48	25.35	974.5	665.29	214.27	532.74	1295.13	473.41	603.67	708.18	995.0	450.94	620.67	638.15	842.36	1417.35	389.72	500.46	251.48	178.77	11.47	209.84	15.91	234.57	194.36	514.56	61.68	6.31	237.86	334.46	3.56
FPGS	1331.57	1081.39	769.69	759.08	780.44	1104.13	1216.75	947.83	1088.92	1104.13	1250.98	660.68	1628.26	1639.59	1073.91	934.76	1844.76	1208.34	1769.57	1794.29	1605.83	842.36	1313.23	1225.22	1369.04	1923.14	1313.23	1540.37	1233.75	866.07	780.44	775.05	718.08	1304.15	1242.34	1781.89	660.68	728.11	1350.18	1331.57	642.59
GINS4	31.22	2.12	3.99	16.75	9.27	8.85	46.18	25.54	43.63	21.94	25.54	21.63	312.0	124.37	83.45	32.59	514.56	156.59	80.57	141.02	163.28	109.66	194.36	177.53	135.24	95.34	81.14	92.7	63.0	43.32	8.85	75.11	21.16	68.55	66.18	94.01	22.59	10.63	48.87	120.94	11.38
GORASP2	1143.1	1088.92	1167.14	1191.69	1340.84	1023.0	1923.14	1508.65	1378.57	1378.57	1378.57	1259.69	2591.27	2209.26	1977.24	2303.12	2384.37	2224.63	2367.9	3443.31	2240.11	2627.46	2537.92	2351.53	2004.85	2240.11	2271.4	2047.0	2133.97	2591.27	1397.83	2502.97	1119.56	1617.0	1832.01	2875.3	1216.75	1457.23	1651.0	1662.49	1044.52
GRWD1	373.81	371.22	299.25	293.07	255.0	281.09	379.04	371.22	417.77	358.54	463.65	182.55	775.05	738.29	387.02	860.08	1008.9	567.1	656.11	796.86	660.68	470.14	708.18	603.67	571.05	748.61	563.18	688.78	642.59	480.04	244.57	476.71	305.55	457.25	518.15	708.18	256.78	336.79	339.14	583.07	463.65
HAGHL	147.06	73.03	53.19	40.93	120.1	81.71	215.77	32.82	77.79	26.86	131.51	19.97	193.01	547.75	167.9	341.51	327.56	301.33	334.46	358.54	221.86	376.41	66.65	161.02	190.34	490.14	74.58	172.65	115.16	53.57	69.52	68.07	36.53	234.57	63.89	181.28	146.03	84.63	111.21	246.28	17.0
HJURP	2.34	23.08	6.01	2.32	6.26	6.84	36.53	7.11	9.13	16.88	7.51	10.0	332.14	279.14	78.89	126.12	237.86	183.82	221.86	237.86	244.57	112.77	332.14	129.69	125.24	387.02	122.64	152.28	56.28	72.01	2.05	39.5	1.6	131.51	41.22	206.94	71.0	0.73	146.03	202.66	2.07
HSPA5	1572.76	1447.15	1250.98	1806.78	2555.58	1781.89	6079.61	3257.52	3303.0	3280.18	3716.2	4972.34	8598.28	6121.9	6037.61	6164.49	5913.33	4575.41	7749.1	13399.51	6426.31	5147.73	4769.75	9474.59	10368.08	7180.15	6840.04	4575.41	4736.79	7280.4	1769.57	10014.87	2591.27	4152.18	4419.52	7280.4	2451.44	1594.73	4869.99	3901.01	2835.7
HYOU1	555.41	563.18	438.59	493.56	559.28	543.96	1417.35	607.87	921.88	728.11	974.5	457.25	2367.9	1819.35	1697.45	1685.71	1529.73	1794.29	3515.68	5479.15	1832.01	1277.29	2255.7	3515.68	2485.67	3690.52	2502.97	1617.0	1844.76	2520.38	629.35	2997.45	698.41	1233.75	1378.57	2193.99	470.14	591.22	1721.16	1119.56	629.35
INCENP	133.36	101.54	123.5	150.17	83.45	71.0	208.38	92.7	100.83	112.77	177.53	127.89	723.08	842.36	279.14	256.78	669.92	591.22	412.0	392.44	480.04	320.8	438.59	503.95	406.31	743.43	303.44	307.69	283.05	277.2	198.47	212.78	116.78	183.82	172.65	241.19	36.27	234.57	267.73	279.14	190.34
IQGAP3	2.14	18.29	7.11	3.63	23.76	4.74	41.81	7.28	11.64	13.62	8.99	5.02	275.28	1242.34	98.04	173.85	320.8	361.04	493.56	381.68	473.41	148.09	417.77	624.99	275.28	575.03	226.54	305.55	169.07	145.02	4.06	92.7	2.86	91.41	79.45	169.07	33.78	0.36	167.9	99.43	2.48
IRAK1	599.49	514.56	642.59	529.06	738.29	447.82	1277.29	518.15	669.92	941.27	1199.98	693.58	2384.37	1963.57	1119.56	2956.17	2104.58	1651.0	2555.58	2664.15	3060.45	2148.82	2956.17	2502.97	1487.87	4066.71	1159.07	1936.53	1540.37	1096.5	638.15	1540.37	669.92	1216.75	1407.55	1674.06	647.07	591.22	1313.23	974.5	529.06
IRF3	1250.98	1008.9	928.3	775.05	967.76	934.76	1781.89	738.29	1225.22	1088.92	1199.98	854.13	1322.37	2537.92	1870.53	3235.01	1583.71	1909.85	2240.11	2384.37	2367.9	1250.98	1259.69	1651.0	1066.48	1498.22	1709.26	1806.78	1721.16	1250.98	764.36	1519.15	796.86	2627.46	2061.24	2400.97	995.0	791.35	1757.34	2351.53	1037.29
KARS	1605.83	1757.34	1674.06	1572.76	1721.16	1477.58	1857.6	1378.57	1519.15	1498.22	1721.16	2451.44	2451.44	3955.48	1936.53	2701.35	2573.36	2796.65	2502.97	2645.74	2816.11	2796.65	2485.67	1769.57	1794.29	2451.44	2104.58	1745.2	1870.53	2032.85	1540.37	1857.6	1733.13	2224.63	1745.2	2178.83	1628.26	1508.65	1963.57	2075.59	2255.7
KATNB1	248.0	167.9	158.79	172.65	260.38	197.09	343.89	236.21	293.07	267.73	423.61	208.38	400.71	595.34	297.17	656.11	511.0	444.72	371.22	379.04	395.18	417.77	318.57	343.89	336.79	473.41	525.39	381.68	423.61	343.89	202.66	297.17	176.29	381.68	336.79	497.0	191.67	182.55	316.37	318.57	320.8
KIF18B	1.13	6.94	1.14	2.14	7.46	2.73	31.22	0.82	8.06	10.08	3.17	6.57	172.65	633.73	60.82	64.8	248.0	135.24	209.84	133.36	186.4	41.52	165.57	170.25	167.9	199.85	80.01	163.28	57.89	46.18	0.0	47.17	0.68	45.53	31.0	96.01	7.11	2.05	38.95	82.29	0.14
KIF4A	3.66	6.62	3.76	4.94	7.17	4.21	28.45	3.2	12.36	12.55	5.63	7.4	242.88	409.15	47.5	109.66	206.94	157.68	82.87	132.44	341.51	90.77	199.85	191.67	161.02	320.8	84.04	88.88	52.45	49.21	1.53	46.18	2.34	45.21	27.64	85.82	27.64	1.19	49.56	94.01	3.29
KPNA2	255.0	269.6	305.55	366.09	246.28	162.14	454.09	551.56	529.06	633.73	260.38	476.71	2367.9	1583.71	988.12	1073.91	2335.28	1844.76	2335.28	2061.24	2119.22	1350.18	2090.03	1175.27	1417.35	5329.3	848.22	1127.35	620.67	633.73	346.29	688.78	356.05	813.63	656.11	1594.73	571.05	251.48	1008.9	1572.76	241.19
LMNB2	139.07	161.02	111.99	138.1	234.57	135.24	371.22	155.5	236.21	260.38	162.14	103.69	1096.5	1081.39	346.29	825.0	981.29	1051.79	854.13	860.08	1066.48	543.96	928.3	830.75	723.08	1159.07	583.07	575.03	521.76	387.02	195.72	403.5	169.07	329.84	341.51	371.22	104.42	205.5	389.72	291.04	170.25
LRRC59	961.07	1001.93	1015.93	981.29	967.76	743.43	1183.45	1183.45	1175.27	1447.15	1135.2	967.76	3665.02	3491.39	2720.15	2997.45	3257.52	3589.58	6294.04	6471.02	2915.45	3103.19	4038.61	2875.3	4010.71	2573.36	3982.99	3235.01	3103.19	3982.99	579.04	3515.68	981.29	2090.03	2434.5	4671.57	2047.0	579.04	3190.46	2434.5	567.1
MCM2	52.45	35.25	24.46	29.7	40.36	47.84	156.59	63.45	165.57	92.7	186.4	87.03	796.86	1233.75	223.41	395.18	890.44	575.03	470.14	473.41	775.05	339.14	521.76	540.19	267.73	348.71	346.29	285.03	262.2	229.72	69.03	199.85	64.34	209.84	161.02	366.09	108.9	88.88	183.82	329.84	155.5
MCM4	189.02	111.99	115.97	100.13	157.68	154.42	334.46	115.97	295.11	154.42	297.17	151.22	1923.14	2976.74	753.83	389.72	2915.45	2018.8	1674.06	1167.14	1447.15	1277.29	1909.85	1487.87	1151.06	988.12	848.22	463.65	521.76	607.87	307.69	616.37	234.57	395.18	180.02	775.05	201.25	299.25	571.05	651.58	173.85
MCM5	444.72	307.69	587.13	339.14	426.57	444.72	638.15	551.56	583.07	507.46	791.35	395.18	1529.73	2555.58	974.5	1250.98	2119.22	1378.57	1340.84	1359.57	1498.22	435.55	1183.45	878.17	381.68	713.11	1023.0	1127.35	836.53	733.19	275.28	688.78	293.07	1111.82	796.86	884.29	339.14	256.78	884.29	836.53	723.08
MFSD9	111.99	67.59	128.79	75.64	83.45	81.14	202.66	183.82	148.09	236.21	151.22	124.37	500.46	253.23	262.2	309.83	368.65	346.29	463.65	587.13	358.54	271.48	309.83	371.22	301.33	215.77	283.05	291.04	457.25	361.04	128.79	450.94	132.44	244.57	327.56	193.01	172.65	111.21	295.11	142.01	125.24
MMACHC	20.41	19.11	11.73	15.11	10.08	14.89	105.15	33.3	30.56	25.72	43.94	33.54	145.02	109.66	55.89	94.01	139.07	118.43	74.58	117.6	75.64	127.0	53.57	85.22	72.52	34.51	67.12	90.14	75.64	96.01	53.19	73.03	49.56	84.63	72.52	102.25	67.12	74.58	84.04	94.01	27.44
MON1B	483.38	567.1	417.77	532.74	457.25	518.15	684.02	412.0	473.41	376.41	665.29	265.87	860.08	1066.48	647.07	954.43	785.88	728.11	1119.56	1250.98	813.63	688.78	665.29	656.11	620.67	698.41	830.75	819.3	866.07	785.88	267.73	620.67	432.53	507.46	476.71	1151.06	265.87	450.94	518.15	529.06	260.38
MYBL2	3.82	4.98	2.12	2.66	5.28	3.92	57.08	8.71	23.76	27.44	12.83	13.72	785.88	1369.04	232.94	733.19	3146.52	260.38	1183.45	1119.56	860.08	281.09	1331.57	511.0	223.41	2609.3	429.54	780.44	314.17	267.73	0.0	215.77	7.28	688.78	301.33	1073.91	170.25	0.15	540.19	1015.93	2.39
NCAPD2	454.09	381.68	435.55	356.05	267.73	384.34	463.65	293.07	444.72	205.5	483.38	248.0	1001.93	1044.52	507.46	575.03	1175.27	1143.1	688.78	698.41	753.83	466.88	1015.93	921.88	1001.93	1745.2	536.45	599.49	567.1	460.44	221.86	486.75	255.0	420.68	353.59	476.71	119.26	297.17	289.02	536.45	366.09
NCLN	429.54	518.15	334.46	406.31	476.71	414.87	961.07	620.67	733.19	674.59	1001.93	595.34	2090.03	1233.75	1044.52	1794.29	3081.75	2895.31	2855.44	2997.45	2384.37	1175.27	1487.87	2018.8	1819.35	2400.97	1350.18	1794.29	1378.57	1259.69	381.68	1819.35	591.22	1191.69	1259.69	1883.54	376.41	483.38	1467.37	909.17	343.89
