	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.147F4.0926.SM.5Q5EO	GTEX.ZDXO.1326.SM.57WBS	GTEX.ZYW4.1526.SM.5SIBA	GTEX.11NV4.1126.SM.5HL6J	GTEX.11ZUS.0126.SM.5EQM5	GTEX.13FLV.0426.SM.5KLZA	TCGA.E8.A436.01A.12R.A23W.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.EL.A3N3.01A.11R.A20F.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.IM.A3EB.01A.11R.A206.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.MK.A4N6.01A.11R.A250.07	TCGA.ET.A3DU.01A.11R.A19O.07	TCGA.EM.A3SZ.01A.11R.A22U.07	GTEX.12WSB.0726.SM.5N9GD
CDH6	0.0	0.4	500.46	220.32	583.07	248.0	297.17	387.02	423.61	830.75	669.92	483.38	647.07	417.77	748.61	575.03	412.0	241.19
CITED1	0.0	0.0	43.63	24.99	32.59	69.52	9.85	33.54	8134.41	9344.14	6516.03	8247.98	9215.48	13033.07	6337.83	3820.7	8598.28	3.63
CLDN1	181.28	101.54	223.41	269.6	57.08	87.65	651.58	53.19	4152.18	4736.79	3690.52	5329.3	3349.13	4972.34	3325.99	3443.31	4836.35	444.72
CMTM4	0.0	0.45	244.57	260.38	193.01	295.11	384.34	162.14	915.51	536.45	1015.93	684.02	733.19	941.27	967.76	660.68	967.76	961.07
CNTN6	0.0	0.0	42.41	134.3	27.84	62.56	7.34	33.54	65.72	95.34	320.8	36.27	187.71	38.4	70.51	75.11	96.01	277.2
CROT	0.0	0.24	43.63	86.43	215.77	21.94	115.16	79.45	547.75	595.34	603.67	473.41	1096.5	723.08	555.41	441.64	595.34	368.65
CYP26C1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.56	3.79	1.16	1.2	1.62	5.77	3.2	1.23	6.78	2.12
DCTD	0.0	0.72	981.29	1015.93	1819.35	348.71	941.27	1023.0	1745.2	1594.73	1651.0	1651.0	1870.53	1685.71	1639.59	1519.15	1572.76	2367.9
DMRT1	0.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	5.36	75.64	43.94	29.91	31.67	42.11	4.54	6.21	4.13	9.56
DTX4	0.0	0.55	1870.53	379.04	476.71	1081.39	529.06	356.05	3103.19	2502.97	3742.05	2178.83	3124.78	2997.45	2956.17	2777.33	3716.2	909.17
DUSP5	0.0	0.13	1167.14	921.88	283.05	2163.77	376.41	1199.98	3190.46	5594.3	3303.0	3168.41	3540.14	3491.39	6652.97	2271.4	3874.05	466.88
DUSP6	0.0	0.24	5995.9	1529.73	1233.75	2335.28	1733.13	961.07	7382.04	8363.13	6652.97	6337.83	7280.4	6792.79	5479.15	4903.87	5594.3	1183.45
ENTPD1	241.19	82.87	271.48	802.41	1023.0	215.77	669.92	1508.65	878.17	2148.82	1286.18	1037.29	1721.16	1674.06	3589.58	1572.76	1508.65	830.75
EPB41L4B	0.0	0.0	77.25	85.22	37.85	58.3	267.73	43.63	476.71	299.25	616.37	361.04	633.73	503.95	603.67	221.86	429.54	403.5
EPHA4	0.0	0.36	20.11	49.21	40.07	34.26	122.64	27.05	1340.84	1151.06	1561.89	1088.92	1794.29	1096.5	688.78	848.22	1023.0	112.77
EPS8	0.0	0.78	860.08	1250.98	1561.89	159.9	1159.07	1175.27	1991.0	1313.23	2075.59	1331.57	1467.37	2319.15	2555.58	1073.91	2047.0	1015.93
ERP27	0.0	0.11	201.25	101.54	229.72	146.03	289.02	64.34	872.1	603.67	180.02	928.3	1697.45	669.92	486.75	599.49	1437.15	312.0
FAF1	0.0	0.71	591.22	579.04	674.59	583.07	470.14	323.03	866.07	988.12	808.0	947.83	1081.39	1001.93	995.0	775.05	915.51	493.56
FAM150A	0.0	0.03	0.0	4.5	17.0	0.0	4.06	2.39	102.25	80.57	53.19	134.3	86.43	85.82	65.26	62.12	92.7	24.28
FAM43A	0.0	0.52	13.93	248.0	99.43	175.07	98.04	110.43	764.36	769.69	279.14	624.99	178.77	543.96	301.33	764.36	764.36	255.0
FN1	114897.47	3540.14	97965.44	91404.92	214407.12	99333.0	107203.06	81809.59	296977.71	290865.98	341137.96	450134.56	256748.15	345900.08	397335.0	279017.26	311742.51	5650706.18
FRMD5	0.0	0.24	11.13	28.65	0.91	0.0	13.62	8.58	173.85	183.82	161.02	239.52	129.69	212.78	176.29	185.11	180.02	79.45
GABRB2	0.0	0.09	17.0	22.92	70.01	0.51	21.78	13.93	543.96	307.69	796.86	403.5	612.11	698.41	769.69	368.65	620.67	20.11
GNPDA1	854.13	157.68	293.07	341.51	444.72	236.21	379.04	269.6	1313.23	1096.5	1225.22	1378.57	1268.46	1388.16	1674.06	1044.52	1225.22	514.56
GTF2H5	0.0	0.0	34.51	56.28	95.34	32.82	71.0	60.39	107.38	153.34	102.25	121.79	122.64	120.94	45.53	94.01	153.34	145.02
H2AFY2	0.0	0.58	72.52	57.08	193.01	17.38	145.02	151.22	371.22	529.06	348.71	312.0	429.54	353.59	316.37	403.5	463.65	269.6
HCN4	0.0	0.0	1.19	1.14	0.0	4.98	9.78	6.67	24.81	24.11	21.78	30.56	28.24	35.5	31.0	48.18	35.76	3.86
HOMER2	0.0	0.38	80.57	100.83	14.78	100.83	218.79	73.54	733.19	796.86	808.0	595.34	529.06	775.05	854.13	507.46	759.08	384.34
IGBP1	0.0	0.41	738.29	1059.11	1304.15	941.27	1135.2	503.95	2303.12	2468.49	2434.5	2555.58	2573.36	2485.67	1963.57	1923.14	2701.35	1936.53
ISCA2	0.0	0.4	220.32	332.14	397.93	167.9	438.59	205.5	1561.89	1909.85	1359.57	1781.89	1594.73	1745.2	1183.45	1359.57	1781.89	571.05
ISM2	0.0	0.15	2.53	0.79	3.41	1.46	0.84	3.76	10.47	18.97	1.85	4.54	3.86	1.99	3.76	8.51	24.46	9.06
ITGA3	3794.3	297.17	2271.4	5633.22	3928.15	3018.3	9540.5	1277.29	11664.82	13306.94	12329.98	13968.57	9945.68	16611.71	12502.12	11424.74	13215.02	2287.2
KANK1	135.24	78.34	159.9	327.56	426.57	70.51	466.88	114.36	1369.04	909.17	1127.35	1350.18	1397.83	1008.9	1583.71	860.08	1111.82	579.04
KCTD14	0.0	0.13	145.02	38.95	47.17	63.45	70.51	21.94	381.68	480.04	373.81	353.59	503.95	435.55	316.37	356.05	698.41	140.04
KLK10	0.0	0.28	189.02	470.14	20.56	473.41	563.18	113.56	1806.78	2997.45	1081.39	1832.01	2555.58	1304.15	3081.75	2240.11	1745.2	8.19
LAMA1	0.0	0.6	59.97	7.57	21.47	7.69	1.62	8.65	173.85	312.0	285.03	158.79	312.0	72.52	214.27	397.93	289.02	143.01
LAMTOR3	0.0	0.31	603.67	521.76	974.5	346.29	674.59	543.96	1369.04	1286.18	1135.2	1151.06	1437.15	1467.37	1159.07	825.0	1417.35	1081.39
LEO1	0.0	0.0	112.77	163.28	161.02	53.95	212.78	122.64	336.79	320.8	289.02	323.03	389.72	336.79	262.2	279.14	403.5	291.04
LMO3	0.0	0.43	43.32	137.14	88.26	5.73	197.09	132.44	3614.55	2451.44	4152.18	2148.82	5329.3	2796.65	3395.89	3303.0	4575.41	1159.07
LRBA	341.51	708.18	191.67	403.5	260.38	295.11	480.04	447.82	642.59	563.18	921.88	624.99	878.17	842.36	872.1	708.18	748.61	429.54
MAPKAPK3	0.0	0.18	457.25	688.78	674.59	450.94	665.29	679.29	3540.14	3212.66	3303.0	3235.01	2835.7	4543.8	5041.77	2720.15	3467.27	860.08
MDH1	0.0	0.61	1437.15	1407.55	2400.97	890.44	1991.0	1794.29	3639.7	3982.99	3212.66	3467.27	4123.49	4736.79	3124.78	2895.31	4388.98	2224.63
MDM2	373.81	511.0	688.78	684.02	1051.79	551.56	532.74	1304.15	1407.55	2537.92	1745.2	1832.01	2777.33	1191.69	967.76	1896.65	1508.65	848.22
MEAF6	0.0	0.55	1304.15	1066.48	1467.37	860.08	1322.37	981.29	2319.15	1977.24	2061.24	2417.67	2400.97	2451.44	2400.97	1769.57	2451.44	1397.83
MEGF9	0.0	0.26	351.14	229.72	228.13	170.25	182.55	262.2	860.08	764.36	1225.22	854.13	1437.15	1073.91	1111.82	902.89	1001.93	291.04
MET	0.0	0.07	94.01	271.48	103.69	131.51	1111.82	122.64	2468.49	1769.57	2777.33	1883.54	3491.39	3564.78	3614.55	1806.78	3060.45	204.07
METTL9	0.0	0.74	1781.89	1378.57	1259.69	1963.57	651.58	1175.27	2303.12	2609.3	2664.15	2018.8	3443.31	2895.31	3325.99	1651.0	2956.17	2075.59
MFAP1	0.0	0.14	356.05	195.72	426.57	363.56	291.04	283.05	599.49	620.67	567.1	543.96	514.56	507.46	595.34	493.56	638.15	571.05
MGAT4B	0.0	1.0	1529.73	2178.83	2163.77	3168.41	1883.54	1073.91	5831.91	5791.62	5555.65	4836.35	4038.61	5954.47	6699.25	4937.99	5791.62	2335.28
MMP16	0.0	0.02	0.72	13.93	15.68	4.24	7.28	4.21	68.07	65.26	142.01	49.56	132.44	49.56	148.09	34.51	99.43	25.54
MPZL2	0.0	0.42	2537.92	3235.01	890.44	1066.48	1350.18	2555.58	4481.23	5292.48	6699.25	5954.47	6607.01	9279.58	7485.11	6121.9	6652.97	1001.93
MRPL3	0.0	0.13	423.61	432.53	921.88	253.23	476.71	463.65	1225.22	1467.37	1359.57	1277.29	1407.55	1617.0	1167.14	1088.92	1617.0	1088.92
MRPS23	0.0	0.08	423.61	559.28	902.89	316.37	743.43	392.44	1977.24	2875.3	2090.03	1806.78	2537.92	2224.63	2075.59	1594.73	2287.2	1023.0
MYO5B	0.0	0.22	318.57	244.57	55.49	764.36	249.73	88.88	775.05	921.88	1044.52	660.68	1073.91	866.07	1242.34	1059.11	808.0	473.41
NIPAL3	256.78	507.46	211.31	281.09	246.28	279.14	540.19	246.28	764.36	525.39	915.51	555.41	1023.0	764.36	791.35	547.75	723.08	336.79
NLRX1	0.0	0.1	31.67	218.79	307.69	66.65	212.78	117.6	348.71	312.0	323.03	253.23	291.04	336.79	327.56	307.69	307.69	237.86
NOX4	0.0	0.26	46.18	50.27	134.3	31.67	44.89	8.85	366.09	698.41	500.46	423.61	215.77	395.18	273.37	125.24	423.61	536.45
NPM2	0.0	0.28	53.57	34.26	53.95	68.55	412.0	80.01	915.51	941.27	866.07	567.1	1015.93	438.59	1059.11	808.0	651.58	348.71
NPY1R	0.0	0.15	22.1	27.84	62.12	6.46	11.64	28.04	171.45	193.01	473.41	107.38	547.75	218.79	100.13	45.53	295.11	334.46
NRCAM	0.0	0.82	52.45	97.36	65.72	59.97	186.4	52.82	775.05	529.06	647.07	612.11	514.56	753.83	748.61	571.05	703.28	287.01
NSMCE1	0.0	0.68	1259.69	1208.34	1417.35	802.41	1313.23	1437.15	1794.29	2720.15	1733.13	2178.83	2209.26	2335.28	1721.16	1806.78	2367.9	1909.85
OLAH	0.0	0.18	4.39	2.53	7.34	2.1	5.32	3.5	49.21	43.94	82.29	10.63	103.69	30.78	34.02	53.57	149.12	8.32
OPN4	0.0	0.03	0.0	5.28	1.23	0.0	0.0	0.0	7.17	12.64	2.71	1.83	5.11	5.19	2.61	2.89	4.31	7.28
PABPC4L	0.0	0.08	4.62	15.22	32.82	0.38	14.03	4.21	34.26	40.64	55.49	32.13	38.67	76.17	71.5	27.64	75.11	57.49
PCMT1	0.0	0.64	836.53	642.59	1081.39	830.75	728.11	825.0	1313.23	1617.0	1313.23	1331.57	1447.15	1467.37	1304.15	1044.52	1794.29	1001.93
PDCD2	0.0	0.65	480.04	567.1	1044.52	384.34	718.08	450.94	961.07	1159.07	928.3	909.17	967.76	1023.0	785.88	921.88	1023.0	830.75
PDE4C	18.16	66.65	8.78	20.56	101.54	35.25	318.57	60.39	1127.35	934.76	1286.18	339.14	1369.04	1304.15	819.3	571.05	775.05	796.86
PEX3	0.0	0.0	129.69	152.28	237.86	92.7	223.41	186.4	325.29	295.11	293.07	318.57	346.29	336.79	275.28	291.04	463.65	351.14
PEX7	0.0	0.01	95.34	123.5	199.85	61.68	167.9	105.15	262.2	285.03	267.73	208.38	303.44	363.56	182.55	165.57	334.46	155.5
PFDN1	0.0	0.73	1286.18	1340.84	2032.85	1233.75	1540.37	2018.8	1709.26	2240.11	1819.35	1963.57	2004.85	1909.85	1639.59	1769.57	2075.59	1388.16
PGBD3	0.0	0.04	24.99	48.18	45.53	14.03	33.3	42.11	80.57	140.04	94.67	72.52	90.14	98.04	49.56	69.52	112.77	68.55
PGBD5	0.0	0.3	31.45	7.69	31.9	32.36	14.14	41.22	244.57	384.34	226.54	220.32	295.11	353.59	195.72	177.53	224.97	105.15
PI4K2A	0.0	0.51	743.43	529.06	470.14	1119.56	265.87	679.29	738.29	878.17	995.0	647.07	1044.52	1037.29	1295.13	693.58	780.44	463.65
POLR2J3	0.0	0.83	532.74	2875.3	1498.22	830.75	1733.13	647.07	3235.01	4095.0	6652.97	1605.83	2609.3	5672.41	3235.01	1819.35	2271.4	2915.45
PPL	0.0	0.39	460.44	312.0	141.02	305.55	1008.9	146.03	2739.08	1936.53	3212.66	1674.06	2664.15	2682.69	3325.99	1909.85	2209.26	334.46
PPP1R3G	0.0	0.06	7.57	9.7	23.93	4.35	62.12	13.62	58.71	40.36	83.45	72.52	85.82	78.89	78.89	51.35	37.85	81.14
PPP1R8	0.0	0.0	299.25	287.01	571.05	211.31	438.59	454.09	693.58	579.04	688.78	660.68	674.59	660.68	698.41	543.96	660.68	587.13
PROS1	0.0	0.45	361.04	1745.2	1259.69	229.72	607.87	713.11	4869.99	5329.3	5872.48	4972.34	5479.15	8778.97	8421.31	4010.71	6426.31	1540.37
PRPF18	0.0	0.07	205.5	202.66	361.04	161.02	234.57	214.27	470.14	616.37	480.04	460.44	555.41	743.43	507.46	397.93	743.43	371.22
PSD3	29.7	34.51	123.5	202.66	113.56	158.79	244.57	132.44	435.55	211.31	447.82	293.07	325.29	551.56	669.92	208.38	426.57	346.29
PTPLA	0.0	0.51	175.07	194.36	295.11	162.14	137.14	109.66	703.28	941.27	878.17	460.44	1081.39	688.78	842.36	587.13	934.76	158.79
RCN2	0.0	0.82	571.05	1044.52	1605.83	277.2	708.18	483.38	1651.0	1883.54	1757.34	2061.24	1936.53	1896.65	1832.01	1233.75	1991.0	1104.13
REEP5	2400.97	688.78	1044.52	1674.06	2090.03	1388.16	1551.09	1936.53	3419.52	4268.94	3168.41	3614.55	4095.0	4038.61	3395.89	3103.19	4095.0	2555.58
RMND1	0.0	0.0	154.42	231.32	237.86	59.97	281.09	110.43	423.61	444.72	525.39	423.61	521.76	567.1	483.38	395.18	429.54	525.39
RNF128	0.0	0.07	117.6	106.63	11.91	93.35	100.83	54.33	872.1	738.29	813.63	748.61	1096.5	1023.0	1023.0	397.93	872.1	236.21
RP11-366L20.2	0.0	0.22	2.07	1.3	4.86	0.71	2.1	0.0	159.9	113.56	197.09	101.54	307.69	84.63	53.19	112.77	171.45	33.78
RP11-817J15.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.22	41.22	30.34	21.32	18.7	57.49	32.13	71.5	3.35	152.28
RPH3AL	0.0	0.36	81.71	100.83	99.43	22.92	244.57	68.55	429.54	525.39	409.15	403.5	591.22	454.09	463.65	400.71	713.11	392.44
RPP40	0.0	0.0	20.86	38.67	57.49	32.82	44.57	35.76	100.83	149.12	138.1	91.41	156.59	156.59	94.67	83.45	101.54	84.04
RRM2B	0.0	0.35	423.61	403.5	435.55	444.72	329.84	559.28	698.41	633.73	896.64	638.15	1331.57	813.63	961.07	521.76	764.36	540.19
RTN4IP1	0.0	0.0	19.82	38.4	62.12	15.56	76.71	50.63	94.67	124.37	92.7	116.78	107.38	85.82	67.12	94.67	113.56	119.26
SETD9	0.0	0.26	112.77	152.28	90.77	55.1	149.12	74.06	173.85	351.14	182.55	253.23	420.68	409.15	180.02	114.36	303.44	141.02
SFT2D1	0.0	0.77	753.83	698.41	967.76	444.72	1044.52	902.89	1397.83	1477.58	1208.34	1359.57	1467.37	1508.65	1143.1	1044.52	1605.83	1340.84
SGK3	0.0	0.24	143.01	106.63	221.86	47.17	169.07	141.02	607.87	316.37	624.99	595.34	679.29	808.0	728.11	279.14	791.35	217.27
SH2D4A	0.0	0.35	182.55	297.17	120.94	728.11	249.73	76.71	884.29	511.0	921.88	497.0	854.13	1044.52	728.11	493.56	825.0	297.17
SLC25A38	0.0	0.06	258.57	341.51	409.15	327.56	460.44	242.88	830.75	836.53	825.0	802.41	854.13	836.53	669.92	764.36	915.51	476.71
SLC4A11	0.0	0.62	3.53	11.55	35.0	9.34	44.25	120.1	743.43	934.76	616.37	447.82	928.3	591.22	785.88	1001.93	780.44	301.33
SMARCB1	0.0	0.54	591.22	728.11	587.13	651.58	785.88	703.28	1721.16	2271.4	1794.29	2163.77	1844.76	1757.34	1605.83	1977.24	1857.6	1250.98
SNTA1	0.0	0.49	130.6	291.04	353.59	256.78	277.2	191.67	1044.52	941.27	884.29	1119.56	733.19	974.5	866.07	896.64	1135.2	866.07
SPECC1	0.0	0.65	157.68	87.65	66.18	143.01	117.6	183.82	813.63	708.18	780.44	547.75	698.41	884.29	866.07	688.78	638.15	684.02
SRP68	1427.22	237.86	934.76	1059.11	947.83	909.17	1081.39	759.08	1870.53	2163.77	2004.85	1781.89	2367.9	2090.03	1697.45	1806.78	2193.99	1111.82
ST6GALNAC5	0.0	0.16	273.37	169.07	163.28	224.97	167.9	514.56	307.69	341.51	371.22	307.69	708.18	454.09	1008.9	438.59	660.68	132.44
ST8SIA2	0.0	0.0	0.0	0.0	7.51	0.0	0.0	0.66	3.2	12.74	6.21	11.47	6.31	4.28	7.22	14.56	6.46	13.22
STK32A	0.0	0.39	1.2	90.14	15.45	0.0	177.53	0.84	825.0	466.88	802.41	312.0	890.44	599.49	909.17	275.28	583.07	118.43
SVIP	563.18	92.7	473.41	379.04	262.2	463.65	591.22	144.01	884.29	967.76	848.22	974.5	902.89	915.51	988.12	642.59	1350.18	769.69
SYF2	0.0	0.51	1417.35	1359.57	1819.35	961.07	1757.34	1037.29	2119.22	2240.11	2178.83	2287.2	2537.92	2163.77	2255.7	1721.16	2701.35	2133.97
TBC1D2	0.0	0.39	902.89	463.65	289.02	603.67	665.29	473.41	1304.15	2502.97	1268.46	1583.71	1151.06	2018.8	1286.18	1407.55	1378.57	842.36
TCTN3	0.0	0.46	239.52	599.49	698.41	246.28	547.75	503.95	1628.26	1437.15	1617.0	1066.48	1216.75	3124.78	3257.52	1498.22	2104.58	612.11
THRSP	0.0	0.07	2.41	1.11	2.07	1.79	0.89	0.0	412.0	457.25	162.14	182.55	579.04	813.63	86.43	123.5	361.04	48.52
THYN1	0.0	0.57	297.17	579.04	1477.58	361.04	1143.1	454.09	1159.07	2739.08	2119.22	2178.83	2537.92	2163.77	1685.71	2104.58	2417.67	1508.65
TMEM132B	0.0	0.07	0.48	0.46	6.01	0.89	8.85	8.25	15.56	13.12	20.41	16.03	39.22	8.58	33.54	10.88	11.55	46.84
TMEM17	0.0	0.0	13.62	32.59	34.26	21.01	49.91	36.79	120.1	120.94	119.26	103.69	118.43	91.41	106.63	75.11	121.79	91.41
TMEM233	0.0	0.09	20.26	61.25	47.5	6.52	167.9	74.06	403.5	400.71	400.71	244.57	389.72	114.36	693.58	444.72	395.18	246.28
TNFRSF10C	0.0	0.39	529.06	438.59	62.12	255.0	108.9	371.22	579.04	540.19	679.29	529.06	896.64	656.11	595.34	368.65	616.37	77.79
TRIM63	0.0	0.16	4.66	21.78	3.96	3.79	11.47	37.05	24.81	91.41	104.42	46.5	50.98	68.07	135.24	82.29	127.0	7.4
UBE2F	0.0	0.61	981.29	660.68	1183.45	1225.22	511.0	1508.65	1617.0	2209.26	1208.34	1477.58	1529.73	1697.45	1277.29	1457.23	1674.06	1127.35
UPK3BL	444.72	3955.48	132.44	2032.85	693.58	323.03	503.95	172.65	4671.57	9279.58	11992.79	2701.35	3103.19	13872.08	9215.48	3103.19	4239.45	2956.17
VWA9	0.0	0.0	244.57	412.0	490.14	126.12	325.29	366.09	684.02	642.59	642.59	693.58	830.75	669.92	612.11	540.19	808.0	547.75
WTIP	34.51	55.49	94.67	289.02	295.11	253.23	211.31	180.02	529.06	764.36	808.0	656.11	532.74	361.04	599.49	633.73	941.27	493.56
ZBTB7C	0.0	0.39	27.05	24.81	53.57	248.0	764.36	163.28	743.43	624.99	624.99	532.74	679.29	769.69	915.51	638.15	728.11	417.77
ZNF827	0.0	0.32	57.89	142.01	110.43	97.36	183.82	58.3	175.07	101.54	152.28	108.14	132.44	122.64	171.45	114.36	120.1	181.28
ZNRF2	0.0	0.39	215.77	84.04	120.1	105.15	96.01	178.77	323.03	271.48	314.17	291.04	536.45	497.0	473.41	249.73	406.31	208.38
