	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.W5.AA2X.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.L5.A4OG.11A.12R.A260.31	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.FV.A23B.11A.11R.A16W.07	TCGA.VQ.A8PD.01A.11R.A414.31	TCGA.VQ.A923.01A.11R.A414.31	TCGA.HU.A4G8.01A.11R.A251.31	TCGA.VQ.A8PQ.01A.11R.A414.31	TCGA.FP.A9TM.01A.11R.A39E.31	TCGA.D7.A4YV.01A.11R.A251.31
ANKHD1	1066.48	1359.57	1104.13	928.3	1709.26	669.92	669.92	674.59	426.57	674.59	1037.29	2384.37	1950.0	1883.54	3280.18	2319.15	2485.67
ANKRD32	69.52	72.52	38.67	31.9	58.71	17.51	24.46	23.76	19.53	14.24	45.53	93.35	157.68	112.77	91.41	96.01	142.01
AP001885.1	0.21	0.21	0.0	0.0	7.63	1.93	0.0	1.66	0.0	0.0	0.0	23.42	23.42	7.88	27.84	25.54	12.74
AP1B1	764.36	718.08	802.41	656.11	1417.35	507.46	460.44	511.0	1001.93	708.18	718.08	1745.2	1350.18	1051.79	1662.49	1427.22	1304.15
ARAP2	142.01	122.64	108.9	90.77	159.9	41.22	55.1	47.5	12.55	39.22	99.43	301.33	285.03	441.64	409.15	305.55	587.13
ARFGEF1	769.69	808.0	457.25	358.54	728.11	258.57	327.56	253.23	129.69	283.05	414.87	1508.65	708.18	624.99	825.0	1051.79	1151.06
ARHGAP26	309.83	470.14	96.01	82.87	234.57	43.63	51.35	32.13	51.71	46.18	81.71	813.63	764.36	412.0	1529.73	1030.12	1417.35
ARHGEF38	967.76	2255.7	5.63	4.54	13.52	1.46	1.36	1.28	0.0	0.8	5.54	204.07	251.48	438.59	327.56	529.06	579.04
ASB7	128.79	214.27	90.14	78.89	117.6	78.89	81.71	63.0	46.5	52.82	105.15	159.9	169.07	214.27	186.4	221.86	186.4
ASH1L	197.09	309.83	132.44	95.34	403.5	66.65	77.25	55.49	24.11	60.82	137.14	514.56	457.25	318.57	743.43	473.41	518.15
ATAD5	7.51	10.0	6.94	7.11	26.28	4.39	4.66	1.51	0.0	2.92	7.4	82.87	144.01	90.77	60.82	138.1	124.37
ATF7IP	81.71	161.02	164.42	134.3	289.02	73.54	104.42	64.8	98.04	67.59	180.02	703.28	511.0	285.03	1111.82	674.59	896.64
ATG7	291.04	269.6	189.02	181.28	371.22	172.65	150.17	149.12	237.86	180.02	242.88	503.95	426.57	384.34	454.09	414.87	429.54
ATXN7L3B	1437.15	1745.2	660.68	599.49	878.17	587.13	540.19	466.88	571.05	470.14	728.11	1674.06	1594.73	1417.35	1605.83	1477.58	2209.26
BAZ1A	368.65	507.46	275.28	206.94	454.09	116.78	120.1	97.36	42.11	159.9	228.13	854.13	1044.52	866.07	802.41	928.3	928.3
BRWD3	47.84	64.8	34.26	35.25	124.37	27.44	27.64	21.16	9.27	24.28	47.17	169.07	217.27	87.03	199.85	221.86	209.84
BX255923.1	2.16	0.0	1.1	0.0	2.97	1.2	1.11	0.0	0.0	1.14	0.0	12.36	25.35	7.82	13.62	10.55	6.36
C12orf74	638.15	575.03	0.47	0.0	1.87	1.58	0.0	0.91	0.0	0.49	0.95	13.83	9.06	8.65	37.59	14.56	6.94
C4orf21	31.22	38.4	30.34	38.67	63.89	15.8	11.04	6.94	1.99	6.06	23.93	140.04	329.84	223.41	155.5	246.28	177.53
C9orf38	0.28	0.28	0.0	0.0	2.46	0.0	0.0	0.0	0.0	0.0	0.0	9.13	12.18	5.36	12.83	15.11	6.06
CACNA1I	0.88	7.75	0.64	0.71	6.52	0.0	0.0	0.0	0.0	0.0	1.64	19.39	8.92	1.73	100.13	3.26	4.1
CASP10	157.68	76.17	121.79	102.25	208.38	60.39	70.51	78.89	59.97	84.04	125.24	599.49	514.56	144.01	441.64	738.29	180.02
CASP2	466.88	743.43	125.24	106.63	309.83	75.11	55.89	46.84	57.49	48.87	107.38	693.58	860.08	591.22	703.28	616.37	555.41
CCDC88C	454.09	693.58	100.13	112.77	447.82	50.27	80.57	49.91	31.9	44.57	131.51	1628.26	1037.29	665.29	2163.77	1268.46	830.75
CDC14A	162.14	444.72	26.28	31.67	124.37	12.74	10.71	8.06	8.25	9.93	38.4	148.09	180.02	115.97	281.09	126.12	162.14
CENPK	17.38	50.98	19.11	14.03	60.82	6.89	3.53	6.46	1.13	7.11	35.25	206.94	454.09	483.38	111.99	309.83	547.75
CEP135	89.51	75.11	25.91	21.32	67.59	11.64	9.63	7.88	1.58	12.83	29.48	159.9	163.28	89.51	264.03	208.38	149.12
CHD6	295.11	327.56	150.17	116.78	303.44	92.7	110.43	81.14	62.12	101.54	150.17	361.04	587.13	249.73	555.41	536.45	473.41
CHRNG	0.0	22.59	0.0	0.0	2.73	0.0	0.0	0.0	0.0	0.0	0.0	3.47	3.17	3.26	6.11	7.34	2.39
CPSF2	205.5	387.02	236.21	187.71	316.37	153.34	137.14	140.04	108.14	204.07	255.0	595.34	409.15	417.77	473.41	616.37	713.11
CTC-349C3.1	21.94	33.78	14.35	26.1	143.01	50.98	4.86	10.08	6.84	16.15	27.64	215.77	175.07	134.3	198.47	182.55	120.94
CTD-2583A14.10	46.18	58.71	22.59	33.3	83.45	17.13	6.01	15.8	0.0	0.0	61.68	137.14	183.82	89.51	178.77	141.02	153.34
CTNND1	1733.13	2367.9	1551.09	1427.22	3419.52	988.12	1119.56	941.27	1044.52	928.3	1487.87	2935.74	4937.99	3820.7	2758.13	3874.05	3928.15
DCAF16	273.37	400.71	99.43	70.51	309.83	52.82	40.36	36.53	32.82	44.25	94.67	507.46	599.49	493.56	674.59	575.03	748.61
DCK	182.55	242.88	88.26	80.01	208.38	61.25	57.08	32.59	50.98	55.89	115.16	450.94	450.94	587.13	718.08	620.67	934.76
DCLRE1C	109.66	195.72	38.4	34.51	189.02	26.28	23.25	8.32	3.26	23.76	39.5	384.34	409.15	275.28	454.09	426.57	318.57
DDX26B	134.3	237.86	40.36	41.22	212.78	9.93	21.47	18.43	1.77	6.78	57.89	217.27	287.01	156.59	423.61	314.17	95.34
DEF6	775.05	536.45	163.28	158.79	808.0	49.56	67.59	22.1	53.19	74.58	209.84	1216.75	1295.13	759.08	1977.24	684.02	341.51
DENND1B	115.16	115.16	86.43	80.57	157.68	53.95	65.26	43.63	18.03	59.55	75.11	258.57	212.78	167.9	258.57	255.0	187.71
DLG1	620.67	988.12	460.44	406.31	928.3	249.73	318.57	244.57	162.14	256.78	429.54	967.76	1259.69	902.89	842.36	1119.56	1216.75
DNAJC13	226.54	251.48	211.31	220.32	466.88	145.02	161.02	127.89	87.65	153.34	224.97	629.35	620.67	303.44	591.22	435.55	511.0
DTX2	808.0	1159.07	343.89	285.03	1191.69	232.94	170.25	187.71	223.41	242.88	232.94	854.13	1909.85	1369.04	995.0	941.27	802.41
EFR3A	460.44	571.05	463.65	358.54	503.95	343.89	373.81	303.44	220.32	320.8	525.39	1104.13	583.07	674.59	599.49	769.69	921.88
EIF2B5	947.83	1008.9	848.22	884.29	1427.22	669.92	723.08	587.13	571.05	703.28	830.75	1388.16	2061.24	1135.2	1359.57	1369.04	1001.93
ELK4	165.57	220.32	187.71	145.02	231.32	105.15	101.54	107.38	59.97	106.63	156.59	532.74	669.92	656.11	872.1	417.77	441.64
ERMN	13.93	4.78	6.52	5.92	40.93	3.08	3.47	0.88	0.0	0.0	5.23	70.51	46.84	13.52	94.01	66.18	27.05
FAM117B	153.34	183.82	46.5	48.18	86.43	22.75	48.87	17.13	12.27	15.56	52.08	214.27	237.86	140.04	341.51	195.72	281.09
FANCM	53.19	74.58	38.4	60.82	88.88	13.83	17.9	16.03	0.82	8.99	21.94	92.7	164.42	102.97	121.79	144.01	113.56
FBXO45	88.88	128.79	75.11	63.0	105.89	76.71	68.55	73.54	39.5	54.72	84.63	183.82	232.94	195.72	103.69	204.07	236.21
FBXW8	96.01	166.73	72.01	65.26	163.28	42.11	40.07	28.04	52.82	35.5	74.06	199.85	173.85	110.43	249.73	206.94	255.0
FRYL	387.02	525.39	206.94	236.21	521.76	139.07	161.02	106.63	46.18	100.83	218.79	860.08	981.29	848.22	1015.93	1127.35	1551.09
GCNT7	0.09	0.6	0.0	0.0	1.83	0.0	0.0	0.0	0.0	0.0	0.0	3.06	8.19	1.97	8.38	6.06	4.06
GMIP	231.32	197.09	110.43	109.66	307.69	35.25	59.97	24.11	64.8	52.82	143.01	854.13	878.17	403.5	1561.89	825.0	567.1
GNA13	723.08	555.41	265.87	206.94	409.15	131.51	150.17	241.19	131.51	223.41	287.01	884.29	890.44	866.07	1051.79	830.75	802.41
GNL3L	31.67	69.03	52.45	39.79	135.24	23.08	28.24	20.86	36.27	22.92	60.39	432.53	339.14	320.8	665.29	444.72	480.04
GOLGB1	1051.79	1250.98	567.1	447.82	842.36	417.77	429.54	403.5	141.02	395.18	563.18	1037.29	1447.15	915.51	928.3	941.27	1304.15
GPATCH8	256.78	361.04	180.02	130.6	435.55	66.65	88.88	46.18	51.71	56.28	164.42	543.96	629.35	406.31	728.11	547.75	536.45
GPR114	15.11	63.45	8.58	13.52	24.81	5.45	13.22	23.76	9.63	4.62	15.8	159.9	149.12	70.01	503.95	323.03	88.88
GPR52	1.53	0.84	0.0	0.0	1.81	0.0	0.0	0.0	0.0	0.0	0.0	2.84	3.56	0.25	8.13	3.99	2.01
GSE1	571.05	665.29	403.5	279.14	693.58	178.77	146.03	212.78	144.01	148.09	285.03	733.19	733.19	674.59	802.41	669.92	1359.57
HEATR5B	209.84	264.03	142.01	132.44	320.8	96.68	87.65	62.56	56.68	65.72	150.17	426.57	507.46	303.44	490.14	447.82	438.59
HELZ	130.6	197.09	144.01	125.24	195.72	77.25	102.97	57.89	43.32	63.0	147.06	381.68	409.15	256.78	409.15	351.14	406.31
HMGXB3	486.75	791.35	283.05	158.79	429.54	98.73	81.14	96.01	95.34	111.21	183.82	624.99	693.58	559.28	718.08	543.96	620.67
IL17REL	6.78	0.48	0.48	0.0	2.86	0.0	0.0	0.0	0.44	0.51	0.47	32.82	11.38	8.38	132.44	85.82	177.53
IL23R	0.0	3.0	0.0	0.59	0.52	0.0	0.53	0.0	0.0	0.0	1.51	7.0	10.24	0.84	10.71	4.24	2.34
INSL3	8.71	0.0	2.48	0.0	14.56	2.1	4.82	1.81	0.0	0.0	6.36	55.49	58.3	35.76	141.02	61.68	35.5
INTS2	45.85	68.07	41.81	37.59	102.25	27.84	33.54	22.92	21.16	33.3	49.56	167.9	231.32	198.47	199.85	201.25	195.72
KBTBD2	536.45	497.0	351.14	287.01	438.59	205.5	215.77	226.54	152.28	205.5	343.89	679.29	842.36	409.15	733.19	583.07	595.34
KIF3A	102.25	105.15	32.13	19.39	109.66	12.27	14.03	8.99	9.13	16.75	30.78	139.07	177.53	110.43	167.9	155.5	229.72
LARP1	698.41	1199.98	669.92	536.45	1427.22	395.18	473.41	343.89	444.72	376.41	647.07	2090.03	1769.57	2609.3	2351.53	1844.76	2451.44
LCORL	104.42	112.77	76.71	55.1	89.51	62.56	78.89	51.71	27.84	46.18	65.72	156.59	211.31	172.65	187.71	260.38	287.01
LIMK1	620.67	514.56	113.56	103.69	255.0	46.84	56.28	30.78	72.01	62.56	138.1	713.11	688.78	297.17	854.13	493.56	476.71
LINS	208.38	454.09	149.12	120.94	305.55	65.72	82.29	57.08	51.71	92.05	115.16	351.14	529.06	450.94	435.55	373.81	327.56
LRIG2	83.45	133.36	57.49	53.95	176.29	30.78	36.27	15.56	13.22	26.47	48.52	299.25	303.44	172.65	336.79	220.32	221.86
LRRC18	536.45	2351.53	0.0	0.62	5.19	0.0	0.0	0.0	0.0	0.0	1.07	8.06	2.46	0.0	16.63	3.82	2.71
LRRC58	165.57	275.28	125.24	104.42	201.25	86.43	98.04	81.71	28.86	57.89	134.3	376.41	269.6	403.5	323.03	397.93	563.18
LRRK1	414.87	511.0	46.84	53.57	220.32	21.16	17.38	5.96	11.38	14.56	52.82	379.04	253.23	363.56	642.59	444.72	150.17
LSG1	341.51	329.84	536.45	329.84	521.76	283.05	229.72	229.72	175.07	271.48	332.14	819.3	1151.06	743.43	902.89	1104.13	738.29
LYN	947.83	1015.93	287.01	267.73	265.87	153.34	229.72	124.37	177.53	199.85	384.34	1639.59	1208.34	1340.84	1487.87	2004.85	902.89
MAP3K1	684.02	642.59	156.59	115.16	275.28	91.41	104.42	62.56	37.05	66.18	185.11	392.44	463.65	208.38	825.0	409.15	426.57
MAP3K2	242.88	236.21	241.19	171.45	237.86	128.79	139.07	140.04	43.94	141.02	218.79	454.09	351.14	325.29	490.14	366.09	503.95
MB21D1	71.5	68.07	15.45	12.27	49.56	9.2	9.06	4.98	1.3	12.93	22.59	175.07	251.48	185.11	173.85	180.02	246.28
MED13	146.03	236.21	241.19	206.94	271.48	156.59	181.28	129.69	62.56	98.04	221.86	486.75	559.28	400.71	521.76	463.65	603.67
MFN1	511.0	575.03	209.84	172.65	656.11	89.51	149.12	96.68	81.71	110.43	224.97	791.35	1001.93	529.06	693.58	854.13	796.86
MFSD8	195.72	221.86	161.02	181.28	262.2	98.73	131.51	115.16	76.17	125.24	177.53	256.78	320.8	305.55	358.54	325.29	303.44
MXRA5	154.42	343.89	33.54	63.45	163.28	34.02	36.53	20.26	18.7	37.05	49.91	651.58	842.36	201.25	384.34	164.42	392.44
MYH9	3372.43	3168.41	3060.45	2935.74	4607.24	1697.45	1350.18	1397.83	2163.77	1685.71	2645.74	11424.74	8363.13	4123.49	11584.24	6607.01	5872.48
NBEAL2	647.07	915.51	599.49	348.71	2400.97	133.36	125.24	75.11	85.82	171.45	351.14	4869.99	3874.05	2956.17	3235.01	3690.52	2701.35
NCOA3	170.25	397.93	155.5	138.1	371.22	79.45	98.04	72.52	74.06	81.71	170.25	629.35	718.08	307.69	988.12	583.07	521.76
NF1	244.57	409.15	146.03	130.6	273.37	93.35	94.01	75.64	52.08	89.51	150.17	551.56	684.02	511.0	579.04	563.18	633.73
NHS	255.0	343.89	3.92	4.39	57.08	1.39	4.5	1.22	0.68	0.77	5.41	228.13	329.84	67.59	143.01	102.97	236.21
NIN	156.59	285.03	90.14	75.64	275.28	38.95	50.63	33.78	20.41	43.94	111.21	432.53	256.78	256.78	836.53	417.77	269.6
NIPBL	567.1	536.45	397.93	295.11	486.75	237.86	232.94	172.65	46.84	186.4	285.03	713.11	769.69	603.67	928.3	647.07	848.22
OFD1	860.08	660.68	361.04	267.73	759.08	204.07	244.57	182.55	23.59	132.44	327.56	647.07	1350.18	1159.07	1175.27	1096.5	954.43
OPA1	158.79	334.46	454.09	406.31	603.67	229.72	361.04	248.0	234.57	414.87	497.0	988.12	934.76	1167.14	703.28	819.3	988.12
PAG1	48.52	49.56	53.57	56.28	70.51	42.71	19.39	23.08	17.0	37.05	76.71	256.78	231.32	124.37	358.54	271.48	185.11
PAK2	389.72	583.07	420.68	312.0	486.75	320.8	351.14	353.59	264.03	371.22	384.34	995.0	642.59	476.71	1037.29	860.08	842.36
PHACTR2	167.9	161.02	105.15	74.06	353.59	61.68	53.57	26.1	20.56	96.01	109.66	543.96	429.54	198.47	397.93	287.01	373.81
PIK3C2B	77.25	109.66	91.41	93.35	323.03	63.89	45.53	30.34	37.32	48.52	106.63	780.44	764.36	684.02	842.36	884.29	1159.07
PLEKHG1	237.86	368.65	62.56	60.82	94.01	32.13	37.59	23.25	24.46	39.5	71.0	325.29	197.09	134.3	373.81	249.73	201.25
PLEKHG7	7537.18	11267.44	3.17	3.0	3.38	1.79	2.68	1.06	2.89	3.79	3.14	35.5	28.24	14.45	56.28	34.26	16.03
PLEKHS1	1078054.48	887875.81	10.79	0.0	5.36	0.0	0.67	0.64	0.0	0.69	1.68	921.88	1407.55	320.8	555.41	511.0	1417.35
POLD3	127.0	193.01	99.43	91.41	244.57	65.72	81.71	61.68	47.17	58.71	114.36	373.81	974.5	373.81	674.59	1457.23	480.04
PPIAL4B	0.0	0.0	0.0	0.0	0.48	0.0	0.0	1.38	0.0	0.0	0.0	4.46	4.7	0.0	10.39	2.53	0.39
PPP4R1L	104.42	151.22	54.72	33.54	167.9	15.22	12.18	6.46	15.68	14.45	43.63	221.86	169.07	157.68	285.03	318.57	177.53
PRDM10	70.01	99.43	43.63	37.85	85.22	27.64	44.25	17.0	14.14	22.43	48.52	144.01	180.02	165.57	191.67	145.02	156.59
PTPN22	155.5	111.21	28.04	24.11	61.68	7.28	9.48	5.77	4.58	12.0	44.57	194.36	323.03	95.34	397.93	189.02	193.01
PTPN4	224.97	279.14	147.06	148.09	197.09	100.83	181.28	85.82	32.82	98.04	137.14	368.65	356.05	236.21	384.34	476.71	312.0
PTPRT	3665.02	3018.3	2.14	1.27	1.81	1.23	0.61	0.58	0.56	1.17	1.62	9.56	2.58	1.69	10.08	11.13	2.14
QTRTD1	137.14	248.0	117.6	103.69	205.5	63.0	74.06	69.03	52.82	75.11	128.79	361.04	447.82	389.72	366.09	384.34	403.5
RAB19	39.22	94.01	5.41	0.0	5.63	0.0	0.0	1.58	0.0	1.75	4.13	89.51	127.89	101.54	140.04	92.05	96.68
RASA2	232.94	237.86	82.29	67.59	187.71	40.64	60.82	38.12	18.43	41.22	91.41	305.55	318.57	212.78	480.04	312.0	267.73
RBM27	126.12	215.77	134.3	96.68	185.11	76.17	78.89	74.06	22.26	70.51	116.78	329.84	220.32	269.6	395.18	297.17	358.54
RCAN3	151.22	260.38	36.79	46.18	191.67	21.01	11.04	7.94	13.12	23.42	58.3	426.57	264.03	191.67	713.11	320.8	429.54
REST	186.4	253.23	136.19	102.25	197.09	68.07	87.65	102.97	28.65	66.18	115.97	312.0	285.03	312.0	429.54	273.37	460.44
RLIM	205.5	289.02	105.89	87.03	220.32	80.01	70.01	84.04	51.35	75.11	127.0	368.65	441.64	356.05	447.82	363.56	547.75
RNF113B	0.0	0.0	0.0	0.0	1.99	0.0	0.0	0.0	0.0	1.01	0.0	2.66	1.77	1.0	3.86	4.13	2.03
RNF168	155.5	249.73	155.5	124.37	166.73	98.04	100.83	176.29	55.49	145.02	134.3	221.86	303.44	277.2	220.32	232.94	228.13
RNF44	780.44	802.41	312.0	249.73	878.17	150.17	194.36	151.22	149.12	122.64	295.11	1286.18	1199.98	1369.04	2384.37	1487.87	1159.07
ROR1	165.57	551.56	6.89	5.77	77.25	2.18	3.41	0.99	1.83	3.96	5.5	204.07	127.0	25.17	159.9	56.68	47.84
RP11-123K3.4	3.79	11.38	2.56	1.19	3.92	1.16	0.55	0.51	0.0	1.62	1.53	17.0	6.36	1.89	52.82	17.51	49.91
RP11-276H1.3	0.0	0.0	0.0	0.0	1.73	0.0	0.0	0.0	0.0	0.0	0.0	11.55	6.11	2.73	14.89	9.2	5.23
RP11-307N16.6	0.0	0.0	0.0	0.0	1.58	0.0	0.0	0.0	0.0	0.0	0.0	2.46	8.85	0.61	6.94	6.16	3.69
RP11-382J12.1	1.04	3.41	4.54	5.87	5.15	0.0	3.89	4.94	2.27	0.0	4.5	20.56	17.38	13.42	36.79	45.53	11.04
RREB1	262.2	409.15	363.56	237.86	444.72	177.53	106.63	178.77	228.13	144.01	221.86	575.03	454.09	432.53	500.46	432.53	551.56
SAP130	307.69	293.07	149.12	139.07	299.25	75.64	95.34	77.25	94.01	90.77	139.07	518.15	470.14	432.53	633.73	497.0	555.41
SCLT1	78.34	55.1	53.57	36.79	87.03	30.12	26.86	15.22	9.63	26.28	47.84	138.1	178.77	138.1	199.85	178.77	150.17
SENP5	197.09	237.86	173.85	155.5	343.89	105.89	98.04	112.77	60.39	105.15	124.37	429.54	567.1	336.79	432.53	387.02	358.54
SFT2D2	212.78	220.32	159.9	178.77	295.11	161.02	175.07	211.31	110.43	211.31	194.36	583.07	435.55	325.29	616.37	412.0	559.28
SGK223	251.48	395.18	82.29	52.82	133.36	14.14	14.67	11.21	48.87	28.45	74.58	420.68	497.0	267.73	909.17	660.68	432.53
SH3BP1	373.81	293.07	82.87	99.43	208.38	27.84	47.84	19.39	61.68	45.85	131.51	769.69	872.1	1151.06	1199.98	503.95	612.11
SH3RF2	616.37	733.19	158.79	120.1	718.08	120.94	83.45	111.99	162.14	123.5	111.99	629.35	1119.56	647.07	1529.73	884.29	122.64
SIMC1	343.89	299.25	183.82	108.14	289.02	143.01	144.01	103.69	129.69	77.79	112.77	406.31	414.87	329.84	493.56	299.25	599.49
SIPA1L1	633.73	473.41	525.39	483.38	748.61	387.02	351.14	332.14	218.79	281.09	426.57	1199.98	1551.09	981.29	1030.12	909.17	1199.98
SLC12A8	154.42	208.38	108.9	41.22	104.42	33.06	74.58	95.34	54.33	81.14	172.65	186.4	183.82	131.51	217.27	249.73	132.44
SLC35E1	718.08	1127.35	450.94	409.15	669.92	387.02	329.84	363.56	348.71	303.44	412.0	1143.1	642.59	679.29	1350.18	902.89	848.22
SLC6A6	503.95	954.43	68.07	65.26	307.69	29.27	28.24	5.41	24.11	19.25	80.57	848.22	819.3	217.27	688.78	361.04	780.44
SLFN14	1.81	2.01	0.0	0.87	2.32	0.0	0.0	0.0	0.0	0.0	2.14	10.79	10.96	1.13	11.3	4.17	4.21
SLFN5	713.11	1030.12	52.45	52.82	172.65	36.01	33.78	16.88	13.22	35.25	131.51	470.14	435.55	265.87	1066.48	264.03	392.44
SMEK1	1286.18	1794.29	1127.35	915.51	1268.46	759.08	808.0	575.03	232.94	616.37	866.07	1540.37	1745.2	1639.59	1685.71	1551.09	1685.71
SPICE1	138.1	256.78	102.25	74.06	178.77	44.89	44.89	25.17	40.36	26.47	75.11	234.57	397.93	204.07	232.94	314.17	239.52
SRGAP1	57.89	44.57	26.67	19.25	94.67	6.62	6.11	1.99	8.0	5.73	19.97	158.79	176.29	172.65	187.71	198.47	346.29
STIM2	718.08	591.22	273.37	215.77	314.17	163.28	175.07	124.37	82.29	191.67	244.57	665.29	748.61	698.41	988.12	1286.18	718.08
SUSD1	141.02	149.12	84.63	72.01	139.07	22.1	39.22	20.41	45.85	35.0	98.04	376.41	316.37	115.97	353.59	269.6	195.72
SYNRG	343.89	334.46	195.72	169.07	356.05	108.14	108.9	122.64	127.89	91.41	212.78	603.67	603.67	366.09	928.3	555.41	684.02
TAF1	214.27	320.8	169.07	110.43	361.04	80.01	80.01	63.45	39.79	67.59	169.07	450.94	607.87	381.68	785.88	438.59	457.25
TATDN2	429.54	591.22	215.77	201.25	457.25	159.9	176.29	155.5	170.25	151.22	271.48	547.75	500.46	571.05	616.37	490.14	514.56
TBL1XR1	775.05	1088.92	348.71	309.83	575.03	214.27	269.6	211.31	128.79	229.72	299.25	1378.57	1216.75	796.86	1023.0	1467.37	1388.16
TDRD7	299.25	187.71	151.22	150.17	239.52	112.77	106.63	89.51	62.12	116.78	193.01	301.33	363.56	264.03	470.14	450.94	327.56
TET3	68.55	85.22	57.89	35.25	105.89	34.51	23.76	23.42	10.88	18.43	52.08	289.02	285.03	258.57	312.0	293.07	363.56
TM9SF3	1295.13	1857.6	842.36	836.53	1561.89	688.78	651.58	583.07	493.56	802.41	928.3	4181.07	3372.43	2240.11	2047.0	3257.52	5366.37
TMC6	1023.0	791.35	470.14	371.22	995.0	148.09	226.54	120.94	148.09	195.72	435.55	2061.24	1757.34	878.17	3212.66	1551.09	1183.45
TMEM131	476.71	1183.45	279.14	239.52	624.99	170.25	193.01	186.4	159.9	178.77	251.48	1051.79	1104.13	679.29	1529.73	1268.46	1175.27
TMEM75	0.34	0.0	0.0	0.0	1.01	0.0	0.0	0.0	0.0	0.0	0.0	10.88	4.86	8.13	10.24	5.02	8.45
TMEM98	3103.19	5076.84	836.53	693.58	1088.92	209.84	329.84	571.05	612.11	336.79	679.29	995.0	2835.7	642.59	1340.84	688.78	1651.0
TRAF3	79.45	90.77	119.26	116.78	154.42	58.3	54.33	64.34	90.77	81.71	111.21	457.25	295.11	195.72	503.95	389.72	293.07
TRIP11	126.12	293.07	133.36	116.78	256.78	75.11	97.36	79.45	19.82	81.71	156.59	463.65	281.09	241.19	329.84	387.02	493.56
TRMT2B	384.34	493.56	115.16	121.79	277.2	73.03	96.68	64.34	89.51	102.97	108.14	341.51	518.15	248.0	612.11	318.57	309.83
UGGT1	127.0	253.23	262.2	277.2	341.51	185.11	154.42	170.25	211.31	299.25	287.01	656.11	486.75	540.19	884.29	775.05	884.29
UVRAG	215.77	305.55	181.28	178.77	295.11	127.89	118.43	104.42	87.03	98.04	189.02	373.81	397.93	163.28	660.68	417.77	312.0
VCPIP1	92.7	120.94	88.26	74.06	98.73	75.11	60.82	68.07	30.56	74.06	71.0	248.0	152.28	197.09	194.36	208.38	223.41
VPS13A	130.6	172.65	162.14	158.79	583.07	140.04	96.01	82.29	27.44	90.14	139.07	642.59	1081.39	738.29	674.59	813.63	490.14
VPS53	130.6	211.31	139.07	105.15	435.55	108.9	79.45	90.14	154.42	95.34	132.44	775.05	802.41	409.15	525.39	624.99	629.35
