	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.ZF.A9R0.01A.11R.A38B.07	TCGA.CF.A7I0.01A.22R.A352.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.KQ.A41P.01A.12R.A33J.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.LT.A5Z6.01A.11R.A28M.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8324.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.P4QS.1126.SM.3NMD5	GTEX.13OW6.1826.SM.5N9F9	GTEX.1497J.0826.SM.5NQAJ	GTEX.13OVI.1126.SM.5KLZF	GTEX.147F4.2626.SM.5Q5CS	GTEX.12WSG.0826.SM.5EQ5A	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5679.11A.01R.1541.07	TCGA.CZ.5984.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.5691.11A.01R.1541.07	TCGA.B0.5694.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.CW.5589.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.B0.5705.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.CZ.5461.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.7051.11A.02R.1965.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.RWSA.1426.SM.47JXA	GTEX.REY6.1226.SM.48FDR	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.11TTK.0826.SM.5N9EG	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW
BICD1	48.52	92.7	44.57	53.19	10.08	147.06	135.24	204.07	83.45	45.85	197.09	156.59	56.28	175.07	178.77	135.24	158.79	70.51	89.51	62.56	208.38	130.6	412.0	379.04	152.28	171.45	165.57	121.79	830.75	100.83	118.43	303.44	249.73	205.5	271.48	253.23	232.94	155.5	164.42	127.0	236.21	148.09	176.29	208.38	105.89	152.28	199.85	178.77	175.07	190.34	376.41	190.34	169.07	80.01	346.29	169.07	187.71	185.11	237.86	173.85	269.6	142.01	80.01	55.49	108.9	115.97	220.32	103.69	89.51	163.28	269.6	124.37	124.37	63.45	142.01	146.03	208.38	115.97	108.9	17.64	32.82	35.76	19.39	2.48	17.0	17.25	6.62	16.03	13.42	20.11	169.07	199.85	125.24	209.84	156.59	178.77	206.94	107.38
BMPR2	153.34	173.85	182.55	177.53	218.79	170.25	155.5	141.02	114.36	115.16	438.59	299.25	149.12	384.34	305.55	229.72	256.78	202.66	305.55	242.88	525.39	363.56	825.0	1167.14	414.87	323.03	221.86	234.57	389.72	305.55	414.87	633.73	647.07	463.65	656.11	638.15	497.0	638.15	616.37	403.5	543.96	417.77	414.87	476.71	366.09	511.0	438.59	444.72	483.38	543.96	1583.71	559.28	429.54	291.04	507.46	447.82	708.18	435.55	679.29	616.37	480.04	555.41	149.12	59.13	255.0	289.02	420.68	332.14	323.03	387.02	389.72	358.54	327.56	341.51	392.44	314.17	480.04	318.57	363.56	76.17	59.97	59.55	47.5	35.76	94.01	35.5	52.08	131.51	149.12	60.39	307.69	353.59	379.04	267.73	199.85	332.14	423.61	249.73
C12orf23	543.96	220.32	232.94	220.32	220.32	314.17	403.5	244.57	454.09	162.14	693.58	688.78	693.58	642.59	591.22	775.05	866.07	309.83	656.11	497.0	547.75	595.34	651.58	1030.12	1119.56	842.36	409.15	435.55	836.53	808.0	748.61	961.07	1023.0	748.61	665.29	860.08	941.27	764.36	842.36	713.11	836.53	616.37	656.11	902.89	842.36	934.76	693.58	791.35	669.92	669.92	1388.16	713.11	791.35	866.07	921.88	890.44	928.3	848.22	728.11	825.0	1030.12	693.58	420.68	138.1	647.07	595.34	493.56	603.67	480.04	684.02	638.15	540.19	543.96	620.67	599.49	595.34	642.59	353.59	450.94	371.22	267.73	400.71	209.84	141.02	629.35	212.78	151.22	518.15	525.39	679.29	878.17	733.19	995.0	988.12	934.76	759.08	947.83	529.06
CASD1	262.2	108.14	212.78	204.07	111.21	124.37	142.01	120.1	75.11	193.01	295.11	253.23	167.9	251.48	228.13	214.27	246.28	183.82	208.38	241.19	327.56	295.11	351.14	476.71	293.07	289.02	199.85	239.52	218.79	198.47	273.37	392.44	329.84	320.8	341.51	314.17	314.17	291.04	309.83	287.01	285.03	269.6	248.0	291.04	253.23	301.33	262.2	295.11	262.2	291.04	785.88	289.02	260.38	246.28	312.0	283.05	373.81	232.94	293.07	356.05	327.56	279.14	136.19	103.69	262.2	198.47	269.6	220.32	193.01	217.27	214.27	236.21	228.13	232.94	246.28	223.41	232.94	214.27	236.21	151.22	148.09	88.88	61.25	97.36	133.36	127.89	73.54	105.15	102.97	158.79	567.1	395.18	521.76	432.53	343.89	356.05	470.14	356.05
CCPG1	299.25	180.02	190.34	201.25	124.37	339.14	267.73	295.11	423.61	256.78	1477.58	1340.84	1183.45	1331.57	1340.84	1359.57	1295.13	1417.35	1037.29	1437.15	1709.26	1498.22	3060.45	2855.44	1662.49	1561.89	1781.89	1143.1	4066.71	1143.1	1369.04	1769.57	1697.45	1519.15	1628.26	1674.06	1250.98	1561.89	1477.58	1388.16	1617.0	1498.22	1519.15	1628.26	1242.34	1794.29	1359.57	1477.58	1397.83	1487.87	3467.27	1508.65	1447.15	1369.04	1883.54	1359.57	1639.59	1617.0	1709.26	1950.0	2047.0	1529.73	575.03	177.53	1159.07	1225.22	1191.69	1295.13	1199.98	1151.06	1151.06	1167.14	1151.06	1216.75	1340.84	1143.1	1331.57	1051.79	1199.98	503.95	796.86	780.44	473.41	688.78	708.18	518.15	299.25	825.0	412.0	934.76	1277.29	1242.34	1407.55	1151.06	988.12	1340.84	1551.09	1088.92
CDK6	20.26	19.82	11.55	69.03	8.71	21.16	85.82	43.94	9.27	47.5	144.01	117.6	67.59	146.03	102.25	80.57	120.94	96.01	111.99	95.34	237.86	112.77	277.2	305.55	180.02	33.78	54.72	47.5	74.58	103.69	182.55	228.13	214.27	289.02	194.36	221.86	189.02	177.53	176.29	85.22	197.09	159.9	112.77	204.07	94.01	165.57	153.34	186.4	151.22	169.07	376.41	221.86	136.19	113.56	269.6	195.72	147.06	129.69	201.25	183.82	209.84	182.55	49.56	21.94	72.52	83.45	144.01	99.43	124.37	131.51	262.2	151.22	112.77	85.22	128.79	130.6	155.5	108.14	99.43	3.66	46.18	34.75	61.68	48.87	65.26	97.36	33.3	57.08	58.3	34.26	43.32	43.02	32.59	55.89	27.64	30.12	48.52	21.16
CLCN3	406.31	466.88	271.48	791.35	316.37	320.8	387.02	400.71	269.6	186.4	785.88	748.61	454.09	796.86	587.13	444.72	466.88	769.69	571.05	921.88	759.08	743.43	1208.34	1417.35	934.76	1143.1	473.41	500.46	909.17	595.34	872.1	995.0	896.64	842.36	954.43	928.3	674.59	915.51	791.35	708.18	1023.0	796.86	733.19	890.44	490.14	921.88	791.35	974.5	915.51	842.36	1806.78	830.75	769.69	514.56	1233.75	860.08	775.05	688.78	764.36	860.08	1313.23	866.07	450.94	224.97	473.41	743.43	583.07	532.74	703.28	780.44	921.88	738.29	555.41	620.67	713.11	612.11	674.59	559.28	674.59	124.37	226.54	186.4	129.69	157.68	248.0	191.67	142.01	204.07	46.84	164.42	258.57	423.61	423.61	497.0	318.57	312.0	486.75	397.93
DDX18	318.57	351.14	363.56	281.09	368.65	351.14	346.29	325.29	329.84	325.29	802.41	638.15	551.56	764.36	769.69	624.99	728.11	444.72	420.68	579.04	603.67	563.18	1167.14	1350.18	902.89	595.34	651.58	341.51	941.27	688.78	808.0	854.13	819.3	954.43	934.76	878.17	748.61	796.86	890.44	679.29	854.13	703.28	674.59	819.3	651.58	928.3	718.08	753.83	698.41	713.11	1407.55	808.0	819.3	674.59	866.07	708.18	748.61	688.78	785.88	961.07	928.3	848.22	353.59	139.07	563.18	612.11	684.02	679.29	571.05	651.58	612.11	624.99	563.18	612.11	802.41	633.73	860.08	616.37	728.11	351.14	389.72	244.57	332.14	417.77	351.14	412.0	214.27	392.44	536.45	379.04	791.35	934.76	629.35	890.44	551.56	878.17	1111.82	1111.82
DNAJC18	106.63	135.24	59.13	95.34	82.29	150.17	157.68	59.97	73.54	80.57	146.03	190.34	106.63	158.79	164.42	124.37	151.22	87.65	53.57	108.9	251.48	101.54	262.2	289.02	177.53	122.64	94.01	178.77	249.73	130.6	208.38	165.57	209.84	115.16	193.01	205.5	195.72	155.5	181.28	104.42	187.71	100.83	144.01	138.1	106.63	191.67	148.09	149.12	178.77	132.44	316.37	171.45	170.25	144.01	246.28	180.02	178.77	202.66	142.01	182.55	172.65	164.42	76.17	99.43	100.13	139.07	127.89	123.5	113.56	138.1	111.21	106.63	94.01	141.02	159.9	138.1	127.89	128.79	114.36	44.89	57.49	25.35	21.16	11.21	37.05	5.28	15.45	63.89	16.39	44.57	251.48	165.57	178.77	148.09	251.48	228.13	175.07	159.9
EXOC5	183.82	140.04	244.57	212.78	164.42	244.57	157.68	218.79	329.84	96.01	432.53	339.14	293.07	463.65	361.04	320.8	748.61	176.29	341.51	275.28	473.41	466.88	921.88	753.83	454.09	555.41	158.79	253.23	521.76	379.04	607.87	660.68	629.35	500.46	633.73	563.18	529.06	551.56	616.37	454.09	555.41	490.14	414.87	507.46	409.15	642.59	518.15	497.0	536.45	507.46	1417.35	612.11	486.75	392.44	571.05	476.71	647.07	486.75	480.04	525.39	571.05	532.74	248.0	48.52	269.6	356.05	373.81	395.18	379.04	417.77	476.71	406.31	397.93	473.41	454.09	373.81	559.28	305.55	348.71	116.78	154.42	108.9	94.01	121.79	151.22	108.14	51.35	195.72	71.5	88.26	409.15	273.37	332.14	417.77	260.38	215.77	454.09	299.25
EXT2	500.46	497.0	454.09	400.71	409.15	607.87	703.28	872.1	607.87	583.07	961.07	780.44	599.49	813.63	791.35	830.75	547.75	848.22	656.11	967.76	536.45	748.61	1030.12	1359.57	813.63	909.17	571.05	819.3	934.76	665.29	684.02	981.29	967.76	896.64	967.76	1073.91	759.08	947.83	995.0	785.88	738.29	785.88	872.1	759.08	669.92	825.0	791.35	947.83	866.07	813.63	1322.37	836.53	764.36	647.07	902.89	813.63	1037.29	748.61	1250.98	1030.12	848.22	872.1	575.03	819.3	656.11	718.08	836.53	703.28	759.08	830.75	764.36	819.3	708.18	688.78	780.44	738.29	909.17	796.86	785.88	343.89	460.44	395.18	343.89	264.03	536.45	301.33	447.82	476.71	336.79	387.02	599.49	825.0	698.41	775.05	698.41	540.19	1015.93	647.07
FAM175B	221.86	102.97	181.28	169.07	135.24	135.24	122.64	90.77	155.5	144.01	258.57	221.86	212.78	234.57	211.31	205.5	205.5	264.03	215.77	343.89	170.25	325.29	343.89	343.89	289.02	379.04	231.32	223.41	316.37	289.02	318.57	271.48	277.2	303.44	297.17	301.33	267.73	301.33	318.57	273.37	305.55	309.83	277.2	305.55	283.05	325.29	264.03	303.44	303.44	271.48	400.71	285.03	281.09	256.78	297.17	291.04	325.29	258.57	258.57	353.59	379.04	320.8	164.42	81.14	208.38	253.23	237.86	220.32	211.31	246.28	244.57	215.77	189.02	241.19	255.0	236.21	251.48	231.32	251.48	93.35	159.9	129.69	120.1	173.85	163.28	183.82	82.87	178.77	111.21	96.68	217.27	269.6	271.48	256.78	220.32	248.0	299.25	256.78
FNBP1L	493.56	457.25	567.1	376.41	224.97	497.0	232.94	376.41	473.41	167.9	915.51	928.3	529.06	902.89	733.19	607.87	1096.5	571.05	1073.91	1044.52	1427.22	1127.35	780.44	1359.57	1073.91	483.38	785.88	836.53	351.14	738.29	1175.27	1151.06	1059.11	1023.0	1259.69	1119.56	1044.52	1119.56	1127.35	854.13	1143.1	1199.98	988.12	1242.34	780.44	1242.34	1143.1	1119.56	1015.93	1259.69	1208.34	1242.34	1023.0	674.59	1191.69	1088.92	921.88	941.27	988.12	1104.13	1487.87	1081.39	579.04	123.5	713.11	743.43	825.0	813.63	836.53	872.1	934.76	830.75	743.43	785.88	802.41	785.88	842.36	775.05	842.36	234.57	217.27	101.54	159.9	209.84	167.9	212.78	96.01	183.82	59.97	143.01	1295.13	723.08	934.76	775.05	642.59	563.18	860.08	693.58
