	TCGA.DD.A4NS.01A.11R.A311.07	GTEX.13NYB.1026.SM.5IFH3	GTEX.11GSP.0626.SM.5986T	GTEX.145MF.0826.SM.5QGQA	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.55.6980.11A.01R.1949.07	GTEX.13FTZ.0526.SM.5IJCW	GTEX.PVOW.1026.SM.2XCF9	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.U3ZH.0526.SM.3DB75	TCGA.77.7142.11A.01R.2045.07	TCGA.77.7337.11A.01R.2045.07	TCGA.HC.7079.01A.11R.1965.07
KCNS3	148.09	54.72	90.14	27.05	17.64	12.74	71.5	50.63	41.81	10.0	83.45	0.0	0.67	775.05	5366.37	5751.61	5112.16	3847.29	1369.04	947.83	1088.92	242.88
KIAA1614	41.52	6.11	26.47	11.13	0.97	2.61	2.97	5.45	6.89	6.78	4.82	0.0	0.4	91.41	161.02	66.18	143.01	100.83	155.5	59.13	64.34	48.87
KLHL4	16.15	3.47	47.5	1.03	4.54	2.03	3.96	2.32	2.94	1.87	17.51	0.0	0.0	11.21	146.03	29.7	67.59	51.71	63.45	48.18	24.46	2.76
KTN1	1883.54	1594.73	1268.46	1437.15	1250.98	1001.93	1498.22	1191.69	1388.16	1369.04	1819.35	0.0	0.89	2193.99	2520.38	4639.29	4869.99	2627.46	2047.0	3081.75	2997.45	1923.14
LCA5	34.75	14.45	31.0	5.06	8.85	4.35	17.51	12.0	13.03	3.76	15.0	0.0	0.14	74.58	129.69	234.57	215.77	214.27	153.34	93.35	118.43	69.03
LRRC37B	99.43	108.9	119.26	29.91	33.3	41.52	65.72	50.27	60.82	36.79	95.34	0.0	0.55	343.89	267.73	301.33	363.56	291.04	348.71	249.73	205.5	260.38
LYSMD2	414.87	381.68	312.0	275.28	361.04	332.14	400.71	599.49	341.51	400.71	406.31	0.0	0.39	371.22	624.99	1674.06	769.69	872.1	529.06	476.71	511.0	454.09
MEIS1	182.55	78.89	169.07	30.56	59.55	45.53	75.64	77.25	69.03	55.49	100.13	0.0	0.65	612.11	1119.56	1199.98	1674.06	967.76	1008.9	764.36	698.41	412.0
MPP5	277.2	158.79	186.4	198.47	246.28	241.19	244.57	141.02	171.45	121.79	209.84	0.0	0.39	395.18	361.04	1044.52	866.07	460.44	583.07	540.19	470.14	279.14
MVB12B	117.6	125.24	153.34	127.89	63.45	85.22	55.49	153.34	57.49	78.34	63.0	0.0	0.16	698.41	420.68	1159.07	1259.69	836.53	665.29	688.78	607.87	273.37
P2RY14	12.55	11.64	8.13	10.08	6.67	7.46	0.0	14.14	6.11	8.99	16.51	0.0	0.06	178.77	909.17	928.3	429.54	486.75	395.18	131.51	189.02	74.58
PCDHB15	56.28	14.14	62.56	0.0	12.55	10.71	42.11	12.64	8.45	18.97	22.26	0.0	0.49	77.25	139.07	32.13	224.97	116.78	117.6	88.88	52.45	39.79
PCDHB5	32.82	12.0	90.77	8.06	1.23	0.0	116.78	8.19	27.84	26.28	11.3	0.0	0.4	71.0	555.41	129.69	974.5	1359.57	144.01	84.63	76.17	94.01
PCNXL4	329.84	281.09	540.19	138.1	167.9	162.14	155.5	98.04	223.41	218.79	246.28	0.0	0.34	366.09	529.06	665.29	529.06	708.18	693.58	447.82	389.72	426.57
PPP6C	808.0	483.38	473.41	633.73	764.36	559.28	612.11	470.14	518.15	525.39	551.56	0.0	0.6	954.43	909.17	1508.65	1037.29	1001.93	1023.0	1313.23	1183.45	909.17
RAB28	316.37	201.25	246.28	136.19	115.97	116.78	140.04	146.03	169.07	121.79	201.25	0.0	0.53	417.77	642.59	961.07	890.44	660.68	718.08	514.56	529.06	343.89
RAVER2	68.07	19.11	39.79	10.24	4.46	7.11	22.1	19.39	36.53	9.56	37.32	0.0	0.24	215.77	454.09	698.41	651.58	656.11	607.87	289.02	283.05	181.28
RP11-219A15.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07	1.77	2.78	1.27	2.32	1.68	1.08	0.56	0.49
RTKN2	5.96	0.56	5.15	0.64	3.66	0.0	1.71	3.79	1.71	0.65	6.41	0.0	0.0	2075.59	3742.05	10585.95	8538.88	6561.36	5555.65	2384.37	2178.83	36.79
SBDS	2255.7	1540.37	1498.22	1540.37	1447.15	1498.22	1397.83	1277.29	1199.98	1498.22	1135.2	0.0	0.53	2855.44	3928.15	4419.52	5403.7	2915.45	2133.97	3467.27	3928.15	1561.89
SENP7	172.65	98.04	137.14	52.45	31.0	63.89	103.69	53.57	51.71	50.27	116.78	0.0	0.4	287.01	336.79	389.72	638.15	329.84	403.5	299.25	242.88	251.48
SKIV2L2	518.15	325.29	500.46	303.44	220.32	248.0	327.56	255.0	309.83	409.15	476.71	518.15	105.15	476.71	785.88	1066.48	988.12	1030.12	1259.69	620.67	693.58	629.35
SLC7A4	23.08	21.01	19.53	1.97	3.14	1.57	7.94	5.32	11.04	9.48	7.69	0.0	0.0	32.36	52.82	51.35	152.28	47.17	19.97	85.82	37.85	38.12
SP4	51.35	26.1	49.56	16.75	28.45	44.57	25.17	13.32	27.05	8.32	41.81	0.0	0.15	81.71	190.34	211.31	194.36	189.02	163.28	85.22	113.56	142.01
ST3GAL4	624.99	713.11	303.44	277.2	297.17	241.19	620.67	567.1	450.94	267.73	307.69	0.0	0.87	718.08	866.07	813.63	708.18	764.36	599.49	753.83	866.07	483.38
TBX21	37.59	51.71	29.48	10.88	16.27	23.42	21.78	48.87	22.1	20.11	12.83	0.0	0.21	67.12	221.86	173.85	110.43	193.01	51.71	81.14	151.22	87.03
TIMP2	3124.78	1909.85	3060.45	457.25	435.55	603.67	1745.2	872.1	1059.11	551.56	2468.49	0.0	0.93	5112.16	12076.21	7911.95	16496.96	13306.94	15180.22	6983.79	6471.02	3982.99
TMED8	98.73	59.55	40.64	46.18	39.79	81.71	81.14	48.18	47.84	37.85	62.12	0.0	0.4	127.0	73.03	158.79	126.12	156.59	195.72	171.45	153.34	212.78
TRAPPC6B	307.69	318.57	279.14	281.09	198.47	329.84	285.03	293.07	265.87	209.84	323.03	0.0	0.53	363.56	540.19	587.13	665.29	476.71	529.06	412.0	457.25	406.31
VSTM5	6.21	1.66	1.68	0.0	1.75	3.56	1.46	0.0	0.1	7.22	1.71	0.0	0.01	10.71	9.27	24.11	33.78	10.55	11.64	13.32	3.03	9.85
ZFYVE1	291.04	182.55	140.04	177.53	258.57	147.06	221.86	262.2	244.57	214.27	226.54	0.0	0.44	346.29	358.54	234.57	373.81	397.93	325.29	291.04	301.33	287.01
ZFYVE26	155.5	77.79	51.35	46.5	26.67	36.53	34.02	60.82	42.71	32.59	61.25	0.0	0.45	226.54	176.29	229.72	242.88	229.72	389.72	256.78	224.97	241.19
